tick,day,scene_id,agent,object_name,object_affordance,distance_to_object,owner_referenced,affordance_referenced,reaction_referenced,prompt_visible,dialogue_text,prompt_specificity_score
15,1,v23-scene-d01,Nari,ink ledger,public note,2.198291,1,1,1,1,Nari: ink ledger belongs with sealed note; leave the ink ledger on the public stone; I am softens.,1.0
16,2,v23-scene-d02,Nari,ink ledger,public note,2.192922,0,1,1,1,Nari: ink ledger belongs with sealed note; leave the ink ledger on the public stone; I am softens.,0.8
17,2,v23-scene-d02,Ori,sap hook,repair hold,2.97094,0,0,0,0,No object-specific prompt on this tick.,0.8
18,2,v23-scene-d02,Vonn,listening shell,quiet witness,2.626738,1,1,0,1,Vonn: listening shell belongs with quiet distance; set the listening shell down before speaking loudly; I am watching.,1.0
19,2,v23-scene-d02,Vonn,rain mirror,wet-route warning,0.82408,1,1,1,1,Vonn: rain mirror belongs with quiet distance; tilt the rain mirror toward the wet stones; I am asks-space.,1.0
20,2,v23-scene-d02,Melo,tally beads,fair-turn count,0.898402,1,1,1,1,Melo: tally beads belongs with fair turn; bring the tally beads for the queue count; I am softens.,1.0
21,2,v23-scene-d02,Keth,path cord,route promise,2.465052,1,1,1,1,Keth: path cord belongs with warning path; return the path cord before the wet crossing; I am welcoming.,1.0
22,2,v23-scene-d02,Sova,ember bowl,warmth witness,2.504057,1,0,1,1,Sova: ember bowl belongs with warm rest space; keep the ember bowl near the rest mat; I am softens.,0.8
23,2,v23-scene-d02,Keth,path cord,route promise,2.709197,0,0,0,0,No object-specific prompt on this tick.,0.8
24,2,v23-scene-d02,Melo,tally beads,fair-turn count,1.387323,1,1,1,1,Melo: tally beads belongs with fair turn; bring the tally beads for the queue count; I am welcoming.,1.0
25,2,v23-scene-d02,Nari,fern key,gate memory,0.467518,1,1,1,1,Nari: fern key belongs with sealed note; ask before using the fern key near the archive; I am welcoming.,1.0
26,2,v23-scene-d02,Vonn,listening shell,quiet witness,1.735524,1,1,1,1,Vonn: listening shell belongs with quiet distance; set the listening shell down before speaking loudly; I am softens.,1.0
27,2,v23-scene-d02,Nari,fern key,gate memory,0.768779,1,1,1,1,Nari: fern key belongs with sealed note; ask before using the fern key near the archive; I am welcoming.,1.0
28,2,v23-scene-d02,Ori,sap hook,repair hold,3.709136,0,0,0,0,No object-specific prompt on this tick.,0.8
29,2,v23-scene-d02,Sova,moth lantern,night pulse,1.342016,0,1,1,1,Sova: moth lantern belongs with warm rest space; hang the moth lantern only after dusk; I am welcoming.,0.8
30,2,v23-scene-d02,Keth,path cord,route promise,2.063813,1,1,1,1,Keth: path cord belongs with warning path; return the path cord before the wet crossing; I am welcoming.,1.0
31,2,v23-scene-d02,Melo,tally beads,fair-turn count,1.5526,1,1,1,1,Melo: tally beads belongs with fair turn; bring the tally beads for the queue count; I am guarded.,1.0
32,3,v23-scene-d03,Ori,sap hook,repair hold,3.146432,0,0,0,0,No object-specific prompt on this tick.,0.8
33,3,v23-scene-d03,Nari,ink ledger,public note,2.055993,1,1,1,1,Nari: ink ledger belongs with sealed note; leave the ink ledger on the public stone; I am welcoming.,1.0
34,3,v23-scene-d03,Sova,moth lantern,night pulse,0.972202,1,1,1,1,Sova: moth lantern belongs with warm rest space; hang the moth lantern only after dusk; I am curious.,1.0
35,3,v23-scene-d03,Keth,path cord,route promise,2.255203,1,1,1,1,Keth: path cord belongs with warning path; return the path cord before the wet crossing; I am welcoming.,1.0
36,3,v23-scene-d03,Sova,moth lantern,night pulse,1.294768,1,1,1,1,Sova: moth lantern belongs with warm rest space; hang the moth lantern only after dusk; I am asks-space.,1.0
37,3,v23-scene-d03,Sova,ember bowl,warmth witness,2.440385,1,1,1,1,Sova: ember bowl belongs with warm rest space; keep the ember bowl near the rest mat; I am guarded.,1.0
38,3,v23-scene-d03,Melo,tally beads,fair-turn count,1.264762,1,1,1,1,Melo: tally beads belongs with fair turn; bring the tally beads for the queue count; I am softens.,1.0
39,3,v23-scene-d03,Ori,sap hook,repair hold,3.57767,0,0,0,0,No object-specific prompt on this tick.,0.8
40,3,v23-scene-d03,Melo,tally beads,fair-turn count,1.597979,1,1,1,1,Melo: tally beads belongs with fair turn; bring the tally beads for the queue count; I am softens.,1.0
41,3,v23-scene-d03,Sova,ember bowl,warmth witness,1.837372,1,1,1,1,Sova: ember bowl belongs with warm rest space; keep the ember bowl near the rest mat; I am softens.,1.0
42,3,v23-scene-d03,Nari,fern key,gate memory,0.795211,0,1,0,1,Nari: fern key belongs with sealed note; ask before using the fern key near the archive; I am curious.,0.6
43,3,v23-scene-d03,Sova,ember bowl,warmth witness,1.695196,1,1,1,1,Sova: ember bowl belongs with warm rest space; keep the ember bowl near the rest mat; I am guarded.,1.0
44,3,v23-scene-d03,Vonn,rain mirror,wet-route warning,0.308137,1,1,1,1,Vonn: rain mirror belongs with quiet distance; tilt the rain mirror toward the wet stones; I am welcoming.,1.0
45,3,v23-scene-d03,Keth,path cord,route promise,2.19997,1,1,1,1,Keth: path cord belongs with warning path; return the path cord before the wet crossing; I am welcoming.,1.0
46,3,v23-scene-d03,Nari,fern key,gate memory,1.095084,0,0,0,0,No object-specific prompt on this tick.,0.8
47,3,v23-scene-d03,Melo,tally beads,fair-turn count,1.568751,1,1,1,1,Melo: tally beads belongs with fair turn; bring the tally beads for the queue count; I am softens.,1.0
48,4,v23-scene-d04,Sova,ember bowl,warmth witness,2.327612,1,1,1,1,Sova: ember bowl belongs with warm rest space; keep the ember bowl near the rest mat; I am guarded.,1.0
49,4,v23-scene-d04,Melo,tally beads,fair-turn count,1.257818,1,1,1,1,Melo: tally beads belongs with fair turn; bring the tally beads for the queue count; I am welcoming.,1.0
50,4,v23-scene-d04,Nari,ink ledger,public note,1.830553,1,1,1,1,Nari: ink ledger belongs with sealed note; leave the ink ledger on the public stone; I am welcoming.,1.0
51,4,v23-scene-d04,Ori,sap hook,repair hold,3.147508,0,0,0,0,No object-specific prompt on this tick.,0.8
52,4,v23-scene-d04,Keth,path cord,route promise,2.534739,0,0,0,0,No object-specific prompt on this tick.,0.8
53,4,v23-scene-d04,Nari,fern key,gate memory,0.315934,1,1,1,1,Nari: fern key belongs with sealed note; ask before using the fern key near the archive; I am guarded.,1.0
54,4,v23-scene-d04,Melo,tally beads,fair-turn count,1.47932,1,1,1,1,Melo: tally beads belongs with fair turn; bring the tally beads for the queue count; I am welcoming.,1.0
55,4,v23-scene-d04,Sova,moth lantern,night pulse,1.828488,0,1,1,1,Sova: moth lantern belongs with warm rest space; hang the moth lantern only after dusk; I am softens.,0.8
56,4,v23-scene-d04,Keth,path cord,route promise,2.836616,1,0,1,1,Keth: path cord belongs with warning path; return the path cord before the wet crossing; I am softens.,0.8
57,4,v23-scene-d04,Vonn,rain mirror,wet-route warning,0.70247,1,1,1,1,Vonn: rain mirror belongs with quiet distance; tilt the rain mirror toward the wet stones; I am welcoming.,1.0
58,4,v23-scene-d04,Vonn,listening shell,quiet witness,1.736234,1,1,1,1,Vonn: listening shell belongs with quiet distance; set the listening shell down before speaking loudly; I am curious.,1.0
59,4,v23-scene-d04,Ori,sap hook,repair hold,3.929009,0,0,0,0,No object-specific prompt on this tick.,0.8
60,4,v23-scene-d04,Vonn,listening shell,quiet witness,2.076722,1,1,1,1,Vonn: listening shell belongs with quiet distance; set the listening shell down before speaking loudly; I am asks-space.,1.0
61,4,v23-scene-d04,Sova,moth lantern,night pulse,1.332578,1,1,0,1,Sova: moth lantern belongs with warm rest space; hang the moth lantern only after dusk; I am softens.,0.8
62,4,v23-scene-d04,Vonn,listening shell,quiet witness,2.375939,1,1,1,1,Vonn: listening shell belongs with quiet distance; set the listening shell down before speaking loudly; I am softens.,1.0
63,4,v23-scene-d04,Sova,moth lantern,night pulse,1.017326,1,1,1,1,Sova: moth lantern belongs with warm rest space; hang the moth lantern only after dusk; I am softens.,1.0
64,5,v23-scene-d05,Nari,fern key,gate memory,0.976492,1,1,1,1,Nari: fern key belongs with sealed note; ask before using the fern key near the archive; I am asks-space.,1.0
65,5,v23-scene-d05,Vonn,listening shell,quiet witness,2.37131,1,1,1,1,Vonn: listening shell belongs with quiet distance; set the listening shell down before speaking loudly; I am softens.,1.0
66,5,v23-scene-d05,Nari,fern key,gate memory,0.657398,1,1,1,1,Nari: fern key belongs with sealed note; ask before using the fern key near the archive; I am softens.,1.0
67,5,v23-scene-d05,Sova,ember bowl,warmth witness,2.291552,1,1,1,1,Sova: ember bowl belongs with warm rest space; keep the ember bowl near the rest mat; I am softens.,1.0
68,5,v23-scene-d05,Vonn,rain mirror,wet-route warning,0.727887,0,1,1,1,Vonn: rain mirror belongs with quiet distance; tilt the rain mirror toward the wet stones; I am welcoming.,0.8
69,5,v23-scene-d05,Keth,path cord,route promise,2.745647,0,0,0,0,No object-specific prompt on this tick.,0.8
70,5,v23-scene-d05,Vonn,rain mirror,wet-route warning,0.801307,1,1,1,1,Vonn: rain mirror belongs with quiet distance; tilt the rain mirror toward the wet stones; I am welcoming.,1.0
71,5,v23-scene-d05,Melo,tally beads,fair-turn count,1.844412,1,1,1,1,Melo: tally beads belongs with fair turn; bring the tally beads for the queue count; I am welcoming.,1.0
72,5,v23-scene-d05,Vonn,rain mirror,wet-route warning,0.751061,1,1,1,1,Vonn: rain mirror belongs with quiet distance; tilt the rain mirror toward the wet stones; I am welcoming.,1.0
73,5,v23-scene-d05,Melo,tally beads,fair-turn count,2.05604,1,0,1,1,Melo: tally beads belongs with fair turn; bring the tally beads for the queue count; I am welcoming.,0.8
74,5,v23-scene-d05,Melo,tally beads,fair-turn count,2.090041,1,1,1,1,Melo: tally beads belongs with fair turn; bring the tally beads for the queue count; I am welcoming.,1.0
75,5,v23-scene-d05,Nari,ink ledger,public note,2.164706,1,1,1,1,Nari: ink ledger belongs with sealed note; leave the ink ledger on the public stone; I am welcoming.,1.0
76,5,v23-scene-d05,Nari,fern key,gate memory,1.231338,1,1,1,1,Nari: fern key belongs with sealed note; ask before using the fern key near the archive; I am welcoming.,1.0
77,5,v23-scene-d05,Vonn,listening shell,quiet witness,2.311505,1,1,1,1,Vonn: listening shell belongs with quiet distance; set the listening shell down before speaking loudly; I am welcoming.,1.0
78,5,v23-scene-d05,Ori,sap hook,repair hold,3.515474,1,1,0,1,Ori: sap hook belongs with repair warning; carry the sap hook only after Ori nods; I am watching.,1.0
79,5,v23-scene-d05,Ori,sap hook,repair hold,3.357228,1,1,1,1,Ori: sap hook belongs with repair warning; carry the sap hook only after Ori nods; I am guarded.,1.0
80,6,v23-scene-d06,Sova,ember bowl,warmth witness,2.235137,1,1,0,1,Sova: ember bowl belongs with warm rest space; keep the ember bowl near the rest mat; I am softens.,0.8
81,6,v23-scene-d06,Vonn,rain mirror,wet-route warning,0.421948,0,1,1,1,Vonn: rain mirror belongs with quiet distance; tilt the rain mirror toward the wet stones; I am curious.,0.8
82,6,v23-scene-d06,Sova,ember bowl,warmth witness,2.222316,1,1,1,1,Sova: ember bowl belongs with warm rest space; keep the ember bowl near the rest mat; I am curious.,1.0
83,6,v23-scene-d06,Sova,moth lantern,night pulse,1.475799,0,0,0,0,No object-specific prompt on this tick.,0.8
84,6,v23-scene-d06,Vonn,listening shell,quiet witness,1.786069,1,1,1,1,Vonn: listening shell belongs with quiet distance; set the listening shell down before speaking loudly; I am guarded.,1.0
85,6,v23-scene-d06,Nari,fern key,gate memory,0.628587,1,1,1,1,Nari: fern key belongs with sealed note; ask before using the fern key near the archive; I am welcoming.,1.0
86,6,v23-scene-d06,Sova,ember bowl,warmth witness,1.695619,1,1,1,1,Sova: ember bowl belongs with warm rest space; keep the ember bowl near the rest mat; I am welcoming.,1.0
87,6,v23-scene-d06,Melo,tally beads,fair-turn count,2.019267,1,1,1,1,Melo: tally beads belongs with fair turn; bring the tally beads for the queue count; I am welcoming.,1.0
88,6,v23-scene-d06,Ori,sap hook,repair hold,4.149056,1,1,1,1,Ori: sap hook belongs with repair warning; carry the sap hook only after Ori nods; I am asks-space.,1.0
89,6,v23-scene-d06,Melo,tally beads,fair-turn count,2.184583,1,1,1,1,Melo: tally beads belongs with fair turn; bring the tally beads for the queue count; I am welcoming.,1.0
90,6,v23-scene-d06,Vonn,listening shell,quiet witness,1.951788,1,0,1,1,Vonn: listening shell belongs with quiet distance; set the listening shell down before speaking loudly; I am softens.,0.8
91,6,v23-scene-d06,Sova,moth lantern,night pulse,1.611581,1,1,1,1,Sova: moth lantern belongs with warm rest space; hang the moth lantern only after dusk; I am welcoming.,1.0
92,6,v23-scene-d06,Sova,ember bowl,warmth witness,1.685662,1,1,1,1,Sova: ember bowl belongs with warm rest space; keep the ember bowl near the rest mat; I am curious.,1.0
93,6,v23-scene-d06,Ori,sap hook,repair hold,3.677145,1,1,1,1,Ori: sap hook belongs with repair warning; carry the sap hook only after Ori nods; I am asks-space.,1.0
94,6,v23-scene-d06,Sova,ember bowl,warmth witness,2.022214,0,1,1,1,Sova: ember bowl belongs with warm rest space; keep the ember bowl near the rest mat; I am welcoming.,0.8
95,6,v23-scene-d06,Vonn,rain mirror,wet-route warning,0.208628,1,1,1,1,Vonn: rain mirror belongs with quiet distance; tilt the rain mirror toward the wet stones; I am softens.,1.0
96,7,v23-scene-d07,Ori,sap hook,repair hold,3.326281,1,1,1,1,Ori: sap hook belongs with repair warning; carry the sap hook only after Ori nods; I am softens.,1.0
97,7,v23-scene-d07,Melo,tally beads,fair-turn count,1.439095,1,1,1,1,Melo: tally beads belongs with fair turn; bring the tally beads for the queue count; I am welcoming.,1.0
98,7,v23-scene-d07,Nari,fern key,gate memory,0.667213,1,1,1,1,Nari: fern key belongs with sealed note; ask before using the fern key near the archive; I am welcoming.,1.0
99,7,v23-scene-d07,Sova,ember bowl,warmth witness,1.986264,1,1,0,1,Sova: ember bowl belongs with warm rest space; keep the ember bowl near the rest mat; I am welcoming.,0.8
100,7,v23-scene-d07,Vonn,rain mirror,wet-route warning,0.644832,1,1,1,1,Vonn: rain mirror belongs with quiet distance; tilt the rain mirror toward the wet stones; I am softens.,1.0
101,7,v23-scene-d07,Keth,path cord,route promise,2.775634,0,0,0,0,No object-specific prompt on this tick.,0.8
102,7,v23-scene-d07,Sova,moth lantern,night pulse,1.930228,1,1,1,1,Sova: moth lantern belongs with warm rest space; hang the moth lantern only after dusk; I am welcoming.,1.0
103,7,v23-scene-d07,Vonn,listening shell,quiet witness,1.648127,1,1,1,1,Vonn: listening shell belongs with quiet distance; set the listening shell down before speaking loudly; I am guarded.,1.0
104,7,v23-scene-d07,Vonn,rain mirror,wet-route warning,0.69833,1,1,1,1,Vonn: rain mirror belongs with quiet distance; tilt the rain mirror toward the wet stones; I am guarded.,1.0
105,7,v23-scene-d07,Sova,ember bowl,warmth witness,1.317836,1,1,1,1,Sova: ember bowl belongs with warm rest space; keep the ember bowl near the rest mat; I am welcoming.,1.0
106,7,v23-scene-d07,Ori,sap hook,repair hold,4.111692,0,0,0,0,No object-specific prompt on this tick.,0.8
107,7,v23-scene-d07,Vonn,listening shell,quiet witness,2.272995,0,0,1,1,Vonn: listening shell belongs with quiet distance; set the listening shell down before speaking loudly; I am softens.,0.6
108,7,v23-scene-d07,Nari,fern key,gate memory,1.429564,1,1,1,1,Nari: fern key belongs with sealed note; ask before using the fern key near the archive; I am welcoming.,1.0
109,7,v23-scene-d07,Vonn,listening shell,quiet witness,2.48061,1,1,1,1,Vonn: listening shell belongs with quiet distance; set the listening shell down before speaking loudly; I am welcoming.,1.0
110,7,v23-scene-d07,Nari,fern key,gate memory,1.272066,1,1,1,1,Nari: fern key belongs with sealed note; ask before using the fern key near the archive; I am welcoming.,1.0
111,7,v23-scene-d07,Keth,path cord,route promise,1.925713,1,1,1,1,Keth: path cord belongs with warning path; return the path cord before the wet crossing; I am welcoming.,1.0
112,8,v23-scene-d08,Keth,path cord,route promise,2.069932,1,1,1,1,Keth: path cord belongs with warning path; return the path cord before the wet crossing; I am welcoming.,1.0
113,8,v23-scene-d08,Vonn,rain mirror,wet-route warning,0.312745,1,1,1,1,Vonn: rain mirror belongs with quiet distance; tilt the rain mirror toward the wet stones; I am welcoming.,1.0
114,8,v23-scene-d08,Sova,ember bowl,warmth witness,1.979861,1,1,1,1,Sova: ember bowl belongs with warm rest space; keep the ember bowl near the rest mat; I am welcoming.,1.0
115,8,v23-scene-d08,Sova,moth lantern,night pulse,1.617412,1,1,1,1,Sova: moth lantern belongs with warm rest space; hang the moth lantern only after dusk; I am welcoming.,1.0
116,8,v23-scene-d08,Melo,tally beads,fair-turn count,1.871506,1,1,1,1,Melo: tally beads belongs with fair turn; bring the tally beads for the queue count; I am curious.,1.0
117,8,v23-scene-d08,Sova,moth lantern,night pulse,1.877637,1,1,1,1,Sova: moth lantern belongs with warm rest space; hang the moth lantern only after dusk; I am welcoming.,1.0
118,8,v23-scene-d08,Sova,ember bowl,warmth witness,1.365319,1,1,0,1,Sova: ember bowl belongs with warm rest space; keep the ember bowl near the rest mat; I am welcoming.,0.8
119,8,v23-scene-d08,Keth,path cord,route promise,2.679444,1,1,1,1,Keth: path cord belongs with warning path; return the path cord before the wet crossing; I am guarded.,1.0
120,8,v23-scene-d08,Melo,tally beads,fair-turn count,2.353851,0,0,0,0,No object-specific prompt on this tick.,0.8
121,8,v23-scene-d08,Ori,sap hook,repair hold,4.196746,0,0,0,0,No object-specific prompt on this tick.,0.8
122,8,v23-scene-d08,Nari,ink ledger,public note,2.541175,1,1,1,1,Nari: ink ledger belongs with sealed note; leave the ink ledger on the public stone; I am guarded.,1.0
123,8,v23-scene-d08,Ori,sap hook,repair hold,3.940495,0,0,0,0,No object-specific prompt on this tick.,0.8
124,8,v23-scene-d08,Sova,ember bowl,warmth witness,1.822332,1,0,1,1,Sova: ember bowl belongs with warm rest space; keep the ember bowl near the rest mat; I am welcoming.,0.8
125,8,v23-scene-d08,Vonn,rain mirror,wet-route warning,0.30433,1,1,1,1,Vonn: rain mirror belongs with quiet distance; tilt the rain mirror toward the wet stones; I am welcoming.,1.0
126,8,v23-scene-d08,Nari,ink ledger,public note,2.405847,1,1,1,1,Nari: ink ledger belongs with sealed note; leave the ink ledger on the public stone; I am softens.,1.0
127,8,v23-scene-d08,Melo,tally beads,fair-turn count,1.6521,1,1,1,1,Melo: tally beads belongs with fair turn; bring the tally beads for the queue count; I am welcoming.,1.0
128,9,v23-scene-d09,Nari,fern key,gate memory,0.996691,1,1,1,1,Nari: fern key belongs with sealed note; ask before using the fern key near the archive; I am softens.,1.0
129,9,v23-scene-d09,Keth,path cord,route promise,2.252749,1,1,1,1,Keth: path cord belongs with warning path; return the path cord before the wet crossing; I am softens.,1.0
130,9,v23-scene-d09,Melo,tally beads,fair-turn count,1.697904,1,1,1,1,Melo: tally beads belongs with fair turn; bring the tally beads for the queue count; I am welcoming.,1.0
131,9,v23-scene-d09,Keth,path cord,route promise,2.551781,0,0,0,0,No object-specific prompt on this tick.,0.8
132,9,v23-scene-d09,Keth,path cord,route promise,2.638231,1,1,1,1,Keth: path cord belongs with warning path; return the path cord before the wet crossing; I am welcoming.,1.0
133,9,v23-scene-d09,Sova,ember bowl,warmth witness,1.38628,0,1,1,1,Sova: ember bowl belongs with warm rest space; keep the ember bowl near the rest mat; I am welcoming.,0.8
134,9,v23-scene-d09,Keth,path cord,route promise,2.638181,1,1,1,1,Keth: path cord belongs with warning path; return the path cord before the wet crossing; I am guarded.,1.0
135,9,v23-scene-d09,Nari,ink ledger,public note,2.371845,1,1,1,1,Nari: ink ledger belongs with sealed note; leave the ink ledger on the public stone; I am welcoming.,1.0
136,9,v23-scene-d09,Keth,path cord,route promise,2.414854,1,1,1,1,Keth: path cord belongs with warning path; return the path cord before the wet crossing; I am guarded.,1.0
137,9,v23-scene-d09,Nari,ink ledger,public note,2.62108,1,1,0,1,Nari: ink ledger belongs with sealed note; leave the ink ledger on the public stone; I am welcoming.,0.8
138,9,v23-scene-d09,Ori,sap hook,repair hold,4.032464,1,1,1,1,Ori: sap hook belongs with repair warning; carry the sap hook only after Ori nods; I am welcoming.,1.0
139,9,v23-scene-d09,Sova,ember bowl,warmth witness,1.770168,1,1,1,1,Sova: ember bowl belongs with warm rest space; keep the ember bowl near the rest mat; I am curious.,1.0
140,9,v23-scene-d09,Keth,path cord,route promise,1.78664,1,1,1,1,Keth: path cord belongs with warning path; return the path cord before the wet crossing; I am guarded.,1.0
141,9,v23-scene-d09,Ori,sap hook,repair hold,3.547853,0,0,0,0,No object-specific prompt on this tick.,0.8
142,9,v23-scene-d09,Nari,fern key,gate memory,1.336889,1,1,1,1,Nari: fern key belongs with sealed note; ask before using the fern key near the archive; I am welcoming.,1.0
143,9,v23-scene-d09,Nari,ink ledger,public note,2.279029,1,1,1,1,Nari: ink ledger belongs with sealed note; leave the ink ledger on the public stone; I am welcoming.,1.0
144,10,v23-scene-d10,Sova,ember bowl,warmth witness,2.058706,1,1,1,1,Sova: ember bowl belongs with warm rest space; keep the ember bowl near the rest mat; I am welcoming.,1.0
145,10,v23-scene-d10,Keth,path cord,route promise,2.245233,1,1,1,1,Keth: path cord belongs with warning path; return the path cord before the wet crossing; I am guarded.,1.0
146,10,v23-scene-d10,Vonn,listening shell,quiet witness,1.992949,0,1,1,1,Vonn: listening shell belongs with quiet distance; set the listening shell down before speaking loudly; I am welcoming.,0.8
147,10,v23-scene-d10,Melo,tally beads,fair-turn count,1.962535,1,1,1,1,Melo: tally beads belongs with fair turn; bring the tally beads for the queue count; I am welcoming.,1.0
148,10,v23-scene-d10,Keth,path cord,route promise,2.565075,1,1,1,1,Keth: path cord belongs with warning path; return the path cord before the wet crossing; I am softens.,1.0
149,10,v23-scene-d10,Keth,path cord,route promise,2.564349,1,1,1,1,Keth: path cord belongs with warning path; return the path cord before the wet crossing; I am guarded.,1.0
150,10,v23-scene-d10,Melo,tally beads,fair-turn count,2.388609,1,1,1,1,Melo: tally beads belongs with fair turn; bring the tally beads for the queue count; I am welcoming.,1.0
151,10,v23-scene-d10,Melo,tally beads,fair-turn count,2.455525,1,1,1,1,Melo: tally beads belongs with fair turn; bring the tally beads for the queue count; I am welcoming.,1.0
152,10,v23-scene-d10,Sova,ember bowl,warmth witness,1.409438,1,1,1,1,Sova: ember bowl belongs with warm rest space; keep the ember bowl near the rest mat; I am welcoming.,1.0
153,10,v23-scene-d10,Keth,path cord,route promise,2.059029,1,1,1,1,Keth: path cord belongs with warning path; return the path cord before the wet crossing; I am softens.,1.0
154,10,v23-scene-d10,Ori,sap hook,repair hold,3.946175,0,0,0,0,No object-specific prompt on this tick.,0.8
155,10,v23-scene-d10,Sova,moth lantern,night pulse,1.255235,1,1,1,1,Sova: moth lantern belongs with warm rest space; hang the moth lantern only after dusk; I am welcoming.,1.0
156,10,v23-scene-d10,Sova,ember bowl,warmth witness,2.050512,1,1,0,1,Sova: ember bowl belongs with warm rest space; keep the ember bowl near the rest mat; I am guarded.,0.8
157,10,v23-scene-d10,Vonn,rain mirror,wet-route warning,0.437066,0,0,0,0,No object-specific prompt on this tick.,0.8
158,10,v23-scene-d10,Sova,ember bowl,warmth witness,2.169981,1,0,1,1,Sova: ember bowl belongs with warm rest space; keep the ember bowl near the rest mat; I am asks-space.,0.8
159,10,v23-scene-d10,Melo,tally beads,fair-turn count,1.671424,0,1,1,1,Melo: tally beads belongs with fair turn; bring the tally beads for the queue count; I am welcoming.,0.8
160,11,v23-scene-d11,Keth,path cord,route promise,2.056276,1,1,1,1,Keth: path cord belongs with warning path; return the path cord before the wet crossing; I am welcoming.,1.0
161,11,v23-scene-d11,Melo,tally beads,fair-turn count,1.759794,1,1,1,1,Melo: tally beads belongs with fair turn; bring the tally beads for the queue count; I am welcoming.,1.0
162,11,v23-scene-d11,Vonn,rain mirror,wet-route warning,0.292438,1,1,1,1,Vonn: rain mirror belongs with quiet distance; tilt the rain mirror toward the wet stones; I am guarded.,1.0
163,11,v23-scene-d11,Vonn,listening shell,quiet witness,1.983069,1,1,1,1,Vonn: listening shell belongs with quiet distance; set the listening shell down before speaking loudly; I am softens.,1.0
164,11,v23-scene-d11,Nari,fern key,gate memory,1.335087,1,1,1,1,Nari: fern key belongs with sealed note; ask before using the fern key near the archive; I am welcoming.,1.0
165,11,v23-scene-d11,Vonn,listening shell,quiet witness,2.100414,1,1,1,1,Vonn: listening shell belongs with quiet distance; set the listening shell down before speaking loudly; I am guarded.,1.0
166,11,v23-scene-d11,Nari,fern key,gate memory,1.636293,1,1,1,1,Nari: fern key belongs with sealed note; ask before using the fern key near the archive; I am welcoming.,1.0
167,11,v23-scene-d11,Vonn,listening shell,quiet witness,2.419691,1,1,1,1,Vonn: listening shell belongs with quiet distance; set the listening shell down before speaking loudly; I am guarded.,1.0
168,11,v23-scene-d11,Ori,sap hook,repair hold,4.120905,1,1,1,1,Ori: sap hook belongs with repair warning; carry the sap hook only after Ori nods; I am welcoming.,1.0
169,11,v23-scene-d11,Sova,ember bowl,warmth witness,1.757172,1,1,1,1,Sova: ember bowl belongs with warm rest space; keep the ember bowl near the rest mat; I am guarded.,1.0
170,11,v23-scene-d11,Ori,sap hook,repair hold,3.832448,1,1,1,1,Ori: sap hook belongs with repair warning; carry the sap hook only after Ori nods; I am guarded.,1.0
171,11,v23-scene-d11,Sova,ember bowl,warmth witness,2.076415,1,1,1,1,Sova: ember bowl belongs with warm rest space; keep the ember bowl near the rest mat; I am softens.,1.0
