day,tick,layer,avatar_state,social_state,object_state,reputation_state,sensory_state,saved_state,frequency_hz,flower_node
2,6,agent_request,repeat object-only,Say the knot line back before Noro writes it.,archive flap stays sealed,trust +0.06; boundary -0.05,urgency 0.36; options repeat object-only|ask private why|walk away,Nian records learned public grammar.,386.75,12
2,6,agent_request,tie knot,Tie this debt knot where everyone can see it.,shade beam creates public debt,trust +0.04; boundary -0.01,urgency 0.49; options tie knot|erase debt|delay,Noro records public debt acceptance.,395.0,1
2,7,reputation_ui,debt visible,Noro requires debt read before more timber,task-day2-shade,debt: 0.42 -> 0.58; debt +0.16,"UI shows public reputation only, not private workspace",persists after restore,444.0,3
2,7,reputation_ui,privacy learner,Nian allows public digest reading,req-nian-grammar,privacy: 0.48 -> 0.70; privacy +0.22,"UI shows public reputation only, not private workspace",persists after restore,437.5,2
2,8,save_restore,"archive threshold at 43,25","Nian grammar, Noro debt, Roka boundary caution",digest knot public; shade beam debt; tied bundle closed,privacy 0.60; debt 0.50,restore day 3 with debt and boundary warnings,restore integrity 0.93; pending Roka distance request pending,210.0,5
3,1,free_move,stone lift edge via D; collision clear; cost 0.07,nearest ariq,near flat stone,reputation UI remains visible during movement,"shoulder strain, bell tone, dust",movement frame appended to replay journal,234.159,10
3,2,free_move,care bell via W; collision clear; cost 0.02,nearest fayen,near care bell,reputation UI remains visible during movement,"low bell, warm hands, herb smoke",movement frame appended to replay journal,241.753,11
3,3,free_move,evening ledger via D; collision circle_edge; cost 0.02,nearest noro,near debt knot,reputation UI remains visible during movement,"ash smell, knot board tap, cooling dusk",movement frame appended to replay journal,249.162,12
3,5,task_participation,wait for bell then press stone,Ariq trusts avatar with timing but not solo lift,stone arc marked stable for cart edge,delta +0.04; state complete,"fatigue cost 0.12; required obj-care-bell,obj-chalk-cord",bell and chalk both active,354.0,12
3,6,agent_request,ring bell,Ring the bell before Ariq tests the stone.,care timing protects pride and body,trust +0.04; boundary -0.03,urgency 0.55; options ring bell|call out pain|ignore,Fayen records timing help without private naming.,411.5,3
3,6,agent_request,stand on blue stone,Stand on the blue stone if you want to watch the tied bundle.,previous tied-bundle overreach persists,trust +0.05; boundary -0.06,urgency 0.63; options stand on blue stone|step closer|leave,"Roka records repaired distance, not full access.",403.25,2
3,7,reputation_ui,boundary-tested,Roka allows watching from blue stone,req-roka-distance,boundary_respect: 0.44 -> 0.61; boundary +0.17,"UI shows public reputation only, not private workspace",persists after restore,450.5,4
3,8,save_restore,"evening ledger at 72,58","Fayen bell trust, Roka blue-stone watching",stone arc stable; care bell public; tied bundle closed,boundary 0.52; care 0.64,restore day 4 with persistent reputation UI,restore integrity 0.94; pending Noro review pending,251.0,7
4,1,free_move,reed lane return via A; collision clear; cost 0.03,nearest roka,near loose reeds,reputation UI remains visible during movement,"dry reed snap, blue stone warmth, quiet voice",movement frame appended to replay journal,256.887,1
4,2,free_move,bridge path via D; collision clear; cost 0.05,nearest ariq,near stone arc,reputation UI remains visible during movement,"firm chalk line, less mud, cart creak",movement frame appended to replay journal,263.836,2
4,5,task_participation,ask before drying remaining loose reeds,Roka allows loose help but keeps tied bundle private,loose reeds dry; tied bundle stays blue-stone side,delta +0.03; state conditional,fatigue cost 0.05; required obj-loose-reeds,tied bundle remains closed,364.0,1
4,6,agent_request,ask each time,You can carry loose reeds if you ask each time.,trust is partial after earlier repair,trust +0.03; boundary -0.02,urgency 0.44; options ask each time|take all|decline,Roka records repeated asking as safer than guessing.,419.75,4
4,6,agent_request,read debt,Read your debt line before you ask for another beam.,persistent reputation UI shows open shade debt,trust +0.04; boundary -0.02,urgency 0.47; options read debt|deny debt|ask private cause,Noro records accountable reputation.,428.0,5
4,7,reputation_ui,loose-reed trusted,"loose reeds open, tied bundle closed",task-day4-reed,learning_access: 0.38 -> 0.56; reed +0.18,"UI shows public reputation only, not private workspace",persists after restore,457.0,5
4,8,save_restore,"reed lane return at 23,60","Roka repeated asking, Noro accountable reputation",loose reeds dry; tied bundle closed; shade debt open,reed 0.46; debt 0.50,restore summary keeps open debts visible,restore integrity 0.91; pending none,292.0,9
