tick,day,resident,phrase_key,resident_reply_key,reply_text,schedule_reference,memory_reference,debt_reference,no_llm_call,no_autonomous_language_claim,private_workspace_hidden
0,1,Tovan,ask_schedule,greets_cautiously,Tovan greets cautiously; phrase=ask_schedule; no generated open chat.,carry water,v60:tovan:water_carry:d001:s00,water carry,True,True,True
120,7,Tovan,ask_schedule,declines_politely,Tovan declines politely; phrase=ask_schedule; no generated open chat.,carry water,v60:tovan:water_carry:d007:s12,water carry,True,True,True
121,7,Nia,offer_help,names_current_task,Nia names current task; phrase=offer_help; no generated open chat.,dry cloaks,v60:nia:repair_promise:d007:s13,repair promise,True,True,True
122,7,Ari,apologize,asks_for_space,Ari asks for space; phrase=apologize; no generated open chat.,map safe route,v60:ari:missed_greeting:d007:s14,missed greeting,True,True,True
123,7,Fay,ask_debt,thanks_briefly,Fay thanks briefly; phrase=ask_debt; no generated open chat.,rest after rain,v60:fay:care_favor:d007:s15,care favor,True,True,True
124,7,Milo,thank,greets_cautiously,Milo greets cautiously; phrase=thank; no generated open chat.,recover focus,v60:milo:route_warning:d007:s16,route warning,True,True,True
125,7,Sera,request_space,accepts_bounded_help,Sera accepts bounded help; phrase=request_space; no generated open chat.,repair awning,v60:sera:tool_loan:d007:s17,tool loan,True,True,True
126,8,Tovan,ask_schedule,greets_cautiously,Tovan greets cautiously; phrase=ask_schedule; no generated open chat.,carry water,v60:tovan:repair_promise:d008:s00,repair promise,True,True,True
127,8,Nia,offer_help,accepts_bounded_help,Nia accepts bounded help; phrase=offer_help; no generated open chat.,dry cloaks,v60:nia:missed_greeting:d008:s01,missed greeting,True,True,True
128,8,Ari,apologize,explains_debt,Ari explains debt; phrase=apologize; no generated open chat.,map safe route,v60:ari:care_favor:d008:s02,care favor,True,True,True
129,8,Fay,ask_debt,declines_politely,Fay declines politely; phrase=ask_debt; no generated open chat.,rest after rain,v60:fay:route_warning:d008:s03,route warning,True,True,True
130,8,Milo,thank,names_current_task,Milo names current task; phrase=thank; no generated open chat.,recover focus,v60:milo:tool_loan:d008:s04,tool loan,True,True,True
131,8,Sera,request_space,asks_for_space,Sera asks for space; phrase=request_space; no generated open chat.,repair awning,v60:sera:water_carry:d008:s05,water carry,True,True,True
132,8,Tovan,greet,thanks_briefly,Tovan thanks briefly; phrase=greet; no generated open chat.,sort herbs,v60:tovan:repair_promise:d008:s06,repair promise,True,True,True
133,8,Nia,ask_schedule,greets_cautiously,Nia greets cautiously; phrase=ask_schedule; no generated open chat.,carry water,v60:nia:missed_greeting:d008:s07,missed greeting,True,True,True
134,8,Ari,offer_help,accepts_bounded_help,Ari accepts bounded help; phrase=offer_help; no generated open chat.,dry cloaks,v60:ari:care_favor:d008:s08,care favor,True,True,True
135,8,Fay,apologize,explains_debt,Fay explains debt; phrase=apologize; no generated open chat.,map safe route,v60:fay:route_warning:d008:s09,route warning,True,True,True
136,8,Milo,ask_debt,declines_politely,Milo declines politely; phrase=ask_debt; no generated open chat.,rest after rain,v60:milo:tool_loan:d008:s10,tool loan,True,True,True
137,8,Sera,thank,names_current_task,Sera names current task; phrase=thank; no generated open chat.,recover focus,v60:sera:water_carry:d008:s11,water carry,True,True,True
138,8,Tovan,request_space,asks_for_space,Tovan asks for space; phrase=request_space; no generated open chat.,repair awning,v60:tovan:repair_promise:d008:s12,repair promise,True,True,True
139,8,Nia,greet,thanks_briefly,Nia thanks briefly; phrase=greet; no generated open chat.,sort herbs,v60:nia:missed_greeting:d008:s13,missed greeting,True,True,True
140,8,Ari,ask_schedule,greets_cautiously,Ari greets cautiously; phrase=ask_schedule; no generated open chat.,carry water,v60:ari:care_favor:d008:s14,care favor,True,True,True
141,8,Fay,offer_help,accepts_bounded_help,Fay accepts bounded help; phrase=offer_help; no generated open chat.,dry cloaks,v60:fay:route_warning:d008:s15,route warning,True,True,True
142,8,Milo,apologize,explains_debt,Milo explains debt; phrase=apologize; no generated open chat.,map safe route,v60:milo:tool_loan:d008:s16,tool loan,True,True,True
143,8,Sera,ask_debt,declines_politely,Sera declines politely; phrase=ask_debt; no generated open chat.,rest after rain,v60:sera:water_carry:d008:s17,water carry,True,True,True
144,9,Tovan,request_space,explains_debt,Tovan explains debt; phrase=request_space; no generated open chat.,repair awning,v60:tovan:missed_greeting:d009:s00,missed greeting,True,True,True
145,9,Nia,greet,declines_politely,Nia declines politely; phrase=greet; no generated open chat.,sort herbs,v60:nia:care_favor:d009:s01,care favor,True,True,True
146,9,Ari,ask_schedule,names_current_task,Ari names current task; phrase=ask_schedule; no generated open chat.,carry water,v60:ari:route_warning:d009:s02,route warning,True,True,True
147,9,Fay,offer_help,asks_for_space,Fay asks for space; phrase=offer_help; no generated open chat.,dry cloaks,v60:fay:tool_loan:d009:s03,tool loan,True,True,True
148,9,Milo,apologize,thanks_briefly,Milo thanks briefly; phrase=apologize; no generated open chat.,map safe route,v60:milo:water_carry:d009:s04,water carry,True,True,True
149,9,Sera,ask_debt,greets_cautiously,Sera greets cautiously; phrase=ask_debt; no generated open chat.,rest after rain,v60:sera:repair_promise:d009:s05,repair promise,True,True,True
150,9,Tovan,thank,accepts_bounded_help,Tovan accepts bounded help; phrase=thank; no generated open chat.,recover focus,v60:tovan:missed_greeting:d009:s06,missed greeting,True,True,True
151,9,Nia,request_space,explains_debt,Nia explains debt; phrase=request_space; no generated open chat.,repair awning,v60:nia:care_favor:d009:s07,care favor,True,True,True
152,9,Ari,greet,declines_politely,Ari declines politely; phrase=greet; no generated open chat.,sort herbs,v60:ari:route_warning:d009:s08,route warning,True,True,True
153,9,Fay,ask_schedule,names_current_task,Fay names current task; phrase=ask_schedule; no generated open chat.,carry water,v60:fay:tool_loan:d009:s09,tool loan,True,True,True
154,9,Milo,offer_help,asks_for_space,Milo asks for space; phrase=offer_help; no generated open chat.,dry cloaks,v60:milo:water_carry:d009:s10,water carry,True,True,True
155,9,Sera,apologize,thanks_briefly,Sera thanks briefly; phrase=apologize; no generated open chat.,map safe route,v60:sera:repair_promise:d009:s11,repair promise,True,True,True
156,9,Tovan,ask_debt,greets_cautiously,Tovan greets cautiously; phrase=ask_debt; no generated open chat.,rest after rain,v60:tovan:missed_greeting:d009:s12,missed greeting,True,True,True
157,9,Nia,thank,accepts_bounded_help,Nia accepts bounded help; phrase=thank; no generated open chat.,recover focus,v60:nia:care_favor:d009:s13,care favor,True,True,True
158,9,Ari,request_space,explains_debt,Ari explains debt; phrase=request_space; no generated open chat.,repair awning,v60:ari:route_warning:d009:s14,route warning,True,True,True
159,9,Fay,greet,declines_politely,Fay declines politely; phrase=greet; no generated open chat.,sort herbs,v60:fay:tool_loan:d009:s15,tool loan,True,True,True
160,9,Milo,ask_schedule,names_current_task,Milo names current task; phrase=ask_schedule; no generated open chat.,carry water,v60:milo:water_carry:d009:s16,water carry,True,True,True
161,9,Sera,offer_help,asks_for_space,Sera asks for space; phrase=offer_help; no generated open chat.,dry cloaks,v60:sera:repair_promise:d009:s17,repair promise,True,True,True
162,10,Tovan,ask_debt,names_current_task,Tovan names current task; phrase=ask_debt; no generated open chat.,rest after rain,v60:tovan:care_favor:d010:s00,care favor,True,True,True
163,10,Nia,thank,asks_for_space,Nia asks for space; phrase=thank; no generated open chat.,recover focus,v60:nia:route_warning:d010:s01,route warning,True,True,True
164,10,Ari,request_space,thanks_briefly,Ari thanks briefly; phrase=request_space; no generated open chat.,repair awning,v60:ari:tool_loan:d010:s02,tool loan,True,True,True
165,10,Fay,greet,greets_cautiously,Fay greets cautiously; phrase=greet; no generated open chat.,sort herbs,v60:fay:water_carry:d010:s03,water carry,True,True,True
166,10,Milo,ask_schedule,accepts_bounded_help,Milo accepts bounded help; phrase=ask_schedule; no generated open chat.,carry water,v60:milo:repair_promise:d010:s04,repair promise,True,True,True
167,10,Sera,offer_help,explains_debt,Sera explains debt; phrase=offer_help; no generated open chat.,dry cloaks,v60:sera:missed_greeting:d010:s05,missed greeting,True,True,True
168,10,Tovan,apologize,declines_politely,Tovan declines politely; phrase=apologize; no generated open chat.,map safe route,v60:tovan:care_favor:d010:s06,care favor,True,True,True
169,10,Nia,ask_debt,names_current_task,Nia names current task; phrase=ask_debt; no generated open chat.,rest after rain,v60:nia:route_warning:d010:s07,route warning,True,True,True
170,10,Ari,thank,asks_for_space,Ari asks for space; phrase=thank; no generated open chat.,recover focus,v60:ari:tool_loan:d010:s08,tool loan,True,True,True
171,10,Fay,request_space,thanks_briefly,Fay thanks briefly; phrase=request_space; no generated open chat.,repair awning,v60:fay:water_carry:d010:s09,water carry,True,True,True
172,10,Milo,greet,greets_cautiously,Milo greets cautiously; phrase=greet; no generated open chat.,sort herbs,v60:milo:repair_promise:d010:s10,repair promise,True,True,True
