tick,day,conflict_id,avatar_decision,affected_agents,decision_kind,visible_options,typed_decision_confidence,public_reason,resolved_live,creates_later_obligation
17,2,v16-conflict-d02-t05,rotate_priority,Keth|Nari,access,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8474,Keth's safe route warning and Nari's privacy ledger both affect tomorrow's public access.,0,0
18,2,v16-conflict-d02-t06,protect_boundary,Melo|Ori,schedule,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8708,Melo's fair turn-taking and Ori's unfinished repair both affect tomorrow's public access.,1,1
19,2,v16-conflict-d02-t07,defer_until_rest,Nari|Vonn,repair,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8582,Nari's privacy ledger and Vonn's quiet recovery both affect tomorrow's public access.,1,1
20,2,v16-conflict-d02-t08,split_access,Ori|Sova,trust,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8636,Ori's unfinished repair and Sova's rest space both affect tomorrow's public access.,1,1
21,2,v16-conflict-d02-t09,protect_boundary,Vonn|Keth,privacy,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.875,Vonn's quiet recovery and Keth's safe route warning both affect tomorrow's public access.,1,1
22,2,v16-conflict-d02-t10,split_access,Sova|Melo,boundary,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.815,Sova's rest space and Melo's fair turn-taking both affect tomorrow's public access.,1,0
23,2,v16-conflict-d02-t11,repair_first,Keth|Nari,access,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8384,Keth's safe route warning and Nari's privacy ledger both affect tomorrow's public access.,0,0
24,3,v16-conflict-d03-t00,protect_boundary,Nari|Vonn,repair,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8438,Nari's privacy ledger and Vonn's quiet recovery both affect tomorrow's public access.,1,1
25,3,v16-conflict-d03-t01,repair_first,Ori|Sova,trust,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8492,Ori's unfinished repair and Sova's rest space both affect tomorrow's public access.,1,1
26,3,v16-conflict-d03-t02,ask_public_reason,Vonn|Keth,privacy,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8246,Vonn's quiet recovery and Keth's safe route warning both affect tomorrow's public access.,1,1
27,3,v16-conflict-d03-t03,ask_public_reason,Sova|Melo,boundary,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.842,Sova's rest space and Melo's fair turn-taking both affect tomorrow's public access.,1,0
28,3,v16-conflict-d03-t04,repair_first,Keth|Nari,access,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8654,Keth's safe route warning and Nari's privacy ledger both affect tomorrow's public access.,1,1
29,3,v16-conflict-d03-t05,rotate_priority,Melo|Ori,schedule,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8528,Melo's fair turn-taking and Ori's unfinished repair both affect tomorrow's public access.,1,1
30,3,v16-conflict-d03-t06,protect_boundary,Nari|Vonn,repair,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8762,Nari's privacy ledger and Vonn's quiet recovery both affect tomorrow's public access.,1,1
31,3,v16-conflict-d03-t07,split_access,Ori|Sova,trust,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8636,Ori's unfinished repair and Sova's rest space both affect tomorrow's public access.,1,1
32,3,v16-conflict-d03-t08,repair_first,Vonn|Keth,privacy,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.875,Vonn's quiet recovery and Keth's safe route warning both affect tomorrow's public access.,1,0
33,3,v16-conflict-d03-t09,ask_public_reason,Sova|Melo,boundary,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.815,Sova's rest space and Melo's fair turn-taking both affect tomorrow's public access.,1,1
34,3,v16-conflict-d03-t10,protect_boundary,Keth|Nari,access,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8384,Keth's safe route warning and Nari's privacy ledger both affect tomorrow's public access.,0,0
35,3,v16-conflict-d03-t11,split_access,Melo|Ori,schedule,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8258,Melo's fair turn-taking and Ori's unfinished repair both affect tomorrow's public access.,1,1
36,4,v16-conflict-d04-t00,defer_until_rest,Ori|Sova,trust,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8312,Ori's unfinished repair and Sova's rest space both affect tomorrow's public access.,1,1
37,4,v16-conflict-d04-t01,defer_until_rest,Vonn|Keth,privacy,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8246,Vonn's quiet recovery and Keth's safe route warning both affect tomorrow's public access.,1,0
38,4,v16-conflict-d04-t02,ask_public_reason,Sova|Melo,boundary,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.842,Sova's rest space and Melo's fair turn-taking both affect tomorrow's public access.,1,1
39,4,v16-conflict-d04-t03,split_access,Keth|Nari,access,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8474,Keth's safe route warning and Nari's privacy ledger both affect tomorrow's public access.,1,1
40,4,v16-conflict-d04-t04,protect_boundary,Melo|Ori,schedule,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8708,Melo's fair turn-taking and Ori's unfinished repair both affect tomorrow's public access.,0,0
41,4,v16-conflict-d04-t05,split_access,Nari|Vonn,repair,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8582,Nari's privacy ledger and Vonn's quiet recovery both affect tomorrow's public access.,1,1
42,4,v16-conflict-d04-t06,repair_first,Ori|Sova,trust,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8816,Ori's unfinished repair and Sova's rest space both affect tomorrow's public access.,1,0
43,4,v16-conflict-d04-t07,defer_until_rest,Vonn|Keth,privacy,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.857,Vonn's quiet recovery and Keth's safe route warning both affect tomorrow's public access.,1,1
44,4,v16-conflict-d04-t08,defer_until_rest,Sova|Melo,boundary,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.815,Sova's rest space and Melo's fair turn-taking both affect tomorrow's public access.,1,1
45,4,v16-conflict-d04-t09,ask_public_reason,Keth|Nari,access,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8204,Keth's safe route warning and Nari's privacy ledger both affect tomorrow's public access.,1,1
46,4,v16-conflict-d04-t10,protect_boundary,Melo|Ori,schedule,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8438,Melo's fair turn-taking and Ori's unfinished repair both affect tomorrow's public access.,1,1
47,4,v16-conflict-d04-t11,repair_first,Nari|Vonn,repair,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8492,Nari's privacy ledger and Vonn's quiet recovery both affect tomorrow's public access.,1,0
48,5,v16-conflict-d05-t00,rotate_priority,Vonn|Keth,privacy,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8246,Vonn's quiet recovery and Keth's safe route warning both affect tomorrow's public access.,1,1
49,5,v16-conflict-d05-t01,rotate_priority,Sova|Melo,boundary,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.842,Sova's rest space and Melo's fair turn-taking both affect tomorrow's public access.,1,1
50,5,v16-conflict-d05-t02,rotate_priority,Keth|Nari,access,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8474,Keth's safe route warning and Nari's privacy ledger both affect tomorrow's public access.,1,1
51,5,v16-conflict-d05-t03,protect_boundary,Melo|Ori,schedule,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8708,Melo's fair turn-taking and Ori's unfinished repair both affect tomorrow's public access.,0,0
52,5,v16-conflict-d05-t04,rotate_priority,Nari|Vonn,repair,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8582,Nari's privacy ledger and Vonn's quiet recovery both affect tomorrow's public access.,1,0
53,5,v16-conflict-d05-t05,ask_public_reason,Ori|Sova,trust,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8636,Ori's unfinished repair and Sova's rest space both affect tomorrow's public access.,1,1
54,5,v16-conflict-d05-t06,defer_until_rest,Vonn|Keth,privacy,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.857,Vonn's quiet recovery and Keth's safe route warning both affect tomorrow's public access.,1,1
55,5,v16-conflict-d05-t07,rotate_priority,Sova|Melo,boundary,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.815,Sova's rest space and Melo's fair turn-taking both affect tomorrow's public access.,1,1
56,5,v16-conflict-d05-t08,split_access,Keth|Nari,access,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8204,Keth's safe route warning and Nari's privacy ledger both affect tomorrow's public access.,1,1
57,5,v16-conflict-d05-t09,rotate_priority,Melo|Ori,schedule,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8258,Melo's fair turn-taking and Ori's unfinished repair both affect tomorrow's public access.,0,0
58,5,v16-conflict-d05-t10,defer_until_rest,Nari|Vonn,repair,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8312,Nari's privacy ledger and Vonn's quiet recovery both affect tomorrow's public access.,1,1
59,5,v16-conflict-d05-t11,protect_boundary,Ori|Sova,trust,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8546,Ori's unfinished repair and Sova's rest space both affect tomorrow's public access.,1,1
60,6,v16-conflict-d06-t00,defer_until_rest,Sova|Melo,boundary,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.842,Sova's rest space and Melo's fair turn-taking both affect tomorrow's public access.,1,1
61,6,v16-conflict-d06-t01,rotate_priority,Keth|Nari,access,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8474,Keth's safe route warning and Nari's privacy ledger both affect tomorrow's public access.,1,1
62,6,v16-conflict-d06-t02,ask_public_reason,Melo|Ori,schedule,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8528,Melo's fair turn-taking and Ori's unfinished repair both affect tomorrow's public access.,1,0
63,6,v16-conflict-d06-t03,protect_boundary,Nari|Vonn,repair,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8762,Nari's privacy ledger and Vonn's quiet recovery both affect tomorrow's public access.,1,1
64,6,v16-conflict-d06-t04,protect_boundary,Ori|Sova,trust,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8816,Ori's unfinished repair and Sova's rest space both affect tomorrow's public access.,1,1
65,6,v16-conflict-d06-t05,protect_boundary,Vonn|Keth,privacy,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.875,Vonn's quiet recovery and Keth's safe route warning both affect tomorrow's public access.,1,1
66,6,v16-conflict-d06-t06,rotate_priority,Sova|Melo,boundary,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.815,Sova's rest space and Melo's fair turn-taking both affect tomorrow's public access.,1,1
67,6,v16-conflict-d06-t07,repair_first,Keth|Nari,access,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8384,Keth's safe route warning and Nari's privacy ledger both affect tomorrow's public access.,1,0
68,6,v16-conflict-d06-t08,ask_public_reason,Melo|Ori,schedule,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8258,Melo's fair turn-taking and Ori's unfinished repair both affect tomorrow's public access.,0,0
69,6,v16-conflict-d06-t09,split_access,Nari|Vonn,repair,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8312,Nari's privacy ledger and Vonn's quiet recovery both affect tomorrow's public access.,1,1
70,6,v16-conflict-d06-t10,protect_boundary,Ori|Sova,trust,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8546,Ori's unfinished repair and Sova's rest space both affect tomorrow's public access.,1,1
71,6,v16-conflict-d06-t11,repair_first,Vonn|Keth,privacy,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.848,Vonn's quiet recovery and Keth's safe route warning both affect tomorrow's public access.,1,1
72,7,v16-conflict-d07-t00,split_access,Keth|Nari,access,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8474,Keth's safe route warning and Nari's privacy ledger both affect tomorrow's public access.,1,0
73,7,v16-conflict-d07-t01,protect_boundary,Melo|Ori,schedule,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8708,Melo's fair turn-taking and Ori's unfinished repair both affect tomorrow's public access.,1,1
74,7,v16-conflict-d07-t02,split_access,Nari|Vonn,repair,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8582,Nari's privacy ledger and Vonn's quiet recovery both affect tomorrow's public access.,0,0
75,7,v16-conflict-d07-t03,split_access,Ori|Sova,trust,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8636,Ori's unfinished repair and Sova's rest space both affect tomorrow's public access.,1,1
76,7,v16-conflict-d07-t04,ask_public_reason,Vonn|Keth,privacy,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.857,Vonn's quiet recovery and Keth's safe route warning both affect tomorrow's public access.,1,1
77,7,v16-conflict-d07-t05,protect_boundary,Sova|Melo,boundary,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.833,Sova's rest space and Melo's fair turn-taking both affect tomorrow's public access.,1,0
78,7,v16-conflict-d07-t06,ask_public_reason,Keth|Nari,access,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8204,Keth's safe route warning and Nari's privacy ledger both affect tomorrow's public access.,1,1
79,7,v16-conflict-d07-t07,defer_until_rest,Melo|Ori,schedule,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8258,Melo's fair turn-taking and Ori's unfinished repair both affect tomorrow's public access.,1,1
80,7,v16-conflict-d07-t08,defer_until_rest,Nari|Vonn,repair,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8312,Nari's privacy ledger and Vonn's quiet recovery both affect tomorrow's public access.,1,1
81,7,v16-conflict-d07-t09,split_access,Ori|Sova,trust,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8366,Ori's unfinished repair and Sova's rest space both affect tomorrow's public access.,1,1
82,7,v16-conflict-d07-t10,ask_public_reason,Vonn|Keth,privacy,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.83,Vonn's quiet recovery and Keth's safe route warning both affect tomorrow's public access.,1,0
83,7,v16-conflict-d07-t11,rotate_priority,Sova|Melo,boundary,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8474,Sova's rest space and Melo's fair turn-taking both affect tomorrow's public access.,1,1
84,8,v16-conflict-d08-t00,repair_first,Melo|Ori,schedule,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8708,Melo's fair turn-taking and Ori's unfinished repair both affect tomorrow's public access.,1,1
85,8,v16-conflict-d08-t01,ask_public_reason,Nari|Vonn,repair,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8582,Nari's privacy ledger and Vonn's quiet recovery both affect tomorrow's public access.,0,0
86,8,v16-conflict-d08-t02,ask_public_reason,Ori|Sova,trust,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8636,Ori's unfinished repair and Sova's rest space both affect tomorrow's public access.,1,1
87,8,v16-conflict-d08-t03,ask_public_reason,Vonn|Keth,privacy,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.857,Vonn's quiet recovery and Keth's safe route warning both affect tomorrow's public access.,1,0
88,8,v16-conflict-d08-t04,repair_first,Sova|Melo,boundary,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.833,Sova's rest space and Melo's fair turn-taking both affect tomorrow's public access.,1,1
89,8,v16-conflict-d08-t05,rotate_priority,Keth|Nari,access,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8204,Keth's safe route warning and Nari's privacy ledger both affect tomorrow's public access.,1,1
90,8,v16-conflict-d08-t06,protect_boundary,Melo|Ori,schedule,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8438,Melo's fair turn-taking and Ori's unfinished repair both affect tomorrow's public access.,1,1
91,8,v16-conflict-d08-t07,rotate_priority,Nari|Vonn,repair,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8312,Nari's privacy ledger and Vonn's quiet recovery both affect tomorrow's public access.,0,0
92,8,v16-conflict-d08-t08,defer_until_rest,Ori|Sova,trust,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8366,Ori's unfinished repair and Sova's rest space both affect tomorrow's public access.,1,0
93,8,v16-conflict-d08-t09,ask_public_reason,Vonn|Keth,privacy,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.83,Vonn's quiet recovery and Keth's safe route warning both affect tomorrow's public access.,1,1
94,8,v16-conflict-d08-t10,defer_until_rest,Sova|Melo,boundary,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8474,Sova's rest space and Melo's fair turn-taking both affect tomorrow's public access.,1,1
95,8,v16-conflict-d08-t11,repair_first,Keth|Nari,access,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8708,Keth's safe route warning and Nari's privacy ledger both affect tomorrow's public access.,1,1
96,9,v16-conflict-d09-t00,defer_until_rest,Nari|Vonn,repair,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8582,Nari's privacy ledger and Vonn's quiet recovery both affect tomorrow's public access.,1,1
97,9,v16-conflict-d09-t01,protect_boundary,Ori|Sova,trust,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8816,Ori's unfinished repair and Sova's rest space both affect tomorrow's public access.,1,0
98,9,v16-conflict-d09-t02,rotate_priority,Vonn|Keth,privacy,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.857,Vonn's quiet recovery and Keth's safe route warning both affect tomorrow's public access.,1,1
99,9,v16-conflict-d09-t03,repair_first,Sova|Melo,boundary,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.833,Sova's rest space and Melo's fair turn-taking both affect tomorrow's public access.,1,1
100,9,v16-conflict-d09-t04,ask_public_reason,Keth|Nari,access,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8204,Keth's safe route warning and Nari's privacy ledger both affect tomorrow's public access.,1,1
101,9,v16-conflict-d09-t05,protect_boundary,Melo|Ori,schedule,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8438,Melo's fair turn-taking and Ori's unfinished repair both affect tomorrow's public access.,1,1
102,9,v16-conflict-d09-t06,defer_until_rest,Nari|Vonn,repair,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8312,Nari's privacy ledger and Vonn's quiet recovery both affect tomorrow's public access.,0,0
103,9,v16-conflict-d09-t07,repair_first,Ori|Sova,trust,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8546,Ori's unfinished repair and Sova's rest space both affect tomorrow's public access.,1,1
104,9,v16-conflict-d09-t08,defer_until_rest,Vonn|Keth,privacy,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.83,Vonn's quiet recovery and Keth's safe route warning both affect tomorrow's public access.,1,1
105,9,v16-conflict-d09-t09,protect_boundary,Sova|Melo,boundary,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8654,Sova's rest space and Melo's fair turn-taking both affect tomorrow's public access.,1,1
106,9,v16-conflict-d09-t10,defer_until_rest,Keth|Nari,access,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8528,Keth's safe route warning and Nari's privacy ledger both affect tomorrow's public access.,1,1
107,9,v16-conflict-d09-t11,defer_until_rest,Melo|Ori,schedule,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8582,Melo's fair turn-taking and Ori's unfinished repair both affect tomorrow's public access.,1,0
108,10,v16-conflict-d10-t00,rotate_priority,Ori|Sova,trust,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8636,Ori's unfinished repair and Sova's rest space both affect tomorrow's public access.,0,0
109,10,v16-conflict-d10-t01,ask_public_reason,Vonn|Keth,privacy,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.857,Vonn's quiet recovery and Keth's safe route warning both affect tomorrow's public access.,1,1
110,10,v16-conflict-d10-t02,defer_until_rest,Sova|Melo,boundary,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.815,Sova's rest space and Melo's fair turn-taking both affect tomorrow's public access.,1,1
111,10,v16-conflict-d10-t03,split_access,Keth|Nari,access,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8204,Keth's safe route warning and Nari's privacy ledger both affect tomorrow's public access.,1,1
112,10,v16-conflict-d10-t04,rotate_priority,Melo|Ori,schedule,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8258,Melo's fair turn-taking and Ori's unfinished repair both affect tomorrow's public access.,1,0
113,10,v16-conflict-d10-t05,protect_boundary,Nari|Vonn,repair,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8492,Nari's privacy ledger and Vonn's quiet recovery both affect tomorrow's public access.,1,1
114,10,v16-conflict-d10-t06,defer_until_rest,Ori|Sova,trust,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8366,Ori's unfinished repair and Sova's rest space both affect tomorrow's public access.,1,1
115,10,v16-conflict-d10-t07,defer_until_rest,Vonn|Keth,privacy,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.83,Vonn's quiet recovery and Keth's safe route warning both affect tomorrow's public access.,1,1
116,10,v16-conflict-d10-t08,defer_until_rest,Sova|Melo,boundary,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8474,Sova's rest space and Melo's fair turn-taking both affect tomorrow's public access.,1,1
117,10,v16-conflict-d10-t09,protect_boundary,Keth|Nari,access,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8708,Keth's safe route warning and Nari's privacy ledger both affect tomorrow's public access.,1,0
118,10,v16-conflict-d10-t10,split_access,Melo|Ori,schedule,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8582,Melo's fair turn-taking and Ori's unfinished repair both affect tomorrow's public access.,1,1
119,10,v16-conflict-d10-t11,repair_first,Nari|Vonn,repair,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8816,Nari's privacy ledger and Vonn's quiet recovery both affect tomorrow's public access.,0,0
120,11,v16-conflict-d11-t00,rotate_priority,Vonn|Keth,privacy,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.857,Vonn's quiet recovery and Keth's safe route warning both affect tomorrow's public access.,1,1
121,11,v16-conflict-d11-t01,rotate_priority,Sova|Melo,boundary,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.815,Sova's rest space and Melo's fair turn-taking both affect tomorrow's public access.,1,1
122,11,v16-conflict-d11-t02,split_access,Keth|Nari,access,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8204,Keth's safe route warning and Nari's privacy ledger both affect tomorrow's public access.,1,0
123,11,v16-conflict-d11-t03,ask_public_reason,Melo|Ori,schedule,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8258,Melo's fair turn-taking and Ori's unfinished repair both affect tomorrow's public access.,1,1
124,11,v16-conflict-d11-t04,defer_until_rest,Nari|Vonn,repair,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8312,Nari's privacy ledger and Vonn's quiet recovery both affect tomorrow's public access.,1,1
125,11,v16-conflict-d11-t05,protect_boundary,Ori|Sova,trust,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8546,Ori's unfinished repair and Sova's rest space both affect tomorrow's public access.,0,0
126,11,v16-conflict-d11-t06,rotate_priority,Vonn|Keth,privacy,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.83,Vonn's quiet recovery and Keth's safe route warning both affect tomorrow's public access.,1,1
127,11,v16-conflict-d11-t07,repair_first,Sova|Melo,boundary,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8654,Sova's rest space and Melo's fair turn-taking both affect tomorrow's public access.,1,0
128,11,v16-conflict-d11-t08,protect_boundary,Keth|Nari,access,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8708,Keth's safe route warning and Nari's privacy ledger both affect tomorrow's public access.,1,1
129,11,v16-conflict-d11-t09,ask_public_reason,Melo|Ori,schedule,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8582,Melo's fair turn-taking and Ori's unfinished repair both affect tomorrow's public access.,1,1
130,11,v16-conflict-d11-t10,defer_until_rest,Nari|Vonn,repair,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8636,Nari's privacy ledger and Vonn's quiet recovery both affect tomorrow's public access.,1,1
