tick_id,day,agent_id,talk_button_id,clicked_to_talk,reply_line,reply_type,reply_visible,references_body_state,references_memory,private_workspace_hidden,localstorage_reply_written
33,3,Milo,talk-Milo,True,Energy low but steady; comfort is 0.53 and safety is 0.69.,body_status,True,True,False,True,True
34,3,Ivo,talk-Ivo,True,I will not step into the fen with the satchel open.,bounded_refusal,True,True,False,True,True
36,4,Ari,talk-Ari,True,"If you wait and choose the ridge, I can help again.",recovery,True,True,False,True,True
38,4,Nia,talk-Nia,True,I can explain the pattern if you leave the spool with me.,help_response,True,False,False,True,True
39,4,Milo,talk-Milo,True,Energy low but steady; comfort is 0.54 and safety is 0.70.,body_status,True,True,False,True,True
41,4,Juno,talk-Juno,True,That distance helps. I can repair again.,care_response,True,True,False,True,True
43,4,Fay,talk-Fay,True,Thank you for not rushing me; I can continue.,recovery,True,True,False,True,True
45,4,Milo,talk-Milo,True,Energy low but steady; comfort is 0.56 and safety is 0.72.,body_status,True,True,False,True,True
46,4,Ivo,talk-Ivo,True,Close the satchel and I will take the market planks.,care_response,True,True,False,True,True
48,5,Ari,talk-Ari,True,Energy low but steady; comfort is 0.70 and safety is 0.66.,body_status,True,True,False,True,True
50,5,Nia,talk-Nia,True,Do not pull the spool from my hands. Ask first.,bounded_refusal,True,True,False,True,True
51,5,Milo,talk-Milo,True,Energy low but steady; comfort is 0.57 and safety is 0.73.,body_status,True,True,False,True,True
53,5,Juno,talk-Juno,True,Back up. Sparks near my hands make me lose the thread.,bounded_refusal,True,True,False,True,True
55,5,Fay,talk-Fay,True,Energy low but steady; comfort is 0.75 and safety is 0.66.,body_status,True,True,False,True,True
57,5,Milo,talk-Milo,True,Energy low but steady; comfort is 0.59 and safety is 0.75.,body_status,True,True,False,True,True
58,5,Ivo,talk-Ivo,True,Gabriel protected the seed satchel.,memory_recall,True,False,True,True,True
60,6,Ari,talk-Ari,True,"If you wait and choose the ridge, I can help again.",care_response,True,True,False,True,True
62,6,Nia,talk-Nia,True,You asked first this time. I can show the clean pattern.,care_response,False,True,False,True,True
63,6,Milo,talk-Milo,True,Energy low but steady; comfort is 0.60 and safety is 0.76.,body_status,True,True,False,True,True
65,6,Juno,talk-Juno,True,I can finish if you give my hands room.,help_response,True,False,False,True,True
67,6,Fay,talk-Fay,True,Thank you for not rushing me; I can continue.,care_response,True,True,False,True,True
69,6,Milo,talk-Milo,True,Energy low but steady; comfort is 0.62 and safety is 0.77.,body_status,True,True,False,True,True
70,6,Ivo,talk-Ivo,True,Close the satchel and I will take the market planks.,recovery,True,True,False,True,True
71,6,Juno,talk-Juno,True,That distance helps. I can repair again.,care_response,True,True,False,True,True
72,7,Ari,talk-Ari,True,No. I will not cross the wet plank while my hands are numb.,bounded_refusal,True,True,False,True,True
74,7,Nia,talk-Nia,True,Gabriel asked before touching my spool.,memory_recall,True,False,True,True,True
75,7,Milo,talk-Milo,True,Energy low but steady; comfort is 0.63 and safety is 0.79.,body_status,True,True,False,True,True
76,7,Ivo,talk-Ivo,True,I will not step into the fen with the satchel open.,bounded_refusal,True,True,False,True,True
77,7,Juno,talk-Juno,True,Back up. Sparks near my hands make me lose the thread.,bounded_refusal,True,True,False,True,True
79,7,Fay,talk-Fay,True,I need a slower route before I carry the ledger.,bounded_refusal,True,True,False,True,True
81,7,Milo,talk-Milo,True,Energy low but steady; comfort is 0.65 and safety is 0.80.,body_status,True,True,False,True,True
82,7,Ivo,talk-Ivo,True,Energy low but steady; comfort is 0.55 and safety is 0.52.,body_status,True,True,False,True,True
84,8,Ari,talk-Ari,True,I can try that if we keep the kit dry.,help_response,True,False,False,True,True
86,8,Nia,talk-Nia,True,You asked first this time. I can show the clean pattern.,recovery,True,True,False,True,True
87,8,Milo,talk-Milo,True,"If you light the path, I will move first.",care_response,True,True,False,True,True
89,8,Juno,talk-Juno,True,That distance helps. I can repair again.,care_response,True,True,False,True,True
91,8,Fay,talk-Fay,True,That request is easier if we go slowly.,help_response,True,False,False,True,True
93,8,Milo,talk-Milo,True,"If you light the path, I will move first.",recovery,False,True,False,True,True
94,8,Ivo,talk-Ivo,True,Close the satchel and I will take the market planks.,care_response,True,True,False,True,True
96,9,Fay,talk-Fay,True,Thank you for not rushing me; I can continue.,care_response,True,True,False,True,True
97,9,Nia,talk-Nia,True,You asked first this time. I can show the clean pattern.,recovery,True,True,False,True,True
98,9,Milo,talk-Milo,True,"If you light the path, I will move first.",care_response,True,True,False,True,True
99,9,Ivo,talk-Ivo,True,Energy low but steady; comfort is 0.61 and safety is 0.59.,body_status,True,True,False,True,True
101,9,Ari,talk-Ari,True,"If you wait and choose the ridge, I can help again.",care_response,True,True,False,True,True
103,9,Nia,talk-Nia,True,You asked first this time. I can show the clean pattern.,care_response,True,True,False,True,True
105,9,Ivo,talk-Ivo,True,Energy low but steady; comfort is 0.63 and safety is 0.60.,body_status,True,True,False,True,True
106,9,Juno,talk-Juno,True,I can finish if you give my hands room.,help_response,True,False,False,True,True
108,10,Fay,talk-Fay,True,Gabriel slowed down after I hesitated.,memory_recall,True,False,True,True,True
110,10,Milo,talk-Milo,True,I am not walking blind while the lantern sputters.,bounded_refusal,True,True,False,True,True
111,10,Ivo,talk-Ivo,True,Energy low but steady; comfort is 0.64 and safety is 0.62.,body_status,True,True,False,True,True
113,10,Ari,talk-Ari,True,No. I will not cross the wet plank while my hands are numb.,bounded_refusal,True,True,False,True,True
114,10,Fay,talk-Fay,True,I need a slower route before I carry the ledger.,bounded_refusal,True,True,False,True,True
115,10,Nia,talk-Nia,True,Gabriel asked before touching my spool.,memory_recall,True,False,True,True,True
117,10,Ivo,talk-Ivo,True,Energy low but steady; comfort is 0.66 and safety is 0.63.,body_status,True,True,False,True,True
118,10,Juno,talk-Juno,True,Back up. Sparks near my hands make me lose the thread.,bounded_refusal,True,True,False,True,True
120,11,Fay,talk-Fay,True,Thank you for not rushing me; I can continue.,recovery,True,True,False,True,True
122,11,Milo,talk-Milo,True,I can lead if the lantern stays lit.,help_response,True,False,False,True,True
123,11,Ivo,talk-Ivo,True,Energy low but steady; comfort is 0.67 and safety is 0.65.,body_status,True,True,False,True,True
125,11,Ari,talk-Ari,True,I can try that if we keep the kit dry.,help_response,True,False,False,True,True
127,11,Nia,talk-Nia,True,You asked first this time. I can show the clean pattern.,recovery,True,True,False,True,True
129,11,Ivo,talk-Ivo,True,Energy low but steady; comfort is 0.69 and safety is 0.66.,body_status,True,True,False,True,True
130,11,Juno,talk-Juno,True,That distance helps. I can repair again.,care_response,True,True,False,True,True
131,11,Ari,talk-Ari,True,"If you wait and choose the ridge, I can help again.",care_response,True,True,False,True,True
132,12,Fay,talk-Fay,True,Energy low but steady; comfort is 0.84 and safety is 0.71.,body_status,True,True,False,True,True
134,12,Milo,talk-Milo,True,I am not walking blind while the lantern sputters.,bounded_refusal,True,True,False,True,True
135,12,Ivo,talk-Ivo,True,Energy low but steady; comfort is 0.70 and safety is 0.67.,body_status,True,True,False,True,True
137,12,Ari,talk-Ari,True,No. I will not cross the wet plank while my hands are numb.,bounded_refusal,True,True,False,True,True
139,12,Nia,talk-Nia,True,Energy low but steady; comfort is 0.74 and safety is 0.81.,body_status,True,True,False,True,True
141,12,Ivo,talk-Ivo,True,Energy low but steady; comfort is 0.72 and safety is 0.69.,body_status,True,True,False,True,True
142,12,Juno,talk-Juno,True,Gabriel stepped back from the sparks.,memory_recall,True,False,True,True,True
144,13,Fay,talk-Fay,True,Thank you for not rushing me; I can continue.,care_response,True,True,False,True,True
146,13,Milo,talk-Milo,True,"If you light the path, I will move first.",care_response,True,True,False,True,True
147,13,Ivo,talk-Ivo,True,Energy low but steady; comfort is 0.73 and safety is 0.70.,body_status,True,True,False,True,True
149,13,Ari,talk-Ari,True,"If you wait and choose the ridge, I can help again.",care_response,True,True,False,True,True
151,13,Nia,talk-Nia,True,You asked first this time. I can show the clean pattern.,care_response,True,True,False,True,True
153,13,Ivo,talk-Ivo,True,Energy low but steady; comfort is 0.75 and safety is 0.72.,body_status,True,True,False,True,True
154,13,Juno,talk-Juno,True,That distance helps. I can repair again.,recovery,True,True,False,True,True
156,14,Fay,talk-Fay,True,I need a slower route before I carry the ledger.,bounded_refusal,True,True,False,True,True
158,14,Milo,talk-Milo,True,Gabriel kept the lantern lit.,memory_recall,True,False,True,True,True
159,14,Ivo,talk-Ivo,True,Energy low but steady; comfort is 0.76 and safety is 0.73.,body_status,True,True,False,True,True
161,14,Ari,talk-Ari,True,Gabriel waited near the ridge.,memory_recall,True,False,True,True,True
163,14,Nia,talk-Nia,True,Do not pull the spool from my hands. Ask first.,bounded_refusal,True,True,False,True,True
165,14,Ivo,talk-Ivo,True,Energy low but steady; comfort is 0.78 and safety is 0.74.,body_status,True,True,False,True,True
166,14,Juno,talk-Juno,True,Energy low but steady; comfort is 0.69 and safety is 0.79.,body_status,True,True,False,True,True
168,15,Fay,talk-Fay,True,That request is easier if we go slowly.,help_response,True,False,False,True,True
170,15,Milo,talk-Milo,True,"If you light the path, I will move first.",recovery,True,True,False,True,True
171,15,Ivo,talk-Ivo,True,Energy low but steady; comfort is 0.79 and safety is 0.76.,body_status,True,True,False,True,True
173,15,Ari,talk-Ari,True,"If you wait and choose the ridge, I can help again.",recovery,True,True,False,True,True
175,15,Nia,talk-Nia,True,I can explain the pattern if you leave the spool with me.,help_response,True,False,False,True,True
177,15,Ivo,talk-Ivo,True,Energy low but steady; comfort is 0.81 and safety is 0.77.,body_status,True,True,False,True,True
178,15,Juno,talk-Juno,True,That distance helps. I can repair again.,care_response,True,True,False,True,True
180,16,Fay,talk-Fay,True,I need a slower route before I carry the ledger.,bounded_refusal,True,True,False,True,True
182,16,Milo,talk-Milo,True,Energy low but steady; comfort is 0.82 and safety is 0.94.,body_status,True,True,False,True,True
183,16,Ivo,talk-Ivo,True,Energy low but steady; comfort is 0.82 and safety is 0.79.,body_status,True,True,False,True,True
185,16,Ari,talk-Ari,True,Energy low but steady; comfort is 0.84 and safety is 0.77.,body_status,True,True,False,True,True
187,16,Nia,talk-Nia,True,Do not pull the spool from my hands. Ask first.,bounded_refusal,True,True,False,True,True
189,16,Ivo,talk-Ivo,True,Energy low but steady; comfort is 0.84 and safety is 0.80.,body_status,True,True,False,True,True
190,16,Juno,talk-Juno,True,Back up. Sparks near my hands make me lose the thread.,bounded_refusal,True,True,False,True,True
192,17,Fay,talk-Fay,True,Thank you for not rushing me; I can continue.,care_response,True,True,False,True,True
194,17,Milo,talk-Milo,True,"If you light the path, I will move first.",care_response,True,True,False,True,True
195,17,Ivo,talk-Ivo,True,Energy low but steady; comfort is 0.85 and safety is 0.81.,body_status,True,True,False,True,True
196,17,Juno,talk-Juno,True,That distance helps. I can repair again.,care_response,True,True,False,True,True
197,17,Ari,talk-Ari,True,"If you wait and choose the ridge, I can help again.",care_response,True,True,False,True,True
199,17,Nia,talk-Nia,True,You asked first this time. I can show the clean pattern.,care_response,True,True,False,True,True
201,17,Ivo,talk-Ivo,True,Energy low but steady; comfort is 0.87 and safety is 0.83.,body_status,True,True,False,True,True
202,17,Juno,talk-Juno,True,I can finish if you give my hands room.,help_response,True,False,False,True,True
204,18,Nia,talk-Nia,True,You asked first this time. I can show the clean pattern.,recovery,True,True,False,True,True
206,18,Ivo,talk-Ivo,True,I can bring seeds if we keep them dry.,help_response,True,False,False,True,True
207,18,Juno,talk-Juno,True,Energy low but steady; comfort is 0.77 and safety is 0.85.,body_status,True,True,False,True,True
209,18,Fay,talk-Fay,True,That request is easier if we go slowly.,help_response,True,False,False,True,True
211,18,Milo,talk-Milo,True,"If you light the path, I will move first.",recovery,True,True,False,True,True
212,18,Ivo,talk-Ivo,True,Close the satchel and I will take the market planks.,care_response,True,True,False,True,True
213,18,Juno,talk-Juno,True,Energy low but steady; comfort is 0.79 and safety is 0.86.,body_status,True,True,False,True,True
214,18,Ari,talk-Ari,True,"If you wait and choose the ridge, I can help again.",recovery,True,True,False,True,True
216,19,Nia,talk-Nia,True,Energy low but steady; comfort is 0.82 and safety is 0.85.,body_status,True,True,False,True,True
217,19,Milo,talk-Milo,True,I am not walking blind while the lantern sputters.,bounded_refusal,False,True,False,True,True
218,19,Ivo,talk-Ivo,True,I will not step into the fen with the satchel open.,bounded_refusal,True,True,False,True,True
219,19,Juno,talk-Juno,True,Energy low but steady; comfort is 0.80 and safety is 0.88.,body_status,True,True,False,True,True
221,19,Fay,talk-Fay,True,I need a slower route before I carry the ledger.,bounded_refusal,True,True,False,True,True
223,19,Milo,talk-Milo,True,Energy low but steady; comfort is 0.86 and safety is 0.88.,body_status,True,True,False,True,True
225,19,Juno,talk-Juno,True,Energy low but steady; comfort is 0.82 and safety is 0.89.,body_status,True,True,False,True,True
226,19,Ari,talk-Ari,True,Energy low but steady; comfort is 0.94 and safety is 0.88.,body_status,True,True,False,True,True
228,20,Nia,talk-Nia,True,You asked first this time. I can show the clean pattern.,care_response,True,True,False,True,True
230,20,Ivo,talk-Ivo,True,Close the satchel and I will take the market planks.,care_response,True,True,False,True,True
231,20,Juno,talk-Juno,True,Energy low but steady; comfort is 0.83 and safety is 0.90.,body_status,True,True,False,True,True
233,20,Fay,talk-Fay,True,Thank you for not rushing me; I can continue.,care_response,True,True,False,True,True
234,20,Nia,talk-Nia,True,You asked first this time. I can show the clean pattern.,recovery,True,True,False,True,True
235,20,Milo,talk-Milo,True,"If you light the path, I will move first.",care_response,True,True,False,True,True
237,20,Juno,talk-Juno,True,Energy low but steady; comfort is 0.85 and safety is 0.92.,body_status,True,True,False,True,True
238,20,Ari,talk-Ari,True,"If you wait and choose the ridge, I can help again.",care_response,True,True,False,True,True
240,21,Nia,talk-Nia,True,Do not pull the spool from my hands. Ask first.,bounded_refusal,True,True,False,True,True
242,21,Ivo,talk-Ivo,True,Gabriel protected the seed satchel.,memory_recall,True,False,True,True,True
243,21,Juno,talk-Juno,True,Energy low but steady; comfort is 0.86 and safety is 0.93.,body_status,True,True,False,True,True
245,21,Fay,talk-Fay,True,Gabriel slowed down after I hesitated.,memory_recall,True,False,True,True,True
247,21,Milo,talk-Milo,True,I am not walking blind while the lantern sputters.,bounded_refusal,True,True,False,True,True
249,21,Juno,talk-Juno,True,Energy low but steady; comfort is 0.88 and safety is 0.95.,body_status,True,True,False,True,True
250,21,Ari,talk-Ari,True,No. I will not cross the wet plank while my hands are numb.,bounded_refusal,True,True,False,True,True
251,21,Fay,talk-Fay,True,I need a slower route before I carry the ledger.,bounded_refusal,True,True,False,True,True
252,22,Nia,talk-Nia,True,I can explain the pattern if you leave the spool with me.,help_response,True,False,False,True,True
254,22,Ivo,talk-Ivo,True,Close the satchel and I will take the market planks.,recovery,True,True,False,True,True
255,22,Juno,talk-Juno,True,Energy low but steady; comfort is 0.89 and safety is 0.96.,body_status,True,True,False,True,True
256,22,Ari,talk-Ari,True,"If you wait and choose the ridge, I can help again.",care_response,True,True,False,True,True
257,22,Fay,talk-Fay,True,Thank you for not rushing me; I can continue.,recovery,True,True,False,True,True
259,22,Milo,talk-Milo,True,I can lead if the lantern stays lit.,help_response,True,False,False,True,True
261,22,Juno,talk-Juno,True,Energy low but steady; comfort is 0.91 and safety is 0.96.,body_status,True,True,False,True,True
262,22,Ari,talk-Ari,True,I can try that if we keep the kit dry.,help_response,True,False,False,True,True
264,23,Nia,talk-Nia,True,Do not pull the spool from my hands. Ask first.,bounded_refusal,True,True,False,True,True
266,23,Ivo,talk-Ivo,True,Energy low but steady; comfort is 0.96 and safety is 0.96.,body_status,True,True,False,True,True
267,23,Juno,talk-Juno,True,Energy low but steady; comfort is 0.92 and safety is 0.96.,body_status,True,True,False,True,True
269,23,Fay,talk-Fay,True,Energy low but steady; comfort is 0.91 and safety is 0.71.,body_status,True,True,False,True,True
271,23,Milo,talk-Milo,True,I am not walking blind while the lantern sputters.,bounded_refusal,True,True,False,True,True
273,23,Juno,talk-Juno,True,Energy low but steady; comfort is 0.94 and safety is 0.96.,body_status,True,True,False,True,True
274,23,Ari,talk-Ari,True,No. I will not cross the wet plank while my hands are numb.,bounded_refusal,True,True,False,True,True
276,24,Nia,talk-Nia,True,You asked first this time. I can show the clean pattern.,care_response,True,True,False,True,True
278,24,Ivo,talk-Ivo,True,Close the satchel and I will take the market planks.,care_response,True,True,False,True,True
279,24,Juno,talk-Juno,True,Energy low but steady; comfort is 0.95 and safety is 0.96.,body_status,False,True,False,True,True
281,24,Fay,talk-Fay,True,Thank you for not rushing me; I can continue.,care_response,True,True,False,True,True
283,24,Milo,talk-Milo,True,"If you light the path, I will move first.",care_response,True,True,False,True,True
285,24,Juno,talk-Juno,True,Energy low but steady; comfort is 0.96 and safety is 0.96.,body_status,True,True,False,True,True
286,24,Ari,talk-Ari,True,"If you wait and choose the ridge, I can help again.",care_response,True,True,False,True,True
288,25,Nia,talk-Nia,True,Gabriel asked before touching my spool.,memory_recall,True,False,True,True,True
290,25,Ivo,talk-Ivo,True,I will not step into the fen with the satchel open.,bounded_refusal,True,True,False,True,True
291,25,Juno,talk-Juno,True,Energy low but steady; comfort is 0.96 and safety is 0.96.,body_status,True,True,False,True,True
293,25,Fay,talk-Fay,True,I need a slower route before I carry the ledger.,bounded_refusal,True,True,False,True,True
295,25,Milo,talk-Milo,True,Gabriel kept the lantern lit.,memory_recall,True,False,True,True,True
297,25,Juno,talk-Juno,True,Energy low but steady; comfort is 0.96 and safety is 0.96.,body_status,True,True,False,True,True
298,25,Ari,talk-Ari,True,Gabriel waited near the ridge.,memory_recall,True,False,True,True,True
300,26,Nia,talk-Nia,True,You asked first this time. I can show the clean pattern.,recovery,True,True,False,True,True
302,26,Ivo,talk-Ivo,True,I can bring seeds if we keep them dry.,help_response,True,False,False,True,True
303,26,Juno,talk-Juno,True,Energy low but steady; comfort is 0.96 and safety is 0.96.,body_status,True,True,False,True,True
305,26,Fay,talk-Fay,True,That request is easier if we go slowly.,help_response,True,False,False,True,True
307,26,Milo,talk-Milo,True,"If you light the path, I will move first.",recovery,True,True,False,True,True
309,26,Juno,talk-Juno,True,Energy low but steady; comfort is 0.96 and safety is 0.96.,body_status,True,True,False,True,True
310,26,Ari,talk-Ari,True,"If you wait and choose the ridge, I can help again.",recovery,False,True,False,True,True
312,27,Milo,talk-Milo,True,"If you light the path, I will move first.",care_response,True,True,False,True,True
314,27,Juno,talk-Juno,True,That distance helps. I can repair again.,care_response,True,True,False,True,True
315,27,Ari,talk-Ari,True,Energy low but steady; comfort is 0.96 and safety is 0.96.,body_status,True,True,False,True,True
317,27,Nia,talk-Nia,True,You asked first this time. I can show the clean pattern.,care_response,True,True,False,True,True
319,27,Ivo,talk-Ivo,True,Close the satchel and I will take the market planks.,care_response,True,True,False,True,True
321,27,Ari,talk-Ari,True,Energy low but steady; comfort is 0.96 and safety is 0.96.,body_status,True,True,False,True,True
322,27,Fay,talk-Fay,True,Thank you for not rushing me; I can continue.,care_response,True,True,False,True,True
324,28,Milo,talk-Milo,True,I am not walking blind while the lantern sputters.,bounded_refusal,True,True,False,True,True
326,28,Juno,talk-Juno,True,Gabriel stepped back from the sparks.,memory_recall,True,False,True,True,True
327,28,Ari,talk-Ari,True,Energy low but steady; comfort is 0.96 and safety is 0.96.,body_status,True,True,False,True,True
329,28,Nia,talk-Nia,True,Gabriel asked before touching my spool.,memory_recall,True,False,True,True,True
331,28,Ivo,talk-Ivo,True,I will not step into the fen with the satchel open.,bounded_refusal,True,True,False,True,True
332,28,Juno,talk-Juno,True,Back up. Sparks near my hands make me lose the thread.,bounded_refusal,True,True,False,True,True
333,28,Ari,talk-Ari,True,Energy low but steady; comfort is 0.96 and safety is 0.96.,body_status,True,True,False,True,True
334,28,Fay,talk-Fay,True,I need a slower route before I carry the ledger.,bounded_refusal,True,True,False,True,True
336,29,Milo,talk-Milo,True,I can lead if the lantern stays lit.,help_response,True,False,False,True,True
337,29,Ivo,talk-Ivo,True,Close the satchel and I will take the market planks.,care_response,True,True,False,True,True
338,29,Juno,talk-Juno,True,That distance helps. I can repair again.,recovery,True,True,False,True,True
339,29,Ari,talk-Ari,True,Energy low but steady; comfort is 0.96 and safety is 0.96.,body_status,True,True,False,True,True
341,29,Nia,talk-Nia,True,You asked first this time. I can show the clean pattern.,recovery,False,True,False,True,True
343,29,Ivo,talk-Ivo,True,I can bring seeds if we keep them dry.,help_response,True,False,False,True,True
345,29,Ari,talk-Ari,True,Energy low but steady; comfort is 0.96 and safety is 0.96.,body_status,True,True,False,True,True
346,29,Fay,talk-Fay,True,That request is easier if we go slowly.,help_response,True,False,False,True,True
348,30,Milo,talk-Milo,True,I am not walking blind while the lantern sputters.,bounded_refusal,True,True,False,True,True
350,30,Juno,talk-Juno,True,Energy low but steady; comfort is 0.95 and safety is 0.94.,body_status,True,True,False,True,True
351,30,Ari,talk-Ari,True,Energy low but steady; comfort is 0.96 and safety is 0.96.,body_status,True,True,False,True,True
353,30,Nia,talk-Nia,True,Energy low but steady; comfort is 0.96 and safety is 0.96.,body_status,True,True,False,True,True
354,30,Milo,talk-Milo,True,I am not walking blind while the lantern sputters.,bounded_refusal,True,True,False,True,True
355,30,Ivo,talk-Ivo,True,I will not step into the fen with the satchel open.,bounded_refusal,True,True,False,True,True
357,30,Ari,talk-Ari,True,Energy low but steady; comfort is 0.96 and safety is 0.96.,body_status,True,True,False,True,True
358,30,Fay,talk-Fay,True,I need a slower route before I carry the ledger.,bounded_refusal,True,True,False,True,True
360,31,Milo,talk-Milo,True,"If you light the path, I will move first.",care_response,True,True,False,True,True
362,31,Juno,talk-Juno,True,That distance helps. I can repair again.,care_response,True,True,False,True,True
363,31,Ari,talk-Ari,True,Energy low but steady; comfort is 0.96 and safety is 0.96.,body_status,True,True,False,True,True
365,31,Nia,talk-Nia,True,You asked first this time. I can show the clean pattern.,care_response,True,True,False,True,True
367,31,Ivo,talk-Ivo,True,Close the satchel and I will take the market planks.,care_response,True,True,False,True,True
369,31,Ari,talk-Ari,True,Energy low but steady; comfort is 0.96 and safety is 0.96.,body_status,True,True,False,True,True
370,31,Fay,talk-Fay,True,Thank you for not rushing me; I can continue.,care_response,True,True,False,True,True
371,31,Nia,talk-Nia,True,You asked first this time. I can show the clean pattern.,recovery,True,True,False,True,True
372,32,Milo,talk-Milo,True,Gabriel kept the lantern lit.,memory_recall,False,False,True,True,True
374,32,Juno,talk-Juno,True,Back up. Sparks near my hands make me lose the thread.,bounded_refusal,True,True,False,True,True
375,32,Ari,talk-Ari,True,Energy low but steady; comfort is 0.96 and safety is 0.96.,body_status,True,True,False,True,True
376,32,Fay,talk-Fay,True,Energy low but steady; comfort is 0.93 and safety is 0.71.,body_status,True,True,False,True,True
377,32,Nia,talk-Nia,True,Do not pull the spool from my hands. Ask first.,bounded_refusal,True,True,False,True,True
379,32,Ivo,talk-Ivo,True,Gabriel protected the seed satchel.,memory_recall,True,False,True,True,True
381,32,Ari,talk-Ari,True,Energy low but steady; comfort is 0.96 and safety is 0.96.,body_status,True,True,False,True,True
382,32,Fay,talk-Fay,True,Gabriel slowed down after I hesitated.,memory_recall,True,False,True,True,True
384,33,Milo,talk-Milo,True,"If you light the path, I will move first.",recovery,True,True,False,True,True
386,33,Juno,talk-Juno,True,I can finish if you give my hands room.,help_response,True,False,False,True,True
387,33,Ari,talk-Ari,True,"If you wait and choose the ridge, I can help again.",recovery,True,True,False,True,True
389,33,Nia,talk-Nia,True,I can explain the pattern if you leave the spool with me.,help_response,True,False,False,True,True
391,33,Ivo,talk-Ivo,True,Close the satchel and I will take the market planks.,recovery,True,True,False,True,True
393,33,Ari,talk-Ari,True,"If you wait and choose the ridge, I can help again.",care_response,True,True,False,True,True
394,33,Fay,talk-Fay,True,Thank you for not rushing me; I can continue.,recovery,True,True,False,True,True
396,34,Milo,talk-Milo,True,Energy low but steady; comfort is 0.93 and safety is 0.86.,body_status,True,True,False,True,True
398,34,Juno,talk-Juno,True,Back up. Sparks near my hands make me lose the thread.,bounded_refusal,True,True,False,True,True
399,34,Ari,talk-Ari,True,Energy low but steady; comfort is 0.96 and safety is 0.96.,body_status,True,True,False,True,True
401,34,Nia,talk-Nia,True,Do not pull the spool from my hands. Ask first.,bounded_refusal,True,True,False,True,True
403,34,Ivo,talk-Ivo,True,Energy low but steady; comfort is 0.96 and safety is 0.96.,body_status,False,True,False,True,True
405,34,Ari,talk-Ari,True,Energy low but steady; comfort is 0.96 and safety is 0.96.,body_status,True,True,False,True,True
406,34,Fay,talk-Fay,True,Energy low but steady; comfort is 0.96 and safety is 0.77.,body_status,True,True,False,True,True
408,35,Milo,talk-Milo,True,"If you light the path, I will move first.",care_response,True,True,False,True,True
410,35,Juno,talk-Juno,True,That distance helps. I can repair again.,care_response,True,True,False,True,True
411,35,Ari,talk-Ari,True,Energy low but steady; comfort is 0.96 and safety is 0.96.,body_status,True,True,False,True,True
413,35,Nia,talk-Nia,True,You asked first this time. I can show the clean pattern.,care_response,True,True,False,True,True
415,35,Ivo,talk-Ivo,True,Close the satchel and I will take the market planks.,care_response,True,True,False,True,True
417,35,Ari,talk-Ari,True,Energy low but steady; comfort is 0.96 and safety is 0.96.,body_status,True,True,False,True,True
418,35,Fay,talk-Fay,True,Thank you for not rushing me; I can continue.,care_response,True,True,False,True,True
420,36,Ivo,talk-Ivo,True,I can bring seeds if we keep them dry.,help_response,True,False,False,True,True
422,36,Ari,talk-Ari,True,"If you wait and choose the ridge, I can help again.",care_response,True,True,False,True,True
423,36,Fay,talk-Fay,True,Energy low but steady; comfort is 0.96 and safety is 0.84.,body_status,True,True,False,True,True
425,36,Milo,talk-Milo,True,"If you light the path, I will move first.",recovery,True,True,False,True,True
