tick_id,day,settlement_id,resident_id,sensory_cue,cue_source_room,memory_key,relationship_before_reload,relationship_after_reload,remembered_object,recalled_after_reload,behavior_change_after_reload,sensory_memory_visible,private_memory_not_dumped
18,2,repair_ring,Juno,bell hum / hot copper / spark lane,spark lane,ssrm.v43.sensory_memory.repair_ring.Juno,0.596,0.596,bell gauge,False,cue stored for later reload,True,True
20,2,roofward,Fay,hinge ticks / thyme paper / arrival court,arrival court,ssrm.v43.sensory_memory.roofward.Fay,0.652,0.652,sun lens,False,cue stored for later reload,True,True
22,2,signal,Milo,static crickets / lamp oil / signal perch,signal perch,ssrm.v43.sensory_memory.signal.Milo,0.602,0.602,signal lens,False,cue stored for later reload,True,True
24,2,repair_ring,Juno,bell hum / hot copper / bell alcove,bell alcove,ssrm.v43.sensory_memory.repair_ring.Juno,0.602,0.602,insulated tongs,False,cue stored for later reload,True,True
26,2,roofward,Fay,hinge ticks / thyme paper / glass stair,glass stair,ssrm.v43.sensory_memory.roofward.Fay,0.662,0.662,brass hinge,False,cue stored for later reload,True,True
27,2,archive,Toma,page flutter / ink linen / ink niche,ink niche,ssrm.v43.sensory_memory.archive.Toma,0.602,0.602,clean cloth,False,cue stored for later reload,True,True
28,2,signal,Milo,static crickets / lamp oil / arrival court,arrival court,ssrm.v43.sensory_memory.signal.Milo,0.62,0.62,mast rope,False,cue stored for later reload,True,True
30,2,repair_ring,Juno,bell hum / hot copper / cool corner,cool corner,ssrm.v43.sensory_memory.repair_ring.Juno,0.613,0.613,bell gauge,False,cue stored for later reload,True,True
31,2,riverbend,Lio,river slap / wet cedar / arrival court,arrival court,ssrm.v43.sensory_memory.riverbend.Lio,0.68,0.68,dry shawl,False,cue stored for later reload,True,True
32,2,roofward,Fay,hinge ticks / thyme paper / warm lane,warm lane,ssrm.v43.sensory_memory.roofward.Fay,0.662,0.662,sun lens,False,cue stored for later reload,True,True
34,2,signal,Milo,static crickets / lamp oil / mast base,mast base,ssrm.v43.sensory_memory.signal.Milo,0.62,0.62,signal lens,False,cue stored for later reload,True,True
36,3,riverbend,Lio,river slap / wet cedar / dry ridge,dry ridge,ssrm.v43.sensory_memory.riverbend.Lio,0.681,0.684,dry shawl,True,resident names remembered room cue,True,True
38,3,archive,Toma,page flutter / ink linen / spool room,spool room,ssrm.v43.sensory_memory.archive.Toma,0.613,0.616,ink ribbon,True,resident names remembered room cue,True,True
40,3,orchard,Mara,cart creak / apple soil / seed lane,seed lane,ssrm.v43.sensory_memory.orchard.Mara,0.626,0.629,apple wrap,True,resident names remembered room cue,True,True
41,3,repair_ring,Juno,bell hum / hot copper / bell alcove,bell alcove,ssrm.v43.sensory_memory.repair_ring.Juno,0.619,0.627,insulated tongs,True,gaze softens after familiar cue,True,True
42,3,riverbend,Lio,river slap / wet cedar / kit alcove,kit alcove,ssrm.v43.sensory_memory.riverbend.Lio,0.686,0.689,ridge lantern,True,resident names remembered room cue,True,True
44,3,archive,Toma,page flutter / ink linen / ink niche,ink niche,ssrm.v43.sensory_memory.archive.Toma,0.622,0.63,clean cloth,True,gaze softens after familiar cue,True,True
45,3,signal,Milo,static crickets / lamp oil / arrival court,arrival court,ssrm.v43.sensory_memory.signal.Milo,0.628,0.636,mast rope,True,gaze softens after familiar cue,True,True
46,3,orchard,Mara,cart creak / apple soil / mud row,mud row,ssrm.v43.sensory_memory.orchard.Mara,0.629,0.632,market token,True,resident names remembered room cue,True,True
48,3,riverbend,Lio,river slap / wet cedar / arrival court,arrival court,ssrm.v43.sensory_memory.riverbend.Lio,0.695,0.703,dry shawl,True,gaze softens after familiar cue,True,True
50,3,archive,Toma,page flutter / ink linen / memory desk,memory desk,ssrm.v43.sensory_memory.archive.Toma,0.64,0.643,ink ribbon,True,resident names remembered room cue,True,True
52,3,orchard,Mara,cart creak / apple soil / market plank,market plank,ssrm.v43.sensory_memory.orchard.Mara,0.634,0.637,apple wrap,True,resident names remembered room cue,True,True
54,4,roofward,Fay,hinge ticks / thyme paper / arrival court,arrival court,ssrm.v43.sensory_memory.roofward.Fay,0.673,0.676,sun lens,True,resident names remembered room cue,True,True
56,4,signal,Milo,static crickets / lamp oil / signal perch,signal perch,ssrm.v43.sensory_memory.signal.Milo,0.638,0.641,signal lens,True,resident names remembered room cue,True,True
58,4,repair_ring,Juno,bell hum / hot copper / bell alcove,bell alcove,ssrm.v43.sensory_memory.repair_ring.Juno,0.653,0.661,insulated tongs,True,gaze softens after familiar cue,True,True
60,4,roofward,Fay,hinge ticks / thyme paper / glass stair,glass stair,ssrm.v43.sensory_memory.roofward.Fay,0.686,0.689,brass hinge,True,resident names remembered room cue,True,True
61,4,archive,Toma,page flutter / ink linen / ink niche,ink niche,ssrm.v43.sensory_memory.archive.Toma,0.649,0.657,clean cloth,True,gaze softens after familiar cue,True,True
62,4,signal,Milo,static crickets / lamp oil / arrival court,arrival court,ssrm.v43.sensory_memory.signal.Milo,0.647,0.655,mast rope,True,gaze softens after familiar cue,True,True
64,4,repair_ring,Juno,bell hum / hot copper / cool corner,cool corner,ssrm.v43.sensory_memory.repair_ring.Juno,0.671,0.674,bell gauge,True,resident names remembered room cue,True,True
65,4,riverbend,Lio,river slap / wet cedar / arrival court,arrival court,ssrm.v43.sensory_memory.riverbend.Lio,0.711,0.719,dry shawl,True,gaze softens after familiar cue,True,True
66,4,roofward,Fay,hinge ticks / thyme paper / warm lane,warm lane,ssrm.v43.sensory_memory.roofward.Fay,0.69,0.693,sun lens,True,resident names remembered room cue,True,True
68,4,signal,Milo,static crickets / lamp oil / mast base,mast base,ssrm.v43.sensory_memory.signal.Milo,0.655,0.658,signal lens,True,resident names remembered room cue,True,True
70,4,repair_ring,Juno,bell hum / hot copper / arrival court,arrival court,ssrm.v43.sensory_memory.repair_ring.Juno,0.684,0.687,insulated tongs,True,resident names remembered room cue,True,True
72,5,archive,Toma,page flutter / ink linen / spool room,spool room,ssrm.v43.sensory_memory.archive.Toma,0.667,0.67,ink ribbon,True,resident names remembered room cue,True,True
74,5,orchard,Mara,cart creak / apple soil / seed lane,seed lane,ssrm.v43.sensory_memory.orchard.Mara,0.684,0.687,apple wrap,True,resident names remembered room cue,True,True
75,5,repair_ring,Juno,bell hum / hot copper / bell alcove,bell alcove,ssrm.v43.sensory_memory.repair_ring.Juno,0.693,0.701,insulated tongs,True,gaze softens after familiar cue,True,True
76,5,riverbend,Lio,river slap / wet cedar / kit alcove,kit alcove,ssrm.v43.sensory_memory.riverbend.Lio,0.721,0.724,ridge lantern,True,resident names remembered room cue,True,True
78,5,archive,Toma,page flutter / ink linen / ink niche,ink niche,ssrm.v43.sensory_memory.archive.Toma,0.676,0.684,clean cloth,True,gaze softens after familiar cue,True,True
79,5,signal,Milo,static crickets / lamp oil / arrival court,arrival court,ssrm.v43.sensory_memory.signal.Milo,0.666,0.674,mast rope,True,gaze softens after familiar cue,True,True
80,5,orchard,Mara,cart creak / apple soil / mud row,mud row,ssrm.v43.sensory_memory.orchard.Mara,0.687,0.69,market token,True,resident names remembered room cue,True,True
82,5,riverbend,Lio,river slap / wet cedar / arrival court,arrival court,ssrm.v43.sensory_memory.riverbend.Lio,0.73,0.738,dry shawl,True,gaze softens after familiar cue,True,True
84,5,archive,Toma,page flutter / ink linen / memory desk,memory desk,ssrm.v43.sensory_memory.archive.Toma,0.695,0.698,ink ribbon,True,resident names remembered room cue,True,True
86,5,orchard,Mara,cart creak / apple soil / market plank,market plank,ssrm.v43.sensory_memory.orchard.Mara,0.692,0.695,apple wrap,True,resident names remembered room cue,True,True
88,5,riverbend,Lio,river slap / wet cedar / plank hall,plank hall,ssrm.v43.sensory_memory.riverbend.Lio,0.738,0.741,ridge lantern,True,resident names remembered room cue,True,True
90,6,signal,Milo,static crickets / lamp oil / signal perch,signal perch,ssrm.v43.sensory_memory.signal.Milo,0.676,0.679,signal lens,True,resident names remembered room cue,True,True
92,6,repair_ring,Juno,bell hum / hot copper / bell alcove,bell alcove,ssrm.v43.sensory_memory.repair_ring.Juno,0.728,0.736,insulated tongs,True,gaze softens after familiar cue,True,True
94,6,roofward,Fay,hinge ticks / thyme paper / glass stair,glass stair,ssrm.v43.sensory_memory.roofward.Fay,0.727,0.73,brass hinge,True,resident names remembered room cue,True,True
95,6,archive,Toma,page flutter / ink linen / ink niche,ink niche,ssrm.v43.sensory_memory.archive.Toma,0.704,0.712,clean cloth,True,gaze softens after familiar cue,True,True
96,6,signal,Milo,static crickets / lamp oil / arrival court,arrival court,ssrm.v43.sensory_memory.signal.Milo,0.685,0.693,mast rope,True,gaze softens after familiar cue,True,True
98,6,repair_ring,Juno,bell hum / hot copper / cool corner,cool corner,ssrm.v43.sensory_memory.repair_ring.Juno,0.746,0.749,bell gauge,True,resident names remembered room cue,True,True
99,6,riverbend,Lio,river slap / wet cedar / arrival court,arrival court,ssrm.v43.sensory_memory.riverbend.Lio,0.749,0.757,dry shawl,True,gaze softens after familiar cue,True,True
100,6,roofward,Fay,hinge ticks / thyme paper / warm lane,warm lane,ssrm.v43.sensory_memory.roofward.Fay,0.73,0.733,sun lens,True,resident names remembered room cue,True,True
102,6,signal,Milo,static crickets / lamp oil / mast base,mast base,ssrm.v43.sensory_memory.signal.Milo,0.693,0.696,signal lens,True,resident names remembered room cue,True,True
104,6,repair_ring,Juno,bell hum / hot copper / arrival court,arrival court,ssrm.v43.sensory_memory.repair_ring.Juno,0.759,0.762,insulated tongs,True,resident names remembered room cue,True,True
106,6,roofward,Fay,hinge ticks / thyme paper / ledger loft,ledger loft,ssrm.v43.sensory_memory.roofward.Fay,0.735,0.738,brass hinge,True,resident names remembered room cue,True,True
108,7,orchard,Mara,cart creak / apple soil / seed lane,seed lane,ssrm.v43.sensory_memory.orchard.Mara,0.717,0.72,apple wrap,True,resident names remembered room cue,True,True
109,7,repair_ring,Juno,bell hum / hot copper / bell alcove,bell alcove,ssrm.v43.sensory_memory.repair_ring.Juno,0.768,0.776,insulated tongs,True,gaze softens after familiar cue,True,True
110,7,riverbend,Lio,river slap / wet cedar / kit alcove,kit alcove,ssrm.v43.sensory_memory.riverbend.Lio,0.759,0.762,ridge lantern,True,resident names remembered room cue,True,True
112,7,archive,Toma,page flutter / ink linen / ink niche,ink niche,ssrm.v43.sensory_memory.archive.Toma,0.738,0.746,clean cloth,True,gaze softens after familiar cue,True,True
113,7,signal,Milo,static crickets / lamp oil / arrival court,arrival court,ssrm.v43.sensory_memory.signal.Milo,0.702,0.71,mast rope,True,gaze softens after familiar cue,True,True
114,7,orchard,Mara,cart creak / apple soil / mud row,mud row,ssrm.v43.sensory_memory.orchard.Mara,0.721,0.724,market token,True,resident names remembered room cue,True,True
116,7,riverbend,Lio,river slap / wet cedar / arrival court,arrival court,ssrm.v43.sensory_memory.riverbend.Lio,0.768,0.776,dry shawl,True,gaze softens after familiar cue,True,True
118,7,archive,Toma,page flutter / ink linen / memory desk,memory desk,ssrm.v43.sensory_memory.archive.Toma,0.756,0.759,ink ribbon,True,resident names remembered room cue,True,True
120,7,orchard,Mara,cart creak / apple soil / market plank,market plank,ssrm.v43.sensory_memory.orchard.Mara,0.726,0.729,apple wrap,True,resident names remembered room cue,True,True
122,7,riverbend,Lio,river slap / wet cedar / plank hall,plank hall,ssrm.v43.sensory_memory.riverbend.Lio,0.776,0.779,ridge lantern,True,resident names remembered room cue,True,True
124,7,archive,Toma,page flutter / ink linen / arrival court,arrival court,ssrm.v43.sensory_memory.archive.Toma,0.769,0.772,clean cloth,True,resident names remembered room cue,True,True
125,7,signal,Milo,static crickets / lamp oil / lantern walk,lantern walk,ssrm.v43.sensory_memory.signal.Milo,0.716,0.724,mast rope,True,gaze softens after familiar cue,True,True
126,8,repair_ring,Juno,bell hum / hot copper / bell alcove,bell alcove,ssrm.v43.sensory_memory.repair_ring.Juno,0.802,0.81,insulated tongs,True,gaze softens after familiar cue,True,True
128,8,roofward,Fay,hinge ticks / thyme paper / glass stair,glass stair,ssrm.v43.sensory_memory.roofward.Fay,0.785,0.788,brass hinge,True,resident names remembered room cue,True,True
129,8,archive,Toma,page flutter / ink linen / ink niche,ink niche,ssrm.v43.sensory_memory.archive.Toma,0.778,0.786,clean cloth,True,gaze softens after familiar cue,True,True
130,8,signal,Milo,static crickets / lamp oil / arrival court,arrival court,ssrm.v43.sensory_memory.signal.Milo,0.74,0.748,mast rope,True,gaze softens after familiar cue,True,True
132,8,repair_ring,Juno,bell hum / hot copper / cool corner,cool corner,ssrm.v43.sensory_memory.repair_ring.Juno,0.821,0.824,bell gauge,True,resident names remembered room cue,True,True
133,8,riverbend,Lio,river slap / wet cedar / arrival court,arrival court,ssrm.v43.sensory_memory.riverbend.Lio,0.787,0.795,dry shawl,True,gaze softens after familiar cue,True,True
134,8,roofward,Fay,hinge ticks / thyme paper / warm lane,warm lane,ssrm.v43.sensory_memory.roofward.Fay,0.788,0.791,sun lens,True,resident names remembered room cue,True,True
136,8,signal,Milo,static crickets / lamp oil / mast base,mast base,ssrm.v43.sensory_memory.signal.Milo,0.748,0.751,signal lens,True,resident names remembered room cue,True,True
138,8,repair_ring,Juno,bell hum / hot copper / arrival court,arrival court,ssrm.v43.sensory_memory.repair_ring.Juno,0.834,0.837,insulated tongs,True,resident names remembered room cue,True,True
140,8,roofward,Fay,hinge ticks / thyme paper / ledger loft,ledger loft,ssrm.v43.sensory_memory.roofward.Fay,0.793,0.796,brass hinge,True,resident names remembered room cue,True,True
142,8,signal,Milo,static crickets / lamp oil / lantern walk,lantern walk,ssrm.v43.sensory_memory.signal.Milo,0.757,0.765,mast rope,True,gaze softens after familiar cue,True,True
143,8,orchard,Mara,cart creak / apple soil / satchel shed,satchel shed,ssrm.v43.sensory_memory.orchard.Mara,0.737,0.745,market token,True,gaze softens after familiar cue,True,True
144,9,riverbend,Lio,river slap / wet cedar / kit alcove,kit alcove,ssrm.v43.sensory_memory.riverbend.Lio,0.797,0.8,ridge lantern,True,resident names remembered room cue,True,True
146,9,archive,Toma,page flutter / ink linen / ink niche,ink niche,ssrm.v43.sensory_memory.archive.Toma,0.813,0.821,clean cloth,True,gaze softens after familiar cue,True,True
147,9,signal,Milo,static crickets / lamp oil / arrival court,arrival court,ssrm.v43.sensory_memory.signal.Milo,0.781,0.789,mast rope,True,gaze softens after familiar cue,True,True
148,9,orchard,Mara,cart creak / apple soil / mud row,mud row,ssrm.v43.sensory_memory.orchard.Mara,0.745,0.748,market token,True,resident names remembered room cue,True,True
150,9,riverbend,Lio,river slap / wet cedar / arrival court,arrival court,ssrm.v43.sensory_memory.riverbend.Lio,0.806,0.814,dry shawl,True,gaze softens after familiar cue,True,True
152,9,archive,Toma,page flutter / ink linen / memory desk,memory desk,ssrm.v43.sensory_memory.archive.Toma,0.831,0.834,ink ribbon,True,resident names remembered room cue,True,True
154,9,orchard,Mara,cart creak / apple soil / market plank,market plank,ssrm.v43.sensory_memory.orchard.Mara,0.75,0.753,apple wrap,True,resident names remembered room cue,True,True
156,9,riverbend,Lio,river slap / wet cedar / plank hall,plank hall,ssrm.v43.sensory_memory.riverbend.Lio,0.814,0.817,ridge lantern,True,resident names remembered room cue,True,True
158,9,archive,Toma,page flutter / ink linen / arrival court,arrival court,ssrm.v43.sensory_memory.archive.Toma,0.844,0.847,clean cloth,True,resident names remembered room cue,True,True
159,9,signal,Milo,static crickets / lamp oil / lantern walk,lantern walk,ssrm.v43.sensory_memory.signal.Milo,0.795,0.803,mast rope,True,gaze softens after familiar cue,True,True
160,9,orchard,Mara,cart creak / apple soil / satchel shed,satchel shed,ssrm.v43.sensory_memory.orchard.Mara,0.759,0.767,market token,True,gaze softens after familiar cue,True,True
162,10,roofward,Fay,hinge ticks / thyme paper / glass stair,glass stair,ssrm.v43.sensory_memory.roofward.Fay,0.818,0.821,brass hinge,True,resident names remembered room cue,True,True
163,10,archive,Toma,page flutter / ink linen / ink niche,ink niche,ssrm.v43.sensory_memory.archive.Toma,0.853,0.861,clean cloth,True,gaze softens after familiar cue,True,True
164,10,signal,Milo,static crickets / lamp oil / arrival court,arrival court,ssrm.v43.sensory_memory.signal.Milo,0.819,0.827,mast rope,True,gaze softens after familiar cue,True,True
166,10,repair_ring,Juno,bell hum / hot copper / cool corner,cool corner,ssrm.v43.sensory_memory.repair_ring.Juno,0.847,0.85,bell gauge,True,resident names remembered room cue,True,True
167,10,riverbend,Lio,river slap / wet cedar / arrival court,arrival court,ssrm.v43.sensory_memory.riverbend.Lio,0.823,0.831,dry shawl,True,gaze softens after familiar cue,True,True
168,10,roofward,Fay,hinge ticks / thyme paper / warm lane,warm lane,ssrm.v43.sensory_memory.roofward.Fay,0.822,0.825,sun lens,True,resident names remembered room cue,True,True
170,10,signal,Milo,static crickets / lamp oil / mast base,mast base,ssrm.v43.sensory_memory.signal.Milo,0.827,0.83,signal lens,True,resident names remembered room cue,True,True
172,10,repair_ring,Juno,bell hum / hot copper / arrival court,arrival court,ssrm.v43.sensory_memory.repair_ring.Juno,0.86,0.863,insulated tongs,True,resident names remembered room cue,True,True
174,10,roofward,Fay,hinge ticks / thyme paper / ledger loft,ledger loft,ssrm.v43.sensory_memory.roofward.Fay,0.827,0.83,brass hinge,True,resident names remembered room cue,True,True
176,10,signal,Milo,static crickets / lamp oil / lantern walk,lantern walk,ssrm.v43.sensory_memory.signal.Milo,0.836,0.844,mast rope,True,gaze softens after familiar cue,True,True
177,10,orchard,Mara,cart creak / apple soil / satchel shed,satchel shed,ssrm.v43.sensory_memory.orchard.Mara,0.776,0.784,market token,True,gaze softens after familiar cue,True,True
178,10,repair_ring,Juno,bell hum / hot copper / wire bench,wire bench,ssrm.v43.sensory_memory.repair_ring.Juno,0.863,0.866,bell gauge,True,resident names remembered room cue,True,True
179,10,riverbend,Lio,river slap / wet cedar / wet crossing,wet crossing,ssrm.v43.sensory_memory.riverbend.Lio,0.837,0.845,dry shawl,True,gaze softens after familiar cue,True,True
180,11,archive,Toma,page flutter / ink linen / ink niche,ink niche,ssrm.v43.sensory_memory.archive.Toma,0.887,0.895,clean cloth,True,gaze softens after familiar cue,True,True
181,11,signal,Milo,static crickets / lamp oil / arrival court,arrival court,ssrm.v43.sensory_memory.signal.Milo,0.86,0.868,mast rope,True,gaze softens after familiar cue,True,True
182,11,orchard,Mara,cart creak / apple soil / mud row,mud row,ssrm.v43.sensory_memory.orchard.Mara,0.784,0.787,market token,True,resident names remembered room cue,True,True
184,11,riverbend,Lio,river slap / wet cedar / arrival court,arrival court,ssrm.v43.sensory_memory.riverbend.Lio,0.861,0.869,dry shawl,True,gaze softens after familiar cue,True,True
186,11,archive,Toma,page flutter / ink linen / memory desk,memory desk,ssrm.v43.sensory_memory.archive.Toma,0.906,0.909,ink ribbon,True,resident names remembered room cue,True,True
188,11,orchard,Mara,cart creak / apple soil / market plank,market plank,ssrm.v43.sensory_memory.orchard.Mara,0.789,0.792,apple wrap,True,resident names remembered room cue,True,True
190,11,riverbend,Lio,river slap / wet cedar / plank hall,plank hall,ssrm.v43.sensory_memory.riverbend.Lio,0.869,0.872,ridge lantern,True,resident names remembered room cue,True,True
192,11,archive,Toma,page flutter / ink linen / arrival court,arrival court,ssrm.v43.sensory_memory.archive.Toma,0.919,0.922,clean cloth,True,resident names remembered room cue,True,True
193,11,signal,Milo,static crickets / lamp oil / lantern walk,lantern walk,ssrm.v43.sensory_memory.signal.Milo,0.874,0.882,mast rope,True,gaze softens after familiar cue,True,True
194,11,orchard,Mara,cart creak / apple soil / satchel shed,satchel shed,ssrm.v43.sensory_memory.orchard.Mara,0.798,0.806,market token,True,gaze softens after familiar cue,True,True
196,11,riverbend,Lio,river slap / wet cedar / wet crossing,wet crossing,ssrm.v43.sensory_memory.riverbend.Lio,0.878,0.886,dry shawl,True,gaze softens after familiar cue,True,True
197,11,roofward,Fay,hinge ticks / thyme paper / sun sill,sun sill,ssrm.v43.sensory_memory.roofward.Fay,0.838,0.846,sun lens,True,gaze softens after familiar cue,True,True
198,12,signal,Milo,static crickets / lamp oil / arrival court,arrival court,ssrm.v43.sensory_memory.signal.Milo,0.898,0.906,mast rope,True,gaze softens after familiar cue,True,True
200,12,repair_ring,Juno,bell hum / hot copper / cool corner,cool corner,ssrm.v43.sensory_memory.repair_ring.Juno,0.878,0.881,bell gauge,True,resident names remembered room cue,True,True
201,12,riverbend,Lio,river slap / wet cedar / arrival court,arrival court,ssrm.v43.sensory_memory.riverbend.Lio,0.902,0.91,dry shawl,True,gaze softens after familiar cue,True,True
202,12,roofward,Fay,hinge ticks / thyme paper / warm lane,warm lane,ssrm.v43.sensory_memory.roofward.Fay,0.846,0.849,sun lens,True,resident names remembered room cue,True,True
204,12,signal,Milo,static crickets / lamp oil / mast base,mast base,ssrm.v43.sensory_memory.signal.Milo,0.906,0.909,signal lens,True,resident names remembered room cue,True,True
206,12,repair_ring,Juno,bell hum / hot copper / arrival court,arrival court,ssrm.v43.sensory_memory.repair_ring.Juno,0.891,0.894,insulated tongs,True,resident names remembered room cue,True,True
208,12,roofward,Fay,hinge ticks / thyme paper / ledger loft,ledger loft,ssrm.v43.sensory_memory.roofward.Fay,0.851,0.854,brass hinge,True,resident names remembered room cue,True,True
210,12,signal,Milo,static crickets / lamp oil / lantern walk,lantern walk,ssrm.v43.sensory_memory.signal.Milo,0.915,0.923,mast rope,True,gaze softens after familiar cue,True,True
211,12,orchard,Mara,cart creak / apple soil / satchel shed,satchel shed,ssrm.v43.sensory_memory.orchard.Mara,0.814,0.822,market token,True,gaze softens after familiar cue,True,True
212,12,repair_ring,Juno,bell hum / hot copper / wire bench,wire bench,ssrm.v43.sensory_memory.repair_ring.Juno,0.894,0.897,bell gauge,True,resident names remembered room cue,True,True
213,12,riverbend,Lio,river slap / wet cedar / wet crossing,wet crossing,ssrm.v43.sensory_memory.riverbend.Lio,0.916,0.924,dry shawl,True,gaze softens after familiar cue,True,True
214,12,roofward,Fay,hinge ticks / thyme paper / sun sill,sun sill,ssrm.v43.sensory_memory.roofward.Fay,0.86,0.868,sun lens,True,gaze softens after familiar cue,True,True
216,13,orchard,Mara,cart creak / apple soil / mud row,mud row,ssrm.v43.sensory_memory.orchard.Mara,0.823,0.826,market token,True,resident names remembered room cue,True,True
218,13,riverbend,Lio,river slap / wet cedar / arrival court,arrival court,ssrm.v43.sensory_memory.riverbend.Lio,0.94,0.948,dry shawl,True,gaze softens after familiar cue,True,True
220,13,archive,Toma,page flutter / ink linen / memory desk,memory desk,ssrm.v43.sensory_memory.archive.Toma,0.932,0.935,ink ribbon,True,resident names remembered room cue,True,True
222,13,orchard,Mara,cart creak / apple soil / market plank,market plank,ssrm.v43.sensory_memory.orchard.Mara,0.828,0.831,apple wrap,True,resident names remembered room cue,True,True
224,13,riverbend,Lio,river slap / wet cedar / plank hall,plank hall,ssrm.v43.sensory_memory.riverbend.Lio,0.948,0.951,ridge lantern,True,resident names remembered room cue,True,True
226,13,archive,Toma,page flutter / ink linen / arrival court,arrival court,ssrm.v43.sensory_memory.archive.Toma,0.945,0.948,clean cloth,True,resident names remembered room cue,True,True
227,13,signal,Milo,static crickets / lamp oil / lantern walk,lantern walk,ssrm.v43.sensory_memory.signal.Milo,0.939,0.947,mast rope,True,gaze softens after familiar cue,True,True
228,13,orchard,Mara,cart creak / apple soil / satchel shed,satchel shed,ssrm.v43.sensory_memory.orchard.Mara,0.837,0.845,market token,True,gaze softens after familiar cue,True,True
230,13,riverbend,Lio,river slap / wet cedar / wet crossing,wet crossing,ssrm.v43.sensory_memory.riverbend.Lio,0.957,0.965,dry shawl,True,gaze softens after familiar cue,True,True
231,13,roofward,Fay,hinge ticks / thyme paper / sun sill,sun sill,ssrm.v43.sensory_memory.roofward.Fay,0.877,0.885,sun lens,True,gaze softens after familiar cue,True,True
232,13,archive,Toma,page flutter / ink linen / stone stacks,stone stacks,ssrm.v43.sensory_memory.archive.Toma,0.948,0.951,ink ribbon,True,resident names remembered room cue,True,True
234,14,repair_ring,Juno,bell hum / hot copper / cool corner,cool corner,ssrm.v43.sensory_memory.repair_ring.Juno,0.908,0.911,bell gauge,True,resident names remembered room cue,True,True
235,14,riverbend,Lio,river slap / wet cedar / arrival court,arrival court,ssrm.v43.sensory_memory.riverbend.Lio,0.98,0.98,dry shawl,True,gaze softens after familiar cue,True,True
236,14,roofward,Fay,hinge ticks / thyme paper / warm lane,warm lane,ssrm.v43.sensory_memory.roofward.Fay,0.885,0.888,sun lens,True,resident names remembered room cue,True,True
238,14,signal,Milo,static crickets / lamp oil / mast base,mast base,ssrm.v43.sensory_memory.signal.Milo,0.957,0.96,signal lens,True,resident names remembered room cue,True,True
240,14,repair_ring,Juno,bell hum / hot copper / arrival court,arrival court,ssrm.v43.sensory_memory.repair_ring.Juno,0.921,0.924,insulated tongs,True,resident names remembered room cue,True,True
242,14,roofward,Fay,hinge ticks / thyme paper / ledger loft,ledger loft,ssrm.v43.sensory_memory.roofward.Fay,0.89,0.893,brass hinge,True,resident names remembered room cue,True,True
244,14,signal,Milo,static crickets / lamp oil / lantern walk,lantern walk,ssrm.v43.sensory_memory.signal.Milo,0.966,0.974,mast rope,True,gaze softens after familiar cue,True,True
245,14,orchard,Mara,cart creak / apple soil / satchel shed,satchel shed,ssrm.v43.sensory_memory.orchard.Mara,0.853,0.861,market token,True,gaze softens after familiar cue,True,True
246,14,repair_ring,Juno,bell hum / hot copper / wire bench,wire bench,ssrm.v43.sensory_memory.repair_ring.Juno,0.925,0.928,bell gauge,True,resident names remembered room cue,True,True
247,14,riverbend,Lio,river slap / wet cedar / wet crossing,wet crossing,ssrm.v43.sensory_memory.riverbend.Lio,0.98,0.98,dry shawl,True,gaze softens after familiar cue,True,True
