generation,year,settlement_id,dialect_id,lexeme,meaning,grammatical_shift,loan_source,usage_count,inherited_lexeme,drift_rate,public_translation
7,210,archive,archive-dialect-1,keth-voro-1,signal memory / spool-naming,ownership suffix,signal,54,True,0.016,keth-voro-1: ask before crossing signal memory
7,210,signal,signal-dialect-1,ivo-lum-1,path visibility / lantern-turning,ownership suffix,orchard,57,True,0.02,ivo-lum-1: ask before crossing path visibility
7,210,orchard,orchard-dialect-1,pax-ther-1,dry seed continuity / satchel-vow,ownership suffix,repair_ring,60,True,0.024,pax-ther-1: ask before crossing dry seed continuity
7,210,repair_ring,repair_ring-dialect-1,ari-nia-1,safe repair space / spark-distance,ownership suffix,riverbend,63,True,0.028,ari-nia-1: ask before crossing safe repair space
8,240,riverbend,riverbend-dialect-1,nia-lum-1,dry crossing / plank-listening,ownership suffix,roofward,52,True,0.012,nia-lum-1: ask before crossing dry crossing
8,240,roofward,roofward-dialect-1,keth-ther-1,herb preservation / sun-ledger,ownership suffix,archive,55,True,0.016,keth-ther-1: ask before crossing herb preservation
8,240,archive,archive-dialect-1,ivo-nia-1,signal memory / spool-naming,ownership suffix,signal,58,True,0.02,ivo-nia-1: ask before crossing signal memory
8,240,signal,signal-dialect-1,pax-keth-1,path visibility / lantern-turning,ownership suffix,orchard,61,True,0.024,pax-keth-1: ask before crossing path visibility
8,240,orchard,orchard-dialect-1,ari-ivo-1,dry seed continuity / satchel-vow,ownership suffix,repair_ring,64,True,0.028,ari-ivo-1: ask before crossing dry seed continuity
8,240,repair_ring,repair_ring-dialect-1,fay-pax-1,safe repair space / spark-distance,ownership suffix,riverbend,67,True,0.032,fay-pax-1: ask before crossing safe repair space
9,270,riverbend,riverbend-dialect-1,keth-keth-1,dry crossing / plank-listening,route tense,roofward,56,True,0.016,keth-keth-1: ask before crossing dry crossing
9,270,roofward,roofward-dialect-1,ivo-ivo-1,herb preservation / sun-ledger,route tense,archive,59,True,0.02,ivo-ivo-1: ask before crossing herb preservation
9,270,archive,archive-dialect-1,pax-pax-1,signal memory / spool-naming,route tense,signal,62,True,0.024,pax-pax-1: ask before crossing signal memory
9,270,signal,signal-dialect-1,ari-ari-1,path visibility / lantern-turning,route tense,orchard,65,True,0.028,ari-ari-1: ask before crossing path visibility
9,270,orchard,orchard-dialect-1,fay-fay-1,dry seed continuity / satchel-vow,route tense,repair_ring,68,True,0.032,fay-fay-1: ask before crossing dry seed continuity
9,270,repair_ring,repair_ring-dialect-1,milo-milo-1,safe repair space / spark-distance,route tense,riverbend,71,True,0.036,milo-milo-1: ask before crossing safe repair space
10,300,riverbend,riverbend-dialect-1,ivo-ari-1,dry crossing / plank-listening,agent-object respect marker,roofward,60,True,0.02,ivo-ari-1: ask before crossing dry crossing
10,300,roofward,roofward-dialect-1,pax-fay-1,herb preservation / sun-ledger,agent-object respect marker,archive,63,True,0.024,pax-fay-1: ask before crossing herb preservation
10,300,archive,archive-dialect-1,ari-milo-1,signal memory / spool-naming,agent-object respect marker,signal,66,True,0.028,ari-milo-1: ask before crossing signal memory
10,300,signal,signal-dialect-1,fay-juno-1,path visibility / lantern-turning,agent-object respect marker,orchard,69,True,0.032,fay-juno-1: ask before crossing path visibility
10,300,orchard,orchard-dialect-1,milo-saan-1,dry seed continuity / satchel-vow,agent-object respect marker,repair_ring,72,True,0.036,milo-saan-1: ask before crossing dry seed continuity
10,300,repair_ring,repair_ring-dialect-1,juno-voro-1,safe repair space / spark-distance,agent-object respect marker,riverbend,75,True,0.04,juno-voro-1: ask before crossing safe repair space
11,330,riverbend,riverbend-dialect-2,pax-juno-2,dry crossing / plank-listening,ownership suffix,archive,64,True,0.024,pax-juno-2: ask before crossing dry crossing
11,330,roofward,roofward-dialect-2,ari-saan-2,herb preservation / sun-ledger,ownership suffix,signal,67,True,0.028,ari-saan-2: ask before crossing herb preservation
11,330,archive,archive-dialect-2,fay-voro-2,signal memory / spool-naming,ownership suffix,orchard,70,True,0.032,fay-voro-2: ask before crossing signal memory
11,330,signal,signal-dialect-2,milo-lum-2,path visibility / lantern-turning,ownership suffix,repair_ring,73,True,0.036,milo-lum-2: ask before crossing path visibility
11,330,orchard,orchard-dialect-2,juno-ther-2,dry seed continuity / satchel-vow,ownership suffix,riverbend,76,True,0.04,juno-ther-2: ask before crossing dry seed continuity
11,330,repair_ring,repair_ring-dialect-2,saan-nia-2,safe repair space / spark-distance,ownership suffix,roofward,79,True,0.012,saan-nia-2: ask before crossing safe repair space
12,360,riverbend,riverbend-dialect-2,ari-lum-2,dry crossing / plank-listening,route tense,archive,68,True,0.028,ari-lum-2: ask before crossing dry crossing
12,360,roofward,roofward-dialect-2,fay-ther-2,herb preservation / sun-ledger,route tense,signal,71,True,0.032,fay-ther-2: ask before crossing herb preservation
12,360,archive,archive-dialect-2,milo-nia-2,signal memory / spool-naming,route tense,orchard,74,True,0.036,milo-nia-2: ask before crossing signal memory
12,360,signal,signal-dialect-2,juno-keth-2,path visibility / lantern-turning,route tense,repair_ring,77,True,0.04,juno-keth-2: ask before crossing path visibility
12,360,orchard,orchard-dialect-2,saan-ivo-2,dry seed continuity / satchel-vow,route tense,riverbend,80,True,0.012,saan-ivo-2: ask before crossing dry seed continuity
12,360,repair_ring,repair_ring-dialect-2,voro-pax-2,safe repair space / spark-distance,route tense,roofward,83,True,0.016,voro-pax-2: ask before crossing safe repair space
13,390,riverbend,riverbend-dialect-2,fay-keth-2,dry crossing / plank-listening,ownership suffix,archive,72,True,0.032,fay-keth-2: ask before crossing dry crossing
13,390,roofward,roofward-dialect-2,milo-ivo-2,herb preservation / sun-ledger,ownership suffix,signal,75,True,0.036,milo-ivo-2: ask before crossing herb preservation
13,390,archive,archive-dialect-2,juno-pax-2,signal memory / spool-naming,ownership suffix,orchard,78,True,0.04,juno-pax-2: ask before crossing signal memory
13,390,signal,signal-dialect-2,saan-ari-2,path visibility / lantern-turning,ownership suffix,repair_ring,81,True,0.012,saan-ari-2: ask before crossing path visibility
13,390,orchard,orchard-dialect-2,voro-fay-2,dry seed continuity / satchel-vow,ownership suffix,riverbend,84,True,0.016,voro-fay-2: ask before crossing dry seed continuity
13,390,repair_ring,repair_ring-dialect-2,lum-milo-2,safe repair space / spark-distance,ownership suffix,roofward,87,True,0.02,lum-milo-2: ask before crossing safe repair space
14,420,riverbend,riverbend-dialect-2,milo-ari-2,dry crossing / plank-listening,ownership suffix,archive,76,True,0.036,milo-ari-2: ask before crossing dry crossing
14,420,roofward,roofward-dialect-2,juno-fay-2,herb preservation / sun-ledger,ownership suffix,signal,79,True,0.04,juno-fay-2: ask before crossing herb preservation
14,420,archive,archive-dialect-2,saan-milo-2,signal memory / spool-naming,ownership suffix,orchard,82,True,0.012,saan-milo-2: ask before crossing signal memory
14,420,signal,signal-dialect-2,voro-juno-2,path visibility / lantern-turning,ownership suffix,repair_ring,85,True,0.016,voro-juno-2: ask before crossing path visibility
14,420,orchard,orchard-dialect-2,lum-saan-2,dry seed continuity / satchel-vow,ownership suffix,riverbend,88,True,0.02,lum-saan-2: ask before crossing dry seed continuity
14,420,repair_ring,repair_ring-dialect-2,ther-voro-2,safe repair space / spark-distance,ownership suffix,roofward,91,True,0.024,ther-voro-2: ask before crossing safe repair space
15,450,riverbend,riverbend-dialect-2,juno-juno-2,dry crossing / plank-listening,agent-object respect marker,archive,80,True,0.04,juno-juno-2: ask before crossing dry crossing
15,450,roofward,roofward-dialect-2,saan-saan-2,herb preservation / sun-ledger,agent-object respect marker,signal,83,True,0.012,saan-saan-2: ask before crossing herb preservation
15,450,archive,archive-dialect-2,voro-voro-2,signal memory / spool-naming,agent-object respect marker,orchard,86,True,0.016,voro-voro-2: ask before crossing signal memory
15,450,signal,signal-dialect-2,lum-lum-2,path visibility / lantern-turning,agent-object respect marker,repair_ring,89,True,0.02,lum-lum-2: ask before crossing path visibility
15,450,orchard,orchard-dialect-2,ther-ther-2,dry seed continuity / satchel-vow,agent-object respect marker,riverbend,92,True,0.024,ther-ther-2: ask before crossing dry seed continuity
15,450,repair_ring,repair_ring-dialect-2,nia-nia-2,safe repair space / spark-distance,agent-object respect marker,roofward,95,True,0.028,nia-nia-2: ask before crossing safe repair space
16,480,riverbend,riverbend-dialect-2,saan-lum-2,dry crossing / plank-listening,ownership suffix,archive,84,True,0.012,saan-lum-2: ask before crossing dry crossing
16,480,roofward,roofward-dialect-2,voro-ther-2,herb preservation / sun-ledger,ownership suffix,signal,87,True,0.016,voro-ther-2: ask before crossing herb preservation
16,480,archive,archive-dialect-2,lum-nia-2,signal memory / spool-naming,ownership suffix,orchard,90,True,0.02,lum-nia-2: ask before crossing signal memory
16,480,signal,signal-dialect-2,ther-keth-2,path visibility / lantern-turning,ownership suffix,repair_ring,93,True,0.024,ther-keth-2: ask before crossing path visibility
16,480,orchard,orchard-dialect-2,nia-ivo-2,dry seed continuity / satchel-vow,ownership suffix,riverbend,96,True,0.028,nia-ivo-2: ask before crossing dry seed continuity
16,480,repair_ring,repair_ring-dialect-2,keth-pax-2,safe repair space / spark-distance,ownership suffix,roofward,99,True,0.032,keth-pax-2: ask before crossing safe repair space
17,510,riverbend,riverbend-dialect-2,voro-keth-2,dry crossing / plank-listening,ownership suffix,archive,88,True,0.016,voro-keth-2: ask before crossing dry crossing
17,510,roofward,roofward-dialect-2,lum-ivo-2,herb preservation / sun-ledger,ownership suffix,signal,91,True,0.02,lum-ivo-2: ask before crossing herb preservation
17,510,archive,archive-dialect-2,ther-pax-2,signal memory / spool-naming,ownership suffix,orchard,94,True,0.024,ther-pax-2: ask before crossing signal memory
17,510,signal,signal-dialect-2,nia-ari-2,path visibility / lantern-turning,ownership suffix,repair_ring,97,True,0.028,nia-ari-2: ask before crossing path visibility
17,510,orchard,orchard-dialect-2,keth-fay-2,dry seed continuity / satchel-vow,ownership suffix,riverbend,100,True,0.032,keth-fay-2: ask before crossing dry seed continuity
17,510,repair_ring,repair_ring-dialect-2,ivo-milo-2,safe repair space / spark-distance,ownership suffix,roofward,103,True,0.036,ivo-milo-2: ask before crossing safe repair space
18,540,riverbend,riverbend-dialect-2,lum-ari-2,dry crossing / plank-listening,route tense,archive,92,True,0.02,lum-ari-2: ask before crossing dry crossing
18,540,roofward,roofward-dialect-2,ther-fay-2,herb preservation / sun-ledger,route tense,signal,95,True,0.024,ther-fay-2: ask before crossing herb preservation
18,540,archive,archive-dialect-2,nia-milo-2,signal memory / spool-naming,route tense,orchard,98,True,0.028,nia-milo-2: ask before crossing signal memory
18,540,signal,signal-dialect-2,keth-juno-2,path visibility / lantern-turning,route tense,repair_ring,101,True,0.032,keth-juno-2: ask before crossing path visibility
18,540,orchard,orchard-dialect-2,ivo-saan-2,dry seed continuity / satchel-vow,route tense,riverbend,104,True,0.036,ivo-saan-2: ask before crossing dry seed continuity
18,540,repair_ring,repair_ring-dialect-2,pax-voro-2,safe repair space / spark-distance,route tense,roofward,107,True,0.04,pax-voro-2: ask before crossing safe repair space
19,570,riverbend,riverbend-dialect-2,ther-juno-2,dry crossing / plank-listening,ownership suffix,archive,96,True,0.024,ther-juno-2: ask before crossing dry crossing
19,570,roofward,roofward-dialect-2,nia-saan-2,herb preservation / sun-ledger,ownership suffix,signal,99,True,0.028,nia-saan-2: ask before crossing herb preservation
19,570,archive,archive-dialect-2,keth-voro-2,signal memory / spool-naming,ownership suffix,orchard,102,True,0.032,keth-voro-2: ask before crossing signal memory
19,570,signal,signal-dialect-2,ivo-lum-2,path visibility / lantern-turning,ownership suffix,repair_ring,105,True,0.036,ivo-lum-2: ask before crossing path visibility
19,570,orchard,orchard-dialect-2,pax-ther-2,dry seed continuity / satchel-vow,ownership suffix,riverbend,108,True,0.04,pax-ther-2: ask before crossing dry seed continuity
19,570,repair_ring,repair_ring-dialect-2,ari-nia-2,safe repair space / spark-distance,ownership suffix,roofward,111,True,0.012,ari-nia-2: ask before crossing safe repair space
20,600,riverbend,riverbend-dialect-2,nia-lum-2,dry crossing / plank-listening,agent-object respect marker,archive,100,True,0.028,nia-lum-2: ask before crossing dry crossing
20,600,roofward,roofward-dialect-2,keth-ther-2,herb preservation / sun-ledger,agent-object respect marker,signal,103,True,0.032,keth-ther-2: ask before crossing herb preservation
20,600,archive,archive-dialect-2,ivo-nia-2,signal memory / spool-naming,agent-object respect marker,orchard,106,True,0.036,ivo-nia-2: ask before crossing signal memory
20,600,signal,signal-dialect-2,pax-keth-2,path visibility / lantern-turning,agent-object respect marker,repair_ring,109,True,0.04,pax-keth-2: ask before crossing path visibility
20,600,orchard,orchard-dialect-2,ari-ivo-2,dry seed continuity / satchel-vow,agent-object respect marker,riverbend,112,True,0.012,ari-ivo-2: ask before crossing dry seed continuity
20,600,repair_ring,repair_ring-dialect-2,fay-pax-2,safe repair space / spark-distance,agent-object respect marker,roofward,115,True,0.016,fay-pax-2: ask before crossing safe repair space
21,630,riverbend,riverbend-dialect-3,keth-keth-3,dry crossing / plank-listening,route tense,signal,104,True,0.032,keth-keth-3: ask before crossing dry crossing
21,630,roofward,roofward-dialect-3,ivo-ivo-3,herb preservation / sun-ledger,route tense,orchard,107,True,0.036,ivo-ivo-3: ask before crossing herb preservation
21,630,archive,archive-dialect-3,pax-pax-3,signal memory / spool-naming,route tense,repair_ring,110,True,0.04,pax-pax-3: ask before crossing signal memory
21,630,signal,signal-dialect-3,ari-ari-3,path visibility / lantern-turning,route tense,riverbend,113,True,0.012,ari-ari-3: ask before crossing path visibility
21,630,orchard,orchard-dialect-3,fay-fay-3,dry seed continuity / satchel-vow,route tense,roofward,116,True,0.016,fay-fay-3: ask before crossing dry seed continuity
21,630,repair_ring,repair_ring-dialect-3,milo-milo-3,safe repair space / spark-distance,route tense,archive,119,True,0.02,milo-milo-3: ask before crossing safe repair space
22,660,riverbend,riverbend-dialect-3,ivo-ari-3,dry crossing / plank-listening,ownership suffix,signal,108,True,0.036,ivo-ari-3: ask before crossing dry crossing
22,660,roofward,roofward-dialect-3,pax-fay-3,herb preservation / sun-ledger,ownership suffix,orchard,111,True,0.04,pax-fay-3: ask before crossing herb preservation
22,660,archive,archive-dialect-3,ari-milo-3,signal memory / spool-naming,ownership suffix,repair_ring,114,True,0.012,ari-milo-3: ask before crossing signal memory
22,660,signal,signal-dialect-3,fay-juno-3,path visibility / lantern-turning,ownership suffix,riverbend,117,True,0.016,fay-juno-3: ask before crossing path visibility
22,660,orchard,orchard-dialect-3,milo-saan-3,dry seed continuity / satchel-vow,ownership suffix,roofward,120,True,0.02,milo-saan-3: ask before crossing dry seed continuity
22,660,repair_ring,repair_ring-dialect-3,juno-voro-3,safe repair space / spark-distance,ownership suffix,archive,123,True,0.024,juno-voro-3: ask before crossing safe repair space
23,690,riverbend,riverbend-dialect-3,pax-juno-3,dry crossing / plank-listening,ownership suffix,signal,112,True,0.04,pax-juno-3: ask before crossing dry crossing
23,690,roofward,roofward-dialect-3,ari-saan-3,herb preservation / sun-ledger,ownership suffix,orchard,115,True,0.012,ari-saan-3: ask before crossing herb preservation
23,690,archive,archive-dialect-3,fay-voro-3,signal memory / spool-naming,ownership suffix,repair_ring,118,True,0.016,fay-voro-3: ask before crossing signal memory
23,690,signal,signal-dialect-3,milo-lum-3,path visibility / lantern-turning,ownership suffix,riverbend,121,True,0.02,milo-lum-3: ask before crossing path visibility
23,690,orchard,orchard-dialect-3,juno-ther-3,dry seed continuity / satchel-vow,ownership suffix,roofward,124,True,0.024,juno-ther-3: ask before crossing dry seed continuity
23,690,repair_ring,repair_ring-dialect-3,saan-nia-3,safe repair space / spark-distance,ownership suffix,archive,127,True,0.028,saan-nia-3: ask before crossing safe repair space
24,720,riverbend,riverbend-dialect-3,ari-lum-3,dry crossing / plank-listening,route tense,signal,116,True,0.012,ari-lum-3: ask before crossing dry crossing
24,720,roofward,roofward-dialect-3,fay-ther-3,herb preservation / sun-ledger,route tense,orchard,119,True,0.016,fay-ther-3: ask before crossing herb preservation
24,720,archive,archive-dialect-3,milo-nia-3,signal memory / spool-naming,route tense,repair_ring,122,True,0.02,milo-nia-3: ask before crossing signal memory
24,720,signal,signal-dialect-3,juno-keth-3,path visibility / lantern-turning,route tense,riverbend,125,True,0.024,juno-keth-3: ask before crossing path visibility
24,720,orchard,orchard-dialect-3,saan-ivo-3,dry seed continuity / satchel-vow,route tense,roofward,128,True,0.028,saan-ivo-3: ask before crossing dry seed continuity
24,720,repair_ring,repair_ring-dialect-3,voro-pax-3,safe repair space / spark-distance,route tense,archive,131,True,0.032,voro-pax-3: ask before crossing safe repair space
25,750,riverbend,riverbend-dialect-3,fay-keth-3,dry crossing / plank-listening,agent-object respect marker,signal,120,True,0.016,fay-keth-3: ask before crossing dry crossing
25,750,roofward,roofward-dialect-3,milo-ivo-3,herb preservation / sun-ledger,agent-object respect marker,orchard,123,True,0.02,milo-ivo-3: ask before crossing herb preservation
25,750,archive,archive-dialect-3,juno-pax-3,signal memory / spool-naming,agent-object respect marker,repair_ring,126,True,0.024,juno-pax-3: ask before crossing signal memory
25,750,signal,signal-dialect-3,saan-ari-3,path visibility / lantern-turning,agent-object respect marker,riverbend,129,True,0.028,saan-ari-3: ask before crossing path visibility
25,750,orchard,orchard-dialect-3,voro-fay-3,dry seed continuity / satchel-vow,agent-object respect marker,roofward,132,True,0.032,voro-fay-3: ask before crossing dry seed continuity
25,750,repair_ring,repair_ring-dialect-3,lum-milo-3,safe repair space / spark-distance,agent-object respect marker,archive,135,True,0.036,lum-milo-3: ask before crossing safe repair space
26,780,riverbend,riverbend-dialect-3,milo-ari-3,dry crossing / plank-listening,ownership suffix,signal,124,True,0.02,milo-ari-3: ask before crossing dry crossing
26,780,roofward,roofward-dialect-3,juno-fay-3,herb preservation / sun-ledger,ownership suffix,orchard,127,True,0.024,juno-fay-3: ask before crossing herb preservation
26,780,archive,archive-dialect-3,saan-milo-3,signal memory / spool-naming,ownership suffix,repair_ring,130,True,0.028,saan-milo-3: ask before crossing signal memory
26,780,signal,signal-dialect-3,voro-juno-3,path visibility / lantern-turning,ownership suffix,riverbend,133,True,0.032,voro-juno-3: ask before crossing path visibility
26,780,orchard,orchard-dialect-3,lum-saan-3,dry seed continuity / satchel-vow,ownership suffix,roofward,136,True,0.036,lum-saan-3: ask before crossing dry seed continuity
26,780,repair_ring,repair_ring-dialect-3,ther-voro-3,safe repair space / spark-distance,ownership suffix,archive,139,True,0.04,ther-voro-3: ask before crossing safe repair space
27,810,riverbend,riverbend-dialect-3,juno-juno-3,dry crossing / plank-listening,route tense,signal,128,True,0.024,juno-juno-3: ask before crossing dry crossing
27,810,roofward,roofward-dialect-3,saan-saan-3,herb preservation / sun-ledger,route tense,orchard,131,True,0.028,saan-saan-3: ask before crossing herb preservation
27,810,archive,archive-dialect-3,voro-voro-3,signal memory / spool-naming,route tense,repair_ring,134,True,0.032,voro-voro-3: ask before crossing signal memory
27,810,signal,signal-dialect-3,lum-lum-3,path visibility / lantern-turning,route tense,riverbend,137,True,0.036,lum-lum-3: ask before crossing path visibility
27,810,orchard,orchard-dialect-3,ther-ther-3,dry seed continuity / satchel-vow,route tense,roofward,140,True,0.04,ther-ther-3: ask before crossing dry seed continuity
27,810,repair_ring,repair_ring-dialect-3,nia-nia-3,safe repair space / spark-distance,route tense,archive,143,True,0.012,nia-nia-3: ask before crossing safe repair space
28,840,riverbend,riverbend-dialect-3,saan-lum-3,dry crossing / plank-listening,ownership suffix,signal,132,True,0.028,saan-lum-3: ask before crossing dry crossing
28,840,roofward,roofward-dialect-3,voro-ther-3,herb preservation / sun-ledger,ownership suffix,orchard,135,True,0.032,voro-ther-3: ask before crossing herb preservation
28,840,archive,archive-dialect-3,lum-nia-3,signal memory / spool-naming,ownership suffix,repair_ring,138,True,0.036,lum-nia-3: ask before crossing signal memory
28,840,signal,signal-dialect-3,ther-keth-3,path visibility / lantern-turning,ownership suffix,riverbend,141,True,0.04,ther-keth-3: ask before crossing path visibility
28,840,orchard,orchard-dialect-3,nia-ivo-3,dry seed continuity / satchel-vow,ownership suffix,roofward,144,True,0.012,nia-ivo-3: ask before crossing dry seed continuity
28,840,repair_ring,repair_ring-dialect-3,keth-pax-3,safe repair space / spark-distance,ownership suffix,archive,147,True,0.016,keth-pax-3: ask before crossing safe repair space
29,870,riverbend,riverbend-dialect-3,voro-keth-3,dry crossing / plank-listening,ownership suffix,signal,136,True,0.032,voro-keth-3: ask before crossing dry crossing
29,870,roofward,roofward-dialect-3,lum-ivo-3,herb preservation / sun-ledger,ownership suffix,orchard,139,True,0.036,lum-ivo-3: ask before crossing herb preservation
29,870,archive,archive-dialect-3,ther-pax-3,signal memory / spool-naming,ownership suffix,repair_ring,142,True,0.04,ther-pax-3: ask before crossing signal memory
29,870,signal,signal-dialect-3,nia-ari-3,path visibility / lantern-turning,ownership suffix,riverbend,145,True,0.012,nia-ari-3: ask before crossing path visibility
29,870,orchard,orchard-dialect-3,keth-fay-3,dry seed continuity / satchel-vow,ownership suffix,roofward,148,True,0.016,keth-fay-3: ask before crossing dry seed continuity
29,870,repair_ring,repair_ring-dialect-3,ivo-milo-3,safe repair space / spark-distance,ownership suffix,archive,151,True,0.02,ivo-milo-3: ask before crossing safe repair space
30,900,riverbend,riverbend-dialect-3,lum-ari-3,dry crossing / plank-listening,agent-object respect marker,signal,140,True,0.036,lum-ari-3: ask before crossing dry crossing
30,900,roofward,roofward-dialect-3,ther-fay-3,herb preservation / sun-ledger,agent-object respect marker,orchard,143,True,0.04,ther-fay-3: ask before crossing herb preservation
30,900,archive,archive-dialect-3,nia-milo-3,signal memory / spool-naming,agent-object respect marker,repair_ring,146,True,0.012,nia-milo-3: ask before crossing signal memory
30,900,signal,signal-dialect-3,keth-juno-3,path visibility / lantern-turning,agent-object respect marker,riverbend,149,True,0.016,keth-juno-3: ask before crossing path visibility
