tick_id,day,session_id,settlement_id,resident_id,project_id,project_name,loop_step,avatar_action,task_state_before,task_state_after,local_state_key,local_state_mutated,loop_advanced,resident_visible,private_workspace_sealed,no_llm_call
18,2,session-001,orchid_engine,Eli,a3b8dc6d55,listen to valve pulse,execute_task,click:execute_task:gear_wash,resident-ready,inventory-mutated,ssrm.v55.orchid_engine.session-001,True,True,True,True,True
19,2,session-001,moss_ward,Ari,2378d81ec8,patch blanket loom,recover_failed_work,click:recover_failed_work:root_alcove,resident-ready,recovery-choice-open,ssrm.v55.moss_ward.session-001,True,True,True,True,True
20,2,session-001,glass_harbor,Oren,d2b7153668,seal fog catcher,drop_tool,click:drop_tool:lamp_pier,resident-ready,tool-returned-or-nearby,ssrm.v55.glass_harbor.session-001,True,True,True,True,True
21,2,session-001,cinder_garden,Vale,b4da23a954,repair seed calendar,relationship_phrase,click:relationship_phrase:ash_path,resident-ready,phrase-used-and-saved,ssrm.v55.cinder_garden.session-001,True,True,True,True,True
22,2,session-001,lichen_bridge,Sol,85cb036eb5,test rope bridge,save_session,click:save_session:meal_room,resident-ready,session-snapshot-written,ssrm.v55.lichen_bridge.session-001,True,True,True,True,True
23,2,session-001,orchid_engine,Bea,3935fa5efe,clean gear wash,path_to_site,click:path_to_site:engine_ring,queued,at-site-or-closer,ssrm.v55.orchid_engine.session-001,True,True,True,True,True
24,2,session-001,moss_ward,Fay,6a7b5adb25,copy root ledger,pickup_tool,click:pickup_tool:blanket_room,resident-ready,tool-in-hand,ssrm.v55.moss_ward.session-001,True,True,True,True,True
25,2,session-001,glass_harbor,Puck,c10ea1470a,mark crossing rope,execute_task,click:execute_task:fog_rail,resident-ready,inventory-mutated,ssrm.v55.glass_harbor.session-001,True,True,True,True,True
26,2,session-001,cinder_garden,Wren,81aa359945,shade seed rows,recover_failed_work,click:recover_failed_work:seed_shelf,resident-ready,recovery-choice-open,ssrm.v55.cinder_garden.session-001,True,True,True,True,True
27,2,session-001,lichen_bridge,Kio,ebef679159,weave spare rope,drop_tool,click:drop_tool:signal_post,resident-ready,tool-returned-or-nearby,ssrm.v55.lichen_bridge.session-001,True,True,True,True,True
28,2,session-001,orchid_engine,Cai,2fe151eb17,tend orchid lamp,relationship_phrase,click:relationship_phrase:orchid_bay,resident-ready,phrase-used-and-saved,ssrm.v55.orchid_engine.session-001,True,True,True,True,True
29,2,session-001,moss_ward,Milo,b03af16c10,raise warm-cup shelf,save_session,click:save_session:rain_gate,resident-ready,session-snapshot-written,ssrm.v55.moss_ward.session-001,True,True,True,True,True
30,2,session-001,glass_harbor,Sera,768a4d2ad8,relight public lamp,path_to_site,click:path_to_site:net_room,queued,at-site-or-closer,ssrm.v55.glass_harbor.session-001,True,True,True,True,True
31,2,session-001,cinder_garden,Juno,2b1e35e8a1,sort ember fruit,pickup_tool,click:pickup_tool:shade_tent,resident-ready,tool-in-hand,ssrm.v55.cinder_garden.session-001,True,True,True,True,True
32,2,session-001,lichen_bridge,Luma,450c18baea,mark signal bell,execute_task,click:execute_task:rope_bridge,resident-ready,inventory-mutated,ssrm.v55.lichen_bridge.session-001,True,True,True,True,True
33,2,session-001,orchid_engine,Dax,363676d602,stabilize steam kettle,recover_failed_work,click:recover_failed_work:gear_wash,resident-ready,recovery-choice-open,ssrm.v55.orchid_engine.session-001,True,True,True,True,True
34,2,session-001,moss_ward,Tala,572744cec7,drain rain path,drop_tool,click:drop_tool:root_alcove,resident-ready,tool-returned-or-nearby,ssrm.v55.moss_ward.session-001,True,True,True,True,True
35,2,session-001,glass_harbor,Nia,2c46e6f05e,mend fog net,relationship_phrase,click:relationship_phrase:lamp_pier,resident-ready,phrase-used-and-saved,ssrm.v55.glass_harbor.session-001,True,True,True,True,True
36,3,session-001,lichen_bridge,Kio,096f63fbc9,mark signal bell,recover_failed_work,click:recover_failed_work:meal_room,resident-ready,recovery-choice-open,ssrm.v55.lichen_bridge.session-001,True,True,True,True,True
37,3,session-001,orchid_engine,Cai,7b17b6bca2,stabilize steam kettle,drop_tool,click:drop_tool:engine_ring,resident-ready,tool-returned-or-nearby,ssrm.v55.orchid_engine.session-001,True,True,True,True,True
38,3,session-001,moss_ward,Milo,42164b006a,drain rain path,relationship_phrase,click:relationship_phrase:blanket_room,resident-ready,phrase-used-and-saved,ssrm.v55.moss_ward.session-001,True,True,True,True,True
39,3,session-001,glass_harbor,Sera,b557cb5ab1,mend fog net,save_session,click:save_session:fog_rail,resident-ready,session-snapshot-written,ssrm.v55.glass_harbor.session-001,True,True,True,True,True
40,3,session-001,cinder_garden,Juno,f754fc777c,cool ash path,path_to_site,click:path_to_site:seed_shelf,queued,at-site-or-closer,ssrm.v55.cinder_garden.session-001,True,True,True,True,True
41,3,session-001,lichen_bridge,Luma,7017cc792d,repair meal ledger,pickup_tool,click:pickup_tool:signal_post,resident-ready,tool-in-hand,ssrm.v55.lichen_bridge.session-001,True,True,True,True,True
42,3,session-001,orchid_engine,Dax,947f5c8b39,listen to valve pulse,execute_task,click:execute_task:orchid_bay,resident-ready,inventory-mutated,ssrm.v55.orchid_engine.session-001,True,True,True,True,True
43,3,session-001,moss_ward,Tala,f91d6085d8,patch blanket loom,recover_failed_work,click:recover_failed_work:rain_gate,resident-ready,recovery-choice-open,ssrm.v55.moss_ward.session-001,True,True,True,True,True
44,3,session-001,glass_harbor,Nia,7d03d3d3f1,seal fog catcher,drop_tool,click:drop_tool:net_room,resident-ready,tool-returned-or-nearby,ssrm.v55.glass_harbor.session-001,True,True,True,True,True
45,3,session-001,cinder_garden,Pax,2ac4db2919,repair seed calendar,relationship_phrase,click:relationship_phrase:shade_tent,resident-ready,phrase-used-and-saved,ssrm.v55.cinder_garden.session-001,True,True,True,True,True
46,3,session-001,lichen_bridge,Rin,b522b59c7e,test rope bridge,save_session,click:save_session:rope_bridge,resident-ready,session-snapshot-written,ssrm.v55.lichen_bridge.session-001,True,True,True,True,True
47,3,session-001,orchid_engine,Eli,e4ebf8a5c3,clean gear wash,path_to_site,click:path_to_site:gear_wash,queued,at-site-or-closer,ssrm.v55.orchid_engine.session-001,True,True,True,True,True
48,3,session-001,moss_ward,Ari,acb2c21249,copy root ledger,pickup_tool,click:pickup_tool:root_alcove,resident-ready,tool-in-hand,ssrm.v55.moss_ward.session-001,True,True,True,True,True
49,3,session-001,glass_harbor,Oren,65ab173ea1,mark crossing rope,execute_task,click:execute_task:lamp_pier,resident-ready,inventory-mutated,ssrm.v55.glass_harbor.session-001,True,True,True,True,True
50,3,session-001,cinder_garden,Vale,7525471538,shade seed rows,recover_failed_work,click:recover_failed_work:ash_path,resident-ready,recovery-choice-open,ssrm.v55.cinder_garden.session-001,True,True,True,True,True
51,3,session-001,lichen_bridge,Sol,032f2286f3,weave spare rope,drop_tool,click:drop_tool:meal_room,resident-ready,tool-returned-or-nearby,ssrm.v55.lichen_bridge.session-001,True,True,True,True,True
52,3,session-001,orchid_engine,Bea,a0d3597080,tend orchid lamp,relationship_phrase,click:relationship_phrase:engine_ring,resident-ready,phrase-used-and-saved,ssrm.v55.orchid_engine.session-001,True,True,True,True,True
53,3,session-001,moss_ward,Fay,72cfe9f03b,raise warm-cup shelf,save_session,click:save_session:blanket_room,resident-ready,session-snapshot-written,ssrm.v55.moss_ward.session-001,True,True,True,True,True
54,4,session-001,cinder_garden,Pax,cfb8cd3fed,shade seed rows,drop_tool,click:drop_tool:seed_shelf,resident-ready,tool-returned-or-nearby,ssrm.v55.cinder_garden.session-001,True,True,True,True,True
55,4,session-001,lichen_bridge,Rin,d21d02a5bc,weave spare rope,relationship_phrase,click:relationship_phrase:signal_post,resident-ready,phrase-used-and-saved,ssrm.v55.lichen_bridge.session-001,True,True,True,True,True
56,4,session-001,orchid_engine,Eli,3f711d3e3b,tend orchid lamp,save_session,click:save_session:orchid_bay,resident-ready,session-snapshot-written,ssrm.v55.orchid_engine.session-001,True,True,True,True,True
57,4,session-001,moss_ward,Ari,808faa30ed,raise warm-cup shelf,path_to_site,click:path_to_site:rain_gate,queued,at-site-or-closer,ssrm.v55.moss_ward.session-001,True,True,True,True,True
58,4,session-001,glass_harbor,Oren,f949aa8fd3,relight public lamp,pickup_tool,click:pickup_tool:net_room,resident-ready,tool-in-hand,ssrm.v55.glass_harbor.session-001,True,True,True,True,True
59,4,session-001,cinder_garden,Vale,6b0dbec2ed,sort ember fruit,execute_task,click:execute_task:shade_tent,resident-ready,inventory-mutated,ssrm.v55.cinder_garden.session-001,True,True,True,True,True
60,4,session-001,lichen_bridge,Sol,910495b9ec,mark signal bell,recover_failed_work,click:recover_failed_work:rope_bridge,resident-ready,recovery-choice-open,ssrm.v55.lichen_bridge.session-001,True,True,True,True,True
61,4,session-001,orchid_engine,Bea,d5a5690d8e,stabilize steam kettle,drop_tool,click:drop_tool:gear_wash,resident-ready,tool-returned-or-nearby,ssrm.v55.orchid_engine.session-001,True,True,True,True,True
62,4,session-001,moss_ward,Fay,9c82c8d116,drain rain path,relationship_phrase,click:relationship_phrase:root_alcove,resident-ready,phrase-used-and-saved,ssrm.v55.moss_ward.session-001,True,True,True,True,True
63,4,session-001,glass_harbor,Puck,4a73f95e3d,mend fog net,save_session,click:save_session:lamp_pier,resident-ready,session-snapshot-written,ssrm.v55.glass_harbor.session-001,True,True,True,True,True
64,4,session-001,cinder_garden,Wren,9ee5bba78b,cool ash path,path_to_site,click:path_to_site:ash_path,queued,at-site-or-closer,ssrm.v55.cinder_garden.session-001,True,True,True,True,True
65,4,session-001,lichen_bridge,Kio,1356a31e8d,repair meal ledger,pickup_tool,click:pickup_tool:meal_room,resident-ready,tool-in-hand,ssrm.v55.lichen_bridge.session-001,True,True,True,True,True
66,4,session-001,orchid_engine,Cai,aa06bc447d,listen to valve pulse,execute_task,click:execute_task:engine_ring,resident-ready,inventory-mutated,ssrm.v55.orchid_engine.session-001,True,True,True,True,True
67,4,session-001,moss_ward,Milo,214b5191fa,patch blanket loom,recover_failed_work,click:recover_failed_work:blanket_room,resident-ready,recovery-choice-open,ssrm.v55.moss_ward.session-001,True,True,True,True,True
68,4,session-001,glass_harbor,Sera,35df557118,seal fog catcher,drop_tool,click:drop_tool:fog_rail,resident-ready,tool-returned-or-nearby,ssrm.v55.glass_harbor.session-001,True,True,True,True,True
69,4,session-001,cinder_garden,Juno,a3cdbd8180,repair seed calendar,relationship_phrase,click:relationship_phrase:seed_shelf,resident-ready,phrase-used-and-saved,ssrm.v55.cinder_garden.session-001,True,True,True,True,True
70,4,session-001,lichen_bridge,Luma,a72c4caf94,test rope bridge,save_session,click:save_session:signal_post,resident-ready,session-snapshot-written,ssrm.v55.lichen_bridge.session-001,True,True,True,True,True
71,4,session-001,orchid_engine,Dax,e5be4a3317,clean gear wash,path_to_site,click:path_to_site:orchid_bay,queued,at-site-or-closer,ssrm.v55.orchid_engine.session-001,True,True,True,True,True
72,5,session-001,glass_harbor,Puck,19e61c2da4,seal fog catcher,relationship_phrase,click:relationship_phrase:net_room,resident-ready,phrase-used-and-saved,ssrm.v55.glass_harbor.session-001,True,True,True,True,True
73,5,session-001,cinder_garden,Wren,b1df32837e,repair seed calendar,save_session,click:save_session:shade_tent,resident-ready,session-snapshot-written,ssrm.v55.cinder_garden.session-001,True,True,True,True,True
74,5,session-001,lichen_bridge,Kio,0c14394478,test rope bridge,path_to_site,click:path_to_site:rope_bridge,queued,at-site-or-closer,ssrm.v55.lichen_bridge.session-001,True,True,True,True,True
75,5,session-001,orchid_engine,Cai,80ecb7dbcd,clean gear wash,pickup_tool,click:pickup_tool:gear_wash,resident-ready,tool-in-hand,ssrm.v55.orchid_engine.session-001,True,True,True,True,True
76,5,session-001,moss_ward,Milo,4f19e26857,copy root ledger,execute_task,click:execute_task:root_alcove,resident-ready,inventory-mutated,ssrm.v55.moss_ward.session-001,True,True,True,True,True
77,5,session-001,glass_harbor,Sera,ee1d01c438,mark crossing rope,recover_failed_work,click:recover_failed_work:lamp_pier,resident-ready,recovery-choice-open,ssrm.v55.glass_harbor.session-001,True,True,True,True,True
78,5,session-001,cinder_garden,Juno,9c5554028b,shade seed rows,drop_tool,click:drop_tool:ash_path,resident-ready,tool-returned-or-nearby,ssrm.v55.cinder_garden.session-001,True,True,True,True,True
79,5,session-001,lichen_bridge,Luma,5fbf6bf7bd,weave spare rope,relationship_phrase,click:relationship_phrase:meal_room,resident-ready,phrase-used-and-saved,ssrm.v55.lichen_bridge.session-001,True,True,True,True,True
80,5,session-001,orchid_engine,Dax,8d36ca6708,tend orchid lamp,save_session,click:save_session:engine_ring,resident-ready,session-snapshot-written,ssrm.v55.orchid_engine.session-001,True,True,True,True,True
81,5,session-001,moss_ward,Tala,690cd7241e,raise warm-cup shelf,path_to_site,click:path_to_site:blanket_room,queued,at-site-or-closer,ssrm.v55.moss_ward.session-001,True,True,True,True,True
82,5,session-001,glass_harbor,Nia,24a6670b6c,relight public lamp,pickup_tool,click:pickup_tool:fog_rail,resident-ready,tool-in-hand,ssrm.v55.glass_harbor.session-001,True,True,True,True,True
83,5,session-001,cinder_garden,Pax,9dfff354ca,sort ember fruit,execute_task,click:execute_task:seed_shelf,resident-ready,inventory-mutated,ssrm.v55.cinder_garden.session-001,True,True,True,True,True
84,5,session-001,lichen_bridge,Rin,48fc2b7680,mark signal bell,recover_failed_work,click:recover_failed_work:signal_post,resident-ready,recovery-choice-open,ssrm.v55.lichen_bridge.session-001,True,True,True,True,True
85,5,session-001,orchid_engine,Eli,86759406ca,stabilize steam kettle,drop_tool,click:drop_tool:orchid_bay,resident-ready,tool-returned-or-nearby,ssrm.v55.orchid_engine.session-001,True,True,True,True,True
86,5,session-001,moss_ward,Ari,da0f22a6f5,drain rain path,relationship_phrase,click:relationship_phrase:rain_gate,resident-ready,phrase-used-and-saved,ssrm.v55.moss_ward.session-001,True,True,True,True,True
87,5,session-001,glass_harbor,Oren,9f03b2f23d,mend fog net,save_session,click:save_session:net_room,resident-ready,session-snapshot-written,ssrm.v55.glass_harbor.session-001,True,True,True,True,True
88,5,session-001,cinder_garden,Vale,58b08d67ce,cool ash path,path_to_site,click:path_to_site:shade_tent,queued,at-site-or-closer,ssrm.v55.cinder_garden.session-001,True,True,True,True,True
89,5,session-001,lichen_bridge,Sol,6a6945c048,repair meal ledger,pickup_tool,click:pickup_tool:rope_bridge,resident-ready,tool-in-hand,ssrm.v55.lichen_bridge.session-001,True,True,True,True,True
90,6,session-001,moss_ward,Tala,572744cec7,drain rain path,save_session,click:save_session:root_alcove,resident-ready,session-snapshot-written,ssrm.v55.moss_ward.session-001,True,True,True,True,True
91,6,session-001,glass_harbor,Nia,2c46e6f05e,mend fog net,path_to_site,click:path_to_site:lamp_pier,queued,at-site-or-closer,ssrm.v55.glass_harbor.session-001,True,True,True,True,True
92,6,session-001,cinder_garden,Pax,1e5830ef22,cool ash path,pickup_tool,click:pickup_tool:ash_path,resident-ready,tool-in-hand,ssrm.v55.cinder_garden.session-001,True,True,True,True,True
93,6,session-001,lichen_bridge,Rin,9611f49c07,repair meal ledger,execute_task,click:execute_task:meal_room,resident-ready,inventory-mutated,ssrm.v55.lichen_bridge.session-001,True,True,True,True,True
94,6,session-001,orchid_engine,Eli,a3b8dc6d55,listen to valve pulse,recover_failed_work,click:recover_failed_work:engine_ring,resident-ready,recovery-choice-open,ssrm.v55.orchid_engine.session-001,True,True,True,True,True
95,6,session-001,moss_ward,Ari,2378d81ec8,patch blanket loom,drop_tool,click:drop_tool:blanket_room,resident-ready,tool-returned-or-nearby,ssrm.v55.moss_ward.session-001,True,True,True,True,True
96,6,session-001,glass_harbor,Oren,d2b7153668,seal fog catcher,relationship_phrase,click:relationship_phrase:fog_rail,resident-ready,phrase-used-and-saved,ssrm.v55.glass_harbor.session-001,True,True,True,True,True
97,6,session-001,cinder_garden,Vale,b4da23a954,repair seed calendar,save_session,click:save_session:seed_shelf,resident-ready,session-snapshot-written,ssrm.v55.cinder_garden.session-001,True,True,True,True,True
98,6,session-001,lichen_bridge,Sol,85cb036eb5,test rope bridge,path_to_site,click:path_to_site:signal_post,queued,at-site-or-closer,ssrm.v55.lichen_bridge.session-001,True,True,True,True,True
99,6,session-001,orchid_engine,Bea,3935fa5efe,clean gear wash,pickup_tool,click:pickup_tool:orchid_bay,resident-ready,tool-in-hand,ssrm.v55.orchid_engine.session-001,True,True,True,True,True
100,6,session-001,moss_ward,Fay,6a7b5adb25,copy root ledger,execute_task,click:execute_task:rain_gate,resident-ready,inventory-mutated,ssrm.v55.moss_ward.session-001,True,True,True,True,True
101,6,session-001,glass_harbor,Puck,c10ea1470a,mark crossing rope,recover_failed_work,click:recover_failed_work:net_room,resident-ready,recovery-choice-open,ssrm.v55.glass_harbor.session-001,True,True,True,True,True
102,6,session-001,cinder_garden,Wren,81aa359945,shade seed rows,drop_tool,click:drop_tool:shade_tent,resident-ready,tool-returned-or-nearby,ssrm.v55.cinder_garden.session-001,True,True,True,True,True
103,6,session-001,lichen_bridge,Kio,ebef679159,weave spare rope,relationship_phrase,click:relationship_phrase:rope_bridge,resident-ready,phrase-used-and-saved,ssrm.v55.lichen_bridge.session-001,True,True,True,True,True
104,6,session-001,orchid_engine,Cai,2fe151eb17,tend orchid lamp,save_session,click:save_session:gear_wash,resident-ready,session-snapshot-written,ssrm.v55.orchid_engine.session-001,True,True,True,True,True
105,6,session-001,moss_ward,Milo,b03af16c10,raise warm-cup shelf,path_to_site,click:path_to_site:root_alcove,queued,at-site-or-closer,ssrm.v55.moss_ward.session-001,True,True,True,True,True
106,6,session-001,glass_harbor,Sera,768a4d2ad8,relight public lamp,pickup_tool,click:pickup_tool:lamp_pier,resident-ready,tool-in-hand,ssrm.v55.glass_harbor.session-001,True,True,True,True,True
107,6,session-001,cinder_garden,Juno,2b1e35e8a1,sort ember fruit,execute_task,click:execute_task:ash_path,resident-ready,inventory-mutated,ssrm.v55.cinder_garden.session-001,True,True,True,True,True
108,7,session-002,orchid_engine,Bea,a0d3597080,tend orchid lamp,path_to_site,click:path_to_site:engine_ring,queued,at-site-or-closer,ssrm.v55.orchid_engine.session-002,True,True,True,True,True
109,7,session-002,moss_ward,Fay,72cfe9f03b,raise warm-cup shelf,pickup_tool,click:pickup_tool:blanket_room,resident-ready,tool-in-hand,ssrm.v55.moss_ward.session-002,True,True,True,True,True
110,7,session-002,glass_harbor,Puck,d99abac1ce,relight public lamp,execute_task,click:execute_task:fog_rail,resident-ready,inventory-mutated,ssrm.v55.glass_harbor.session-002,True,True,True,True,True
111,7,session-002,cinder_garden,Wren,efccb1106a,sort ember fruit,recover_failed_work,click:recover_failed_work:seed_shelf,resident-ready,recovery-choice-open,ssrm.v55.cinder_garden.session-002,True,True,True,True,True
112,7,session-002,lichen_bridge,Kio,096f63fbc9,mark signal bell,drop_tool,click:drop_tool:signal_post,resident-ready,tool-returned-or-nearby,ssrm.v55.lichen_bridge.session-002,True,True,True,True,True
113,7,session-002,orchid_engine,Cai,7b17b6bca2,stabilize steam kettle,relationship_phrase,click:relationship_phrase:orchid_bay,resident-ready,phrase-used-and-saved,ssrm.v55.orchid_engine.session-002,True,True,True,True,True
114,7,session-002,moss_ward,Milo,42164b006a,drain rain path,save_session,click:save_session:rain_gate,resident-ready,session-snapshot-written,ssrm.v55.moss_ward.session-002,True,True,True,True,True
115,7,session-002,glass_harbor,Sera,b557cb5ab1,mend fog net,path_to_site,click:path_to_site:net_room,queued,at-site-or-closer,ssrm.v55.glass_harbor.session-002,True,True,True,True,True
116,7,session-002,cinder_garden,Juno,f754fc777c,cool ash path,pickup_tool,click:pickup_tool:shade_tent,resident-ready,tool-in-hand,ssrm.v55.cinder_garden.session-002,True,True,True,True,True
117,7,session-002,lichen_bridge,Luma,7017cc792d,repair meal ledger,execute_task,click:execute_task:rope_bridge,resident-ready,inventory-mutated,ssrm.v55.lichen_bridge.session-002,True,True,True,True,True
118,7,session-002,orchid_engine,Dax,947f5c8b39,listen to valve pulse,recover_failed_work,click:recover_failed_work:gear_wash,resident-ready,recovery-choice-open,ssrm.v55.orchid_engine.session-002,True,True,True,True,True
119,7,session-002,moss_ward,Tala,f91d6085d8,patch blanket loom,drop_tool,click:drop_tool:root_alcove,resident-ready,tool-returned-or-nearby,ssrm.v55.moss_ward.session-002,True,True,True,True,True
120,7,session-002,glass_harbor,Nia,7d03d3d3f1,seal fog catcher,relationship_phrase,click:relationship_phrase:lamp_pier,resident-ready,phrase-used-and-saved,ssrm.v55.glass_harbor.session-002,True,True,True,True,True
121,7,session-002,cinder_garden,Pax,2ac4db2919,repair seed calendar,save_session,click:save_session:ash_path,resident-ready,session-snapshot-written,ssrm.v55.cinder_garden.session-002,True,True,True,True,True
122,7,session-002,lichen_bridge,Rin,b522b59c7e,test rope bridge,path_to_site,click:path_to_site:meal_room,queued,at-site-or-closer,ssrm.v55.lichen_bridge.session-002,True,True,True,True,True
123,7,session-002,orchid_engine,Eli,e4ebf8a5c3,clean gear wash,pickup_tool,click:pickup_tool:engine_ring,resident-ready,tool-in-hand,ssrm.v55.orchid_engine.session-002,True,True,True,True,True
124,7,session-002,moss_ward,Ari,acb2c21249,copy root ledger,execute_task,click:execute_task:blanket_room,resident-ready,inventory-mutated,ssrm.v55.moss_ward.session-002,True,True,True,True,True
125,7,session-002,glass_harbor,Oren,65ab173ea1,mark crossing rope,recover_failed_work,click:recover_failed_work:fog_rail,resident-ready,recovery-choice-open,ssrm.v55.glass_harbor.session-002,True,True,True,True,True
126,8,session-002,lichen_bridge,Luma,a72c4caf94,test rope bridge,pickup_tool,click:pickup_tool:signal_post,resident-ready,tool-in-hand,ssrm.v55.lichen_bridge.session-002,True,True,True,True,True
127,8,session-002,orchid_engine,Dax,e5be4a3317,clean gear wash,execute_task,click:execute_task:orchid_bay,resident-ready,inventory-mutated,ssrm.v55.orchid_engine.session-002,True,True,True,True,True
128,8,session-002,moss_ward,Tala,ab7eb655b8,copy root ledger,recover_failed_work,click:recover_failed_work:rain_gate,resident-ready,recovery-choice-open,ssrm.v55.moss_ward.session-002,True,True,True,True,True
129,8,session-002,glass_harbor,Nia,35100ce116,mark crossing rope,drop_tool,click:drop_tool:net_room,resident-ready,tool-returned-or-nearby,ssrm.v55.glass_harbor.session-002,True,True,True,True,True
130,8,session-002,cinder_garden,Pax,cfb8cd3fed,shade seed rows,relationship_phrase,click:relationship_phrase:shade_tent,resident-ready,phrase-used-and-saved,ssrm.v55.cinder_garden.session-002,True,True,True,True,True
131,8,session-002,lichen_bridge,Rin,d21d02a5bc,weave spare rope,save_session,click:save_session:rope_bridge,resident-ready,session-snapshot-written,ssrm.v55.lichen_bridge.session-002,True,True,True,True,True
132,8,session-002,orchid_engine,Eli,3f711d3e3b,tend orchid lamp,path_to_site,click:path_to_site:gear_wash,queued,at-site-or-closer,ssrm.v55.orchid_engine.session-002,True,True,True,True,True
133,8,session-002,moss_ward,Ari,808faa30ed,raise warm-cup shelf,pickup_tool,click:pickup_tool:root_alcove,resident-ready,tool-in-hand,ssrm.v55.moss_ward.session-002,True,True,True,True,True
134,8,session-002,glass_harbor,Oren,f949aa8fd3,relight public lamp,execute_task,click:execute_task:lamp_pier,resident-ready,inventory-mutated,ssrm.v55.glass_harbor.session-002,True,True,True,True,True
135,8,session-002,cinder_garden,Vale,6b0dbec2ed,sort ember fruit,recover_failed_work,click:recover_failed_work:ash_path,resident-ready,recovery-choice-open,ssrm.v55.cinder_garden.session-002,True,True,True,True,True
136,8,session-002,lichen_bridge,Sol,910495b9ec,mark signal bell,drop_tool,click:drop_tool:meal_room,resident-ready,tool-returned-or-nearby,ssrm.v55.lichen_bridge.session-002,True,True,True,True,True
137,8,session-002,orchid_engine,Bea,d5a5690d8e,stabilize steam kettle,relationship_phrase,click:relationship_phrase:engine_ring,resident-ready,phrase-used-and-saved,ssrm.v55.orchid_engine.session-002,True,True,True,True,True
138,8,session-002,moss_ward,Fay,9c82c8d116,drain rain path,save_session,click:save_session:blanket_room,resident-ready,session-snapshot-written,ssrm.v55.moss_ward.session-002,True,True,True,True,True
