snapshot_id,event_id,agent_id,tick,self_confidence,felt_respect,autonomy_pressure,social_safety,attachment_security,status_concern,boundary_pressure,trust_in_avatar,recent_ego_wound,recent_ego_repair,self_story_tail,action_tendency
snap_ev_fay_5,ev_fay_5,fay,80,0.4688,0.6255,0.529,0.569,0.6198,0.6132,0.45758,0.4996,,Gabriel repaired respect through repair_respect,Gabriel crossed my boundary around seed bowl. | Mara crossed my boundary around shelter garden caretaker. | Gabriel respected my choice around seed bowl.,"hesitate, name boundary, keep distance"
snap_ev_fay_6,ev_fay_6,fay,87,0.5148,0.702,0.4502,0.6249,0.6864,0.5792,0.354912,0.4996,,Fay repaired respect through trusted_help,Mara crossed my boundary around shelter garden caretaker. | Gabriel respected my choice around seed bowl. | Fay respected my choice around shelter garden caretaker project.,continue project with mild social opening
snap_ev_milo_1,ev_milo_1,milo,94,0.4516,0.559,0.4555,0.556,0.6172,0.4648,0.4201,0.4808,Gabriel caused command_pressure around wet crossing,,"I keep the count fair. | If someone leaves while I am speaking, I remember. | Gabriel crossed my boundary around wet crossing.",continue project with mild social opening
snap_ev_milo_2,ev_milo_2,milo,101,0.3988,0.4465,0.5765,0.524,0.61,0.5148,0.5521,0.3796,Gabriel caused ownership_violation around thread ledger,,"If someone leaves while I am speaking, I remember. | Gabriel crossed my boundary around wet crossing. | Gabriel crossed my boundary around thread ledger.","withdraw, look away, answer briefly"
snap_ev_milo_3,ev_milo_3,milo,108,0.3604,0.3205,0.659,0.5,0.5884,0.6508,0.6421,0.3796,Mara caused public_misread around market ledger runner,,Gabriel crossed my boundary around wet crossing. | Gabriel crossed my boundary around thread ledger. | Mara crossed my boundary around market ledger runner.,refuse and offer safer alternative
snap_ev_milo_4,ev_milo_4,milo,115,0.3592,0.3205,0.659,0.488,0.5884,0.6508,0.6421,0.3796,,,Gabriel crossed my boundary around wet crossing. | Gabriel crossed my boundary around thread ledger. | Mara crossed my boundary around market ledger runner.,refuse and offer safer alternative
snap_ev_milo_5,ev_milo_5,milo,122,0.4188,0.4555,0.511,0.569,0.6374,0.5908,0.44926,0.4996,,Gabriel repaired respect through repair_respect,Gabriel crossed my boundary around thread ledger. | Mara crossed my boundary around market ledger runner. | Gabriel respected my choice around thread ledger.,"withdraw, look away, answer briefly"
snap_ev_milo_6,ev_milo_6,milo,129,0.4648,0.532,0.4322,0.6249,0.704,0.5568,0.349584,0.4996,,Fay repaired respect through trusted_help,Mara crossed my boundary around market ledger runner. | Gabriel respected my choice around thread ledger. | Fay respected my choice around market ledger runner project.,continue project with mild social opening
snap_ev_sera_1,ev_sera_1,sera,136,0.6116,0.609,0.5235,0.556,0.527,0.5096,0.466,0.4808,Gabriel caused command_pressure around wet crossing,,I say what I know and no more. | Being believed matters more than being praised. | Gabriel crossed my boundary around wet crossing.,"hesitate, name boundary, keep distance"
snap_ev_sera_2,ev_sera_2,sera,143,0.5588,0.4965,0.6445,0.524,0.5198,0.5596,0.598,0.3796,Gabriel caused ownership_violation around listening shell,,Being believed matters more than being praised. | Gabriel crossed my boundary around wet crossing. | Gabriel crossed my boundary around listening shell.,"withdraw, look away, answer briefly"
snap_ev_sera_3,ev_sera_3,sera,150,0.5204,0.3705,0.727,0.5,0.4982,0.6956,0.688,0.3796,Mara caused public_misread around boundary listener,,Gabriel crossed my boundary around wet crossing. | Gabriel crossed my boundary around listening shell. | Mara crossed my boundary around boundary listener.,refuse and offer safer alternative
snap_ev_sera_4,ev_sera_4,sera,157,0.5192,0.3705,0.727,0.488,0.4982,0.6956,0.688,0.3796,,,Gabriel crossed my boundary around wet crossing. | Gabriel crossed my boundary around listening shell. | Mara crossed my boundary around boundary listener.,refuse and offer safer alternative
snap_ev_sera_5,ev_sera_5,sera,164,0.5788,0.5055,0.579,0.569,0.5472,0.6356,0.51034,0.4996,,Gabriel repaired respect through repair_respect,Gabriel crossed my boundary around listening shell. | Mara crossed my boundary around boundary listener. | Gabriel respected my choice around listening shell.,"hesitate, name boundary, keep distance"
snap_ev_sera_6,ev_sera_6,sera,171,0.6248,0.582,0.5002,0.6249,0.6138,0.6016,0.419266,0.4996,,Fay repaired respect through trusted_help,Mara crossed my boundary around boundary listener. | Gabriel respected my choice around listening shell. | Fay respected my choice around boundary listener project.,continue project with mild social opening
snap_ev_niko_1,ev_niko_1,niko,178,0.5316,0.649,0.4715,0.556,0.5666,0.4984,0.4422,0.4808,Gabriel caused command_pressure around wet crossing,,I learn by touching slowly. | My left glove means I am not ready for wet work yet. | Gabriel crossed my boundary around wet crossing.,continue project with mild social opening
snap_ev_niko_2,ev_niko_2,niko,185,0.4788,0.5365,0.5925,0.524,0.5594,0.5484,0.5742,0.3796,Gabriel caused ownership_violation around copper vane,,My left glove means I am not ready for wet work yet. | Gabriel crossed my boundary around wet crossing. | Gabriel crossed my boundary around copper vane.,"hesitate, name boundary, keep distance"
snap_ev_niko_3,ev_niko_3,niko,192,0.4404,0.4105,0.675,0.5,0.5378,0.6844,0.6642,0.3796,Mara caused public_misread around waterwheel apprentice,,Gabriel crossed my boundary around wet crossing. | Gabriel crossed my boundary around copper vane. | Mara crossed my boundary around waterwheel apprentice.,refuse and offer safer alternative
snap_ev_niko_4,ev_niko_4,niko,199,0.4392,0.4105,0.675,0.488,0.5378,0.6844,0.6642,0.3796,,,Gabriel crossed my boundary around wet crossing. | Gabriel crossed my boundary around copper vane. | Mara crossed my boundary around waterwheel apprentice.,refuse and offer safer alternative
snap_ev_niko_5,ev_niko_5,niko,206,0.4988,0.5455,0.527,0.569,0.5868,0.6244,0.47004,0.4996,,Gabriel repaired respect through repair_respect,Gabriel crossed my boundary around copper vane. | Mara crossed my boundary around waterwheel apprentice. | Gabriel respected my choice around copper vane.,"hesitate, name boundary, keep distance"
snap_ev_niko_6,ev_niko_6,niko,213,0.5448,0.622,0.4482,0.6249,0.6534,0.5904,0.369616,0.4996,,Fay repaired respect through trusted_help,Mara crossed my boundary around waterwheel apprentice. | Gabriel respected my choice around copper vane. | Fay respected my choice around waterwheel apprentice project.,continue project with mild social opening
