tick_id,day,settlement_id,project_id,project_type,required_objects,available_objects,stage_before,stage_after,object_durability_before,object_durability_after,dependency_satisfied,project_progress,rollback_marker,visible_project_state
36,3,riverbend,bridge-lantern-rig,repair,cedar plank | ridge lantern | binding cord,cedar plank | ridge lantern | binding cord,log maintenance,log maintenance,0.784,0.766,True,1.0,forward-only-safe,True
37,3,roofward,sun-lens-archive,craft,sun lens | herb ledger | brass hinge,sun lens | herb ledger | brass hinge,set hinge,open archive,0.824,0.806,True,0.75,checkpoint-ready,True
39,3,signal,signal-path-beacon,craft,mast rope | oil lantern | signal lens,mast rope | oil lantern | signal lens,post watch note,post watch note,0.77,0.77,True,1.0,forward-only-safe,True
41,3,repair_ring,bell-circuit-stabilizer,repair,insulated tongs | copper wire | bell gauge,insulated tongs | copper wire | bell gauge,quiet bell,publish warning,0.806,0.788,True,1.0,forward-only-safe,True
42,3,riverbend,bridge-lantern-rig,repair,cedar plank | ridge lantern | binding cord,cedar plank | ridge lantern | binding cord,log maintenance,log maintenance,0.766,0.766,True,1.0,forward-only-safe,True
44,3,archive,memory-spool-loom,repair,signal spool | ink ribbon | memory tag,signal spool | ink ribbon | memory tag,test recall,seal annotation,0.806,0.788,True,1.0,forward-only-safe,True
45,3,signal,signal-path-beacon,craft,mast rope | oil lantern | signal lens,mast rope | oil lantern | signal lens,post watch note,post watch note,0.77,0.752,True,1.0,forward-only-safe,True
48,4,riverbend,bridge-lantern-rig,repair,cedar plank | ridge lantern | binding cord,cedar plank | ridge lantern | binding cord,log maintenance,log maintenance,0.766,0.748,True,1.0,forward-only-safe,True
49,4,roofward,sun-lens-archive,craft,sun lens | herb ledger | brass hinge,sun lens | herb ledger | brass hinge,open archive,teach access rule,0.806,0.788,True,1.0,forward-only-safe,True
50,4,archive,memory-spool-loom,repair,signal spool | ink ribbon | memory tag,signal spool | ink ribbon | memory tag,seal annotation,seal annotation,0.788,0.77,True,1.0,forward-only-safe,True
51,4,signal,signal-path-beacon,craft,mast rope | oil lantern | signal lens,mast rope | oil lantern | signal lens,post watch note,fill lantern,0.752,0.794,True,0.25,forward-only-safe,True
53,4,repair_ring,bell-circuit-stabilizer,repair,insulated tongs | copper wire | bell gauge,insulated tongs | copper wire | bell gauge,publish warning,publish warning,0.788,0.77,True,1.0,forward-only-safe,True
54,4,riverbend,bridge-lantern-rig,repair,cedar plank | ridge lantern | binding cord,cedar plank | ridge lantern | binding cord,log maintenance,log maintenance,0.748,0.73,True,1.0,forward-only-safe,True
56,4,archive,memory-spool-loom,repair,signal spool | ink ribbon | memory tag,signal spool | ink ribbon | memory tag,seal annotation,seal annotation,0.77,0.752,True,1.0,forward-only-safe,True
57,4,signal,signal-path-beacon,craft,mast rope | oil lantern | signal lens,mast rope | oil lantern | signal lens,fill lantern,align lens,0.794,0.776,True,0.5,forward-only-safe,True
60,4,riverbend,bridge-lantern-rig,repair,cedar plank | ridge lantern | binding cord,cedar plank | ridge lantern | binding cord,log maintenance,log maintenance,0.73,0.712,True,1.0,forward-only-safe,True
63,4,signal,signal-path-beacon,craft,mast rope | oil lantern | signal lens,mast rope | oil lantern | signal lens,align lens,send pulse,0.776,0.758,True,0.75,forward-only-safe,True
64,5,orchard,seed-shed-restock,repair,seed satchel | market token | dry cord,seed satchel | market token | dry cord,seal shed,teach tally,0.806,0.788,True,1.0,forward-only-safe,True
66,5,riverbend,bridge-lantern-rig,repair,cedar plank | ridge lantern | binding cord,cedar plank | ridge lantern | binding cord,log maintenance,log maintenance,0.712,0.694,True,1.0,forward-only-safe,True
67,5,roofward,sun-lens-archive,craft,sun lens | herb ledger | brass hinge,sun lens | herb ledger | brass hinge,teach access rule,teach access rule,0.788,0.77,True,1.0,forward-only-safe,True
69,5,signal,signal-path-beacon,craft,mast rope | oil lantern | signal lens,mast rope | oil lantern | signal lens,send pulse,send pulse,0.758,0.758,True,0.75,forward-only-safe,True
71,5,repair_ring,bell-circuit-stabilizer,repair,insulated tongs | copper wire | bell gauge,insulated tongs | copper wire | bell gauge,publish warning,publish warning,0.77,0.752,True,1.0,forward-only-safe,True
72,5,riverbend,bridge-lantern-rig,repair,cedar plank | ridge lantern | binding cord,cedar plank | ridge lantern | binding cord,log maintenance,log maintenance,0.694,0.694,True,1.0,forward-only-safe,True
74,5,archive,memory-spool-loom,repair,signal spool | ink ribbon | memory tag,signal spool | ink ribbon | memory tag,seal annotation,seal annotation,0.752,0.734,True,1.0,checkpoint-ready,True
75,5,signal,signal-path-beacon,craft,mast rope | oil lantern | signal lens,mast rope | oil lantern | signal lens,send pulse,post watch note,0.758,0.74,True,1.0,forward-only-safe,True
78,5,riverbend,bridge-lantern-rig,repair,cedar plank | ridge lantern | binding cord,cedar plank | ridge lantern | binding cord,log maintenance,log maintenance,0.694,0.676,True,1.0,forward-only-safe,True
80,6,archive,memory-spool-loom,repair,signal spool | ink ribbon | memory tag,signal spool | ink ribbon | memory tag,seal annotation,seal annotation,0.734,0.716,True,1.0,forward-only-safe,True
81,6,signal,signal-path-beacon,craft,mast rope | oil lantern | signal lens,mast rope | oil lantern | signal lens,post watch note,post watch note,0.74,0.722,True,1.0,forward-only-safe,True
83,6,repair_ring,bell-circuit-stabilizer,repair,insulated tongs | copper wire | bell gauge,insulated tongs | copper wire | bell gauge,publish warning,publish warning,0.752,0.734,True,1.0,forward-only-safe,True
84,6,riverbend,bridge-lantern-rig,repair,cedar plank | ridge lantern | binding cord,cedar plank | ridge lantern | binding cord,log maintenance,log maintenance,0.676,0.658,True,1.0,forward-only-safe,True
86,6,archive,memory-spool-loom,repair,signal spool | ink ribbon | memory tag,signal spool | ink ribbon | memory tag,seal annotation,seal annotation,0.716,0.698,True,1.0,forward-only-safe,True
87,6,signal,signal-path-beacon,craft,mast rope | oil lantern | signal lens,mast rope | oil lantern | signal lens,post watch note,post watch note,0.722,0.704,True,1.0,forward-only-safe,True
90,6,riverbend,bridge-lantern-rig,repair,cedar plank | ridge lantern | binding cord,cedar plank | ridge lantern | binding cord,log maintenance,log maintenance,0.658,0.64,True,1.0,forward-only-safe,True
93,6,signal,signal-path-beacon,craft,mast rope | oil lantern | signal lens,mast rope | oil lantern,post watch note,post watch note,0.704,0.7,False,1.0,waiting-safe,True
94,6,orchard,seed-shed-restock,repair,seed satchel | market token | dry cord,seed satchel | market token | dry cord,teach tally,teach tally,0.788,0.77,True,1.0,forward-only-safe,True
96,7,riverbend,bridge-lantern-rig,repair,cedar plank | ridge lantern | binding cord,cedar plank | ridge lantern | binding cord,log maintenance,log maintenance,0.64,0.622,True,1.0,forward-only-safe,True
97,7,roofward,sun-lens-archive,craft,sun lens | herb ledger | brass hinge,sun lens | herb ledger | brass hinge,teach access rule,teach access rule,0.77,0.752,True,1.0,forward-only-safe,True
99,7,signal,signal-path-beacon,craft,mast rope | oil lantern | signal lens,mast rope | oil lantern | signal lens,post watch note,post watch note,0.7,0.7,True,1.0,forward-only-safe,True
101,7,repair_ring,bell-circuit-stabilizer,repair,insulated tongs | copper wire | bell gauge,insulated tongs | copper wire | bell gauge,publish warning,publish warning,0.734,0.716,True,1.0,forward-only-safe,True
102,7,riverbend,bridge-lantern-rig,repair,cedar plank | ridge lantern | binding cord,cedar plank | ridge lantern | binding cord,log maintenance,fit plank,0.622,0.682,True,0.25,forward-only-safe,True
104,7,archive,memory-spool-loom,repair,signal spool | ink ribbon | memory tag,signal spool | ink ribbon | memory tag,seal annotation,seal annotation,0.698,0.68,True,1.0,forward-only-safe,True
105,7,signal,signal-path-beacon,craft,mast rope | oil lantern | signal lens,mast rope | oil lantern | signal lens,post watch note,post watch note,0.7,0.682,True,1.0,forward-only-safe,True
108,7,riverbend,bridge-lantern-rig,repair,cedar plank | ridge lantern | binding cord,cedar plank | ridge lantern | binding cord,fit plank,bind cord,0.682,0.664,True,0.5,forward-only-safe,True
111,7,signal,signal-path-beacon,craft,mast rope | oil lantern | signal lens,mast rope | oil lantern | signal lens,post watch note,post watch note,0.682,0.664,True,1.0,checkpoint-ready,True
113,8,repair_ring,bell-circuit-stabilizer,repair,insulated tongs | copper wire | bell gauge,insulated tongs | copper wire | bell gauge,publish warning,publish warning,0.716,0.698,True,1.0,forward-only-safe,True
114,8,riverbend,bridge-lantern-rig,repair,cedar plank | ridge lantern | binding cord,cedar plank | ridge lantern | binding cord,bind cord,raise lantern,0.664,0.646,True,0.75,forward-only-safe,True
116,8,archive,memory-spool-loom,repair,signal spool | ink ribbon | memory tag,signal spool | ink ribbon | memory tag,seal annotation,seal annotation,0.68,0.662,True,1.0,forward-only-safe,True
117,8,signal,signal-path-beacon,craft,mast rope | oil lantern | signal lens,mast rope | oil lantern | signal lens,post watch note,post watch note,0.664,0.646,True,1.0,forward-only-safe,True
120,8,riverbend,bridge-lantern-rig,repair,cedar plank | ridge lantern | binding cord,cedar plank | ridge lantern | binding cord,raise lantern,log maintenance,0.646,0.628,True,1.0,forward-only-safe,True
123,8,signal,signal-path-beacon,craft,mast rope | oil lantern | signal lens,mast rope | oil lantern | signal lens,post watch note,post watch note,0.646,0.628,True,1.0,forward-only-safe,True
124,8,orchard,seed-shed-restock,repair,seed satchel | market token | dry cord,seed satchel | market token,teach tally,teach tally,0.77,0.766,False,1.0,waiting-safe,True
126,8,riverbend,bridge-lantern-rig,repair,cedar plank | ridge lantern | binding cord,cedar plank | ridge lantern | binding cord,log maintenance,log maintenance,0.628,0.61,True,1.0,forward-only-safe,True
127,8,roofward,sun-lens-archive,craft,sun lens | herb ledger | brass hinge,sun lens | herb ledger | brass hinge,teach access rule,teach access rule,0.752,0.734,True,1.0,forward-only-safe,True
129,9,signal,signal-path-beacon,craft,mast rope | oil lantern | signal lens,mast rope | oil lantern | signal lens,post watch note,post watch note,0.628,0.628,True,1.0,forward-only-safe,True
131,9,repair_ring,bell-circuit-stabilizer,repair,insulated tongs | copper wire | bell gauge,insulated tongs | copper wire | bell gauge,publish warning,publish warning,0.698,0.68,True,1.0,forward-only-safe,True
132,9,riverbend,bridge-lantern-rig,repair,cedar plank | ridge lantern | binding cord,cedar plank | ridge lantern | binding cord,log maintenance,log maintenance,0.61,0.61,True,1.0,forward-only-safe,True
134,9,archive,memory-spool-loom,repair,signal spool | ink ribbon | memory tag,signal spool | ink ribbon | memory tag,seal annotation,seal annotation,0.662,0.644,True,1.0,forward-only-safe,True
135,9,signal,signal-path-beacon,craft,mast rope | oil lantern | signal lens,mast rope | oil lantern | signal lens,post watch note,post watch note,0.628,0.61,True,1.0,forward-only-safe,True
138,9,riverbend,bridge-lantern-rig,repair,cedar plank | ridge lantern | binding cord,cedar plank | ridge lantern | binding cord,log maintenance,log maintenance,0.61,0.592,True,1.0,forward-only-safe,True
141,9,signal,signal-path-beacon,craft,mast rope | oil lantern | signal lens,mast rope | oil lantern | signal lens,post watch note,post watch note,0.61,0.592,True,1.0,forward-only-safe,True
144,10,roofward,sun-lens-archive,craft,sun lens | herb ledger | brass hinge,sun lens | herb ledger | brass hinge,teach access rule,teach access rule,0.734,0.716,True,1.0,forward-only-safe,True
147,10,orchard,seed-shed-restock,repair,seed satchel | market token | dry cord,seed satchel | market token | dry cord,teach tally,teach tally,0.766,0.748,True,1.0,forward-only-safe,True
150,10,roofward,sun-lens-archive,craft,sun lens | herb ledger | brass hinge,sun lens | herb ledger | brass hinge,teach access rule,teach access rule,0.716,0.698,True,1.0,forward-only-safe,True
153,10,orchard,seed-shed-restock,repair,seed satchel | market token | dry cord,seed satchel | market token | dry cord,teach tally,dry cord,0.748,0.79,True,0.25,forward-only-safe,True
154,10,repair_ring,bell-circuit-stabilizer,repair,insulated tongs | copper wire | bell gauge,insulated tongs | copper wire | bell gauge,publish warning,publish warning,0.68,0.662,True,1.0,forward-only-safe,True
156,10,roofward,sun-lens-archive,craft,sun lens | herb ledger | brass hinge,sun lens | herb ledger | brass hinge,teach access rule,teach access rule,0.698,0.68,True,1.0,forward-only-safe,True
157,10,archive,memory-spool-loom,repair,signal spool | ink ribbon | memory tag,signal spool | ink ribbon | memory tag,seal annotation,seal annotation,0.644,0.626,True,1.0,forward-only-safe,True
159,10,orchard,seed-shed-restock,repair,seed satchel | market token | dry cord,seed satchel | market token | dry cord,dry cord,dry cord,0.79,0.79,True,0.25,forward-only-safe,True
160,11,repair_ring,bell-circuit-stabilizer,repair,insulated tongs | copper wire | bell gauge,insulated tongs | copper wire | bell gauge,publish warning,publish warning,0.662,0.644,True,1.0,forward-only-safe,True
162,11,roofward,sun-lens-archive,craft,sun lens | herb ledger | brass hinge,sun lens | herb ledger | brass hinge,teach access rule,teach access rule,0.68,0.662,True,1.0,forward-only-safe,True
163,11,archive,memory-spool-loom,repair,signal spool | ink ribbon | memory tag,signal spool | ink ribbon | memory tag,seal annotation,seal annotation,0.626,0.608,True,1.0,forward-only-safe,True
165,11,orchard,seed-shed-restock,repair,seed satchel | market token | dry cord,seed satchel | market token | dry cord,dry cord,tag token,0.79,0.772,True,0.5,forward-only-safe,True
166,11,repair_ring,bell-circuit-stabilizer,repair,insulated tongs | copper wire | bell gauge,insulated tongs | copper wire | bell gauge,publish warning,publish warning,0.644,0.626,True,1.0,forward-only-safe,True
168,11,roofward,sun-lens-archive,craft,sun lens | herb ledger | brass hinge,sun lens | herb ledger | brass hinge,teach access rule,teach access rule,0.662,0.644,True,1.0,forward-only-safe,True
169,11,archive,memory-spool-loom,repair,signal spool | ink ribbon | memory tag,signal spool | ink ribbon | memory tag,seal annotation,seal annotation,0.608,0.59,True,1.0,forward-only-safe,True
170,11,signal,signal-path-beacon,craft,mast rope | oil lantern | signal lens,mast rope | oil lantern | signal lens,post watch note,fill lantern,0.592,0.634,True,0.25,forward-only-safe,True
171,11,orchard,seed-shed-restock,repair,seed satchel | market token | dry cord,seed satchel | market token | dry cord,tag token,seal shed,0.772,0.754,True,0.75,forward-only-safe,True
173,11,riverbend,bridge-lantern-rig,repair,cedar plank | ridge lantern | binding cord,cedar plank | ridge lantern | binding cord,log maintenance,log maintenance,0.592,0.574,True,1.0,forward-only-safe,True
174,11,roofward,sun-lens-archive,craft,sun lens | herb ledger | brass hinge,sun lens | herb ledger | brass hinge,teach access rule,teach access rule,0.644,0.626,True,1.0,forward-only-safe,True
177,12,orchard,seed-shed-restock,repair,seed satchel | market token | dry cord,seed satchel | market token | dry cord,seal shed,teach tally,0.754,0.736,True,1.0,forward-only-safe,True
180,12,roofward,sun-lens-archive,craft,sun lens | herb ledger | brass hinge,sun lens | herb ledger | brass hinge,teach access rule,teach access rule,0.626,0.608,True,1.0,forward-only-safe,True
183,12,orchard,seed-shed-restock,repair,seed satchel | market token | dry cord,seed satchel | market token | dry cord,teach tally,teach tally,0.736,0.718,True,1.0,forward-only-safe,True
184,12,repair_ring,bell-circuit-stabilizer,repair,insulated tongs | copper wire | bell gauge,insulated tongs | copper wire | bell gauge,publish warning,publish warning,0.626,0.608,True,1.0,forward-only-safe,True
186,12,roofward,sun-lens-archive,craft,sun lens | herb ledger | brass hinge,sun lens | herb ledger,teach access rule,teach access rule,0.608,0.604,False,1.0,waiting-safe,True
187,12,archive,memory-spool-loom,repair,signal spool | ink ribbon | memory tag,signal spool | ink ribbon | memory tag,seal annotation,thread spool,0.59,0.632,True,0.25,forward-only-safe,True
189,12,orchard,seed-shed-restock,repair,seed satchel | market token | dry cord,seed satchel | market token | dry cord,teach tally,teach tally,0.718,0.718,True,1.0,forward-only-safe,True
192,13,roofward,sun-lens-archive,craft,sun lens | herb ledger | brass hinge,sun lens | herb ledger | brass hinge,teach access rule,teach access rule,0.604,0.586,True,1.0,forward-only-safe,True
193,13,archive,memory-spool-loom,repair,signal spool | ink ribbon | memory tag,signal spool | ink ribbon | memory tag,thread spool,ink route,0.632,0.614,True,0.5,forward-only-safe,True
195,13,orchard,seed-shed-restock,repair,seed satchel | market token | dry cord,seed satchel | market token | dry cord,teach tally,teach tally,0.718,0.7,True,1.0,forward-only-safe,True
196,13,repair_ring,bell-circuit-stabilizer,repair,insulated tongs | copper wire | bell gauge,insulated tongs | copper wire | bell gauge,publish warning,publish warning,0.608,0.59,True,1.0,forward-only-safe,True
198,13,roofward,sun-lens-archive,craft,sun lens | herb ledger | brass hinge,sun lens | herb ledger | brass hinge,teach access rule,teach access rule,0.586,0.568,True,1.0,forward-only-safe,True
199,13,archive,memory-spool-loom,repair,signal spool | ink ribbon | memory tag,signal spool | ink ribbon | memory tag,ink route,test recall,0.614,0.596,True,0.75,forward-only-safe,True
200,13,signal,signal-path-beacon,craft,mast rope | oil lantern | signal lens,mast rope | oil lantern | signal lens,fill lantern,align lens,0.634,0.616,True,0.5,forward-only-safe,True
201,13,orchard,seed-shed-restock,repair,seed satchel | market token | dry cord,seed satchel | market token | dry cord,teach tally,teach tally,0.7,0.682,True,1.0,forward-only-safe,True
203,13,riverbend,bridge-lantern-rig,repair,cedar plank | ridge lantern | binding cord,cedar plank | ridge lantern | binding cord,log maintenance,log maintenance,0.574,0.556,True,1.0,forward-only-safe,True
204,13,roofward,sun-lens-archive,craft,sun lens | herb ledger | brass hinge,sun lens | herb ledger | brass hinge,teach access rule,polish lens,0.568,0.61,True,0.25,forward-only-safe,True
206,13,signal,signal-path-beacon,craft,mast rope | oil lantern | signal lens,mast rope | oil lantern | signal lens,align lens,send pulse,0.616,0.598,True,0.75,forward-only-safe,True
207,13,orchard,seed-shed-restock,repair,seed satchel | market token | dry cord,seed satchel | market token | dry cord,teach tally,teach tally,0.682,0.664,True,1.0,forward-only-safe,True
210,14,roofward,sun-lens-archive,craft,sun lens | herb ledger | brass hinge,sun lens | herb ledger | brass hinge,polish lens,set hinge,0.61,0.592,True,0.5,forward-only-safe,True
213,14,orchard,seed-shed-restock,repair,seed satchel | market token | dry cord,seed satchel | market token | dry cord,teach tally,teach tally,0.664,0.646,True,1.0,forward-only-safe,True
214,14,repair_ring,bell-circuit-stabilizer,repair,insulated tongs | copper wire | bell gauge,insulated tongs | copper wire | bell gauge,publish warning,publish warning,0.59,0.572,True,1.0,forward-only-safe,True
216,14,roofward,sun-lens-archive,craft,sun lens | herb ledger | brass hinge,sun lens | herb ledger | brass hinge,set hinge,open archive,0.592,0.574,True,0.75,forward-only-safe,True
217,14,archive,memory-spool-loom,repair,signal spool | ink ribbon | memory tag,signal spool | ink ribbon,test recall,test recall,0.596,0.592,False,0.75,waiting-safe,True
219,14,orchard,seed-shed-restock,repair,seed satchel | market token | dry cord,seed satchel | market token | dry cord,teach tally,teach tally,0.646,0.646,True,1.0,forward-only-safe,True
222,14,roofward,sun-lens-archive,craft,sun lens | herb ledger | brass hinge,sun lens | herb ledger | brass hinge,open archive,open archive,0.574,0.574,True,0.75,checkpoint-ready,True
225,15,orchard,seed-shed-restock,repair,seed satchel | market token | dry cord,seed satchel | market token | dry cord,teach tally,teach tally,0.646,0.628,True,1.0,forward-only-safe,True
226,15,repair_ring,bell-circuit-stabilizer,repair,insulated tongs | copper wire | bell gauge,insulated tongs | copper wire | bell gauge,publish warning,publish warning,0.572,0.554,True,1.0,forward-only-safe,True
228,15,roofward,sun-lens-archive,craft,sun lens | herb ledger | brass hinge,sun lens | herb ledger | brass hinge,open archive,teach access rule,0.574,0.556,True,1.0,forward-only-safe,True
229,15,archive,memory-spool-loom,repair,signal spool | ink ribbon | memory tag,signal spool | ink ribbon | memory tag,test recall,seal annotation,0.592,0.574,True,1.0,forward-only-safe,True
230,15,signal,signal-path-beacon,craft,mast rope | oil lantern | signal lens,mast rope | oil lantern | signal lens,send pulse,post watch note,0.598,0.58,True,1.0,forward-only-safe,True
231,15,orchard,seed-shed-restock,repair,seed satchel | market token | dry cord,seed satchel | market token | dry cord,teach tally,teach tally,0.628,0.61,True,1.0,forward-only-safe,True
233,15,riverbend,bridge-lantern-rig,repair,cedar plank | ridge lantern | binding cord,cedar plank | ridge lantern | binding cord,log maintenance,log maintenance,0.556,0.538,True,1.0,forward-only-safe,True
234,15,roofward,sun-lens-archive,craft,sun lens | herb ledger | brass hinge,sun lens | herb ledger | brass hinge,teach access rule,teach access rule,0.556,0.538,True,1.0,forward-only-safe,True
236,15,signal,signal-path-beacon,craft,mast rope | oil lantern | signal lens,mast rope | oil lantern | signal lens,post watch note,post watch note,0.58,0.562,True,1.0,forward-only-safe,True
237,15,orchard,seed-shed-restock,repair,seed satchel | market token | dry cord,seed satchel | market token | dry cord,teach tally,teach tally,0.61,0.592,True,1.0,forward-only-safe,True
239,15,riverbend,bridge-lantern-rig,repair,cedar plank | ridge lantern | binding cord,cedar plank | ridge lantern | binding cord,log maintenance,log maintenance,0.538,0.52,True,1.0,forward-only-safe,True
240,16,roofward,sun-lens-archive,craft,sun lens | herb ledger | brass hinge,sun lens | herb ledger | brass hinge,teach access rule,teach access rule,0.538,0.52,True,1.0,forward-only-safe,True
243,16,orchard,seed-shed-restock,repair,seed satchel | market token | dry cord,seed satchel | market token | dry cord,teach tally,teach tally,0.592,0.574,True,1.0,forward-only-safe,True
244,16,repair_ring,bell-circuit-stabilizer,repair,insulated tongs | copper wire | bell gauge,insulated tongs | copper wire | bell gauge,publish warning,publish warning,0.554,0.536,True,1.0,forward-only-safe,True
246,16,roofward,sun-lens-archive,craft,sun lens | herb ledger | brass hinge,sun lens | herb ledger | brass hinge,teach access rule,teach access rule,0.52,0.502,True,1.0,forward-only-safe,True
247,16,archive,memory-spool-loom,repair,signal spool | ink ribbon | memory tag,signal spool | ink ribbon | memory tag,seal annotation,seal annotation,0.574,0.556,True,1.0,forward-only-safe,True
249,16,orchard,seed-shed-restock,repair,seed satchel | market token | dry cord,seed satchel | market token | dry cord,teach tally,teach tally,0.574,0.574,True,1.0,forward-only-safe,True
252,16,roofward,sun-lens-archive,craft,sun lens | herb ledger | brass hinge,sun lens | herb ledger | brass hinge,teach access rule,teach access rule,0.502,0.502,True,1.0,forward-only-safe,True
254,16,signal,signal-path-beacon,craft,mast rope | oil lantern | signal lens,mast rope | oil lantern | signal lens,post watch note,post watch note,0.562,0.544,True,1.0,forward-only-safe,True
255,16,orchard,seed-shed-restock,repair,seed satchel | market token | dry cord,seed satchel | market token | dry cord,teach tally,dry cord,0.574,0.616,True,0.25,forward-only-safe,True
256,17,repair_ring,bell-circuit-stabilizer,repair,insulated tongs | copper wire | bell gauge,insulated tongs | copper wire | bell gauge,publish warning,publish warning,0.536,0.518,True,1.0,forward-only-safe,True
258,17,roofward,sun-lens-archive,craft,sun lens | herb ledger | brass hinge,sun lens | herb ledger | brass hinge,teach access rule,teach access rule,0.502,0.484,True,1.0,forward-only-safe,True
259,17,archive,memory-spool-loom,repair,signal spool | ink ribbon | memory tag,signal spool | ink ribbon | memory tag,seal annotation,seal annotation,0.556,0.538,True,1.0,checkpoint-ready,True
260,17,signal,signal-path-beacon,craft,mast rope | oil lantern | signal lens,mast rope | oil lantern | signal lens,post watch note,post watch note,0.544,0.526,True,1.0,forward-only-safe,True
261,17,orchard,seed-shed-restock,repair,seed satchel | market token | dry cord,seed satchel | market token | dry cord,dry cord,tag token,0.616,0.598,True,0.5,forward-only-safe,True
263,17,riverbend,bridge-lantern-rig,repair,cedar plank | ridge lantern | binding cord,cedar plank | ridge lantern | binding cord,log maintenance,log maintenance,0.52,0.502,True,1.0,forward-only-safe,True
264,17,roofward,sun-lens-archive,craft,sun lens | herb ledger | brass hinge,sun lens | herb ledger | brass hinge,teach access rule,teach access rule,0.484,0.466,True,1.0,forward-only-safe,True
266,17,signal,signal-path-beacon,craft,mast rope | oil lantern | signal lens,mast rope | oil lantern | signal lens,post watch note,post watch note,0.526,0.508,True,1.0,forward-only-safe,True
