epoch_index,lineage,language_branch,divergence_index,mutual_intelligibility,semantic_retention,ritual_continuity,boundary_clause_retention,lineage_story
4,Orchardline,orchardline-melo-04,0.289936,0.915027,0.968812,0.793822,0.864803,Orchardline diverges through water terraces while retaining lum meaning.
4,Rainline,rainline-vonn-04,0.321936,0.893587,0.977052,0.783822,0.921403,Rainline diverges through weather bells while retaining sova meaning.
5,Hearthline,hearthline-sova-05,0.170598,0.975549,1.0,0.855444,0.88507,Hearthline diverges through hearth ceramics while retaining lum meaning.
5,Routeline,routeline-keth-05,0.202598,0.945309,0.993532,0.834444,0.92087,Routeline diverges through stone bridge joints while retaining tek meaning.
5,Marketline,marketline-vonn-05,0.234598,0.935069,0.980772,0.838444,0.87017,Marketline diverges through measure weights while retaining melo meaning.
5,Ledgerline,ledgerline-sova-05,0.266598,0.915229,0.992012,0.830444,0.93067,Ledgerline diverges through seed ledgers while retaining nari meaning.
5,Orchardline,orchardline-tek-05,0.298598,0.911389,0.967252,0.842444,0.86437,Orchardline diverges through water terraces while retaining lum meaning.
5,Rainline,rainline-nari-05,0.330598,0.889949,0.975492,0.832444,0.92097,Rainline diverges through weather bells while retaining sova meaning.
6,Hearthline,hearthline-lum-06,0.185752,0.969184,0.998565,0.793677,0.884312,Hearthline diverges through hearth ceramics while retaining lum meaning.
6,Routeline,routeline-tek-06,0.217752,0.938944,0.990805,0.772677,0.920112,Routeline diverges through stone bridge joints while retaining tek meaning.
6,Marketline,marketline-melo-06,0.249752,0.928704,0.978045,0.776677,0.869412,Marketline diverges through measure weights while retaining melo meaning.
6,Ledgerline,ledgerline-nari-06,0.281752,0.908864,0.989285,0.768677,0.929912,Ledgerline diverges through seed ledgers while retaining nari meaning.
6,Orchardline,orchardline-lum-06,0.313752,0.905024,0.964525,0.780677,0.863612,Orchardline diverges through water terraces while retaining lum meaning.
6,Rainline,rainline-sova-06,0.345752,0.883584,0.972765,0.770677,0.920212,Rainline diverges through weather bells while retaining sova meaning.
7,Hearthline,hearthline-ori-07,0.186643,0.96881,0.998404,0.804731,0.884268,Hearthline diverges through hearth ceramics while retaining lum meaning.
7,Routeline,routeline-nari-07,0.218643,0.93857,0.990644,0.783731,0.920068,Routeline diverges through stone bridge joints while retaining tek meaning.
7,Marketline,marketline-keth-07,0.250643,0.92833,0.977884,0.787731,0.869368,Marketline diverges through measure weights while retaining melo meaning.
7,Ledgerline,ledgerline-vonn-07,0.282643,0.90849,0.989124,0.779731,0.929868,Ledgerline diverges through seed ledgers while retaining nari meaning.
7,Orchardline,orchardline-melo-07,0.314643,0.90465,0.964364,0.791731,0.863568,Orchardline diverges through water terraces while retaining lum meaning.
7,Rainline,rainline-vonn-07,0.346643,0.88321,0.972604,0.781731,0.920168,Rainline diverges through weather bells while retaining sova meaning.
8,Hearthline,hearthline-sova-08,0.201942,0.962385,0.995651,0.792734,0.883503,Hearthline diverges through hearth ceramics while retaining lum meaning.
8,Routeline,routeline-keth-08,0.233942,0.932145,0.987891,0.771734,0.919303,Routeline diverges through stone bridge joints while retaining tek meaning.
8,Marketline,marketline-vonn-08,0.265942,0.921905,0.975131,0.775734,0.868603,Marketline diverges through measure weights while retaining melo meaning.
8,Ledgerline,ledgerline-sova-08,0.297942,0.902065,0.986371,0.767734,0.929103,Ledgerline diverges through seed ledgers while retaining nari meaning.
8,Orchardline,orchardline-tek-08,0.329942,0.898225,0.961611,0.779734,0.862803,Orchardline diverges through water terraces while retaining lum meaning.
8,Rainline,rainline-nari-08,0.361942,0.876785,0.969851,0.769734,0.919403,Rainline diverges through weather bells while retaining sova meaning.
9,Hearthline,hearthline-lum-09,0.20348,0.961738,0.995374,0.802751,0.883426,Hearthline diverges through hearth ceramics while retaining lum meaning.
9,Routeline,routeline-tek-09,0.23548,0.931498,0.987614,0.781751,0.919226,Routeline diverges through stone bridge joints while retaining tek meaning.
9,Marketline,marketline-melo-09,0.26748,0.921258,0.974854,0.785751,0.868526,Marketline diverges through measure weights while retaining melo meaning.
9,Ledgerline,ledgerline-nari-09,0.29948,0.901418,0.986094,0.777751,0.929026,Ledgerline diverges through seed ledgers while retaining nari meaning.
9,Orchardline,orchardline-lum-09,0.33148,0.897578,0.961334,0.789751,0.862726,Orchardline diverges through water terraces while retaining lum meaning.
9,Rainline,rainline-sova-09,0.36348,0.876138,0.969574,0.779751,0.919326,Rainline diverges through weather bells while retaining sova meaning.
10,Hearthline,hearthline-ori-10,0.210686,0.958712,0.994077,0.803702,0.883066,Hearthline diverges through hearth ceramics while retaining lum meaning.
10,Routeline,routeline-nari-10,0.242686,0.928472,0.986317,0.782702,0.918866,Routeline diverges through stone bridge joints while retaining tek meaning.
10,Marketline,marketline-keth-10,0.274686,0.918232,0.973557,0.786702,0.868166,Marketline diverges through measure weights while retaining melo meaning.
10,Ledgerline,ledgerline-vonn-10,0.306686,0.898392,0.984797,0.778702,0.928666,Ledgerline diverges through seed ledgers while retaining nari meaning.
10,Orchardline,orchardline-melo-10,0.338686,0.894552,0.960037,0.790702,0.862366,Orchardline diverges through water terraces while retaining lum meaning.
10,Rainline,rainline-vonn-10,0.370686,0.873112,0.968277,0.780702,0.918966,Rainline diverges through weather bells while retaining sova meaning.
11,Hearthline,hearthline-sova-11,0.218949,0.955241,0.992589,0.852962,0.882653,Hearthline diverges through hearth ceramics while retaining lum meaning.
11,Routeline,routeline-keth-11,0.250949,0.925001,0.984829,0.831962,0.918453,Routeline diverges through stone bridge joints while retaining tek meaning.
11,Marketline,marketline-vonn-11,0.282949,0.914761,0.972069,0.835962,0.867753,Marketline diverges through measure weights while retaining melo meaning.
11,Ledgerline,ledgerline-sova-11,0.314949,0.894921,0.983309,0.827962,0.928253,Ledgerline diverges through seed ledgers while retaining nari meaning.
11,Orchardline,orchardline-tek-11,0.346949,0.891081,0.958549,0.839962,0.861953,Orchardline diverges through water terraces while retaining lum meaning.
11,Rainline,rainline-nari-11,0.378949,0.869641,0.966789,0.829962,0.918553,Rainline diverges through weather bells while retaining sova meaning.
12,Hearthline,hearthline-lum-12,0.233203,0.949255,0.990023,0.792636,0.88194,Hearthline diverges through hearth ceramics while retaining lum meaning.
12,Routeline,routeline-tek-12,0.265203,0.919015,0.982263,0.771636,0.91774,Routeline diverges through stone bridge joints while retaining tek meaning.
12,Marketline,marketline-melo-12,0.297203,0.908775,0.969503,0.775636,0.86704,Marketline diverges through measure weights while retaining melo meaning.
12,Ledgerline,ledgerline-nari-12,0.329203,0.888935,0.980743,0.767636,0.92754,Ledgerline diverges through seed ledgers while retaining nari meaning.
12,Orchardline,orchardline-lum-12,0.361203,0.885095,0.955983,0.779636,0.86124,Orchardline diverges through water terraces while retaining lum meaning.
12,Rainline,rainline-sova-12,0.393203,0.863655,0.964223,0.769636,0.91784,Rainline diverges through weather bells while retaining sova meaning.
13,Hearthline,hearthline-ori-13,0.234259,0.948811,0.989833,0.803426,0.881887,Hearthline diverges through hearth ceramics while retaining lum meaning.
13,Routeline,routeline-nari-13,0.266259,0.918571,0.982073,0.782426,0.917687,Routeline diverges through stone bridge joints while retaining tek meaning.
13,Marketline,marketline-keth-13,0.298259,0.908331,0.969313,0.786426,0.866987,Marketline diverges through measure weights while retaining melo meaning.
13,Ledgerline,ledgerline-vonn-13,0.330259,0.888491,0.980553,0.778426,0.927487,Ledgerline diverges through seed ledgers while retaining nari meaning.
13,Orchardline,orchardline-melo-13,0.362259,0.884651,0.955793,0.790426,0.861187,Orchardline diverges through water terraces while retaining lum meaning.
13,Rainline,rainline-vonn-13,0.394259,0.863211,0.964033,0.780426,0.917787,Rainline diverges through weather bells while retaining sova meaning.
14,Hearthline,hearthline-sova-14,0.248883,0.942669,0.987201,0.792507,0.881156,Hearthline diverges through hearth ceramics while retaining lum meaning.
14,Routeline,routeline-keth-14,0.280883,0.912429,0.979441,0.771507,0.916956,Routeline diverges through stone bridge joints while retaining tek meaning.
14,Marketline,marketline-vonn-14,0.312883,0.902189,0.966681,0.775507,0.866256,Marketline diverges through measure weights while retaining melo meaning.
14,Ledgerline,ledgerline-sova-14,0.344883,0.882349,0.977921,0.767507,0.926756,Ledgerline diverges through seed ledgers while retaining nari meaning.
14,Orchardline,orchardline-tek-14,0.376883,0.878509,0.953161,0.779507,0.860456,Orchardline diverges through water terraces while retaining lum meaning.
14,Rainline,rainline-nari-14,0.408883,0.857069,0.961401,0.769507,0.917056,Rainline diverges through weather bells while retaining sova meaning.
15,Hearthline,hearthline-lum-15,0.249519,0.942402,0.987087,0.803969,0.881124,Hearthline diverges through hearth ceramics while retaining lum meaning.
15,Routeline,routeline-tek-15,0.281519,0.912162,0.979327,0.782969,0.916924,Routeline diverges through stone bridge joints while retaining tek meaning.
15,Marketline,marketline-melo-15,0.313519,0.901922,0.966567,0.786969,0.866224,Marketline diverges through measure weights while retaining melo meaning.
15,Ledgerline,ledgerline-nari-15,0.345519,0.882082,0.977807,0.778969,0.926724,Ledgerline diverges through seed ledgers while retaining nari meaning.
15,Orchardline,orchardline-lum-15,0.377519,0.878242,0.953047,0.790969,0.860424,Orchardline diverges through water terraces while retaining lum meaning.
15,Rainline,rainline-sova-15,0.409519,0.856802,0.961287,0.780969,0.917024,Rainline diverges through weather bells while retaining sova meaning.
16,Hearthline,hearthline-ori-16,0.257266,0.939148,0.985692,0.804054,0.880737,Hearthline diverges through hearth ceramics while retaining lum meaning.
16,Routeline,routeline-nari-16,0.289266,0.908908,0.977932,0.783054,0.916537,Routeline diverges through stone bridge joints while retaining tek meaning.
16,Marketline,marketline-keth-16,0.321266,0.898668,0.965172,0.787054,0.865837,Marketline diverges through measure weights while retaining melo meaning.
16,Ledgerline,ledgerline-vonn-16,0.353266,0.878828,0.976412,0.779054,0.926337,Ledgerline diverges through seed ledgers while retaining nari meaning.
16,Orchardline,orchardline-melo-16,0.385266,0.874988,0.951652,0.791054,0.860037,Orchardline diverges through water terraces while retaining lum meaning.
16,Rainline,rainline-vonn-16,0.417266,0.853548,0.959892,0.781054,0.916637,Rainline diverges through weather bells while retaining sova meaning.
17,Hearthline,hearthline-sova-17,0.263729,0.936434,0.984529,0.856193,0.880414,Hearthline diverges through hearth ceramics while retaining lum meaning.
17,Routeline,routeline-keth-17,0.295729,0.906194,0.976769,0.835193,0.916214,Routeline diverges through stone bridge joints while retaining tek meaning.
17,Marketline,marketline-vonn-17,0.327729,0.895954,0.964009,0.839193,0.865514,Marketline diverges through measure weights while retaining melo meaning.
17,Ledgerline,ledgerline-sova-17,0.359729,0.876114,0.975249,0.831193,0.926014,Ledgerline diverges through seed ledgers while retaining nari meaning.
17,Orchardline,orchardline-tek-17,0.391729,0.872274,0.950489,0.843193,0.859714,Orchardline diverges through water terraces while retaining lum meaning.
17,Rainline,rainline-nari-17,0.423729,0.850834,0.958729,0.833193,0.916314,Rainline diverges through weather bells while retaining sova meaning.
18,Hearthline,hearthline-lum-18,0.278652,0.930166,0.981843,0.794796,0.879667,Hearthline diverges through hearth ceramics while retaining lum meaning.
18,Routeline,routeline-tek-18,0.310652,0.899926,0.974083,0.773796,0.915467,Routeline diverges through stone bridge joints while retaining tek meaning.
18,Marketline,marketline-melo-18,0.342652,0.889686,0.961323,0.777796,0.864767,Marketline diverges through measure weights while retaining melo meaning.
18,Ledgerline,ledgerline-nari-18,0.374652,0.869846,0.972563,0.769796,0.925267,Ledgerline diverges through seed ledgers while retaining nari meaning.
18,Orchardline,orchardline-lum-18,0.406652,0.866006,0.947803,0.781796,0.858967,Orchardline diverges through water terraces while retaining lum meaning.
18,Rainline,rainline-sova-18,0.438652,0.844566,0.956043,0.771796,0.915567,Rainline diverges through weather bells while retaining sova meaning.
19,Hearthline,hearthline-ori-19,0.279203,0.929935,0.981744,0.806396,0.87964,Hearthline diverges through hearth ceramics while retaining lum meaning.
19,Routeline,routeline-nari-19,0.311203,0.899695,0.973984,0.785396,0.91544,Routeline diverges through stone bridge joints while retaining tek meaning.
19,Marketline,marketline-keth-19,0.343203,0.889455,0.961224,0.789396,0.86474,Marketline diverges through measure weights while retaining melo meaning.
19,Ledgerline,ledgerline-vonn-19,0.375203,0.869615,0.972464,0.781396,0.92524,Ledgerline diverges through seed ledgers while retaining nari meaning.
19,Orchardline,orchardline-melo-19,0.407203,0.865775,0.947704,0.793396,0.85894,Orchardline diverges through water terraces while retaining lum meaning.
19,Rainline,rainline-vonn-19,0.439203,0.844335,0.955944,0.783396,0.91554,Rainline diverges through weather bells while retaining sova meaning.
20,Hearthline,hearthline-sova-20,0.293391,0.923976,0.97919,0.796174,0.87893,Hearthline diverges through hearth ceramics while retaining lum meaning.
20,Routeline,routeline-keth-20,0.325391,0.893736,0.97143,0.775174,0.91473,Routeline diverges through stone bridge joints while retaining tek meaning.
20,Marketline,marketline-vonn-20,0.357391,0.883496,0.95867,0.779174,0.86403,Marketline diverges through measure weights while retaining melo meaning.
20,Ledgerline,ledgerline-sova-20,0.389391,0.863656,0.96991,0.771174,0.92453,Ledgerline diverges through seed ledgers while retaining nari meaning.
20,Orchardline,orchardline-tek-20,0.421391,0.859816,0.94515,0.783174,0.85823,Orchardline diverges through water terraces while retaining lum meaning.
20,Rainline,rainline-nari-20,0.453391,0.838376,0.95339,0.773174,0.91483,Rainline diverges through weather bells while retaining sova meaning.
21,Hearthline,hearthline-lum-21,0.293712,0.923841,0.979132,0.808141,0.878914,Hearthline diverges through hearth ceramics while retaining lum meaning.
21,Routeline,routeline-tek-21,0.325712,0.893601,0.971372,0.787141,0.914714,Routeline diverges through stone bridge joints while retaining tek meaning.
21,Marketline,marketline-melo-21,0.357712,0.883361,0.958612,0.791141,0.864014,Marketline diverges through measure weights while retaining melo meaning.
21,Ledgerline,ledgerline-nari-21,0.389712,0.863521,0.969852,0.783141,0.924514,Ledgerline diverges through seed ledgers while retaining nari meaning.
21,Orchardline,orchardline-lum-21,0.421712,0.859681,0.945092,0.795141,0.858214,Orchardline diverges through water terraces while retaining lum meaning.
21,Rainline,rainline-sova-21,0.453712,0.838241,0.953332,0.785141,0.914814,Rainline diverges through weather bells while retaining sova meaning.
22,Hearthline,hearthline-ori-22,0.300266,0.921088,0.977952,0.810134,0.878587,Hearthline diverges through hearth ceramics while retaining lum meaning.
22,Routeline,routeline-nari-22,0.332266,0.890848,0.970192,0.789134,0.914387,Routeline diverges through stone bridge joints while retaining tek meaning.
22,Marketline,marketline-keth-22,0.364266,0.880608,0.957432,0.793134,0.863687,Marketline diverges through measure weights while retaining melo meaning.
22,Ledgerline,ledgerline-vonn-22,0.396266,0.860768,0.968672,0.785134,0.924187,Ledgerline diverges through seed ledgers while retaining nari meaning.
22,Orchardline,orchardline-melo-22,0.428266,0.856928,0.943912,0.797134,0.857887,Orchardline diverges through water terraces while retaining lum meaning.
22,Rainline,rainline-vonn-22,0.460266,0.835488,0.952152,0.787134,0.914487,Rainline diverges through weather bells while retaining sova meaning.
23,Hearthline,hearthline-sova-23,0.307766,0.917938,0.976602,0.860615,0.878212,Hearthline diverges through hearth ceramics while retaining lum meaning.
23,Routeline,routeline-keth-23,0.339766,0.887698,0.968842,0.839615,0.914012,Routeline diverges through stone bridge joints while retaining tek meaning.
23,Marketline,marketline-vonn-23,0.371766,0.877458,0.956082,0.843615,0.863312,Marketline diverges through measure weights while retaining melo meaning.
23,Ledgerline,ledgerline-sova-23,0.403766,0.857618,0.967322,0.835615,0.923812,Ledgerline diverges through seed ledgers while retaining nari meaning.
23,Orchardline,orchardline-tek-23,0.435766,0.853778,0.942562,0.847615,0.857512,Orchardline diverges through water terraces while retaining lum meaning.
23,Rainline,rainline-nari-23,0.467766,0.832338,0.950802,0.837615,0.914112,Rainline diverges through weather bells while retaining sova meaning.
24,Hearthline,hearthline-lum-24,0.321807,0.912041,0.974075,0.800628,0.87751,Hearthline diverges through hearth ceramics while retaining lum meaning.
24,Routeline,routeline-tek-24,0.353807,0.881801,0.966315,0.779628,0.91331,Routeline diverges through stone bridge joints while retaining tek meaning.
24,Marketline,marketline-melo-24,0.385807,0.871561,0.953555,0.783628,0.86261,Marketline diverges through measure weights while retaining melo meaning.
24,Ledgerline,ledgerline-nari-24,0.417807,0.851721,0.964795,0.775628,0.92311,Ledgerline diverges through seed ledgers while retaining nari meaning.
24,Orchardline,orchardline-lum-24,0.449807,0.847881,0.940035,0.787628,0.85681,Orchardline diverges through water terraces while retaining lum meaning.
24,Rainline,rainline-sova-24,0.481807,0.826441,0.948275,0.777628,0.91341,Rainline diverges through weather bells while retaining sova meaning.
25,Hearthline,hearthline-ori-25,0.322078,0.911927,0.974026,0.812676,0.877496,Hearthline diverges through hearth ceramics while retaining lum meaning.
25,Routeline,routeline-nari-25,0.354078,0.881687,0.966266,0.791676,0.913296,Routeline diverges through stone bridge joints while retaining tek meaning.
25,Marketline,marketline-keth-25,0.386078,0.871447,0.953506,0.795676,0.862596,Marketline diverges through measure weights while retaining melo meaning.
25,Ledgerline,ledgerline-vonn-25,0.418078,0.851607,0.964746,0.787676,0.923096,Ledgerline diverges through seed ledgers while retaining nari meaning.
25,Orchardline,orchardline-melo-25,0.450078,0.847767,0.939986,0.799676,0.856796,Orchardline diverges through water terraces while retaining lum meaning.
25,Rainline,rainline-vonn-25,0.482078,0.826327,0.948226,0.789676,0.913396,Rainline diverges through weather bells while retaining sova meaning.
26,Hearthline,hearthline-sova-26,0.336138,0.906022,0.971495,0.802659,0.876793,Hearthline diverges through hearth ceramics while retaining lum meaning.
26,Routeline,routeline-keth-26,0.368138,0.875782,0.963735,0.781659,0.912593,Routeline diverges through stone bridge joints while retaining tek meaning.
26,Marketline,marketline-vonn-26,0.400138,0.865542,0.950975,0.785659,0.861893,Marketline diverges through measure weights while retaining melo meaning.
26,Ledgerline,ledgerline-sova-26,0.432138,0.845702,0.962215,0.777659,0.922393,Ledgerline diverges through seed ledgers while retaining nari meaning.
26,Orchardline,orchardline-tek-26,0.464138,0.841862,0.937455,0.789659,0.856093,Orchardline diverges through water terraces while retaining lum meaning.
26,Rainline,rainline-nari-26,0.496138,0.820422,0.945695,0.779659,0.912693,Rainline diverges through weather bells while retaining sova meaning.
27,Hearthline,hearthline-lum-27,0.336736,0.905771,0.971388,0.814183,0.876763,Hearthline diverges through hearth ceramics while retaining lum meaning.
27,Routeline,routeline-tek-27,0.368736,0.875531,0.963628,0.793183,0.912563,Routeline diverges through stone bridge joints while retaining tek meaning.
27,Marketline,marketline-melo-27,0.400736,0.865291,0.950868,0.797183,0.861863,Marketline diverges through measure weights while retaining melo meaning.
27,Ledgerline,ledgerline-nari-27,0.432735,0.845451,0.962108,0.789183,0.922363,Ledgerline diverges through seed ledgers while retaining nari meaning.
27,Orchardline,orchardline-lum-27,0.464736,0.841611,0.937348,0.801183,0.856063,Orchardline diverges through water terraces while retaining lum meaning.
27,Rainline,rainline-sova-27,0.496736,0.820171,0.945588,0.791183,0.912663,Rainline diverges through weather bells while retaining sova meaning.
28,Hearthline,hearthline-ori-28,0.344348,0.902574,0.970017,0.814484,0.876383,Hearthline diverges through hearth ceramics while retaining lum meaning.
28,Routeline,routeline-nari-28,0.376348,0.872334,0.962257,0.793484,0.912183,Routeline diverges through stone bridge joints while retaining tek meaning.
28,Marketline,marketline-keth-28,0.408348,0.862094,0.949497,0.797484,0.861483,Marketline diverges through measure weights while retaining melo meaning.
28,Ledgerline,ledgerline-vonn-28,0.440348,0.842254,0.960737,0.789484,0.921983,Ledgerline diverges through seed ledgers while retaining nari meaning.
28,Orchardline,orchardline-melo-28,0.472348,0.838414,0.935977,0.801484,0.855683,Orchardline diverges through water terraces while retaining lum meaning.
28,Rainline,rainline-vonn-28,0.504348,0.816974,0.944217,0.791484,0.912283,Rainline diverges through weather bells while retaining sova meaning.
29,Hearthline,hearthline-sova-29,0.351595,0.89953,0.968713,0.865368,0.87602,Hearthline diverges through hearth ceramics while retaining lum meaning.
29,Routeline,routeline-keth-29,0.383595,0.86929,0.960953,0.844368,0.91182,Routeline diverges through stone bridge joints while retaining tek meaning.
29,Marketline,marketline-vonn-29,0.415595,0.85905,0.948193,0.848368,0.86112,Marketline diverges through measure weights while retaining melo meaning.
29,Ledgerline,ledgerline-sova-29,0.447595,0.83921,0.959433,0.840368,0.92162,Ledgerline diverges through seed ledgers while retaining nari meaning.
29,Orchardline,orchardline-tek-29,0.479595,0.83537,0.934673,0.852368,0.85532,Orchardline diverges through water terraces while retaining lum meaning.
29,Rainline,rainline-nari-29,0.511595,0.81393,0.942913,0.842368,0.91192,Rainline diverges through weather bells while retaining sova meaning.
30,Hearthline,hearthline-lum-30,0.366035,0.893465,0.966114,0.804744,0.875298,Hearthline diverges through hearth ceramics while retaining lum meaning.
30,Routeline,routeline-tek-30,0.398035,0.863225,0.958354,0.783744,0.911098,Routeline diverges through stone bridge joints while retaining tek meaning.
30,Marketline,marketline-melo-30,0.430035,0.852985,0.945594,0.787744,0.860398,Marketline diverges through measure weights while retaining melo meaning.
30,Ledgerline,ledgerline-nari-30,0.462035,0.833145,0.956834,0.779744,0.920898,Ledgerline diverges through seed ledgers while retaining nari meaning.
30,Orchardline,orchardline-lum-30,0.494035,0.829305,0.932074,0.791744,0.854598,Orchardline diverges through water terraces while retaining lum meaning.
30,Rainline,rainline-sova-30,0.526035,0.807865,0.940314,0.781744,0.911198,Rainline diverges through weather bells while retaining sova meaning.
31,Hearthline,hearthline-ori-31,0.36717,0.892989,0.965909,0.815408,0.875241,Hearthline diverges through hearth ceramics while retaining lum meaning.
31,Routeline,routeline-nari-31,0.39917,0.862749,0.958149,0.794408,0.911041,Routeline diverges through stone bridge joints while retaining tek meaning.
31,Marketline,marketline-keth-31,0.43117,0.852509,0.945389,0.798408,0.860341,Marketline diverges through measure weights while retaining melo meaning.
31,Ledgerline,ledgerline-vonn-31,0.46317,0.832669,0.956629,0.790408,0.920841,Ledgerline diverges through seed ledgers while retaining nari meaning.
31,Orchardline,orchardline-melo-31,0.49517,0.828829,0.931869,0.802408,0.854541,Orchardline diverges through water terraces while retaining lum meaning.
31,Rainline,rainline-vonn-31,0.52717,0.807389,0.940109,0.792408,0.911141,Rainline diverges through weather bells while retaining sova meaning.
32,Hearthline,hearthline-sova-32,0.381955,0.886779,0.963248,0.804233,0.874502,Hearthline diverges through hearth ceramics while retaining lum meaning.
32,Routeline,routeline-keth-32,0.413955,0.856539,0.955488,0.783233,0.910302,Routeline diverges through stone bridge joints while retaining tek meaning.
32,Marketline,marketline-vonn-32,0.445955,0.846299,0.942728,0.787233,0.859602,Marketline diverges through measure weights while retaining melo meaning.
32,Ledgerline,ledgerline-sova-32,0.477955,0.826459,0.953968,0.779233,0.920102,Ledgerline diverges through seed ledgers while retaining nari meaning.
32,Orchardline,orchardline-tek-32,0.509955,0.822619,0.929208,0.791233,0.853802,Orchardline diverges through water terraces while retaining lum meaning.
32,Rainline,rainline-nari-32,0.541955,0.801179,0.937448,0.781233,0.910402,Rainline diverges through weather bells while retaining sova meaning.
33,Hearthline,hearthline-lum-33,0.382824,0.886414,0.963092,0.815321,0.874459,Hearthline diverges through hearth ceramics while retaining lum meaning.
33,Routeline,routeline-tek-33,0.414824,0.856174,0.955332,0.794321,0.910259,Routeline diverges through stone bridge joints while retaining tek meaning.
33,Marketline,marketline-melo-33,0.446824,0.845934,0.942572,0.798321,0.859559,Marketline diverges through measure weights while retaining melo meaning.
33,Ledgerline,ledgerline-nari-33,0.478824,0.826094,0.953812,0.790321,0.920059,Ledgerline diverges through seed ledgers while retaining nari meaning.
33,Orchardline,orchardline-lum-33,0.510824,0.822254,0.929052,0.802321,0.853759,Orchardline diverges through water terraces while retaining lum meaning.
33,Rainline,rainline-sova-33,0.542824,0.800814,0.937292,0.792321,0.910359,Rainline diverges through weather bells while retaining sova meaning.
34,Hearthline,hearthline-ori-34,0.390291,0.883278,0.961748,0.815854,0.874085,Hearthline diverges through hearth ceramics while retaining lum meaning.
34,Routeline,routeline-nari-34,0.422291,0.853038,0.953988,0.794854,0.909885,Routeline diverges through stone bridge joints while retaining tek meaning.
34,Marketline,marketline-keth-34,0.454291,0.842798,0.941228,0.798854,0.859185,Marketline diverges through measure weights while retaining melo meaning.
34,Ledgerline,ledgerline-vonn-34,0.486291,0.822958,0.952468,0.790854,0.919685,Ledgerline diverges through seed ledgers while retaining nari meaning.
34,Orchardline,orchardline-melo-34,0.518291,0.819118,0.927708,0.802854,0.853385,Orchardline diverges through water terraces while retaining lum meaning.
34,Rainline,rainline-vonn-34,0.550291,0.797678,0.935948,0.792854,0.909985,Rainline diverges through weather bells while retaining sova meaning.
35,Hearthline,hearthline-sova-35,0.398234,0.879942,0.960318,0.865626,0.873688,Hearthline diverges through hearth ceramics while retaining lum meaning.
