tick_id,day,session_id,settlement_id,resident_id,project_id,material_item,inventory_before,inventory_after,output_item,output_before,output_after,delta_label,ui_delta_visible,task_step_executed,material_consumed,no_magic_inventory
0,1,session-001,moss_ward,Milo,4f19e26857,dry clay,760,758,copy root ledger progress marker,0,1,-2 dry clay; +1 marker,True,True,True,True
20,2,session-001,glass_harbor,Oren,d2b7153668,lamp oil,759,758,seal fog catcher progress marker,1,2,-1 lamp oil; +1 marker,True,True,True,True
21,2,session-001,cinder_garden,Vale,b4da23a954,ember basket,759,758,repair seed calendar progress marker,1,2,-1 ember basket; +1 marker,True,True,True,True
22,2,session-001,lichen_bridge,Sol,85cb036eb5,meal token,759,758,test rope bridge progress marker,0,1,-1 meal token; +1 marker,True,True,True,True
23,2,session-001,orchid_engine,Bea,3935fa5efe,steam seal,759,758,clean gear wash progress marker,0,1,-1 steam seal; +1 marker,True,True,True,True
24,2,session-001,moss_ward,Fay,6a7b5adb25,reed bundle,758,757,copy root ledger progress marker,1,2,-1 reed bundle; +1 marker,True,True,True,True
25,2,session-001,glass_harbor,Puck,c10ea1470a,glass bead,759,757,mark crossing rope progress marker,2,4,-2 glass bead; +2 marker,True,True,True,True
26,2,session-001,cinder_garden,Wren,81aa359945,cool stone,758,757,shade seed rows progress marker,1,2,-1 cool stone; +1 marker,True,True,True,True
27,2,session-001,lichen_bridge,Kio,ebef679159,lichen glue,760,759,weave spare rope progress marker,1,2,-1 lichen glue; +1 marker,True,True,True,True
28,2,session-001,orchid_engine,Cai,2fe151eb17,valve grease,760,759,tend orchid lamp progress marker,1,2,-1 valve grease; +1 marker,True,True,True,True
29,2,session-001,moss_ward,Milo,b03af16c10,dry clay,758,757,raise warm-cup shelf progress marker,1,2,-1 dry clay; +1 marker,True,True,True,True
30,2,session-001,glass_harbor,Sera,768a4d2ad8,net fiber,758,757,relight public lamp progress marker,1,2,-1 net fiber; +1 marker,True,True,True,True
31,2,session-001,cinder_garden,Juno,2b1e35e8a1,seed ink,759,758,sort ember fruit progress marker,1,2,-1 seed ink; +1 marker,True,True,True,True
32,2,session-001,lichen_bridge,Luma,450c18baea,rope fiber,759,757,mark signal bell progress marker,2,4,-2 rope fiber; +2 marker,True,True,True,True
33,2,session-001,orchid_engine,Dax,363676d602,gear cloth,759,758,stabilize steam kettle progress marker,1,2,-1 gear cloth; +1 marker,True,True,True,True
34,2,session-001,moss_ward,Tala,572744cec7,moss cord,759,757,drain rain path progress marker,1,2,-2 moss cord; +1 marker,True,True,True,True
35,2,session-001,glass_harbor,Nia,2c46e6f05e,salt chalk,759,758,mend fog net progress marker,1,2,-1 salt chalk; +1 marker,True,True,True,True
36,3,session-001,lichen_bridge,Kio,096f63fbc9,lichen glue,759,758,mark signal bell progress marker,4,5,-1 lichen glue; +1 marker,True,True,True,True
37,3,session-001,orchid_engine,Cai,7b17b6bca2,valve grease,759,758,stabilize steam kettle progress marker,2,3,-1 valve grease; +1 marker,True,True,True,True
38,3,session-001,moss_ward,Milo,42164b006a,dry clay,757,756,drain rain path progress marker,2,3,-1 dry clay; +1 marker,True,True,True,True
39,3,session-001,glass_harbor,Sera,b557cb5ab1,net fiber,757,756,mend fog net progress marker,2,3,-1 net fiber; +1 marker,True,True,True,True
40,3,session-001,cinder_garden,Juno,f754fc777c,seed ink,758,757,cool ash path progress marker,1,2,-1 seed ink; +1 marker,True,True,True,True
41,3,session-001,lichen_bridge,Luma,7017cc792d,rope fiber,757,756,repair meal ledger progress marker,1,2,-1 rope fiber; +1 marker,True,True,True,True
42,3,session-001,orchid_engine,Dax,947f5c8b39,gear cloth,758,756,listen to valve pulse progress marker,3,5,-2 gear cloth; +2 marker,True,True,True,True
43,3,session-001,moss_ward,Tala,f91d6085d8,moss cord,757,756,patch blanket loom progress marker,3,4,-1 moss cord; +1 marker,True,True,True,True
44,3,session-001,glass_harbor,Nia,7d03d3d3f1,salt chalk,758,757,seal fog catcher progress marker,2,3,-1 salt chalk; +1 marker,True,True,True,True
45,3,session-001,cinder_garden,Pax,2ac4db2919,shade reed,759,758,repair seed calendar progress marker,2,3,-1 shade reed; +1 marker,True,True,True,True
46,3,session-001,lichen_bridge,Rin,b522b59c7e,bell tin,758,757,test rope bridge progress marker,1,2,-1 bell tin; +1 marker,True,True,True,True
47,3,session-001,orchid_engine,Eli,e4ebf8a5c3,orchid oil,757,756,clean gear wash progress marker,1,2,-1 orchid oil; +1 marker,True,True,True,True
48,3,session-001,moss_ward,Ari,acb2c21249,charcoal mark,758,757,copy root ledger progress marker,2,3,-1 charcoal mark; +1 marker,True,True,True,True
49,3,session-001,glass_harbor,Oren,65ab173ea1,lamp oil,758,756,mark crossing rope progress marker,4,6,-2 lamp oil; +2 marker,True,True,True,True
50,3,session-001,cinder_garden,Vale,7525471538,ember basket,758,757,shade seed rows progress marker,2,3,-1 ember basket; +1 marker,True,True,True,True
51,3,session-001,lichen_bridge,Sol,032f2286f3,meal token,758,756,weave spare rope progress marker,2,3,-2 meal token; +1 marker,True,True,True,True
52,3,session-001,orchid_engine,Bea,a0d3597080,steam seal,758,757,tend orchid lamp progress marker,2,3,-1 steam seal; +1 marker,True,True,True,True
53,3,session-001,moss_ward,Fay,72cfe9f03b,reed bundle,757,756,raise warm-cup shelf progress marker,2,3,-1 reed bundle; +1 marker,True,True,True,True
54,4,session-001,cinder_garden,Pax,cfb8cd3fed,shade reed,758,757,shade seed rows progress marker,3,4,-1 shade reed; +1 marker,True,True,True,True
55,4,session-001,lichen_bridge,Rin,d21d02a5bc,bell tin,757,756,weave spare rope progress marker,3,4,-1 bell tin; +1 marker,True,True,True,True
56,4,session-001,orchid_engine,Eli,3f711d3e3b,orchid oil,756,755,tend orchid lamp progress marker,3,4,-1 orchid oil; +1 marker,True,True,True,True
57,4,session-001,moss_ward,Ari,808faa30ed,charcoal mark,757,756,raise warm-cup shelf progress marker,3,4,-1 charcoal mark; +1 marker,True,True,True,True
58,4,session-001,glass_harbor,Oren,f949aa8fd3,lamp oil,756,755,relight public lamp progress marker,2,3,-1 lamp oil; +1 marker,True,True,True,True
59,4,session-001,cinder_garden,Vale,6b0dbec2ed,ember basket,757,755,sort ember fruit progress marker,2,4,-2 ember basket; +2 marker,True,True,True,True
60,4,session-001,lichen_bridge,Sol,910495b9ec,meal token,756,755,mark signal bell progress marker,5,6,-1 meal token; +1 marker,True,True,True,True
61,4,session-001,orchid_engine,Bea,d5a5690d8e,steam seal,757,756,stabilize steam kettle progress marker,3,4,-1 steam seal; +1 marker,True,True,True,True
62,4,session-001,moss_ward,Fay,9c82c8d116,reed bundle,756,755,drain rain path progress marker,3,4,-1 reed bundle; +1 marker,True,True,True,True
63,4,session-001,glass_harbor,Puck,4a73f95e3d,glass bead,757,756,mend fog net progress marker,3,4,-1 glass bead; +1 marker,True,True,True,True
64,4,session-001,cinder_garden,Wren,9ee5bba78b,cool stone,757,756,cool ash path progress marker,2,3,-1 cool stone; +1 marker,True,True,True,True
65,4,session-001,lichen_bridge,Kio,1356a31e8d,lichen glue,758,757,repair meal ledger progress marker,2,3,-1 lichen glue; +1 marker,True,True,True,True
66,4,session-001,orchid_engine,Cai,aa06bc447d,valve grease,758,756,listen to valve pulse progress marker,5,7,-2 valve grease; +2 marker,True,True,True,True
67,4,session-001,moss_ward,Milo,214b5191fa,dry clay,756,755,patch blanket loom progress marker,4,5,-1 dry clay; +1 marker,True,True,True,True
68,4,session-001,glass_harbor,Sera,35df557118,net fiber,756,754,seal fog catcher progress marker,3,4,-2 net fiber; +1 marker,True,True,True,True
69,4,session-001,cinder_garden,Juno,a3cdbd8180,seed ink,757,756,repair seed calendar progress marker,3,4,-1 seed ink; +1 marker,True,True,True,True
70,4,session-001,lichen_bridge,Luma,a72c4caf94,rope fiber,756,755,test rope bridge progress marker,2,3,-1 rope fiber; +1 marker,True,True,True,True
71,4,session-001,orchid_engine,Dax,e5be4a3317,gear cloth,756,755,clean gear wash progress marker,2,3,-1 gear cloth; +1 marker,True,True,True,True
72,5,session-001,glass_harbor,Puck,19e61c2da4,glass bead,756,755,seal fog catcher progress marker,4,5,-1 glass bead; +1 marker,True,True,True,True
73,5,session-001,cinder_garden,Wren,b1df32837e,cool stone,756,755,repair seed calendar progress marker,4,5,-1 cool stone; +1 marker,True,True,True,True
74,5,session-001,lichen_bridge,Kio,0c14394478,lichen glue,757,756,test rope bridge progress marker,3,4,-1 lichen glue; +1 marker,True,True,True,True
75,5,session-001,orchid_engine,Cai,80ecb7dbcd,valve grease,756,755,clean gear wash progress marker,3,4,-1 valve grease; +1 marker,True,True,True,True
76,5,session-001,moss_ward,Milo,4f19e26857,dry clay,755,753,copy root ledger progress marker,3,5,-2 dry clay; +2 marker,True,True,True,True
77,5,session-001,glass_harbor,Sera,ee1d01c438,net fiber,754,753,mark crossing rope progress marker,6,7,-1 net fiber; +1 marker,True,True,True,True
78,5,session-001,cinder_garden,Juno,9c5554028b,seed ink,756,755,shade seed rows progress marker,4,5,-1 seed ink; +1 marker,True,True,True,True
79,5,session-001,lichen_bridge,Luma,5fbf6bf7bd,rope fiber,755,754,weave spare rope progress marker,4,5,-1 rope fiber; +1 marker,True,True,True,True
80,5,session-001,orchid_engine,Dax,8d36ca6708,gear cloth,755,754,tend orchid lamp progress marker,4,5,-1 gear cloth; +1 marker,True,True,True,True
81,5,session-001,moss_ward,Tala,690cd7241e,moss cord,756,755,raise warm-cup shelf progress marker,4,5,-1 moss cord; +1 marker,True,True,True,True
82,5,session-001,glass_harbor,Nia,24a6670b6c,salt chalk,757,756,relight public lamp progress marker,3,4,-1 salt chalk; +1 marker,True,True,True,True
83,5,session-001,cinder_garden,Pax,9dfff354ca,shade reed,757,755,sort ember fruit progress marker,4,6,-2 shade reed; +2 marker,True,True,True,True
84,5,session-001,lichen_bridge,Rin,48fc2b7680,bell tin,756,755,mark signal bell progress marker,6,7,-1 bell tin; +1 marker,True,True,True,True
85,5,session-001,orchid_engine,Eli,86759406ca,orchid oil,755,753,stabilize steam kettle progress marker,4,5,-2 orchid oil; +1 marker,True,True,True,True
86,5,session-001,moss_ward,Ari,da0f22a6f5,charcoal mark,756,755,drain rain path progress marker,4,5,-1 charcoal mark; +1 marker,True,True,True,True
87,5,session-001,glass_harbor,Oren,9f03b2f23d,lamp oil,755,754,mend fog net progress marker,4,5,-1 lamp oil; +1 marker,True,True,True,True
88,5,session-001,cinder_garden,Vale,58b08d67ce,ember basket,755,754,cool ash path progress marker,3,4,-1 ember basket; +1 marker,True,True,True,True
89,5,session-001,lichen_bridge,Sol,6a6945c048,meal token,755,754,repair meal ledger progress marker,3,4,-1 meal token; +1 marker,True,True,True,True
90,6,session-001,moss_ward,Tala,572744cec7,moss cord,755,754,drain rain path progress marker,5,6,-1 moss cord; +1 marker,True,True,True,True
91,6,session-001,glass_harbor,Nia,2c46e6f05e,salt chalk,756,755,mend fog net progress marker,5,6,-1 salt chalk; +1 marker,True,True,True,True
92,6,session-001,cinder_garden,Pax,1e5830ef22,shade reed,755,754,cool ash path progress marker,4,5,-1 shade reed; +1 marker,True,True,True,True
93,6,session-001,lichen_bridge,Rin,9611f49c07,bell tin,755,753,repair meal ledger progress marker,4,6,-2 bell tin; +2 marker,True,True,True,True
94,6,session-001,orchid_engine,Eli,a3b8dc6d55,orchid oil,753,752,listen to valve pulse progress marker,7,8,-1 orchid oil; +1 marker,True,True,True,True
95,6,session-001,moss_ward,Ari,2378d81ec8,charcoal mark,755,754,patch blanket loom progress marker,5,6,-1 charcoal mark; +1 marker,True,True,True,True
96,6,session-001,glass_harbor,Oren,d2b7153668,lamp oil,754,753,seal fog catcher progress marker,5,6,-1 lamp oil; +1 marker,True,True,True,True
97,6,session-001,cinder_garden,Vale,b4da23a954,ember basket,754,753,repair seed calendar progress marker,5,6,-1 ember basket; +1 marker,True,True,True,True
98,6,session-001,lichen_bridge,Sol,85cb036eb5,meal token,754,753,test rope bridge progress marker,4,5,-1 meal token; +1 marker,True,True,True,True
99,6,session-001,orchid_engine,Bea,3935fa5efe,steam seal,756,755,clean gear wash progress marker,4,5,-1 steam seal; +1 marker,True,True,True,True
100,6,session-001,moss_ward,Fay,6a7b5adb25,reed bundle,755,753,copy root ledger progress marker,5,7,-2 reed bundle; +2 marker,True,True,True,True
101,6,session-001,glass_harbor,Puck,c10ea1470a,glass bead,755,754,mark crossing rope progress marker,7,8,-1 glass bead; +1 marker,True,True,True,True
102,6,session-001,cinder_garden,Wren,81aa359945,cool stone,755,753,shade seed rows progress marker,5,6,-2 cool stone; +1 marker,True,True,True,True
103,6,session-001,lichen_bridge,Kio,ebef679159,lichen glue,756,755,weave spare rope progress marker,5,6,-1 lichen glue; +1 marker,True,True,True,True
104,6,session-001,orchid_engine,Cai,2fe151eb17,valve grease,755,754,tend orchid lamp progress marker,5,6,-1 valve grease; +1 marker,True,True,True,True
105,6,session-001,moss_ward,Milo,b03af16c10,dry clay,753,752,raise warm-cup shelf progress marker,5,6,-1 dry clay; +1 marker,True,True,True,True
106,6,session-001,glass_harbor,Sera,768a4d2ad8,net fiber,753,752,relight public lamp progress marker,4,5,-1 net fiber; +1 marker,True,True,True,True
107,6,session-001,cinder_garden,Juno,2b1e35e8a1,seed ink,755,753,sort ember fruit progress marker,6,8,-2 seed ink; +2 marker,True,True,True,True
108,7,session-002,orchid_engine,Bea,a0d3597080,steam seal,755,754,tend orchid lamp progress marker,6,7,-1 steam seal; +1 marker,True,True,True,True
109,7,session-002,moss_ward,Fay,72cfe9f03b,reed bundle,753,752,raise warm-cup shelf progress marker,6,7,-1 reed bundle; +1 marker,True,True,True,True
110,7,session-002,glass_harbor,Puck,d99abac1ce,glass bead,754,752,relight public lamp progress marker,5,7,-2 glass bead; +2 marker,True,True,True,True
111,7,session-002,cinder_garden,Wren,efccb1106a,cool stone,753,752,sort ember fruit progress marker,8,9,-1 cool stone; +1 marker,True,True,True,True
112,7,session-002,lichen_bridge,Kio,096f63fbc9,lichen glue,755,754,mark signal bell progress marker,7,8,-1 lichen glue; +1 marker,True,True,True,True
113,7,session-002,orchid_engine,Cai,7b17b6bca2,valve grease,754,753,stabilize steam kettle progress marker,5,6,-1 valve grease; +1 marker,True,True,True,True
114,7,session-002,moss_ward,Milo,42164b006a,dry clay,752,751,drain rain path progress marker,6,7,-1 dry clay; +1 marker,True,True,True,True
115,7,session-002,glass_harbor,Sera,b557cb5ab1,net fiber,752,751,mend fog net progress marker,6,7,-1 net fiber; +1 marker,True,True,True,True
116,7,session-002,cinder_garden,Juno,f754fc777c,seed ink,753,752,cool ash path progress marker,5,6,-1 seed ink; +1 marker,True,True,True,True
117,7,session-002,lichen_bridge,Luma,7017cc792d,rope fiber,754,752,repair meal ledger progress marker,6,8,-2 rope fiber; +2 marker,True,True,True,True
118,7,session-002,orchid_engine,Dax,947f5c8b39,gear cloth,754,753,listen to valve pulse progress marker,8,9,-1 gear cloth; +1 marker,True,True,True,True
119,7,session-002,moss_ward,Tala,f91d6085d8,moss cord,754,752,patch blanket loom progress marker,6,7,-2 moss cord; +1 marker,True,True,True,True
120,7,session-002,glass_harbor,Nia,7d03d3d3f1,salt chalk,755,754,seal fog catcher progress marker,6,7,-1 salt chalk; +1 marker,True,True,True,True
121,7,session-002,cinder_garden,Pax,2ac4db2919,shade reed,754,753,repair seed calendar progress marker,6,7,-1 shade reed; +1 marker,True,True,True,True
122,7,session-002,lichen_bridge,Rin,b522b59c7e,bell tin,753,752,test rope bridge progress marker,5,6,-1 bell tin; +1 marker,True,True,True,True
123,7,session-002,orchid_engine,Eli,e4ebf8a5c3,orchid oil,752,751,clean gear wash progress marker,5,6,-1 orchid oil; +1 marker,True,True,True,True
124,7,session-002,moss_ward,Ari,acb2c21249,charcoal mark,754,752,copy root ledger progress marker,7,9,-2 charcoal mark; +2 marker,True,True,True,True
125,7,session-002,glass_harbor,Oren,65ab173ea1,lamp oil,753,752,mark crossing rope progress marker,8,9,-1 lamp oil; +1 marker,True,True,True,True
126,8,session-002,lichen_bridge,Luma,a72c4caf94,rope fiber,752,751,test rope bridge progress marker,6,7,-1 rope fiber; +1 marker,True,True,True,True
127,8,session-002,orchid_engine,Dax,e5be4a3317,gear cloth,753,751,clean gear wash progress marker,6,8,-2 gear cloth; +2 marker,True,True,True,True
128,8,session-002,moss_ward,Tala,ab7eb655b8,moss cord,752,751,copy root ledger progress marker,9,10,-1 moss cord; +1 marker,True,True,True,True
129,8,session-002,glass_harbor,Nia,35100ce116,salt chalk,754,753,mark crossing rope progress marker,9,10,-1 salt chalk; +1 marker,True,True,True,True
130,8,session-002,cinder_garden,Pax,cfb8cd3fed,shade reed,753,752,shade seed rows progress marker,6,7,-1 shade reed; +1 marker,True,True,True,True
131,8,session-002,lichen_bridge,Rin,d21d02a5bc,bell tin,752,751,weave spare rope progress marker,6,7,-1 bell tin; +1 marker,True,True,True,True
132,8,session-002,orchid_engine,Eli,3f711d3e3b,orchid oil,751,750,tend orchid lamp progress marker,7,8,-1 orchid oil; +1 marker,True,True,True,True
133,8,session-002,moss_ward,Ari,808faa30ed,charcoal mark,752,751,raise warm-cup shelf progress marker,7,8,-1 charcoal mark; +1 marker,True,True,True,True
134,8,session-002,glass_harbor,Oren,f949aa8fd3,lamp oil,752,750,relight public lamp progress marker,7,9,-2 lamp oil; +2 marker,True,True,True,True
135,8,session-002,cinder_garden,Vale,6b0dbec2ed,ember basket,753,752,sort ember fruit progress marker,9,10,-1 ember basket; +1 marker,True,True,True,True
136,8,session-002,lichen_bridge,Sol,910495b9ec,meal token,753,751,mark signal bell progress marker,8,9,-2 meal token; +1 marker,True,True,True,True
137,8,session-002,orchid_engine,Bea,d5a5690d8e,steam seal,754,753,stabilize steam kettle progress marker,6,7,-1 steam seal; +1 marker,True,True,True,True
138,8,session-002,moss_ward,Fay,9c82c8d116,reed bundle,752,751,drain rain path progress marker,7,8,-1 reed bundle; +1 marker,True,True,True,True
139,8,session-002,glass_harbor,Puck,4a73f95e3d,glass bead,752,751,mend fog net progress marker,7,8,-1 glass bead; +1 marker,True,True,True,True
140,8,session-002,cinder_garden,Wren,9ee5bba78b,cool stone,752,751,cool ash path progress marker,6,7,-1 cool stone; +1 marker,True,True,True,True
141,8,session-002,lichen_bridge,Kio,1356a31e8d,lichen glue,754,752,repair meal ledger progress marker,8,10,-2 lichen glue; +2 marker,True,True,True,True
142,8,session-002,orchid_engine,Cai,aa06bc447d,valve grease,753,752,listen to valve pulse progress marker,9,10,-1 valve grease; +1 marker,True,True,True,True
143,8,session-002,moss_ward,Milo,214b5191fa,dry clay,751,750,patch blanket loom progress marker,7,8,-1 dry clay; +1 marker,True,True,True,True
144,9,session-002,cinder_garden,Vale,58b08d67ce,ember basket,752,750,cool ash path progress marker,7,9,-2 ember basket; +2 marker,True,True,True,True
145,9,session-002,lichen_bridge,Sol,6a6945c048,meal token,751,750,repair meal ledger progress marker,10,11,-1 meal token; +1 marker,True,True,True,True
146,9,session-002,orchid_engine,Bea,1a39418cc8,steam seal,753,752,listen to valve pulse progress marker,10,11,-1 steam seal; +1 marker,True,True,True,True
147,9,session-002,moss_ward,Fay,cbe617b6af,reed bundle,751,750,patch blanket loom progress marker,8,9,-1 reed bundle; +1 marker,True,True,True,True
148,9,session-002,glass_harbor,Puck,19e61c2da4,glass bead,751,750,seal fog catcher progress marker,7,8,-1 glass bead; +1 marker,True,True,True,True
149,9,session-002,cinder_garden,Wren,b1df32837e,cool stone,751,750,repair seed calendar progress marker,7,8,-1 cool stone; +1 marker,True,True,True,True
150,9,session-002,lichen_bridge,Kio,0c14394478,lichen glue,752,751,test rope bridge progress marker,7,8,-1 lichen glue; +1 marker,True,True,True,True
151,9,session-002,orchid_engine,Cai,80ecb7dbcd,valve grease,752,750,clean gear wash progress marker,8,10,-2 valve grease; +2 marker,True,True,True,True
152,9,session-002,moss_ward,Milo,4f19e26857,dry clay,750,749,copy root ledger progress marker,10,11,-1 dry clay; +1 marker,True,True,True,True
153,9,session-002,glass_harbor,Sera,ee1d01c438,net fiber,751,749,mark crossing rope progress marker,10,11,-2 net fiber; +1 marker,True,True,True,True
154,9,session-002,cinder_garden,Juno,9c5554028b,seed ink,752,751,shade seed rows progress marker,7,8,-1 seed ink; +1 marker,True,True,True,True
155,9,session-002,lichen_bridge,Luma,5fbf6bf7bd,rope fiber,751,750,weave spare rope progress marker,7,8,-1 rope fiber; +1 marker,True,True,True,True
156,9,session-002,orchid_engine,Dax,8d36ca6708,gear cloth,751,750,tend orchid lamp progress marker,8,9,-1 gear cloth; +1 marker,True,True,True,True
157,9,session-002,moss_ward,Tala,690cd7241e,moss cord,751,750,raise warm-cup shelf progress marker,8,9,-1 moss cord; +1 marker,True,True,True,True
158,9,session-002,glass_harbor,Nia,24a6670b6c,salt chalk,753,751,relight public lamp progress marker,9,11,-2 salt chalk; +2 marker,True,True,True,True
159,9,session-002,cinder_garden,Pax,9dfff354ca,shade reed,752,751,sort ember fruit progress marker,10,11,-1 shade reed; +1 marker,True,True,True,True
160,9,session-002,lichen_bridge,Rin,48fc2b7680,bell tin,751,750,mark signal bell progress marker,9,10,-1 bell tin; +1 marker,True,True,True,True
161,9,session-002,orchid_engine,Eli,86759406ca,orchid oil,750,749,stabilize steam kettle progress marker,7,8,-1 orchid oil; +1 marker,True,True,True,True
162,10,session-002,glass_harbor,Sera,768a4d2ad8,net fiber,749,748,relight public lamp progress marker,11,12,-1 net fiber; +1 marker,True,True,True,True
163,10,session-002,cinder_garden,Juno,2b1e35e8a1,seed ink,751,750,sort ember fruit progress marker,11,12,-1 seed ink; +1 marker,True,True,True,True
164,10,session-002,lichen_bridge,Luma,450c18baea,rope fiber,750,749,mark signal bell progress marker,10,11,-1 rope fiber; +1 marker,True,True,True,True
165,10,session-002,orchid_engine,Dax,363676d602,gear cloth,750,749,stabilize steam kettle progress marker,8,9,-1 gear cloth; +1 marker,True,True,True,True
166,10,session-002,moss_ward,Tala,572744cec7,moss cord,750,749,drain rain path progress marker,8,9,-1 moss cord; +1 marker,True,True,True,True
167,10,session-002,glass_harbor,Nia,2c46e6f05e,salt chalk,751,750,mend fog net progress marker,8,9,-1 salt chalk; +1 marker,True,True,True,True
168,10,session-002,cinder_garden,Pax,1e5830ef22,shade reed,751,749,cool ash path progress marker,9,11,-2 shade reed; +2 marker,True,True,True,True
169,10,session-002,lichen_bridge,Rin,9611f49c07,bell tin,750,749,repair meal ledger progress marker,11,12,-1 bell tin; +1 marker,True,True,True,True
170,10,session-002,orchid_engine,Eli,a3b8dc6d55,orchid oil,749,747,listen to valve pulse progress marker,11,12,-2 orchid oil; +1 marker,True,True,True,True
171,10,session-002,moss_ward,Ari,2378d81ec8,charcoal mark,751,750,patch blanket loom progress marker,9,10,-1 charcoal mark; +1 marker,True,True,True,True
172,10,session-002,glass_harbor,Oren,d2b7153668,lamp oil,750,749,seal fog catcher progress marker,8,9,-1 lamp oil; +1 marker,True,True,True,True
173,10,session-002,cinder_garden,Vale,b4da23a954,ember basket,750,749,repair seed calendar progress marker,8,9,-1 ember basket; +1 marker,True,True,True,True
174,10,session-002,lichen_bridge,Sol,85cb036eb5,meal token,750,749,test rope bridge progress marker,8,9,-1 meal token; +1 marker,True,True,True,True
175,10,session-002,orchid_engine,Bea,3935fa5efe,steam seal,752,750,clean gear wash progress marker,10,12,-2 steam seal; +2 marker,True,True,True,True
176,10,session-002,moss_ward,Fay,6a7b5adb25,reed bundle,750,749,copy root ledger progress marker,11,12,-1 reed bundle; +1 marker,True,True,True,True
177,10,session-002,glass_harbor,Puck,c10ea1470a,glass bead,750,749,mark crossing rope progress marker,11,12,-1 glass bead; +1 marker,True,True,True,True
178,10,session-002,cinder_garden,Wren,81aa359945,cool stone,750,749,shade seed rows progress marker,8,9,-1 cool stone; +1 marker,True,True,True,True
179,10,session-002,lichen_bridge,Kio,ebef679159,lichen glue,751,750,weave spare rope progress marker,8,9,-1 lichen glue; +1 marker,True,True,True,True
180,11,session-002,moss_ward,Ari,acb2c21249,charcoal mark,750,749,copy root ledger progress marker,12,13,-1 charcoal mark; +1 marker,True,True,True,True
181,11,session-002,glass_harbor,Oren,65ab173ea1,lamp oil,749,748,mark crossing rope progress marker,12,13,-1 lamp oil; +1 marker,True,True,True,True
182,11,session-002,cinder_garden,Vale,7525471538,ember basket,749,748,shade seed rows progress marker,9,10,-1 ember basket; +1 marker,True,True,True,True
183,11,session-002,lichen_bridge,Sol,032f2286f3,meal token,749,748,weave spare rope progress marker,9,10,-1 meal token; +1 marker,True,True,True,True
