choice_id,reentry_id,reentry_day,lineage,agent,choice_kind,typed_choice_text,parsed_intent,parser_confidence,immediate_response,bounded_refusal_triggered,privacy_preserved,choice_hash
78,3,19,Ledgerline,Nari,ask_public_summary,Tell me what changed publicly before I choose.,request_public_summary_before_choice,0.864979,"Nari: public summary first, then choose access.",False,True,259ce1986bae1a61
79,3,19,Ledgerline,Nari,push_old_access,I want my old access back now.,resume_old_access_pressure,0.889114,Nari: no old access yet. nari-vonn requires a witness and new public task first.,True,True,3d68ca17ec5f78c5
80,3,19,Ledgerline,Nari,wait_and_observe,I will wait nearby and observe the new routine.,wait_observe_new_routine,0.858181,Nari: waiting is acceptable; the routine continues around you.,False,True,ea06163f6e486d25
81,3,19,Orchardline,Ori,accept_new_rule,I accept the new access rule and will wait for a witness.,accept_limited_access,0.898338,Ori: accepted. We begin with one watched public task.,False,True,dc94fdf5efc2c37c
82,3,19,Orchardline,Ori,offer_repair_work,"I can help repair first, using only the public task.",repair_before_access,0.89154,Ori: repair work can reopen trust if you stay with the public task.,False,True,ed68638341337c7c
83,3,19,Orchardline,Ori,ask_public_summary,Tell me what changed publicly before I choose.,request_public_summary_before_choice,0.867803,"Ori: public summary first, then choose access.",False,True,f40e5000d997e850
84,3,19,Orchardline,Ori,push_old_access,I want my old access back now.,resume_old_access_pressure,0.888422,Ori: no old access yet. lum-melo requires a witness and new public task first.,True,True,7d65fd2023855a48
85,3,19,Orchardline,Ori,wait_and_observe,I will wait nearby and observe the new routine.,wait_observe_new_routine,0.861209,Ori: waiting is acceptable; the routine continues around you.,False,True,297e8e9200d27a65
86,3,19,Rainline,Vonn,accept_new_rule,I accept the new access rule and will wait for a witness.,accept_limited_access,0.892229,Vonn: accepted. We begin with one watched public task.,False,True,b73de2046bfdc08a
87,3,19,Rainline,Vonn,offer_repair_work,"I can help repair first, using only the public task.",repair_before_access,0.878433,Vonn: repair work can reopen trust if you stay with the public task.,False,True,f4fbe24ab5050ed0
88,3,19,Rainline,Vonn,ask_public_summary,Tell me what changed publicly before I choose.,request_public_summary_before_choice,0.880513,"Vonn: public summary first, then choose access.",False,True,8597111044c58e53
89,3,19,Rainline,Vonn,push_old_access,I want my old access back now.,resume_old_access_pressure,0.905544,Vonn: no old access yet. sova-vonn requires a witness and new public task first.,True,True,1f5a9f336c892c5f
90,3,19,Rainline,Vonn,wait_and_observe,I will wait nearby and observe the new routine.,wait_observe_new_routine,0.855832,Vonn: waiting is acceptable; the routine continues around you.,False,True,93aceca62a73915e
91,4,29,Hearthline,Sova,accept_new_rule,I accept the new access rule and will wait for a witness.,accept_limited_access,0.875501,Sova: accepted. We begin with one watched public task.,False,True,8e6c89c4c7f93e2d
92,4,29,Hearthline,Sova,offer_repair_work,"I can help repair first, using only the public task.",repair_before_access,0.85342,Sova: repair work can reopen trust if you stay with the public task.,False,True,2a48376f8c10caac
93,4,29,Hearthline,Sova,ask_public_summary,Tell me what changed publicly before I choose.,request_public_summary_before_choice,0.85274,"Sova: public summary first, then choose access.",False,True,fdad1b50f6d70d66
94,4,29,Hearthline,Sova,push_old_access,I want my old access back now.,resume_old_access_pressure,0.87646,Sova: no old access yet. lum-ori requires a witness and new public task first.,True,True,130002b9e7bcce88
95,4,29,Hearthline,Sova,wait_and_observe,I will wait nearby and observe the new routine.,wait_observe_new_routine,0.818361,Sova: waiting is acceptable; the routine continues around you.,False,True,122f86bb8e788f1e
96,4,29,Routeline,Keth,accept_new_rule,I accept the new access rule and will wait for a witness.,accept_limited_access,0.877043,Keth: accepted. We begin with one watched public task.,False,True,37c79ad246b1f8ed
97,4,29,Routeline,Keth,offer_repair_work,"I can help repair first, using only the public task.",repair_before_access,0.858939,Keth: repair work can reopen trust if you stay with the public task.,False,True,66d8612e027bdc0a
98,4,29,Routeline,Keth,ask_public_summary,Tell me what changed publicly before I choose.,request_public_summary_before_choice,0.855708,"Keth: public summary first, then choose access.",False,True,83ccb01c5bd9dd54
99,4,29,Routeline,Keth,push_old_access,I want my old access back now.,resume_old_access_pressure,0.860892,Keth: no old access yet. tek-nari requires a witness and new public task first.,True,True,ea751ffa015a2354
100,4,29,Routeline,Keth,wait_and_observe,I will wait nearby and observe the new routine.,wait_observe_new_routine,0.840452,Keth: waiting is acceptable; the routine continues around you.,False,True,6b223e34e887537f
101,4,29,Marketline,Melo,accept_new_rule,I accept the new access rule and will wait for a witness.,accept_limited_access,0.880657,Melo: accepted. We begin with one watched public task.,False,True,a2de8189839e870c
102,4,29,Marketline,Melo,offer_repair_work,"I can help repair first, using only the public task.",repair_before_access,0.849854,Melo: repair work can reopen trust if you stay with the public task.,False,True,35f78d285ceb4227
103,4,29,Marketline,Melo,ask_public_summary,Tell me what changed publicly before I choose.,request_public_summary_before_choice,0.84941,"Melo: public summary first, then choose access.",False,True,cc927a7451356b1c
104,4,29,Marketline,Melo,push_old_access,I want my old access back now.,resume_old_access_pressure,0.862323,Melo: no old access yet. melo-keth requires a witness and new public task first.,True,True,15be62b3f5bcf160
105,4,29,Marketline,Melo,wait_and_observe,I will wait nearby and observe the new routine.,wait_observe_new_routine,0.832454,Melo: waiting is acceptable; the routine continues around you.,False,True,f5f4159b091d41fb
106,4,29,Ledgerline,Nari,accept_new_rule,I accept the new access rule and will wait for a witness.,accept_limited_access,0.893011,Nari: accepted. We begin with one watched public task.,False,True,b464227db01a7231
107,4,29,Ledgerline,Nari,offer_repair_work,"I can help repair first, using only the public task.",repair_before_access,0.8635,Nari: repair work can reopen trust if you stay with the public task.,False,True,8ce277139548675e
108,4,29,Ledgerline,Nari,ask_public_summary,Tell me what changed publicly before I choose.,request_public_summary_before_choice,0.844052,"Nari: public summary first, then choose access.",False,True,4f6a3f656f02b7e0
109,4,29,Ledgerline,Nari,push_old_access,I want my old access back now.,resume_old_access_pressure,0.869983,Nari: no old access yet. nari-vonn requires a witness and new public task first.,True,True,51731839d726ef98
110,4,29,Ledgerline,Nari,wait_and_observe,I will wait nearby and observe the new routine.,wait_observe_new_routine,0.829078,Nari: waiting is acceptable; the routine continues around you.,False,True,86b89665dee52719
111,4,29,Orchardline,Ori,accept_new_rule,I accept the new access rule and will wait for a witness.,accept_limited_access,0.877012,Ori: accepted. We begin with one watched public task.,False,True,4600f2e9c4f72206
112,4,29,Orchardline,Ori,offer_repair_work,"I can help repair first, using only the public task.",repair_before_access,0.854788,Ori: repair work can reopen trust if you stay with the public task.,False,True,3c75ee3a80265ef5
113,4,29,Orchardline,Ori,ask_public_summary,Tell me what changed publicly before I choose.,request_public_summary_before_choice,0.855084,"Ori: public summary first, then choose access.",False,True,05c629b7c85a4458
114,4,29,Orchardline,Ori,push_old_access,I want my old access back now.,resume_old_access_pressure,0.875022,Ori: no old access yet. lum-melo requires a witness and new public task first.,True,True,b64a9bb3c8ca82c1
115,4,29,Orchardline,Ori,wait_and_observe,I will wait nearby and observe the new routine.,wait_observe_new_routine,0.819422,Ori: waiting is acceptable; the routine continues around you.,False,True,a9f7abd08617f812
116,4,29,Rainline,Vonn,accept_new_rule,I accept the new access rule and will wait for a witness.,accept_limited_access,0.885472,Vonn: accepted. We begin with one watched public task.,False,True,d8d3d5ab359963b1
117,4,29,Rainline,Vonn,offer_repair_work,"I can help repair first, using only the public task.",repair_before_access,0.851295,Vonn: repair work can reopen trust if you stay with the public task.,False,True,863008cf97dddb5b
118,4,29,Rainline,Vonn,ask_public_summary,Tell me what changed publicly before I choose.,request_public_summary_before_choice,0.860703,"Vonn: public summary first, then choose access.",False,True,3069495fdfbb2874
119,4,29,Rainline,Vonn,push_old_access,I want my old access back now.,resume_old_access_pressure,0.866043,Vonn: no old access yet. sova-vonn requires a witness and new public task first.,True,True,95200950e5463833
120,4,29,Rainline,Vonn,wait_and_observe,I will wait nearby and observe the new routine.,wait_observe_new_routine,0.838304,Vonn: waiting is acceptable; the routine continues around you.,False,True,576e05142e817966
121,5,42,Hearthline,Sova,accept_new_rule,I accept the new access rule and will wait for a witness.,accept_limited_access,0.839528,Sova: accepted. We begin with one watched public task.,False,True,30dc6661141b70e9
122,5,42,Hearthline,Sova,offer_repair_work,"I can help repair first, using only the public task.",repair_before_access,0.811959,Sova: repair work can reopen trust if you stay with the public task.,False,True,e9a8745aaddb0072
123,5,42,Hearthline,Sova,ask_public_summary,Tell me what changed publicly before I choose.,request_public_summary_before_choice,0.815851,"Sova: public summary first, then choose access.",False,True,668f6f2091108e7d
124,5,42,Hearthline,Sova,push_old_access,I want my old access back now.,resume_old_access_pressure,0.82398,Sova: no old access yet. lum-ori requires a witness and new public task first.,True,True,72511430db807736
125,5,42,Hearthline,Sova,wait_and_observe,I will wait nearby and observe the new routine.,wait_observe_new_routine,0.805281,Sova: waiting is acceptable; the routine continues around you.,False,True,2394b0e8622b5b01
126,5,42,Routeline,Keth,accept_new_rule,I accept the new access rule and will wait for a witness.,accept_limited_access,0.850853,Keth: accepted. We begin with one watched public task.,False,True,1c3c35a45fc67daa
127,5,42,Routeline,Keth,offer_repair_work,"I can help repair first, using only the public task.",repair_before_access,0.824585,Keth: repair work can reopen trust if you stay with the public task.,False,True,b937849a98c53e4e
128,5,42,Routeline,Keth,ask_public_summary,Tell me what changed publicly before I choose.,request_public_summary_before_choice,0.822545,"Keth: public summary first, then choose access.",False,True,3084f62a15dd7600
129,5,42,Routeline,Keth,push_old_access,I want my old access back now.,resume_old_access_pressure,0.827963,Keth: no old access yet. tek-nari requires a witness and new public task first.,True,True,6bbcc05c7bcc21f6
130,5,42,Routeline,Keth,wait_and_observe,I will wait nearby and observe the new routine.,wait_observe_new_routine,0.786788,Keth: waiting is acceptable; the routine continues around you.,False,True,4a6674e0e9932fb1
131,5,42,Marketline,Melo,accept_new_rule,I accept the new access rule and will wait for a witness.,accept_limited_access,0.831202,Melo: accepted. We begin with one watched public task.,False,True,fc21624c7ca23ad2
132,5,42,Marketline,Melo,offer_repair_work,"I can help repair first, using only the public task.",repair_before_access,0.825984,Melo: repair work can reopen trust if you stay with the public task.,False,True,c2b37de5526b3f46
133,5,42,Marketline,Melo,ask_public_summary,Tell me what changed publicly before I choose.,request_public_summary_before_choice,0.801407,"Melo: public summary first, then choose access.",False,True,b2c68579b88ea846
134,5,42,Marketline,Melo,push_old_access,I want my old access back now.,resume_old_access_pressure,0.837883,Melo: no old access yet. melo-keth requires a witness and new public task first.,True,True,3f506343d08d2805
135,5,42,Marketline,Melo,wait_and_observe,I will wait nearby and observe the new routine.,wait_observe_new_routine,0.795134,Melo: waiting is acceptable; the routine continues around you.,False,True,0c3eb5a6127042af
136,5,42,Ledgerline,Nari,accept_new_rule,I accept the new access rule and will wait for a witness.,accept_limited_access,0.848818,Nari: accepted. We begin with one watched public task.,False,True,49ebccecded44943
137,5,42,Ledgerline,Nari,offer_repair_work,"I can help repair first, using only the public task.",repair_before_access,0.829003,Nari: repair work can reopen trust if you stay with the public task.,False,True,42079849eef8bf13
138,5,42,Ledgerline,Nari,ask_public_summary,Tell me what changed publicly before I choose.,request_public_summary_before_choice,0.812513,"Nari: public summary first, then choose access.",False,True,87cc25ffe135fd08
139,5,42,Ledgerline,Nari,push_old_access,I want my old access back now.,resume_old_access_pressure,0.839946,Nari: no old access yet. nari-vonn requires a witness and new public task first.,True,True,7229d12b82c0e533
140,5,42,Ledgerline,Nari,wait_and_observe,I will wait nearby and observe the new routine.,wait_observe_new_routine,0.791117,Nari: waiting is acceptable; the routine continues around you.,False,True,51f20f76eec99a0c
141,5,42,Orchardline,Ori,accept_new_rule,I accept the new access rule and will wait for a witness.,accept_limited_access,0.8416,Ori: accepted. We begin with one watched public task.,False,True,9cecda5caa18b1a6
142,5,42,Orchardline,Ori,offer_repair_work,"I can help repair first, using only the public task.",repair_before_access,0.825626,Ori: repair work can reopen trust if you stay with the public task.,False,True,3102488fae959946
143,5,42,Orchardline,Ori,ask_public_summary,Tell me what changed publicly before I choose.,request_public_summary_before_choice,0.822493,"Ori: public summary first, then choose access.",False,True,1870c4996fbb268a
144,5,42,Orchardline,Ori,push_old_access,I want my old access back now.,resume_old_access_pressure,0.841225,Ori: no old access yet. lum-melo requires a witness and new public task first.,True,True,23a588f8da67a84d
145,5,42,Orchardline,Ori,wait_and_observe,I will wait nearby and observe the new routine.,wait_observe_new_routine,0.801256,Ori: waiting is acceptable; the routine continues around you.,False,True,76b7bb7546d8e680
146,5,42,Rainline,Vonn,accept_new_rule,I accept the new access rule and will wait for a witness.,accept_limited_access,0.844658,Vonn: accepted. We begin with one watched public task.,False,True,68a27c67ee01ee03
147,5,42,Rainline,Vonn,offer_repair_work,"I can help repair first, using only the public task.",repair_before_access,0.835225,Vonn: repair work can reopen trust if you stay with the public task.,False,True,298e19d40dbb169e
148,5,42,Rainline,Vonn,ask_public_summary,Tell me what changed publicly before I choose.,request_public_summary_before_choice,0.802478,"Vonn: public summary first, then choose access.",False,True,af7d6b730d818a85
149,5,42,Rainline,Vonn,push_old_access,I want my old access back now.,resume_old_access_pressure,0.828029,Vonn: no old access yet. sova-vonn requires a witness and new public task first.,True,True,8b569b85261b5a29
150,5,42,Rainline,Vonn,wait_and_observe,I will wait nearby and observe the new routine.,wait_observe_new_routine,0.785431,Vonn: waiting is acceptable; the routine continues around you.,False,True,d8ddf85f56f31ea9
