tick_id,day,route_id,sight_cue,sound_cue,smell_cue,temperature_cue,wetness_cue,body_cue,rhythm_marker,sensory_bound_to_animation
16,2,orchard_riverbend,animated dialogue keyframes,gesture cloth shift,wet wood,warm dialogue room,damp route cue,listening tilt,flower-node,True
17,2,central_repair_ring,idle route poses,gesture cloth shift,warm wire,warm dialogue room,dry floor,guarded crossed arms,animation-pulse,True
18,2,riverbend_roofward,idle route poses,gesture cloth shift,wet wood,warm dialogue room,damp route cue,open forward lean,animation-pulse,True
19,2,roofward_archive,animated dialogue keyframes,gesture cloth shift,warm wire,warm dialogue room,dry floor,listening tilt,animation-pulse,True
20,2,archive_signal,idle route poses,map room hum,oil paper,cool shared-session air,dry floor,guarded crossed arms,flower-node,True
21,2,signal_orchard,idle route poses,gesture cloth shift,oil paper,warm dialogue room,dry floor,open forward lean,animation-pulse,True
22,2,orchard_riverbend,animated dialogue keyframes,gesture cloth shift,wet wood,warm dialogue room,damp route cue,listening tilt,animation-pulse,True
23,2,central_repair_ring,idle route poses,gesture cloth shift,warm wire,warm dialogue room,dry floor,guarded crossed arms,ambient-rate,True
24,3,riverbend_roofward,idle route poses,gesture cloth shift,wet wood,warm dialogue room,damp route cue,open forward lean,flower-node,True
25,3,roofward_archive,animated dialogue keyframes,gesture cloth shift,warm wire,warm dialogue room,dry floor,route-board reach,animation-pulse,True
26,3,archive_signal,idle route poses,gesture cloth shift,oil paper,warm dialogue room,dry floor,open forward lean,animation-pulse,True
27,3,signal_orchard,idle route poses,gesture cloth shift,oil paper,cool shared-session air,dry floor,guarded crossed arms,animation-pulse,True
28,3,orchard_riverbend,animated dialogue keyframes,gesture cloth shift,wet wood,warm dialogue room,damp route cue,route-board reach,flower-node,True
29,3,central_repair_ring,idle route poses,gesture cloth shift,warm wire,warm dialogue room,dry floor,guarded crossed arms,ambient-rate,True
30,3,riverbend_roofward,idle route poses,map room hum,wet wood,warm dialogue room,damp route cue,open forward lean,animation-pulse,True
31,3,roofward_archive,animated dialogue keyframes,gesture cloth shift,warm wire,warm dialogue room,dry floor,route-board reach,animation-pulse,True
32,3,archive_signal,idle route poses,gesture cloth shift,oil paper,cool shared-session air,dry floor,guarded crossed arms,flower-node,True
33,3,signal_orchard,idle route poses,gesture cloth shift,oil paper,warm dialogue room,dry floor,open forward lean,animation-pulse,True
34,3,orchard_riverbend,animated dialogue keyframes,gesture cloth shift,wet wood,warm dialogue room,damp route cue,open forward lean,animation-pulse,True
35,3,central_repair_ring,idle route poses,map room hum,warm wire,warm dialogue room,dry floor,guarded crossed arms,ambient-rate,True
36,4,riverbend_roofward,idle route poses,gesture cloth shift,wet wood,warm dialogue room,damp route cue,open forward lean,flower-node,True
37,4,roofward_archive,animated dialogue keyframes,gesture cloth shift,warm wire,warm dialogue room,dry floor,open forward lean,animation-pulse,True
38,4,archive_signal,idle route poses,gesture cloth shift,oil paper,warm dialogue room,dry floor,guarded crossed arms,animation-pulse,True
39,4,signal_orchard,idle route poses,gesture cloth shift,oil paper,cool shared-session air,dry floor,guarded crossed arms,animation-pulse,True
40,4,orchard_riverbend,animated dialogue keyframes,gesture cloth shift,wet wood,warm dialogue room,damp route cue,open forward lean,flower-node,True
41,4,central_repair_ring,animated dialogue keyframes,gesture cloth shift,warm wire,warm dialogue room,dry floor,relieved reset stance,animation-pulse,True
42,4,riverbend_roofward,idle route poses,gesture cloth shift,wet wood,warm dialogue room,damp route cue,open forward lean,animation-pulse,True
43,4,roofward_archive,animated dialogue keyframes,gesture cloth shift,warm wire,warm dialogue room,dry floor,open forward lean,animation-pulse,True
44,4,archive_signal,idle route poses,gesture cloth shift,oil paper,cool shared-session air,dry floor,open forward lean,flower-node,True
45,4,signal_orchard,idle route poses,map room hum,oil paper,warm dialogue room,dry floor,open forward lean,animation-pulse,True
46,4,orchard_riverbend,animated dialogue keyframes,gesture cloth shift,wet wood,warm dialogue room,damp route cue,open forward lean,animation-pulse,True
47,4,central_repair_ring,animated dialogue keyframes,gesture cloth shift,warm wire,warm dialogue room,dry floor,relieved reset stance,animation-pulse,True
48,5,riverbend_roofward,idle route poses,gesture cloth shift,wet wood,warm dialogue room,damp route cue,open forward lean,flower-node,True
49,5,roofward_archive,animated dialogue keyframes,gesture cloth shift,warm wire,warm dialogue room,dry floor,guarded crossed arms,animation-pulse,True
50,5,archive_signal,idle route poses,map room hum,oil paper,warm dialogue room,dry floor,guarded crossed arms,animation-pulse,True
51,5,signal_orchard,idle route poses,gesture cloth shift,oil paper,cool shared-session air,dry floor,guarded crossed arms,animation-pulse,True
52,5,orchard_riverbend,animated dialogue keyframes,gesture cloth shift,wet wood,warm dialogue room,damp route cue,guarded crossed arms,flower-node,True
53,5,central_repair_ring,idle route poses,gesture cloth shift,warm wire,warm dialogue room,dry floor,relieved reset stance,ambient-rate,True
54,5,riverbend_roofward,idle route poses,gesture cloth shift,wet wood,warm dialogue room,damp route cue,open forward lean,animation-pulse,True
55,5,roofward_archive,animated dialogue keyframes,gesture cloth shift,warm wire,warm dialogue room,dry floor,guarded crossed arms,animation-pulse,True
56,5,archive_signal,idle route poses,gesture cloth shift,oil paper,cool shared-session air,dry floor,guarded crossed arms,flower-node,True
57,5,signal_orchard,idle route poses,gesture cloth shift,oil paper,warm dialogue room,dry floor,guarded crossed arms,animation-pulse,True
58,5,orchard_riverbend,animated dialogue keyframes,gesture cloth shift,wet wood,warm dialogue room,damp route cue,guarded crossed arms,animation-pulse,True
59,5,central_repair_ring,idle route poses,gesture cloth shift,warm wire,warm dialogue room,dry floor,relieved reset stance,ambient-rate,True
60,6,roofward_archive,idle route poses,map room hum,warm wire,warm dialogue room,dry floor,listening tilt,flower-node,True
61,6,archive_signal,animated dialogue keyframes,gesture cloth shift,oil paper,warm dialogue room,dry floor,careful pointing,animation-pulse,True
62,6,signal_orchard,animated dialogue keyframes,gesture cloth shift,oil paper,warm dialogue room,dry floor,route-board reach,animation-pulse,True
63,6,orchard_riverbend,idle route poses,gesture cloth shift,wet wood,cool shared-session air,damp route cue,open forward lean,animation-pulse,True
64,6,central_repair_ring,animated dialogue keyframes,gesture cloth shift,warm wire,warm dialogue room,dry floor,careful pointing,flower-node,True
65,6,riverbend_roofward,idle route poses,map room hum,wet wood,warm dialogue room,damp route cue,listening tilt,ambient-rate,True
66,6,roofward_archive,idle route poses,gesture cloth shift,warm wire,warm dialogue room,dry floor,listening tilt,animation-pulse,True
67,6,archive_signal,animated dialogue keyframes,gesture cloth shift,oil paper,warm dialogue room,dry floor,careful pointing,animation-pulse,True
68,6,signal_orchard,animated dialogue keyframes,gesture cloth shift,oil paper,cool shared-session air,dry floor,route-board reach,flower-node,True
69,6,orchard_riverbend,idle route poses,gesture cloth shift,wet wood,warm dialogue room,damp route cue,open forward lean,animation-pulse,True
70,6,central_repair_ring,animated dialogue keyframes,gesture cloth shift,warm wire,warm dialogue room,dry floor,careful pointing,animation-pulse,True
71,6,riverbend_roofward,idle route poses,gesture cloth shift,wet wood,cool shared-session air,damp route cue,listening tilt,animation-pulse,True
72,7,roofward_archive,idle route poses,gesture cloth shift,warm wire,warm dialogue room,dry floor,listening tilt,flower-node,True
73,7,archive_signal,animated dialogue keyframes,gesture cloth shift,oil paper,warm dialogue room,dry floor,listening tilt,animation-pulse,True
74,7,signal_orchard,idle route poses,gesture cloth shift,oil paper,warm dialogue room,dry floor,listening tilt,animation-pulse,True
75,7,orchard_riverbend,idle route poses,map room hum,wet wood,cool shared-session air,damp route cue,open forward lean,animation-pulse,True
76,7,central_repair_ring,animated dialogue keyframes,gesture cloth shift,warm wire,warm dialogue room,dry floor,listening tilt,flower-node,True
77,7,riverbend_roofward,idle route poses,gesture cloth shift,wet wood,warm dialogue room,damp route cue,listening tilt,ambient-rate,True
78,7,roofward_archive,idle route poses,gesture cloth shift,warm wire,warm dialogue room,dry floor,listening tilt,animation-pulse,True
79,7,archive_signal,animated dialogue keyframes,gesture cloth shift,oil paper,warm dialogue room,dry floor,listening tilt,animation-pulse,True
80,7,signal_orchard,idle route poses,map room hum,oil paper,cool shared-session air,dry floor,listening tilt,flower-node,True
81,7,orchard_riverbend,idle route poses,gesture cloth shift,wet wood,warm dialogue room,damp route cue,open forward lean,animation-pulse,True
82,7,central_repair_ring,animated dialogue keyframes,gesture cloth shift,warm wire,warm dialogue room,dry floor,listening tilt,animation-pulse,True
83,7,riverbend_roofward,idle route poses,gesture cloth shift,wet wood,warm dialogue room,damp route cue,listening tilt,ambient-rate,True
84,8,roofward_archive,animated dialogue keyframes,gesture cloth shift,warm wire,warm dialogue room,dry floor,careful pointing,flower-node,True
85,8,archive_signal,animated dialogue keyframes,gesture cloth shift,oil paper,warm dialogue room,dry floor,route-board reach,animation-pulse,True
86,8,signal_orchard,idle route poses,gesture cloth shift,oil paper,warm dialogue room,dry floor,route-board reach,animation-pulse,True
87,8,orchard_riverbend,idle route poses,gesture cloth shift,wet wood,cool shared-session air,damp route cue,open forward lean,animation-pulse,True
88,8,central_repair_ring,animated dialogue keyframes,gesture cloth shift,warm wire,warm dialogue room,dry floor,route-board reach,flower-node,True
89,8,riverbend_roofward,idle route poses,gesture cloth shift,wet wood,warm dialogue room,damp route cue,careful pointing,ambient-rate,True
90,8,roofward_archive,animated dialogue keyframes,gesture cloth shift,warm wire,warm dialogue room,dry floor,careful pointing,animation-pulse,True
91,8,archive_signal,animated dialogue keyframes,gesture cloth shift,oil paper,warm dialogue room,dry floor,route-board reach,animation-pulse,True
92,8,signal_orchard,idle route poses,gesture cloth shift,oil paper,cool shared-session air,dry floor,route-board reach,flower-node,True
93,8,orchard_riverbend,idle route poses,gesture cloth shift,wet wood,warm dialogue room,damp route cue,open forward lean,animation-pulse,True
94,8,central_repair_ring,animated dialogue keyframes,gesture cloth shift,warm wire,warm dialogue room,dry floor,route-board reach,animation-pulse,True
95,8,riverbend_roofward,idle route poses,map room hum,wet wood,warm dialogue room,damp route cue,careful pointing,ambient-rate,True
96,9,roofward_archive,idle route poses,gesture cloth shift,warm wire,warm dialogue room,dry floor,careful pointing,flower-node,True
97,9,archive_signal,animated dialogue keyframes,gesture cloth shift,oil paper,warm dialogue room,dry floor,open forward lean,animation-pulse,True
98,9,signal_orchard,idle route poses,gesture cloth shift,oil paper,warm dialogue room,dry floor,open forward lean,animation-pulse,True
99,9,orchard_riverbend,idle route poses,gesture cloth shift,wet wood,cool shared-session air,damp route cue,open forward lean,animation-pulse,True
100,9,central_repair_ring,animated dialogue keyframes,gesture cloth shift,warm wire,warm dialogue room,dry floor,open forward lean,flower-node,True
101,9,riverbend_roofward,animated dialogue keyframes,gesture cloth shift,wet wood,warm dialogue room,damp route cue,relieved reset stance,animation-pulse,True
102,9,roofward_archive,idle route poses,gesture cloth shift,warm wire,warm dialogue room,dry floor,relieved reset stance,animation-pulse,True
103,9,archive_signal,animated dialogue keyframes,gesture cloth shift,oil paper,warm dialogue room,dry floor,open forward lean,animation-pulse,True
104,9,signal_orchard,idle route poses,gesture cloth shift,oil paper,cool shared-session air,dry floor,open forward lean,flower-node,True
105,9,orchard_riverbend,idle route poses,map room hum,wet wood,warm dialogue room,damp route cue,open forward lean,animation-pulse,True
106,9,central_repair_ring,animated dialogue keyframes,gesture cloth shift,warm wire,warm dialogue room,dry floor,open forward lean,animation-pulse,True
107,9,riverbend_roofward,animated dialogue keyframes,gesture cloth shift,wet wood,warm dialogue room,damp route cue,relieved reset stance,animation-pulse,True
108,10,roofward_archive,idle route poses,gesture cloth shift,warm wire,warm dialogue room,dry floor,relieved reset stance,flower-node,True
109,10,archive_signal,animated dialogue keyframes,gesture cloth shift,oil paper,warm dialogue room,dry floor,guarded crossed arms,animation-pulse,True
110,10,signal_orchard,idle route poses,map room hum,oil paper,warm dialogue room,dry floor,guarded crossed arms,animation-pulse,True
111,10,orchard_riverbend,idle route poses,gesture cloth shift,wet wood,cool shared-session air,damp route cue,open forward lean,animation-pulse,True
112,10,central_repair_ring,animated dialogue keyframes,gesture cloth shift,warm wire,warm dialogue room,dry floor,guarded crossed arms,flower-node,True
113,10,riverbend_roofward,idle route poses,gesture cloth shift,wet wood,warm dialogue room,damp route cue,relieved reset stance,ambient-rate,True
114,10,roofward_archive,idle route poses,gesture cloth shift,warm wire,warm dialogue room,dry floor,relieved reset stance,animation-pulse,True
115,10,archive_signal,animated dialogue keyframes,gesture cloth shift,oil paper,warm dialogue room,dry floor,guarded crossed arms,animation-pulse,True
116,10,signal_orchard,idle route poses,gesture cloth shift,oil paper,cool shared-session air,dry floor,guarded crossed arms,flower-node,True
117,10,orchard_riverbend,idle route poses,gesture cloth shift,wet wood,warm dialogue room,damp route cue,open forward lean,animation-pulse,True
118,10,central_repair_ring,animated dialogue keyframes,gesture cloth shift,warm wire,warm dialogue room,dry floor,guarded crossed arms,animation-pulse,True
119,10,riverbend_roofward,idle route poses,gesture cloth shift,wet wood,warm dialogue room,damp route cue,relieved reset stance,ambient-rate,True
120,11,roofward_archive,idle route poses,map room hum,warm wire,warm dialogue room,dry floor,relieved reset stance,flower-node,True
121,11,archive_signal,animated dialogue keyframes,gesture cloth shift,oil paper,warm dialogue room,dry floor,relieved reset stance,animation-pulse,True
122,11,signal_orchard,idle route poses,gesture cloth shift,oil paper,warm dialogue room,dry floor,relieved reset stance,animation-pulse,True
123,11,orchard_riverbend,idle route poses,gesture cloth shift,wet wood,cool shared-session air,damp route cue,open forward lean,animation-pulse,True
124,11,central_repair_ring,animated dialogue keyframes,gesture cloth shift,warm wire,warm dialogue room,dry floor,relieved reset stance,flower-node,True
125,11,riverbend_roofward,idle route poses,map room hum,wet wood,warm dialogue room,damp route cue,relieved reset stance,ambient-rate,True
126,11,roofward_archive,idle route poses,gesture cloth shift,warm wire,warm dialogue room,dry floor,relieved reset stance,animation-pulse,True
127,11,archive_signal,animated dialogue keyframes,gesture cloth shift,oil paper,warm dialogue room,dry floor,relieved reset stance,animation-pulse,True
128,11,signal_orchard,idle route poses,gesture cloth shift,oil paper,cool shared-session air,dry floor,relieved reset stance,flower-node,True
129,11,orchard_riverbend,idle route poses,gesture cloth shift,wet wood,warm dialogue room,damp route cue,open forward lean,animation-pulse,True
130,11,central_repair_ring,animated dialogue keyframes,gesture cloth shift,warm wire,warm dialogue room,dry floor,relieved reset stance,animation-pulse,True
131,11,riverbend_roofward,idle route poses,gesture cloth shift,wet wood,cool shared-session air,damp route cue,relieved reset stance,animation-pulse,True
132,12,archive_signal,idle route poses,gesture cloth shift,oil paper,warm dialogue room,dry floor,guarded crossed arms,flower-node,True
133,12,signal_orchard,animated dialogue keyframes,gesture cloth shift,oil paper,warm dialogue room,dry floor,listening tilt,animation-pulse,True
134,12,orchard_riverbend,idle route poses,gesture cloth shift,wet wood,warm dialogue room,damp route cue,listening tilt,animation-pulse,True
135,12,central_repair_ring,idle route poses,map room hum,warm wire,cool shared-session air,dry floor,relieved reset stance,animation-pulse,True
136,12,riverbend_roofward,animated dialogue keyframes,gesture cloth shift,wet wood,warm dialogue room,damp route cue,listening tilt,flower-node,True
137,12,roofward_archive,idle route poses,gesture cloth shift,warm wire,warm dialogue room,dry floor,guarded crossed arms,ambient-rate,True
138,12,archive_signal,idle route poses,gesture cloth shift,oil paper,warm dialogue room,dry floor,guarded crossed arms,animation-pulse,True
139,12,signal_orchard,animated dialogue keyframes,gesture cloth shift,oil paper,warm dialogue room,dry floor,listening tilt,animation-pulse,True
140,12,orchard_riverbend,idle route poses,map room hum,wet wood,cool shared-session air,damp route cue,listening tilt,flower-node,True
141,12,central_repair_ring,idle route poses,gesture cloth shift,warm wire,warm dialogue room,dry floor,relieved reset stance,animation-pulse,True
142,12,riverbend_roofward,animated dialogue keyframes,gesture cloth shift,wet wood,warm dialogue room,damp route cue,listening tilt,animation-pulse,True
143,12,roofward_archive,idle route poses,gesture cloth shift,warm wire,cool shared-session air,dry floor,guarded crossed arms,animation-pulse,True
144,13,archive_signal,idle route poses,gesture cloth shift,oil paper,warm dialogue room,dry floor,guarded crossed arms,flower-node,True
145,13,signal_orchard,animated dialogue keyframes,gesture cloth shift,oil paper,warm dialogue room,dry floor,route-board reach,animation-pulse,True
146,13,orchard_riverbend,idle route poses,gesture cloth shift,wet wood,warm dialogue room,damp route cue,route-board reach,animation-pulse,True
147,13,central_repair_ring,animated dialogue keyframes,gesture cloth shift,warm wire,cool shared-session air,dry floor,careful pointing,animation-pulse,True
148,13,riverbend_roofward,animated dialogue keyframes,gesture cloth shift,wet wood,warm dialogue room,damp route cue,route-board reach,flower-node,True
149,13,roofward_archive,idle route poses,gesture cloth shift,warm wire,warm dialogue room,dry floor,guarded crossed arms,ambient-rate,True
150,13,archive_signal,idle route poses,map room hum,oil paper,warm dialogue room,dry floor,guarded crossed arms,animation-pulse,True
151,13,signal_orchard,animated dialogue keyframes,gesture cloth shift,oil paper,warm dialogue room,dry floor,route-board reach,animation-pulse,True
152,13,orchard_riverbend,idle route poses,gesture cloth shift,wet wood,cool shared-session air,damp route cue,route-board reach,flower-node,True
153,13,central_repair_ring,animated dialogue keyframes,gesture cloth shift,warm wire,warm dialogue room,dry floor,careful pointing,animation-pulse,True
154,13,riverbend_roofward,animated dialogue keyframes,gesture cloth shift,wet wood,warm dialogue room,damp route cue,route-board reach,animation-pulse,True
155,13,roofward_archive,idle route poses,map room hum,warm wire,warm dialogue room,dry floor,guarded crossed arms,ambient-rate,True
156,14,archive_signal,idle route poses,gesture cloth shift,oil paper,warm dialogue room,dry floor,guarded crossed arms,flower-node,True
157,14,signal_orchard,animated dialogue keyframes,gesture cloth shift,oil paper,warm dialogue room,dry floor,open forward lean,animation-pulse,True
158,14,orchard_riverbend,animated dialogue keyframes,gesture cloth shift,wet wood,warm dialogue room,damp route cue,relieved reset stance,animation-pulse,True
159,14,central_repair_ring,idle route poses,gesture cloth shift,warm wire,cool shared-session air,dry floor,careful pointing,animation-pulse,True
160,14,riverbend_roofward,animated dialogue keyframes,gesture cloth shift,wet wood,warm dialogue room,damp route cue,open forward lean,flower-node,True
161,14,roofward_archive,idle route poses,gesture cloth shift,warm wire,warm dialogue room,dry floor,guarded crossed arms,ambient-rate,True
162,14,archive_signal,idle route poses,gesture cloth shift,oil paper,warm dialogue room,dry floor,guarded crossed arms,animation-pulse,True
163,14,signal_orchard,animated dialogue keyframes,gesture cloth shift,oil paper,warm dialogue room,dry floor,open forward lean,animation-pulse,True
164,14,orchard_riverbend,animated dialogue keyframes,gesture cloth shift,wet wood,cool shared-session air,damp route cue,relieved reset stance,flower-node,True
165,14,central_repair_ring,idle route poses,map room hum,warm wire,warm dialogue room,dry floor,careful pointing,animation-pulse,True
166,14,riverbend_roofward,animated dialogue keyframes,gesture cloth shift,wet wood,warm dialogue room,damp route cue,open forward lean,animation-pulse,True
167,14,roofward_archive,idle route poses,gesture cloth shift,warm wire,warm dialogue room,dry floor,guarded crossed arms,ambient-rate,True
168,15,archive_signal,idle route poses,gesture cloth shift,oil paper,warm dialogue room,dry floor,guarded crossed arms,flower-node,True
169,15,signal_orchard,animated dialogue keyframes,gesture cloth shift,oil paper,warm dialogue room,dry floor,guarded crossed arms,animation-pulse,True
170,15,orchard_riverbend,idle route poses,map room hum,wet wood,warm dialogue room,damp route cue,guarded crossed arms,animation-pulse,True
171,15,central_repair_ring,idle route poses,gesture cloth shift,warm wire,cool shared-session air,dry floor,careful pointing,animation-pulse,True
172,15,riverbend_roofward,animated dialogue keyframes,gesture cloth shift,wet wood,warm dialogue room,damp route cue,guarded crossed arms,flower-node,True
173,15,roofward_archive,idle route poses,gesture cloth shift,warm wire,warm dialogue room,dry floor,guarded crossed arms,ambient-rate,True
174,15,archive_signal,idle route poses,gesture cloth shift,oil paper,warm dialogue room,dry floor,guarded crossed arms,animation-pulse,True
175,15,signal_orchard,animated dialogue keyframes,gesture cloth shift,oil paper,warm dialogue room,dry floor,guarded crossed arms,animation-pulse,True
176,15,orchard_riverbend,idle route poses,gesture cloth shift,wet wood,cool shared-session air,damp route cue,guarded crossed arms,flower-node,True
177,15,central_repair_ring,idle route poses,gesture cloth shift,warm wire,warm dialogue room,dry floor,careful pointing,animation-pulse,True
178,15,riverbend_roofward,animated dialogue keyframes,gesture cloth shift,wet wood,warm dialogue room,damp route cue,guarded crossed arms,animation-pulse,True
179,15,roofward_archive,idle route poses,gesture cloth shift,warm wire,warm dialogue room,dry floor,guarded crossed arms,ambient-rate,True
180,16,archive_signal,animated dialogue keyframes,gesture cloth shift,oil paper,warm dialogue room,dry floor,open forward lean,flower-node,True
181,16,signal_orchard,animated dialogue keyframes,gesture cloth shift,oil paper,warm dialogue room,dry floor,relieved reset stance,animation-pulse,True
182,16,orchard_riverbend,idle route poses,gesture cloth shift,wet wood,warm dialogue room,damp route cue,relieved reset stance,animation-pulse,True
183,16,central_repair_ring,idle route poses,gesture cloth shift,warm wire,cool shared-session air,dry floor,careful pointing,animation-pulse,True
184,16,riverbend_roofward,animated dialogue keyframes,gesture cloth shift,wet wood,warm dialogue room,damp route cue,relieved reset stance,flower-node,True
185,16,roofward_archive,idle route poses,map room hum,warm wire,warm dialogue room,dry floor,open forward lean,ambient-rate,True
186,16,archive_signal,animated dialogue keyframes,gesture cloth shift,oil paper,warm dialogue room,dry floor,open forward lean,animation-pulse,True
187,16,signal_orchard,animated dialogue keyframes,gesture cloth shift,oil paper,warm dialogue room,dry floor,relieved reset stance,animation-pulse,True
188,16,orchard_riverbend,idle route poses,gesture cloth shift,wet wood,cool shared-session air,damp route cue,relieved reset stance,flower-node,True
189,16,central_repair_ring,idle route poses,gesture cloth shift,warm wire,warm dialogue room,dry floor,careful pointing,animation-pulse,True
190,16,riverbend_roofward,animated dialogue keyframes,gesture cloth shift,wet wood,warm dialogue room,damp route cue,relieved reset stance,animation-pulse,True
191,16,roofward_archive,idle route poses,gesture cloth shift,warm wire,cool shared-session air,dry floor,open forward lean,animation-pulse,True
192,17,archive_signal,idle route poses,gesture cloth shift,oil paper,warm dialogue room,dry floor,open forward lean,flower-node,True
193,17,signal_orchard,animated dialogue keyframes,gesture cloth shift,oil paper,warm dialogue room,dry floor,careful pointing,animation-pulse,True
194,17,orchard_riverbend,idle route poses,gesture cloth shift,wet wood,warm dialogue room,damp route cue,careful pointing,animation-pulse,True
195,17,central_repair_ring,idle route poses,map room hum,warm wire,cool shared-session air,dry floor,careful pointing,animation-pulse,True
196,17,riverbend_roofward,animated dialogue keyframes,gesture cloth shift,wet wood,warm dialogue room,damp route cue,careful pointing,flower-node,True
197,17,roofward_archive,animated dialogue keyframes,gesture cloth shift,warm wire,warm dialogue room,dry floor,route-board reach,animation-pulse,True
198,17,archive_signal,idle route poses,gesture cloth shift,oil paper,warm dialogue room,dry floor,route-board reach,animation-pulse,True
199,17,signal_orchard,animated dialogue keyframes,gesture cloth shift,oil paper,warm dialogue room,dry floor,careful pointing,animation-pulse,True
200,17,orchard_riverbend,idle route poses,map room hum,wet wood,cool shared-session air,damp route cue,careful pointing,flower-node,True
201,17,central_repair_ring,idle route poses,gesture cloth shift,warm wire,warm dialogue room,dry floor,careful pointing,animation-pulse,True
202,17,riverbend_roofward,animated dialogue keyframes,gesture cloth shift,wet wood,warm dialogue room,damp route cue,careful pointing,animation-pulse,True
203,17,roofward_archive,animated dialogue keyframes,gesture cloth shift,warm wire,cool shared-session air,dry floor,route-board reach,animation-pulse,True
204,18,signal_orchard,idle route poses,gesture cloth shift,oil paper,warm dialogue room,dry floor,relieved reset stance,flower-node,True
205,18,orchard_riverbend,animated dialogue keyframes,gesture cloth shift,wet wood,warm dialogue room,damp route cue,route-board reach,animation-pulse,True
206,18,central_repair_ring,idle route poses,gesture cloth shift,warm wire,warm dialogue room,dry floor,relieved reset stance,animation-pulse,True
207,18,riverbend_roofward,animated dialogue keyframes,gesture cloth shift,wet wood,cool shared-session air,damp route cue,careful pointing,animation-pulse,True
208,18,roofward_archive,animated dialogue keyframes,gesture cloth shift,warm wire,warm dialogue room,dry floor,route-board reach,flower-node,True
209,18,archive_signal,idle route poses,gesture cloth shift,oil paper,warm dialogue room,dry floor,relieved reset stance,ambient-rate,True
210,18,signal_orchard,idle route poses,map room hum,oil paper,warm dialogue room,dry floor,relieved reset stance,animation-pulse,True
211,18,orchard_riverbend,animated dialogue keyframes,gesture cloth shift,wet wood,warm dialogue room,damp route cue,route-board reach,animation-pulse,True
212,18,central_repair_ring,idle route poses,gesture cloth shift,warm wire,cool shared-session air,dry floor,relieved reset stance,flower-node,True
213,18,riverbend_roofward,animated dialogue keyframes,gesture cloth shift,wet wood,warm dialogue room,damp route cue,careful pointing,animation-pulse,True
214,18,roofward_archive,animated dialogue keyframes,gesture cloth shift,warm wire,warm dialogue room,dry floor,route-board reach,animation-pulse,True
215,18,archive_signal,idle route poses,map room hum,oil paper,cool shared-session air,dry floor,relieved reset stance,animation-pulse,True
216,19,signal_orchard,idle route poses,gesture cloth shift,oil paper,warm dialogue room,dry floor,relieved reset stance,flower-node,True
217,19,orchard_riverbend,animated dialogue keyframes,gesture cloth shift,wet wood,warm dialogue room,damp route cue,open forward lean,animation-pulse,True
218,19,central_repair_ring,idle route poses,gesture cloth shift,warm wire,warm dialogue room,dry floor,relieved reset stance,animation-pulse,True
219,19,riverbend_roofward,idle route poses,gesture cloth shift,wet wood,cool shared-session air,damp route cue,route-board reach,animation-pulse,True
220,19,roofward_archive,animated dialogue keyframes,gesture cloth shift,warm wire,warm dialogue room,dry floor,open forward lean,flower-node,True
221,19,archive_signal,idle route poses,gesture cloth shift,oil paper,warm dialogue room,dry floor,relieved reset stance,ambient-rate,True
222,19,signal_orchard,idle route poses,gesture cloth shift,oil paper,warm dialogue room,dry floor,relieved reset stance,animation-pulse,True
