tick,day,loop_id,agent,original_term,revised_term,concession_added,boundary_preserved,concession_not_erasure,revision_specificity
0,1,v18-loop-001,Keth,do not erase route warnings,do not erase route warnings; add return marker; witness ink ledger before access,return marker,0,0,0.8
54,5,v18-loop-010,Vonn,quiet recovery needs distance,quiet recovery needs distance; add return marker; witness path cord before access,return marker,1,1,0.86
55,5,v18-loop-010,Sova,no crowding while resting,no crowding while resting; add shared schedule knot; witness tally beads before access,shared schedule knot,1,0,1.0
56,5,v18-loop-010,Keth,do not erase route warnings,do not erase route warnings; add shorter turn; witness ink ledger before access,shorter turn,1,1,0.94
57,5,v18-loop-010,Melo,fair turns before tool access,fair turns before tool access; add later help; witness sap hook before access,later help,1,1,0.94
58,5,v18-loop-010,Nari,sealed notes stay sealed,sealed notes stay sealed; add public witness; witness listening shell before access,public witness,1,1,0.9
59,5,v18-loop-010,Ori,repair work needs warning,repair work needs warning; add public witness; witness ember bowl before access,public witness,1,1,0.94
60,6,v18-loop-011,Sova,no crowding while resting,no crowding while resting; add return marker; witness tally beads before access,return marker,1,1,0.74
61,6,v18-loop-011,Keth,do not erase route warnings,do not erase route warnings; add shared schedule knot; witness ink ledger before access,shared schedule knot,1,1,0.78
62,6,v18-loop-011,Melo,fair turns before tool access,fair turns before tool access; add shorter turn; witness sap hook before access,shorter turn,0,0,0.88
63,6,v18-loop-011,Nari,sealed notes stay sealed,sealed notes stay sealed; add later help; witness listening shell before access,later help,1,1,0.98
64,6,v18-loop-011,Ori,repair work needs warning,repair work needs warning; add later help; witness ember bowl before access,later help,1,1,0.82
65,6,v18-loop-011,Vonn,quiet recovery needs distance,quiet recovery needs distance; add quiet interval; witness path cord before access,quiet interval,1,1,0.86
66,6,v18-loop-012,Sova,no crowding while resting,no crowding while resting; add return marker; witness tally beads before access,return marker,1,1,0.9
67,6,v18-loop-012,Keth,do not erase route warnings,do not erase route warnings; add shared schedule knot; witness ink ledger before access,shared schedule knot,1,1,1.0
68,6,v18-loop-012,Melo,fair turns before tool access,fair turns before tool access; add shorter turn; witness sap hook before access,shorter turn,1,1,0.94
69,6,v18-loop-012,Nari,sealed notes stay sealed,sealed notes stay sealed; add later help; witness listening shell before access,later help,1,1,0.94
70,6,v18-loop-012,Ori,repair work needs warning,repair work needs warning; add later help; witness ember bowl before access,later help,1,1,1.0
71,6,v18-loop-012,Vonn,quiet recovery needs distance,quiet recovery needs distance; add quiet interval; witness path cord before access,quiet interval,1,1,0.9
72,7,v18-loop-013,Keth,do not erase route warnings,do not erase route warnings; add return marker; witness ink ledger before access,return marker,1,0,0.74
73,7,v18-loop-013,Melo,fair turns before tool access,fair turns before tool access; add shared schedule knot; witness sap hook before access,shared schedule knot,1,1,0.9
74,7,v18-loop-013,Nari,sealed notes stay sealed,sealed notes stay sealed; add shorter turn; witness listening shell before access,shorter turn,1,1,0.82
75,7,v18-loop-013,Ori,repair work needs warning,repair work needs warning; add shorter turn; witness ember bowl before access,shorter turn,1,1,0.86
76,7,v18-loop-013,Vonn,quiet recovery needs distance,quiet recovery needs distance; add public witness; witness path cord before access,public witness,1,1,0.94
77,7,v18-loop-013,Sova,no crowding while resting,no crowding while resting; add quiet interval; witness tally beads before access,quiet interval,1,1,0.98
78,7,v18-loop-014,Keth,do not erase route warnings,do not erase route warnings; add return marker; witness ink ledger before access,return marker,1,1,1.0
79,7,v18-loop-014,Melo,fair turns before tool access,fair turns before tool access; add shared schedule knot; witness sap hook before access,shared schedule knot,1,1,0.94
80,7,v18-loop-014,Nari,sealed notes stay sealed,sealed notes stay sealed; add shorter turn; witness listening shell before access,shorter turn,1,1,0.82
81,7,v18-loop-014,Ori,repair work needs warning,repair work needs warning; add shorter turn; witness ember bowl before access,shorter turn,1,1,0.86
82,7,v18-loop-014,Vonn,quiet recovery needs distance,quiet recovery needs distance; add public witness; witness path cord before access,public witness,1,1,0.9
83,7,v18-loop-014,Sova,no crowding while resting,no crowding while resting; add quiet interval; witness tally beads before access,quiet interval,1,1,0.94
84,8,v18-loop-015,Melo,fair turns before tool access,fair turns before tool access; add return marker; witness sap hook before access,return marker,1,1,0.86
85,8,v18-loop-015,Nari,sealed notes stay sealed,sealed notes stay sealed; add shared schedule knot; witness listening shell before access,shared schedule knot,1,1,0.9
86,8,v18-loop-015,Ori,repair work needs warning,repair work needs warning; add shared schedule knot; witness ember bowl before access,shared schedule knot,1,1,0.82
87,8,v18-loop-015,Vonn,quiet recovery needs distance,quiet recovery needs distance; add later help; witness path cord before access,later help,1,1,0.86
88,8,v18-loop-015,Sova,no crowding while resting,no crowding while resting; add public witness; witness tally beads before access,public witness,1,1,0.78
89,8,v18-loop-015,Keth,do not erase route warnings,do not erase route warnings; add quiet interval; witness ink ledger before access,quiet interval,1,0,0.86
90,8,v18-loop-016,Melo,fair turns before tool access,fair turns before tool access; add return marker; witness sap hook before access,return marker,1,1,1.0
91,8,v18-loop-016,Nari,sealed notes stay sealed,sealed notes stay sealed; add shared schedule knot; witness listening shell before access,shared schedule knot,1,1,1.0
92,8,v18-loop-016,Ori,repair work needs warning,repair work needs warning; add shared schedule knot; witness ember bowl before access,shared schedule knot,1,1,0.94
93,8,v18-loop-016,Vonn,quiet recovery needs distance,quiet recovery needs distance; add later help; witness path cord before access,later help,0,0,0.96
94,8,v18-loop-016,Sova,no crowding while resting,no crowding while resting; add public witness; witness tally beads before access,public witness,1,1,0.9
95,8,v18-loop-016,Keth,do not erase route warnings,do not erase route warnings; add quiet interval; witness ink ledger before access,quiet interval,1,1,1.0
96,9,v18-loop-017,Nari,sealed notes stay sealed,sealed notes stay sealed; add return marker; witness listening shell before access,return marker,1,1,0.74
97,9,v18-loop-017,Ori,repair work needs warning,repair work needs warning; add return marker; witness ember bowl before access,return marker,1,1,0.9
98,9,v18-loop-017,Vonn,quiet recovery needs distance,quiet recovery needs distance; add shorter turn; witness path cord before access,shorter turn,1,1,0.94
99,9,v18-loop-017,Sova,no crowding while resting,no crowding while resting; add later help; witness tally beads before access,later help,1,1,0.94
100,9,v18-loop-017,Keth,do not erase route warnings,do not erase route warnings; add public witness; witness ink ledger before access,public witness,1,1,0.82
101,9,v18-loop-017,Melo,fair turns before tool access,fair turns before tool access; add quiet interval; witness sap hook before access,quiet interval,1,1,0.86
102,9,v18-loop-018,Nari,sealed notes stay sealed,sealed notes stay sealed; add return marker; witness listening shell before access,return marker,1,1,1.0
103,9,v18-loop-018,Ori,repair work needs warning,repair work needs warning; add return marker; witness ember bowl before access,return marker,1,1,0.94
104,9,v18-loop-018,Vonn,quiet recovery needs distance,quiet recovery needs distance; add shorter turn; witness path cord before access,shorter turn,1,1,0.82
105,9,v18-loop-018,Sova,no crowding while resting,no crowding while resting; add later help; witness tally beads before access,later help,1,1,0.94
106,9,v18-loop-018,Keth,do not erase route warnings,do not erase route warnings; add public witness; witness ink ledger before access,public witness,1,0,0.9
107,9,v18-loop-018,Melo,fair turns before tool access,fair turns before tool access; add quiet interval; witness sap hook before access,quiet interval,1,1,1.0
108,10,v18-loop-019,Ori,repair work needs warning,repair work needs warning; add quiet interval; witness ember bowl before access,quiet interval,1,1,0.74
109,10,v18-loop-019,Vonn,quiet recovery needs distance,quiet recovery needs distance; add shared schedule knot; witness path cord before access,shared schedule knot,1,1,0.78
110,10,v18-loop-019,Sova,no crowding while resting,no crowding while resting; add shorter turn; witness tally beads before access,shorter turn,1,1,0.9
111,10,v18-loop-019,Keth,do not erase route warnings,do not erase route warnings; add later help; witness ink ledger before access,later help,1,1,0.98
112,10,v18-loop-019,Melo,fair turns before tool access,fair turns before tool access; add public witness; witness sap hook before access,public witness,1,1,0.94
113,10,v18-loop-019,Nari,sealed notes stay sealed,sealed notes stay sealed; add quiet interval; witness listening shell before access,quiet interval,1,1,0.98
114,10,v18-loop-020,Ori,repair work needs warning,repair work needs warning; add quiet interval; witness ember bowl before access,quiet interval,1,1,0.98
115,10,v18-loop-020,Vonn,quiet recovery needs distance,quiet recovery needs distance; add shared schedule knot; witness path cord before access,shared schedule knot,1,1,0.94
116,10,v18-loop-020,Sova,no crowding while resting,no crowding while resting; add shorter turn; witness tally beads before access,shorter turn,1,1,0.82
117,10,v18-loop-020,Keth,do not erase route warnings,do not erase route warnings; add later help; witness ink ledger before access,later help,1,1,0.86
118,10,v18-loop-020,Melo,fair turns before tool access,fair turns before tool access; add public witness; witness sap hook before access,public witness,1,1,1.0
119,10,v18-loop-020,Nari,sealed notes stay sealed,sealed notes stay sealed; add quiet interval; witness listening shell before access,quiet interval,1,1,1.0
120,11,v18-loop-021,Vonn,quiet recovery needs distance,quiet recovery needs distance; add return marker; witness path cord before access,return marker,1,1,0.74
121,11,v18-loop-021,Sova,no crowding while resting,no crowding while resting; add shared schedule knot; witness tally beads before access,shared schedule knot,1,1,0.78
122,11,v18-loop-021,Keth,do not erase route warnings,do not erase route warnings; add shorter turn; witness ink ledger before access,shorter turn,1,1,0.78
123,11,v18-loop-021,Melo,fair turns before tool access,fair turns before tool access; add later help; witness sap hook before access,later help,1,0,0.86
124,11,v18-loop-021,Nari,sealed notes stay sealed,sealed notes stay sealed; add public witness; witness listening shell before access,public witness,0,0,0.92
125,11,v18-loop-021,Ori,repair work needs warning,repair work needs warning; add public witness; witness ember bowl before access,public witness,1,1,0.86
126,11,v18-loop-022,Vonn,quiet recovery needs distance,quiet recovery needs distance; add return marker; witness path cord before access,return marker,1,1,1.0
127,11,v18-loop-022,Sova,no crowding while resting,no crowding while resting; add shared schedule knot; witness tally beads before access,shared schedule knot,1,1,0.94
128,11,v18-loop-022,Keth,do not erase route warnings,do not erase route warnings; add shorter turn; witness ink ledger before access,shorter turn,1,1,0.9
129,11,v18-loop-022,Melo,fair turns before tool access,fair turns before tool access; add later help; witness sap hook before access,later help,1,1,0.86
130,11,v18-loop-022,Nari,sealed notes stay sealed,sealed notes stay sealed; add public witness; witness listening shell before access,public witness,1,1,1.0
131,11,v18-loop-022,Ori,repair work needs warning,repair work needs warning; add public witness; witness ember bowl before access,public witness,1,1,1.0
132,12,v18-loop-023,Sova,no crowding while resting,no crowding while resting; add return marker; witness tally beads before access,return marker,1,1,0.74
133,12,v18-loop-023,Keth,do not erase route warnings,do not erase route warnings; add shared schedule knot; witness ink ledger before access,shared schedule knot,1,1,0.9
134,12,v18-loop-023,Melo,fair turns before tool access,fair turns before tool access; add shorter turn; witness sap hook before access,shorter turn,1,1,0.82
135,12,v18-loop-023,Nari,sealed notes stay sealed,sealed notes stay sealed; add later help; witness listening shell before access,later help,1,1,0.86
136,12,v18-loop-023,Ori,repair work needs warning,repair work needs warning; add later help; witness ember bowl before access,later help,1,1,0.82
137,12,v18-loop-023,Vonn,quiet recovery needs distance,quiet recovery needs distance; add quiet interval; witness path cord before access,quiet interval,1,1,0.86
138,12,v18-loop-024,Sova,no crowding while resting,no crowding while resting; add return marker; witness tally beads before access,return marker,1,1,1.0
139,12,v18-loop-024,Keth,do not erase route warnings,do not erase route warnings; add shared schedule knot; witness ink ledger before access,shared schedule knot,1,1,0.9
140,12,v18-loop-024,Melo,fair turns before tool access,fair turns before tool access; add shorter turn; witness sap hook before access,shorter turn,1,0,1.0
141,12,v18-loop-024,Nari,sealed notes stay sealed,sealed notes stay sealed; add later help; witness listening shell before access,later help,1,1,0.86
142,12,v18-loop-024,Ori,repair work needs warning,repair work needs warning; add later help; witness ember bowl before access,later help,1,1,0.9
143,12,v18-loop-024,Vonn,quiet recovery needs distance,quiet recovery needs distance; add quiet interval; witness path cord before access,quiet interval,1,1,1.0
144,13,v18-loop-025,Keth,do not erase route warnings,do not erase route warnings; add return marker; witness ink ledger before access,return marker,1,1,0.74
145,13,v18-loop-025,Melo,fair turns before tool access,fair turns before tool access; add shared schedule knot; witness sap hook before access,shared schedule knot,1,1,0.9
146,13,v18-loop-025,Nari,sealed notes stay sealed,sealed notes stay sealed; add shorter turn; witness listening shell before access,shorter turn,1,1,0.94
147,13,v18-loop-025,Ori,repair work needs warning,repair work needs warning; add shorter turn; witness ember bowl before access,shorter turn,1,1,1.0
148,13,v18-loop-025,Vonn,quiet recovery needs distance,quiet recovery needs distance; add public witness; witness path cord before access,public witness,1,1,0.94
149,13,v18-loop-025,Sova,no crowding while resting,no crowding while resting; add quiet interval; witness tally beads before access,quiet interval,1,1,0.94
150,13,v18-loop-026,Keth,do not erase route warnings,do not erase route warnings; add return marker; witness ink ledger before access,return marker,1,1,0.9
151,13,v18-loop-026,Melo,fair turns before tool access,fair turns before tool access; add shared schedule knot; witness sap hook before access,shared schedule knot,1,1,1.0
152,13,v18-loop-026,Nari,sealed notes stay sealed,sealed notes stay sealed; add shorter turn; witness listening shell before access,shorter turn,1,1,0.82
153,13,v18-loop-026,Ori,repair work needs warning,repair work needs warning; add shorter turn; witness ember bowl before access,shorter turn,1,1,0.86
154,13,v18-loop-026,Vonn,quiet recovery needs distance,quiet recovery needs distance; add public witness; witness path cord before access,public witness,1,1,1.0
155,13,v18-loop-026,Sova,no crowding while resting,no crowding while resting; add quiet interval; witness tally beads before access,quiet interval,0,0,0.92
156,14,v18-loop-027,Melo,fair turns before tool access,fair turns before tool access; add return marker; witness sap hook before access,return marker,1,1,0.7
157,14,v18-loop-027,Nari,sealed notes stay sealed,sealed notes stay sealed; add shared schedule knot; witness listening shell before access,shared schedule knot,1,0,0.78
158,14,v18-loop-027,Ori,repair work needs warning,repair work needs warning; add shared schedule knot; witness ember bowl before access,shared schedule knot,1,1,0.82
159,14,v18-loop-027,Vonn,quiet recovery needs distance,quiet recovery needs distance; add later help; witness path cord before access,later help,1,1,0.98
160,14,v18-loop-027,Sova,no crowding while resting,no crowding while resting; add public witness; witness tally beads before access,public witness,1,1,0.82
161,14,v18-loop-027,Keth,do not erase route warnings,do not erase route warnings; add quiet interval; witness ink ledger before access,quiet interval,1,1,0.98
162,14,v18-loop-028,Melo,fair turns before tool access,fair turns before tool access; add return marker; witness sap hook before access,return marker,1,1,1.0
163,14,v18-loop-028,Nari,sealed notes stay sealed,sealed notes stay sealed; add shared schedule knot; witness listening shell before access,shared schedule knot,1,1,1.0
164,14,v18-loop-028,Ori,repair work needs warning,repair work needs warning; add shared schedule knot; witness ember bowl before access,shared schedule knot,1,1,0.82
165,14,v18-loop-028,Vonn,quiet recovery needs distance,quiet recovery needs distance; add later help; witness path cord before access,later help,1,1,0.94
166,14,v18-loop-028,Sova,no crowding while resting,no crowding while resting; add public witness; witness tally beads before access,public witness,1,1,0.9
167,14,v18-loop-028,Keth,do not erase route warnings,do not erase route warnings; add quiet interval; witness ink ledger before access,quiet interval,1,1,0.94
168,15,v18-loop-029,Nari,sealed notes stay sealed,sealed notes stay sealed; add return marker; witness listening shell before access,return marker,1,1,0.86
169,15,v18-loop-029,Ori,repair work needs warning,repair work needs warning; add return marker; witness ember bowl before access,return marker,1,1,0.86
170,15,v18-loop-029,Vonn,quiet recovery needs distance,quiet recovery needs distance; add shorter turn; witness path cord before access,shorter turn,1,1,0.82
171,15,v18-loop-029,Sova,no crowding while resting,no crowding while resting; add later help; witness tally beads before access,later help,1,1,0.94
172,15,v18-loop-029,Keth,do not erase route warnings,do not erase route warnings; add public witness; witness ink ledger before access,public witness,1,1,0.94
173,15,v18-loop-029,Melo,fair turns before tool access,fair turns before tool access; add quiet interval; witness sap hook before access,quiet interval,1,1,0.82
174,15,v18-loop-030,Nari,sealed notes stay sealed,sealed notes stay sealed; add return marker; witness listening shell before access,return marker,1,0,0.9
175,15,v18-loop-030,Ori,repair work needs warning,repair work needs warning; add return marker; witness ember bowl before access,return marker,1,1,1.0
176,15,v18-loop-030,Vonn,quiet recovery needs distance,quiet recovery needs distance; add shorter turn; witness path cord before access,shorter turn,1,1,0.9
177,15,v18-loop-030,Sova,no crowding while resting,no crowding while resting; add later help; witness tally beads before access,later help,1,1,0.98
178,15,v18-loop-030,Keth,do not erase route warnings,do not erase route warnings; add public witness; witness ink ledger before access,public witness,1,1,0.9
179,15,v18-loop-030,Melo,fair turns before tool access,fair turns before tool access; add quiet interval; witness sap hook before access,quiet interval,1,1,0.94
180,16,v18-loop-031,Ori,repair work needs warning,repair work needs warning; add quiet interval; witness ember bowl before access,quiet interval,1,1,0.86
181,16,v18-loop-031,Vonn,quiet recovery needs distance,quiet recovery needs distance; add shared schedule knot; witness path cord before access,shared schedule knot,1,1,0.78
182,16,v18-loop-031,Sova,no crowding while resting,no crowding while resting; add shorter turn; witness tally beads before access,shorter turn,1,1,0.94
183,16,v18-loop-031,Keth,do not erase route warnings,do not erase route warnings; add later help; witness ink ledger before access,later help,1,1,0.86
184,16,v18-loop-031,Melo,fair turns before tool access,fair turns before tool access; add public witness; witness sap hook before access,public witness,1,1,0.82
185,16,v18-loop-031,Nari,sealed notes stay sealed,sealed notes stay sealed; add quiet interval; witness listening shell before access,quiet interval,1,1,0.98
186,16,v18-loop-032,Ori,repair work needs warning,repair work needs warning; add quiet interval; witness ember bowl before access,quiet interval,0,0,0.88
187,16,v18-loop-032,Vonn,quiet recovery needs distance,quiet recovery needs distance; add shared schedule knot; witness path cord before access,shared schedule knot,1,1,1.0
188,16,v18-loop-032,Sova,no crowding while resting,no crowding while resting; add shorter turn; witness tally beads before access,shorter turn,1,1,0.94
189,16,v18-loop-032,Keth,do not erase route warnings,do not erase route warnings; add later help; witness ink ledger before access,later help,1,1,0.98
190,16,v18-loop-032,Melo,fair turns before tool access,fair turns before tool access; add public witness; witness sap hook before access,public witness,1,1,0.94
191,16,v18-loop-032,Nari,sealed notes stay sealed,sealed notes stay sealed; add quiet interval; witness listening shell before access,quiet interval,1,0,0.94
192,17,v18-loop-033,Vonn,quiet recovery needs distance,quiet recovery needs distance; add return marker; witness path cord before access,return marker,1,1,0.74
193,17,v18-loop-033,Sova,no crowding while resting,no crowding while resting; add shared schedule knot; witness tally beads before access,shared schedule knot,1,1,0.78
194,17,v18-loop-033,Keth,do not erase route warnings,do not erase route warnings; add shorter turn; witness ink ledger before access,shorter turn,1,1,0.82
195,17,v18-loop-033,Melo,fair turns before tool access,fair turns before tool access; add later help; witness sap hook before access,later help,1,1,0.86
196,17,v18-loop-033,Nari,sealed notes stay sealed,sealed notes stay sealed; add public witness; witness listening shell before access,public witness,1,1,0.94
197,17,v18-loop-033,Ori,repair work needs warning,repair work needs warning; add public witness; witness ember bowl before access,public witness,1,1,0.98
198,17,v18-loop-034,Vonn,quiet recovery needs distance,quiet recovery needs distance; add return marker; witness path cord before access,return marker,1,1,1.0
199,17,v18-loop-034,Sova,no crowding while resting,no crowding while resting; add shared schedule knot; witness tally beads before access,shared schedule knot,1,1,1.0
200,17,v18-loop-034,Keth,do not erase route warnings,do not erase route warnings; add shorter turn; witness ink ledger before access,shorter turn,1,1,0.82
201,17,v18-loop-034,Melo,fair turns before tool access,fair turns before tool access; add later help; witness sap hook before access,later help,1,1,0.98
202,17,v18-loop-034,Nari,sealed notes stay sealed,sealed notes stay sealed; add public witness; witness listening shell before access,public witness,1,1,0.9
203,17,v18-loop-034,Ori,repair work needs warning,repair work needs warning; add public witness; witness ember bowl before access,public witness,1,1,1.0
204,18,v18-loop-035,Sova,no crowding while resting,no crowding while resting; add return marker; witness tally beads before access,return marker,1,1,0.74
205,18,v18-loop-035,Keth,do not erase route warnings,do not erase route warnings; add shared schedule knot; witness ink ledger before access,shared schedule knot,1,1,0.86
206,18,v18-loop-035,Melo,fair turns before tool access,fair turns before tool access; add shorter turn; witness sap hook before access,shorter turn,1,1,0.94
207,18,v18-loop-035,Nari,sealed notes stay sealed,sealed notes stay sealed; add later help; witness listening shell before access,later help,1,1,0.9
208,18,v18-loop-035,Ori,repair work needs warning,repair work needs warning; add later help; witness ember bowl before access,later help,1,0,0.82
209,18,v18-loop-035,Vonn,quiet recovery needs distance,quiet recovery needs distance; add quiet interval; witness path cord before access,quiet interval,1,1,0.86
210,18,v18-loop-036,Sova,no crowding while resting,no crowding while resting; add return marker; witness tally beads before access,return marker,1,1,1.0
211,18,v18-loop-036,Keth,do not erase route warnings,do not erase route warnings; add shared schedule knot; witness ink ledger before access,shared schedule knot,1,1,1.0
212,18,v18-loop-036,Melo,fair turns before tool access,fair turns before tool access; add shorter turn; witness sap hook before access,shorter turn,1,1,0.94
213,18,v18-loop-036,Nari,sealed notes stay sealed,sealed notes stay sealed; add later help; witness listening shell before access,later help,1,1,0.86
214,18,v18-loop-036,Ori,repair work needs warning,repair work needs warning; add later help; witness ember bowl before access,later help,1,1,0.9
215,18,v18-loop-036,Vonn,quiet recovery needs distance,quiet recovery needs distance; add quiet interval; witness path cord before access,quiet interval,1,1,0.94
216,19,v18-loop-037,Keth,do not erase route warnings,do not erase route warnings; add return marker; witness ink ledger before access,return marker,1,1,0.86
217,19,v18-loop-037,Melo,fair turns before tool access,fair turns before tool access; add shared schedule knot; witness sap hook before access,shared schedule knot,0,0,0.88
