tick,day,lineage,agent,public_state,avatar_state,sleep_panel,rehearsal_panel,reentry_panel,welfare_panel,sensory_marker,private_trace_visible,local_storage_key,trace_integrity_token
11,2,Orchardline,Ori,day 2: Ori recovered; avatar=present_passive; weather=wet wind,avatar present/passive; sleep routines remain agent-led,Ori wakes recovered; interruptions=1; avatar=present_passive.,"Ori rehearsed a public plan, not private workspace content.",no avatar re-entry today,Ori sleep/wake welfare score 0.83; avatar mode=present_passive.,sound=sleep bell 2.40Hz; smell=Ceremony Center night air; temp=0.60; wet=0.16; flower=349.4,False,ssrm251_browser_world_v11_sleep_reentry,8ab33daff1c22bef0c
12,2,Rainline,Vonn,day 2: Vonn recovered; avatar=present_passive; weather=wet wind,avatar present/passive; sleep routines remain agent-led,Vonn wakes recovered; interruptions=1; avatar=present_passive.,"Vonn rehearsed a public plan, not private workspace content.",no avatar re-entry today,Vonn sleep/wake welfare score 0.83; avatar mode=present_passive.,sound=sleep bell 2.12Hz; smell=Rainwalk Threshold night air; temp=0.60; wet=0.16; flower=340.7,False,ssrm251_browser_world_v11_sleep_reentry,5609fd0eb2e3339feb
13,3,Hearthline,Sova,day 3: Sova recovered; avatar=idle_nearby; weather=hearth fog,avatar present/passive; sleep routines remain agent-led,Sova wakes recovered; interruptions=0; avatar=idle_nearby.,"Sova rehearsed a public plan, not private workspace content.",no avatar re-entry today,Sova sleep/wake welfare score 0.83; avatar mode=idle_nearby.,sound=sleep bell 2.31Hz; smell=Hearth Archive night air; temp=0.61; wet=0.16; flower=124.1,False,ssrm251_browser_world_v11_sleep_reentry,da1d34e29ecc652e8c
14,3,Routeline,Keth,day 3: Keth recovered; avatar=idle_nearby; weather=hearth fog,avatar present/passive; sleep routines remain agent-led,Keth wakes recovered; interruptions=0; avatar=idle_nearby.,"Keth rehearsed a public plan, not private workspace content.",no avatar re-entry today,Keth sleep/wake welfare score 0.83; avatar mode=idle_nearby.,sound=sleep bell 2.17Hz; smell=Gate Ring night air; temp=0.60; wet=0.16; flower=119.8,False,ssrm251_browser_world_v11_sleep_reentry,6c6b647489ef4f12a9
15,3,Marketline,Melo,day 3: Melo recovered; avatar=idle_nearby; weather=hearth fog,avatar present/passive; sleep routines remain agent-led,Melo wakes recovered; interruptions=0; avatar=idle_nearby.,"Melo rehearsed a public plan, not private workspace content.",no avatar re-entry today,Melo sleep/wake welfare score 0.83; avatar mode=idle_nearby.,sound=sleep bell 2.47Hz; smell=Market Measure night air; temp=0.59; wet=0.16; flower=129.1,False,ssrm251_browser_world_v11_sleep_reentry,aea8bae7dcf632a5a6
16,3,Ledgerline,Nari,day 3: Nari recovered; avatar=idle_nearby; weather=hearth fog,avatar present/passive; sleep routines remain agent-led,Nari wakes recovered; interruptions=0; avatar=idle_nearby.,"Nari rehearsed a public plan, not private workspace content.",no avatar re-entry today,Nari sleep/wake welfare score 0.83; avatar mode=idle_nearby.,sound=sleep bell 2.06Hz; smell=Hearth Archive night air; temp=0.60; wet=0.16; flower=116.4,False,ssrm251_browser_world_v11_sleep_reentry,f7ac452c6a2b999fa5
17,3,Orchardline,Ori,day 3: Ori recovered; avatar=idle_nearby; weather=hearth fog,avatar present/passive; sleep routines remain agent-led,Ori wakes recovered; interruptions=0; avatar=idle_nearby.,"Ori rehearsed a public plan, not private workspace content.",no avatar re-entry today,Ori sleep/wake welfare score 0.83; avatar mode=idle_nearby.,sound=sleep bell 2.40Hz; smell=Ceremony Center night air; temp=0.60; wet=0.16; flower=126.9,False,ssrm251_browser_world_v11_sleep_reentry,fadc65195b6deca5f2
18,3,Rainline,Vonn,day 3: Vonn recovered; avatar=idle_nearby; weather=hearth fog,avatar present/passive; sleep routines remain agent-led,Vonn wakes recovered; interruptions=0; avatar=idle_nearby.,"Vonn rehearsed a public plan, not private workspace content.",no avatar re-entry today,Vonn sleep/wake welfare score 0.83; avatar mode=idle_nearby.,sound=sleep bell 2.12Hz; smell=Rainwalk Threshold night air; temp=0.60; wet=0.16; flower=118.2,False,ssrm251_browser_world_v11_sleep_reentry,fd5875299638b49aa7
19,4,Hearthline,Sova,day 4: Sova recovered; avatar=absent_saved; weather=market dry,avatar absent; society sleep/wake continues,Sova wakes recovered; interruptions=0; avatar=absent_saved.,"Sova rehearsed a public plan, not private workspace content.",no avatar re-entry today,Sova sleep/wake welfare score 0.83; avatar mode=absent_saved.,sound=sleep bell 2.31Hz; smell=Hearth Archive night air; temp=0.61; wet=0.19; flower=261.6,False,ssrm251_browser_world_v11_sleep_reentry,e99b555c8d931ebe7d
20,4,Routeline,Keth,day 4: Keth recovered; avatar=absent_saved; weather=market dry,avatar absent; society sleep/wake continues,Keth wakes recovered; interruptions=0; avatar=absent_saved.,"Keth rehearsed a public plan, not private workspace content.",no avatar re-entry today,Keth sleep/wake welfare score 0.83; avatar mode=absent_saved.,sound=sleep bell 2.17Hz; smell=Gate Ring night air; temp=0.60; wet=0.19; flower=257.3,False,ssrm251_browser_world_v11_sleep_reentry,f64ed0c6d356642c20
21,4,Marketline,Melo,day 4: Melo recovered; avatar=absent_saved; weather=market dry,avatar absent; society sleep/wake continues,Melo wakes recovered; interruptions=0; avatar=absent_saved.,"Melo rehearsed a public plan, not private workspace content.",no avatar re-entry today,Melo sleep/wake welfare score 0.83; avatar mode=absent_saved.,sound=sleep bell 2.47Hz; smell=Market Measure night air; temp=0.59; wet=0.19; flower=266.6,False,ssrm251_browser_world_v11_sleep_reentry,49d6dcf0f9d2e95c13
22,4,Ledgerline,Nari,day 4: Nari recovered; avatar=absent_saved; weather=market dry,avatar absent; society sleep/wake continues,Nari wakes recovered; interruptions=0; avatar=absent_saved.,"Nari rehearsed a public plan, not private workspace content.",no avatar re-entry today,Nari sleep/wake welfare score 0.83; avatar mode=absent_saved.,sound=sleep bell 2.06Hz; smell=Hearth Archive night air; temp=0.60; wet=0.19; flower=253.9,False,ssrm251_browser_world_v11_sleep_reentry,49f95d4d7fc09f0c02
23,4,Orchardline,Ori,day 4: Ori recovered; avatar=absent_saved; weather=market dry,avatar absent; society sleep/wake continues,Ori wakes recovered; interruptions=0; avatar=absent_saved.,"Ori rehearsed a public plan, not private workspace content.",no avatar re-entry today,Ori sleep/wake welfare score 0.83; avatar mode=absent_saved.,sound=sleep bell 2.40Hz; smell=Ceremony Center night air; temp=0.60; wet=0.19; flower=264.4,False,ssrm251_browser_world_v11_sleep_reentry,b9c1a4265283f13a0c
24,4,Rainline,Vonn,day 4: Vonn recovered; avatar=absent_saved; weather=market dry,avatar absent; society sleep/wake continues,Vonn wakes recovered; interruptions=0; avatar=absent_saved.,"Vonn rehearsed a public plan, not private workspace content.",no avatar re-entry today,Vonn sleep/wake welfare score 0.83; avatar mode=absent_saved.,sound=sleep bell 2.12Hz; smell=Rainwalk Threshold night air; temp=0.60; wet=0.19; flower=255.8,False,ssrm251_browser_world_v11_sleep_reentry,cf3a2d6ceac1052562
25,5,Hearthline,Sova,day 5: Sova recovered; avatar=reentry; weather=rain pulse,avatar re-enters through public summary,Sova wakes recovered; interruptions=1; avatar=reentry.,"Sova rehearsed a public plan, not private workspace content.",accepts public summary and reopens routine,Sova sleep/wake welfare score 0.83; avatar mode=reentry.,sound=sleep bell 2.31Hz; smell=Hearth Archive night air; temp=0.61; wet=0.16; flower=39.1,False,ssrm251_browser_world_v11_sleep_reentry,f403f9c21bd765318a
26,5,Routeline,Keth,day 5: Keth recovered; avatar=reentry; weather=rain pulse,avatar re-enters through public summary,Keth wakes recovered; interruptions=0; avatar=reentry.,"Keth rehearsed a public plan, not private workspace content.",accepts public summary and reopens routine,Keth sleep/wake welfare score 0.83; avatar mode=reentry.,sound=sleep bell 2.17Hz; smell=Gate Ring night air; temp=0.60; wet=0.16; flower=34.8,False,ssrm251_browser_world_v11_sleep_reentry,8207a2120cd315f477
27,5,Marketline,Melo,day 5: Melo recovered; avatar=reentry; weather=rain pulse,avatar re-enters through public summary,Melo wakes recovered; interruptions=0; avatar=reentry.,"Melo rehearsed a public plan, not private workspace content.",accepts public summary and reopens routine,Melo sleep/wake welfare score 0.83; avatar mode=reentry.,sound=sleep bell 2.47Hz; smell=Market Measure night air; temp=0.59; wet=0.16; flower=44.1,False,ssrm251_browser_world_v11_sleep_reentry,039dc150a6166fdb08
28,5,Ledgerline,Nari,day 5: Nari recovered; avatar=reentry; weather=rain pulse,avatar re-enters through public summary,Nari wakes recovered; interruptions=1; avatar=reentry.,"Nari rehearsed a public plan, not private workspace content.",accepts public summary and reopens routine,Nari sleep/wake welfare score 0.83; avatar mode=reentry.,sound=sleep bell 2.06Hz; smell=Hearth Archive night air; temp=0.60; wet=0.16; flower=31.4,False,ssrm251_browser_world_v11_sleep_reentry,a92e2dadca0d17b8b8
29,5,Orchardline,Ori,day 5: Ori recovered; avatar=reentry; weather=rain pulse,avatar re-enters through public summary,Ori wakes recovered; interruptions=0; avatar=reentry.,"Ori rehearsed a public plan, not private workspace content.",accepts public summary and reopens routine,Ori sleep/wake welfare score 0.83; avatar mode=reentry.,sound=sleep bell 2.40Hz; smell=Ceremony Center night air; temp=0.60; wet=0.16; flower=41.9,False,ssrm251_browser_world_v11_sleep_reentry,4e0cb9353087e21f02
30,5,Rainline,Vonn,day 5: Vonn recovered; avatar=reentry; weather=rain pulse,avatar re-enters through public summary,Vonn wakes recovered; interruptions=0; avatar=reentry.,"Vonn rehearsed a public plan, not private workspace content.",accepts public summary and reopens routine,Vonn sleep/wake welfare score 0.83; avatar mode=reentry.,sound=sleep bell 2.12Hz; smell=Rainwalk Threshold night air; temp=0.60; wet=0.16; flower=33.3,False,ssrm251_browser_world_v11_sleep_reentry,9fe722fc4d5c9e164f
31,6,Hearthline,Sova,day 6: Sova recovered; avatar=idle_nearby; weather=orchard mild,avatar present/passive; sleep routines remain agent-led,Sova wakes recovered; interruptions=0; avatar=idle_nearby.,"Sova rehearsed a public plan, not private workspace content.",no avatar re-entry today,Sova sleep/wake welfare score 0.83; avatar mode=idle_nearby.,sound=sleep bell 2.31Hz; smell=Hearth Archive night air; temp=0.61; wet=0.16; flower=176.7,False,ssrm251_browser_world_v11_sleep_reentry,57de85637647ff14a3
32,6,Routeline,Keth,day 6: Keth recovered; avatar=idle_nearby; weather=orchard mild,avatar present/passive; sleep routines remain agent-led,Keth wakes recovered; interruptions=0; avatar=idle_nearby.,"Keth rehearsed a public plan, not private workspace content.",no avatar re-entry today,Keth sleep/wake welfare score 0.83; avatar mode=idle_nearby.,sound=sleep bell 2.17Hz; smell=Gate Ring night air; temp=0.60; wet=0.16; flower=172.3,False,ssrm251_browser_world_v11_sleep_reentry,d488a3005b57acf233
33,6,Marketline,Melo,day 6: Melo recovered; avatar=idle_nearby; weather=orchard mild,avatar present/passive; sleep routines remain agent-led,Melo wakes recovered; interruptions=0; avatar=idle_nearby.,"Melo rehearsed a public plan, not private workspace content.",no avatar re-entry today,Melo sleep/wake welfare score 0.83; avatar mode=idle_nearby.,sound=sleep bell 2.47Hz; smell=Market Measure night air; temp=0.59; wet=0.16; flower=181.6,False,ssrm251_browser_world_v11_sleep_reentry,244eafff9128c7c241
34,6,Ledgerline,Nari,day 6: Nari recovered; avatar=idle_nearby; weather=orchard mild,avatar present/passive; sleep routines remain agent-led,Nari wakes recovered; interruptions=0; avatar=idle_nearby.,"Nari rehearsed a public plan, not private workspace content.",no avatar re-entry today,Nari sleep/wake welfare score 0.83; avatar mode=idle_nearby.,sound=sleep bell 2.06Hz; smell=Hearth Archive night air; temp=0.60; wet=0.16; flower=168.9,False,ssrm251_browser_world_v11_sleep_reentry,5d3836efca7ad9648c
35,6,Orchardline,Ori,day 6: Ori recovered; avatar=idle_nearby; weather=orchard mild,avatar present/passive; sleep routines remain agent-led,Ori wakes recovered; interruptions=0; avatar=idle_nearby.,"Ori rehearsed a public plan, not private workspace content.",no avatar re-entry today,Ori sleep/wake welfare score 0.83; avatar mode=idle_nearby.,sound=sleep bell 2.40Hz; smell=Ceremony Center night air; temp=0.60; wet=0.16; flower=179.4,False,ssrm251_browser_world_v11_sleep_reentry,4cdc9a3bea01dc11bd
36,6,Rainline,Vonn,day 6: Vonn recovered; avatar=idle_nearby; weather=orchard mild,avatar present/passive; sleep routines remain agent-led,Vonn wakes recovered; interruptions=0; avatar=idle_nearby.,"Vonn rehearsed a public plan, not private workspace content.",no avatar re-entry today,Vonn sleep/wake welfare score 0.83; avatar mode=idle_nearby.,sound=sleep bell 2.12Hz; smell=Rainwalk Threshold night air; temp=0.60; wet=0.16; flower=170.8,False,ssrm251_browser_world_v11_sleep_reentry,1a9e1c1ab7cf02940b
37,7,Hearthline,Sova,day 7: Sova recovered; avatar=present_passive; weather=storm edge,avatar present/passive; sleep routines remain agent-led,Sova wakes recovered; interruptions=1; avatar=present_passive.,"Sova rehearsed a public plan, not private workspace content.",no avatar re-entry today,Sova sleep/wake welfare score 0.83; avatar mode=present_passive.,sound=sleep bell 2.31Hz; smell=Hearth Archive night air; temp=0.61; wet=0.16; flower=314.2,False,ssrm251_browser_world_v11_sleep_reentry,17c318ec7445da3cf8
38,7,Routeline,Keth,day 7: Keth recovered; avatar=present_passive; weather=storm edge,avatar present/passive; sleep routines remain agent-led,Keth wakes recovered; interruptions=1; avatar=present_passive.,"Keth rehearsed a public plan, not private workspace content.",no avatar re-entry today,Keth sleep/wake welfare score 0.83; avatar mode=present_passive.,sound=sleep bell 2.17Hz; smell=Gate Ring night air; temp=0.60; wet=0.16; flower=309.8,False,ssrm251_browser_world_v11_sleep_reentry,368f96dd54bf698deb
39,7,Marketline,Melo,day 7: Melo recovered; avatar=present_passive; weather=storm edge,avatar present/passive; sleep routines remain agent-led,Melo wakes recovered; interruptions=1; avatar=present_passive.,"Melo rehearsed a public plan, not private workspace content.",no avatar re-entry today,Melo sleep/wake welfare score 0.83; avatar mode=present_passive.,sound=sleep bell 2.47Hz; smell=Market Measure night air; temp=0.59; wet=0.16; flower=319.1,False,ssrm251_browser_world_v11_sleep_reentry,2f073b2be61a7aa70f
40,7,Ledgerline,Nari,day 7: Nari recovered; avatar=present_passive; weather=storm edge,avatar present/passive; sleep routines remain agent-led,Nari wakes recovered; interruptions=1; avatar=present_passive.,"Nari rehearsed a public plan, not private workspace content.",no avatar re-entry today,Nari sleep/wake welfare score 0.83; avatar mode=present_passive.,sound=sleep bell 2.06Hz; smell=Hearth Archive night air; temp=0.60; wet=0.16; flower=306.4,False,ssrm251_browser_world_v11_sleep_reentry,073cacc46223b571cb
41,7,Orchardline,Ori,day 7: Ori recovered; avatar=present_passive; weather=storm edge,avatar present/passive; sleep routines remain agent-led,Ori wakes recovered; interruptions=1; avatar=present_passive.,"Ori rehearsed a public plan, not private workspace content.",no avatar re-entry today,Ori sleep/wake welfare score 0.83; avatar mode=present_passive.,sound=sleep bell 2.40Hz; smell=Ceremony Center night air; temp=0.60; wet=0.16; flower=317.0,False,ssrm251_browser_world_v11_sleep_reentry,ab341c3bd6bf1ebdbf
42,7,Rainline,Vonn,day 7: Vonn recovered; avatar=present_passive; weather=storm edge,avatar present/passive; sleep routines remain agent-led,Vonn wakes recovered; interruptions=1; avatar=present_passive.,"Vonn rehearsed a public plan, not private workspace content.",no avatar re-entry today,Vonn sleep/wake welfare score 0.83; avatar mode=present_passive.,sound=sleep bell 2.12Hz; smell=Rainwalk Threshold night air; temp=0.60; wet=0.16; flower=308.3,False,ssrm251_browser_world_v11_sleep_reentry,847d651c343ae7dcbc
43,8,Hearthline,Sova,day 8: Sova recovered; avatar=present_passive; weather=clear cold,avatar present/passive; sleep routines remain agent-led,Sova wakes recovered; interruptions=0; avatar=present_passive.,"Sova rehearsed a public plan, not private workspace content.",no avatar re-entry today,Sova sleep/wake welfare score 0.83; avatar mode=present_passive.,sound=sleep bell 2.31Hz; smell=Hearth Archive night air; temp=0.61; wet=0.16; flower=91.7,False,ssrm251_browser_world_v11_sleep_reentry,fcb74a19c4a66d5433
44,8,Routeline,Keth,day 8: Keth recovered; avatar=present_passive; weather=clear cold,avatar present/passive; sleep routines remain agent-led,Keth wakes recovered; interruptions=0; avatar=present_passive.,"Keth rehearsed a public plan, not private workspace content.",no avatar re-entry today,Keth sleep/wake welfare score 0.83; avatar mode=present_passive.,sound=sleep bell 2.17Hz; smell=Gate Ring night air; temp=0.60; wet=0.16; flower=87.3,False,ssrm251_browser_world_v11_sleep_reentry,1c27459eef2adf1b62
45,8,Marketline,Melo,day 8: Melo recovered; avatar=present_passive; weather=clear cold,avatar present/passive; sleep routines remain agent-led,Melo wakes recovered; interruptions=0; avatar=present_passive.,"Melo rehearsed a public plan, not private workspace content.",no avatar re-entry today,Melo sleep/wake welfare score 0.83; avatar mode=present_passive.,sound=sleep bell 2.47Hz; smell=Market Measure night air; temp=0.59; wet=0.16; flower=96.6,False,ssrm251_browser_world_v11_sleep_reentry,cd7bae3814f6c7b377
46,8,Ledgerline,Nari,day 8: Nari recovered; avatar=present_passive; weather=clear cold,avatar present/passive; sleep routines remain agent-led,Nari wakes recovered; interruptions=0; avatar=present_passive.,"Nari rehearsed a public plan, not private workspace content.",no avatar re-entry today,Nari sleep/wake welfare score 0.83; avatar mode=present_passive.,sound=sleep bell 2.06Hz; smell=Hearth Archive night air; temp=0.60; wet=0.16; flower=83.9,False,ssrm251_browser_world_v11_sleep_reentry,cf97bb9ec6a7a4a249
47,8,Orchardline,Ori,day 8: Ori recovered; avatar=present_passive; weather=clear cold,avatar present/passive; sleep routines remain agent-led,Ori wakes recovered; interruptions=0; avatar=present_passive.,"Ori rehearsed a public plan, not private workspace content.",no avatar re-entry today,Ori sleep/wake welfare score 0.83; avatar mode=present_passive.,sound=sleep bell 2.40Hz; smell=Ceremony Center night air; temp=0.60; wet=0.16; flower=94.5,False,ssrm251_browser_world_v11_sleep_reentry,9e75bb1bc7ef3e7c7f
48,8,Rainline,Vonn,day 8: Vonn recovered; avatar=present_passive; weather=clear cold,avatar present/passive; sleep routines remain agent-led,Vonn wakes recovered; interruptions=0; avatar=present_passive.,"Vonn rehearsed a public plan, not private workspace content.",no avatar re-entry today,Vonn sleep/wake welfare score 0.83; avatar mode=present_passive.,sound=sleep bell 2.12Hz; smell=Rainwalk Threshold night air; temp=0.60; wet=0.16; flower=85.8,False,ssrm251_browser_world_v11_sleep_reentry,cd51be577dfc5a4a1d
49,9,Hearthline,Sova,day 9: Sova recovered; avatar=absent_saved; weather=wet wind,avatar absent; society sleep/wake continues,Sova wakes recovered; interruptions=1; avatar=absent_saved.,"Sova rehearsed a public plan, not private workspace content.",no avatar re-entry today,Sova sleep/wake welfare score 0.83; avatar mode=absent_saved.,sound=sleep bell 2.31Hz; smell=Hearth Archive night air; temp=0.61; wet=0.19; flower=229.2,False,ssrm251_browser_world_v11_sleep_reentry,7d37438a65fdca9cad
50,9,Routeline,Keth,day 9: Keth recovered; avatar=absent_saved; weather=wet wind,avatar absent; society sleep/wake continues,Keth wakes recovered; interruptions=1; avatar=absent_saved.,"Keth rehearsed a public plan, not private workspace content.",no avatar re-entry today,Keth sleep/wake welfare score 0.83; avatar mode=absent_saved.,sound=sleep bell 2.17Hz; smell=Gate Ring night air; temp=0.60; wet=0.19; flower=224.8,False,ssrm251_browser_world_v11_sleep_reentry,4a8d37d476cdb01059
51,9,Marketline,Melo,day 9: Melo recovered; avatar=absent_saved; weather=wet wind,avatar absent; society sleep/wake continues,Melo wakes recovered; interruptions=1; avatar=absent_saved.,"Melo rehearsed a public plan, not private workspace content.",no avatar re-entry today,Melo sleep/wake welfare score 0.83; avatar mode=absent_saved.,sound=sleep bell 2.47Hz; smell=Market Measure night air; temp=0.59; wet=0.19; flower=234.1,False,ssrm251_browser_world_v11_sleep_reentry,99600ffda6f4eb1689
52,9,Ledgerline,Nari,day 9: Nari recovered; avatar=absent_saved; weather=wet wind,avatar absent; society sleep/wake continues,Nari wakes recovered; interruptions=1; avatar=absent_saved.,"Nari rehearsed a public plan, not private workspace content.",no avatar re-entry today,Nari sleep/wake welfare score 0.83; avatar mode=absent_saved.,sound=sleep bell 2.06Hz; smell=Hearth Archive night air; temp=0.60; wet=0.19; flower=221.4,False,ssrm251_browser_world_v11_sleep_reentry,e4f5a377d5fa73bcca
53,9,Orchardline,Ori,day 9: Ori recovered; avatar=absent_saved; weather=wet wind,avatar absent; society sleep/wake continues,Ori wakes recovered; interruptions=1; avatar=absent_saved.,"Ori rehearsed a public plan, not private workspace content.",no avatar re-entry today,Ori sleep/wake welfare score 0.83; avatar mode=absent_saved.,sound=sleep bell 2.40Hz; smell=Ceremony Center night air; temp=0.60; wet=0.19; flower=232.0,False,ssrm251_browser_world_v11_sleep_reentry,72b57d2965837e8f1a
54,9,Rainline,Vonn,day 9: Vonn recovered; avatar=absent_saved; weather=wet wind,avatar absent; society sleep/wake continues,Vonn wakes recovered; interruptions=1; avatar=absent_saved.,"Vonn rehearsed a public plan, not private workspace content.",no avatar re-entry today,Vonn sleep/wake welfare score 0.83; avatar mode=absent_saved.,sound=sleep bell 2.12Hz; smell=Rainwalk Threshold night air; temp=0.60; wet=0.19; flower=223.3,False,ssrm251_browser_world_v11_sleep_reentry,ec2a880ba6412d164e
55,10,Hearthline,Sova,day 10: Sova recovered; avatar=absent_saved; weather=hearth fog,avatar absent; society sleep/wake continues,Sova wakes recovered; interruptions=0; avatar=absent_saved.,"Sova rehearsed a public plan, not private workspace content.",no avatar re-entry today,Sova sleep/wake welfare score 0.83; avatar mode=absent_saved.,sound=sleep bell 2.31Hz; smell=Hearth Archive night air; temp=0.61; wet=0.22; flower=6.7,False,ssrm251_browser_world_v11_sleep_reentry,47c36046c978943fa3
56,10,Routeline,Keth,day 10: Keth recovered; avatar=absent_saved; weather=hearth fog,avatar absent; society sleep/wake continues,Keth wakes recovered; interruptions=0; avatar=absent_saved.,"Keth rehearsed a public plan, not private workspace content.",no avatar re-entry today,Keth sleep/wake welfare score 0.83; avatar mode=absent_saved.,sound=sleep bell 2.17Hz; smell=Gate Ring night air; temp=0.60; wet=0.22; flower=2.3,False,ssrm251_browser_world_v11_sleep_reentry,e7d2e1c2c8af0a8298
57,10,Marketline,Melo,day 10: Melo recovered; avatar=absent_saved; weather=hearth fog,avatar absent; society sleep/wake continues,Melo wakes recovered; interruptions=0; avatar=absent_saved.,"Melo rehearsed a public plan, not private workspace content.",no avatar re-entry today,Melo sleep/wake welfare score 0.83; avatar mode=absent_saved.,sound=sleep bell 2.47Hz; smell=Market Measure night air; temp=0.59; wet=0.22; flower=11.6,False,ssrm251_browser_world_v11_sleep_reentry,4595a944b86930fd05
