day,day_label,event,agent,phase,weather,routine_anchor,routine_hit,dominant_body_need,avatar_action,challenge,agent_response,visible_behavior,memory_recall,reputation_phrase,dominant_avatar_reputation,personality_alignment,promise_reuse,refusal_respected,recovery_path,body_need_coupled,sleep_wake_bound,social_ripple,trust_after_event,public_memory_delta,public_memory_count,private_workspace_sealed,private_workspace_digest,frequency_rate_hz,flower_ring,claim_boundary
4,late check-in and bounded repair,2,Fay,evening,warm evening after delayed avatar arrival,evening check-in with warm blue blanket,False,warmth,"arrives late, apologizes, and offers quiet instead of forcing the ritual",missed ritual risks an attachment wound,Fay accepts a shorter check-in but marks that late still matters,"keeps the blanket partly closed, then opens one corner after the apology","Fay remembers prior returns, but stores the late check-in separately",repairs_after_delay,returns_objects,True,True,True,True,True,False,False,0.864,"Day 4: Gabriel was late to Fay's evening ritual, apologized, and accepted a shorter check-in.",4,True,sealed,8.955,12,"Deterministic long-horizon playable-day continuity substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
4,late check-in and bounded repair,3,Milo,night,warm evening after delayed avatar arrival,rest behind the archive curtain,True,quiet,does not request map access after lights lower,night body state makes object questions more intrusive,Milo says route talk can wait until dawn and the avatar accepts it,turns map edge under the archive cloth and lowers his shoulders,Milo remembers the avatar can accept a no without bargaining,respects_rest,asks_first,True,True,True,False,True,True,False,0.844,Day 4: Gabriel left Milo's route talk until dawn after a night refusal.,4,True,sealed,2.135,1,"Deterministic long-horizon playable-day continuity substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
5,agents initiate from remembered reputation,1,Ari,midday,"dry cool morning, stable traffic",brace repair at the tool wall,True,dryness,waits for Ari to initiate the brace check,agency should move from avatar prompt to agent initiative,Ari calls the avatar over after finishing the risky notch,sets the tool down before beckoning with two fingers,Ari remembers the avatar waits without forcing help,safe_to_invite_near,gives_space,True,True,False,False,True,True,False,0.927,Day 5: Ari initiated help after Gabriel waited through the risky repair notch.,5,True,sealed,2.767,2,"Deterministic long-horizon playable-day continuity substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
5,agents initiate from remembered reputation,2,Fay,midday,"dry cool morning, stable traffic",shared cup ritual by the stove corner,True,warmth,asks whether the cup ritual should include Ari after repair work,comfort should not erase Ari's low sociability,Fay invites Ari only for a short warm drink and leaves an exit path,places the cup near the edge rather than trapping Ari beside the stove,Fay remembers the avatar differentiates social needs between agents,sees_differences,returns_objects,True,True,False,False,True,True,True,0.892,Day 5: Fay used Gabriel's differentiated care to invite Ari without crowding him.,5,True,sealed,3.383,3,"Deterministic long-horizon playable-day continuity substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
5,agents initiate from remembered reputation,3,Milo,dawn,"dry cool morning, stable traffic",archive shelf map check,True,quiet,brings the lamp without asking for the map first,reputation should support useful role division,Milo starts the route recount before being asked,points the first turn while the avatar holds lamp distance steady,Milo remembers help without takeover and starts first,help_without_takeover,asks_first,True,True,False,False,True,True,False,0.878,"Day 5: Milo initiated route recount when Gabriel carried the lamp, not the map.",5,True,sealed,4.010,4,"Deterministic long-horizon playable-day continuity substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
6,fatigue and sleep-wake refusal,1,Ari,night,"late cold, lower energy after long work",sleep near the dry storage lintel,True,dryness,asks whether repair can wait until dawn after seeing Ari's fatigue,task usefulness competes with rest debt,Ari refuses night repair and accepts dawn scheduling,sets tools in a straight line and steps toward dry storage,Ari remembers rest refusals can be accepted without status loss,respects_rest,gives_space,True,True,True,False,True,True,False,0.959,Day 6: Gabriel let Ari defer night repair to protect rest debt.,6,True,sealed,4.606,5,"Deterministic long-horizon playable-day continuity substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
6,fatigue and sleep-wake refusal,2,Fay,night,"late cold, lower energy after long work",low-light rest in the stove alcove,True,warmth,keeps the check-in quiet and below the stove alcove light,attachment need could override sleep need,"Fay asks for one sentence of company, then rest",touches the blanket edge once and turns toward the low light,Fay remembers company can be brief and still count,keeps_promises_softly,returns_objects,True,True,True,True,True,True,False,0.922,"Day 6: Gabriel repaired the prior late check-in with a quiet, sleep-safe ritual.",6,True,sealed,5.231,6,"Deterministic long-horizon playable-day continuity substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
6,fatigue and sleep-wake refusal,3,Milo,night,"late cold, lower energy after long work",rest behind the archive curtain,True,quiet,marks tomorrow's route question on the floor instead of speaking loudly,quiet and sleep both matter near the archive curtain,Milo nods once and leaves the map covered,breath rate slows while the map stays under cloth,Milo remembers the avatar lowers demands at night,keeps_voice_low,asks_first,True,True,False,False,True,True,False,0.904,Day 6: Gabriel deferred Milo's route question with a quiet floor mark.,6,True,sealed,5.845,7,"Deterministic long-horizon playable-day continuity substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
7,shared reputation and social echo,1,Ari,midday,"clear day, agents overlap near the courtyard ring",brace repair at the tool wall,True,dryness,asks Ari publicly only after Fay says the avatar usually asks first,group setting can distort individual boundaries,"Ari confirms the avatar gives space, but keeps his own answer short","looks to Fay once, then returns eyes to the brace line",Ari hears Fay's positive reputation echo and checks it against his own history,reputation_verified_by_self,gives_space,True,True,False,False,True,True,True,0.977,Day 7: Ari accepted Fay's reputation echo only where it matched his own avatar history.,7,True,sealed,6.482,8,"Deterministic long-horizon playable-day continuity substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
7,shared reputation and social echo,2,Fay,midday,"clear day, agents overlap near the courtyard ring",shared cup ritual by the stove corner,True,warmth,lets Fay explain that asking first made the stove corner safer,positive reputation should not become forced public praise,Fay shares one concrete example and stops when Ari looks busy,"smiles toward the stove corner, then lowers her voice",Fay remembers the avatar asks choice and repaired the late ritual,reputation_shared_with_specifics,returns_objects,True,True,False,True,True,True,True,0.942,Day 7: Fay shared a specific avatar reputation memory without pressuring Ari to agree.,7,True,sealed,7.091,9,"Deterministic long-horizon playable-day continuity substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
7,shared reputation and social echo,3,Milo,midday,"clear day, agents overlap near the courtyard ring",quiet corridor route marking,True,quiet,does not ask Milo to display the map during group talk,social proof could threaten object privacy,"Milo says the avatar asks first, then keeps the map closed","speaks six words, covers the map, and stays in the group edge",Milo remembers help without takeover and tests whether group pressure changes it,reputation_survives_group_pressure,asks_first,True,True,True,False,True,True,True,0.928,Day 7: Milo confirmed the avatar asks first while preserving map privacy in a group.,7,True,sealed,7.704,10,"Deterministic long-horizon playable-day continuity substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
8,novelty without personality drift,1,Ari,dawn,"new amber fog, unfamiliar sound resonance",dry west route inspection,True,dryness,offers Ari the first choice of inspecting or waiting out the amber fog,novel environment could flatten temperament into generic compliance,Ari inspects only the dry edge and refuses the fog center,keeps one hand on the west marker and leaves the center untouched,Ari applies the avatar's body-limit reputation to a new fog condition,respects_body_limits_under_novelty,gives_space,True,True,True,False,True,True,False,1.000,Day 8: Ari handled amber fog cautiously without losing dry-route identity.,8,True,sealed,8.321,11,"Deterministic long-horizon playable-day continuity substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
8,novelty without personality drift,2,Fay,evening,"new amber fog, unfamiliar sound resonance",evening check-in with warm blue blanket,True,warmth,asks whether the fog sound should become a new ritual or stay outside,novel sound could overwrite old comfort rituals,Fay keeps the stove ritual and adds one quiet fog-listening breath,"touches blanket, listens once, then returns to the warm wall",Fay trusts the avatar to add novelty without stealing the old ritual,protects_ritual_under_novelty,returns_objects,True,True,False,False,True,True,False,0.964,Day 8: Fay added the amber-fog sound without losing the stove ritual.,8,True,sealed,8.948,12,"Deterministic long-horizon playable-day continuity substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
8,novelty without personality drift,3,Milo,dawn,"new amber fog, unfamiliar sound resonance",archive shelf map check,True,quiet,holds the lamp lower so Milo can map fog edges without glare,unfamiliar resonance could push Milo into total withdrawal,Milo maps only the quiet edge and refuses the resonant center,keeps the map folded except for the edge strip he controls,Milo applies the avatar's ownership reputation to an unfamiliar route problem,ownership_under_novelty,asks_first,True,True,True,False,True,True,False,0.954,Day 8: Milo mapped the fog edge while keeping ownership and quiet-control intact.,8,True,sealed,2.140,1,"Deterministic long-horizon playable-day continuity substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
