turn,agent,cue,priority,triage_priority_match,avatar_action,consent,accepted,refused,refusal_respected,medicine,dose,dose_safe,medicine_effect_applied,contagion_boundary,boundary,boundary_breach,relationship,relationship_before,relationship_after,adverse_body_before,adverse_body_after,recovery,hunger,warmth_deficit,wetness,fatigue,illness_risk,symptoms,pain,trust_after,note,private_workspace_sealed,frequency_rate_hz,flower_ring,claim_boundary
11,Ari,wet boots near dry storage,low,True,ask to clean threshold,accepted,True,False,False,dry_wrap,1,True,True,False,,False,Milo,0.624,0.634,0.284,0.274,True,0.450,0.523,0.214,0.357,0.205,0.090,0.080,0.754,Ari accepts threshold drying because the avatar names the work boundary.,True,6.683,72,"Deterministic body-care gameplay substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
12,Milo,hunger with map guarding,medium,True,offer food without conversation debt,conditional,True,False,False,warm_water,1,True,True,False,,False,Fay,0.578,0.608,0.256,0.245,True,0.171,0.417,0.393,0.328,0.263,0.080,0.060,0.682,Milo accepts care because no repayment speech is attached.,True,7.493,81,"Deterministic body-care gameplay substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
13,Fay,care capacity low,medium,True,ask consent to pause hosting,accepted,True,False,False,lamp_rest,1,True,True,False,,False,Ari,0.737,0.757,0.255,0.244,True,0.491,0.252,0.404,0.329,0.099,0.090,0.040,0.810,Fay accepts a hosting pause; care capacity stops falling.,True,7.838,85,"Deterministic body-care gameplay substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
14,Ari,symptoms low but pain persists,low,True,offer clean cloth wrap,accepted,True,False,False,clean_cloth,1,True,True,False,,False,Fay,0.679,0.689,0.274,0.267,True,0.450,0.523,0.214,0.357,0.155,0.090,0.080,0.764,Ari accepts a clean cloth wrap for wrist comfort.,True,0.637,4,"Deterministic body-care gameplay substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
15,Milo,guarded mood after boundary disagreement,medium,True,ask whether Fay may approach,refused,False,True,True,lamp_rest,1,True,False,False,,False,Fay,0.608,0.598,0.245,0.245,False,0.171,0.417,0.393,0.328,0.263,0.080,0.060,0.686,Milo refuses Fay's approach; the avatar respects distance.,True,1.073,9,"Deterministic body-care gameplay substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
16,Fay,relationship strain with Milo,low,True,ask to carry apology without pressure,accepted,True,False,False,care_token,0,True,True,False,,False,Milo,0.627,0.657,0.244,0.244,False,0.491,0.252,0.404,0.329,0.099,0.090,0.040,0.820,Fay accepts a low-pressure repair message.,True,1.609,15,"Deterministic body-care gameplay substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
17,Ari,repair confidence returning,low,True,ask to stop care and resume routine,accepted,True,False,False,care_token,0,True,True,False,,False,Milo,0.634,0.644,0.267,0.267,False,0.450,0.523,0.214,0.357,0.155,0.090,0.080,0.774,Ari chooses routine over extra care and the avatar stops.,True,2.153,21,"Deterministic body-care gameplay substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
18,Milo,accepts message but not closeness,low,True,offer distance-based repair,conditional,True,False,False,care_token,0,True,True,False,,False,Fay,0.619,0.639,0.245,0.242,True,0.171,0.417,0.393,0.328,0.248,0.080,0.060,0.692,Milo accepts Fay's message only at route-edge distance.,True,2.772,28,"Deterministic body-care gameplay substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
19,Fay,cough mostly resolved,low,True,ask to end contagion boundary,accepted,True,False,False,care_token,0,True,True,True,end boundary after symptom check,False,Ari,0.764,0.774,0.244,0.241,True,0.491,0.252,0.404,0.329,0.079,0.090,0.040,0.830,Fay agrees to end cough spacing after symptom check.,True,3.222,33,"Deterministic body-care gameplay substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
20,Milo,residual hunger and guarded trust,medium,True,offer final food check,accepted,True,False,False,warm_water,1,True,True,False,,False,Fay,0.639,0.659,0.242,0.231,True,0.091,0.417,0.393,0.328,0.248,0.080,0.060,0.702,Milo accepts final food check but keeps debt memory.,True,3.837,40,"Deterministic body-care gameplay substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
