tick_id,day,agent,region_id,routine_before,routine_after,trigger,routine_changed,later_visible,rollback_option
69,5,Ivo,orchard_fen,seasonal planting,seasonal planting,seasonal migration,False,False,none
70,5,Ari,riverbend,market crossing,market crossing,seasonal migration,False,False,none
71,5,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
72,5,Nia,archive_quarter,weather notices,weather notices,seasonal migration,False,False,none
73,5,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
74,5,Ivo,orchard_fen,seasonal planting,seasonal planting,seasonal migration,False,False,none
75,5,Ari,riverbend,market crossing,market crossing,seasonal migration,False,False,none
76,5,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
77,5,Nia,archive_quarter,weather notices,weather notices,seasonal migration,False,False,none
78,5,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
79,5,Ivo,orchard_fen,seasonal planting,seasonal planting,seasonal migration,False,False,none
80,6,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
81,6,Nia,archive_quarter,weather notices,weather notices,seasonal migration,False,False,none
82,6,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
83,6,Ivo,orchard_fen,seasonal planting,seasonal planting,seasonal migration,False,False,none
84,6,Ari,riverbend,market crossing,market crossing,seasonal migration,False,False,none
85,6,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
86,6,Nia,archive_quarter,weather notices,weather notices,seasonal migration,False,False,none
87,6,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
88,6,Ivo,orchard_fen,seasonal planting,seasonal planting,seasonal migration,False,False,none
89,6,Ari,riverbend,market crossing,market crossing,seasonal migration,False,False,none
90,6,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
91,6,Nia,archive_quarter,weather notices,weather notices,seasonal migration,False,False,none
92,6,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
93,6,Ivo,orchard_fen,seasonal planting,seasonal planting,seasonal migration,False,False,none
94,6,Ari,riverbend,market crossing,market crossing,seasonal migration,False,False,none
95,6,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
96,7,Nia,archive_quarter,weather notices,weather notices,seasonal migration,False,False,none
97,7,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
98,7,Ivo,orchard_fen,seasonal planting,seasonal planting,seasonal migration,False,False,none
99,7,Ari,riverbend,market crossing,market crossing,seasonal migration,False,False,none
100,7,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
101,7,Nia,archive_quarter,weather notices,weather notices,seasonal migration,False,False,none
102,7,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
103,7,Ivo,orchard_fen,seasonal planting,seasonal planting,seasonal migration,False,False,none
104,7,Ari,riverbend,market crossing,market crossing,seasonal migration,False,False,none
105,7,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
106,7,Nia,archive_quarter,weather notices,weather notices,seasonal migration,False,False,none
107,7,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
108,7,Ivo,orchard_fen,seasonal planting,seasonal planting,seasonal migration,False,False,none
109,7,Ari,riverbend,market crossing,market crossing,seasonal migration,False,False,none
110,7,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
111,7,Nia,archive_quarter,weather notices,weather notices,seasonal migration,False,False,none
112,8,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
113,8,Ivo,orchard_fen,seasonal planting,seasonal planting,seasonal migration,False,False,none
114,8,Ari,riverbend,market crossing,market crossing,seasonal migration,False,False,none
115,8,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
116,8,Nia,archive_quarter,weather notices,weather notices,seasonal migration,False,False,none
117,8,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
118,8,Ivo,orchard_fen,seasonal planting,seasonal planting,seasonal migration,False,False,none
119,8,Ari,riverbend,market crossing,market crossing,seasonal migration,False,False,none
120,8,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
121,8,Nia,archive_quarter,weather notices,weather notices,seasonal migration,False,False,none
122,8,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
123,8,Ivo,orchard_fen,seasonal planting,seasonal planting,seasonal migration,False,False,none
124,8,Ari,riverbend,market crossing,market crossing,seasonal migration,False,False,none
125,8,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
126,8,Nia,archive_quarter,weather notices,weather notices,seasonal migration,False,False,none
127,8,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
128,9,Ivo,orchard_fen,seasonal planting,seasonal planting,seasonal migration,False,False,none
129,9,Ari,riverbend,market crossing,market crossing,seasonal migration,False,False,none
130,9,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
131,9,Nia,archive_quarter,weather notices,weather notices,seasonal migration,False,False,none
132,9,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
133,9,Ivo,orchard_fen,seasonal planting,seasonal planting,seasonal migration,False,False,none
134,9,Ari,riverbend,market crossing,market crossing,seasonal migration,False,False,none
135,9,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
136,9,Nia,archive_quarter,weather notices,weather notices,seasonal migration,False,False,none
137,9,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
138,9,Ivo,orchard_fen,seasonal planting,seasonal planting,seasonal migration,False,False,none
139,9,Ari,riverbend,market crossing,market crossing,seasonal migration,False,False,none
140,9,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
141,9,Nia,archive_quarter,weather notices,weather notices,seasonal migration,False,False,none
142,9,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
143,9,Ivo,orchard_fen,seasonal planting,seasonal planting,seasonal migration,False,False,none
144,10,Ari,riverbend,market crossing,market crossing,seasonal migration,False,False,none
145,10,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
146,10,Nia,archive_quarter,weather notices,weather notices,seasonal migration,False,False,none
147,10,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
148,10,Ivo,orchard_fen,seasonal planting,seasonal planting,collapse fallback,False,False,none
149,10,Ari,riverbend,market crossing,market crossing,seasonal migration,False,False,none
150,10,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
151,10,Nia,archive_quarter,weather notices,weather notices,seasonal migration,False,False,none
152,10,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
153,10,Ivo,orchard_fen,seasonal planting,seasonal planting,collapse fallback,False,False,none
154,10,Ari,riverbend,market crossing,market crossing,seasonal migration,False,False,none
155,10,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
156,10,Nia,archive_quarter,weather notices,weather notices,seasonal migration,False,False,none
157,10,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
158,10,Ivo,orchard_fen,seasonal planting,seasonal planting,collapse fallback,False,False,none
159,10,Ari,riverbend,market crossing,market crossing,seasonal migration,False,False,none
160,11,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
161,11,Nia,archive_quarter,weather notices,weather notices,seasonal migration,False,False,none
162,11,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
163,11,Ivo,orchard_fen,seasonal planting,seasonal planting,seasonal migration,False,False,none
164,11,Ari,riverbend,market crossing,market crossing,collapse fallback,False,False,none
165,11,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
166,11,Nia,archive_quarter,weather notices,weather notices,supply route blocked,False,False,none
167,11,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
168,11,Ivo,orchard_fen,seasonal planting,seasonal planting,seasonal migration,False,False,none
169,11,Ari,riverbend,market crossing,market crossing,collapse fallback,False,False,none
170,11,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
171,11,Nia,archive_quarter,weather notices,weather notices,seasonal migration,False,False,none
172,11,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
173,11,Ivo,orchard_fen,seasonal planting,seasonal planting,seasonal migration,False,False,none
174,11,Ari,riverbend,market crossing,market crossing,collapse fallback,False,False,none
175,11,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
176,12,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
177,12,Ivo,orchard_fen,seasonal planting,seasonal planting,seasonal migration,False,False,none
178,12,Ari,riverbend,market crossing,market crossing,seasonal migration,False,False,none
179,12,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
180,12,Nia,archive_quarter,weather notices,weather notices,seasonal migration,False,False,none
181,12,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
182,12,Ivo,orchard_fen,seasonal planting,seasonal planting,seasonal migration,False,False,none
183,12,Ari,riverbend,market crossing,market crossing,seasonal migration,False,False,none
184,12,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
185,12,Nia,archive_quarter,weather notices,weather notices,seasonal migration,False,False,none
186,12,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
187,12,Ivo,orchard_fen,seasonal planting,seasonal planting,seasonal migration,False,False,none
188,12,Ari,riverbend,market crossing,market crossing,seasonal migration,False,False,none
189,12,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
190,12,Nia,archive_quarter,weather notices,weather notices,seasonal migration,False,False,none
191,12,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
192,13,Ivo,orchard_fen,seasonal planting,seasonal planting,seasonal migration,False,False,none
193,13,Ari,riverbend,market crossing,market crossing,seasonal migration,False,False,none
194,13,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
195,13,Nia,archive_quarter,weather notices,weather notices,seasonal migration,False,False,none
196,13,Milo,signal_ridge,dusk signals,dusk signals,collapse fallback,False,False,none
197,13,Ivo,orchard_fen,seasonal planting,seasonal planting,seasonal migration,False,False,none
198,13,Ari,riverbend,market crossing,market crossing,supply route blocked,False,False,none
199,13,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
200,13,Nia,archive_quarter,weather notices,weather notices,seasonal migration,False,False,none
201,13,Milo,signal_ridge,dusk signals,dusk signals,collapse fallback,False,False,none
202,13,Ivo,orchard_fen,seasonal planting,seasonal planting,seasonal migration,False,False,none
203,13,Ari,riverbend,market crossing,market crossing,seasonal migration,False,False,none
204,13,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
205,13,Nia,archive_quarter,weather notices,weather notices,seasonal migration,False,False,none
206,13,Milo,signal_ridge,dusk signals,dusk signals,collapse fallback,False,False,none
207,13,Ivo,orchard_fen,seasonal planting,seasonal planting,seasonal migration,False,False,none
208,14,Ari,riverbend,market crossing,market crossing,seasonal migration,False,False,none
209,14,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
210,14,Nia,archive_quarter,weather notices,weather notices,seasonal migration,False,False,none
211,14,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
212,14,Ivo,orchard_fen,seasonal planting,seasonal planting,seasonal migration,False,False,none
213,14,Ari,riverbend,market crossing,market crossing,seasonal migration,False,False,none
214,14,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
215,14,Nia,archive_quarter,weather notices,weather notices,seasonal migration,False,False,none
216,14,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
217,14,Ivo,orchard_fen,seasonal planting,seasonal planting,seasonal migration,False,False,none
218,14,Ari,riverbend,market crossing,market crossing,seasonal migration,False,False,none
219,14,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
220,14,Nia,archive_quarter,weather notices,weather notices,seasonal migration,False,False,none
221,14,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
222,14,Ivo,orchard_fen,seasonal planting,seasonal planting,seasonal migration,False,False,none
223,14,Ari,riverbend,market crossing,market crossing,seasonal migration,False,False,none
224,15,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
225,15,Nia,archive_quarter,weather notices,weather notices,seasonal migration,False,False,none
226,15,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
227,15,Ivo,orchard_fen,seasonal planting,seasonal planting,seasonal migration,False,False,none
228,15,Ari,riverbend,market crossing,market crossing,seasonal migration,False,False,none
229,15,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
230,15,Nia,archive_quarter,weather notices,weather notices,seasonal migration,False,False,none
231,15,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
232,15,Ivo,orchard_fen,seasonal planting,seasonal planting,seasonal migration,False,False,none
233,15,Ari,riverbend,market crossing,market crossing,seasonal migration,False,False,none
234,15,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
235,15,Nia,archive_quarter,weather notices,weather notices,seasonal migration,False,False,none
236,15,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
237,15,Ivo,orchard_fen,seasonal planting,seasonal planting,seasonal migration,False,False,none
238,15,Ari,riverbend,market crossing,market crossing,seasonal migration,False,False,none
239,15,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
240,16,Nia,archive_quarter,weather notices,weather notices,seasonal migration,False,False,none
241,16,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
242,16,Ivo,orchard_fen,seasonal planting,seasonal planting,seasonal migration,False,False,none
243,16,Ari,riverbend,market crossing,market crossing,seasonal migration,False,False,none
244,16,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
245,16,Nia,archive_quarter,weather notices,weather notices,seasonal migration,False,False,none
246,16,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
247,16,Ivo,orchard_fen,seasonal planting,seasonal planting,seasonal migration,False,False,none
248,16,Ari,riverbend,market crossing,market crossing,seasonal migration,False,False,none
249,16,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
250,16,Nia,archive_quarter,weather notices,weather notices,seasonal migration,False,False,none
251,16,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
252,16,Ivo,orchard_fen,seasonal planting,seasonal planting,seasonal migration,False,False,none
253,16,Ari,riverbend,market crossing,market crossing,seasonal migration,False,False,none
254,16,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
255,16,Nia,archive_quarter,weather notices,weather notices,seasonal migration,False,False,none
256,17,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
257,17,Ivo,orchard_fen,seasonal planting,seasonal planting,none,False,False,none
258,17,Ari,riverbend,market crossing,market crossing,none,False,False,none
259,17,Fay,roofward,greenhouse tending,greenhouse tending,none,False,False,none
260,17,Nia,archive_quarter,weather notices,weather notices,none,False,False,none
261,17,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
262,17,Ivo,orchard_fen,seasonal planting,seasonal planting,none,False,False,none
263,17,Ari,riverbend,market crossing,market crossing,none,False,False,none
264,17,Fay,roofward,greenhouse tending,greenhouse tending,none,False,False,none
265,17,Nia,archive_quarter,weather notices,weather notices,none,False,False,none
266,17,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
267,17,Ivo,orchard_fen,seasonal planting,seasonal planting,none,False,False,none
268,17,Ari,riverbend,market crossing,market crossing,none,False,False,none
269,17,Fay,roofward,greenhouse tending,greenhouse tending,none,False,False,none
270,17,Nia,archive_quarter,weather notices,weather notices,none,False,False,none
271,17,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
272,18,Ari,riverbend,market crossing,market crossing,seasonal migration,False,False,none
273,18,Fay,roofward,greenhouse tending,greenhouse tending,none,False,False,none
274,18,Nia,archive_quarter,weather notices,weather notices,none,False,False,none
275,18,Milo,signal_ridge,dusk signals,dusk signals,none,False,False,none
276,18,Ivo,orchard_fen,seasonal planting,seasonal planting,none,False,False,none
277,18,Ari,riverbend,market crossing,market crossing,seasonal migration,False,False,none
278,18,Fay,roofward,greenhouse tending,greenhouse tending,none,False,False,none
279,18,Nia,archive_quarter,weather notices,weather notices,none,False,False,none
280,18,Milo,signal_ridge,dusk signals,dusk signals,none,False,False,none
281,18,Ivo,orchard_fen,seasonal planting,seasonal planting,none,False,False,none
282,18,Ari,riverbend,market crossing,market crossing,seasonal migration,False,False,none
283,18,Fay,roofward,greenhouse tending,greenhouse tending,none,False,False,none
284,18,Nia,archive_quarter,weather notices,weather notices,none,False,False,none
285,18,Milo,signal_ridge,dusk signals,dusk signals,none,False,False,none
286,18,Ivo,orchard_fen,seasonal planting,seasonal planting,none,False,False,none
287,18,Ari,riverbend,market crossing,market crossing,seasonal migration,False,False,none
288,19,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
289,19,Nia,archive_quarter,weather notices,weather notices,none,False,False,none
290,19,Milo,signal_ridge,dusk signals,dusk signals,none,False,False,none
291,19,Ivo,orchard_fen,seasonal planting,seasonal planting,none,False,False,none
292,19,Ari,riverbend,market crossing,market crossing,none,False,False,none
293,19,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
294,19,Nia,archive_quarter,weather notices,weather notices,none,False,False,none
295,19,Milo,signal_ridge,dusk signals,dusk signals,none,False,False,none
296,19,Ivo,orchard_fen,seasonal planting,seasonal planting,none,False,False,none
297,19,Ari,riverbend,market crossing,market crossing,none,False,False,none
298,19,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
299,19,Nia,archive_quarter,weather notices,weather notices,none,False,False,none
300,19,Milo,signal_ridge,dusk signals,dusk signals,none,False,False,none
301,19,Ivo,orchard_fen,seasonal planting,seasonal planting,none,False,False,none
302,19,Ari,riverbend,market crossing,market crossing,none,False,False,none
303,19,Fay,roofward,greenhouse tending,greenhouse tending,seasonal migration,False,False,none
304,20,Nia,archive_quarter,weather notices,weather notices,seasonal migration,False,False,none
305,20,Milo,signal_ridge,dusk signals,dusk signals,none,False,False,none
306,20,Ivo,orchard_fen,seasonal planting,seasonal planting,none,False,False,none
307,20,Ari,riverbend,market crossing,market crossing,none,False,False,none
308,20,Fay,roofward,greenhouse tending,greenhouse tending,none,False,False,none
309,20,Nia,archive_quarter,weather notices,weather notices,seasonal migration,False,False,none
310,20,Milo,signal_ridge,dusk signals,dusk signals,none,False,False,none
311,20,Ivo,orchard_fen,seasonal planting,seasonal planting,none,False,False,none
312,20,Ari,riverbend,market crossing,market crossing,none,False,False,none
313,20,Fay,roofward,greenhouse tending,greenhouse tending,none,False,False,none
314,20,Nia,archive_quarter,weather notices,weather notices,seasonal migration,False,False,none
315,20,Milo,signal_ridge,dusk signals,dusk signals,none,False,False,none
316,20,Ivo,orchard_fen,seasonal planting,seasonal planting,none,False,False,none
317,20,Ari,riverbend,market crossing,market crossing,none,False,False,none
318,20,Fay,roofward,greenhouse tending,greenhouse tending,none,False,False,none
319,20,Nia,archive_quarter,weather notices,weather notices,seasonal migration,False,False,none
320,21,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
321,21,Ivo,orchard_fen,seasonal planting,seasonal planting,none,False,False,none
322,21,Ari,riverbend,market crossing,market crossing,none,False,False,none
323,21,Fay,roofward,greenhouse tending,greenhouse tending,none,False,False,none
324,21,Nia,archive_quarter,weather notices,weather notices,none,False,False,none
325,21,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
326,21,Ivo,orchard_fen,seasonal planting,seasonal planting,supply route blocked,False,False,none
327,21,Ari,riverbend,market crossing,market crossing,none,False,False,none
328,21,Fay,roofward,greenhouse tending,greenhouse tending,none,False,False,none
329,21,Nia,archive_quarter,weather notices,weather notices,none,False,False,none
330,21,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
331,21,Ivo,orchard_fen,seasonal planting,seasonal planting,none,False,False,none
332,21,Ari,riverbend,market crossing,market crossing,none,False,False,none
333,21,Fay,roofward,greenhouse tending,greenhouse tending,none,False,False,none
334,21,Nia,archive_quarter,weather notices,weather notices,none,False,False,none
335,21,Milo,signal_ridge,dusk signals,dusk signals,seasonal migration,False,False,none
336,22,Ivo,orchard_fen,seasonal planting,seasonal planting,seasonal migration,False,False,none
337,22,Ari,riverbend,market crossing,market crossing,none,False,False,none
338,22,Fay,roofward,greenhouse tending,greenhouse tending,none,False,False,none
339,22,Nia,archive_quarter,weather notices,weather notices,none,False,False,none
340,22,Milo,signal_ridge,dusk signals,dusk signals,none,False,False,none
341,22,Ivo,orchard_fen,seasonal planting,seasonal planting,seasonal migration,False,False,none
342,22,Ari,riverbend,market crossing,market crossing,none,False,False,none
343,22,Fay,roofward,greenhouse tending,greenhouse tending,none,False,False,none
344,22,Nia,archive_quarter,weather notices,weather notices,none,False,False,none
345,22,Milo,signal_ridge,dusk signals,dusk signals,none,False,False,none
346,22,Ivo,orchard_fen,seasonal planting,seasonal planting,seasonal migration,False,False,none
347,22,Ari,riverbend,market crossing,market crossing,none,False,False,none
348,22,Fay,roofward,greenhouse tending,greenhouse tending,none,False,False,none
349,22,Nia,archive_quarter,weather notices,weather notices,none,False,False,none
350,22,Milo,signal_ridge,dusk signals,dusk signals,supply route blocked,False,False,none
351,22,Ivo,orchard_fen,seasonal planting,seasonal planting,seasonal migration,False,False,none
352,23,Ari,riverbend,market crossing,market crossing,seasonal migration,False,False,none
353,23,Fay,roofward,greenhouse tending,greenhouse tending,none,False,False,none
354,23,Nia,archive_quarter,weather notices,weather notices,none,False,False,none
355,23,Milo,signal_ridge,dusk signals,dusk signals,none,False,False,none
356,23,Ivo,orchard_fen,seasonal planting,seasonal planting,none,False,False,none
357,23,Ari,riverbend,market crossing,market crossing,seasonal migration,False,False,none
358,23,Fay,roofward,greenhouse tending,greenhouse tending,none,False,False,none
359,23,Nia,archive_quarter,weather notices,weather notices,none,False,False,none
360,23,Milo,signal_ridge,dusk signals,dusk signals,none,False,False,none
