tick_id,day,tick,route_id,speaker,listener,dialogue_choice_id,choice_label,selected,choice_valid,consequence_kind,public_text,private_workspace_sealed,visible_choice_button
101,8,3,riverbend_roofward,Fay,Ari,choice:riverbend_roofward:8:3:Fay,ask to keep direct route,True,True,support_direct,"Fay: I saw the avatar choose river ford for riverbend->roofward. Ari, can we agree on the recovery branch?",True,True
102,8,4,roofward_archive,Fay,Nia,choice:roofward_archive:8:4:Fay,ask to keep direct route,True,True,support_direct,"Fay: I saw the avatar choose glass stair for roofward->archive_quarter. Nia, can we agree on the recovery branch?",True,True
103,8,5,archive_signal,Milo,Nia,choice:archive_signal:8:5:Milo,ask to keep direct route,False,False,none,none,True,False
104,8,6,signal_orchard,Milo,Ivo,choice:signal_orchard:8:6:Milo,ask to keep direct route,True,True,support_direct,"Milo: I saw the avatar choose dusk road for signal_ridge->orchard_fen. Ivo, can we agree on the recovery branch?",True,True
105,8,7,orchard_riverbend,Ari,Ivo,choice:orchard_riverbend:8:7:Ari,ask to keep direct route,False,False,none,none,True,False
106,8,8,central_repair_ring,Juno,Pax,choice:central_repair_ring:8:8:Juno,ask to keep direct route,True,True,support_direct,"Juno: I saw the avatar choose inner repair yard for central_exchange->repair_hall. Pax, can we agree on the recovery branch?",True,True
107,8,9,riverbend_roofward,Fay,Ari,choice:riverbend_roofward:8:9:Fay,ask to keep direct route,True,True,support_direct,"Fay: I saw the avatar choose river ford for riverbend->roofward. Ari, can we agree on the recovery branch?",True,True
108,8,10,roofward_archive,Fay,Nia,choice:roofward_archive:8:10:Fay,ask to keep direct route,False,False,none,none,True,False
109,8,11,archive_signal,Milo,Nia,choice:archive_signal:8:11:Milo,ask to keep direct route,False,False,none,none,True,False
110,8,12,signal_orchard,Milo,Ivo,choice:signal_orchard:8:12:Milo,ask to merge detour,True,True,support_detour,"Milo: I saw the avatar choose river lantern loop for signal_ridge->orchard_fen. Ivo, can we agree on the recovery branch?",True,True
111,8,13,orchard_riverbend,Ari,Ivo,choice:orchard_riverbend:8:13:Ari,ask to keep direct route,False,False,none,none,True,False
112,9,0,central_repair_ring,Juno,Pax,choice:central_repair_ring:9:0:Juno,ask to keep direct route,False,False,none,none,True,False
113,9,1,riverbend_roofward,Fay,Ari,choice:riverbend_roofward:9:1:Fay,ask to keep direct route,True,True,support_direct,"Fay: I saw the avatar choose river ford for riverbend->roofward. Ari, can we agree on the recovery branch?",True,True
114,9,2,roofward_archive,Fay,Nia,choice:roofward_archive:9:2:Fay,ask to merge detour,False,False,none,none,True,False
115,9,3,archive_signal,Milo,Nia,choice:archive_signal:9:3:Milo,ask to keep direct route,False,False,none,none,True,False
116,9,4,signal_orchard,Milo,Ivo,choice:signal_orchard:9:4:Milo,ask to keep direct route,False,False,none,none,True,True
117,9,5,orchard_riverbend,Ari,Ivo,choice:orchard_riverbend:9:5:Ari,ask to keep direct route,False,False,none,none,True,False
118,9,6,central_repair_ring,Juno,Pax,choice:central_repair_ring:9:6:Juno,ask to keep direct route,False,False,none,none,True,False
119,9,7,riverbend_roofward,Fay,Ari,choice:riverbend_roofward:9:7:Fay,ask to keep direct route,False,False,none,none,True,False
120,9,8,roofward_archive,Fay,Nia,choice:roofward_archive:9:8:Fay,ask to keep direct route,True,True,support_direct,"Fay: I saw the avatar choose glass stair for roofward->archive_quarter. Nia, can we agree on the recovery branch?",True,True
121,9,9,archive_signal,Milo,Nia,choice:archive_signal:9:9:Milo,ask to keep direct route,False,False,none,none,True,False
122,9,10,signal_orchard,Milo,Ivo,choice:signal_orchard:9:10:Milo,ask to keep direct route,False,False,none,none,True,False
123,9,11,orchard_riverbend,Ari,Ivo,choice:orchard_riverbend:9:11:Ari,ask to keep direct route,False,False,none,none,True,False
124,9,12,central_repair_ring,Juno,Pax,choice:central_repair_ring:9:12:Juno,ask to merge detour,True,True,support_detour,"Juno: I saw the avatar choose outer bell path for central_exchange->repair_hall. Pax, can we agree on the recovery branch?",True,True
125,9,13,riverbend_roofward,Fay,Ari,choice:riverbend_roofward:9:13:Fay,ask to keep direct route,False,False,none,none,True,False
126,10,0,roofward_archive,Fay,Nia,choice:roofward_archive:10:0:Fay,ask to keep direct route,True,True,support_direct,"Fay: I saw the avatar choose glass stair for roofward->archive_quarter. Nia, can we agree on the recovery branch?",True,True
127,10,1,archive_signal,Milo,Nia,choice:archive_signal:10:1:Milo,ask to keep direct route,True,True,support_direct,"Milo: I saw the avatar choose paper lane for archive_quarter->signal_ridge. Nia, can we agree on the recovery branch?",True,True
128,10,2,signal_orchard,Milo,Ivo,choice:signal_orchard:10:2:Milo,ask to merge detour,False,False,none,none,True,False
129,10,3,orchard_riverbend,Ari,Ivo,choice:orchard_riverbend:10:3:Ari,ask to keep direct route,True,True,support_direct,"Ari: I saw the avatar choose fen track for orchard_fen->riverbend. Ivo, can we agree on the recovery branch?",True,True
130,10,4,central_repair_ring,Juno,Pax,choice:central_repair_ring:10:4:Juno,ask to keep direct route,True,True,support_direct,"Juno: I saw the avatar choose inner repair yard for central_exchange->repair_hall. Pax, can we agree on the recovery branch?",True,True
131,10,5,riverbend_roofward,Fay,Ari,choice:riverbend_roofward:10:5:Fay,ask to keep direct route,False,False,none,none,True,False
132,10,6,roofward_archive,Fay,Nia,choice:roofward_archive:10:6:Fay,ask to keep direct route,True,True,support_direct,"Fay: I saw the avatar choose glass stair for roofward->archive_quarter. Nia, can we agree on the recovery branch?",True,True
133,10,7,archive_signal,Milo,Nia,choice:archive_signal:10:7:Milo,ask to keep direct route,False,False,none,none,True,False
134,10,8,signal_orchard,Milo,Ivo,choice:signal_orchard:10:8:Milo,ask to keep direct route,True,True,support_direct,"Milo: I saw the avatar choose dusk road for signal_ridge->orchard_fen. Ivo, can we agree on the recovery branch?",True,True
135,10,9,orchard_riverbend,Ari,Ivo,choice:orchard_riverbend:10:9:Ari,ask to keep direct route,True,True,support_direct,"Ari: I saw the avatar choose fen track for orchard_fen->riverbend. Ivo, can we agree on the recovery branch?",True,True
136,10,10,central_repair_ring,Juno,Pax,choice:central_repair_ring:10:10:Juno,ask to keep direct route,False,False,none,none,True,False
137,10,11,riverbend_roofward,Fay,Ari,choice:riverbend_roofward:10:11:Fay,ask to keep direct route,False,False,none,none,True,False
138,10,12,roofward_archive,Fay,Nia,choice:roofward_archive:10:12:Fay,ask to merge detour,True,True,support_detour,"Fay: I saw the avatar choose cool archive lane for roofward->archive_quarter. Nia, can we agree on the recovery branch?",True,True
139,10,13,archive_signal,Milo,Nia,choice:archive_signal:10:13:Milo,ask to keep direct route,False,False,none,none,True,False
140,11,0,signal_orchard,Milo,Ivo,choice:signal_orchard:11:0:Milo,ask to keep direct route,False,False,none,none,True,False
141,11,1,orchard_riverbend,Ari,Ivo,choice:orchard_riverbend:11:1:Ari,ask to keep direct route,True,True,support_direct,"Ari: I saw the avatar choose fen track for orchard_fen->riverbend. Ivo, can we agree on the recovery branch?",True,True
142,11,2,central_repair_ring,Juno,Pax,choice:central_repair_ring:11:2:Juno,ask to keep direct route,False,False,none,none,True,False
143,11,3,riverbend_roofward,Fay,Ari,choice:riverbend_roofward:11:3:Fay,ask to keep direct route,False,False,none,none,True,False
144,11,4,roofward_archive,Fay,Nia,choice:roofward_archive:11:4:Fay,ask to keep direct route,True,True,support_direct,"Fay: I saw the avatar choose glass stair for roofward->archive_quarter. Nia, can we agree on the recovery branch?",True,True
145,11,5,archive_signal,Milo,Nia,choice:archive_signal:11:5:Milo,ask to keep direct route,False,False,none,none,True,False
146,11,6,signal_orchard,Milo,Ivo,choice:signal_orchard:11:6:Milo,ask to keep direct route,False,False,none,none,True,False
147,11,7,orchard_riverbend,Ari,Ivo,choice:orchard_riverbend:11:7:Ari,ask to keep direct route,False,False,none,none,True,False
148,11,8,central_repair_ring,Juno,Pax,choice:central_repair_ring:11:8:Juno,ask to merge detour,True,True,support_detour,"Juno: I saw the avatar choose outer bell path for central_exchange->repair_hall. Pax, can we agree on the recovery branch?",True,True
149,11,9,riverbend_roofward,Fay,Ari,choice:riverbend_roofward:11:9:Fay,ask to keep direct route,False,False,none,none,True,False
150,11,10,roofward_archive,Fay,Nia,choice:roofward_archive:11:10:Fay,ask to keep direct route,False,False,none,none,True,False
151,11,11,archive_signal,Milo,Nia,choice:archive_signal:11:11:Milo,ask to keep direct route,False,False,none,none,True,False
152,11,12,signal_orchard,Milo,Ivo,choice:signal_orchard:11:12:Milo,ask to merge detour,True,True,support_detour,"Milo: I saw the avatar choose river lantern loop for signal_ridge->orchard_fen. Ivo, can we agree on the recovery branch?",True,True
153,11,13,orchard_riverbend,Ari,Ivo,choice:orchard_riverbend:11:13:Ari,ask to keep direct route,False,False,none,none,True,False
154,12,0,riverbend_roofward,Ari,Fay,choice:riverbend_roofward:12:0:Ari,ask to keep direct route,False,False,none,none,True,False
155,12,1,roofward_archive,Nia,Fay,choice:roofward_archive:12:1:Nia,ask to merge detour,True,True,support_detour,"Nia: I saw the avatar choose cool archive lane for roofward->archive_quarter. Fay, can we agree on the recovery branch?",True,True
156,12,2,archive_signal,Nia,Milo,choice:archive_signal:12:2:Nia,ask to keep direct route,False,False,none,none,True,False
157,12,3,signal_orchard,Ivo,Milo,choice:signal_orchard:12:3:Ivo,ask to keep direct route,False,False,none,none,True,False
158,12,4,orchard_riverbend,Ivo,Ari,choice:orchard_riverbend:12:4:Ivo,ask to keep direct route,True,True,support_direct,"Ivo: I saw the avatar choose fen track for orchard_fen->riverbend. Ari, can we agree on the recovery branch?",True,True
159,12,5,central_repair_ring,Pax,Juno,choice:central_repair_ring:12:5:Pax,ask to keep direct route,False,False,none,none,True,False
160,12,6,riverbend_roofward,Ari,Fay,choice:riverbend_roofward:12:6:Ari,ask to keep direct route,False,False,none,none,True,False
161,12,7,roofward_archive,Nia,Fay,choice:roofward_archive:12:7:Nia,ask to keep direct route,False,False,none,none,True,False
162,12,8,archive_signal,Nia,Milo,choice:archive_signal:12:8:Nia,ask to merge detour,True,True,support_detour,"Nia: I saw the avatar choose stone kiosk path for archive_quarter->signal_ridge. Milo, can we agree on the recovery branch?",True,True
163,12,9,signal_orchard,Ivo,Milo,choice:signal_orchard:12:9:Ivo,ask to keep direct route,False,False,none,none,True,False
164,12,10,orchard_riverbend,Ivo,Ari,choice:orchard_riverbend:12:10:Ivo,ask to keep direct route,False,False,none,none,True,False
165,12,11,central_repair_ring,Pax,Juno,choice:central_repair_ring:12:11:Pax,ask to keep direct route,False,False,none,none,True,False
166,12,12,riverbend_roofward,Ari,Fay,choice:riverbend_roofward:12:12:Ari,ask to merge detour,True,True,support_detour,"Ari: I saw the avatar choose orchard ridge detour for riverbend->roofward. Fay, can we agree on the recovery branch?",True,True
167,12,13,roofward_archive,Nia,Fay,choice:roofward_archive:12:13:Nia,ask to keep direct route,False,False,none,none,True,False
168,13,0,archive_signal,Nia,Milo,choice:archive_signal:13:0:Nia,ask to keep direct route,False,False,none,none,True,False
169,13,1,signal_orchard,Ivo,Milo,choice:signal_orchard:13:1:Ivo,ask to keep direct route,True,True,support_direct,"Ivo: I saw the avatar choose dusk road for signal_ridge->orchard_fen. Milo, can we agree on the recovery branch?",True,True
