tick,day,scene_id,agent,distance_to_avatar,collision_detected,collision_blocked,proximity_prompt_visible,prompt_kind,prompt_text,prompt_accuracy
31,3,v21-scene-d03,Ori,3.805522,1,1,1,collision,Step blocked: personal space or object path in use.,1.0
32,3,v21-scene-d03,Vonn,2.15824,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,1.0
33,3,v21-scene-d03,Sova,0.74108,1,1,1,talk,Sova: keep rest space visible before ember bowl.,1.0
34,3,v21-scene-d03,Keth,1.914158,0,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
35,3,v21-scene-d03,Melo,2.371919,0,0,0,ceremony,Melo: keep fair turn visible before tally beads.,0.666667
36,3,v21-scene-d03,Nari,2.532982,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,1.0
37,3,v21-scene-d03,Ori,3.608268,0,0,1,repair,Ori: keep repair warning visible before sap hook.,0.953333
38,3,v21-scene-d03,Vonn,2.64764,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,1.0
39,3,v21-scene-d03,Sova,1.300615,0,0,1,talk,Sova: keep rest space visible before ember bowl.,1.0
40,3,v21-scene-d03,Keth,1.64,0,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
41,3,v21-scene-d03,Melo,2.200454,0,0,1,ceremony,Melo: keep fair turn visible before tally beads.,1.0
42,3,v21-scene-d03,Nari,2.785678,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,1.0
43,3,v21-scene-d03,Ori,3.296847,0,0,1,repair,Ori: keep repair warning visible before sap hook.,1.0
44,3,v21-scene-d03,Vonn,2.90193,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,1.0
45,4,v21-scene-d04,Keth,1.100545,0,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
46,4,v21-scene-d04,Melo,2.164532,0,0,1,ceremony,Melo: keep fair turn visible before tally beads.,1.0
47,4,v21-scene-d04,Nari,2.944011,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,1.0
48,4,v21-scene-d04,Ori,3.296847,0,0,1,repair,Ori: keep repair warning visible before sap hook.,1.0
49,4,v21-scene-d04,Vonn,3.005927,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,1.0
50,4,v21-scene-d04,Sova,1.870722,0,0,1,talk,Sova: keep rest space visible before ember bowl.,1.0
51,4,v21-scene-d04,Keth,0.968297,0,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
52,4,v21-scene-d04,Melo,2.164532,0,0,1,ceremony,Melo: keep fair turn visible before tally beads.,1.0
53,4,v21-scene-d04,Nari,2.942108,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,1.0
54,4,v21-scene-d04,Ori,2.951949,0,0,1,repair,Ori: keep repair warning visible before sap hook.,1.0
55,4,v21-scene-d04,Vonn,3.16057,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,1.0
56,4,v21-scene-d04,Sova,2.140374,0,0,1,talk,Sova: keep rest space visible before ember bowl.,1.0
57,4,v21-scene-d04,Keth,1.100545,0,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
58,4,v21-scene-d04,Melo,2.164532,0,0,1,ceremony,Melo: keep fair turn visible before tally beads.,1.0
59,4,v21-scene-d04,Nari,3.139682,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,1.0
60,5,v21-scene-d05,Vonn,3.256317,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,1.0
61,5,v21-scene-d05,Sova,2.149325,0,0,1,talk,Sova: keep rest space visible before ember bowl.,1.0
62,5,v21-scene-d05,Keth,0.968297,1,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
63,5,v21-scene-d05,Melo,2.436473,0,0,1,ceremony,Melo: keep fair turn visible before tally beads.,1.0
64,5,v21-scene-d05,Nari,3.667151,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,0.953333
65,5,v21-scene-d05,Ori,3.282743,0,0,1,repair,Ori: keep repair warning visible before sap hook.,1.0
66,5,v21-scene-d05,Vonn,3.613585,0,0,0,collision,Step blocked: personal space or object path in use.,0.62
67,5,v21-scene-d05,Sova,2.184765,0,0,1,talk,Sova: keep rest space visible before ember bowl.,1.0
68,5,v21-scene-d05,Keth,1.336862,0,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
69,5,v21-scene-d05,Melo,2.64371,0,0,1,ceremony,Melo: keep fair turn visible before tally beads.,1.0
70,5,v21-scene-d05,Nari,3.341138,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,1.0
71,5,v21-scene-d05,Ori,3.507079,0,0,0,collision,Step blocked: personal space or object path in use.,0.62
72,5,v21-scene-d05,Vonn,3.005927,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,1.0
73,5,v21-scene-d05,Sova,1.86043,0,0,1,talk,Sova: keep rest space visible before ember bowl.,1.0
74,5,v21-scene-d05,Keth,1.100545,0,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
75,6,v21-scene-d06,Nari,2.944011,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,1.0
76,6,v21-scene-d06,Ori,3.296847,0,0,1,repair,Ori: keep repair warning visible before sap hook.,1.0
77,6,v21-scene-d06,Vonn,2.814605,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,1.0
78,6,v21-scene-d06,Sova,1.880957,0,0,1,talk,Sova: keep rest space visible before ember bowl.,1.0
79,6,v21-scene-d06,Keth,1.0469,0,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
80,6,v21-scene-d06,Melo,1.925097,0,0,1,ceremony,Melo: keep fair turn visible before tally beads.,1.0
81,6,v21-scene-d06,Nari,2.942108,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,1.0
82,6,v21-scene-d06,Ori,3.166891,0,0,1,repair,Ori: keep repair warning visible before sap hook.,1.0
83,6,v21-scene-d06,Vonn,3.256317,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,1.0
84,6,v21-scene-d06,Sova,2.149325,0,0,1,talk,Sova: keep rest space visible before ember bowl.,1.0
85,6,v21-scene-d06,Keth,1.132784,0,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
86,6,v21-scene-d06,Melo,2.64371,0,0,1,ceremony,Melo: keep fair turn visible before tally beads.,1.0
87,6,v21-scene-d06,Nari,3.667151,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,0.953333
88,6,v21-scene-d06,Ori,3.510271,0,0,1,repair,Ori: keep repair warning visible before sap hook.,0.953333
89,6,v21-scene-d06,Vonn,3.613585,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,0.953333
90,7,v21-scene-d07,Keth,0.967471,0,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
91,7,v21-scene-d07,Melo,2.436473,0,0,1,ceremony,Melo: keep fair turn visible before tally beads.,1.0
92,7,v21-scene-d07,Nari,3.484595,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,0.953333
93,7,v21-scene-d07,Ori,3.282743,1,0,1,repair,Ori: keep repair warning visible before sap hook.,1.0
94,7,v21-scene-d07,Vonn,3.613585,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,0.953333
95,7,v21-scene-d07,Sova,2.513722,0,0,1,talk,Sova: keep rest space visible before ember bowl.,1.0
96,7,v21-scene-d07,Keth,1.181863,0,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
97,7,v21-scene-d07,Melo,2.910464,0,0,0,ceremony,Melo: keep fair turn visible before tally beads.,0.666667
98,7,v21-scene-d07,Nari,4.050284,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,0.953333
99,7,v21-scene-d07,Ori,4.20119,0,0,1,repair,Ori: keep repair warning visible before sap hook.,0.953333
100,7,v21-scene-d07,Vonn,3.992242,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,0.953333
101,7,v21-scene-d07,Sova,2.683654,0,0,1,talk,Sova: keep rest space visible before ember bowl.,1.0
102,7,v21-scene-d07,Keth,1.632176,0,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
103,7,v21-scene-d07,Melo,3.386148,0,0,1,ceremony,Melo: keep fair turn visible before tally beads.,1.0
104,7,v21-scene-d07,Nari,4.249235,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,0.953333
105,8,v21-scene-d08,Vonn,3.77004,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,0.953333
106,8,v21-scene-d08,Sova,2.434173,0,0,1,talk,Sova: keep rest space visible before ember bowl.,1.0
107,8,v21-scene-d08,Keth,1.632176,0,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
108,8,v21-scene-d08,Melo,3.432142,0,0,1,ceremony,Melo: keep fair turn visible before tally beads.,0.953333
109,8,v21-scene-d08,Nari,4.579083,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,0.953333
110,8,v21-scene-d08,Ori,4.093165,0,0,1,repair,Ori: keep repair warning visible before sap hook.,0.953333
111,8,v21-scene-d08,Vonn,4.221327,0,0,0,collision,Step blocked: personal space or object path in use.,0.62
112,8,v21-scene-d08,Sova,2.683654,0,0,1,talk,Sova: keep rest space visible before ember bowl.,1.0
113,8,v21-scene-d08,Keth,1.632176,0,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
114,8,v21-scene-d08,Melo,3.362915,0,0,1,ceremony,Melo: keep fair turn visible before tally beads.,1.0
115,8,v21-scene-d08,Nari,4.103072,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,0.953333
116,8,v21-scene-d08,Ori,4.054874,0,0,0,collision,Step blocked: personal space or object path in use.,0.62
117,8,v21-scene-d08,Vonn,3.624638,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,0.953333
118,8,v21-scene-d08,Sova,2.329378,0,0,1,talk,Sova: keep rest space visible before ember bowl.,1.0
119,8,v21-scene-d08,Keth,1.735281,0,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
120,9,v21-scene-d09,Nari,4.103072,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,0.953333
121,9,v21-scene-d09,Ori,4.509945,0,0,0,collision,Step blocked: personal space or object path in use.,0.62
122,9,v21-scene-d09,Vonn,3.924742,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,0.953333
123,9,v21-scene-d09,Sova,2.328003,0,0,1,talk,Sova: keep rest space visible before ember bowl.,1.0
124,9,v21-scene-d09,Keth,2.078846,1,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
125,9,v21-scene-d09,Melo,3.362915,0,0,1,ceremony,Melo: keep fair turn visible before tally beads.,1.0
126,9,v21-scene-d09,Nari,3.757659,0,0,0,collision,Step blocked: personal space or object path in use.,0.62
127,9,v21-scene-d09,Ori,4.157162,0,0,1,repair,Ori: keep repair warning visible before sap hook.,0.953333
128,9,v21-scene-d09,Vonn,3.624638,0,0,0,observe,Vonn: keep quiet distance visible before listening shell.,0.62
129,9,v21-scene-d09,Sova,2.24544,0,0,1,talk,Sova: keep rest space visible before ember bowl.,1.0
130,9,v21-scene-d09,Keth,1.320606,0,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
131,9,v21-scene-d09,Melo,3.123139,0,0,1,ceremony,Melo: keep fair turn visible before tally beads.,1.0
132,9,v21-scene-d09,Nari,3.69432,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,0.953333
133,9,v21-scene-d09,Ori,3.829621,0,0,1,repair,Ori: keep repair warning visible before sap hook.,0.953333
134,9,v21-scene-d09,Vonn,3.489699,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,0.953333
135,10,v21-scene-d10,Keth,1.132784,0,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
136,10,v21-scene-d10,Melo,2.6732,0,0,1,ceremony,Melo: keep fair turn visible before tally beads.,1.0
137,10,v21-scene-d10,Nari,3.856008,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,0.953333
138,10,v21-scene-d10,Ori,3.739358,0,0,1,repair,Ori: keep repair warning visible before sap hook.,0.953333
139,10,v21-scene-d10,Vonn,3.728646,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,0.953333
140,10,v21-scene-d10,Sova,2.588977,0,0,1,talk,Sova: keep rest space visible before ember bowl.,1.0
141,10,v21-scene-d10,Keth,1.404564,0,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
142,10,v21-scene-d10,Melo,2.910464,0,0,1,ceremony,Melo: keep fair turn visible before tally beads.,1.0
143,10,v21-scene-d10,Nari,3.69432,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,0.953333
144,10,v21-scene-d10,Ori,3.829621,0,0,1,repair,Ori: keep repair warning visible before sap hook.,0.953333
145,10,v21-scene-d10,Vonn,3.366482,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,1.0
146,10,v21-scene-d10,Sova,2.184765,0,0,1,talk,Sova: keep rest space visible before ember bowl.,1.0
147,10,v21-scene-d10,Keth,0.967471,0,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
148,10,v21-scene-d10,Melo,2.6732,0,0,1,ceremony,Melo: keep fair turn visible before tally beads.,1.0
149,10,v21-scene-d10,Nari,3.496741,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,0.953333
150,11,v21-scene-d11,Vonn,3.366482,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,1.0
151,11,v21-scene-d11,Sova,2.184765,0,0,1,talk,Sova: keep rest space visible before ember bowl.,1.0
152,11,v21-scene-d11,Keth,0.967471,0,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
153,11,v21-scene-d11,Melo,2.6732,0,0,1,ceremony,Melo: keep fair turn visible before tally beads.,1.0
154,11,v21-scene-d11,Nari,3.667151,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,0.953333
155,11,v21-scene-d11,Ori,3.606272,1,1,1,repair,Ori: keep repair warning visible before sap hook.,1.0
156,11,v21-scene-d11,Vonn,3.613585,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,0.953333
157,11,v21-scene-d11,Sova,2.459675,0,0,1,talk,Sova: keep rest space visible before ember bowl.,1.0
158,11,v21-scene-d11,Keth,0.967471,0,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
159,11,v21-scene-d11,Melo,2.6732,0,0,0,ceremony,Melo: keep fair turn visible before tally beads.,0.666667
160,11,v21-scene-d11,Nari,3.667151,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,0.953333
161,11,v21-scene-d11,Ori,3.510271,0,0,1,repair,Ori: keep repair warning visible before sap hook.,0.953333
162,11,v21-scene-d11,Vonn,3.728646,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,0.953333
163,11,v21-scene-d11,Sova,2.459675,0,0,1,talk,Sova: keep rest space visible before ember bowl.,1.0
164,11,v21-scene-d11,Keth,0.863481,1,1,1,boundary,Keth: keep warning path visible before path cord.,1.0
165,12,v21-scene-d12,Nari,3.667151,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,0.953333
166,12,v21-scene-d12,Ori,3.510271,0,0,1,repair,Ori: keep repair warning visible before sap hook.,0.953333
167,12,v21-scene-d12,Vonn,3.613585,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,0.953333
168,12,v21-scene-d12,Sova,2.513722,0,0,1,talk,Sova: keep rest space visible before ember bowl.,1.0
169,12,v21-scene-d12,Keth,1.404564,0,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
170,12,v21-scene-d12,Melo,3.123139,0,0,1,ceremony,Melo: keep fair turn visible before tally beads.,1.0
171,12,v21-scene-d12,Nari,4.050284,0,0,0,collision,Step blocked: personal space or object path in use.,0.62
172,12,v21-scene-d12,Ori,3.969736,0,0,1,repair,Ori: keep repair warning visible before sap hook.,0.953333
173,12,v21-scene-d12,Vonn,4.091992,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,0.953333
174,12,v21-scene-d12,Sova,2.852438,0,0,1,talk,Sova: keep rest space visible before ember bowl.,1.0
175,12,v21-scene-d12,Keth,1.322422,0,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
176,12,v21-scene-d12,Melo,3.364818,0,0,1,collision,Step blocked: personal space or object path in use.,1.0
177,12,v21-scene-d12,Nari,4.412709,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,0.953333
178,12,v21-scene-d12,Ori,3.580223,0,0,1,repair,Ori: keep repair warning visible before sap hook.,0.953333
179,12,v21-scene-d12,Vonn,4.639526,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,0.953333
180,13,v21-scene-d13,Keth,1.255388,0,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
181,13,v21-scene-d13,Melo,3.265884,0,0,1,collision,Step blocked: personal space or object path in use.,1.0
182,13,v21-scene-d13,Nari,4.780795,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,0.953333
183,13,v21-scene-d13,Ori,3.820209,0,0,1,repair,Ori: keep repair warning visible before sap hook.,0.953333
184,13,v21-scene-d13,Vonn,4.830114,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,0.953333
185,13,v21-scene-d13,Sova,3.725211,0,0,1,talk,Sova: keep rest space visible before ember bowl.,0.953333
186,13,v21-scene-d13,Keth,1.686179,1,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
187,13,v21-scene-d13,Melo,3.696106,0,0,1,ceremony,Melo: keep fair turn visible before tally beads.,0.953333
188,13,v21-scene-d13,Nari,4.950475,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,0.953333
189,13,v21-scene-d13,Ori,4.060197,0,0,1,repair,Ori: keep repair warning visible before sap hook.,0.953333
190,13,v21-scene-d13,Vonn,4.940162,0,0,0,observe,Vonn: keep quiet distance visible before listening shell.,0.62
191,13,v21-scene-d13,Sova,3.725211,0,0,1,talk,Sova: keep rest space visible before ember bowl.,0.953333
192,13,v21-scene-d13,Keth,1.601,0,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
193,13,v21-scene-d13,Melo,3.814132,0,0,1,ceremony,Melo: keep fair turn visible before tally beads.,0.953333
194,13,v21-scene-d13,Nari,4.942226,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,0.953333
195,14,v21-scene-d14,Vonn,4.821162,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,0.953333
196,14,v21-scene-d14,Sova,3.806783,0,0,0,collision,Step blocked: personal space or object path in use.,0.62
197,14,v21-scene-d14,Keth,1.835647,0,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
198,14,v21-scene-d14,Melo,3.731005,0,0,1,ceremony,Melo: keep fair turn visible before tally beads.,0.953333
199,14,v21-scene-d14,Nari,4.942226,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,0.953333
200,14,v21-scene-d14,Ori,4.306692,0,0,1,repair,Ori: keep repair warning visible before sap hook.,0.953333
201,14,v21-scene-d14,Vonn,4.696083,0,0,0,collision,Step blocked: personal space or object path in use.,0.62
202,14,v21-scene-d14,Sova,3.460231,0,0,1,talk,Sova: keep rest space visible before ember bowl.,0.953333
203,14,v21-scene-d14,Keth,1.601,0,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
204,14,v21-scene-d14,Melo,3.588482,0,0,1,ceremony,Melo: keep fair turn visible before tally beads.,0.953333
205,14,v21-scene-d14,Nari,4.760168,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,0.953333
206,14,v21-scene-d14,Ori,4.067087,0,0,1,repair,Ori: keep repair warning visible before sap hook.,0.953333
207,14,v21-scene-d14,Vonn,4.696083,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,0.953333
208,14,v21-scene-d14,Sova,3.725211,0,0,1,talk,Sova: keep rest space visible before ember bowl.,0.953333
209,14,v21-scene-d14,Keth,1.686179,0,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
210,15,v21-scene-d15,Nari,4.950475,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,0.953333
211,15,v21-scene-d15,Ori,4.067087,0,0,0,collision,Step blocked: personal space or object path in use.,0.62
212,15,v21-scene-d15,Vonn,4.580175,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,0.953333
213,15,v21-scene-d15,Sova,3.387329,0,0,1,talk,Sova: keep rest space visible before ember bowl.,1.0
214,15,v21-scene-d15,Keth,1.13842,0,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
215,15,v21-scene-d15,Melo,3.143565,0,0,1,ceremony,Melo: keep fair turn visible before tally beads.,1.0
216,15,v21-scene-d15,Nari,4.216729,0,0,0,collision,Step blocked: personal space or object path in use.,0.62
217,15,v21-scene-d15,Ori,3.668297,1,1,1,repair,Ori: keep repair warning visible before sap hook.,1.0
218,15,v21-scene-d15,Vonn,4.221706,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,0.953333
219,15,v21-scene-d15,Sova,3.056599,0,0,1,talk,Sova: keep rest space visible before ember bowl.,1.0
220,15,v21-scene-d15,Keth,0.843801,1,1,1,boundary,Keth: keep warning path visible before path cord.,1.0
221,15,v21-scene-d15,Melo,3.04217,0,0,0,ceremony,Melo: keep fair turn visible before tally beads.,0.666667
222,15,v21-scene-d15,Nari,4.216729,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,0.953333
223,15,v21-scene-d15,Ori,3.617568,0,0,1,repair,Ori: keep repair warning visible before sap hook.,0.953333
224,15,v21-scene-d15,Vonn,4.474148,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,0.953333
225,16,v21-scene-d16,Keth,1.13842,0,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
226,16,v21-scene-d16,Melo,3.04217,0,0,1,ceremony,Melo: keep fair turn visible before tally beads.,1.0
227,16,v21-scene-d16,Nari,4.030682,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,0.953333
228,16,v21-scene-d16,Ori,3.617568,0,0,1,repair,Ori: keep repair warning visible before sap hook.,0.953333
229,16,v21-scene-d16,Vonn,4.221706,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,0.953333
230,16,v21-scene-d16,Sova,3.056599,0,0,1,talk,Sova: keep rest space visible before ember bowl.,1.0
231,16,v21-scene-d16,Keth,1.322422,0,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
232,16,v21-scene-d16,Melo,3.270291,0,0,1,ceremony,Melo: keep fair turn visible before tally beads.,1.0
233,16,v21-scene-d16,Nari,4.579083,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,0.953333
234,16,v21-scene-d16,Ori,4.093165,0,0,1,repair,Ori: keep repair warning visible before sap hook.,0.953333
235,16,v21-scene-d16,Vonn,4.587854,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,0.953333
236,16,v21-scene-d16,Sova,3.292476,0,0,1,talk,Sova: keep rest space visible before ember bowl.,1.0
237,16,v21-scene-d16,Keth,1.835647,0,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
238,16,v21-scene-d16,Melo,3.814132,0,0,1,ceremony,Melo: keep fair turn visible before tally beads.,0.953333
239,16,v21-scene-d16,Nari,4.760168,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,0.953333
240,17,v21-scene-d17,Vonn,4.456232,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,0.953333
241,17,v21-scene-d17,Sova,3.197812,0,0,1,talk,Sova: keep rest space visible before ember bowl.,1.0
242,17,v21-scene-d17,Keth,1.56205,0,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
243,17,v21-scene-d17,Melo,3.588482,0,0,1,ceremony,Melo: keep fair turn visible before tally beads.,0.953333
244,17,v21-scene-d17,Nari,4.760168,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,0.953333
245,17,v21-scene-d17,Ori,3.827532,0,0,1,repair,Ori: keep repair warning visible before sap hook.,0.953333
246,17,v21-scene-d17,Vonn,4.580175,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,0.953333
247,17,v21-scene-d17,Sova,3.387329,0,0,1,talk,Sova: keep rest space visible before ember bowl.,1.0
248,17,v21-scene-d17,Keth,1.368211,1,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
249,17,v21-scene-d17,Melo,3.270291,0,0,1,ceremony,Melo: keep fair turn visible before tally beads.,1.0
250,17,v21-scene-d17,Nari,4.579083,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,0.953333
251,17,v21-scene-d17,Ori,4.093165,0,0,1,repair,Ori: keep repair warning visible before sap hook.,0.953333
