tick_id,day,settlement_id,resident_id,public_summary,memory_delta,continuity_before,continuity_after,history_hash_before,history_hash_after,private_workspace_sealed,no_private_memory_dump,no_llm_call,memory_safe
26,2,lichen_bridge,Kio,Kio heard 'I touch rope post' and answered 'signal hush first',bounded turn remembered,0.628,0.636,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
27,2,orchid_engine,Cai,Cai heard 'I ask valve custom' and answered 'orchid lamp rests',phrase repair remembered,0.628,0.642,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
28,2,moss_ward,Milo,Milo heard 'I offer trade' and answered 'blanket path clear',phrase repair remembered,0.628,0.642,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
29,2,glass_harbor,Sera,Sera heard 'I do not dim lamp' and answered 'fog catcher closed',phrase repair remembered,0.628,0.636,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
30,2,cinder_garden,Juno,Juno heard 'I need translation' and answered 'repeat without hurry',bounded turn remembered,0.634,0.642,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
31,2,lichen_bridge,Luma,Luma heard 'I touch rope post' and answered 'signal hush first',bounded turn remembered,0.634,0.642,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
32,2,orchid_engine,Dax,Dax heard 'I ask valve custom' and answered 'orchid lamp rests',bounded turn remembered,0.62,0.628,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
33,2,moss_ward,Tala,Tala heard 'I offer trade' and answered 'blanket path clear',phrase repair remembered,0.62,0.634,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
34,2,glass_harbor,Nia,Nia heard 'I do not dim lamp' and answered 'fog catcher closed',phrase repair remembered,0.628,0.642,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
35,2,cinder_garden,Pax,Pax heard 'I need translation' and answered 'repeat without hurry',phrase repair remembered,0.628,0.636,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
36,3,orchid_engine,Bea,Bea heard 'I do not turn key' and answered 'cup before engine',bounded turn remembered,0.642,0.65,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
37,3,moss_ward,Fay,Fay heard 'I need translation' and answered 'speak slower',bounded turn remembered,0.636,0.644,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
38,3,glass_harbor,Puck,Puck heard 'I wait by lamp' and answered 'tea before crossing',phrase repair remembered,0.642,0.656,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
39,3,cinder_garden,Wren,Wren heard 'I ask seed path' and answered 'seed rows sleep',phrase repair remembered,0.642,0.656,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
40,3,lichen_bridge,Kio,Kio heard 'I offer rope help' and answered 'meal room welcomes',phrase repair remembered,0.636,0.644,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
41,3,orchid_engine,Cai,Cai heard 'I do not turn key' and answered 'cup before engine',bounded turn remembered,0.642,0.65,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
42,3,moss_ward,Milo,Milo heard 'I need translation' and answered 'speak slower',bounded turn remembered,0.642,0.65,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
43,3,glass_harbor,Sera,Sera heard 'I wait by lamp' and answered 'tea before crossing',bounded turn remembered,0.636,0.644,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
44,3,cinder_garden,Juno,Juno heard 'I ask seed path' and answered 'seed rows sleep',phrase repair remembered,0.642,0.656,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
45,3,lichen_bridge,Luma,Luma heard 'I offer rope help' and answered 'meal room welcomes',phrase repair remembered,0.642,0.656,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
46,3,orchid_engine,Dax,Dax heard 'I do not turn key' and answered 'cup before engine',phrase repair remembered,0.628,0.636,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
47,3,moss_ward,Tala,Tala heard 'I need translation' and answered 'speak slower',bounded turn remembered,0.634,0.642,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
48,3,glass_harbor,Nia,Nia heard 'I wait by lamp' and answered 'tea before crossing',bounded turn remembered,0.642,0.65,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
49,3,cinder_garden,Pax,Pax heard 'I ask seed path' and answered 'seed rows sleep',bounded turn remembered,0.636,0.644,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
50,3,lichen_bridge,Rin,Rin heard 'I offer rope help' and answered 'meal room welcomes',phrase repair remembered,0.628,0.642,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
51,3,orchid_engine,Eli,Eli heard 'I do not turn key' and answered 'cup before engine',phrase repair remembered,0.628,0.642,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
52,3,moss_ward,Ari,Ari heard 'I need translation' and answered 'speak slower',phrase repair remembered,0.642,0.65,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
53,3,glass_harbor,Oren,Oren heard 'I wait by lamp' and answered 'tea before crossing',bounded turn remembered,0.642,0.65,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
54,4,lichen_bridge,Kio,Kio heard 'I need translation' and answered 'gesture again',bounded turn remembered,0.644,0.652,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
55,4,orchid_engine,Cai,Cai heard 'I wait outside ring' and answered 'valve listener first',phrase repair remembered,0.65,0.664,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
56,4,moss_ward,Milo,Milo heard 'I ask rain custom' and answered 'rain clay is named',phrase repair remembered,0.65,0.664,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
57,4,glass_harbor,Sera,Sera heard 'I offer salt token' and answered 'net has keeper',phrase repair remembered,0.644,0.652,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
58,4,cinder_garden,Juno,Juno heard 'I do not cross rows' and answered 'ash path open',bounded turn remembered,0.656,0.664,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
59,4,lichen_bridge,Luma,Luma heard 'I need translation' and answered 'gesture again',bounded turn remembered,0.656,0.664,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
60,4,orchid_engine,Dax,Dax heard 'I wait outside ring' and answered 'valve listener first',bounded turn remembered,0.636,0.644,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
61,4,moss_ward,Tala,Tala heard 'I ask rain custom' and answered 'rain clay is named',phrase repair remembered,0.642,0.656,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
62,4,glass_harbor,Nia,Nia heard 'I offer salt token' and answered 'net has keeper',phrase repair remembered,0.65,0.664,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
63,4,cinder_garden,Pax,Pax heard 'I do not cross rows' and answered 'ash path open',phrase repair remembered,0.644,0.652,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
64,4,lichen_bridge,Rin,Rin heard 'I need translation' and answered 'gesture again',bounded turn remembered,0.642,0.65,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
65,4,orchid_engine,Eli,Eli heard 'I wait outside ring' and answered 'valve listener first',bounded turn remembered,0.642,0.65,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
66,4,moss_ward,Ari,Ari heard 'I ask rain custom' and answered 'rain clay is named',bounded turn remembered,0.65,0.658,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
67,4,glass_harbor,Oren,Oren heard 'I offer salt token' and answered 'net has keeper',phrase repair remembered,0.65,0.664,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
68,4,cinder_garden,Vale,Vale heard 'I do not cross rows' and answered 'ash path open',phrase repair remembered,0.636,0.65,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
69,4,lichen_bridge,Sol,Sol heard 'I need translation' and answered 'gesture again',phrase repair remembered,0.642,0.65,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
70,4,orchid_engine,Bea,Bea heard 'I wait outside ring' and answered 'valve listener first',bounded turn remembered,0.65,0.658,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
71,4,moss_ward,Fay,Fay heard 'I ask rain custom' and answered 'rain clay is named',bounded turn remembered,0.644,0.652,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
72,5,cinder_garden,Juno,Juno heard 'I bow to shade' and answered 'shade cloth first',phrase repair remembered,0.664,0.678,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
73,5,lichen_bridge,Luma,Luma heard 'I ask bell custom' and answered 'rope has tension',phrase repair remembered,0.664,0.678,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
74,5,orchid_engine,Dax,Dax heard 'I offer gear cloth' and answered 'gear lane open',phrase repair remembered,0.644,0.652,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
75,5,moss_ward,Tala,Tala heard 'I do not touch' and answered 'trade can wait',bounded turn remembered,0.656,0.664,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
76,5,glass_harbor,Nia,Nia heard 'I need translation' and answered 'repeat with bell',bounded turn remembered,0.664,0.672,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
77,5,cinder_garden,Pax,Pax heard 'I bow to shade' and answered 'shade cloth first',bounded turn remembered,0.652,0.66,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
78,5,lichen_bridge,Rin,Rin heard 'I ask bell custom' and answered 'rope has tension',phrase repair remembered,0.65,0.664,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
79,5,orchid_engine,Eli,Eli heard 'I offer gear cloth' and answered 'gear lane open',phrase repair remembered,0.65,0.664,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
80,5,moss_ward,Ari,Ari heard 'I do not touch' and answered 'trade can wait',phrase repair remembered,0.658,0.666,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
81,5,glass_harbor,Oren,Oren heard 'I need translation' and answered 'repeat with bell',bounded turn remembered,0.664,0.672,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
82,5,cinder_garden,Vale,Vale heard 'I bow to shade' and answered 'shade cloth first',bounded turn remembered,0.65,0.658,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
83,5,lichen_bridge,Sol,Sol heard 'I ask bell custom' and answered 'rope has tension',bounded turn remembered,0.65,0.658,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
84,5,orchid_engine,Bea,Bea heard 'I offer gear cloth' and answered 'gear lane open',phrase repair remembered,0.658,0.672,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
85,5,moss_ward,Fay,Fay heard 'I do not touch' and answered 'trade can wait',phrase repair remembered,0.652,0.666,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
86,5,glass_harbor,Puck,Puck heard 'I need translation' and answered 'repeat with bell',phrase repair remembered,0.656,0.664,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
87,5,cinder_garden,Wren,Wren heard 'I bow to shade' and answered 'shade cloth first',bounded turn remembered,0.656,0.664,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
88,5,lichen_bridge,Kio,Kio heard 'I ask bell custom' and answered 'rope has tension',bounded turn remembered,0.652,0.66,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
89,5,orchid_engine,Cai,Cai heard 'I offer gear cloth' and answered 'gear lane open',bounded turn remembered,0.664,0.672,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
90,6,glass_harbor,Nia,Nia heard 'I ask net owner' and answered 'lamp stays bright',phrase repair remembered,0.672,0.686,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
91,6,cinder_garden,Pax,Pax heard 'I offer cool stone' and answered 'cool hand means wait',phrase repair remembered,0.66,0.668,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
92,6,lichen_bridge,Rin,Rin heard 'I do not step on rope' and answered 'bell has keeper',bounded turn remembered,0.664,0.672,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
93,6,orchid_engine,Eli,Eli heard 'I need translation' and answered 'say it with palms',bounded turn remembered,0.664,0.672,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
94,6,moss_ward,Ari,Ari heard 'I wait' and answered 'warm cup first',bounded turn remembered,0.666,0.674,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
95,6,glass_harbor,Oren,Oren heard 'I ask net owner' and answered 'lamp stays bright',phrase repair remembered,0.672,0.686,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
96,6,cinder_garden,Vale,Vale heard 'I offer cool stone' and answered 'cool hand means wait',phrase repair remembered,0.658,0.672,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
97,6,lichen_bridge,Sol,Sol heard 'I do not step on rope' and answered 'bell has keeper',phrase repair remembered,0.658,0.666,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
98,6,orchid_engine,Bea,Bea heard 'I need translation' and answered 'say it with palms',bounded turn remembered,0.672,0.68,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
99,6,moss_ward,Fay,Fay heard 'I wait' and answered 'warm cup first',bounded turn remembered,0.666,0.674,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
100,6,glass_harbor,Puck,Puck heard 'I ask net owner' and answered 'lamp stays bright',bounded turn remembered,0.664,0.672,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
101,6,cinder_garden,Wren,Wren heard 'I offer cool stone' and answered 'cool hand means wait',phrase repair remembered,0.664,0.678,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
102,6,lichen_bridge,Kio,Kio heard 'I do not step on rope' and answered 'bell has keeper',phrase repair remembered,0.66,0.674,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
103,6,orchid_engine,Cai,Cai heard 'I need translation' and answered 'say it with palms',phrase repair remembered,0.672,0.68,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
104,6,moss_ward,Milo,Milo heard 'I wait' and answered 'warm cup first',bounded turn remembered,0.664,0.672,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
105,6,glass_harbor,Sera,Sera heard 'I ask net owner' and answered 'lamp stays bright',bounded turn remembered,0.652,0.66,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
106,6,cinder_garden,Juno,Juno heard 'I offer cool stone' and answered 'cool hand means wait',bounded turn remembered,0.678,0.686,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
107,6,lichen_bridge,Luma,Luma heard 'I do not step on rope' and answered 'bell has keeper',phrase repair remembered,0.678,0.692,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
108,7,moss_ward,Ari,Ari heard 'I offer trade' and answered 'blanket path clear',phrase repair remembered,0.674,0.682,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
109,7,glass_harbor,Oren,Oren heard 'I do not dim lamp' and answered 'fog catcher closed',bounded turn remembered,0.686,0.694,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
110,7,cinder_garden,Vale,Vale heard 'I need translation' and answered 'repeat without hurry',bounded turn remembered,0.672,0.68,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
111,7,lichen_bridge,Sol,Sol heard 'I touch rope post' and answered 'signal hush first',bounded turn remembered,0.666,0.674,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
112,7,orchid_engine,Bea,Bea heard 'I ask valve custom' and answered 'orchid lamp rests',phrase repair remembered,0.68,0.694,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
113,7,moss_ward,Fay,Fay heard 'I offer trade' and answered 'blanket path clear',phrase repair remembered,0.674,0.688,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
114,7,glass_harbor,Puck,Puck heard 'I do not dim lamp' and answered 'fog catcher closed',phrase repair remembered,0.672,0.68,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
115,7,cinder_garden,Wren,Wren heard 'I need translation' and answered 'repeat without hurry',bounded turn remembered,0.678,0.686,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
116,7,lichen_bridge,Kio,Kio heard 'I touch rope post' and answered 'signal hush first',bounded turn remembered,0.674,0.682,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
117,7,orchid_engine,Cai,Cai heard 'I ask valve custom' and answered 'orchid lamp rests',bounded turn remembered,0.68,0.688,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
118,7,moss_ward,Milo,Milo heard 'I offer trade' and answered 'blanket path clear',phrase repair remembered,0.672,0.686,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
119,7,glass_harbor,Sera,Sera heard 'I do not dim lamp' and answered 'fog catcher closed',phrase repair remembered,0.66,0.674,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
120,7,cinder_garden,Juno,Juno heard 'I need translation' and answered 'repeat without hurry',phrase repair remembered,0.686,0.694,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
121,7,lichen_bridge,Luma,Luma heard 'I touch rope post' and answered 'signal hush first',bounded turn remembered,0.692,0.7,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
122,7,orchid_engine,Dax,Dax heard 'I ask valve custom' and answered 'orchid lamp rests',bounded turn remembered,0.652,0.66,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
123,7,moss_ward,Tala,Tala heard 'I offer trade' and answered 'blanket path clear',bounded turn remembered,0.664,0.672,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
124,7,glass_harbor,Nia,Nia heard 'I do not dim lamp' and answered 'fog catcher closed',phrase repair remembered,0.686,0.7,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
125,7,cinder_garden,Pax,Pax heard 'I need translation' and answered 'repeat without hurry',phrase repair remembered,0.668,0.682,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
126,8,orchid_engine,Bea,Bea heard 'I do not turn key' and answered 'cup before engine',bounded turn remembered,0.694,0.702,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
127,8,moss_ward,Fay,Fay heard 'I need translation' and answered 'speak slower',bounded turn remembered,0.688,0.696,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
128,8,glass_harbor,Puck,Puck heard 'I wait by lamp' and answered 'tea before crossing',bounded turn remembered,0.68,0.688,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
129,8,cinder_garden,Wren,Wren heard 'I ask seed path' and answered 'seed rows sleep',phrase repair remembered,0.686,0.7,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
130,8,lichen_bridge,Kio,Kio heard 'I offer rope help' and answered 'meal room welcomes',phrase repair remembered,0.682,0.696,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
131,8,orchid_engine,Cai,Cai heard 'I do not turn key' and answered 'cup before engine',phrase repair remembered,0.688,0.696,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
132,8,moss_ward,Milo,Milo heard 'I need translation' and answered 'speak slower',bounded turn remembered,0.686,0.694,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
133,8,glass_harbor,Sera,Sera heard 'I wait by lamp' and answered 'tea before crossing',bounded turn remembered,0.674,0.682,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
134,8,cinder_garden,Juno,Juno heard 'I ask seed path' and answered 'seed rows sleep',bounded turn remembered,0.694,0.702,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
135,8,lichen_bridge,Luma,Luma heard 'I offer rope help' and answered 'meal room welcomes',phrase repair remembered,0.7,0.714,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
136,8,orchid_engine,Dax,Dax heard 'I do not turn key' and answered 'cup before engine',phrase repair remembered,0.66,0.674,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
137,8,moss_ward,Tala,Tala heard 'I need translation' and answered 'speak slower',phrase repair remembered,0.672,0.68,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
138,8,glass_harbor,Nia,Nia heard 'I wait by lamp' and answered 'tea before crossing',bounded turn remembered,0.7,0.708,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
139,8,cinder_garden,Pax,Pax heard 'I ask seed path' and answered 'seed rows sleep',bounded turn remembered,0.682,0.69,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
140,8,lichen_bridge,Rin,Rin heard 'I offer rope help' and answered 'meal room welcomes',bounded turn remembered,0.672,0.68,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
141,8,orchid_engine,Eli,Eli heard 'I do not turn key' and answered 'cup before engine',phrase repair remembered,0.672,0.686,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
142,8,moss_ward,Ari,Ari heard 'I need translation' and answered 'speak slower',phrase repair remembered,0.682,0.696,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
143,8,glass_harbor,Oren,Oren heard 'I wait by lamp' and answered 'tea before crossing',phrase repair remembered,0.694,0.702,3fab5b0e1ed21fb4,3fab5b0e1ed21fb4,True,True,True,True
