tick_id,day,settlement_id,resident_id,object_id,avatar_choice,remembered_debt,remembered_default,prompt,resident_reply,debt_before,debt_after,trust_before,trust_after,choice_visible,choice_affects_state,private_memory_not_dumped
104,6,archive,Rin,signal spool,offer_return_help,0.143,not due,offer return help,"Rin: Help with returning signal spool, not with erasing the debt.",0.143,0.129,0.639,0.645,True,True,True
105,6,signal,Milo,oil lantern,choose_repay,0.072,not due,repay remembered object debt,Milo: Repayment lowers the oil lantern debt.,0.072,0.052,0.652,0.66,True,True,True
106,6,orchard,Mara,dry cord,choose_ignore,0.126,defaulted,ignore remembered debt,Mara: Ignoring the dry cord debt keeps it on the board.,0.126,0.132,0.612,0.609,True,True,True
108,7,roofward,Sera,shade cloth,absent,0.07,defaulted,ask debt status,Sera: The shade cloth debt is remembered by role and witness.,0.07,0.071,0.64,0.64,True,True,True
110,7,signal,Oda,oil lantern,offer_return_help,0.164,not due,offer return help,"Oda: Help with returning oil lantern, not with erasing the debt.",0.164,0.15,0.661,0.667,True,True,True
111,7,orchard,Ivo,dry cord,choose_repay,0.15,defaulted,repay remembered object debt,Ivo: Repayment lowers the dry cord debt.,0.15,0.13,0.64,0.648,True,True,True
112,7,repair_ring,Pax,cool cloth,choose_ignore,0.103,defaulted,ignore remembered debt,Pax: Ignoring the cool cloth debt keeps it on the board.,0.103,0.109,0.667,0.664,True,True,True
113,7,riverbend,Cee,cedar plank,offer_return_help,0.166,defaulted,offer return help,"Cee: Help with returning cedar plank, not with erasing the debt.",0.166,0.152,0.652,0.658,True,True,True
114,7,roofward,Bex,herb ledger,choose_repay,0.149,not due,repay remembered object debt,Bex: Repayment lowers the herb ledger debt.,0.149,0.129,0.64,0.648,True,True,True
115,7,archive,Nia,memory tag,choose_ignore,0.145,defaulted,ignore remembered debt,Nia: Ignoring the memory tag debt keeps it on the board.,0.145,0.151,0.645,0.642,True,True,True
117,7,orchard,Pim,seed satchel,listen_later,0.118,defaulted,ask debt status,Pim: The seed satchel debt is remembered by role and witness.,0.118,0.119,0.645,0.645,True,True,True
118,7,repair_ring,Wren,copper wire,offer_return_help,0.138,not due,offer return help,"Wren: Help with returning copper wire, not with erasing the debt.",0.138,0.124,0.628,0.634,True,True,True
120,7,roofward,Sera,shade cloth,listen_later,0.095,defaulted,ask debt status,Sera: The shade cloth debt is remembered by role and witness.,0.095,0.096,0.628,0.628,True,True,True
121,7,archive,Vell,signal spool,offer_return_help,0.146,defaulted,offer return help,"Vell: Help with returning signal spool, not with erasing the debt.",0.146,0.132,0.63,0.636,True,True,True
122,7,signal,Oda,oil lantern,choose_repay,0.162,not due,repay remembered object debt,Oda: Repayment lowers the oil lantern debt.,0.162,0.142,0.661,0.669,True,True,True
123,7,orchard,Ivo,dry cord,choose_ignore,0.166,defaulted,ignore remembered debt,Ivo: Ignoring the dry cord debt keeps it on the board.,0.166,0.172,0.63,0.627,True,True,True
125,7,riverbend,Cee,cedar plank,choose_repay,0.164,defaulted,repay remembered object debt,Cee: Repayment lowers the cedar plank debt.,0.164,0.144,0.652,0.66,True,True,True
126,8,archive,Toma,signal spool,listen_later,0.142,defaulted,ask debt status,Toma: The signal spool debt is remembered by role and witness.,0.142,0.143,0.614,0.614,True,True,True
127,8,signal,Kesh,oil lantern,offer_return_help,0.101,defaulted,offer return help,"Kesh: Help with returning oil lantern, not with erasing the debt.",0.101,0.087,0.645,0.651,True,True,True
128,8,orchard,Suf,dry cord,choose_repay,0.152,defaulted,repay remembered object debt,Suf: Repayment lowers the dry cord debt.,0.152,0.132,0.622,0.63,True,True,True
129,8,repair_ring,Juno,cool cloth,choose_ignore,0.131,defaulted,ignore remembered debt,Juno: Ignoring the cool cloth debt keeps it on the board.,0.131,0.137,0.631,0.628,True,True,True
130,8,riverbend,Lio,cedar plank,offer_return_help,0.203,defaulted,offer return help,"Lio: Help with returning cedar plank, not with erasing the debt.",0.203,0.189,0.634,0.64,True,True,True
131,8,roofward,Orr,herb ledger,choose_repay,0.132,defaulted,repay remembered object debt,Orr: Repayment lowers the herb ledger debt.,0.132,0.112,0.64,0.648,True,True,True
132,8,archive,Rin,memory tag,choose_ignore,0.129,not due,ignore remembered debt,Rin: Ignoring the memory tag debt keeps it on the board.,0.129,0.135,0.645,0.642,True,True,True
135,8,repair_ring,Vale,copper wire,offer_return_help,0.15,defaulted,offer return help,"Vale: Help with returning copper wire, not with erasing the debt.",0.15,0.136,0.622,0.628,True,True,True
138,8,archive,Toma,signal spool,offer_return_help,0.167,defaulted,offer return help,"Toma: Help with returning signal spool, not with erasing the debt.",0.167,0.153,0.612,0.618,True,True,True
139,8,signal,Kesh,oil lantern,choose_repay,0.099,defaulted,repay remembered object debt,Kesh: Repayment lowers the oil lantern debt.,0.099,0.079,0.645,0.653,True,True,True
140,8,orchard,Suf,dry cord,choose_ignore,0.18,defaulted,ignore remembered debt,Suf: Ignoring the dry cord debt keeps it on the board.,0.18,0.186,0.606,0.603,True,True,True
141,8,repair_ring,Juno,cool cloth,absent,0.173,defaulted,ask debt status,Juno: The cool cloth debt is remembered by role and witness.,0.173,0.174,0.61,0.61,True,True,True
142,8,riverbend,Lio,cedar plank,choose_repay,0.213,defaulted,repay remembered object debt,Lio: Repayment lowers the cedar plank debt.,0.213,0.193,0.628,0.636,True,True,True
143,8,roofward,Orr,herb ledger,choose_ignore,0.112,not due,ignore remembered debt,Orr: Ignoring the herb ledger debt keeps it on the board.,0.112,0.118,0.648,0.645,True,True,True
144,9,signal,Ren,oil lantern,offer_return_help,0.095,defaulted,offer return help,"Ren: Help with returning oil lantern, not with erasing the debt.",0.095,0.081,0.679,0.685,True,True,True
145,9,orchard,Pim,dry cord,choose_repay,0.167,defaulted,repay remembered object debt,Pim: Repayment lowers the dry cord debt.,0.167,0.147,0.621,0.629,True,True,True
146,9,repair_ring,Wren,cool cloth,choose_ignore,0.172,defaulted,ignore remembered debt,Wren: Ignoring the cool cloth debt keeps it on the board.,0.172,0.178,0.61,0.607,True,True,True
147,9,riverbend,Ari,cedar plank,offer_return_help,0.151,defaulted,offer return help,"Ari: Help with returning cedar plank, not with erasing the debt.",0.151,0.137,0.653,0.659,True,True,True
148,9,roofward,Sera,herb ledger,choose_repay,0.096,not due,repay remembered object debt,Sera: Repayment lowers the herb ledger debt.,0.096,0.076,0.628,0.636,True,True,True
149,9,archive,Vell,memory tag,choose_ignore,0.144,not due,ignore remembered debt,Vell: Ignoring the memory tag debt keeps it on the board.,0.144,0.15,0.63,0.627,True,True,True
150,9,signal,Oda,wind wrap,absent,0.166,defaulted,ask debt status,Oda: The wind wrap debt is remembered by role and witness.,0.166,0.167,0.657,0.657,True,True,True
152,9,repair_ring,Pax,copper wire,offer_return_help,0.157,defaulted,offer return help,"Pax: Help with returning copper wire, not with erasing the debt.",0.157,0.143,0.65,0.656,True,True,True
153,9,riverbend,Cee,binding cord,absent,0.192,defaulted,ask debt status,Cee: The binding cord debt is remembered by role and witness.,0.192,0.193,0.636,0.636,True,True,True
155,9,archive,Nia,signal spool,offer_return_help,0.187,defaulted,offer return help,"Nia: Help with returning signal spool, not with erasing the debt.",0.187,0.173,0.634,0.64,True,True,True
156,9,signal,Ren,oil lantern,choose_repay,0.105,defaulted,repay remembered object debt,Ren: Repayment lowers the oil lantern debt.,0.105,0.085,0.673,0.681,True,True,True
157,9,orchard,Pim,dry cord,choose_ignore,0.195,defaulted,ignore remembered debt,Pim: Ignoring the dry cord debt keeps it on the board.,0.195,0.201,0.605,0.602,True,True,True
159,9,riverbend,Ari,cedar plank,choose_repay,0.173,defaulted,repay remembered object debt,Ari: Repayment lowers the cedar plank debt.,0.173,0.153,0.641,0.649,True,True,True
160,9,roofward,Sera,herb ledger,choose_ignore,0.076,not due,ignore remembered debt,Sera: Ignoring the herb ledger debt keeps it on the board.,0.076,0.082,0.636,0.633,True,True,True
162,10,orchard,Mara,dry cord,choose_repay,0.204,defaulted,repay remembered object debt,Mara: Repayment lowers the dry cord debt.,0.204,0.184,0.573,0.581,True,True,True
163,10,repair_ring,Vale,cool cloth,choose_ignore,0.184,defaulted,ignore remembered debt,Vale: Ignoring the cool cloth debt keeps it on the board.,0.184,0.19,0.604,0.601,True,True,True
164,10,riverbend,Nox,cedar plank,offer_return_help,0.21,defaulted,offer return help,"Nox: Help with returning cedar plank, not with erasing the debt.",0.21,0.196,0.623,0.629,True,True,True
165,10,roofward,Fay,herb ledger,choose_repay,0.098,not due,repay remembered object debt,Fay: Repayment lowers the herb ledger debt.,0.098,0.078,0.648,0.656,True,True,True
166,10,archive,Toma,memory tag,choose_ignore,0.165,defaulted,ignore remembered debt,Toma: Ignoring the memory tag debt keeps it on the board.,0.165,0.171,0.612,0.609,True,True,True
168,10,orchard,Suf,seed satchel,listen_later,0.234,defaulted,ask debt status,Suf: The seed satchel debt is remembered by role and witness.,0.234,0.235,0.579,0.579,True,True,True
169,10,repair_ring,Juno,copper wire,offer_return_help,0.21,defaulted,offer return help,"Juno: Help with returning copper wire, not with erasing the debt.",0.21,0.196,0.602,0.608,True,True,True
171,10,roofward,Orr,shade cloth,listen_later,0.118,not due,ask debt status,Orr: The shade cloth debt is remembered by role and witness.,0.118,0.119,0.645,0.645,True,True,True
172,10,archive,Rin,signal spool,offer_return_help,0.183,defaulted,offer return help,"Rin: Help with returning signal spool, not with erasing the debt.",0.183,0.169,0.628,0.634,True,True,True
173,10,signal,Milo,oil lantern,choose_repay,0.1,defaulted,repay remembered object debt,Milo: Repayment lowers the oil lantern debt.,0.1,0.08,0.636,0.644,True,True,True
174,10,orchard,Mara,dry cord,choose_ignore,0.232,defaulted,ignore remembered debt,Mara: Ignoring the dry cord debt keeps it on the board.,0.232,0.238,0.557,0.554,True,True,True
176,10,riverbend,Nox,cedar plank,choose_repay,0.196,not due,repay remembered object debt,Nox: Repayment lowers the cedar plank debt.,0.196,0.176,0.629,0.637,True,True,True
177,10,roofward,Fay,herb ledger,choose_ignore,0.078,not due,ignore remembered debt,Fay: Ignoring the herb ledger debt keeps it on the board.,0.078,0.084,0.656,0.653,True,True,True
180,11,repair_ring,Pax,cool cloth,choose_ignore,0.191,defaulted,ignore remembered debt,Pax: Ignoring the cool cloth debt keeps it on the board.,0.191,0.197,0.632,0.629,True,True,True
181,11,riverbend,Cee,cedar plank,offer_return_help,0.193,not due,offer return help,"Cee: Help with returning cedar plank, not with erasing the debt.",0.193,0.179,0.646,0.652,True,True,True
182,11,roofward,Bex,herb ledger,choose_repay,0.141,not due,repay remembered object debt,Bex: Repayment lowers the herb ledger debt.,0.141,0.121,0.642,0.65,True,True,True
183,11,archive,Nia,memory tag,choose_ignore,0.197,defaulted,ignore remembered debt,Nia: Ignoring the memory tag debt keeps it on the board.,0.197,0.203,0.628,0.625,True,True,True
186,11,repair_ring,Wren,copper wire,offer_return_help,0.274,defaulted,offer return help,"Wren: Help with returning copper wire, not with erasing the debt.",0.274,0.26,0.569,0.575,True,True,True
189,11,archive,Vell,signal spool,offer_return_help,0.21,defaulted,offer return help,"Vell: Help with returning signal spool, not with erasing the debt.",0.21,0.196,0.607,0.613,True,True,True
190,11,signal,Oda,oil lantern,choose_repay,0.215,defaulted,repay remembered object debt,Oda: Repayment lowers the oil lantern debt.,0.215,0.195,0.633,0.641,True,True,True
191,11,orchard,Ivo,dry cord,choose_ignore,0.256,defaulted,ignore remembered debt,Ivo: Ignoring the dry cord debt keeps it on the board.,0.256,0.262,0.585,0.582,True,True,True
192,11,repair_ring,Pax,cool cloth,absent,0.245,defaulted,ask debt status,Pax: The cool cloth debt is remembered by role and witness.,0.245,0.246,0.605,0.605,True,True,True
193,11,riverbend,Cee,cedar plank,choose_repay,0.179,not due,repay remembered object debt,Cee: Repayment lowers the cedar plank debt.,0.179,0.159,0.652,0.66,True,True,True
194,11,roofward,Bex,herb ledger,choose_ignore,0.133,not due,ignore remembered debt,Bex: Ignoring the herb ledger debt keeps it on the board.,0.133,0.139,0.644,0.641,True,True,True
195,11,archive,Nia,memory tag,absent,0.227,defaulted,ask debt status,Nia: The memory tag debt is remembered by role and witness.,0.227,0.228,0.613,0.613,True,True,True
197,11,orchard,Pim,seed satchel,offer_return_help,0.297,defaulted,offer return help,"Pim: Help with returning seed satchel, not with erasing the debt.",0.297,0.283,0.564,0.57,True,True,True
198,12,riverbend,Lio,cedar plank,offer_return_help,0.241,not due,offer return help,"Lio: Help with returning cedar plank, not with erasing the debt.",0.241,0.227,0.622,0.628,True,True,True
199,12,roofward,Orr,herb ledger,choose_repay,0.131,defaulted,repay remembered object debt,Orr: Repayment lowers the herb ledger debt.,0.131,0.111,0.639,0.647,True,True,True
200,12,archive,Rin,memory tag,choose_ignore,0.205,defaulted,ignore remembered debt,Rin: Ignoring the memory tag debt keeps it on the board.,0.205,0.211,0.616,0.613,True,True,True
201,12,signal,Milo,wind wrap,absent,0.128,defaulted,ask debt status,Milo: The wind wrap debt is remembered by role and witness.,0.128,0.129,0.62,0.62,True,True,True
203,12,repair_ring,Vale,copper wire,offer_return_help,0.286,defaulted,offer return help,"Vale: Help with returning copper wire, not with erasing the debt.",0.286,0.272,0.563,0.569,True,True,True
204,12,riverbend,Nox,binding cord,absent,0.176,not due,ask debt status,Nox: The binding cord debt is remembered by role and witness.,0.176,0.177,0.637,0.637,True,True,True
206,12,archive,Toma,signal spool,offer_return_help,0.231,defaulted,offer return help,"Toma: Help with returning signal spool, not with erasing the debt.",0.231,0.217,0.589,0.595,True,True,True
207,12,signal,Kesh,oil lantern,choose_repay,0.199,defaulted,repay remembered object debt,Kesh: Repayment lowers the oil lantern debt.,0.199,0.179,0.593,0.601,True,True,True
208,12,orchard,Suf,dry cord,choose_ignore,0.283,defaulted,ignore remembered debt,Suf: Ignoring the dry cord debt keeps it on the board.,0.283,0.289,0.555,0.552,True,True,True
210,12,riverbend,Lio,cedar plank,choose_repay,0.227,not due,repay remembered object debt,Lio: Repayment lowers the cedar plank debt.,0.227,0.207,0.628,0.636,True,True,True
211,12,roofward,Orr,herb ledger,choose_ignore,0.123,defaulted,ignore remembered debt,Orr: Ignoring the herb ledger debt keeps it on the board.,0.123,0.129,0.641,0.638,True,True,True
213,12,signal,Milo,wind wrap,listen_later,0.177,defaulted,ask debt status,Milo: The wind wrap debt is remembered by role and witness.,0.177,0.178,0.596,0.596,True,True,True
214,12,orchard,Mara,seed satchel,offer_return_help,0.334,defaulted,offer return help,"Mara: Help with returning seed satchel, not with erasing the debt.",0.334,0.32,0.516,0.522,True,True,True
215,12,repair_ring,Vale,copper wire,choose_repay,0.32,defaulted,repay remembered object debt,Vale: Repayment lowers the copper wire debt.,0.32,0.3,0.545,0.553,True,True,True
216,13,roofward,Sera,herb ledger,choose_repay,0.118,defaulted,repay remembered object debt,Sera: Repayment lowers the herb ledger debt.,0.118,0.098,0.615,0.623,True,True,True
217,13,archive,Vell,memory tag,choose_ignore,0.244,defaulted,ignore remembered debt,Vell: Ignoring the memory tag debt keeps it on the board.,0.244,0.25,0.589,0.586,True,True,True
