tick_index,agent,can_see,can_hear,can_smell,near_me,looked_at_by_avatar,route_wetness,sound_pressure,smell_intensity,ambient_temperature_c,egocentric_summary
1,Ari,workbench alcove; copper clicker lens; avatar posture,nearby breath and footfall,warm dust and seed oil,copper clicker lens; avatar,True,0.05,0.337806,0.211,20.24987,I am at workbench alcove; I can see copper clicker lens; I hear nearby breath and footfall; near me is avatar.
28,Ari,workbench alcove; stone seed ledger; avatar posture,nearby breath and footfall,warm dust and seed oil,stone seed ledger; avatar,True,0.0,0.257927,0.19,20.959687,I am at workbench alcove; I can see stone seed ledger; I hear nearby breath and footfall; near me is avatar.
29,Fay,hearth nest; warm blue blanket; avatar posture,nearby breath and footfall,warm dust and seed oil,warm blue blanket; avatar,True,0.05,0.127091,0.291,20.01408,I am at hearth nest; I can see warm blue blanket; I hear nearby breath and footfall; near me is avatar.
30,Milo,rain bridge; copper clicker lens; avatar posture,low hum ritual tone,warm dust and seed oil,copper clicker lens; avatar,True,0.15,0.421676,0.253,19.971375,I am at rain bridge; I can see copper clicker lens; I hear low hum ritual tone; near me is avatar.
31,Sol,quiet corner; stone seed ledger; avatar posture,nearby breath and footfall,warm dust and seed oil,stone seed ledger; Ari,False,0.05,0.163435,0.211,19.932238,I am at quiet corner; I can see stone seed ledger; I hear nearby breath and footfall; near me is Ari.
32,Ari,workbench alcove; warm blue blanket; avatar posture,nearby breath and footfall,warm dust and seed oil,warm blue blanket; avatar,True,0.0,0.2972,0.19,20.797279,I am at workbench alcove; I can see warm blue blanket; I hear nearby breath and footfall; near me is avatar.
33,Fay,workbench alcove; copper clicker lens; avatar posture,nearby breath and footfall,warm dust and seed oil,copper clicker lens; avatar,True,0.05,0.359988,0.211,19.867044,I am at workbench alcove; I can see copper clicker lens; I hear nearby breath and footfall; near me is avatar.
34,Milo,market canopy; stone seed ledger; avatar posture,nearby breath and footfall,wet stone,stone seed ledger; avatar,True,0.4,0.294072,0.358,16.142004,I am at market canopy; I can see stone seed ledger; I hear nearby breath and footfall; near me is avatar.
35,Sol,quiet corner; stone seed ledger; avatar posture,nearby breath and footfall,warm dust and seed oil,stone seed ledger; avatar,True,0.05,0.500054,0.211,19.822551,I am at quiet corner; I can see stone seed ledger; I hear nearby breath and footfall; near me is avatar.
36,Ari,workbench alcove; copper clicker lens; avatar posture,nearby breath and footfall,warm dust and seed oil,copper clicker lens; avatar,True,0.0,0.081151,0.19,20.708988,I am at workbench alcove; I can see copper clicker lens; I hear nearby breath and footfall; near me is avatar.
37,Fay,hearth nest; warm blue blanket; avatar posture,nearby breath and footfall,warm dust and seed oil,warm blue blanket; avatar,True,0.0,0.129905,0.27,20.701526,I am at hearth nest; I can see warm blue blanket; I hear nearby breath and footfall; near me is avatar.
38,Milo,market canopy; warm blue blanket; avatar posture,nearby breath and footfall,warm dust and seed oil,warm blue blanket; avatar,True,0.05,0.261492,0.211,19.800283,I am at market canopy; I can see warm blue blanket; I hear nearby breath and footfall; near me is avatar.
39,Sol,market canopy; warm blue blanket; avatar posture,nearby breath and footfall,warm dust and seed oil,warm blue blanket; avatar,True,0.05,0.354931,0.211,19.805277,I am at market canopy; I can see warm blue blanket; I hear nearby breath and footfall; near me is avatar.
40,Ari,workbench alcove; warm blue blanket; avatar posture,nearby breath and footfall,warm dust and seed oil,warm blue blanket; avatar,True,0.0,0.324316,0.19,20.71643,I am at workbench alcove; I can see warm blue blanket; I hear nearby breath and footfall; near me is avatar.
41,Fay,hearth nest; warm blue blanket; avatar posture,nearby breath and footfall,warm dust and seed oil,warm blue blanket; avatar,True,0.05,0.197793,0.291,19.833569,I am at hearth nest; I can see warm blue blanket; I hear nearby breath and footfall; near me is avatar.
42,Milo,west route; west-route repair kit; avatar posture,nearby breath and footfall,warm dust and seed oil,west-route repair kit; avatar,True,0.15,0.431687,0.253,19.856426,I am at west route; I can see west-route repair kit; I hear nearby breath and footfall; near me is avatar.
43,Sol,quiet corner; copper clicker lens; avatar posture,rain ticking,wet stone,copper clicker lens; avatar,False,0.4,0.103552,0.358,16.184645,I am at quiet corner; I can see copper clicker lens; I hear rain ticking; near me is avatar.
44,Ari,workbench alcove; stone seed ledger; avatar posture,nearby breath and footfall,warm dust and seed oil,stone seed ledger; avatar,True,0.0,0.222478,0.19,20.817784,I am at workbench alcove; I can see stone seed ledger; I hear nearby breath and footfall; near me is avatar.
45,Fay,hearth nest; west-route repair kit; avatar posture,nearby breath and footfall,warm dust and seed oil,west-route repair kit; avatar,True,0.05,0.339126,0.291,19.955327,I am at hearth nest; I can see west-route repair kit; I hear nearby breath and footfall; near me is avatar.
46,Milo,market canopy; warm blue blanket; avatar posture,low hum ritual tone,warm dust and seed oil,warm blue blanket; avatar,True,0.05,0.68625,0.211,19.996688,I am at market canopy; I can see warm blue blanket; I hear low hum ritual tone; near me is avatar.
47,Sol,quiet corner; stone seed ledger; avatar posture,nearby breath and footfall,warm dust and seed oil,stone seed ledger; Ari,False,0.05,0.2373,0.211,20.041222,I am at quiet corner; I can see stone seed ledger; I hear nearby breath and footfall; near me is Ari.
48,Ari,market canopy; warm blue blanket; avatar posture,nearby breath and footfall,warm dust and seed oil,warm blue blanket; avatar,True,0.0,0.112444,0.19,20.988234,I am at market canopy; I can see warm blue blanket; I hear nearby breath and footfall; near me is avatar.
49,Milo,market canopy; stone seed ledger; avatar posture,nearby breath and footfall,warm dust and seed oil,stone seed ledger; avatar,True,0.05,0.086475,0.211,20.136989,I am at market canopy; I can see stone seed ledger; I hear nearby breath and footfall; near me is avatar.
50,Sol,quiet corner; stone seed ledger; avatar posture,nearby breath and footfall,wet stone,stone seed ledger; avatar,True,0.4,0.183268,0.358,16.486728,I am at quiet corner; I can see stone seed ledger; I hear nearby breath and footfall; near me is avatar.
51,Ari,hearth nest; west-route repair kit; avatar posture,nearby breath and footfall,warm dust and seed oil,west-route repair kit; avatar,True,0.05,0.653832,0.291,20.236674,I am at hearth nest; I can see west-route repair kit; I hear nearby breath and footfall; near me is avatar.
52,Fay,hearth nest; copper clicker lens; avatar posture,nearby breath and footfall,warm dust and seed oil,copper clicker lens; avatar,True,0.0,0.358128,0.27,21.186048,I am at hearth nest; I can see copper clicker lens; I hear nearby breath and footfall; near me is avatar.
53,Milo,market canopy; copper clicker lens; avatar posture,nearby breath and footfall,warm dust and seed oil,copper clicker lens; avatar,True,0.0,0.27543,0.19,21.234079,I am at market canopy; I can see copper clicker lens; I hear nearby breath and footfall; near me is avatar.
54,Sol,rain bridge; stone seed ledger; avatar posture,nearby breath and footfall,warm dust and seed oil,stone seed ledger; avatar,True,0.15,0.14177,0.253,20.380018,I am at rain bridge; I can see stone seed ledger; I hear nearby breath and footfall; near me is avatar.
55,Ari,workbench alcove; stone seed ledger; avatar posture,nearby breath and footfall,warm dust and seed oil,stone seed ledger; avatar,True,0.05,0.080034,0.211,20.423147,I am at workbench alcove; I can see stone seed ledger; I hear nearby breath and footfall; near me is avatar.
56,Fay,hearth nest; west-route repair kit; avatar posture,nearby breath and footfall,warm dust and seed oil,west-route repair kit; avatar,True,0.0,0.146983,0.27,21.362795,I am at hearth nest; I can see west-route repair kit; I hear nearby breath and footfall; near me is avatar.
57,Milo,quiet corner; stone seed ledger; avatar posture,nearby breath and footfall,warm dust and seed oil,stone seed ledger; avatar,True,0.05,0.281063,0.211,20.498341,I am at quiet corner; I can see stone seed ledger; I hear nearby breath and footfall; near me is avatar.
58,Sol,quiet corner; west-route repair kit; avatar posture,nearby breath and footfall,warm dust and seed oil,west-route repair kit; avatar,True,0.05,0.699002,0.211,20.529232,I am at quiet corner; I can see west-route repair kit; I hear nearby breath and footfall; near me is avatar.
59,Ari,workbench alcove; warm blue blanket; avatar posture,rain ticking,wet stone,warm blue blanket; avatar,False,0.4,0.309143,0.358,16.854986,I am at workbench alcove; I can see warm blue blanket; I hear rain ticking; near me is avatar.
60,Fay,hearth nest; warm blue blanket; avatar posture,nearby breath and footfall,warm dust and seed oil,warm blue blanket; avatar,True,0.0,0.177327,0.27,21.4752,I am at hearth nest; I can see warm blue blanket; I hear nearby breath and footfall; near me is avatar.
61,Milo,market canopy; warm blue blanket; avatar posture,nearby breath and footfall,warm dust and seed oil,warm blue blanket; avatar,True,0.05,0.084744,0.211,20.589559,I am at market canopy; I can see warm blue blanket; I hear nearby breath and footfall; near me is avatar.
62,Sol,quiet corner; stone seed ledger; avatar posture,low hum ritual tone,warm dust and seed oil,stone seed ledger; avatar,True,0.05,0.456515,0.211,20.59784,I am at quiet corner; I can see stone seed ledger; I hear low hum ritual tone; near me is avatar.
63,Ari,west route; west-route repair kit; avatar posture,nearby breath and footfall,warm dust and seed oil,west-route repair kit; Fay,False,0.15,0.24343,0.253,20.599912,I am at west route; I can see west-route repair kit; I hear nearby breath and footfall; near me is Fay.
64,Fay,hearth nest; warm blue blanket; avatar posture,nearby breath and footfall,warm dust and seed oil,warm blue blanket; avatar,True,0.0,0.348804,0.27,21.495743,I am at hearth nest; I can see warm blue blanket; I hear nearby breath and footfall; near me is avatar.
65,Milo,market canopy; warm blue blanket; avatar posture,nearby breath and footfall,warm dust and seed oil,warm blue blanket; avatar,True,0.05,0.335756,0.211,20.5854,I am at market canopy; I can see warm blue blanket; I hear nearby breath and footfall; near me is avatar.
66,Sol,quiet corner; west-route repair kit; avatar posture,nearby breath and footfall,wet stone,west-route repair kit; avatar,True,0.4,0.216283,0.358,16.869042,I am at quiet corner; I can see west-route repair kit; I hear nearby breath and footfall; near me is avatar.
67,Ari,workbench alcove; west-route repair kit; avatar posture,nearby breath and footfall,warm dust and seed oil,west-route repair kit; avatar,True,0.05,0.440227,0.211,20.546925,I am at workbench alcove; I can see west-route repair kit; I hear nearby breath and footfall; near me is avatar.
68,Fay,hearth nest; copper clicker lens; avatar posture,nearby breath and footfall,warm dust and seed oil,copper clicker lens; avatar,True,0.0,0.09429,0.27,21.419395,I am at hearth nest; I can see copper clicker lens; I hear nearby breath and footfall; near me is avatar.
69,Milo,rain bridge; copper clicker lens; avatar posture,nearby breath and footfall,warm dust and seed oil,copper clicker lens; avatar,True,0.0,0.20393,0.19,21.386881,I am at rain bridge; I can see copper clicker lens; I hear nearby breath and footfall; near me is avatar.
70,Sol,quiet corner; west-route repair kit; avatar posture,nearby breath and footfall,warm dust and seed oil,west-route repair kit; avatar,True,0.05,0.328345,0.211,20.44989,I am at quiet corner; I can see west-route repair kit; I hear nearby breath and footfall; near me is avatar.
71,Ari,workbench alcove; west-route repair kit; avatar posture,nearby breath and footfall,warm dust and seed oil,west-route repair kit; avatar,True,0.05,0.353148,0.211,20.408999,I am at workbench alcove; I can see west-route repair kit; I hear nearby breath and footfall; near me is avatar.
72,Fay,west route; west-route repair kit; avatar posture,nearby breath and footfall,warm dust and seed oil,west-route repair kit; avatar,True,0.0,0.255535,0.19,21.264847,I am at west route; I can see west-route repair kit; I hear nearby breath and footfall; near me is avatar.
73,Sol,quiet corner; stone seed ledger; avatar posture,nearby breath and footfall,warm dust and seed oil,stone seed ledger; avatar,True,0.05,0.125252,0.211,20.318123,I am at quiet corner; I can see stone seed ledger; I hear nearby breath and footfall; near me is avatar.
74,Ari,workbench alcove; west-route repair kit; avatar posture,nearby breath and footfall,warm dust and seed oil,west-route repair kit; avatar,True,0.05,0.42208,0.211,20.269556,I am at workbench alcove; I can see west-route repair kit; I hear nearby breath and footfall; near me is avatar.
75,Fay,hearth nest; stone seed ledger; avatar posture,rain ticking,wet stone,stone seed ledger; avatar,False,0.4,0.165711,0.438,16.519903,I am at hearth nest; I can see stone seed ledger; I hear rain ticking; near me is avatar.
76,Milo,market canopy; stone seed ledger; avatar posture,nearby breath and footfall,warm dust and seed oil,stone seed ledger; avatar,True,0.0,0.299255,0.19,21.06994,I am at market canopy; I can see stone seed ledger; I hear nearby breath and footfall; near me is avatar.
77,Sol,quiet corner; warm blue blanket; avatar posture,nearby breath and footfall,warm dust and seed oil,warm blue blanket; avatar,True,0.05,0.359933,0.211,20.120445,I am at quiet corner; I can see warm blue blanket; I hear nearby breath and footfall; near me is avatar.
78,Ari,rain bridge; copper clicker lens; avatar posture,low hum ritual tone,warm dust and seed oil,copper clicker lens; avatar,True,0.15,0.631957,0.253,20.072192,I am at rain bridge; I can see copper clicker lens; I hear low hum ritual tone; near me is avatar.
79,Fay,hearth nest; warm blue blanket; avatar posture,nearby breath and footfall,warm dust and seed oil,warm blue blanket; Milo,False,0.05,0.157824,0.291,20.025934,I am at hearth nest; I can see warm blue blanket; I hear nearby breath and footfall; near me is Milo.
80,Milo,market canopy; west-route repair kit; avatar posture,nearby breath and footfall,warm dust and seed oil,west-route repair kit; avatar,True,0.0,0.080856,0.19,20.882392,I am at market canopy; I can see west-route repair kit; I hear nearby breath and footfall; near me is avatar.
81,Sol,market canopy; copper clicker lens; avatar posture,nearby breath and footfall,warm dust and seed oil,copper clicker lens; avatar,True,0.05,0.131816,0.211,19.942245,I am at market canopy; I can see copper clicker lens; I hear nearby breath and footfall; near me is avatar.
82,Ari,workbench alcove; copper clicker lens; avatar posture,nearby breath and footfall,wet stone,copper clicker lens; avatar,True,0.4,0.263852,0.358,16.206121,I am at workbench alcove; I can see copper clicker lens; I hear nearby breath and footfall; near me is avatar.
83,Fay,hearth nest; warm blue blanket; avatar posture,nearby breath and footfall,warm dust and seed oil,warm blue blanket; avatar,True,0.05,0.695571,0.291,19.874582,I am at hearth nest; I can see warm blue blanket; I hear nearby breath and footfall; near me is avatar.
84,Milo,workbench alcove; warm blue blanket; avatar posture,nearby breath and footfall,warm dust and seed oil,warm blue blanket; avatar,True,0.0,0.322647,0.19,20.748122,I am at workbench alcove; I can see warm blue blanket; I hear nearby breath and footfall; near me is avatar.
85,Sol,quiet corner; stone seed ledger; avatar posture,nearby breath and footfall,warm dust and seed oil,stone seed ledger; avatar,True,0.0,0.195349,0.19,20.727152,I am at quiet corner; I can see stone seed ledger; I hear nearby breath and footfall; near me is avatar.
86,Ari,workbench alcove; warm blue blanket; avatar posture,nearby breath and footfall,warm dust and seed oil,warm blue blanket; avatar,True,0.05,0.090716,0.211,19.812001,I am at workbench alcove; I can see warm blue blanket; I hear nearby breath and footfall; near me is avatar.
87,Fay,workbench alcove; west-route repair kit; avatar posture,nearby breath and footfall,warm dust and seed oil,west-route repair kit; avatar,True,0.05,0.104946,0.211,19.802904,I am at workbench alcove; I can see west-route repair kit; I hear nearby breath and footfall; near me is avatar.
88,Milo,market canopy; warm blue blanket; avatar posture,nearby breath and footfall,warm dust and seed oil,warm blue blanket; avatar,True,0.0,0.224956,0.19,20.700004,I am at market canopy; I can see warm blue blanket; I hear nearby breath and footfall; near me is avatar.
89,Sol,quiet corner; west-route repair kit; avatar posture,nearby breath and footfall,warm dust and seed oil,west-route repair kit; avatar,True,0.05,0.34041,0.211,19.803346,I am at quiet corner; I can see west-route repair kit; I hear nearby breath and footfall; near me is avatar.
90,Ari,west route; warm blue blanket; avatar posture,nearby breath and footfall,warm dust and seed oil,warm blue blanket; avatar,True,0.15,0.68516,0.253,19.812877,I am at west route; I can see warm blue blanket; I hear nearby breath and footfall; near me is avatar.
91,Fay,hearth nest; warm blue blanket; avatar posture,rain ticking,wet stone,warm blue blanket; avatar,False,0.4,0.234838,0.438,16.128449,I am at hearth nest; I can see warm blue blanket; I hear rain ticking; near me is avatar.
92,Milo,market canopy; west-route repair kit; avatar posture,nearby breath and footfall,warm dust and seed oil,west-route repair kit; avatar,True,0.0,0.110875,0.19,20.749819,I am at market canopy; I can see west-route repair kit; I hear nearby breath and footfall; near me is avatar.
93,Sol,market canopy; west-route repair kit; avatar posture,nearby breath and footfall,warm dust and seed oil,west-route repair kit; avatar,True,0.05,0.087241,0.211,19.876654,I am at market canopy; I can see west-route repair kit; I hear nearby breath and footfall; near me is avatar.
94,Ari,workbench alcove; copper clicker lens; avatar posture,low hum ritual tone,warm dust and seed oil,copper clicker lens; avatar,True,0.05,0.525665,0.211,19.908534,I am at workbench alcove; I can see copper clicker lens; I hear low hum ritual tone; near me is avatar.
95,Fay,hearth nest; warm blue blanket; avatar posture,nearby breath and footfall,warm dust and seed oil,warm blue blanket; Milo,False,0.05,0.315657,0.291,19.944963,I am at hearth nest; I can see warm blue blanket; I hear nearby breath and footfall; near me is Milo.
96,Milo,market canopy; copper clicker lens; avatar posture,nearby breath and footfall,warm dust and seed oil,copper clicker lens; avatar,True,0.0,0.357702,0.19,20.885371,I am at market canopy; I can see copper clicker lens; I hear nearby breath and footfall; near me is avatar.
