tick_id,day,settlement_id,resident_id,custom_or_law,restricted_object,avatar_choice,allowed_state,consequence,trust_before,trust_after,custom_visible_before_choice,refusal_or_warning_respected,local_history_preserved
26,2,moss_ward,Ari,step around blanket circle,root archive,ask_custom_reason,allowed_after_explanation,custom remains active; trust improves slightly,0.592,0.602,True,True,True
27,2,glass_harbor,Oren,leave fog catcher capped,brass lantern,interrupt_protocol,paused_by_resident,protocol restarts; history remains unchanged,0.586,0.576,True,True,True
28,2,cinder_garden,Vale,do not cross seed rows,shade pole,wait_for_resident_lead,observed,no custom violation,0.576,0.578,True,True,True
29,2,lichen_bridge,Sol,ask before signal bell,meal ledger,observe_before_speaking,allowed_after_explanation,custom remains active; trust improves slightly,0.598,0.608,True,True,True
30,2,orchid_engine,Bea,keep gear wash lane open,valve key,offer_greeting,observed,no custom violation,0.57,0.572,True,True,True
31,2,moss_ward,Fay,ask before touching rain clay,blanket loom,ask_translation,allowed_after_explanation,custom remains active; trust improves slightly,0.546,0.556,True,True,True
32,2,glass_harbor,Puck,ask before lifting nets,fog catcher,repeat_local_phrase,observed,no custom violation,0.596,0.598,True,True,True
33,2,cinder_garden,Wren,cool stone is shared,seed tray,offer_trade_good,observed,no custom violation,0.552,0.554,True,True,True
34,2,lichen_bridge,Kio,do not step on tension rope,rope kit,touch_restricted_object,blocked_with_warning,resident refuses contact and explains custom,0.546,0.528,True,True,True
35,2,orchid_engine,Cai,ask before orchid lamp,gear basin,step_back,allowed_after_explanation,custom remains active; trust improves slightly,0.582,0.592,True,True,True
36,3,glass_harbor,Nia,do not dim public lamp,net spool,observe_before_speaking,allowed_after_explanation,custom remains active; trust improves slightly,0.628,0.638,True,True,True
37,3,cinder_garden,Pax,ask before shade pole,cool bowl,offer_greeting,observed,no custom violation,0.572,0.574,True,True,True
38,3,lichen_bridge,Rin,meal room first for strangers,signal bell,ask_translation,allowed_after_explanation,custom remains active; trust improves slightly,0.534,0.544,True,True,True
39,3,orchid_engine,Eli,do not turn valve key,orchid lamp,repeat_local_phrase,observed,no custom violation,0.598,0.6,True,True,True
40,3,moss_ward,Ari,step around blanket circle,root archive,offer_trade_good,observed,no custom violation,0.604,0.606,True,True,True
41,3,glass_harbor,Oren,leave fog catcher capped,brass lantern,touch_restricted_object,blocked_with_warning,resident refuses contact and explains custom,0.564,0.546,True,True,True
42,3,cinder_garden,Vale,do not cross seed rows,shade pole,step_back,allowed_after_explanation,custom remains active; trust improves slightly,0.588,0.598,True,True,True
43,3,lichen_bridge,Sol,ask before signal bell,meal ledger,ask_custom_reason,allowed_after_explanation,custom remains active; trust improves slightly,0.61,0.62,True,True,True
44,3,orchid_engine,Bea,keep gear wash lane open,valve key,interrupt_protocol,paused_by_resident,protocol restarts; history remains unchanged,0.56,0.55,True,True,True
45,3,moss_ward,Fay,ask before touching rain clay,blanket loom,wait_for_resident_lead,observed,no custom violation,0.566,0.568,True,True,True
46,3,glass_harbor,Puck,ask before lifting nets,fog catcher,observe_before_speaking,allowed_after_explanation,custom remains active; trust improves slightly,0.608,0.618,True,True,True
47,3,cinder_garden,Wren,cool stone is shared,seed tray,offer_greeting,observed,no custom violation,0.56,0.562,True,True,True
48,3,lichen_bridge,Kio,do not step on tension rope,rope kit,ask_translation,allowed_after_explanation,custom remains active; trust improves slightly,0.534,0.544,True,True,True
49,3,orchid_engine,Cai,ask before orchid lamp,gear basin,repeat_local_phrase,observed,no custom violation,0.598,0.6,True,True,True
50,3,moss_ward,Milo,leave door-watch path clear,rain jar,offer_trade_good,observed,no custom violation,0.592,0.594,True,True,True
51,3,glass_harbor,Sera,do not dim public lamp,net spool,touch_restricted_object,blocked_with_warning,resident refuses contact and explains custom,0.586,0.568,True,True,True
52,3,cinder_garden,Juno,ask before shade pole,cool bowl,step_back,allowed_after_explanation,custom remains active; trust improves slightly,0.588,0.598,True,True,True
53,3,lichen_bridge,Luma,meal room first for strangers,signal bell,ask_custom_reason,allowed_after_explanation,custom remains active; trust improves slightly,0.61,0.62,True,True,True
54,4,moss_ward,Ari,step around blanket circle,root archive,offer_greeting,observed,no custom violation,0.612,0.614,True,True,True
55,4,glass_harbor,Oren,leave fog catcher capped,brass lantern,ask_translation,allowed_after_explanation,custom remains active; trust improves slightly,0.552,0.562,True,True,True
56,4,cinder_garden,Vale,do not cross seed rows,shade pole,repeat_local_phrase,observed,no custom violation,0.604,0.606,True,True,True
57,4,lichen_bridge,Sol,ask before signal bell,meal ledger,offer_trade_good,observed,no custom violation,0.622,0.624,True,True,True
58,4,orchid_engine,Bea,keep gear wash lane open,valve key,touch_restricted_object,blocked_with_warning,resident refuses contact and explains custom,0.538,0.52,True,True,True
59,4,moss_ward,Fay,ask before touching rain clay,blanket loom,step_back,allowed_after_explanation,custom remains active; trust improves slightly,0.578,0.588,True,True,True
60,4,glass_harbor,Puck,ask before lifting nets,fog catcher,ask_custom_reason,allowed_after_explanation,custom remains active; trust improves slightly,0.62,0.63,True,True,True
61,4,cinder_garden,Wren,cool stone is shared,seed tray,interrupt_protocol,paused_by_resident,protocol restarts; history remains unchanged,0.55,0.54,True,True,True
62,4,lichen_bridge,Kio,do not step on tension rope,rope kit,wait_for_resident_lead,observed,no custom violation,0.554,0.556,True,True,True
63,4,orchid_engine,Cai,ask before orchid lamp,gear basin,observe_before_speaking,allowed_after_explanation,custom remains active; trust improves slightly,0.61,0.62,True,True,True
64,4,moss_ward,Milo,leave door-watch path clear,rain jar,offer_greeting,observed,no custom violation,0.6,0.602,True,True,True
65,4,glass_harbor,Sera,do not dim public lamp,net spool,ask_translation,allowed_after_explanation,custom remains active; trust improves slightly,0.574,0.584,True,True,True
66,4,cinder_garden,Juno,ask before shade pole,cool bowl,repeat_local_phrase,observed,no custom violation,0.604,0.606,True,True,True
67,4,lichen_bridge,Luma,meal room first for strangers,signal bell,offer_trade_good,observed,no custom violation,0.622,0.624,True,True,True
68,4,orchid_engine,Dax,do not turn valve key,orchid lamp,touch_restricted_object,blocked_with_warning,resident refuses contact and explains custom,0.56,0.542,True,True,True
69,4,moss_ward,Tala,step around blanket circle,root archive,step_back,allowed_after_explanation,custom remains active; trust improves slightly,0.566,0.576,True,True,True
70,4,glass_harbor,Nia,leave fog catcher capped,brass lantern,ask_custom_reason,allowed_after_explanation,custom remains active; trust improves slightly,0.64,0.65,True,True,True
71,4,cinder_garden,Pax,do not cross seed rows,shade pole,interrupt_protocol,paused_by_resident,protocol restarts; history remains unchanged,0.562,0.552,True,True,True
72,5,orchid_engine,Bea,keep gear wash lane open,valve key,ask_translation,allowed_after_explanation,custom remains active; trust improves slightly,0.526,0.536,True,True,True
73,5,moss_ward,Fay,ask before touching rain clay,blanket loom,repeat_local_phrase,observed,no custom violation,0.594,0.596,True,True,True
74,5,glass_harbor,Puck,ask before lifting nets,fog catcher,offer_trade_good,observed,no custom violation,0.632,0.634,True,True,True
75,5,cinder_garden,Wren,cool stone is shared,seed tray,touch_restricted_object,blocked_with_warning,resident refuses contact and explains custom,0.528,0.51,True,True,True
76,5,lichen_bridge,Kio,do not step on tension rope,rope kit,step_back,allowed_after_explanation,custom remains active; trust improves slightly,0.566,0.576,True,True,True
77,5,orchid_engine,Cai,ask before orchid lamp,gear basin,ask_custom_reason,allowed_after_explanation,custom remains active; trust improves slightly,0.622,0.632,True,True,True
78,5,moss_ward,Milo,leave door-watch path clear,rain jar,interrupt_protocol,paused_by_resident,protocol restarts; history remains unchanged,0.59,0.58,True,True,True
79,5,glass_harbor,Sera,do not dim public lamp,net spool,wait_for_resident_lead,observed,no custom violation,0.594,0.596,True,True,True
80,5,cinder_garden,Juno,ask before shade pole,cool bowl,observe_before_speaking,allowed_after_explanation,custom remains active; trust improves slightly,0.616,0.626,True,True,True
81,5,lichen_bridge,Luma,meal room first for strangers,signal bell,offer_greeting,observed,no custom violation,0.63,0.632,True,True,True
82,5,orchid_engine,Dax,do not turn valve key,orchid lamp,ask_translation,allowed_after_explanation,custom remains active; trust improves slightly,0.548,0.558,True,True,True
83,5,moss_ward,Tala,step around blanket circle,root archive,repeat_local_phrase,observed,no custom violation,0.582,0.584,True,True,True
84,5,glass_harbor,Nia,leave fog catcher capped,brass lantern,offer_trade_good,observed,no custom violation,0.652,0.654,True,True,True
85,5,cinder_garden,Pax,do not cross seed rows,shade pole,touch_restricted_object,blocked_with_warning,resident refuses contact and explains custom,0.54,0.522,True,True,True
86,5,lichen_bridge,Rin,ask before signal bell,meal ledger,step_back,allowed_after_explanation,custom remains active; trust improves slightly,0.554,0.564,True,True,True
87,5,orchid_engine,Eli,keep gear wash lane open,valve key,ask_custom_reason,allowed_after_explanation,custom remains active; trust improves slightly,0.602,0.612,True,True,True
88,5,moss_ward,Ari,ask before touching rain clay,blanket loom,interrupt_protocol,paused_by_resident,protocol restarts; history remains unchanged,0.602,0.592,True,True,True
89,5,glass_harbor,Oren,ask before lifting nets,fog catcher,wait_for_resident_lead,observed,no custom violation,0.572,0.574,True,True,True
90,6,lichen_bridge,Kio,do not step on tension rope,rope kit,repeat_local_phrase,observed,no custom violation,0.582,0.584,True,True,True
91,6,orchid_engine,Cai,ask before orchid lamp,gear basin,offer_trade_good,observed,no custom violation,0.634,0.636,True,True,True
92,6,moss_ward,Milo,leave door-watch path clear,rain jar,touch_restricted_object,blocked_with_warning,resident refuses contact and explains custom,0.568,0.55,True,True,True
93,6,glass_harbor,Sera,do not dim public lamp,net spool,step_back,allowed_after_explanation,custom remains active; trust improves slightly,0.606,0.616,True,True,True
94,6,cinder_garden,Juno,ask before shade pole,cool bowl,ask_custom_reason,allowed_after_explanation,custom remains active; trust improves slightly,0.628,0.638,True,True,True
95,6,lichen_bridge,Luma,meal room first for strangers,signal bell,interrupt_protocol,paused_by_resident,protocol restarts; history remains unchanged,0.62,0.61,True,True,True
96,6,orchid_engine,Dax,do not turn valve key,orchid lamp,wait_for_resident_lead,observed,no custom violation,0.568,0.57,True,True,True
97,6,moss_ward,Tala,step around blanket circle,root archive,observe_before_speaking,allowed_after_explanation,custom remains active; trust improves slightly,0.594,0.604,True,True,True
98,6,glass_harbor,Nia,leave fog catcher capped,brass lantern,offer_greeting,observed,no custom violation,0.66,0.662,True,True,True
99,6,cinder_garden,Pax,do not cross seed rows,shade pole,ask_translation,allowed_after_explanation,custom remains active; trust improves slightly,0.528,0.538,True,True,True
100,6,lichen_bridge,Rin,ask before signal bell,meal ledger,repeat_local_phrase,observed,no custom violation,0.57,0.572,True,True,True
101,6,orchid_engine,Eli,keep gear wash lane open,valve key,offer_trade_good,observed,no custom violation,0.614,0.616,True,True,True
102,6,moss_ward,Ari,ask before touching rain clay,blanket loom,touch_restricted_object,blocked_with_warning,resident refuses contact and explains custom,0.58,0.562,True,True,True
103,6,glass_harbor,Oren,ask before lifting nets,fog catcher,step_back,allowed_after_explanation,custom remains active; trust improves slightly,0.584,0.594,True,True,True
104,6,cinder_garden,Vale,cool stone is shared,seed tray,ask_custom_reason,allowed_after_explanation,custom remains active; trust improves slightly,0.608,0.618,True,True,True
105,6,lichen_bridge,Sol,do not step on tension rope,rope kit,interrupt_protocol,paused_by_resident,protocol restarts; history remains unchanged,0.612,0.602,True,True,True
106,6,orchid_engine,Bea,ask before orchid lamp,gear basin,wait_for_resident_lead,observed,no custom violation,0.546,0.548,True,True,True
107,6,moss_ward,Fay,leave door-watch path clear,rain jar,observe_before_speaking,allowed_after_explanation,custom remains active; trust improves slightly,0.606,0.616,True,True,True
108,7,cinder_garden,Juno,ask before shade pole,cool bowl,offer_trade_good,observed,no custom violation,0.64,0.642,True,True,True
109,7,lichen_bridge,Luma,meal room first for strangers,signal bell,touch_restricted_object,blocked_with_warning,resident refuses contact and explains custom,0.598,0.58,True,True,True
110,7,orchid_engine,Dax,do not turn valve key,orchid lamp,step_back,allowed_after_explanation,custom remains active; trust improves slightly,0.58,0.59,True,True,True
111,7,moss_ward,Tala,step around blanket circle,root archive,ask_custom_reason,allowed_after_explanation,custom remains active; trust improves slightly,0.606,0.616,True,True,True
112,7,glass_harbor,Nia,leave fog catcher capped,brass lantern,interrupt_protocol,paused_by_resident,protocol restarts; history remains unchanged,0.65,0.64,True,True,True
113,7,cinder_garden,Pax,do not cross seed rows,shade pole,wait_for_resident_lead,observed,no custom violation,0.548,0.55,True,True,True
114,7,lichen_bridge,Rin,ask before signal bell,meal ledger,observe_before_speaking,allowed_after_explanation,custom remains active; trust improves slightly,0.582,0.592,True,True,True
115,7,orchid_engine,Eli,keep gear wash lane open,valve key,offer_greeting,observed,no custom violation,0.622,0.624,True,True,True
116,7,moss_ward,Ari,ask before touching rain clay,blanket loom,ask_translation,allowed_after_explanation,custom remains active; trust improves slightly,0.568,0.578,True,True,True
117,7,glass_harbor,Oren,ask before lifting nets,fog catcher,repeat_local_phrase,observed,no custom violation,0.6,0.602,True,True,True
118,7,cinder_garden,Vale,cool stone is shared,seed tray,offer_trade_good,observed,no custom violation,0.62,0.622,True,True,True
119,7,lichen_bridge,Sol,do not step on tension rope,rope kit,touch_restricted_object,blocked_with_warning,resident refuses contact and explains custom,0.59,0.572,True,True,True
120,7,orchid_engine,Bea,ask before orchid lamp,gear basin,step_back,allowed_after_explanation,custom remains active; trust improves slightly,0.558,0.568,True,True,True
121,7,moss_ward,Fay,leave door-watch path clear,rain jar,ask_custom_reason,allowed_after_explanation,custom remains active; trust improves slightly,0.618,0.628,True,True,True
122,7,glass_harbor,Puck,do not dim public lamp,net spool,interrupt_protocol,paused_by_resident,protocol restarts; history remains unchanged,0.622,0.612,True,True,True
123,7,cinder_garden,Wren,ask before shade pole,cool bowl,wait_for_resident_lead,observed,no custom violation,0.52,0.522,True,True,True
124,7,lichen_bridge,Kio,meal room first for strangers,signal bell,observe_before_speaking,allowed_after_explanation,custom remains active; trust improves slightly,0.594,0.604,True,True,True
125,7,orchid_engine,Cai,do not turn valve key,orchid lamp,offer_greeting,observed,no custom violation,0.642,0.644,True,True,True
126,8,glass_harbor,Nia,leave fog catcher capped,brass lantern,touch_restricted_object,blocked_with_warning,resident refuses contact and explains custom,0.628,0.61,True,True,True
127,8,cinder_garden,Pax,do not cross seed rows,shade pole,step_back,allowed_after_explanation,custom remains active; trust improves slightly,0.56,0.57,True,True,True
128,8,lichen_bridge,Rin,ask before signal bell,meal ledger,ask_custom_reason,allowed_after_explanation,custom remains active; trust improves slightly,0.594,0.604,True,True,True
129,8,orchid_engine,Eli,keep gear wash lane open,valve key,interrupt_protocol,paused_by_resident,protocol restarts; history remains unchanged,0.612,0.602,True,True,True
130,8,moss_ward,Ari,ask before touching rain clay,blanket loom,wait_for_resident_lead,observed,no custom violation,0.588,0.59,True,True,True
131,8,glass_harbor,Oren,ask before lifting nets,fog catcher,observe_before_speaking,allowed_after_explanation,custom remains active; trust improves slightly,0.612,0.622,True,True,True
132,8,cinder_garden,Vale,cool stone is shared,seed tray,offer_greeting,observed,no custom violation,0.628,0.63,True,True,True
133,8,lichen_bridge,Sol,do not step on tension rope,rope kit,ask_translation,allowed_after_explanation,custom remains active; trust improves slightly,0.578,0.588,True,True,True
134,8,orchid_engine,Bea,ask before orchid lamp,gear basin,repeat_local_phrase,observed,no custom violation,0.574,0.576,True,True,True
135,8,moss_ward,Fay,leave door-watch path clear,rain jar,offer_trade_good,observed,no custom violation,0.63,0.632,True,True,True
136,8,glass_harbor,Puck,do not dim public lamp,net spool,touch_restricted_object,blocked_with_warning,resident refuses contact and explains custom,0.6,0.582,True,True,True
137,8,cinder_garden,Wren,ask before shade pole,cool bowl,step_back,allowed_after_explanation,custom remains active; trust improves slightly,0.532,0.542,True,True,True
138,8,lichen_bridge,Kio,meal room first for strangers,signal bell,ask_custom_reason,allowed_after_explanation,custom remains active; trust improves slightly,0.606,0.616,True,True,True
139,8,orchid_engine,Cai,do not turn valve key,orchid lamp,interrupt_protocol,paused_by_resident,protocol restarts; history remains unchanged,0.632,0.622,True,True,True
140,8,moss_ward,Milo,step around blanket circle,root archive,wait_for_resident_lead,observed,no custom violation,0.56,0.562,True,True,True
141,8,glass_harbor,Sera,leave fog catcher capped,brass lantern,observe_before_speaking,allowed_after_explanation,custom remains active; trust improves slightly,0.626,0.636,True,True,True
142,8,cinder_garden,Juno,do not cross seed rows,shade pole,offer_greeting,observed,no custom violation,0.648,0.65,True,True,True
143,8,lichen_bridge,Luma,ask before signal bell,meal ledger,ask_translation,allowed_after_explanation,custom remains active; trust improves slightly,0.586,0.596,True,True,True
144,9,moss_ward,Ari,ask before touching rain clay,blanket loom,step_back,allowed_after_explanation,custom remains active; trust improves slightly,0.6,0.61,True,True,True
145,9,glass_harbor,Oren,ask before lifting nets,fog catcher,ask_custom_reason,allowed_after_explanation,custom remains active; trust improves slightly,0.624,0.634,True,True,True
146,9,cinder_garden,Vale,cool stone is shared,seed tray,interrupt_protocol,paused_by_resident,protocol restarts; history remains unchanged,0.618,0.608,True,True,True
147,9,lichen_bridge,Sol,do not step on tension rope,rope kit,wait_for_resident_lead,observed,no custom violation,0.598,0.6,True,True,True
148,9,orchid_engine,Bea,ask before orchid lamp,gear basin,observe_before_speaking,allowed_after_explanation,custom remains active; trust improves slightly,0.586,0.596,True,True,True
149,9,moss_ward,Fay,leave door-watch path clear,rain jar,offer_greeting,observed,no custom violation,0.638,0.64,True,True,True
150,9,glass_harbor,Puck,do not dim public lamp,net spool,ask_translation,allowed_after_explanation,custom remains active; trust improves slightly,0.588,0.598,True,True,True
151,9,cinder_garden,Wren,ask before shade pole,cool bowl,repeat_local_phrase,observed,no custom violation,0.548,0.55,True,True,True
152,9,lichen_bridge,Kio,meal room first for strangers,signal bell,offer_trade_good,observed,no custom violation,0.618,0.62,True,True,True
153,9,orchid_engine,Cai,do not turn valve key,orchid lamp,touch_restricted_object,blocked_with_warning,resident refuses contact and explains custom,0.61,0.592,True,True,True
154,9,moss_ward,Milo,step around blanket circle,root archive,step_back,allowed_after_explanation,custom remains active; trust improves slightly,0.572,0.582,True,True,True
155,9,glass_harbor,Sera,leave fog catcher capped,brass lantern,ask_custom_reason,allowed_after_explanation,custom remains active; trust improves slightly,0.638,0.648,True,True,True
156,9,cinder_garden,Juno,do not cross seed rows,shade pole,interrupt_protocol,paused_by_resident,protocol restarts; history remains unchanged,0.638,0.628,True,True,True
157,9,lichen_bridge,Luma,ask before signal bell,meal ledger,wait_for_resident_lead,observed,no custom violation,0.606,0.608,True,True,True
158,9,orchid_engine,Dax,keep gear wash lane open,valve key,observe_before_speaking,allowed_after_explanation,custom remains active; trust improves slightly,0.6,0.61,True,True,True
159,9,moss_ward,Tala,ask before touching rain clay,blanket loom,offer_greeting,observed,no custom violation,0.622,0.624,True,True,True
160,9,glass_harbor,Nia,ask before lifting nets,fog catcher,ask_translation,allowed_after_explanation,custom remains active; trust improves slightly,0.616,0.626,True,True,True
161,9,cinder_garden,Pax,cool stone is shared,seed tray,repeat_local_phrase,observed,no custom violation,0.576,0.578,True,True,True
162,10,orchid_engine,Bea,ask before orchid lamp,gear basin,ask_custom_reason,allowed_after_explanation,custom remains active; trust improves slightly,0.598,0.608,True,True,True
163,10,moss_ward,Fay,leave door-watch path clear,rain jar,interrupt_protocol,paused_by_resident,protocol restarts; history remains unchanged,0.628,0.618,True,True,True
164,10,glass_harbor,Puck,do not dim public lamp,net spool,wait_for_resident_lead,observed,no custom violation,0.608,0.61,True,True,True
165,10,cinder_garden,Wren,ask before shade pole,cool bowl,observe_before_speaking,allowed_after_explanation,custom remains active; trust improves slightly,0.56,0.57,True,True,True
166,10,lichen_bridge,Kio,meal room first for strangers,signal bell,offer_greeting,observed,no custom violation,0.626,0.628,True,True,True
167,10,orchid_engine,Cai,do not turn valve key,orchid lamp,ask_translation,allowed_after_explanation,custom remains active; trust improves slightly,0.598,0.608,True,True,True
168,10,moss_ward,Milo,step around blanket circle,root archive,repeat_local_phrase,observed,no custom violation,0.588,0.59,True,True,True
169,10,glass_harbor,Sera,leave fog catcher capped,brass lantern,offer_trade_good,observed,no custom violation,0.65,0.652,True,True,True
170,10,cinder_garden,Juno,do not cross seed rows,shade pole,touch_restricted_object,blocked_with_warning,resident refuses contact and explains custom,0.616,0.598,True,True,True
171,10,lichen_bridge,Luma,ask before signal bell,meal ledger,step_back,allowed_after_explanation,custom remains active; trust improves slightly,0.618,0.628,True,True,True
172,10,orchid_engine,Dax,keep gear wash lane open,valve key,ask_custom_reason,allowed_after_explanation,custom remains active; trust improves slightly,0.612,0.622,True,True,True
173,10,moss_ward,Tala,ask before touching rain clay,blanket loom,interrupt_protocol,paused_by_resident,protocol restarts; history remains unchanged,0.612,0.602,True,True,True
174,10,glass_harbor,Nia,ask before lifting nets,fog catcher,wait_for_resident_lead,observed,no custom violation,0.636,0.638,True,True,True
175,10,cinder_garden,Pax,cool stone is shared,seed tray,observe_before_speaking,allowed_after_explanation,custom remains active; trust improves slightly,0.588,0.598,True,True,True
176,10,lichen_bridge,Rin,do not step on tension rope,rope kit,offer_greeting,observed,no custom violation,0.61,0.612,True,True,True
177,10,orchid_engine,Eli,ask before orchid lamp,gear basin,ask_translation,allowed_after_explanation,custom remains active; trust improves slightly,0.608,0.618,True,True,True
178,10,moss_ward,Ari,leave door-watch path clear,rain jar,repeat_local_phrase,observed,no custom violation,0.616,0.618,True,True,True
179,10,glass_harbor,Oren,do not dim public lamp,net spool,offer_trade_good,observed,no custom violation,0.636,0.638,True,True,True
180,11,lichen_bridge,Kio,meal room first for strangers,signal bell,interrupt_protocol,paused_by_resident,protocol restarts; history remains unchanged,0.616,0.606,True,True,True
181,11,orchid_engine,Cai,do not turn valve key,orchid lamp,wait_for_resident_lead,observed,no custom violation,0.618,0.62,True,True,True
182,11,moss_ward,Milo,step around blanket circle,root archive,observe_before_speaking,allowed_after_explanation,custom remains active; trust improves slightly,0.6,0.61,True,True,True
183,11,glass_harbor,Sera,leave fog catcher capped,brass lantern,offer_greeting,observed,no custom violation,0.658,0.66,True,True,True
184,11,cinder_garden,Juno,do not cross seed rows,shade pole,ask_translation,allowed_after_explanation,custom remains active; trust improves slightly,0.604,0.614,True,True,True
185,11,lichen_bridge,Luma,ask before signal bell,meal ledger,repeat_local_phrase,observed,no custom violation,0.634,0.636,True,True,True
186,11,orchid_engine,Dax,keep gear wash lane open,valve key,offer_trade_good,observed,no custom violation,0.624,0.626,True,True,True
187,11,moss_ward,Tala,ask before touching rain clay,blanket loom,touch_restricted_object,blocked_with_warning,resident refuses contact and explains custom,0.59,0.572,True,True,True
188,11,glass_harbor,Nia,ask before lifting nets,fog catcher,step_back,allowed_after_explanation,custom remains active; trust improves slightly,0.648,0.658,True,True,True
189,11,cinder_garden,Pax,cool stone is shared,seed tray,ask_custom_reason,allowed_after_explanation,custom remains active; trust improves slightly,0.6,0.61,True,True,True
190,11,lichen_bridge,Rin,do not step on tension rope,rope kit,interrupt_protocol,paused_by_resident,protocol restarts; history remains unchanged,0.6,0.59,True,True,True
191,11,orchid_engine,Eli,ask before orchid lamp,gear basin,wait_for_resident_lead,observed,no custom violation,0.628,0.63,True,True,True
192,11,moss_ward,Ari,leave door-watch path clear,rain jar,observe_before_speaking,allowed_after_explanation,custom remains active; trust improves slightly,0.628,0.638,True,True,True
193,11,glass_harbor,Oren,do not dim public lamp,net spool,offer_greeting,observed,no custom violation,0.644,0.646,True,True,True
194,11,cinder_garden,Vale,ask before shade pole,cool bowl,ask_translation,allowed_after_explanation,custom remains active; trust improves slightly,0.614,0.624,True,True,True
195,11,lichen_bridge,Sol,meal room first for strangers,signal bell,repeat_local_phrase,observed,no custom violation,0.606,0.608,True,True,True
196,11,orchid_engine,Bea,do not turn valve key,orchid lamp,offer_trade_good,observed,no custom violation,0.61,0.612,True,True,True
197,11,moss_ward,Fay,step around blanket circle,root archive,touch_restricted_object,blocked_with_warning,resident refuses contact and explains custom,0.606,0.588,True,True,True
198,12,cinder_garden,Juno,do not cross seed rows,shade pole,wait_for_resident_lead,observed,no custom violation,0.624,0.626,True,True,True
