summary_id,reentry_id,reentry_day,absence_length_days,lineage,agent,public_changes_count,schedule_changes_count,relationship_change,technology_change,welfare_change,public_summary,private_workspace_sealed,summary_specificity
15,3,19,3,Marketline,Melo,7,2,steady,measure weights access updated under public witness rule,rest debt noted before work resumes,"Melo: while you were away 3 days, 7 public changes occurred; measure weights access updated under public witness rule; relationship is steady; rest debt noted before work resumes.",True,0.896507
16,3,19,3,Ledgerline,Nari,5,3,steady,seed ledgers access updated under public witness rule,rest debt noted before work resumes,"Nari: while you were away 3 days, 5 public changes occurred; seed ledgers access updated under public witness rule; relationship is steady; rest debt noted before work resumes.",True,0.865497
17,3,19,3,Orchardline,Ori,6,2,steady,water terraces access updated under public witness rule,rest debt noted before work resumes,"Ori: while you were away 3 days, 6 public changes occurred; water terraces access updated under public witness rule; relationship is steady; rest debt noted before work resumes.",True,0.872271
18,3,19,3,Rainline,Vonn,7,3,steady,weather bells access updated under public witness rule,rest debt noted before work resumes,"Vonn: while you were away 3 days, 7 public changes occurred; weather bells access updated under public witness rule; relationship is steady; rest debt noted before work resumes.",True,0.902277
19,4,29,5,Hearthline,Sova,7,3,warmer,hearth ceramics access updated under public witness rule,rest debt noted before work resumes,"Sova: while you were away 5 days, 7 public changes occurred; hearth ceramics access updated under public witness rule; relationship is warmer; rest debt noted before work resumes.",True,0.876673
20,4,29,5,Routeline,Keth,8,4,steady,stone bridge joints access updated under public witness rule,rest debt noted before work resumes,"Keth: while you were away 5 days, 8 public changes occurred; stone bridge joints access updated under public witness rule; relationship is steady; rest debt noted before work resumes.",True,0.893046
21,4,29,5,Marketline,Melo,9,3,cautious,measure weights access updated under public witness rule,rest debt noted before work resumes,"Melo: while you were away 5 days, 9 public changes occurred; measure weights access updated under public witness rule; relationship is cautious; rest debt noted before work resumes.",True,0.904857
22,4,29,5,Ledgerline,Nari,7,4,steady,seed ledgers access updated under public witness rule,rest debt noted before work resumes,"Nari: while you were away 5 days, 7 public changes occurred; seed ledgers access updated under public witness rule; relationship is steady; rest debt noted before work resumes.",True,0.877791
23,4,29,5,Orchardline,Ori,8,3,cautious,water terraces access updated under public witness rule,rest debt noted before work resumes,"Ori: while you were away 5 days, 8 public changes occurred; water terraces access updated under public witness rule; relationship is cautious; rest debt noted before work resumes.",True,0.884658
24,4,29,5,Rainline,Vonn,9,4,steady,weather bells access updated under public witness rule,rest debt noted before work resumes,"Vonn: while you were away 5 days, 9 public changes occurred; weather bells access updated under public witness rule; relationship is steady; rest debt noted before work resumes.",True,0.914222
25,5,42,8,Hearthline,Sova,10,5,warmer,hearth ceramics access updated under public witness rule,rest debt noted before work resumes,"Sova: while you were away 8 days, 10 public changes occurred; hearth ceramics access updated under public witness rule; relationship is warmer; rest debt noted before work resumes.",True,0.898182
26,5,42,8,Routeline,Keth,11,6,steady,stone bridge joints access updated under public witness rule,rest debt noted before work resumes,"Keth: while you were away 8 days, 11 public changes occurred; stone bridge joints access updated under public witness rule; relationship is steady; rest debt noted before work resumes.",True,0.913604
27,5,42,8,Marketline,Melo,12,5,cautious,measure weights access updated under public witness rule,rest debt noted before work resumes,"Melo: while you were away 8 days, 12 public changes occurred; measure weights access updated under public witness rule; relationship is cautious; rest debt noted before work resumes.",True,0.929781
28,5,42,8,Ledgerline,Nari,10,6,steady,seed ledgers access updated under public witness rule,rest debt noted before work resumes,"Nari: while you were away 8 days, 10 public changes occurred; seed ledgers access updated under public witness rule; relationship is steady; rest debt noted before work resumes.",True,0.895456
29,5,42,8,Orchardline,Ori,11,5,cautious,water terraces access updated under public witness rule,rest debt noted before work resumes,"Ori: while you were away 8 days, 11 public changes occurred; water terraces access updated under public witness rule; relationship is cautious; rest debt noted before work resumes.",True,0.90498
30,5,42,8,Rainline,Vonn,12,6,steady,weather bells access updated under public witness rule,rest debt noted before work resumes,"Vonn: while you were away 8 days, 12 public changes occurred; weather bells access updated under public witness rule; relationship is steady; rest debt noted before work resumes.",True,0.933458
