tick_id,day,route_id,sight_cue,sound_cue,smell_cue,temperature_cue,wetness_cue,body_cue,rhythm_marker,sensory_bound_to_branch
32,3,archive_signal,branch comparison cards,caravan task bell,oil paper,cool route air,dry route board,steady route stance,branch-pulse,True
33,3,signal_orchard,branch comparison cards,json editor click,oil paper,warm control room,dry route board,careful editing posture,branch-pulse,True
34,3,orchard_riverbend,branch comparison cards,json editor click,wet cargo,warm control room,route damp,careful editing posture,branch-pulse,True
35,3,central_repair_ring,branch comparison cards,caravan task bell,dry rope,cool route air,dry route board,steady route stance,flower-node,True
36,3,riverbend_roofward,branch comparison cards,map hum,wet cargo,cool route air,route damp,steady route stance,branch-pulse,True
37,3,roofward_archive,branch comparison cards,map hum,dry rope,cool route air,dry route board,steady route stance,branch-pulse,True
38,3,archive_signal,branch comparison cards,json editor click,oil paper,warm control room,dry route board,careful editing posture,branch-pulse,True
39,3,signal_orchard,branch comparison cards,json editor click,oil paper,warm control room,dry route board,careful editing posture,branch-pulse,True
40,3,orchard_riverbend,branch comparison cards,caravan task bell,wet cargo,cool route air,route damp,steady route stance,flower-node,True
41,3,central_repair_ring,branch comparison cards,map hum,dry rope,cool route air,dry route board,steady route stance,branch-pulse,True
42,3,riverbend_roofward,branch comparison cards,json editor click,wet cargo,warm control room,route damp,careful editing posture,branch-pulse,True
43,3,roofward_archive,branch comparison cards,caravan task bell,dry rope,cool route air,dry route board,steady route stance,branch-pulse,True
44,3,archive_signal,branch comparison cards,map hum,oil paper,cool route air,dry route board,steady route stance,ambient-rate,True
45,4,signal_orchard,branch comparison cards,json editor click,oil paper,warm control room,dry route board,careful editing posture,flower-node,True
46,4,orchard_riverbend,single active branch,json editor click,wet cargo,warm control room,route damp,careful editing posture,branch-pulse,True
47,4,central_repair_ring,branch comparison cards,caravan task bell,dry rope,cool route air,dry route board,steady route stance,branch-pulse,True
48,4,riverbend_roofward,branch comparison cards,map hum,wet cargo,cool route air,route damp,steady route stance,branch-pulse,True
49,4,roofward_archive,branch comparison cards,json editor click,dry rope,warm control room,dry route board,careful editing posture,branch-pulse,True
50,4,archive_signal,branch comparison cards,caravan task bell,oil paper,cool route air,dry route board,steady route stance,flower-node,True
51,4,signal_orchard,branch comparison cards,map hum,oil paper,cool route air,dry route board,steady route stance,branch-pulse,True
52,4,orchard_riverbend,branch comparison cards,json editor click,wet cargo,warm control room,route damp,careful editing posture,branch-pulse,True
53,4,central_repair_ring,branch comparison cards,json editor click,dry rope,warm control room,dry route board,careful editing posture,branch-pulse,True
54,4,riverbend_roofward,branch comparison cards,map hum,wet cargo,cool route air,route damp,steady route stance,branch-pulse,True
55,4,roofward_archive,branch comparison cards,caravan task bell,dry rope,cool route air,dry route board,steady route stance,flower-node,True
56,4,archive_signal,branch comparison cards,map hum,oil paper,cool route air,dry route board,steady route stance,branch-pulse,True
57,4,signal_orchard,branch comparison cards,json editor click,oil paper,warm control room,dry route board,careful editing posture,branch-pulse,True
58,4,orchard_riverbend,branch comparison cards,json editor click,wet cargo,warm control room,route damp,careful editing posture,branch-pulse,True
59,4,central_repair_ring,branch comparison cards,map hum,dry rope,cool route air,dry route board,steady route stance,ambient-rate,True
60,5,roofward_archive,branch comparison cards,json editor click,dry rope,warm control room,dry route board,careful editing posture,flower-node,True
61,5,archive_signal,branch comparison cards,map hum,oil paper,cool route air,dry route board,steady route stance,branch-pulse,True
62,5,signal_orchard,branch comparison cards,caravan task bell,oil paper,cool route air,dry route board,steady route stance,branch-pulse,True
63,5,orchard_riverbend,branch comparison cards,map hum,wet cargo,cool route air,route damp,steady route stance,branch-pulse,True
64,5,central_repair_ring,branch comparison cards,json editor click,dry rope,warm control room,dry route board,careful editing posture,branch-pulse,True
65,5,riverbend_roofward,branch comparison cards,caravan task bell,wet cargo,cool route air,route damp,steady route stance,flower-node,True
66,5,roofward_archive,branch comparison cards,map hum,dry rope,cool route air,dry route board,steady route stance,branch-pulse,True
67,5,archive_signal,branch comparison cards,map hum,oil paper,cool route air,dry route board,steady route stance,branch-pulse,True
68,5,signal_orchard,branch comparison cards,json editor click,oil paper,warm control room,dry route board,careful editing posture,branch-pulse,True
69,5,orchard_riverbend,single active branch,map hum,wet cargo,cool route air,route damp,steady route stance,branch-pulse,True
70,5,central_repair_ring,branch comparison cards,json editor click,dry rope,warm control room,dry route board,careful editing posture,flower-node,True
71,5,riverbend_roofward,branch comparison cards,map hum,wet cargo,cool route air,route damp,steady route stance,branch-pulse,True
72,5,roofward_archive,branch comparison cards,json editor click,dry rope,warm control room,dry route board,careful editing posture,branch-pulse,True
73,5,archive_signal,branch comparison cards,caravan task bell,oil paper,cool route air,dry route board,steady route stance,branch-pulse,True
74,5,signal_orchard,branch comparison cards,map hum,oil paper,cool route air,dry route board,steady route stance,ambient-rate,True
75,6,orchard_riverbend,branch comparison cards,json editor click,wet cargo,warm control room,route damp,careful editing posture,flower-node,True
76,6,central_repair_ring,branch comparison cards,map hum,dry rope,cool route air,dry route board,steady route stance,branch-pulse,True
77,6,riverbend_roofward,branch comparison cards,caravan task bell,wet cargo,cool route air,route damp,steady route stance,branch-pulse,True
78,6,roofward_archive,branch comparison cards,dialogue chime,dry rope,cool route air,dry route board,listening posture,branch-pulse,True
79,6,archive_signal,branch comparison cards,json editor click,oil paper,warm control room,dry route board,careful editing posture,branch-pulse,True
80,6,signal_orchard,branch comparison cards,caravan task bell,oil paper,cool route air,dry route board,steady route stance,flower-node,True
81,6,orchard_riverbend,branch comparison cards,map hum,wet cargo,cool route air,route damp,steady route stance,branch-pulse,True
82,6,central_repair_ring,branch comparison cards,map hum,dry rope,cool route air,dry route board,steady route stance,branch-pulse,True
83,6,riverbend_roofward,branch comparison cards,json editor click,wet cargo,warm control room,route damp,careful editing posture,branch-pulse,True
84,6,roofward_archive,branch comparison cards,map hum,dry rope,cool route air,dry route board,steady route stance,branch-pulse,True
85,6,archive_signal,branch comparison cards,caravan task bell,oil paper,cool route air,dry route board,steady route stance,flower-node,True
86,6,signal_orchard,branch comparison cards,dialogue chime,oil paper,cool route air,dry route board,listening posture,branch-pulse,True
87,6,orchard_riverbend,branch comparison cards,json editor click,wet cargo,warm control room,route damp,careful editing posture,branch-pulse,True
88,6,central_repair_ring,branch comparison cards,caravan task bell,dry rope,cool route air,dry route board,steady route stance,branch-pulse,True
89,6,riverbend_roofward,branch comparison cards,map hum,wet cargo,cool route air,route damp,steady route stance,ambient-rate,True
90,7,roofward_archive,branch comparison cards,json editor click,dry rope,warm control room,dry route board,careful editing posture,flower-node,True
91,7,archive_signal,branch comparison cards,map hum,oil paper,cool route air,dry route board,steady route stance,branch-pulse,True
92,7,signal_orchard,single active branch,caravan task bell,oil paper,cool route air,dry route board,steady route stance,branch-pulse,True
93,7,orchard_riverbend,branch comparison cards,dialogue chime,wet cargo,cool route air,route damp,listening posture,branch-pulse,True
94,7,central_repair_ring,branch comparison cards,json editor click,dry rope,warm control room,dry route board,careful editing posture,branch-pulse,True
95,7,riverbend_roofward,branch comparison cards,caravan task bell,wet cargo,cool route air,route damp,steady route stance,flower-node,True
96,7,roofward_archive,branch comparison cards,map hum,dry rope,cool route air,dry route board,steady route stance,branch-pulse,True
97,7,archive_signal,branch comparison cards,map hum,oil paper,cool route air,dry route board,steady route stance,branch-pulse,True
98,7,signal_orchard,branch comparison cards,json editor click,oil paper,warm control room,dry route board,careful editing posture,branch-pulse,True
99,7,orchard_riverbend,branch comparison cards,map hum,wet cargo,cool route air,route damp,steady route stance,branch-pulse,True
100,7,central_repair_ring,branch comparison cards,caravan task bell,dry rope,cool route air,dry route board,steady route stance,flower-node,True
101,7,riverbend_roofward,branch comparison cards,dialogue chime,wet cargo,cool route air,route damp,listening posture,branch-pulse,True
102,7,roofward_archive,branch comparison cards,json editor click,dry rope,warm control room,dry route board,careful editing posture,branch-pulse,True
103,7,archive_signal,branch comparison cards,caravan task bell,oil paper,cool route air,dry route board,steady route stance,branch-pulse,True
104,7,signal_orchard,branch comparison cards,map hum,oil paper,cool route air,dry route board,steady route stance,ambient-rate,True
105,8,orchard_riverbend,branch comparison cards,json editor click,wet cargo,warm control room,route damp,careful editing posture,flower-node,True
106,8,central_repair_ring,branch comparison cards,map hum,dry rope,cool route air,dry route board,steady route stance,branch-pulse,True
107,8,riverbend_roofward,branch comparison cards,caravan task bell,wet cargo,cool route air,route damp,steady route stance,branch-pulse,True
108,8,roofward_archive,branch comparison cards,dialogue chime,dry rope,cool route air,dry route board,listening posture,branch-pulse,True
109,8,archive_signal,branch comparison cards,json editor click,oil paper,warm control room,dry route board,careful editing posture,branch-pulse,True
110,8,signal_orchard,branch comparison cards,caravan task bell,oil paper,cool route air,dry route board,steady route stance,flower-node,True
111,8,orchard_riverbend,branch comparison cards,map hum,wet cargo,cool route air,route damp,steady route stance,branch-pulse,True
112,8,central_repair_ring,branch comparison cards,map hum,dry rope,cool route air,dry route board,steady route stance,branch-pulse,True
113,8,riverbend_roofward,branch comparison cards,json editor click,wet cargo,warm control room,route damp,careful editing posture,branch-pulse,True
114,8,roofward_archive,branch comparison cards,map hum,dry rope,cool route air,dry route board,steady route stance,branch-pulse,True
115,8,archive_signal,single active branch,caravan task bell,oil paper,cool route air,dry route board,steady route stance,flower-node,True
116,8,signal_orchard,branch comparison cards,dialogue chime,oil paper,cool route air,dry route board,listening posture,branch-pulse,True
117,8,orchard_riverbend,branch comparison cards,json editor click,wet cargo,warm control room,route damp,careful editing posture,branch-pulse,True
118,8,central_repair_ring,branch comparison cards,caravan task bell,dry rope,cool route air,dry route board,steady route stance,branch-pulse,True
119,8,riverbend_roofward,branch comparison cards,caravan task bell,wet cargo,cool route air,route damp,steady route stance,ambient-rate,True
120,9,roofward_archive,branch comparison cards,json editor click,dry rope,warm control room,dry route board,avatar multitask strain,flower-node,True
121,9,archive_signal,branch comparison cards,map hum,oil paper,cool route air,dry route board,steady route stance,branch-pulse,True
122,9,signal_orchard,branch comparison cards,caravan task bell,oil paper,cool route air,dry route board,steady route stance,branch-pulse,True
123,9,orchard_riverbend,branch comparison cards,dialogue chime,wet cargo,cool route air,route damp,listening posture,branch-pulse,True
124,9,central_repair_ring,branch comparison cards,json editor click,dry rope,warm control room,dry route board,careful editing posture,branch-pulse,True
125,9,riverbend_roofward,branch comparison cards,caravan task bell,wet cargo,cool route air,route damp,steady route stance,flower-node,True
126,9,roofward_archive,branch comparison cards,caravan task bell,dry rope,cool route air,dry route board,avatar multitask strain,branch-pulse,True
127,9,archive_signal,branch comparison cards,map hum,oil paper,cool route air,dry route board,steady route stance,branch-pulse,True
128,9,signal_orchard,branch comparison cards,json editor click,oil paper,warm control room,dry route board,careful editing posture,branch-pulse,True
129,9,orchard_riverbend,branch comparison cards,map hum,wet cargo,cool route air,route damp,steady route stance,branch-pulse,True
130,9,central_repair_ring,branch comparison cards,caravan task bell,dry rope,cool route air,dry route board,steady route stance,flower-node,True
131,9,riverbend_roofward,branch comparison cards,dialogue chime,wet cargo,cool route air,route damp,listening posture,branch-pulse,True
132,9,roofward_archive,branch comparison cards,json editor click,dry rope,warm control room,dry route board,avatar multitask strain,branch-pulse,True
133,9,archive_signal,branch comparison cards,caravan task bell,oil paper,cool route air,dry route board,steady route stance,branch-pulse,True
134,9,signal_orchard,branch comparison cards,map hum,oil paper,cool route air,dry route board,steady route stance,ambient-rate,True
135,10,central_repair_ring,branch comparison cards,json editor click,dry rope,warm control room,dry route board,careful editing posture,flower-node,True
136,10,riverbend_roofward,branch comparison cards,map hum,wet cargo,cool route air,route damp,steady route stance,branch-pulse,True
137,10,roofward_archive,branch comparison cards,caravan task bell,dry rope,cool route air,dry route board,steady route stance,branch-pulse,True
138,10,archive_signal,single active branch,caravan task bell,oil paper,cool route air,dry route board,avatar multitask strain,branch-pulse,True
139,10,signal_orchard,branch comparison cards,json editor click,oil paper,warm control room,dry route board,careful editing posture,branch-pulse,True
140,10,orchard_riverbend,branch comparison cards,caravan task bell,wet cargo,cool route air,route damp,steady route stance,flower-node,True
141,10,central_repair_ring,branch comparison cards,map hum,dry rope,cool route air,dry route board,steady route stance,branch-pulse,True
142,10,riverbend_roofward,branch comparison cards,map hum,wet cargo,cool route air,route damp,steady route stance,branch-pulse,True
143,10,roofward_archive,branch comparison cards,json editor click,dry rope,warm control room,dry route board,careful editing posture,branch-pulse,True
144,10,archive_signal,branch comparison cards,caravan task bell,oil paper,cool route air,dry route board,avatar multitask strain,branch-pulse,True
145,10,signal_orchard,branch comparison cards,caravan task bell,oil paper,cool route air,dry route board,steady route stance,flower-node,True
146,10,orchard_riverbend,branch comparison cards,dialogue chime,wet cargo,cool route air,route damp,listening posture,branch-pulse,True
147,10,central_repair_ring,branch comparison cards,json editor click,dry rope,warm control room,dry route board,careful editing posture,branch-pulse,True
148,10,riverbend_roofward,branch comparison cards,caravan task bell,wet cargo,cool route air,route damp,steady route stance,branch-pulse,True
149,10,roofward_archive,branch comparison cards,map hum,dry rope,cool route air,dry route board,steady route stance,ambient-rate,True
150,11,archive_signal,branch comparison cards,json editor click,oil paper,warm control room,dry route board,careful editing posture,flower-node,True
151,11,signal_orchard,branch comparison cards,caravan task bell,oil paper,cool route air,dry route board,steady route stance,branch-pulse,True
152,11,orchard_riverbend,branch comparison cards,caravan task bell,wet cargo,cool route air,route damp,steady route stance,branch-pulse,True
153,11,central_repair_ring,branch comparison cards,dialogue chime,dry rope,cool route air,dry route board,listening posture,branch-pulse,True
154,11,riverbend_roofward,branch comparison cards,json editor click,wet cargo,warm control room,route damp,careful editing posture,branch-pulse,True
155,11,roofward_archive,branch comparison cards,caravan task bell,dry rope,cool route air,dry route board,steady route stance,flower-node,True
156,11,archive_signal,branch comparison cards,map hum,oil paper,cool route air,dry route board,steady route stance,branch-pulse,True
157,11,signal_orchard,branch comparison cards,caravan task bell,oil paper,cool route air,dry route board,steady route stance,branch-pulse,True
158,11,orchard_riverbend,branch comparison cards,json editor click,wet cargo,warm control room,route damp,careful editing posture,branch-pulse,True
159,11,central_repair_ring,branch comparison cards,map hum,dry rope,cool route air,dry route board,steady route stance,branch-pulse,True
160,11,riverbend_roofward,branch comparison cards,json editor click,wet cargo,warm control room,route damp,careful editing posture,flower-node,True
161,11,roofward_archive,single active branch,dialogue chime,dry rope,cool route air,dry route board,listening posture,branch-pulse,True
162,11,archive_signal,branch comparison cards,json editor click,oil paper,warm control room,dry route board,careful editing posture,branch-pulse,True
163,11,signal_orchard,branch comparison cards,caravan task bell,oil paper,cool route air,dry route board,steady route stance,branch-pulse,True
164,11,orchard_riverbend,branch comparison cards,map hum,wet cargo,cool route air,route damp,steady route stance,ambient-rate,True
165,12,central_repair_ring,branch comparison cards,json editor click,dry rope,warm control room,dry route board,careful editing posture,flower-node,True
166,12,riverbend_roofward,branch comparison cards,map hum,wet cargo,cool route air,route damp,steady route stance,branch-pulse,True
167,12,roofward_archive,branch comparison cards,json editor click,dry rope,warm control room,dry route board,careful editing posture,branch-pulse,True
168,12,archive_signal,branch comparison cards,dialogue chime,oil paper,cool route air,dry route board,listening posture,branch-pulse,True
169,12,signal_orchard,branch comparison cards,json editor click,oil paper,warm control room,dry route board,careful editing posture,branch-pulse,True
170,12,orchard_riverbend,branch comparison cards,caravan task bell,wet cargo,cool route air,route damp,steady route stance,flower-node,True
171,12,central_repair_ring,branch comparison cards,map hum,dry rope,cool route air,dry route board,steady route stance,branch-pulse,True
172,12,riverbend_roofward,branch comparison cards,map hum,wet cargo,cool route air,route damp,steady route stance,branch-pulse,True
173,12,roofward_archive,branch comparison cards,json editor click,dry rope,warm control room,dry route board,careful editing posture,branch-pulse,True
174,12,archive_signal,branch comparison cards,map hum,oil paper,cool route air,dry route board,steady route stance,branch-pulse,True
175,12,signal_orchard,branch comparison cards,caravan task bell,oil paper,cool route air,dry route board,steady route stance,flower-node,True
176,12,orchard_riverbend,branch comparison cards,caravan task bell,wet cargo,cool route air,route damp,listening posture,branch-pulse,True
177,12,central_repair_ring,branch comparison cards,json editor click,dry rope,warm control room,dry route board,careful editing posture,branch-pulse,True
178,12,riverbend_roofward,branch comparison cards,caravan task bell,wet cargo,cool route air,route damp,steady route stance,branch-pulse,True
179,12,roofward_archive,branch comparison cards,json editor click,dry rope,warm control room,dry route board,careful editing posture,ambient-rate,True
180,13,archive_signal,branch comparison cards,json editor click,oil paper,warm control room,dry route board,careful editing posture,flower-node,True
181,13,signal_orchard,branch comparison cards,map hum,oil paper,cool route air,dry route board,steady route stance,branch-pulse,True
182,13,orchard_riverbend,branch comparison cards,caravan task bell,wet cargo,cool route air,route damp,steady route stance,branch-pulse,True
183,13,central_repair_ring,branch comparison cards,caravan task bell,dry rope,cool route air,dry route board,listening posture,branch-pulse,True
184,13,riverbend_roofward,single active branch,json editor click,wet cargo,warm control room,route damp,careful editing posture,branch-pulse,True
185,13,roofward_archive,branch comparison cards,caravan task bell,dry rope,cool route air,dry route board,steady route stance,flower-node,True
186,13,archive_signal,branch comparison cards,json editor click,oil paper,warm control room,dry route board,careful editing posture,branch-pulse,True
187,13,signal_orchard,branch comparison cards,map hum,oil paper,cool route air,dry route board,steady route stance,branch-pulse,True
188,13,orchard_riverbend,branch comparison cards,json editor click,wet cargo,warm control room,route damp,careful editing posture,branch-pulse,True
189,13,central_repair_ring,branch comparison cards,caravan task bell,dry rope,cool route air,dry route board,steady route stance,branch-pulse,True
190,13,riverbend_roofward,branch comparison cards,caravan task bell,wet cargo,cool route air,route damp,steady route stance,flower-node,True
191,13,roofward_archive,branch comparison cards,dialogue chime,dry rope,cool route air,dry route board,listening posture,branch-pulse,True
192,13,archive_signal,branch comparison cards,json editor click,oil paper,warm control room,dry route board,careful editing posture,branch-pulse,True
193,13,signal_orchard,branch comparison cards,caravan task bell,oil paper,cool route air,dry route board,steady route stance,branch-pulse,True
194,13,orchard_riverbend,branch comparison cards,map hum,wet cargo,cool route air,route damp,steady route stance,ambient-rate,True
195,14,central_repair_ring,branch comparison cards,json editor click,dry rope,warm control room,dry route board,careful editing posture,flower-node,True
196,14,riverbend_roofward,branch comparison cards,map hum,wet cargo,cool route air,route damp,steady route stance,branch-pulse,True
197,14,roofward_archive,branch comparison cards,caravan task bell,dry rope,cool route air,dry route board,steady route stance,branch-pulse,True
198,14,archive_signal,branch comparison cards,dialogue chime,oil paper,cool route air,dry route board,listening posture,branch-pulse,True
199,14,signal_orchard,branch comparison cards,json editor click,oil paper,warm control room,dry route board,careful editing posture,branch-pulse,True
200,14,orchard_riverbend,branch comparison cards,caravan task bell,wet cargo,cool route air,route damp,steady route stance,flower-node,True
201,14,central_repair_ring,branch comparison cards,map hum,dry rope,cool route air,dry route board,steady route stance,branch-pulse,True
202,14,riverbend_roofward,branch comparison cards,map hum,wet cargo,cool route air,route damp,steady route stance,branch-pulse,True
203,14,roofward_archive,branch comparison cards,json editor click,dry rope,warm control room,dry route board,careful editing posture,branch-pulse,True
204,14,archive_signal,branch comparison cards,map hum,oil paper,cool route air,dry route board,steady route stance,branch-pulse,True
205,14,signal_orchard,branch comparison cards,json editor click,oil paper,warm control room,dry route board,careful editing posture,flower-node,True
206,14,orchard_riverbend,branch comparison cards,dialogue chime,wet cargo,cool route air,route damp,listening posture,branch-pulse,True
207,14,central_repair_ring,single active branch,json editor click,dry rope,warm control room,dry route board,careful editing posture,branch-pulse,True
208,14,riverbend_roofward,branch comparison cards,caravan task bell,wet cargo,cool route air,route damp,steady route stance,branch-pulse,True
209,14,roofward_archive,branch comparison cards,map hum,dry rope,cool route air,dry route board,steady route stance,ambient-rate,True
210,15,signal_orchard,branch comparison cards,json editor click,oil paper,warm control room,dry route board,careful editing posture,flower-node,True
211,15,orchard_riverbend,branch comparison cards,json editor click,wet cargo,warm control room,route damp,careful editing posture,branch-pulse,True
212,15,central_repair_ring,branch comparison cards,caravan task bell,dry rope,cool route air,dry route board,steady route stance,branch-pulse,True
213,15,riverbend_roofward,branch comparison cards,dialogue chime,wet cargo,cool route air,route damp,listening posture,branch-pulse,True
214,15,roofward_archive,branch comparison cards,json editor click,dry rope,warm control room,dry route board,careful editing posture,branch-pulse,True
215,15,archive_signal,branch comparison cards,caravan task bell,oil paper,cool route air,dry route board,steady route stance,flower-node,True
216,15,signal_orchard,branch comparison cards,map hum,oil paper,cool route air,dry route board,steady route stance,branch-pulse,True
217,15,orchard_riverbend,branch comparison cards,json editor click,wet cargo,warm control room,route damp,careful editing posture,branch-pulse,True
218,15,central_repair_ring,branch comparison cards,json editor click,dry rope,warm control room,dry route board,careful editing posture,branch-pulse,True
219,15,riverbend_roofward,branch comparison cards,map hum,wet cargo,cool route air,route damp,steady route stance,branch-pulse,True
220,15,roofward_archive,branch comparison cards,caravan task bell,dry rope,cool route air,dry route board,steady route stance,flower-node,True
221,15,archive_signal,branch comparison cards,dialogue chime,oil paper,cool route air,dry route board,listening posture,branch-pulse,True
222,15,signal_orchard,branch comparison cards,json editor click,oil paper,warm control room,dry route board,careful editing posture,branch-pulse,True
223,15,orchard_riverbend,branch comparison cards,json editor click,wet cargo,warm control room,route damp,careful editing posture,branch-pulse,True
224,15,central_repair_ring,branch comparison cards,map hum,dry rope,cool route air,dry route board,steady route stance,ambient-rate,True
225,16,riverbend_roofward,branch comparison cards,json editor click,wet cargo,warm control room,route damp,careful editing posture,flower-node,True
226,16,roofward_archive,branch comparison cards,map hum,dry rope,cool route air,dry route board,steady route stance,branch-pulse,True
227,16,archive_signal,branch comparison cards,caravan task bell,oil paper,cool route air,dry route board,steady route stance,branch-pulse,True
228,16,signal_orchard,branch comparison cards,dialogue chime,oil paper,cool route air,dry route board,listening posture,branch-pulse,True
229,16,orchard_riverbend,branch comparison cards,json editor click,wet cargo,warm control room,route damp,careful editing posture,branch-pulse,True
230,16,central_repair_ring,single active branch,json editor click,dry rope,warm control room,dry route board,careful editing posture,flower-node,True
231,16,riverbend_roofward,branch comparison cards,caravan task bell,wet cargo,cool route air,route damp,steady route stance,branch-pulse,True
232,16,roofward_archive,branch comparison cards,map hum,dry rope,cool route air,dry route board,steady route stance,branch-pulse,True
233,16,archive_signal,branch comparison cards,json editor click,oil paper,warm control room,dry route board,careful editing posture,branch-pulse,True
234,16,signal_orchard,branch comparison cards,map hum,oil paper,cool route air,dry route board,steady route stance,branch-pulse,True
235,16,orchard_riverbend,branch comparison cards,caravan task bell,wet cargo,cool route air,route damp,steady route stance,flower-node,True
236,16,central_repair_ring,branch comparison cards,json editor click,dry rope,warm control room,dry route board,careful editing posture,branch-pulse,True
237,16,riverbend_roofward,branch comparison cards,json editor click,wet cargo,warm control room,route damp,careful editing posture,branch-pulse,True
238,16,roofward_archive,branch comparison cards,caravan task bell,dry rope,cool route air,dry route board,steady route stance,branch-pulse,True
239,16,archive_signal,branch comparison cards,map hum,oil paper,cool route air,dry route board,steady route stance,ambient-rate,True
240,17,signal_orchard,branch comparison cards,json editor click,oil paper,warm control room,dry route board,careful editing posture,flower-node,True
241,17,orchard_riverbend,branch comparison cards,map hum,wet cargo,cool route air,route damp,steady route stance,branch-pulse,True
242,17,central_repair_ring,branch comparison cards,caravan task bell,dry rope,cool route air,dry route board,steady route stance,branch-pulse,True
243,17,riverbend_roofward,branch comparison cards,dialogue chime,wet cargo,cool route air,route damp,listening posture,branch-pulse,True
244,17,roofward_archive,branch comparison cards,json editor click,dry rope,warm control room,dry route board,careful editing posture,branch-pulse,True
245,17,archive_signal,branch comparison cards,caravan task bell,oil paper,cool route air,dry route board,steady route stance,flower-node,True
246,17,signal_orchard,branch comparison cards,map hum,oil paper,cool route air,dry route board,steady route stance,branch-pulse,True
247,17,orchard_riverbend,branch comparison cards,map hum,wet cargo,cool route air,route damp,steady route stance,branch-pulse,True
248,17,central_repair_ring,branch comparison cards,json editor click,dry rope,warm control room,dry route board,careful editing posture,branch-pulse,True
249,17,riverbend_roofward,branch comparison cards,map hum,wet cargo,cool route air,route damp,steady route stance,branch-pulse,True
250,17,roofward_archive,branch comparison cards,caravan task bell,dry rope,cool route air,dry route board,steady route stance,flower-node,True
251,17,archive_signal,branch comparison cards,dialogue chime,oil paper,cool route air,dry route board,listening posture,branch-pulse,True
