update_id,utterance_id,agent_id,day,old_goal,new_goal,update_reason,goal_delta,private_workspace_boundary
gu_u_5_mu61,u_5_mu61,mu61,5,advance warm meal care without violating household boundary,advance warm meal care without violating household boundary; avatar request adds explain_goal_publicly,parsed greet with confidence 0.76,0.05,do_not_dump_private_workspace
gu_u_5_lo62,u_5_lo62,lo62,5,advance fair count market without violating household boundary,advance fair count market without violating household boundary; avatar request adds prepare_fair_exchange,parsed trade with confidence 0.93,0.05,do_not_dump_private_workspace
gu_u_5_sa63,u_5_sa63,sa63,5,advance public truth witness without violating household boundary,advance public truth witness without violating household boundary; avatar request adds accept_help_if_boundary_clear,parsed help with confidence 0.93,0.08,do_not_dump_private_workspace
gu_u_5_ni64,u_5_ni64,ni64,5,advance safe wet repair without violating household boundary,advance safe wet repair without violating household boundary; avatar request adds offer_edge_place,parsed ritual_consent with confidence 0.93,0.08,do_not_dump_private_workspace
gu_u_8_ka60,u_8_ka60,ka60,8,advance dry-route repair without violating household boundary,advance dry-route repair without violating household boundary; avatar request adds accept_help_if_boundary_clear,parsed help with confidence 0.93,0.08,do_not_dump_private_workspace
gu_u_8_mu61,u_8_mu61,mu61,8,advance warm meal care without violating household boundary,advance warm meal care without violating household boundary; avatar request adds offer_edge_place,parsed ritual_consent with confidence 0.93,0.08,do_not_dump_private_workspace
gu_u_8_lo62,u_8_lo62,lo62,8,advance fair count market without violating household boundary,advance fair count market without violating household boundary; avatar request adds repair_relationship,parsed apology with confidence 0.93,0.08,do_not_dump_private_workspace
gu_u_8_sa63,u_8_sa63,sa63,8,advance public truth witness without violating household boundary,advance public truth witness without violating household boundary,ambiguous input delayed goal change,0.0,do_not_dump_private_workspace
gu_u_8_ni64,u_8_ni64,ni64,8,advance safe wet repair without violating household boundary,advance safe wet repair without violating household boundary; avatar request adds explain_goal_publicly,parsed greet with confidence 0.76,0.05,do_not_dump_private_workspace
gu_u_13_ka60,u_13_ka60,ka60,13,advance dry-route repair without violating household boundary,advance dry-route repair without violating household boundary; avatar request adds prepare_fair_exchange,parsed trade with confidence 0.93,0.05,do_not_dump_private_workspace
gu_u_13_mu61,u_13_mu61,mu61,13,advance warm meal care without violating household boundary,advance warm meal care without violating household boundary; avatar request adds accept_help_if_boundary_clear,parsed help with confidence 0.93,0.08,do_not_dump_private_workspace
gu_u_13_lo62,u_13_lo62,lo62,13,advance fair count market without violating household boundary,advance fair count market without violating household boundary; avatar request adds offer_edge_place,parsed ritual_consent with confidence 0.93,0.08,do_not_dump_private_workspace
gu_u_13_sa63,u_13_sa63,sa63,13,advance public truth witness without violating household boundary,advance public truth witness without violating household boundary; avatar request adds repair_relationship,parsed apology with confidence 0.93,0.08,do_not_dump_private_workspace
gu_u_13_ni64,u_13_ni64,ni64,13,advance safe wet repair without violating household boundary,advance safe wet repair without violating household boundary,ambiguous input delayed goal change,0.0,do_not_dump_private_workspace
