tick_id,day,settlement_id,resident_id,avatar_room,resident_room,egocentric_relation,visual_near,audible_near,smell_near,temperature_c,wetness_signal,pain_signal,tactile_signal,attention_focus,packet_source,local_not_global,private_workspace_sealed
12,1,signal,Ren,mast base,lens room,distant-ahead,doorway shape,muffled rope creak,hot glass,9.12,0.27,0.07488,neutral air,queued work,avatar first-person local sample,True,True
13,1,orchard,Ivo,market plank,market plank,co-present,dry cord,seed rattle,mud reed,15.4,0.25,0.06588,neutral air,queued work,avatar first-person local sample,True,True
14,1,repair_ring,Pax,arrival court,cool corner,distant-ahead,doorway shape,muffled cool fan,stone chalk,15.38,0.26,0.063,neutral air,resident boundary,avatar first-person local sample,True,True
15,1,riverbend,Ari,plank hall,wet crossing,near-right,ridge lantern,cedar knock,warm oil,10.96,0.25,0.07488,neutral air,queued work,avatar first-person local sample,True,True
16,1,roofward,Sera,ledger loft,ledger loft,co-present,brass hinge,paper hush,warm dust,19.84,0.23,0.06588,warm edge,queued work,avatar first-person local sample,True,True
17,1,archive,Nia,arrival court,ink niche,distant-ahead,doorway shape,muffled stone echo,cold dust,14.02,0.66,0.143,wet sole,resident boundary,avatar first-person local sample,True,True
18,2,orchard,Ivo,seed lane,market plank,distant-ahead,doorway shape,muffled seed rattle,apple soil,13.68,0.28,0.06732,neutral air,queued work,avatar first-person local sample,True,True
19,2,repair_ring,Pax,bell alcove,cool corner,near-right,insulated tongs,wire snap,clean cloth,17.16,0.26,0.06408,warm edge,resident boundary,avatar first-person local sample,True,True
20,2,riverbend,Ari,kit alcove,dry ridge,near-left,ridge lantern,river slap,wet cedar,12.74,0.25,0.07632,neutral air,queued work,avatar first-person local sample,True,True
21,2,roofward,Sera,glass stair,ledger loft,distant-ahead,doorway shape,muffled paper hush,thyme paper,18.12,0.26,0.06732,neutral air,queued work,avatar first-person local sample,True,True
22,2,archive,Nia,ink niche,ink niche,co-present,signal spool,spool click,wax seal,15.8,0.24,0.06408,neutral air,resident boundary,avatar first-person local sample,True,True
23,2,signal,Ren,arrival court,lens room,distant-ahead,doorway shape,muffled beacon pulse,hot glass,8.58,0.67,0.15632,wet sole,queued work,avatar first-person local sample,True,True
24,2,orchard,Ivo,mud row,market plank,near-right,dry cord,roof drip,mud reed,14.86,0.68,0.14876,wet sole,queued work,avatar first-person local sample,True,True
25,2,repair_ring,Pax,cool corner,arrival court,distant-behind,doorway shape,muffled cool fan,hot copper,18.34,0.25,0.06516,warm edge,queued work,avatar first-person local sample,True,True
26,2,riverbend,Ari,arrival court,dry ridge,distant-ahead,doorway shape,muffled lantern tick,warm oil,10.42,0.23,0.07776,neutral air,queued work,avatar first-person local sample,True,True
27,2,roofward,Sera,warm lane,ledger loft,near-right,brass hinge,sun glass hum,warm dust,18.58,0.3,0.06876,neutral air,queued work,avatar first-person local sample,True,True
28,2,archive,Nia,memory desk,ink niche,near-left,signal spool,stone echo,ink linen,16.26,0.28,0.06516,warm edge,queued work,avatar first-person local sample,True,True
29,2,signal,Ren,mast base,lens room,distant-ahead,doorway shape,muffled static crickets,lamp oil,9.04,0.29,0.08676,neutral air,queued work,avatar first-person local sample,True,True
30,2,orchard,Ivo,market plank,satchel shed,near-right,dry cord,cart creak,dry twine,15.32,0.22,0.0702,neutral air,queued work,avatar first-person local sample,True,True
31,2,repair_ring,Pax,arrival court,arrival court,co-present,insulated tongs,wire snap,clean cloth,15.3,0.23,0.06408,neutral air,resident boundary,avatar first-person local sample,True,True
32,2,riverbend,Ari,plank hall,dry ridge,distant-ahead,doorway shape,muffled river slap,wet cedar,10.88,0.27,0.0882,neutral air,queued work,avatar first-person local sample,True,True
33,2,roofward,Sera,ledger loft,ledger loft,co-present,brass hinge,hinge ticks,polished brass,19.76,0.25,0.0702,warm edge,queued work,avatar first-person local sample,True,True
34,2,archive,Nia,arrival court,ink niche,distant-ahead,doorway shape,muffled spool click,wax seal,13.94,0.68,0.14408,wet sole,resident boundary,avatar first-person local sample,True,True
35,2,signal,Ren,lantern walk,signal perch,distant-ahead,doorway shape,muffled rope creak,salt wind,10.22,0.28,0.0882,neutral air,queued work,avatar first-person local sample,True,True
36,3,repair_ring,Pax,bell alcove,arrival court,distant-behind,doorway shape,muffled bell hum,hot copper,17.08,0.23,0.06516,warm edge,resident boundary,avatar first-person local sample,True,True
37,3,riverbend,Ari,kit alcove,dry ridge,near-left,ridge lantern,lantern tick,mud thread,12.66,0.27,0.08964,neutral air,queued work,avatar first-person local sample,True,True
38,3,roofward,Sera,glass stair,ledger loft,distant-ahead,doorway shape,muffled hinge ticks,warm dust,18.04,0.28,0.07164,neutral air,queued work,avatar first-person local sample,True,True
39,3,archive,Nia,ink niche,ink niche,co-present,signal spool,page flutter,ink linen,15.72,0.26,0.06516,neutral air,resident boundary,avatar first-person local sample,True,True
40,3,signal,Ren,arrival court,arrival court,co-present,oil lantern,rope creak,lamp oil,8.5,0.64,0.17864,wet sole,queued work,avatar first-person local sample,True,True
41,3,orchard,Ivo,mud row,satchel shed,distant-ahead,doorway shape,muffled seed rattle,dry twine,14.78,0.65,0.15164,wet sole,queued work,avatar first-person local sample,True,True
42,3,repair_ring,Pax,cool corner,arrival court,distant-behind,doorway shape,muffled wire snap,stone chalk,18.26,0.27,0.07326,warm edge,queued work,avatar first-person local sample,True,True
43,3,riverbend,Ari,arrival court,dry ridge,distant-ahead,doorway shape,muffled cedar knock,wet cedar,10.34,0.25,0.09108,neutral air,queued work,avatar first-person local sample,True,True
44,3,roofward,Sera,warm lane,ledger loft,near-right,brass hinge,paper hush,polished brass,19.22,0.32,0.07308,warm edge,queued work,avatar first-person local sample,True,True
45,3,archive,Nia,memory desk,memory desk,co-present,signal spool,spool click,cold dust,16.18,0.25,0.06624,warm edge,queued work,avatar first-person local sample,True,True
46,3,signal,Ren,mast base,arrival court,near-left,oil lantern,beacon pulse,salt wind,8.96,0.26,0.10908,neutral air,queued work,avatar first-person local sample,True,True
47,3,orchard,Ivo,market plank,satchel shed,near-right,dry cord,roof drip,apple soil,15.24,0.24,0.07308,neutral air,queued work,avatar first-person local sample,True,True
48,3,repair_ring,Pax,arrival court,arrival court,co-present,insulated tongs,bell hum,hot copper,15.22,0.25,0.07218,neutral air,resident boundary,avatar first-person local sample,True,True
49,3,riverbend,Ari,plank hall,dry ridge,distant-ahead,doorway shape,muffled lantern tick,mud thread,10.8,0.29,0.10152,neutral air,queued work,avatar first-person local sample,True,True
50,3,roofward,Sera,ledger loft,sun sill,near-right,brass hinge,sun glass hum,thyme paper,19.68,0.22,0.07452,warm edge,queued work,avatar first-person local sample,True,True
51,3,archive,Nia,arrival court,memory desk,distant-ahead,doorway shape,muffled page flutter,ink linen,13.86,0.65,0.14516,wet sole,resident boundary,avatar first-person local sample,True,True
52,3,signal,Ren,lantern walk,arrival court,distant-behind,doorway shape,muffled static crickets,hot glass,10.14,0.3,0.11052,neutral air,queued work,avatar first-person local sample,True,True
53,3,orchard,Ivo,satchel shed,satchel shed,co-present,dry cord,cart creak,mud reed,16.42,0.28,0.07452,warm edge,queued work,avatar first-person local sample,True,True
54,4,riverbend,Ari,kit alcove,dry ridge,near-left,ridge lantern,cedar knock,warm oil,12.58,0.29,0.10296,neutral air,queued work,avatar first-person local sample,True,True
55,4,roofward,Sera,glass stair,arrival court,near-left,brass hinge,sun glass hum,polished brass,17.96,0.25,0.07596,neutral air,queued work,avatar first-person local sample,True,True
56,4,archive,Nia,ink niche,memory desk,near-right,signal spool,stone echo,cold dust,15.64,0.23,0.06624,neutral air,resident boundary,avatar first-person local sample,True,True
57,4,signal,Ren,arrival court,arrival court,co-present,oil lantern,static crickets,salt wind,8.42,0.66,0.20096,wet sole,queued work,avatar first-person local sample,True,True
58,4,orchard,Ivo,mud row,satchel shed,distant-ahead,doorway shape,muffled cart creak,apple soil,14.7,0.67,0.15596,wet sole,queued work,avatar first-person local sample,True,True
59,4,repair_ring,Pax,cool corner,arrival court,distant-behind,doorway shape,muffled bell hum,clean cloth,18.18,0.29,0.08028,warm edge,queued work,avatar first-person local sample,True,True
60,4,riverbend,Ari,arrival court,kit alcove,distant-ahead,doorway shape,muffled river slap,mud thread,10.26,0.22,0.1044,neutral air,queued work,avatar first-person local sample,True,True
61,4,roofward,Sera,warm lane,arrival court,distant-behind,doorway shape,muffled hinge ticks,thyme paper,19.14,0.29,0.0774,neutral air,queued work,avatar first-person local sample,True,True
62,4,archive,Nia,memory desk,memory desk,co-present,signal spool,page flutter,wax seal,16.82,0.27,0.07434,warm edge,queued work,avatar first-person local sample,True,True
63,4,signal,Ren,mast base,arrival court,near-left,oil lantern,rope creak,hot glass,8.88,0.28,0.1314,neutral air,queued work,avatar first-person local sample,True,True
64,4,orchard,Ivo,market plank,satchel shed,near-right,dry cord,seed rattle,mud reed,15.16,0.26,0.0774,neutral air,queued work,avatar first-person local sample,True,True
65,4,repair_ring,Pax,arrival court,wire bench,near-right,insulated tongs,cool fan,stone chalk,15.14,0.22,0.0792,neutral air,resident boundary,avatar first-person local sample,True,True
66,4,riverbend,Ari,plank hall,kit alcove,distant-ahead,doorway shape,muffled cedar knock,warm oil,10.72,0.26,0.11484,neutral air,queued work,avatar first-person local sample,True,True
67,4,roofward,Sera,ledger loft,arrival court,distant-behind,doorway shape,muffled paper hush,warm dust,19.6,0.24,0.07884,warm edge,queued work,avatar first-person local sample,True,True
68,4,archive,Nia,arrival court,memory desk,distant-ahead,doorway shape,muffled stone echo,cold dust,13.78,0.67,0.15326,wet sole,resident boundary,avatar first-person local sample,True,True
69,4,signal,Ren,lantern walk,arrival court,distant-behind,doorway shape,muffled beacon pulse,lamp oil,10.06,0.32,0.13284,neutral air,queued work,avatar first-person local sample,True,True
70,4,orchard,Ivo,satchel shed,arrival court,distant-behind,doorway shape,muffled roof drip,dry twine,16.34,0.25,0.07884,warm edge,queued work,avatar first-person local sample,True,True
71,4,repair_ring,Pax,wire bench,wire bench,co-present,insulated tongs,bell hum,clean cloth,16.32,0.26,0.08028,neutral air,queued work,avatar first-person local sample,True,True
72,5,roofward,Sera,glass stair,arrival court,near-left,brass hinge,paper hush,thyme paper,17.88,0.27,0.08028,neutral air,queued work,avatar first-person local sample,True,True
73,5,archive,Nia,ink niche,memory desk,near-right,signal spool,spool click,wax seal,15.56,0.25,0.08136,neutral air,resident boundary,avatar first-person local sample,True,True
74,5,signal,Ren,arrival court,arrival court,co-present,oil lantern,beacon pulse,hot glass,8.34,0.68,0.22328,wet sole,queued work,avatar first-person local sample,True,True
75,5,orchard,Ivo,mud row,seed lane,near-left,dry cord,roof drip,mud reed,14.62,0.64,0.16028,wet sole,queued work,avatar first-person local sample,True,True
76,5,repair_ring,Pax,cool corner,wire bench,distant-behind,doorway shape,muffled cool fan,hot copper,18.1,0.26,0.0792,warm edge,queued work,avatar first-person local sample,True,True
77,5,riverbend,Ari,arrival court,kit alcove,distant-ahead,doorway shape,muffled lantern tick,warm oil,10.18,0.24,0.11628,neutral air,queued work,avatar first-person local sample,True,True
78,5,roofward,Sera,warm lane,arrival court,distant-behind,doorway shape,muffled sun glass hum,warm dust,19.06,0.31,0.08172,neutral air,queued work,avatar first-person local sample,True,True
79,5,archive,Nia,memory desk,memory desk,co-present,signal spool,stone echo,ink linen,16.74,0.29,0.08244,warm edge,queued work,avatar first-person local sample,True,True
80,5,signal,Ren,mast base,mast base,co-present,oil lantern,static crickets,lamp oil,9.52,0.25,0.15372,neutral air,queued work,avatar first-person local sample,True,True
81,5,orchard,Ivo,market plank,seed lane,distant-behind,doorway shape,muffled cart creak,dry twine,15.08,0.23,0.08172,neutral air,queued work,avatar first-person local sample,True,True
82,5,repair_ring,Pax,arrival court,wire bench,near-right,insulated tongs,wire snap,clean cloth,15.06,0.24,0.07812,neutral air,resident boundary,avatar first-person local sample,True,True
83,5,riverbend,Ari,plank hall,kit alcove,distant-ahead,doorway shape,muffled river slap,wet cedar,10.64,0.28,0.12672,neutral air,queued work,avatar first-person local sample,True,True
84,5,roofward,Sera,ledger loft,arrival court,distant-behind,doorway shape,muffled hinge ticks,polished brass,19.52,0.26,0.08316,warm edge,queued work,avatar first-person local sample,True,True
85,5,archive,Nia,arrival court,arrival court,co-present,signal spool,spool click,wax seal,13.7,0.64,0.16136,wet sole,resident boundary,avatar first-person local sample,True,True
86,5,signal,Ren,lantern walk,mast base,near-left,oil lantern,rope creak,salt wind,9.98,0.29,0.15516,neutral air,queued work,avatar first-person local sample,True,True
87,5,orchard,Ivo,satchel shed,seed lane,distant-behind,doorway shape,muffled seed rattle,apple soil,16.26,0.27,0.08316,warm edge,queued work,avatar first-person local sample,True,True
88,5,repair_ring,Pax,wire bench,wire bench,co-present,insulated tongs,cool fan,hot copper,16.24,0.28,0.0792,neutral air,queued work,avatar first-person local sample,True,True
89,5,riverbend,Ari,wet crossing,kit alcove,distant-ahead,doorway shape,muffled cedar knock,mud thread,11.82,0.68,0.20816,wet sole,queued work,avatar first-person local sample,True,True
90,6,archive,Nia,ink niche,stone stacks,distant-behind,doorway shape,muffled page flutter,ink linen,15.48,0.22,0.08244,neutral air,resident boundary,avatar first-person local sample,True,True
91,6,signal,Ren,arrival court,mast base,near-right,oil lantern,rope creak,lamp oil,8.26,0.65,0.2456,wet sole,queued work,avatar first-person local sample,True,True
92,6,orchard,Ivo,mud row,seed lane,near-left,dry cord,seed rattle,dry twine,14.54,0.66,0.1646,wet sole,queued work,avatar first-person local sample,True,True
93,6,repair_ring,Pax,cool corner,wire bench,distant-behind,doorway shape,muffled wire snap,stone chalk,18.02,0.28,0.07812,warm edge,queued work,avatar first-person local sample,True,True
94,6,riverbend,Ari,arrival court,kit alcove,distant-ahead,doorway shape,muffled cedar knock,wet cedar,10.1,0.26,0.1386,neutral air,queued work,avatar first-person local sample,True,True
95,6,roofward,Sera,warm lane,glass stair,near-left,brass hinge,paper hush,polished brass,18.98,0.28,0.0846,neutral air,queued work,avatar first-person local sample,True,True
96,6,archive,Nia,memory desk,stone stacks,distant-behind,doorway shape,muffled spool click,cold dust,16.66,0.26,0.08352,warm edge,queued work,avatar first-person local sample,True,True
97,6,signal,Ren,mast base,mast base,co-present,oil lantern,beacon pulse,salt wind,9.44,0.27,0.16236,neutral air,queued work,avatar first-person local sample,True,True
98,6,orchard,Ivo,market plank,seed lane,distant-behind,doorway shape,muffled roof drip,apple soil,15.72,0.25,0.08604,warm edge,queued work,avatar first-person local sample,True,True
99,6,repair_ring,Pax,arrival court,wire bench,near-right,insulated tongs,bell hum,hot copper,14.98,0.26,0.07704,neutral air,resident boundary,avatar first-person local sample,True,True
100,6,riverbend,Ari,plank hall,arrival court,near-left,ridge lantern,lantern tick,mud thread,10.56,0.25,0.14904,neutral air,queued work,avatar first-person local sample,True,True
101,6,roofward,Sera,ledger loft,glass stair,distant-behind,doorway shape,muffled sun glass hum,thyme paper,19.44,0.23,0.08604,warm edge,queued work,avatar first-person local sample,True,True
102,6,archive,Nia,arrival court,stone stacks,near-right,signal spool,page flutter,ink linen,13.62,0.66,0.16244,wet sole,resident boundary,avatar first-person local sample,True,True
103,6,signal,Ren,lantern walk,mast base,near-left,oil lantern,static crickets,hot glass,9.9,0.31,0.15912,neutral air,queued work,avatar first-person local sample,True,True
104,6,orchard,Ivo,satchel shed,seed lane,distant-behind,doorway shape,muffled cart creak,mud reed,16.18,0.29,0.08748,warm edge,queued work,avatar first-person local sample,True,True
105,6,repair_ring,Pax,wire bench,spark lane,near-right,insulated tongs,wire snap,stone chalk,16.16,0.25,0.07812,neutral air,queued work,avatar first-person local sample,True,True
106,6,riverbend,Ari,wet crossing,arrival court,distant-behind,doorway shape,muffled river slap,warm oil,11.74,0.65,0.23048,wet sole,queued work,avatar first-person local sample,True,True
107,6,roofward,Sera,sun sill,glass stair,distant-behind,doorway shape,muffled hinge ticks,warm dust,20.62,0.27,0.08748,warm edge,queued work,avatar first-person local sample,True,True
108,7,signal,Ren,arrival court,mast base,near-right,oil lantern,static crickets,salt wind,8.18,0.67,0.2492,wet sole,queued work,avatar first-person local sample,True,True
109,7,orchard,Ivo,mud row,seed lane,near-left,dry cord,cart creak,apple soil,14.46,0.68,0.16892,wet sole,queued work,avatar first-person local sample,True,True
110,7,repair_ring,Pax,cool corner,bell alcove,near-left,insulated tongs,bell hum,clean cloth,17.94,0.25,0.07704,warm edge,queued work,avatar first-person local sample,True,True
111,7,riverbend,Ari,arrival court,arrival court,co-present,ridge lantern,river slap,mud thread,10.02,0.23,0.16092,neutral air,queued work,avatar first-person local sample,True,True
112,7,roofward,Sera,warm lane,glass stair,near-left,brass hinge,hinge ticks,thyme paper,18.9,0.3,0.08892,neutral air,queued work,avatar first-person local sample,True,True
113,7,archive,Nia,memory desk,stone stacks,distant-behind,doorway shape,muffled page flutter,wax seal,16.58,0.28,0.08352,warm edge,queued work,avatar first-person local sample,True,True
114,7,signal,Ren,mast base,mast base,co-present,oil lantern,rope creak,hot glass,9.36,0.29,0.16596,neutral air,queued work,avatar first-person local sample,True,True
115,7,orchard,Ivo,market plank,mud row,near-left,dry cord,seed rattle,mud reed,15.64,0.22,0.09036,neutral air,queued work,avatar first-person local sample,True,True
116,7,repair_ring,Pax,arrival court,bell alcove,distant-ahead,doorway shape,muffled cool fan,stone chalk,15.62,0.23,0.07596,neutral air,resident boundary,avatar first-person local sample,True,True
117,7,riverbend,Ari,plank hall,arrival court,near-left,ridge lantern,cedar knock,warm oil,10.48,0.27,0.1692,neutral air,queued work,avatar first-person local sample,True,True
118,7,roofward,Sera,ledger loft,glass stair,distant-behind,doorway shape,muffled paper hush,warm dust,19.36,0.25,0.09036,warm edge,queued work,avatar first-person local sample,True,True
119,7,archive,Nia,arrival court,stone stacks,near-right,signal spool,stone echo,cold dust,13.54,0.68,0.16244,wet sole,resident boundary,avatar first-person local sample,True,True
120,7,signal,Ren,lantern walk,lantern walk,co-present,oil lantern,beacon pulse,lamp oil,9.82,0.28,0.16272,neutral air,queued work,avatar first-person local sample,True,True
121,7,orchard,Ivo,satchel shed,mud row,distant-behind,doorway shape,muffled roof drip,dry twine,16.1,0.26,0.0918,warm edge,queued work,avatar first-person local sample,True,True
122,7,repair_ring,Pax,wire bench,bell alcove,distant-ahead,doorway shape,muffled bell hum,clean cloth,16.08,0.27,0.08406,neutral air,queued work,avatar first-person local sample,True,True
123,7,riverbend,Ari,wet crossing,arrival court,distant-behind,doorway shape,muffled lantern tick,wet cedar,11.66,0.67,0.24596,wet sole,queued work,avatar first-person local sample,True,True
124,7,roofward,Sera,sun sill,glass stair,distant-behind,doorway shape,muffled sun glass hum,polished brass,20.54,0.29,0.0918,warm edge,queued work,avatar first-person local sample,True,True
125,7,archive,Nia,stone stacks,spool room,near-right,signal spool,page flutter,wax seal,14.72,0.25,0.08352,neutral air,queued work,avatar first-person local sample,True,True
126,8,orchard,Ivo,mud row,mud row,co-present,dry cord,roof drip,mud reed,14.38,0.65,0.17324,wet sole,queued work,avatar first-person local sample,True,True
127,8,repair_ring,Pax,cool corner,bell alcove,near-left,insulated tongs,cool fan,hot copper,17.86,0.27,0.08298,warm edge,queued work,avatar first-person local sample,True,True
128,8,riverbend,Ari,arrival court,arrival court,co-present,ridge lantern,lantern tick,warm oil,9.94,0.25,0.16272,neutral air,queued work,avatar first-person local sample,True,True
129,8,roofward,Sera,warm lane,glass stair,near-left,brass hinge,sun glass hum,warm dust,18.82,0.32,0.09324,neutral air,queued work,avatar first-person local sample,True,True
130,8,archive,Nia,memory desk,ink niche,near-left,signal spool,stone echo,ink linen,16.5,0.25,0.08244,warm edge,queued work,avatar first-person local sample,True,True
131,8,signal,Ren,mast base,lantern walk,near-right,oil lantern,static crickets,lamp oil,9.28,0.26,0.15948,neutral air,queued work,avatar first-person local sample,True,True
132,8,orchard,Ivo,market plank,mud row,near-left,dry cord,cart creak,dry twine,15.56,0.24,0.09468,neutral air,queued work,avatar first-person local sample,True,True
133,8,repair_ring,Pax,arrival court,bell alcove,distant-ahead,doorway shape,muffled wire snap,clean cloth,15.54,0.25,0.0819,neutral air,resident boundary,avatar first-person local sample,True,True
134,8,riverbend,Ari,plank hall,arrival court,near-left,ridge lantern,river slap,wet cedar,11.12,0.29,0.15948,neutral air,queued work,avatar first-person local sample,True,True
135,8,roofward,Sera,ledger loft,warm lane,near-left,brass hinge,hinge ticks,polished brass,19.28,0.22,0.09468,warm edge,queued work,avatar first-person local sample,True,True
136,8,archive,Nia,arrival court,ink niche,distant-ahead,doorway shape,muffled spool click,wax seal,13.46,0.65,0.16136,wet sole,resident boundary,avatar first-person local sample,True,True
137,8,signal,Ren,lantern walk,lantern walk,co-present,oil lantern,rope creak,salt wind,9.74,0.3,0.16092,neutral air,queued work,avatar first-person local sample,True,True
138,8,orchard,Ivo,satchel shed,mud row,distant-behind,doorway shape,muffled seed rattle,apple soil,16.02,0.28,0.09612,warm edge,queued work,avatar first-person local sample,True,True
139,8,repair_ring,Pax,wire bench,bell alcove,distant-ahead,doorway shape,muffled cool fan,hot copper,16.0,0.29,0.08298,neutral air,queued work,avatar first-person local sample,True,True
140,8,riverbend,Ari,wet crossing,plank hall,near-left,ridge lantern,cedar knock,mud thread,11.58,0.64,0.24092,wet sole,queued work,avatar first-person local sample,True,True
141,8,roofward,Sera,sun sill,warm lane,distant-behind,doorway shape,muffled paper hush,thyme paper,20.46,0.26,0.09612,warm edge,queued work,avatar first-person local sample,True,True
142,8,archive,Nia,stone stacks,ink niche,distant-ahead,doorway shape,muffled stone echo,ink linen,14.64,0.27,0.08946,neutral air,queued work,avatar first-person local sample,True,True
143,8,signal,Ren,lens room,lantern walk,near-left,oil lantern,beacon pulse,hot glass,10.92,0.25,0.1692,neutral air,queued work,avatar first-person local sample,True,True
144,9,repair_ring,Pax,cool corner,bell alcove,near-left,insulated tongs,wire snap,stone chalk,17.78,0.29,0.0819,warm edge,queued work,avatar first-person local sample,True,True
145,9,riverbend,Ari,arrival court,wet crossing,distant-ahead,doorway shape,muffled cedar knock,wet cedar,9.86,0.22,0.1692,neutral air,queued work,avatar first-person local sample,True,True
146,9,roofward,Sera,warm lane,warm lane,co-present,brass hinge,paper hush,polished brass,18.74,0.29,0.09756,neutral air,queued work,avatar first-person local sample,True,True
147,9,archive,Nia,memory desk,ink niche,near-left,signal spool,spool click,cold dust,16.42,0.27,0.08838,warm edge,queued work,avatar first-person local sample,True,True
148,9,signal,Ren,mast base,lantern walk,near-right,oil lantern,beacon pulse,salt wind,9.2,0.28,0.16596,neutral air,queued work,avatar first-person local sample,True,True
149,9,orchard,Ivo,market plank,mud row,near-left,dry cord,roof drip,apple soil,15.48,0.26,0.09756,neutral air,queued work,avatar first-person local sample,True,True
150,9,repair_ring,Pax,arrival court,cool corner,distant-ahead,doorway shape,muffled bell hum,hot copper,15.46,0.22,0.08082,neutral air,resident boundary,avatar first-person local sample,True,True
151,9,riverbend,Ari,plank hall,wet crossing,near-right,ridge lantern,lantern tick,mud thread,11.04,0.26,0.16596,neutral air,queued work,avatar first-person local sample,True,True
152,9,roofward,Sera,ledger loft,warm lane,near-left,brass hinge,sun glass hum,thyme paper,19.92,0.24,0.099,warm edge,queued work,avatar first-person local sample,True,True
153,9,archive,Nia,arrival court,ink niche,distant-ahead,doorway shape,muffled page flutter,ink linen,13.38,0.67,0.1673,wet sole,resident boundary,avatar first-person local sample,True,True
154,9,signal,Ren,lantern walk,lantern walk,co-present,oil lantern,static crickets,hot glass,9.66,0.32,0.16272,neutral air,queued work,avatar first-person local sample,True,True
155,9,orchard,Ivo,satchel shed,market plank,near-left,dry cord,cart creak,mud reed,15.94,0.25,0.099,warm edge,queued work,avatar first-person local sample,True,True
156,9,repair_ring,Pax,wire bench,cool corner,distant-ahead,doorway shape,muffled wire snap,stone chalk,15.92,0.26,0.0819,neutral air,queued work,avatar first-person local sample,True,True
157,9,riverbend,Ari,wet crossing,wet crossing,co-present,ridge lantern,river slap,warm oil,11.5,0.66,0.24272,wet sole,queued work,avatar first-person local sample,True,True
158,9,roofward,Sera,sun sill,warm lane,distant-behind,doorway shape,muffled hinge ticks,warm dust,20.38,0.28,0.10044,warm edge,queued work,avatar first-person local sample,True,True
159,9,archive,Nia,stone stacks,ink niche,distant-ahead,doorway shape,muffled spool click,cold dust,14.56,0.29,0.08838,neutral air,queued work,avatar first-person local sample,True,True
160,9,signal,Ren,lens room,lens room,co-present,oil lantern,rope creak,lamp oil,10.84,0.22,0.15948,neutral air,queued work,avatar first-person local sample,True,True
161,9,orchard,Ivo,arrival court,market plank,distant-ahead,doorway shape,muffled roof drip,apple soil,13.62,0.23,0.10044,neutral air,queued work,avatar first-person local sample,True,True
162,10,riverbend,Ari,arrival court,wet crossing,distant-ahead,doorway shape,muffled river slap,mud thread,9.78,0.24,0.15948,neutral air,queued work,avatar first-person local sample,True,True
163,10,roofward,Sera,warm lane,warm lane,co-present,brass hinge,hinge ticks,thyme paper,18.66,0.31,0.10188,neutral air,queued work,avatar first-person local sample,True,True
164,10,archive,Nia,memory desk,ink niche,near-left,signal spool,page flutter,wax seal,16.34,0.29,0.0873,warm edge,queued work,avatar first-person local sample,True,True
165,10,signal,Ren,mast base,signal perch,distant-ahead,doorway shape,muffled rope creak,hot glass,9.12,0.25,0.16092,neutral air,queued work,avatar first-person local sample,True,True
166,10,orchard,Ivo,market plank,market plank,co-present,dry cord,seed rattle,mud reed,15.4,0.23,0.10188,neutral air,queued work,avatar first-person local sample,True,True
167,10,repair_ring,Pax,arrival court,cool corner,distant-ahead,doorway shape,muffled cool fan,stone chalk,15.38,0.24,0.08082,neutral air,resident boundary,avatar first-person local sample,True,True
