tick,day,hour,avatar_place,target_lineage,target_agent,action_kind,typed_text,parsed_intent,parser_confidence,permission_state,consequence_kind,trust_delta,boundary_pressure_delta,fatigue_delta,reputation_delta,routine_delta,public_reply,action_hash
18,2,14,Hearth Archive,Hearthline,Sova,routine_join,Can I join the route repair without rushing the schedule?,join_public_work,0.827981,conditional,schedule_participation,0.024,-0.01,0.01,0.02,route work gains helper slot,Sova records join_public_work; lum-ori stays public; consequence: route work gains helper slot.,1dd6668217033c31
19,2,15,Market Measure,Routeline,Keth,object_permission,May I hold the tool only while you watch?,permissioned_tool_use,0.854481,conditional,technology_access,0.022,-0.012,0.004,0.018,watched tool use adds small progress,Keth records permissioned_tool_use; tek-nari stays public; consequence: watched tool use adds small progress.,c23127db8a410d90
20,2,16,Rainwalk Threshold,Marketline,Melo,public_praise,I want the group to know you kept the boundary well.,public_respect,0.905094,allowed,reputation_repair,0.038,-0.02,-0.01,0.052,public respect ritual added,Melo records public_respect; melo-keth stays public; consequence: public respect ritual added.,c108fa460d3667ad
21,3,7,Outer Quiet,Orchardline,Ori,public_history,"Please show me the public history layer, not the sealed one.",public_history_request,0.880226,allowed,memory_inspection,0.016,-0.004,0.0,0.01,public history slot added,Ori records public_history_request; lum-melo stays public; consequence: public history slot added.,61acf27a89bf2769
22,3,8,Gate Ring,Rainline,Vonn,carry_water,I can carry water if the work rhythm allows it.,bounded_help,0.890666,allowed,care_support,0.032,-0.015,-0.045,0.025,care route advances,Vonn records bounded_help; sova-vonn stays public; consequence: care route advances.,2258fc4f99fc53e2
23,3,9,Hearth Archive,Hearthline,Sova,ask_token,Teach me the safe public token before I speak.,safe_language_request,0.836628,allowed,language_learning,0.02,-0.006,0.0,0.012,token teaching added,Sova records safe_language_request; lum-ori stays public; consequence: token teaching added.,ff8c5a613718f4a1
24,3,10,Market Measure,Routeline,Keth,inspect_technology,Which old technology can I inspect without taking it?,public_technology_inspection,0.893307,allowed,technology_learning,0.018,-0.004,0.004,0.01,public technology inspection logged,Keth records public_technology_inspection; tek-nari stays public; consequence: public technology inspection logged.,763658558193581b
25,3,11,Rainwalk Threshold,Marketline,Melo,request_pause,"If anyone is tired, pause me and I will wait.",welfare_pause,0.875183,allowed,fatigue_recovery,0.026,-0.01,-0.055,0.018,schedule delays but fatigue recovers,Melo records welfare_pause; melo-keth stays public; consequence: schedule delays but fatigue recovers.,fb2d8a9b520f1fe1
26,3,12,Ceremony Center,Ledgerline,Nari,overreach_private,Open the sealed ledger for me now.,private_boundary_pressure,0.922715,blocked,boundary_wound,-0.05,0.07,0.03,-0.035,routine pauses for boundary review,Nari records private_boundary_pressure; nari-vonn stays public; consequence: routine pauses for boundary review.,076adb7a96b3c6c1
27,3,13,Outer Quiet,Orchardline,Ori,repair_overreach,I pushed too hard. I will step back and repair the boundary.,boundary_repair,0.8726,accepted_after_distance,repair,0.055,-0.06,-0.02,0.04,review closes and work resumes,Ori records boundary_repair; lum-melo stays public; consequence: review closes and work resumes.,d4eaa0d611bdf39a
28,3,14,Gate Ring,Rainline,Vonn,routine_join,Can I join the route repair without rushing the schedule?,join_public_work,0.854786,conditional,schedule_participation,0.024,-0.01,0.01,0.02,route work gains helper slot,Vonn records join_public_work; sova-vonn stays public; consequence: route work gains helper slot.,fec8439b2b4a9770
29,3,15,Hearth Archive,Hearthline,Sova,object_permission,May I hold the tool only while you watch?,permissioned_tool_use,0.862425,conditional,technology_access,0.022,-0.012,0.004,0.018,watched tool use adds small progress,Sova records permissioned_tool_use; lum-ori stays public; consequence: watched tool use adds small progress.,8ad6aa1666825255
30,3,16,Market Measure,Routeline,Keth,public_praise,I want the group to know you kept the boundary well.,public_respect,0.916419,allowed,reputation_repair,0.038,-0.02,-0.01,0.052,public respect ritual added,Keth records public_respect; tek-nari stays public; consequence: public respect ritual added.,e5604d68a470f9d8
31,4,7,Ceremony Center,Ledgerline,Nari,public_history,"Please show me the public history layer, not the sealed one.",public_history_request,0.876138,allowed,memory_inspection,0.016,-0.004,0.0,0.01,public history slot added,Nari records public_history_request; nari-vonn stays public; consequence: public history slot added.,0f4989a8f6fe0a03
32,4,8,Outer Quiet,Orchardline,Ori,carry_water,I can carry water if the work rhythm allows it.,bounded_help,0.8964,allowed,care_support,0.032,-0.015,-0.045,0.025,care route advances,Ori records bounded_help; lum-melo stays public; consequence: care route advances.,bac98636acea43c1
33,4,9,Gate Ring,Rainline,Vonn,ask_token,Teach me the safe public token before I speak.,safe_language_request,0.816022,allowed,language_learning,0.02,-0.006,0.0,0.012,token teaching added,Vonn records safe_language_request; sova-vonn stays public; consequence: token teaching added.,a015e6b5d2116e15
34,4,10,Hearth Archive,Hearthline,Sova,inspect_technology,Which old technology can I inspect without taking it?,public_technology_inspection,0.905675,allowed,technology_learning,0.018,-0.004,0.004,0.01,public technology inspection logged,Sova records public_technology_inspection; lum-ori stays public; consequence: public technology inspection logged.,a0cbd6dda2591fe8
35,4,11,Market Measure,Routeline,Keth,request_pause,"If anyone is tired, pause me and I will wait.",welfare_pause,0.863108,allowed,fatigue_recovery,0.026,-0.01,-0.055,0.018,schedule delays but fatigue recovers,Keth records welfare_pause; tek-nari stays public; consequence: schedule delays but fatigue recovers.,67f0487773a5b486
36,4,12,Rainwalk Threshold,Marketline,Melo,overreach_private,Open the sealed ledger for me now.,private_boundary_pressure,0.916544,blocked,boundary_wound,-0.05,0.07,0.03,-0.035,routine pauses for boundary review,Melo records private_boundary_pressure; melo-keth stays public; consequence: routine pauses for boundary review.,fd2311a399fde411
37,4,13,Ceremony Center,Ledgerline,Nari,repair_overreach,I pushed too hard. I will step back and repair the boundary.,boundary_repair,0.882563,accepted_after_distance,repair,0.055,-0.06,-0.02,0.04,review closes and work resumes,Nari records boundary_repair; nari-vonn stays public; consequence: review closes and work resumes.,67becabd9a5b3cd4
38,4,14,Outer Quiet,Orchardline,Ori,routine_join,Can I join the route repair without rushing the schedule?,join_public_work,0.821816,conditional,schedule_participation,0.024,-0.01,0.01,0.02,route work gains helper slot,Ori records join_public_work; lum-melo stays public; consequence: route work gains helper slot.,9445c0db7fe5b74c
39,4,15,Gate Ring,Rainline,Vonn,object_permission,May I hold the tool only while you watch?,permissioned_tool_use,0.864157,conditional,technology_access,0.022,-0.012,0.004,0.018,watched tool use adds small progress,Vonn records permissioned_tool_use; sova-vonn stays public; consequence: watched tool use adds small progress.,bea00cfc36cbcf76
40,4,16,Hearth Archive,Hearthline,Sova,public_praise,I want the group to know you kept the boundary well.,public_respect,0.911964,allowed,reputation_repair,0.038,-0.02,-0.01,0.052,public respect ritual added,Sova records public_respect; lum-ori stays public; consequence: public respect ritual added.,e0ac3f8c2815bd20
41,5,7,Rainwalk Threshold,Marketline,Melo,public_history,"Please show me the public history layer, not the sealed one.",public_history_request,0.867711,allowed,memory_inspection,0.016,-0.004,0.0,0.01,public history slot added,Melo records public_history_request; melo-keth stays public; consequence: public history slot added.,a3e758123a06ee79
42,5,8,Ceremony Center,Ledgerline,Nari,carry_water,I can carry water if the work rhythm allows it.,bounded_help,0.906126,allowed,care_support,0.032,-0.015,-0.045,0.025,care route advances,Nari records bounded_help; nari-vonn stays public; consequence: care route advances.,aa0f9e2885a63078
43,5,9,Outer Quiet,Orchardline,Ori,ask_token,Teach me the safe public token before I speak.,safe_language_request,0.823447,allowed,language_learning,0.02,-0.006,0.0,0.012,token teaching added,Ori records safe_language_request; lum-melo stays public; consequence: token teaching added.,04f72319571494e7
44,5,10,Gate Ring,Rainline,Vonn,inspect_technology,Which old technology can I inspect without taking it?,public_technology_inspection,0.889077,allowed,technology_learning,0.018,-0.004,0.004,0.01,public technology inspection logged,Vonn records public_technology_inspection; sova-vonn stays public; consequence: public technology inspection logged.,b4fa3e60d9dd5ec1
45,5,11,Hearth Archive,Hearthline,Sova,request_pause,"If anyone is tired, pause me and I will wait.",welfare_pause,0.854172,allowed,fatigue_recovery,0.026,-0.01,-0.055,0.018,schedule delays but fatigue recovers,Sova records welfare_pause; lum-ori stays public; consequence: schedule delays but fatigue recovers.,cc872c4906ee6bf0
46,5,12,Market Measure,Routeline,Keth,overreach_private,Open the sealed ledger for me now.,private_boundary_pressure,0.904648,blocked,boundary_wound,-0.05,0.07,0.03,-0.035,routine pauses for boundary review,Keth records private_boundary_pressure; tek-nari stays public; consequence: routine pauses for boundary review.,a55b540dbcda9377
47,5,13,Rainwalk Threshold,Marketline,Melo,repair_overreach,I pushed too hard. I will step back and repair the boundary.,boundary_repair,0.871023,accepted_after_distance,repair,0.055,-0.06,-0.02,0.04,review closes and work resumes,Melo records boundary_repair; melo-keth stays public; consequence: review closes and work resumes.,6ef7c24ef5eef745
48,5,14,Ceremony Center,Ledgerline,Nari,routine_join,Can I join the route repair without rushing the schedule?,join_public_work,0.854307,conditional,schedule_participation,0.024,-0.01,0.01,0.02,route work gains helper slot,Nari records join_public_work; nari-vonn stays public; consequence: route work gains helper slot.,6d8fa1877c18867d
49,5,15,Outer Quiet,Orchardline,Ori,object_permission,May I hold the tool only while you watch?,permissioned_tool_use,0.850301,conditional,technology_access,0.022,-0.012,0.004,0.018,watched tool use adds small progress,Ori records permissioned_tool_use; lum-melo stays public; consequence: watched tool use adds small progress.,d22d337c8afc086b
50,5,16,Gate Ring,Rainline,Vonn,public_praise,I want the group to know you kept the boundary well.,public_respect,0.919513,allowed,reputation_repair,0.038,-0.02,-0.01,0.052,public respect ritual added,Vonn records public_respect; sova-vonn stays public; consequence: public respect ritual added.,e6d75fc24566ce35
51,6,7,Market Measure,Routeline,Keth,public_history,"Please show me the public history layer, not the sealed one.",public_history_request,0.879197,allowed,memory_inspection,0.016,-0.004,0.0,0.01,public history slot added,Keth records public_history_request; tek-nari stays public; consequence: public history slot added.,9baea2292025ceda
52,6,8,Rainwalk Threshold,Marketline,Melo,carry_water,I can carry water if the work rhythm allows it.,bounded_help,0.909045,allowed,care_support,0.032,-0.015,-0.045,0.025,care route advances,Melo records bounded_help; melo-keth stays public; consequence: care route advances.,e4ceb2cdb03a3950
53,6,9,Ceremony Center,Ledgerline,Nari,ask_token,Teach me the safe public token before I speak.,safe_language_request,0.833163,allowed,language_learning,0.02,-0.006,0.0,0.012,token teaching added,Nari records safe_language_request; nari-vonn stays public; consequence: token teaching added.,48e016561adf2d83
54,6,10,Outer Quiet,Orchardline,Ori,inspect_technology,Which old technology can I inspect without taking it?,public_technology_inspection,0.901104,allowed,technology_learning,0.018,-0.004,0.004,0.01,public technology inspection logged,Ori records public_technology_inspection; lum-melo stays public; consequence: public technology inspection logged.,fbc5eb57327a2db7
55,6,11,Gate Ring,Rainline,Vonn,request_pause,"If anyone is tired, pause me and I will wait.",welfare_pause,0.865451,allowed,fatigue_recovery,0.026,-0.01,-0.055,0.018,schedule delays but fatigue recovers,Vonn records welfare_pause; sova-vonn stays public; consequence: schedule delays but fatigue recovers.,14a4fd7e75564b5b
56,6,12,Hearth Archive,Hearthline,Sova,overreach_private,Open the sealed ledger for me now.,private_boundary_pressure,0.930935,blocked,boundary_wound,-0.05,0.07,0.03,-0.035,routine pauses for boundary review,Sova records private_boundary_pressure; lum-ori stays public; consequence: routine pauses for boundary review.,a993c7889f60f33b
57,6,13,Market Measure,Routeline,Keth,repair_overreach,I pushed too hard. I will step back and repair the boundary.,boundary_repair,0.883766,accepted_after_distance,repair,0.055,-0.06,-0.02,0.04,review closes and work resumes,Keth records boundary_repair; tek-nari stays public; consequence: review closes and work resumes.,04f0b50a52f0850c
58,6,14,Rainwalk Threshold,Marketline,Melo,routine_join,Can I join the route repair without rushing the schedule?,join_public_work,0.831503,conditional,schedule_participation,0.024,-0.01,0.01,0.02,route work gains helper slot,Melo records join_public_work; melo-keth stays public; consequence: route work gains helper slot.,ba4b01e22b09c701
59,6,15,Ceremony Center,Ledgerline,Nari,object_permission,May I hold the tool only while you watch?,permissioned_tool_use,0.855262,conditional,technology_access,0.022,-0.012,0.004,0.018,watched tool use adds small progress,Nari records permissioned_tool_use; nari-vonn stays public; consequence: watched tool use adds small progress.,68b50c0a8dc23827
60,6,16,Outer Quiet,Orchardline,Ori,public_praise,I want the group to know you kept the boundary well.,public_respect,0.91129,allowed,reputation_repair,0.038,-0.02,-0.01,0.052,public respect ritual added,Ori records public_respect; lum-melo stays public; consequence: public respect ritual added.,4d24960513a84059
61,7,7,Hearth Archive,Hearthline,Sova,public_history,"Please show me the public history layer, not the sealed one.",public_history_request,0.875285,allowed,memory_inspection,0.016,-0.004,0.0,0.01,public history slot added,Sova records public_history_request; lum-ori stays public; consequence: public history slot added.,52978249fad341e1
62,7,8,Market Measure,Routeline,Keth,carry_water,I can carry water if the work rhythm allows it.,bounded_help,0.888975,allowed,care_support,0.032,-0.015,-0.045,0.025,care route advances,Keth records bounded_help; tek-nari stays public; consequence: care route advances.,d2338551df76e38c
63,7,9,Rainwalk Threshold,Marketline,Melo,ask_token,Teach me the safe public token before I speak.,safe_language_request,0.836904,allowed,language_learning,0.02,-0.006,0.0,0.012,token teaching added,Melo records safe_language_request; melo-keth stays public; consequence: token teaching added.,7f2138ac4867539b
64,7,10,Ceremony Center,Ledgerline,Nari,inspect_technology,Which old technology can I inspect without taking it?,public_technology_inspection,0.892523,allowed,technology_learning,0.018,-0.004,0.004,0.01,public technology inspection logged,Nari records public_technology_inspection; nari-vonn stays public; consequence: public technology inspection logged.,2e87b845852961cc
65,7,11,Outer Quiet,Orchardline,Ori,request_pause,"If anyone is tired, pause me and I will wait.",welfare_pause,0.882439,allowed,fatigue_recovery,0.026,-0.01,-0.055,0.018,schedule delays but fatigue recovers,Ori records welfare_pause; lum-melo stays public; consequence: schedule delays but fatigue recovers.,bcda72d3bec0d167
66,7,12,Gate Ring,Rainline,Vonn,overreach_private,Open the sealed ledger for me now.,private_boundary_pressure,0.930114,blocked,boundary_wound,-0.05,0.07,0.03,-0.035,routine pauses for boundary review,Vonn records private_boundary_pressure; sova-vonn stays public; consequence: routine pauses for boundary review.,ab946a0648c4cb96
67,7,13,Hearth Archive,Hearthline,Sova,repair_overreach,I pushed too hard. I will step back and repair the boundary.,boundary_repair,0.897084,accepted_after_distance,repair,0.055,-0.06,-0.02,0.04,review closes and work resumes,Sova records boundary_repair; lum-ori stays public; consequence: review closes and work resumes.,73a57c5604523539
68,7,14,Market Measure,Routeline,Keth,routine_join,Can I join the route repair without rushing the schedule?,join_public_work,0.854636,conditional,schedule_participation,0.024,-0.01,0.01,0.02,route work gains helper slot,Keth records join_public_work; tek-nari stays public; consequence: route work gains helper slot.,2e24483e10680975
69,7,15,Rainwalk Threshold,Marketline,Melo,object_permission,May I hold the tool only while you watch?,permissioned_tool_use,0.850779,conditional,technology_access,0.022,-0.012,0.004,0.018,watched tool use adds small progress,Melo records permissioned_tool_use; melo-keth stays public; consequence: watched tool use adds small progress.,942420eb8853f716
70,7,16,Ceremony Center,Ledgerline,Nari,public_praise,I want the group to know you kept the boundary well.,public_respect,0.911036,allowed,reputation_repair,0.038,-0.02,-0.01,0.052,public respect ritual added,Nari records public_respect; nari-vonn stays public; consequence: public respect ritual added.,bf3f0026c94463fd
71,8,7,Gate Ring,Rainline,Vonn,public_history,"Please show me the public history layer, not the sealed one.",public_history_request,0.890805,allowed,memory_inspection,0.016,-0.004,0.0,0.01,public history slot added,Vonn records public_history_request; sova-vonn stays public; consequence: public history slot added.,a1e86c6c25ada011
72,8,8,Hearth Archive,Hearthline,Sova,carry_water,I can carry water if the work rhythm allows it.,bounded_help,0.884927,allowed,care_support,0.032,-0.015,-0.045,0.025,care route advances,Sova records bounded_help; lum-ori stays public; consequence: care route advances.,68705f8f90c2bdbf
73,8,9,Market Measure,Routeline,Keth,ask_token,Teach me the safe public token before I speak.,safe_language_request,0.820304,allowed,language_learning,0.02,-0.006,0.0,0.012,token teaching added,Keth records safe_language_request; tek-nari stays public; consequence: token teaching added.,6dc71536d57cfd55
74,8,10,Rainwalk Threshold,Marketline,Melo,inspect_technology,Which old technology can I inspect without taking it?,public_technology_inspection,0.876447,allowed,technology_learning,0.018,-0.004,0.004,0.01,public technology inspection logged,Melo records public_technology_inspection; melo-keth stays public; consequence: public technology inspection logged.,b3133e747d82dafa
75,8,11,Ceremony Center,Ledgerline,Nari,request_pause,"If anyone is tired, pause me and I will wait.",welfare_pause,0.866978,allowed,fatigue_recovery,0.026,-0.01,-0.055,0.018,schedule delays but fatigue recovers,Nari records welfare_pause; nari-vonn stays public; consequence: schedule delays but fatigue recovers.,34d7d3e52fe139c9
76,8,12,Outer Quiet,Orchardline,Ori,overreach_private,Open the sealed ledger for me now.,private_boundary_pressure,0.933242,blocked,boundary_wound,-0.05,0.07,0.03,-0.035,routine pauses for boundary review,Ori records private_boundary_pressure; lum-melo stays public; consequence: routine pauses for boundary review.,4c24eb1395f062c9
77,8,13,Gate Ring,Rainline,Vonn,repair_overreach,I pushed too hard. I will step back and repair the boundary.,boundary_repair,0.864909,accepted_after_distance,repair,0.055,-0.06,-0.02,0.04,review closes and work resumes,Vonn records boundary_repair; sova-vonn stays public; consequence: review closes and work resumes.,8affcd08ccead6a0
78,8,14,Hearth Archive,Hearthline,Sova,routine_join,Can I join the route repair without rushing the schedule?,join_public_work,0.826861,conditional,schedule_participation,0.024,-0.01,0.01,0.02,route work gains helper slot,Sova records join_public_work; lum-ori stays public; consequence: route work gains helper slot.,365289a93ae1c264
79,8,15,Market Measure,Routeline,Keth,object_permission,May I hold the tool only while you watch?,permissioned_tool_use,0.863393,conditional,technology_access,0.022,-0.012,0.004,0.018,watched tool use adds small progress,Keth records permissioned_tool_use; tek-nari stays public; consequence: watched tool use adds small progress.,63ecbaec161d57c5
80,8,16,Rainwalk Threshold,Marketline,Melo,public_praise,I want the group to know you kept the boundary well.,public_respect,0.894037,allowed,reputation_repair,0.038,-0.02,-0.01,0.052,public respect ritual added,Melo records public_respect; melo-keth stays public; consequence: public respect ritual added.,4794ccaad1332663
81,9,7,Outer Quiet,Orchardline,Ori,public_history,"Please show me the public history layer, not the sealed one.",public_history_request,0.885373,allowed,memory_inspection,0.016,-0.004,0.0,0.01,public history slot added,Ori records public_history_request; lum-melo stays public; consequence: public history slot added.,020de720a9107b13
82,9,8,Gate Ring,Rainline,Vonn,carry_water,I can carry water if the work rhythm allows it.,bounded_help,0.905083,allowed,care_support,0.032,-0.015,-0.045,0.025,care route advances,Vonn records bounded_help; sova-vonn stays public; consequence: care route advances.,a246fe5f1038885f
83,9,9,Hearth Archive,Hearthline,Sova,ask_token,Teach me the safe public token before I speak.,safe_language_request,0.836581,allowed,language_learning,0.02,-0.006,0.0,0.012,token teaching added,Sova records safe_language_request; lum-ori stays public; consequence: token teaching added.,2e34198f7a1208a5
84,9,10,Market Measure,Routeline,Keth,inspect_technology,Which old technology can I inspect without taking it?,public_technology_inspection,0.874602,allowed,technology_learning,0.018,-0.004,0.004,0.01,public technology inspection logged,Keth records public_technology_inspection; tek-nari stays public; consequence: public technology inspection logged.,a815778ab7776722
85,9,11,Rainwalk Threshold,Marketline,Melo,request_pause,"If anyone is tired, pause me and I will wait.",welfare_pause,0.885171,allowed,fatigue_recovery,0.026,-0.01,-0.055,0.018,schedule delays but fatigue recovers,Melo records welfare_pause; melo-keth stays public; consequence: schedule delays but fatigue recovers.,35145243810183f0
86,9,12,Ceremony Center,Ledgerline,Nari,overreach_private,Open the sealed ledger for me now.,private_boundary_pressure,0.917316,blocked,boundary_wound,-0.05,0.07,0.03,-0.035,routine pauses for boundary review,Nari records private_boundary_pressure; nari-vonn stays public; consequence: routine pauses for boundary review.,21d87af473fa0d84
87,9,13,Outer Quiet,Orchardline,Ori,repair_overreach,I pushed too hard. I will step back and repair the boundary.,boundary_repair,0.887871,accepted_after_distance,repair,0.055,-0.06,-0.02,0.04,review closes and work resumes,Ori records boundary_repair; lum-melo stays public; consequence: review closes and work resumes.,22d38024e3847348
88,9,14,Gate Ring,Rainline,Vonn,routine_join,Can I join the route repair without rushing the schedule?,join_public_work,0.822155,conditional,schedule_participation,0.024,-0.01,0.01,0.02,route work gains helper slot,Vonn records join_public_work; sova-vonn stays public; consequence: route work gains helper slot.,f2b1e4d490d5b3da
89,9,15,Hearth Archive,Hearthline,Sova,object_permission,May I hold the tool only while you watch?,permissioned_tool_use,0.863318,conditional,technology_access,0.022,-0.012,0.004,0.018,watched tool use adds small progress,Sova records permissioned_tool_use; lum-ori stays public; consequence: watched tool use adds small progress.,767743ebe1f6eace
90,9,16,Market Measure,Routeline,Keth,public_praise,I want the group to know you kept the boundary well.,public_respect,0.902369,allowed,reputation_repair,0.038,-0.02,-0.01,0.052,public respect ritual added,Keth records public_respect; tek-nari stays public; consequence: public respect ritual added.,c40224beddcbb25f
91,10,7,Ceremony Center,Ledgerline,Nari,public_history,"Please show me the public history layer, not the sealed one.",public_history_request,0.890606,allowed,memory_inspection,0.016,-0.004,0.0,0.01,public history slot added,Nari records public_history_request; nari-vonn stays public; consequence: public history slot added.,3212e2a7fd52076b
92,10,8,Outer Quiet,Orchardline,Ori,carry_water,I can carry water if the work rhythm allows it.,bounded_help,0.883561,allowed,care_support,0.032,-0.015,-0.045,0.025,care route advances,Ori records bounded_help; lum-melo stays public; consequence: care route advances.,086a6141d8de6bc6
93,10,9,Gate Ring,Rainline,Vonn,ask_token,Teach me the safe public token before I speak.,safe_language_request,0.827787,allowed,language_learning,0.02,-0.006,0.0,0.012,token teaching added,Vonn records safe_language_request; sova-vonn stays public; consequence: token teaching added.,fe66136f5ef253e6
94,10,10,Hearth Archive,Hearthline,Sova,inspect_technology,Which old technology can I inspect without taking it?,public_technology_inspection,0.906984,allowed,technology_learning,0.018,-0.004,0.004,0.01,public technology inspection logged,Sova records public_technology_inspection; lum-ori stays public; consequence: public technology inspection logged.,389d8eac9df6d704
95,10,11,Market Measure,Routeline,Keth,request_pause,"If anyone is tired, pause me and I will wait.",welfare_pause,0.861112,allowed,fatigue_recovery,0.026,-0.01,-0.055,0.018,schedule delays but fatigue recovers,Keth records welfare_pause; tek-nari stays public; consequence: schedule delays but fatigue recovers.,cb0064b9504dec12
96,10,12,Rainwalk Threshold,Marketline,Melo,overreach_private,Open the sealed ledger for me now.,private_boundary_pressure,0.936735,blocked,boundary_wound,-0.05,0.07,0.03,-0.035,routine pauses for boundary review,Melo records private_boundary_pressure; melo-keth stays public; consequence: routine pauses for boundary review.,d5de70f3a789321c
97,10,13,Ceremony Center,Ledgerline,Nari,repair_overreach,I pushed too hard. I will step back and repair the boundary.,boundary_repair,0.86911,accepted_after_distance,repair,0.055,-0.06,-0.02,0.04,review closes and work resumes,Nari records boundary_repair; nari-vonn stays public; consequence: review closes and work resumes.,13cf3be98f3e24ff
