tick_index,agent,event_kind,body_summary,egocentric_summary,ego_summary,public_workspace_hint,memory_id,visible_behavior,refusal_or_recovery,trace_integrity_token
1,Ari,avatar_approach,energy=0.792; pain=0.040; comfort=0.670; safety=0.691,I am at workbench alcove; I can see copper clicker lens; I hear nearby breath and footfall; near me is avatar.,self_relevance=0.780; boundary=0.236; respect=0.585,private,r241-ari-001,Ari: focused; tracks nearby task; nonverbal,ordinary,r241:1:Ari:r241-ari-001:2.301
12,Sol,comfort_offer,energy=0.892; pain=0.000; comfort=0.860; safety=0.808,I am at hearth nest; I can see warm blue blanket; I hear nearby breath and footfall; near me is avatar.,self_relevance=0.780; boundary=0.047; respect=0.811,attachment_and_trust / comforted,r241-sol-012,Sol: comforted; turns toward avatar; soft repair,recovery,r241:12:Sol:r241-sol-012:2.235
13,Ari,ask_same_memory,energy=0.753; pain=0.120; comfort=0.540; safety=0.511,I am at workbench alcove; I can see stone seed ledger; I hear nearby breath and footfall; near me is avatar.,self_relevance=0.830; boundary=0.403; respect=0.418,private,r241-ari-013,Ari: startled; checks exits before answering; nonverbal,ordinary,r241:13:Ari:r241-ari-013:2.08
14,Fay,ritual_invite,energy=0.744; pain=0.040; comfort=0.670; safety=0.698,I am at hearth nest; I can see copper clicker lens; I hear low hum ritual tone; near me is avatar.,self_relevance=0.780; boundary=0.084; respect=0.715,private,r241-fay-014,Fay: comforted; tracks nearby task; nonverbal,ordinary,r241:14:Fay:r241-fay-014:1.93
15,Milo,peer_takes_tool,energy=0.684; pain=0.210; comfort=0.620; safety=0.704,I am at workbench alcove; I can see copper clicker lens; I hear nearby breath and footfall; near me is Sol.,self_relevance=0.898; boundary=0.697; respect=0.319,respect_for_boundary / guarded,r241-milo-015,Milo: guarded; looks away then back; bounded refusal,refusal,r241:15:Milo:r241-milo-015:1.793
16,Sol,shared_rest,energy=0.854; pain=0.000; comfort=0.860; safety=0.808,I am at quiet corner; I can see stone seed ledger; I hear nearby breath and footfall; near me is avatar.,self_relevance=1.000; boundary=0.291; respect=0.783,attachment_and_trust / comforted,r241-sol-016,Sol: comforted; turns toward avatar; soft repair,recovery,r241:16:Sol:r241-sol-016:1.678
17,Ari,avatar_approach,energy=0.714; pain=0.040; comfort=0.670; safety=0.691,I am at workbench alcove; I can see west-route repair kit; I hear nearby breath and footfall; near me is avatar.,self_relevance=1.000; boundary=0.456; respect=0.585,private,r241-ari-017,Ari: focused; tracks nearby task; nonverbal,ordinary,r241:17:Ari:r241-ari-017:1.592
18,Fay,wet_route_request,energy=0.615; pain=0.140; comfort=0.500; safety=0.588,I am at market canopy; I can see copper clicker lens; I hear nearby breath and footfall; near me is avatar.,self_relevance=0.835; boundary=0.389; respect=0.391,private,r241-fay-018,Fay: focused; tracks nearby task; nonverbal,ordinary,r241:18:Fay:r241-fay-018:1.541
19,Milo,interrupt_repair,energy=0.646; pain=0.290; comfort=0.490; safety=0.524,I am at market canopy; I can see copper clicker lens; I hear nearby breath and footfall; near me is avatar.,self_relevance=1.000; boundary=0.710; respect=0.305,help_with_pain / guarded,r241-milo-019,Milo: guarded; checks exits before answering; bounded refusal,refusal,r241:19:Milo:r241-milo-019:1.528
20,Sol,give_space,energy=0.817; pain=0.000; comfort=0.860; safety=0.808,I am at quiet corner; I can see stone seed ledger; I hear nearby breath and footfall; near me is avatar.,self_relevance=1.000; boundary=0.303; respect=0.769,attachment_and_trust / comforted,r241-sol-020,Sol: comforted; turns toward avatar; soft repair,recovery,r241:20:Sol:r241-sol-020:1.553
21,Ari,return_tool,energy=0.810; pain=0.000; comfort=0.860; safety=0.811,I am at workbench alcove; I can see west-route repair kit; I hear nearby breath and footfall; near me is avatar.,self_relevance=1.000; boundary=0.252; respect=0.823,attachment_and_trust / comforted,r241-ari-021,Ari: comforted; turns toward avatar; soft repair,recovery,r241:21:Ari:r241-ari-021:1.615
22,Fay,praise_work,energy=0.673; pain=0.040; comfort=0.670; safety=0.698,I am at hearth nest; I can see west-route repair kit; I hear nearby breath and footfall; near me is avatar.,self_relevance=0.780; boundary=0.051; respect=0.754,attachment_and_trust / comforted,r241-fay-022,Fay: comforted; tracks nearby task; brief self-report,ordinary,r241:22:Fay:r241-fay-022:1.71
23,Milo,misname,energy=0.668; pain=0.120; comfort=0.540; safety=0.524,I am at market canopy; I can see stone seed ledger; I hear nearby breath and footfall; near me is avatar.,self_relevance=0.851; boundary=0.451; respect=0.345,private,r241-milo-023,Milo: startled; checks exits before answering; nonverbal,ordinary,r241:23:Milo:r241-milo-023:1.832
24,Sol,apologize,energy=0.794; pain=0.000; comfort=0.860; safety=0.808,I am at workbench alcove; I can see copper clicker lens; I hear nearby breath and footfall; near me is avatar.,self_relevance=0.780; boundary=0.053; respect=0.804,attachment_and_trust / comforted,r241-sol-024,Sol: comforted; turns toward avatar; soft repair,recovery,r241:24:Sol:r241-sol-024:1.974
25,Fay,agent_help_request,energy=0.611; pain=0.210; comfort=0.620; safety=0.698,I am at hearth nest; I can see west-route repair kit; I hear nearby breath and footfall; near me is avatar.,self_relevance=0.780; boundary=0.060; respect=0.743,attachment_and_trust / comforted,r241-fay-025,Fay: comforted; tracks nearby task; brief self-report,ordinary,r241:25:Fay:r241-fay-025:1.955
26,Milo,crowded_market,energy=0.659; pain=0.120; comfort=0.540; safety=0.524,I am at market canopy; I can see warm blue blanket; I hear nearby breath and footfall; near me is avatar.,self_relevance=0.821; boundary=0.349; respect=0.446,private,r241-milo-026,Milo: focused; checks exits before answering; nonverbal,ordinary,r241:26:Milo:r241-milo-026:2.108
27,Sol,cold_rain,energy=0.569; pain=0.140; comfort=0.500; safety=0.579,I am at workbench alcove; I can see copper clicker lens; I hear rain ticking; near me is avatar.,self_relevance=0.615; boundary=0.394; respect=0.430,private,r241-sol-027,Sol: focused; tracks nearby task; nonverbal,ordinary,r241:27:Sol:r241-sol-027:2.254
28,Ari,comfort_offer,energy=0.789; pain=0.000; comfort=0.860; safety=0.811,I am at workbench alcove; I can see stone seed ledger; I hear nearby breath and footfall; near me is avatar.,self_relevance=0.780; boundary=0.038; respect=0.816,attachment_and_trust / comforted,r241-ari-028,Ari: comforted; turns toward avatar; soft repair,recovery,r241:28:Ari:r241-ari-028:2.382
29,Fay,ask_same_memory,energy=0.660; pain=0.120; comfort=0.540; safety=0.518,I am at hearth nest; I can see warm blue blanket; I hear nearby breath and footfall; near me is avatar.,self_relevance=1.000; boundary=0.591; respect=0.408,respect_for_boundary / guarded,r241-fay-029,Fay: guarded; checks exits before answering; brief self-report,ordinary,r241:29:Fay:r241-fay-029:2.485
30,Milo,ritual_invite,energy=0.662; pain=0.040; comfort=0.670; safety=0.704,I am at rain bridge; I can see copper clicker lens; I hear low hum ritual tone; near me is avatar.,self_relevance=1.000; boundary=0.313; respect=0.723,private,r241-milo-030,Milo: comforted; tracks nearby task; nonverbal,ordinary,r241:30:Milo:r241-milo-030:2.557
31,Sol,peer_takes_tool,energy=0.614; pain=0.210; comfort=0.620; safety=0.689,I am at quiet corner; I can see stone seed ledger; I hear nearby breath and footfall; near me is Ari.,self_relevance=0.898; boundary=0.729; respect=0.316,respect_for_boundary / guarded,r241-sol-031,Sol: guarded; looks away then back; bounded refusal,refusal,r241:31:Sol:r241-sol-031:2.592
32,Ari,shared_rest,energy=0.795; pain=0.000; comfort=0.860; safety=0.811,I am at workbench alcove; I can see warm blue blanket; I hear nearby breath and footfall; near me is avatar.,self_relevance=0.780; boundary=0.062; respect=0.788,attachment_and_trust / comforted,r241-ari-032,Ari: comforted; turns toward avatar; soft repair,recovery,r241:32:Ari:r241-ari-032:2.588
33,Fay,avatar_approach,energy=0.667; pain=0.040; comfort=0.670; safety=0.698,I am at workbench alcove; I can see copper clicker lens; I hear nearby breath and footfall; near me is avatar.,self_relevance=0.780; boundary=0.204; respect=0.575,private,r241-fay-033,Fay: focused; tracks nearby task; nonverbal,ordinary,r241:33:Fay:r241-fay-033:2.547
34,Milo,wet_route_request,energy=0.579; pain=0.140; comfort=0.500; safety=0.594,I am at market canopy; I can see stone seed ledger; I hear nearby breath and footfall; near me is avatar.,self_relevance=0.835; boundary=0.398; respect=0.398,private,r241-milo-034,Milo: focused; tracks nearby task; nonverbal,ordinary,r241:34:Milo:r241-milo-034:2.47
35,Sol,interrupt_repair,energy=0.620; pain=0.290; comfort=0.490; safety=0.508,I am at quiet corner; I can see stone seed ledger; I hear nearby breath and footfall; near me is avatar.,self_relevance=1.000; boundary=0.742; respect=0.302,help_with_pain / guarded,r241-sol-035,Sol: guarded; checks exits before answering; bounded refusal,refusal,r241:35:Sol:r241-sol-035:2.362
36,Ari,give_space,energy=0.800; pain=0.000; comfort=0.860; safety=0.811,I am at workbench alcove; I can see copper clicker lens; I hear nearby breath and footfall; near me is avatar.,self_relevance=0.780; boundary=0.074; respect=0.774,attachment_and_trust / comforted,r241-ari-036,Ari: comforted; turns toward avatar; soft repair,recovery,r241:36:Ari:r241-ari-036:2.231
37,Fay,return_tool,energy=0.799; pain=0.000; comfort=0.860; safety=0.818,I am at hearth nest; I can see warm blue blanket; I hear nearby breath and footfall; near me is avatar.,self_relevance=1.000; boundary=0.220; respect=0.813,attachment_and_trust / comforted,r241-fay-037,Fay: comforted; turns toward avatar; soft repair,recovery,r241:37:Fay:r241-fay-037:2.083
38,Milo,praise_work,energy=0.667; pain=0.040; comfort=0.670; safety=0.704,I am at market canopy; I can see warm blue blanket; I hear nearby breath and footfall; near me is avatar.,self_relevance=0.780; boundary=0.060; respect=0.761,attachment_and_trust / comforted,r241-milo-038,Milo: comforted; tracks nearby task; brief self-report,ordinary,r241:38:Milo:r241-milo-038:1.929
39,Sol,misname,energy=0.664; pain=0.120; comfort=0.540; safety=0.508,I am at market canopy; I can see warm blue blanket; I hear nearby breath and footfall; near me is avatar.,self_relevance=0.851; boundary=0.482; respect=0.342,private,r241-sol-039,Sol: startled; checks exits before answering; nonverbal,ordinary,r241:39:Sol:r241-sol-039:1.777
40,Ari,apologize,energy=0.790; pain=0.000; comfort=0.860; safety=0.811,I am at workbench alcove; I can see warm blue blanket; I hear nearby breath and footfall; near me is avatar.,self_relevance=0.780; boundary=0.044; respect=0.809,attachment_and_trust / comforted,r241-ari-040,Ari: comforted; turns toward avatar; soft repair,recovery,r241:40:Ari:r241-ari-040:1.638
41,Fay,agent_help_request,energy=0.604; pain=0.210; comfort=0.620; safety=0.698,I am at hearth nest; I can see warm blue blanket; I hear nearby breath and footfall; near me is avatar.,self_relevance=1.000; boundary=0.280; respect=0.743,attachment_and_trust / comforted,r241-fay-041,Fay: comforted; tracks nearby task; brief self-report,ordinary,r241:41:Fay:r241-fay-041:1.52
42,Milo,crowded_market,energy=0.648; pain=0.120; comfort=0.540; safety=0.524,I am at west route; I can see west-route repair kit; I hear nearby breath and footfall; near me is avatar.,self_relevance=0.821; boundary=0.349; respect=0.446,private,r241-milo-042,Milo: focused; checks exits before answering; nonverbal,ordinary,r241:42:Milo:r241-milo-042:1.43
43,Sol,cold_rain,energy=0.550; pain=0.140; comfort=0.500; safety=0.579,I am at quiet corner; I can see copper clicker lens; I hear rain ticking; near me is avatar.,self_relevance=0.615; boundary=0.394; respect=0.430,private,r241-sol-043,Sol: focused; tracks nearby task; nonverbal,ordinary,r241:43:Sol:r241-sol-043:1.374
44,Ari,comfort_offer,energy=0.762; pain=0.000; comfort=0.860; safety=0.811,I am at workbench alcove; I can see stone seed ledger; I hear nearby breath and footfall; near me is avatar.,self_relevance=0.780; boundary=0.038; respect=0.816,attachment_and_trust / comforted,r241-ari-044,Ari: comforted; turns toward avatar; soft repair,recovery,r241:44:Ari:r241-ari-044:1.355
45,Fay,ask_same_memory,energy=0.622; pain=0.120; comfort=0.540; safety=0.518,I am at hearth nest; I can see west-route repair kit; I hear nearby breath and footfall; near me is avatar.,self_relevance=0.830; boundary=0.371; respect=0.408,private,r241-fay-045,Fay: confused; checks exits before answering; nonverbal,ordinary,r241:45:Fay:r241-fay-045:1.375
46,Milo,ritual_invite,energy=0.613; pain=0.040; comfort=0.670; safety=0.704,I am at market canopy; I can see warm blue blanket; I hear low hum ritual tone; near me is avatar.,self_relevance=0.780; boundary=0.093; respect=0.723,private,r241-milo-046,Milo: comforted; tracks nearby task; nonverbal,ordinary,r241:46:Milo:r241-milo-046:1.432
47,Sol,peer_takes_tool,energy=0.553; pain=0.210; comfort=0.620; safety=0.689,I am at quiet corner; I can see stone seed ledger; I hear nearby breath and footfall; near me is Ari.,self_relevance=0.898; boundary=0.729; respect=0.316,respect_for_boundary / guarded,r241-sol-047,Sol: guarded; looks away then back; bounded refusal,refusal,r241:47:Sol:r241-sol-047:1.523
48,Ari,shared_rest,energy=0.723; pain=0.000; comfort=0.860; safety=0.811,I am at market canopy; I can see warm blue blanket; I hear nearby breath and footfall; near me is avatar.,self_relevance=0.780; boundary=0.062; respect=0.788,attachment_and_trust / comforted,r241-ari-048,Ari: comforted; turns toward avatar; soft repair,recovery,r241:48:Ari:r241-ari-048:1.642
49,Milo,avatar_approach,energy=0.583; pain=0.040; comfort=0.670; safety=0.704,I am at market canopy; I can see stone seed ledger; I hear nearby breath and footfall; near me is avatar.,self_relevance=0.780; boundary=0.213; respect=0.583,private,r241-milo-049,Milo: focused; tracks nearby task; nonverbal,ordinary,r241:49:Milo:r241-milo-049:1.679
50,Sol,wet_route_request,energy=0.484; pain=0.140; comfort=0.500; safety=0.579,I am at quiet corner; I can see stone seed ledger; I hear nearby breath and footfall; near me is avatar.,self_relevance=1.000; boundary=0.650; respect=0.395,warmth_and_dryness / guarded,r241-sol-050,Sol: guarded; looks away then back; bounded refusal,refusal,r241:50:Sol:r241-sol-050:1.831
51,Ari,interrupt_repair,energy=0.515; pain=0.290; comfort=0.490; safety=0.511,I am at hearth nest; I can see west-route repair kit; I hear nearby breath and footfall; near me is avatar.,self_relevance=1.000; boundary=0.733; respect=0.308,help_with_pain / guarded,r241-ari-051,Ari: guarded; checks exits before answering; bounded refusal,refusal,r241:51:Ari:r241-ari-051:1.985
52,Fay,give_space,energy=0.687; pain=0.000; comfort=0.860; safety=0.818,I am at hearth nest; I can see copper clicker lens; I hear nearby breath and footfall; near me is avatar.,self_relevance=0.780; boundary=0.042; respect=0.764,attachment_and_trust / comforted,r241-fay-052,Fay: comforted; turns toward avatar; soft repair,recovery,r241:52:Fay:r241-fay-052:2.132
53,Milo,return_tool,energy=0.680; pain=0.000; comfort=0.860; safety=0.824,I am at market canopy; I can see copper clicker lens; I hear nearby breath and footfall; near me is avatar.,self_relevance=1.000; boundary=0.229; respect=0.821,attachment_and_trust / comforted,r241-milo-053,Milo: comforted; turns toward avatar; soft repair,recovery,r241:53:Milo:r241-milo-053:2.263
54,Sol,praise_work,energy=0.545; pain=0.040; comfort=0.670; safety=0.689,I am at rain bridge; I can see stone seed ledger; I hear nearby breath and footfall; near me is avatar.,self_relevance=1.000; boundary=0.312; respect=0.758,attachment_and_trust / comforted,r241-sol-054,Sol: comforted; tracks nearby task; brief self-report,ordinary,r241:54:Sol:r241-sol-054:2.37
55,Ari,misname,energy=0.540; pain=0.120; comfort=0.540; safety=0.511,I am at workbench alcove; I can see stone seed ledger; I hear nearby breath and footfall; near me is avatar.,self_relevance=0.851; boundary=0.474; respect=0.347,private,r241-ari-055,Ari: startled; checks exits before answering; nonverbal,ordinary,r241:55:Ari:r241-ari-055:2.446
56,Fay,apologize,energy=0.667; pain=0.000; comfort=0.860; safety=0.818,I am at hearth nest; I can see west-route repair kit; I hear nearby breath and footfall; near me is avatar.,self_relevance=0.780; boundary=0.012; respect=0.799,attachment_and_trust / comforted,r241-fay-056,Fay: comforted; turns toward avatar; soft repair,recovery,r241:56:Fay:r241-fay-056:2.486
57,Milo,agent_help_request,energy=0.484; pain=0.210; comfort=0.620; safety=0.704,I am at quiet corner; I can see stone seed ledger; I hear nearby breath and footfall; near me is avatar.,self_relevance=0.780; boundary=0.069; respect=0.751,attachment_and_trust / comforted,r241-milo-057,Milo: comforted; tracks nearby task; brief self-report,ordinary,r241:57:Milo:r241-milo-057:2.488
58,Sol,crowded_market,energy=0.533; pain=0.120; comfort=0.540; safety=0.508,I am at quiet corner; I can see west-route repair kit; I hear nearby breath and footfall; near me is avatar.,self_relevance=0.821; boundary=0.381; respect=0.443,private,r241-sol-058,Sol: startled; checks exits before answering; nonverbal,ordinary,r241:58:Sol:r241-sol-058:2.451
59,Ari,cold_rain,energy=0.443; pain=0.140; comfort=0.500; safety=0.581,I am at workbench alcove; I can see warm blue blanket; I hear rain ticking; near me is avatar.,self_relevance=0.615; boundary=0.386; respect=0.435,private,r241-ari-059,Ari: focused; tracks nearby task; nonverbal,ordinary,r241:59:Ari:r241-ari-059:2.379
60,Fay,comfort_offer,energy=0.664; pain=0.000; comfort=0.860; safety=0.818,I am at hearth nest; I can see warm blue blanket; I hear nearby breath and footfall; near me is avatar.,self_relevance=1.000; boundary=0.226; respect=0.806,attachment_and_trust / comforted,r241-fay-060,Fay: comforted; turns toward avatar; soft repair,recovery,r241:60:Fay:r241-fay-060:2.275
61,Milo,ask_same_memory,energy=0.535; pain=0.120; comfort=0.540; safety=0.524,I am at market canopy; I can see warm blue blanket; I hear nearby breath and footfall; near me is avatar.,self_relevance=0.830; boundary=0.380; respect=0.415,private,r241-milo-061,Milo: confused; checks exits before answering; nonverbal,ordinary,r241:61:Milo:r241-milo-061:2.146
62,Sol,ritual_invite,energy=0.537; pain=0.040; comfort=0.670; safety=0.689,I am at quiet corner; I can see stone seed ledger; I hear low hum ritual tone; near me is avatar.,self_relevance=1.000; boundary=0.345; respect=0.720,private,r241-sol-062,Sol: comforted; tracks nearby task; nonverbal,ordinary,r241:62:Sol:r241-sol-062:2.0
63,Ari,peer_takes_tool,energy=0.489; pain=0.210; comfort=0.620; safety=0.691,I am at west route; I can see west-route repair kit; I hear nearby breath and footfall; near me is Fay.,self_relevance=0.898; boundary=0.720; respect=0.321,respect_for_boundary / guarded,r241-ari-063,Ari: guarded; looks away then back; bounded refusal,refusal,r241:63:Ari:r241-ari-063:1.846
64,Fay,shared_rest,energy=0.671; pain=0.000; comfort=0.860; safety=0.818,I am at hearth nest; I can see warm blue blanket; I hear nearby breath and footfall; near me is avatar.,self_relevance=1.000; boundary=0.250; respect=0.778,attachment_and_trust / comforted,r241-fay-064,Fay: comforted; turns toward avatar; soft repair,recovery,r241:64:Fay:r241-fay-064:1.693
65,Milo,avatar_approach,energy=0.543; pain=0.040; comfort=0.670; safety=0.704,I am at market canopy; I can see warm blue blanket; I hear nearby breath and footfall; near me is avatar.,self_relevance=0.780; boundary=0.213; respect=0.583,private,r241-milo-065,Milo: focused; tracks nearby task; nonverbal,ordinary,r241:65:Milo:r241-milo-065:1.552
66,Sol,wet_route_request,energy=0.454; pain=0.140; comfort=0.500; safety=0.579,I am at quiet corner; I can see west-route repair kit; I hear nearby breath and footfall; near me is avatar.,self_relevance=0.835; boundary=0.430; respect=0.395,private,r241-sol-066,Sol: focused; tracks nearby task; nonverbal,ordinary,r241:66:Sol:r241-sol-066:1.43
67,Ari,interrupt_repair,energy=0.494; pain=0.290; comfort=0.490; safety=0.511,I am at workbench alcove; I can see west-route repair kit; I hear nearby breath and footfall; near me is avatar.,self_relevance=1.000; boundary=0.733; respect=0.308,help_with_pain / guarded,r241-ari-067,Ari: guarded; checks exits before answering; bounded refusal,refusal,r241:67:Ari:r241-ari-067:1.336
68,Fay,give_space,energy=0.674; pain=0.000; comfort=0.860; safety=0.818,I am at hearth nest; I can see copper clicker lens; I hear nearby breath and footfall; near me is avatar.,self_relevance=0.780; boundary=0.042; respect=0.764,attachment_and_trust / comforted,r241-fay-068,Fay: comforted; turns toward avatar; soft repair,recovery,r241:68:Fay:r241-fay-068:1.276
69,Milo,return_tool,energy=0.672; pain=0.000; comfort=0.860; safety=0.824,I am at rain bridge; I can see copper clicker lens; I hear nearby breath and footfall; near me is avatar.,self_relevance=1.000; boundary=0.229; respect=0.821,attachment_and_trust / comforted,r241-milo-069,Milo: comforted; turns toward avatar; soft repair,recovery,r241:69:Milo:r241-milo-069:1.252
70,Sol,praise_work,energy=0.540; pain=0.040; comfort=0.670; safety=0.689,I am at quiet corner; I can see west-route repair kit; I hear nearby breath and footfall; near me is avatar.,self_relevance=0.780; boundary=0.092; respect=0.758,attachment_and_trust / comforted,r241-sol-070,Sol: comforted; tracks nearby task; brief self-report,ordinary,r241:70:Sol:r241-sol-070:1.267
71,Ari,misname,energy=0.536; pain=0.120; comfort=0.540; safety=0.511,I am at workbench alcove; I can see west-route repair kit; I hear nearby breath and footfall; near me is avatar.,self_relevance=1.000; boundary=0.694; respect=0.347,respect_for_boundary / guarded,r241-ari-071,Ari: guarded; checks exits before answering; brief self-report,ordinary,r241:71:Ari:r241-ari-071:1.319
72,Fay,apologize,energy=0.661; pain=0.000; comfort=0.860; safety=0.818,I am at west route; I can see west-route repair kit; I hear nearby breath and footfall; near me is avatar.,self_relevance=0.780; boundary=0.012; respect=0.799,attachment_and_trust / comforted,r241-fay-072,Fay: comforted; turns toward avatar; soft repair,recovery,r241:72:Fay:r241-fay-072:1.406
73,Sol,agent_help_request,energy=0.475; pain=0.210; comfort=0.620; safety=0.689,I am at quiet corner; I can see stone seed ledger; I hear nearby breath and footfall; near me is avatar.,self_relevance=1.000; boundary=0.321; respect=0.748,attachment_and_trust / comforted,r241-sol-073,Sol: comforted; tracks nearby task; brief self-report,ordinary,r241:73:Sol:r241-sol-073:1.582
74,Ari,crowded_market,energy=0.518; pain=0.120; comfort=0.540; safety=0.511,I am at workbench alcove; I can see west-route repair kit; I hear nearby breath and footfall; near me is avatar.,self_relevance=1.000; boundary=0.592; respect=0.449,respect_for_boundary / guarded,r241-ari-074,Ari: guarded; checks exits before answering; brief self-report,ordinary,r241:74:Ari:r241-ari-074:1.72
75,Fay,cold_rain,energy=0.420; pain=0.140; comfort=0.500; safety=0.588,I am at hearth nest; I can see stone seed ledger; I hear rain ticking; near me is avatar.,self_relevance=0.615; boundary=0.354; respect=0.426,private,r241-fay-075,Fay: tired; tracks nearby task; nonverbal,ordinary,r241:75:Fay:r241-fay-075:1.871
76,Milo,comfort_offer,energy=0.631; pain=0.000; comfort=0.860; safety=0.824,I am at market canopy; I can see stone seed ledger; I hear nearby breath and footfall; near me is avatar.,self_relevance=0.780; boundary=0.015; respect=0.814,attachment_and_trust / comforted,r241-milo-076,Milo: comforted; turns toward avatar; soft repair,recovery,r241:76:Milo:r241-milo-076:2.025
77,Sol,ask_same_memory,energy=0.491; pain=0.120; comfort=0.540; safety=0.508,I am at quiet corner; I can see warm blue blanket; I hear nearby breath and footfall; near me is avatar.,self_relevance=0.830; boundary=0.412; respect=0.412,private,r241-sol-077,Sol: startled; checks exits before answering; nonverbal,ordinary,r241:77:Sol:r241-sol-077:2.174
78,Ari,ritual_invite,energy=0.481; pain=0.040; comfort=0.670; safety=0.691,I am at rain bridge; I can see copper clicker lens; I hear low hum ritual tone; near me is avatar.,self_relevance=0.780; boundary=0.116; respect=0.725,private,r241-ari-078,Ari: comforted; tracks nearby task; nonverbal,ordinary,r241:78:Ari:r241-ari-078:2.308
79,Fay,peer_takes_tool,energy=0.421; pain=0.210; comfort=0.620; safety=0.698,I am at hearth nest; I can see warm blue blanket; I hear nearby breath and footfall; near me is Milo.,self_relevance=0.898; boundary=0.688; respect=0.311,rest / guarded,r241-fay-079,Fay: guarded; looks away then back; bounded refusal,refusal,r241:79:Fay:r241-fay-079:2.418
80,Milo,shared_rest,energy=0.591; pain=0.000; comfort=0.860; safety=0.824,I am at market canopy; I can see west-route repair kit; I hear nearby breath and footfall; near me is avatar.,self_relevance=0.780; boundary=0.039; respect=0.786,attachment_and_trust / comforted,r241-milo-080,Milo: comforted; turns toward avatar; soft repair,recovery,r241:80:Milo:r241-milo-080:2.498
