ritual_id,year,household_id,ritual_name,trigger_condition,body_pattern,sound_pattern,scent_or_material,social_function,continuity_score
ritual_8_westkeepers,8,westkeepers,tool-return bow,"meal, repair, trade, dispute, or storm threshold",Ari lineage repeats tool-return bow with one new gesture,ka tone at phase triad,"chalk dust, warm metal, echoing steps",stabilize safe route repair and teach boundary oath,0.856
ritual_8_mossgarden,8,mossgarden,cup-circle meal,"meal, repair, trade, dispute, or storm threshold",Fay lineage repeats cup-circle meal with one new gesture,mu tone at phase triad,"wet moss, seed oil, low humming",stabilize food and rest and teach boundary oath,0.856
ritual_8_ledgerkin,8,ledgerkin,counting-step chant,"meal, repair, trade, dispute, or storm threshold",Milo lineage repeats counting-step chant with one new gesture,lo tone at phase triad,"coin-clicks, wool thread, dry wood",stabilize fair exchange and teach boundary oath,0.856
ritual_8_redstair,8,redstair,three-mark witness pause,"meal, repair, trade, dispute, or storm threshold",Sera lineage repeats three-mark witness pause with one new gesture,sa tone at phase triad,"cool clay, shell resonance, still air",stabilize witness and boundary and teach boundary oath,0.856
ritual_8_wheelwright,8,wheelwright,vane-touch safety check,"meal, repair, trade, dispute, or storm threshold",Niko lineage repeats vane-touch safety check with one new gesture,ni tone at phase triad,"river spray, copper tang, wheel pulse",stabilize water and motion and teach boundary oath,0.856
ritual_55_westkeepers,55,westkeepers,tool-return bow,"meal, repair, trade, dispute, or storm threshold",Ari lineage repeats tool-return bow with one new gesture,ka tone at phase square,"chalk dust, warm metal, echoing steps",stabilize safe route repair and teach boundary oath,0.874
ritual_55_mossgarden,55,mossgarden,cup-circle meal,"meal, repair, trade, dispute, or storm threshold",Fay lineage repeats cup-circle meal with one new gesture,mu tone at phase square,"wet moss, seed oil, low humming",stabilize food and rest and teach boundary oath,0.874
ritual_55_ledgerkin,55,ledgerkin,counting-step chant,"meal, repair, trade, dispute, or storm threshold",Milo lineage repeats counting-step chant with one new gesture,lo tone at phase square,"coin-clicks, wool thread, dry wood",stabilize fair exchange and teach boundary oath,0.874
ritual_55_redstair,55,redstair,three-mark witness pause,"meal, repair, trade, dispute, or storm threshold",Sera lineage repeats three-mark witness pause with one new gesture,sa tone at phase square,"cool clay, shell resonance, still air",stabilize witness and boundary and teach boundary oath,0.874
ritual_55_wheelwright,55,wheelwright,vane-touch safety check,"meal, repair, trade, dispute, or storm threshold",Niko lineage repeats vane-touch safety check with one new gesture,ni tone at phase square,"river spray, copper tang, wheel pulse",stabilize water and motion and teach boundary oath,0.874
ritual_377_westkeepers,377,westkeepers,tool-return bow,"meal, repair, trade, dispute, or storm threshold",Ari lineage repeats tool-return bow with one new gesture,ka tone at phase pentad,"chalk dust, warm metal, echoing steps",stabilize safe route repair and teach boundary oath,0.892
ritual_377_mossgarden,377,mossgarden,cup-circle meal,"meal, repair, trade, dispute, or storm threshold",Fay lineage repeats cup-circle meal with one new gesture,mu tone at phase pentad,"wet moss, seed oil, low humming",stabilize food and rest and teach boundary oath,0.892
ritual_377_ledgerkin,377,ledgerkin,counting-step chant,"meal, repair, trade, dispute, or storm threshold",Milo lineage repeats counting-step chant with one new gesture,lo tone at phase pentad,"coin-clicks, wool thread, dry wood",stabilize fair exchange and teach boundary oath,0.892
ritual_377_redstair,377,redstair,three-mark witness pause,"meal, repair, trade, dispute, or storm threshold",Sera lineage repeats three-mark witness pause with one new gesture,sa tone at phase pentad,"cool clay, shell resonance, still air",stabilize witness and boundary and teach boundary oath,0.892
ritual_377_wheelwright,377,wheelwright,vane-touch safety check,"meal, repair, trade, dispute, or storm threshold",Niko lineage repeats vane-touch safety check with one new gesture,ni tone at phase pentad,"river spray, copper tang, wheel pulse",stabilize water and motion and teach boundary oath,0.892
ritual_987_westkeepers,987,westkeepers,tool-return bow,"meal, repair, trade, dispute, or storm threshold",Ari lineage repeats tool-return bow with one new gesture,ka tone at phase hexad,"chalk dust, warm metal, echoing steps",stabilize safe route repair and teach boundary oath,0.91
ritual_987_mossgarden,987,mossgarden,cup-circle meal,"meal, repair, trade, dispute, or storm threshold",Fay lineage repeats cup-circle meal with one new gesture,mu tone at phase hexad,"wet moss, seed oil, low humming",stabilize food and rest and teach boundary oath,0.91
ritual_987_ledgerkin,987,ledgerkin,counting-step chant,"meal, repair, trade, dispute, or storm threshold",Milo lineage repeats counting-step chant with one new gesture,lo tone at phase hexad,"coin-clicks, wool thread, dry wood",stabilize fair exchange and teach boundary oath,0.91
ritual_987_redstair,987,redstair,three-mark witness pause,"meal, repair, trade, dispute, or storm threshold",Sera lineage repeats three-mark witness pause with one new gesture,sa tone at phase hexad,"cool clay, shell resonance, still air",stabilize witness and boundary and teach boundary oath,0.91
ritual_987_wheelwright,987,wheelwright,vane-touch safety check,"meal, repair, trade, dispute, or storm threshold",Niko lineage repeats vane-touch safety check with one new gesture,ni tone at phase hexad,"river spray, copper tang, wheel pulse",stabilize water and motion and teach boundary oath,0.91
ritual_1597_westkeepers,1597,westkeepers,tool-return bow,"meal, repair, trade, dispute, or storm threshold",Ari lineage repeats tool-return bow with one new gesture,ka tone at phase flower,"chalk dust, warm metal, echoing steps",stabilize safe route repair and teach boundary oath,0.928
ritual_1597_mossgarden,1597,mossgarden,cup-circle meal,"meal, repair, trade, dispute, or storm threshold",Fay lineage repeats cup-circle meal with one new gesture,mu tone at phase flower,"wet moss, seed oil, low humming",stabilize food and rest and teach boundary oath,0.928
ritual_1597_ledgerkin,1597,ledgerkin,counting-step chant,"meal, repair, trade, dispute, or storm threshold",Milo lineage repeats counting-step chant with one new gesture,lo tone at phase flower,"coin-clicks, wool thread, dry wood",stabilize fair exchange and teach boundary oath,0.928
ritual_1597_redstair,1597,redstair,three-mark witness pause,"meal, repair, trade, dispute, or storm threshold",Sera lineage repeats three-mark witness pause with one new gesture,sa tone at phase flower,"cool clay, shell resonance, still air",stabilize witness and boundary and teach boundary oath,0.928
ritual_1597_wheelwright,1597,wheelwright,vane-touch safety check,"meal, repair, trade, dispute, or storm threshold",Niko lineage repeats vane-touch safety check with one new gesture,ni tone at phase flower,"river spray, copper tang, wheel pulse",stabilize water and motion and teach boundary oath,0.928
ritual_2584_westkeepers,2584,westkeepers,tool-return bow,"meal, repair, trade, dispute, or storm threshold",Ari lineage repeats tool-return bow with one new gesture,ka tone at phase fruit,"chalk dust, warm metal, echoing steps",stabilize safe route repair and teach boundary oath,0.946
ritual_2584_mossgarden,2584,mossgarden,cup-circle meal,"meal, repair, trade, dispute, or storm threshold",Fay lineage repeats cup-circle meal with one new gesture,mu tone at phase fruit,"wet moss, seed oil, low humming",stabilize food and rest and teach boundary oath,0.946
ritual_2584_ledgerkin,2584,ledgerkin,counting-step chant,"meal, repair, trade, dispute, or storm threshold",Milo lineage repeats counting-step chant with one new gesture,lo tone at phase fruit,"coin-clicks, wool thread, dry wood",stabilize fair exchange and teach boundary oath,0.946
ritual_2584_redstair,2584,redstair,three-mark witness pause,"meal, repair, trade, dispute, or storm threshold",Sera lineage repeats three-mark witness pause with one new gesture,sa tone at phase fruit,"cool clay, shell resonance, still air",stabilize witness and boundary and teach boundary oath,0.946
ritual_2584_wheelwright,2584,wheelwright,vane-touch safety check,"meal, repair, trade, dispute, or storm threshold",Niko lineage repeats vane-touch safety check with one new gesture,ni tone at phase fruit,"river spray, copper tang, wheel pulse",stabilize water and motion and teach boundary oath,0.946
ritual_4181_westkeepers,4181,westkeepers,tool-return bow,"meal, repair, trade, dispute, or storm threshold",Ari lineage repeats tool-return bow with one new gesture,ka tone at phase return,"chalk dust, warm metal, echoing steps",stabilize safe route repair and teach boundary oath,0.964
ritual_4181_mossgarden,4181,mossgarden,cup-circle meal,"meal, repair, trade, dispute, or storm threshold",Fay lineage repeats cup-circle meal with one new gesture,mu tone at phase return,"wet moss, seed oil, low humming",stabilize food and rest and teach boundary oath,0.964
ritual_4181_ledgerkin,4181,ledgerkin,counting-step chant,"meal, repair, trade, dispute, or storm threshold",Milo lineage repeats counting-step chant with one new gesture,lo tone at phase return,"coin-clicks, wool thread, dry wood",stabilize fair exchange and teach boundary oath,0.964
ritual_4181_redstair,4181,redstair,three-mark witness pause,"meal, repair, trade, dispute, or storm threshold",Sera lineage repeats three-mark witness pause with one new gesture,sa tone at phase return,"cool clay, shell resonance, still air",stabilize witness and boundary and teach boundary oath,0.964
ritual_4181_wheelwright,4181,wheelwright,vane-touch safety check,"meal, repair, trade, dispute, or storm threshold",Niko lineage repeats vane-touch safety check with one new gesture,ni tone at phase return,"river spray, copper tang, wheel pulse",stabilize water and motion and teach boundary oath,0.964
