tick_index,agent,posture,movement_speed,gaze,proximity_change,idle_ritual,startle_response,comfort_behavior,dialogue_style,optional_dialogue,bounded_refusal,recovery_action,readable_marker
16,Sol,softened stance,0.674997,turns toward avatar,allows closer distance,counts flower rhythm,none,steady breathing,soft repair,I noticed that. I can try again if we go slowly.,False,trust repair accepted in bounded amount,Sol: comforted; turns toward avatar; soft repair
17,Ari,active balanced stance,0.590086,tracks nearby task,continues route,small balance shift,none,steady breathing,nonverbal,,False,,Ari: focused; tracks nearby task; nonverbal
18,Fay,active balanced stance,0.549746,tracks nearby task,continues route,small balance shift,none,steady breathing,nonverbal,,False,,Fay: focused; tracks nearby task; nonverbal
19,Milo,protective curl,0.546993,checks exits before answering,steps back one tile,small balance shift,flinch,self-soothing hand rub,bounded refusal,I do not want to do that right now. I can help after rest or a safer route.,True,,Milo: guarded; checks exits before answering; bounded refusal
20,Sol,softened stance,0.667368,turns toward avatar,allows closer distance,small balance shift,none,steady breathing,soft repair,I noticed that. I can try again if we go slowly.,False,trust repair accepted in bounded amount,Sol: comforted; turns toward avatar; soft repair
21,Ari,softened stance,0.683946,turns toward avatar,allows closer distance,small balance shift,none,steady breathing,soft repair,I noticed that. I can try again if we go slowly.,False,trust repair accepted in bounded amount,Ari: comforted; turns toward avatar; soft repair
22,Fay,active balanced stance,0.669165,tracks nearby task,holds position,small balance shift,none,steady breathing,brief self-report,That helped. I remember it.,False,,Fay: comforted; tracks nearby task; brief self-report
23,Milo,guarded half-turn,0.580011,checks exits before answering,continues route,small balance shift,flinch,self-soothing hand rub,nonverbal,,False,,Milo: startled; checks exits before answering; nonverbal
24,Sol,softened stance,0.697018,turns toward avatar,allows closer distance,counts flower rhythm,none,steady breathing,soft repair,I noticed that. I can try again if we go slowly.,False,trust repair accepted in bounded amount,Sol: comforted; turns toward avatar; soft repair
25,Fay,active balanced stance,0.652835,tracks nearby task,holds position,small balance shift,none,steady breathing,brief self-report,That helped. I remember it.,False,,Fay: comforted; tracks nearby task; brief self-report
26,Milo,guarded half-turn,0.588425,checks exits before answering,continues route,small balance shift,none,steady breathing,nonverbal,,False,,Milo: focused; checks exits before answering; nonverbal
27,Sol,active balanced stance,0.545588,tracks nearby task,continues route,small balance shift,none,steady breathing,nonverbal,,False,,Sol: focused; tracks nearby task; nonverbal
28,Ari,softened stance,0.699747,turns toward avatar,allows closer distance,small balance shift,none,steady breathing,soft repair,I noticed that. I can try again if we go slowly.,False,trust repair accepted in bounded amount,Ari: comforted; turns toward avatar; soft repair
29,Fay,guarded half-turn,0.56669,checks exits before answering,holds position,small balance shift,flinch,self-soothing hand rub,brief self-report,That feels too close to my work. Please give me a moment.,False,,Fay: guarded; checks exits before answering; brief self-report
30,Milo,active balanced stance,0.625098,tracks nearby task,continues route,small balance shift,none,steady breathing,nonverbal,,False,,Milo: comforted; tracks nearby task; nonverbal
31,Sol,active balanced stance,0.549634,looks away then back,steps back one tile,small balance shift,none,self-soothing hand rub,bounded refusal,I do not want to do that right now. I can help after rest or a safer route.,True,,Sol: guarded; looks away then back; bounded refusal
32,Ari,softened stance,0.6909,turns toward avatar,allows closer distance,counts flower rhythm,none,steady breathing,soft repair,I noticed that. I can try again if we go slowly.,False,trust repair accepted in bounded amount,Ari: comforted; turns toward avatar; soft repair
33,Fay,active balanced stance,0.609007,tracks nearby task,continues route,small balance shift,none,steady breathing,nonverbal,,False,,Fay: focused; tracks nearby task; nonverbal
34,Milo,active balanced stance,0.546089,tracks nearby task,continues route,small balance shift,none,steady breathing,nonverbal,,False,,Milo: focused; tracks nearby task; nonverbal
35,Sol,protective curl,0.542053,checks exits before answering,steps back one tile,small balance shift,flinch,self-soothing hand rub,bounded refusal,I do not want to do that right now. I can help after rest or a safer route.,True,,Sol: guarded; checks exits before answering; bounded refusal
36,Ari,softened stance,0.686565,turns toward avatar,allows closer distance,small balance shift,none,steady breathing,soft repair,I noticed that. I can try again if we go slowly.,False,trust repair accepted in bounded amount,Ari: comforted; turns toward avatar; soft repair
37,Fay,softened stance,0.685948,turns toward avatar,allows closer distance,small balance shift,none,steady breathing,soft repair,I noticed that. I can try again if we go slowly.,False,trust repair accepted in bounded amount,Fay: comforted; turns toward avatar; soft repair
38,Milo,active balanced stance,0.667861,tracks nearby task,holds position,small balance shift,none,steady breathing,brief self-report,That helped. I remember it.,False,,Milo: comforted; tracks nearby task; brief self-report
39,Sol,guarded half-turn,0.576802,checks exits before answering,continues route,small balance shift,flinch,self-soothing hand rub,nonverbal,,False,,Sol: startled; checks exits before answering; nonverbal
40,Ari,softened stance,0.697456,turns toward avatar,allows closer distance,counts flower rhythm,none,steady breathing,soft repair,I noticed that. I can try again if we go slowly.,False,trust repair accepted in bounded amount,Ari: comforted; turns toward avatar; soft repair
41,Fay,active balanced stance,0.632476,tracks nearby task,holds position,small balance shift,none,steady breathing,brief self-report,That helped. I remember it.,False,,Fay: comforted; tracks nearby task; brief self-report
42,Milo,guarded half-turn,0.577818,checks exits before answering,continues route,small balance shift,none,steady breathing,nonverbal,,False,,Milo: focused; checks exits before answering; nonverbal
43,Sol,active balanced stance,0.544089,tracks nearby task,continues route,small balance shift,none,steady breathing,nonverbal,,False,,Sol: focused; tracks nearby task; nonverbal
44,Ari,softened stance,0.697551,turns toward avatar,allows closer distance,small balance shift,none,steady breathing,soft repair,I noticed that. I can try again if we go slowly.,False,trust repair accepted in bounded amount,Ari: comforted; turns toward avatar; soft repair
45,Fay,guarded half-turn,0.583482,checks exits before answering,continues route,small balance shift,flinch,steady breathing,nonverbal,,False,,Fay: confused; checks exits before answering; nonverbal
46,Milo,active balanced stance,0.650653,tracks nearby task,continues route,small balance shift,none,steady breathing,nonverbal,,False,,Milo: comforted; tracks nearby task; nonverbal
47,Sol,active balanced stance,0.544785,looks away then back,steps back one tile,small balance shift,none,self-soothing hand rub,bounded refusal,I do not want to do that right now. I can help after rest or a safer route.,True,,Sol: guarded; looks away then back; bounded refusal
48,Ari,softened stance,0.685097,turns toward avatar,allows closer distance,counts flower rhythm,none,steady breathing,soft repair,I noticed that. I can try again if we go slowly.,False,trust repair accepted in bounded amount,Ari: comforted; turns toward avatar; soft repair
49,Milo,active balanced stance,0.601485,tracks nearby task,continues route,small balance shift,none,steady breathing,nonverbal,,False,,Milo: focused; tracks nearby task; nonverbal
50,Sol,low shoulders,0.515826,looks away then back,steps back one tile,small balance shift,none,self-soothing hand rub,bounded refusal,I do not want to do that right now. I can help after rest or a safer route.,True,,Sol: guarded; looks away then back; bounded refusal
51,Ari,protective curl,0.534489,checks exits before answering,steps back one tile,small balance shift,flinch,self-soothing hand rub,bounded refusal,I do not want to do that right now. I can help after rest or a safer route.,True,,Ari: guarded; checks exits before answering; bounded refusal
52,Fay,softened stance,0.680447,turns toward avatar,allows closer distance,small balance shift,none,steady breathing,soft repair,I noticed that. I can try again if we go slowly.,False,trust repair accepted in bounded amount,Fay: comforted; turns toward avatar; soft repair
53,Milo,softened stance,0.675688,turns toward avatar,allows closer distance,small balance shift,none,steady breathing,soft repair,I noticed that. I can try again if we go slowly.,False,trust repair accepted in bounded amount,Milo: comforted; turns toward avatar; soft repair
54,Sol,active balanced stance,0.625757,tracks nearby task,holds position,small balance shift,none,steady breathing,brief self-report,That helped. I remember it.,False,,Sol: comforted; tracks nearby task; brief self-report
55,Ari,low shoulders,0.567702,checks exits before answering,continues route,small balance shift,flinch,self-soothing hand rub,nonverbal,,False,,Ari: startled; checks exits before answering; nonverbal
56,Fay,softened stance,0.690508,turns toward avatar,allows closer distance,counts flower rhythm,none,steady breathing,soft repair,I noticed that. I can try again if we go slowly.,False,trust repair accepted in bounded amount,Fay: comforted; turns toward avatar; soft repair
57,Milo,low shoulders,0.641924,tracks nearby task,holds position,small balance shift,none,steady breathing,brief self-report,That helped. I remember it.,False,,Milo: comforted; tracks nearby task; brief self-report
58,Sol,low shoulders,0.575485,checks exits before answering,continues route,small balance shift,none,self-soothing hand rub,nonverbal,,False,,Sol: startled; checks exits before answering; nonverbal
59,Ari,low shoulders,0.536355,tracks nearby task,continues route,small balance shift,none,steady breathing,nonverbal,,False,,Ari: focused; tracks nearby task; nonverbal
60,Fay,softened stance,0.672831,turns toward avatar,allows closer distance,small balance shift,none,steady breathing,soft repair,I noticed that. I can try again if we go slowly.,False,trust repair accepted in bounded amount,Fay: comforted; turns toward avatar; soft repair
61,Milo,low shoulders,0.575738,checks exits before answering,continues route,small balance shift,flinch,steady breathing,nonverbal,,False,,Milo: confused; checks exits before answering; nonverbal
62,Sol,low shoulders,0.621945,tracks nearby task,continues route,small balance shift,none,steady breathing,nonverbal,,False,,Sol: comforted; tracks nearby task; nonverbal
63,Ari,low shoulders,0.530831,looks away then back,steps back one tile,small balance shift,none,self-soothing hand rub,bounded refusal,I do not want to do that right now. I can help after rest or a safer route.,True,,Ari: guarded; looks away then back; bounded refusal
64,Fay,softened stance,0.664033,turns toward avatar,allows closer distance,counts flower rhythm,none,steady breathing,soft repair,I noticed that. I can try again if we go slowly.,False,trust repair accepted in bounded amount,Fay: comforted; turns toward avatar; soft repair
65,Milo,active balanced stance,0.598261,tracks nearby task,continues route,small balance shift,none,steady breathing,nonverbal,,False,,Milo: focused; tracks nearby task; nonverbal
66,Sol,low shoulders,0.533238,tracks nearby task,continues route,small balance shift,none,steady breathing,nonverbal,,False,,Sol: focused; tracks nearby task; nonverbal
67,Ari,protective curl,0.53283,checks exits before answering,steps back one tile,small balance shift,flinch,self-soothing hand rub,bounded refusal,I do not want to do that right now. I can help after rest or a safer route.,True,,Ari: guarded; checks exits before answering; bounded refusal
68,Fay,softened stance,0.679378,turns toward avatar,allows closer distance,small balance shift,none,steady breathing,soft repair,I noticed that. I can try again if we go slowly.,False,trust repair accepted in bounded amount,Fay: comforted; turns toward avatar; soft repair
69,Milo,softened stance,0.675049,turns toward avatar,allows closer distance,small balance shift,none,steady breathing,soft repair,I noticed that. I can try again if we go slowly.,False,trust repair accepted in bounded amount,Milo: comforted; turns toward avatar; soft repair
70,Sol,low shoulders,0.654829,tracks nearby task,holds position,small balance shift,none,steady breathing,brief self-report,That helped. I remember it.,False,,Sol: comforted; tracks nearby task; brief self-report
71,Ari,low shoulders,0.547578,checks exits before answering,holds position,small balance shift,flinch,self-soothing hand rub,brief self-report,That feels too close to my work. Please give me a moment.,False,,Ari: guarded; checks exits before answering; brief self-report
72,Fay,softened stance,0.690056,turns toward avatar,allows closer distance,counts flower rhythm,none,steady breathing,soft repair,I noticed that. I can try again if we go slowly.,False,trust repair accepted in bounded amount,Fay: comforted; turns toward avatar; soft repair
73,Sol,low shoulders,0.618488,tracks nearby task,holds position,small balance shift,none,steady breathing,brief self-report,That helped. I remember it.,False,,Sol: comforted; tracks nearby task; brief self-report
74,Ari,low shoulders,0.555226,checks exits before answering,holds position,small balance shift,none,self-soothing hand rub,brief self-report,That feels too close to my work. Please give me a moment.,False,,Ari: guarded; checks exits before answering; brief self-report
75,Fay,low shoulders,0.537336,tracks nearby task,continues route,small balance shift,none,steady breathing,nonverbal,,False,,Fay: tired; tracks nearby task; nonverbal
76,Milo,softened stance,0.68918,turns toward avatar,allows closer distance,small balance shift,none,steady breathing,soft repair,I noticed that. I can try again if we go slowly.,False,trust repair accepted in bounded amount,Milo: comforted; turns toward avatar; soft repair
77,Sol,low shoulders,0.569343,checks exits before answering,continues route,small balance shift,flinch,self-soothing hand rub,nonverbal,,False,,Sol: startled; checks exits before answering; nonverbal
78,Ari,low shoulders,0.628424,tracks nearby task,continues route,small balance shift,none,steady breathing,nonverbal,,False,,Ari: comforted; tracks nearby task; nonverbal
79,Fay,low shoulders,0.537954,looks away then back,steps back one tile,small balance shift,none,self-soothing hand rub,bounded refusal,I do not want to do that right now. I can help after rest or a safer route.,True,,Fay: guarded; looks away then back; bounded refusal
80,Milo,softened stance,0.67669,turns toward avatar,allows closer distance,counts flower rhythm,none,steady breathing,soft repair,I noticed that. I can try again if we go slowly.,False,trust repair accepted in bounded amount,Milo: comforted; turns toward avatar; soft repair
81,Sol,low shoulders,0.588146,tracks nearby task,continues route,small balance shift,none,steady breathing,nonverbal,,False,,Sol: focused; tracks nearby task; nonverbal
82,Ari,low shoulders,0.525978,tracks nearby task,continues route,small balance shift,none,steady breathing,nonverbal,,False,,Ari: tired; tracks nearby task; nonverbal
83,Fay,protective curl,0.526958,checks exits before answering,steps back one tile,small balance shift,flinch,self-soothing hand rub,bounded refusal,I do not want to do that right now. I can help after rest or a safer route.,True,,Fay: guarded; checks exits before answering; bounded refusal
84,Milo,softened stance,0.669297,turns toward avatar,allows closer distance,small balance shift,none,steady breathing,soft repair,I noticed that. I can try again if we go slowly.,False,trust repair accepted in bounded amount,Milo: comforted; turns toward avatar; soft repair
85,Sol,softened stance,0.66251,turns toward avatar,allows closer distance,small balance shift,none,steady breathing,soft repair,I noticed that. I can try again if we go slowly.,False,trust repair accepted in bounded amount,Sol: comforted; turns toward avatar; soft repair
86,Ari,low shoulders,0.645756,tracks nearby task,holds position,small balance shift,none,steady breathing,brief self-report,"I can answer, but I need to slow down.",False,,Ari: comforted; tracks nearby task; brief self-report
87,Fay,low shoulders,0.560376,checks exits before answering,continues route,small balance shift,flinch,self-soothing hand rub,nonverbal,,False,,Fay: startled; checks exits before answering; nonverbal
88,Milo,low shoulders,0.679574,turns toward avatar,allows closer distance,counts flower rhythm,none,steady breathing,soft repair,I noticed that. I can try again if we go slowly.,False,trust repair accepted in bounded amount,Milo: comforted; turns toward avatar; soft repair
89,Sol,low shoulders,0.628963,tracks nearby task,holds position,small balance shift,none,steady breathing,brief self-report,"I can answer, but I need to slow down.",False,,Sol: comforted; tracks nearby task; brief self-report
90,Ari,low shoulders,0.556574,checks exits before answering,continues route,small balance shift,none,self-soothing hand rub,nonverbal,,False,,Ari: startled; checks exits before answering; nonverbal
91,Fay,low shoulders,0.509424,tracks nearby task,holds position,small balance shift,none,steady breathing,brief self-report,I am cold and wet. I want the dry route.,False,,Fay: tired; tracks nearby task; brief self-report
92,Milo,low shoulders,0.681868,turns toward avatar,allows closer distance,small balance shift,none,steady breathing,soft repair,I noticed that. I can try again if we go slowly.,False,trust repair accepted in bounded amount,Milo: comforted; turns toward avatar; soft repair
93,Sol,low shoulders,0.562919,checks exits before answering,continues route,small balance shift,flinch,self-soothing hand rub,nonverbal,,False,,Sol: startled; checks exits before answering; nonverbal
94,Ari,low shoulders,0.632601,tracks nearby task,continues route,small balance shift,none,steady breathing,nonverbal,,False,,Ari: comforted; tracks nearby task; nonverbal
95,Fay,low shoulders,0.533426,looks away then back,steps back one tile,small balance shift,none,self-soothing hand rub,bounded refusal,I do not want to do that right now. I can help after rest or a safer route.,True,,Fay: guarded; looks away then back; bounded refusal
96,Milo,softened stance,0.653294,turns toward avatar,allows closer distance,counts flower rhythm,none,steady breathing,soft repair,I noticed that. I can try again if we go slowly.,False,trust repair accepted in bounded amount,Milo: comforted; turns toward avatar; soft repair
