tick_id,day,tick,agent_id,utterance_id,parsed_id,goal_update_id,schedule_id,relationship_id,local_event_id,resolution_id,snapshot_id,flower_phase,vibration_hz,tick_note
tick_u_3_ni64,3,76,ni64,u_3_ni64,p_u_3_ni64,gu_u_3_ni64,sched_u_3_ni64,rel_u_3_ni64,local_day3_write,res_u_3_ni64,snap_3_ni64,hexad,2.27,"user-authored text changes goal, schedule, relationship memory, durable storage, and later-day consequence"
tick_u_5_ka60,5,80,ka60,u_5_ka60,p_u_5_ka60,gu_u_5_ka60,sched_u_5_ka60,rel_u_5_ka60,local_day5_write,res_u_5_ka60,snap_5_ka60,flower,2.64,"user-authored text changes goal, schedule, relationship memory, durable storage, and later-day consequence"
tick_u_5_mu61,5,84,mu61,u_5_mu61,p_u_5_mu61,gu_u_5_mu61,sched_u_5_mu61,rel_u_5_mu61,local_day5_write,res_u_5_mu61,snap_5_mu61,fruit,2.83,"user-authored text changes goal, schedule, relationship memory, durable storage, and later-day consequence"
tick_u_5_lo62,5,88,lo62,u_5_lo62,p_u_5_lo62,gu_u_5_lo62,sched_u_5_lo62,rel_u_5_lo62,local_day5_write,res_u_5_lo62,snap_5_lo62,return,3.02,"user-authored text changes goal, schedule, relationship memory, durable storage, and later-day consequence"
tick_u_5_sa63,5,92,sa63,u_5_sa63,p_u_5_sa63,gu_u_5_sa63,sched_u_5_sa63,rel_u_5_sa63,local_day5_write,res_u_5_sa63,snap_5_sa63,seed,3.21,"user-authored text changes goal, schedule, relationship memory, durable storage, and later-day consequence"
tick_u_5_ni64,5,96,ni64,u_5_ni64,p_u_5_ni64,gu_u_5_ni64,sched_u_5_ni64,rel_u_5_ni64,local_day5_write,res_u_5_ni64,snap_5_ni64,vesica,3.4,"user-authored text changes goal, schedule, relationship memory, durable storage, and later-day consequence"
tick_u_8_ka60,8,100,ka60,u_8_ka60,p_u_8_ka60,gu_u_8_ka60,sched_u_8_ka60,rel_u_8_ka60,local_day8_write,res_u_8_ka60,snap_8_ka60,triad,3.86,"user-authored text changes goal, schedule, relationship memory, durable storage, and later-day consequence"
tick_u_8_mu61,8,104,mu61,u_8_mu61,p_u_8_mu61,gu_u_8_mu61,sched_u_8_mu61,rel_u_8_mu61,local_day8_write,res_u_8_mu61,snap_8_mu61,square,2.72,"user-authored text changes goal, schedule, relationship memory, durable storage, and later-day consequence"
tick_u_8_lo62,8,108,lo62,u_8_lo62,p_u_8_lo62,gu_u_8_lo62,sched_u_8_lo62,rel_u_8_lo62,local_day8_write,res_u_8_lo62,snap_8_lo62,pentad,2.91,"user-authored text changes goal, schedule, relationship memory, durable storage, and later-day consequence"
tick_u_8_sa63,8,112,sa63,u_8_sa63,p_u_8_sa63,gu_u_8_sa63,sched_u_8_sa63,rel_u_8_sa63,local_day8_write,res_u_8_sa63,snap_8_sa63,hexad,3.1,"user-authored text changes goal, schedule, relationship memory, durable storage, and later-day consequence"
tick_u_8_ni64,8,116,ni64,u_8_ni64,p_u_8_ni64,gu_u_8_ni64,sched_u_8_ni64,rel_u_8_ni64,local_day8_write,res_u_8_ni64,snap_8_ni64,flower,3.29,"user-authored text changes goal, schedule, relationship memory, durable storage, and later-day consequence"
tick_u_13_ka60,13,120,ka60,u_13_ka60,p_u_13_ka60,gu_u_13_ka60,sched_u_13_ka60,rel_u_13_ka60,local_day13_write,res_u_13_ka60,snap_13_ka60,fruit,3.93,"user-authored text changes goal, schedule, relationship memory, durable storage, and later-day consequence"
tick_u_13_mu61,13,124,mu61,u_13_mu61,p_u_13_mu61,gu_u_13_mu61,sched_u_13_mu61,rel_u_13_mu61,local_day13_write,res_u_13_mu61,snap_13_mu61,return,4.12,"user-authored text changes goal, schedule, relationship memory, durable storage, and later-day consequence"
tick_u_13_lo62,13,128,lo62,u_13_lo62,p_u_13_lo62,gu_u_13_lo62,sched_u_13_lo62,rel_u_13_lo62,local_day13_write,res_u_13_lo62,snap_13_lo62,seed,4.31,"user-authored text changes goal, schedule, relationship memory, durable storage, and later-day consequence"
tick_u_13_sa63,13,132,sa63,u_13_sa63,p_u_13_sa63,gu_u_13_sa63,sched_u_13_sa63,rel_u_13_sa63,local_day13_write,res_u_13_sa63,snap_13_sa63,vesica,3.17,"user-authored text changes goal, schedule, relationship memory, durable storage, and later-day consequence"
tick_u_13_ni64,13,136,ni64,u_13_ni64,p_u_13_ni64,gu_u_13_ni64,sched_u_13_ni64,rel_u_13_ni64,local_day13_write,res_u_13_ni64,snap_13_ni64,triad,3.36,"user-authored text changes goal, schedule, relationship memory, durable storage, and later-day consequence"
