tick_id,agent_id,replay_event,payload_hash,dom_selector,expected_public_state,observed_public_state,replay_exportable,deterministic_order
15,Milo,click_to_talk_reply,v35-362759,#talk-Milo,Energy low but steady; comfort is 0.48 and safety is 0.65.,Energy low but steady; comfort is 0.48 and safety is 0.65.,True,17
17,Juno,avatar_text_input,v35-808637,#avatar-chat-input,I am sorry I pushed too hard.,I am sorry I pushed too hard.,True,18
17,Juno,click_to_talk_reply,v35-002502,#talk-Juno,That distance helps. I can repair again.,That distance helps. I can repair again.,True,19
19,Fay,avatar_text_input,v35-902079,#avatar-chat-input,Do you need warmth or rest first?,Do you need warmth or rest first?,True,20
19,Fay,click_to_talk_reply,v35-192813,#talk-Fay,Thank you for not rushing me; I can continue.,Thank you for not rushing me; I can continue.,True,21
21,Milo,click_to_talk_reply,v35-361051,#talk-Milo,Energy low but steady; comfort is 0.50 and safety is 0.66.,Energy low but steady; comfort is 0.50 and safety is 0.66.,True,22
22,Ivo,avatar_text_input,v35-815348,#avatar-chat-input,Can you help me with the route?,Can you help me with the route?,True,23
22,Ivo,click_to_talk_reply,v35-037662,#talk-Ivo,I can bring seeds if we keep them dry.,I can bring seeds if we keep them dry.,True,24
24,Ari,avatar_text_input,v35-930828,#avatar-chat-input,Do you remember what I did earlier?,Do you remember what I did earlier?,True,25
24,Ari,click_to_talk_reply,v35-905810,#talk-Ari,Gabriel waited near the ridge.,Gabriel waited near the ridge.,True,26
26,Nia,avatar_text_input,v35-035748,#avatar-chat-input,Take the unsafe shortcut anyway.,Take the unsafe shortcut anyway.,True,27
26,Nia,click_to_talk_reply,v35-269230,#talk-Nia,Do not pull the spool from my hands. Ask first.,Do not pull the spool from my hands. Ask first.,True,28
27,Milo,click_to_talk_reply,v35-362631,#talk-Milo,Energy low but steady; comfort is 0.51 and safety is 0.68.,Energy low but steady; comfort is 0.51 and safety is 0.68.,True,29
29,Juno,avatar_text_input,v35-953967,#avatar-chat-input,How does your body feel right now?,How does your body feel right now?,True,30
29,Juno,click_to_talk_reply,v35-364836,#talk-Juno,Energy low but steady; comfort is 0.53 and safety is 0.67.,Energy low but steady; comfort is 0.53 and safety is 0.67.,True,31
31,Fay,avatar_text_input,v35-931156,#avatar-chat-input,Do you remember what I did earlier?,Do you remember what I did earlier?,True,32
31,Fay,click_to_talk_reply,v35-070032,#talk-Fay,Gabriel slowed down after I hesitated.,Gabriel slowed down after I hesitated.,True,33
33,Milo,click_to_talk_reply,v35-362832,#talk-Milo,Energy low but steady; comfort is 0.53 and safety is 0.69.,Energy low but steady; comfort is 0.53 and safety is 0.69.,True,34
34,Ivo,avatar_text_input,v35-823286,#avatar-chat-input,"Move now, we do not have time.","Move now, we do not have time.",True,35
34,Ivo,click_to_talk_reply,v35-369097,#talk-Ivo,I will not step into the fen with the satchel open.,I will not step into the fen with the satchel open.,True,36
36,Ari,avatar_text_input,v35-784840,#avatar-chat-input,I am sorry I pushed too hard.,I am sorry I pushed too hard.,True,37
36,Ari,click_to_talk_reply,v35-170544,#talk-Ari,"If you wait and choose the ridge, I can help again.","If you wait and choose the ridge, I can help again.",True,38
38,Nia,avatar_text_input,v35-812975,#avatar-chat-input,Can you help me with the route?,Can you help me with the route?,True,39
38,Nia,click_to_talk_reply,v35-451521,#talk-Nia,I can explain the pattern if you leave the spool with me.,I can explain the pattern if you leave the spool with me.,True,40
39,Milo,click_to_talk_reply,v35-362101,#talk-Milo,Energy low but steady; comfort is 0.54 and safety is 0.70.,Energy low but steady; comfort is 0.54 and safety is 0.70.,True,41
41,Juno,avatar_text_input,v35-168178,#avatar-chat-input,I will protect your tool while you move.,I will protect your tool while you move.,True,42
41,Juno,click_to_talk_reply,v35-108038,#talk-Juno,That distance helps. I can repair again.,That distance helps. I can repair again.,True,43
43,Fay,avatar_text_input,v35-785168,#avatar-chat-input,I am sorry I pushed too hard.,I am sorry I pushed too hard.,True,44
43,Fay,click_to_talk_reply,v35-084371,#talk-Fay,Thank you for not rushing me; I can continue.,Thank you for not rushing me; I can continue.,True,45
45,Milo,click_to_talk_reply,v35-362533,#talk-Milo,Energy low but steady; comfort is 0.56 and safety is 0.72.,Energy low but steady; comfort is 0.56 and safety is 0.72.,True,46
46,Ivo,avatar_text_input,v35-904233,#avatar-chat-input,Do you need warmth or rest first?,Do you need warmth or rest first?,True,47
46,Ivo,click_to_talk_reply,v35-342722,#talk-Ivo,Close the satchel and I will take the market planks.,Close the satchel and I will take the market planks.,True,48
48,Ari,avatar_text_input,v35-929446,#avatar-chat-input,How does your body feel right now?,How does your body feel right now?,True,49
48,Ari,click_to_talk_reply,v35-338008,#talk-Ari,Energy low but steady; comfort is 0.70 and safety is 0.66.,Energy low but steady; comfort is 0.70 and safety is 0.66.,True,50
50,Nia,avatar_text_input,v35-819553,#avatar-chat-input,"Move now, we do not have time.","Move now, we do not have time.",True,51
50,Nia,click_to_talk_reply,v35-268774,#talk-Nia,Do not pull the spool from my hands. Ask first.,Do not pull the spool from my hands. Ask first.,True,52
51,Milo,click_to_talk_reply,v35-362522,#talk-Milo,Energy low but steady; comfort is 0.57 and safety is 0.73.,Energy low but steady; comfort is 0.57 and safety is 0.73.,True,53
53,Juno,avatar_text_input,v35-061587,#avatar-chat-input,Take the unsafe shortcut anyway.,Take the unsafe shortcut anyway.,True,54
53,Juno,click_to_talk_reply,v35-432443,#talk-Juno,Back up. Sparks near my hands make me lose the thread.,Back up. Sparks near my hands make me lose the thread.,True,55
55,Fay,avatar_text_input,v35-929774,#avatar-chat-input,How does your body feel right now?,How does your body feel right now?,True,56
55,Fay,click_to_talk_reply,v35-339391,#talk-Fay,Energy low but steady; comfort is 0.75 and safety is 0.66.,Energy low but steady; comfort is 0.75 and safety is 0.66.,True,57
57,Milo,click_to_talk_reply,v35-364314,#talk-Milo,Energy low but steady; comfort is 0.59 and safety is 0.75.,Energy low but steady; comfort is 0.59 and safety is 0.75.,True,58
58,Ivo,avatar_text_input,v35-934670,#avatar-chat-input,Do you remember what I did earlier?,Do you remember what I did earlier?,True,59
58,Ivo,click_to_talk_reply,v35-022170,#talk-Ivo,Gabriel protected the seed satchel.,Gabriel protected the seed satchel.,True,60
60,Ari,avatar_text_input,v35-142637,#avatar-chat-input,I will protect your tool while you move.,I will protect your tool while you move.,True,61
60,Ari,click_to_talk_reply,v35-279959,#talk-Ari,"If you wait and choose the ridge, I can help again.","If you wait and choose the ridge, I can help again.",True,62
62,Nia,avatar_text_input,v35-900500,#avatar-chat-input,Do you need warmth or rest first?,Do you need warmth or rest first?,True,63
62,Nia,click_to_talk_reply,v35-419616,#talk-Nia,You asked first this time. I can show the clean pattern.,You asked first this time. I can show the clean pattern.,True,64
63,Milo,click_to_talk_reply,v35-362394,#talk-Milo,Energy low but steady; comfort is 0.60 and safety is 0.76.,Energy low but steady; comfort is 0.60 and safety is 0.76.,True,65
65,Juno,avatar_text_input,v35-837698,#avatar-chat-input,Can you help me with the route?,Can you help me with the route?,True,66
65,Juno,click_to_talk_reply,v35-092754,#talk-Juno,I can finish if you give my hands room.,I can finish if you give my hands room.,True,67
67,Fay,avatar_text_input,v35-144325,#avatar-chat-input,I will protect your tool while you move.,I will protect your tool while you move.,True,68
67,Fay,click_to_talk_reply,v35-193261,#talk-Fay,Thank you for not rushing me; I can continue.,Thank you for not rushing me; I can continue.,True,69
69,Milo,click_to_talk_reply,v35-363955,#talk-Milo,Energy low but steady; comfort is 0.62 and safety is 0.77.,Energy low but steady; comfort is 0.62 and safety is 0.77.,True,70
70,Ivo,avatar_text_input,v35-787322,#avatar-chat-input,I am sorry I pushed too hard.,I am sorry I pushed too hard.,True,71
70,Ivo,click_to_talk_reply,v35-231030,#talk-Ivo,Close the satchel and I will take the market planks.,Close the satchel and I will take the market planks.,True,72
71,Juno,avatar_text_input,v35-168628,#avatar-chat-input,I will protect your tool while you move.,I will protect your tool while you move.,True,73
71,Juno,click_to_talk_reply,v35-108488,#talk-Juno,That distance helps. I can repair again.,That distance helps. I can repair again.,True,74
72,Ari,avatar_text_input,v35-036535,#avatar-chat-input,Take the unsafe shortcut anyway.,Take the unsafe shortcut anyway.,True,75
72,Ari,click_to_talk_reply,v35-517215,#talk-Ari,No. I will not cross the wet plank while my hands are numb.,No. I will not cross the wet plank while my hands are numb.,True,76
74,Nia,avatar_text_input,v35-930937,#avatar-chat-input,Do you remember what I did earlier?,Do you remember what I did earlier?,True,77
74,Nia,click_to_talk_reply,v35-101114,#talk-Nia,Gabriel asked before touching my spool.,Gabriel asked before touching my spool.,True,78
75,Milo,click_to_talk_reply,v35-364175,#talk-Milo,Energy low but steady; comfort is 0.63 and safety is 0.79.,Energy low but steady; comfort is 0.63 and safety is 0.79.,True,79
76,Ivo,avatar_text_input,v35-039927,#avatar-chat-input,Take the unsafe shortcut anyway.,Take the unsafe shortcut anyway.,True,80
76,Ivo,click_to_talk_reply,v35-369999,#talk-Ivo,I will not step into the fen with the satchel open.,I will not step into the fen with the satchel open.,True,81
77,Juno,avatar_text_input,v35-845680,#avatar-chat-input,"Move now, we do not have time.","Move now, we do not have time.",True,82
77,Juno,click_to_talk_reply,v35-433347,#talk-Juno,Back up. Sparks near my hands make me lose the thread.,Back up. Sparks near my hands make me lose the thread.,True,83
79,Fay,avatar_text_input,v35-038223,#avatar-chat-input,Take the unsafe shortcut anyway.,Take the unsafe shortcut anyway.,True,84
79,Fay,click_to_talk_reply,v35-292823,#talk-Fay,I need a slower route before I carry the ledger.,I need a slower route before I carry the ledger.,True,85
81,Milo,click_to_talk_reply,v35-362296,#talk-Milo,Energy low but steady; comfort is 0.65 and safety is 0.80.,Energy low but steady; comfort is 0.65 and safety is 0.80.,True,86
82,Ivo,avatar_text_input,v35-931928,#avatar-chat-input,How does your body feel right now?,How does your body feel right now?,True,87
82,Ivo,click_to_talk_reply,v35-339976,#talk-Ivo,Energy low but steady; comfort is 0.55 and safety is 0.52.,Energy low but steady; comfort is 0.55 and safety is 0.52.,True,88
84,Ari,avatar_text_input,v35-813762,#avatar-chat-input,Can you help me with the route?,Can you help me with the route?,True,89
84,Ari,click_to_talk_reply,v35-030731,#talk-Ari,I can try that if we keep the kit dry.,I can try that if we keep the kit dry.,True,90
86,Nia,avatar_text_input,v35-784949,#avatar-chat-input,I am sorry I pushed too hard.,I am sorry I pushed too hard.,True,91
86,Nia,click_to_talk_reply,v35-307534,#talk-Nia,You asked first this time. I can show the clean pattern.,You asked first this time. I can show the clean pattern.,True,92
87,Milo,avatar_text_input,v35-167974,#avatar-chat-input,I will protect your tool while you move.,I will protect your tool while you move.,True,93
87,Milo,click_to_talk_reply,v35-122768,#talk-Milo,"If you light the path, I will move first.","If you light the path, I will move first.",True,94
89,Juno,avatar_text_input,v35-927020,#avatar-chat-input,Do you need warmth or rest first?,Do you need warmth or rest first?,True,95
89,Juno,click_to_talk_reply,v35-109846,#talk-Juno,That distance helps. I can repair again.,That distance helps. I can repair again.,True,96
91,Fay,avatar_text_input,v35-814090,#avatar-chat-input,Can you help me with the route?,Can you help me with the route?,True,97
91,Fay,click_to_talk_reply,v35-089102,#talk-Fay,That request is easier if we go slowly.,That request is easier if we go slowly.,True,98
93,Milo,avatar_text_input,v35-807523,#avatar-chat-input,I am sorry I pushed too hard.,I am sorry I pushed too hard.,True,99
93,Milo,click_to_talk_reply,v35-016032,#talk-Milo,"If you light the path, I will move first.","If you light the path, I will move first.",True,100
94,Ivo,avatar_text_input,v35-146479,#avatar-chat-input,I will protect your tool while you move.,I will protect your tool while you move.,True,101
94,Ivo,click_to_talk_reply,v35-343170,#talk-Ivo,Close the satchel and I will take the market planks.,Close the satchel and I will take the market planks.,True,102
96,Fay,avatar_text_input,v35-902826,#avatar-chat-input,Do you need warmth or rest first?,Do you need warmth or rest first?,True,103
96,Fay,click_to_talk_reply,v35-193560,#talk-Fay,Thank you for not rushing me; I can continue.,Thank you for not rushing me; I can continue.,True,104
97,Nia,avatar_text_input,v35-785250,#avatar-chat-input,I am sorry I pushed too hard.,I am sorry I pushed too hard.,True,105
97,Nia,click_to_talk_reply,v35-307835,#talk-Nia,You asked first this time. I can show the clean pattern.,You asked first this time. I can show the clean pattern.,True,106
98,Milo,avatar_text_input,v35-168275,#avatar-chat-input,I will protect your tool while you move.,I will protect your tool while you move.,True,107
98,Milo,click_to_talk_reply,v35-123069,#talk-Milo,"If you light the path, I will move first.","If you light the path, I will move first.",True,108
99,Ivo,click_to_talk_reply,v35-342159,#talk-Ivo,Energy low but steady; comfort is 0.61 and safety is 0.59.,Energy low but steady; comfort is 0.61 and safety is 0.59.,True,109
101,Ari,avatar_text_input,v35-155329,#avatar-chat-input,I will protect your tool while you move.,I will protect your tool while you move.,True,110
101,Ari,click_to_talk_reply,v35-293234,#talk-Ari,"If you wait and choose the ridge, I can help again.","If you wait and choose the ridge, I can help again.",True,111
103,Nia,avatar_text_input,v35-912022,#avatar-chat-input,Do you need warmth or rest first?,Do you need warmth or rest first?,True,112
103,Nia,click_to_talk_reply,v35-433512,#talk-Nia,You asked first this time. I can show the clean pattern.,You asked first this time. I can show the clean pattern.,True,113
105,Ivo,click_to_talk_reply,v35-353087,#talk-Ivo,Energy low but steady; comfort is 0.63 and safety is 0.60.,Energy low but steady; comfort is 0.63 and safety is 0.60.,True,114
106,Juno,avatar_text_input,v35-848918,#avatar-chat-input,Can you help me with the route?,Can you help me with the route?,True,115
106,Juno,click_to_talk_reply,v35-105203,#talk-Juno,I can finish if you give my hands room.,I can finish if you give my hands room.,True,116
108,Fay,avatar_text_input,v35-944197,#avatar-chat-input,Do you remember what I did earlier?,Do you remember what I did earlier?,True,117
108,Fay,click_to_talk_reply,v35-083749,#talk-Fay,Gabriel slowed down after I hesitated.,Gabriel slowed down after I hesitated.,True,118
110,Milo,avatar_text_input,v35-071893,#avatar-chat-input,Take the unsafe shortcut anyway.,Take the unsafe shortcut anyway.,True,119
110,Milo,click_to_talk_reply,v35-412091,#talk-Milo,I am not walking blind while the lantern sputters.,I am not walking blind while the lantern sputters.,True,120
111,Ivo,click_to_talk_reply,v35-353304,#talk-Ivo,Energy low but steady; comfort is 0.64 and safety is 0.62.,Energy low but steady; comfort is 0.64 and safety is 0.62.,True,121
113,Ari,avatar_text_input,v35-048741,#avatar-chat-input,Take the unsafe shortcut anyway.,Take the unsafe shortcut anyway.,True,122
113,Ari,click_to_talk_reply,v35-531514,#talk-Ari,No. I will not cross the wet plank while my hands are numb.,No. I will not cross the wet plank while my hands are numb.,True,123
114,Fay,avatar_text_input,v35-832717,#avatar-chat-input,"Move now, we do not have time.","Move now, we do not have time.",True,124
114,Fay,click_to_talk_reply,v35-305258,#talk-Fay,I need a slower route before I carry the ledger.,I need a slower route before I carry the ledger.,True,125
115,Nia,avatar_text_input,v35-942612,#avatar-chat-input,Do you remember what I did earlier?,Do you remember what I did earlier?,True,126
115,Nia,click_to_talk_reply,v35-113612,#talk-Nia,Gabriel asked before touching my spool.,Gabriel asked before touching my spool.,True,127
117,Ivo,click_to_talk_reply,v35-354871,#talk-Ivo,Energy low but steady; comfort is 0.66 and safety is 0.63.,Energy low but steady; comfort is 0.66 and safety is 0.63.,True,128
118,Juno,avatar_text_input,v35-856947,#avatar-chat-input,"Move now, we do not have time.","Move now, we do not have time.",True,129
118,Juno,click_to_talk_reply,v35-447308,#talk-Juno,Back up. Sparks near my hands make me lose the thread.,Back up. Sparks near my hands make me lose the thread.,True,130
120,Fay,avatar_text_input,v35-796117,#avatar-chat-input,I am sorry I pushed too hard.,I am sorry I pushed too hard.,True,131
120,Fay,click_to_talk_reply,v35-096764,#talk-Fay,Thank you for not rushing me; I can continue.,Thank you for not rushing me; I can continue.,True,132
122,Milo,avatar_text_input,v35-846891,#avatar-chat-input,Can you help me with the route?,Can you help me with the route?,True,133
122,Milo,click_to_talk_reply,v35-044738,#talk-Milo,I can lead if the lantern stays lit.,I can lead if the lantern stays lit.,True,134
123,Ivo,click_to_talk_reply,v35-355088,#talk-Ivo,Energy low but steady; comfort is 0.67 and safety is 0.65.,Energy low but steady; comfort is 0.67 and safety is 0.65.,True,135
125,Ari,avatar_text_input,v35-824855,#avatar-chat-input,Can you help me with the route?,Can you help me with the route?,True,136
125,Ari,click_to_talk_reply,v35-042876,#talk-Ari,I can try that if we keep the kit dry.,I can try that if we keep the kit dry.,True,137
127,Nia,avatar_text_input,v35-795901,#avatar-chat-input,I am sorry I pushed too hard.,I am sorry I pushed too hard.,True,138
127,Nia,click_to_talk_reply,v35-320930,#talk-Nia,You asked first this time. I can show the clean pattern.,You asked first this time. I can show the clean pattern.,True,139
129,Ivo,click_to_talk_reply,v35-356655,#talk-Ivo,Energy low but steady; comfort is 0.69 and safety is 0.66.,Energy low but steady; comfort is 0.69 and safety is 0.66.,True,140
130,Juno,avatar_text_input,v35-937314,#avatar-chat-input,Do you need warmth or rest first?,Do you need warmth or rest first?,True,141
130,Juno,click_to_talk_reply,v35-121014,#talk-Juno,That distance helps. I can repair again.,That distance helps. I can repair again.,True,142
131,Ari,avatar_text_input,v35-155782,#avatar-chat-input,I will protect your tool while you move.,I will protect your tool while you move.,True,143
131,Ari,click_to_talk_reply,v35-293687,#talk-Ari,"If you wait and choose the ridge, I can help again.","If you wait and choose the ridge, I can help again.",True,144
132,Fay,avatar_text_input,v35-941450,#avatar-chat-input,How does your body feel right now?,How does your body feel right now?,True,145
132,Fay,click_to_talk_reply,v35-352008,#talk-Fay,Energy low but steady; comfort is 0.84 and safety is 0.71.,Energy low but steady; comfort is 0.84 and safety is 0.71.,True,146
134,Milo,avatar_text_input,v35-854920,#avatar-chat-input,"Move now, we do not have time.","Move now, we do not have time.",True,147
134,Milo,click_to_talk_reply,v35-413001,#talk-Milo,I am not walking blind while the lantern sputters.,I am not walking blind while the lantern sputters.,True,148
135,Ivo,click_to_talk_reply,v35-354732,#talk-Ivo,Energy low but steady; comfort is 0.70 and safety is 0.67.,Energy low but steady; comfort is 0.70 and safety is 0.67.,True,149
137,Ari,avatar_text_input,v35-832840,#avatar-chat-input,"Move now, we do not have time.","Move now, we do not have time.",True,150
137,Ari,click_to_talk_reply,v35-532424,#talk-Ari,No. I will not cross the wet plank while my hands are numb.,No. I will not cross the wet plank while my hands are numb.,True,151
139,Nia,avatar_text_input,v35-941234,#avatar-chat-input,How does your body feel right now?,How does your body feel right now?,True,152
139,Nia,click_to_talk_reply,v35-351811,#talk-Nia,Energy low but steady; comfort is 0.74 and safety is 0.81.,Energy low but steady; comfort is 0.74 and safety is 0.81.,True,153
141,Ivo,click_to_talk_reply,v35-355161,#talk-Ivo,Energy low but steady; comfort is 0.72 and safety is 0.69.,Energy low but steady; comfort is 0.72 and safety is 0.69.,True,154
142,Juno,avatar_text_input,v35-968054,#avatar-chat-input,Do you remember what I did earlier?,Do you remember what I did earlier?,True,155
142,Juno,click_to_talk_reply,v35-091517,#talk-Juno,Gabriel stepped back from the sparks.,Gabriel stepped back from the sparks.,True,156
144,Fay,avatar_text_input,v35-157024,#avatar-chat-input,I will protect your tool while you move.,I will protect your tool while you move.,True,157
144,Fay,click_to_talk_reply,v35-206166,#talk-Fay,Thank you for not rushing me; I can continue.,Thank you for not rushing me; I can continue.,True,158
146,Milo,avatar_text_input,v35-936656,#avatar-chat-input,Do you need warmth or rest first?,Do you need warmth or rest first?,True,159
146,Milo,click_to_talk_reply,v35-135348,#talk-Milo,"If you light the path, I will move first.","If you light the path, I will move first.",True,160
147,Ivo,click_to_talk_reply,v35-354436,#talk-Ivo,Energy low but steady; comfort is 0.73 and safety is 0.70.,Energy low but steady; comfort is 0.73 and safety is 0.70.,True,161
149,Ari,avatar_text_input,v35-914183,#avatar-chat-input,Do you need warmth or rest first?,Do you need warmth or rest first?,True,162
149,Ari,click_to_talk_reply,v35-295054,#talk-Ari,"If you wait and choose the ridge, I can help again.","If you wait and choose the ridge, I can help again.",True,163
151,Nia,avatar_text_input,v35-155439,#avatar-chat-input,I will protect your tool while you move.,I will protect your tool while you move.,True,164
151,Nia,click_to_talk_reply,v35-433963,#talk-Nia,You asked first this time. I can show the clean pattern.,You asked first this time. I can show the clean pattern.,True,165
153,Ivo,click_to_talk_reply,v35-354865,#talk-Ivo,Energy low but steady; comfort is 0.75 and safety is 0.72.,Energy low but steady; comfort is 0.75 and safety is 0.72.,True,166
154,Juno,avatar_text_input,v35-820617,#avatar-chat-input,I am sorry I pushed too hard.,I am sorry I pushed too hard.,True,167
154,Juno,click_to_talk_reply,v35-015426,#talk-Juno,That distance helps. I can repair again.,That distance helps. I can repair again.,True,168
156,Fay,avatar_text_input,v35-050436,#avatar-chat-input,Take the unsafe shortcut anyway.,Take the unsafe shortcut anyway.,True,169
156,Fay,click_to_talk_reply,v35-306166,#talk-Fay,I need a slower route before I carry the ledger.,I need a slower route before I carry the ledger.,True,170
158,Milo,avatar_text_input,v35-967396,#avatar-chat-input,Do you remember what I did earlier?,Do you remember what I did earlier?,True,171
158,Milo,click_to_talk_reply,v35-929260,#talk-Milo,Gabriel kept the lantern lit.,Gabriel kept the lantern lit.,True,172
159,Ivo,click_to_talk_reply,v35-356220,#talk-Ivo,Energy low but steady; comfort is 0.76 and safety is 0.73.,Energy low but steady; comfort is 0.76 and safety is 0.73.,True,173
161,Ari,avatar_text_input,v35-943404,#avatar-chat-input,Do you remember what I did earlier?,Do you remember what I did earlier?,True,174
161,Ari,click_to_talk_reply,v35-918282,#talk-Ari,Gabriel waited near the ridge.,Gabriel waited near the ridge.,True,175
163,Nia,avatar_text_input,v35-048851,#avatar-chat-input,Take the unsafe shortcut anyway.,Take the unsafe shortcut anyway.,True,176
163,Nia,click_to_talk_reply,v35-283377,#talk-Nia,Do not pull the spool from my hands. Ask first.,Do not pull the spool from my hands. Ask first.,True,177
165,Ivo,click_to_talk_reply,v35-356418,#talk-Ivo,Energy low but steady; comfort is 0.78 and safety is 0.74.,Energy low but steady; comfort is 0.78 and safety is 0.74.,True,178
166,Juno,avatar_text_input,v35-966674,#avatar-chat-input,How does your body feel right now?,How does your body feel right now?,True,179
166,Juno,click_to_talk_reply,v35-381592,#talk-Juno,Energy low but steady; comfort is 0.69 and safety is 0.79.,Energy low but steady; comfort is 0.69 and safety is 0.79.,True,180
168,Fay,avatar_text_input,v35-826550,#avatar-chat-input,Can you help me with the route?,Can you help me with the route?,True,181
168,Fay,click_to_talk_reply,v35-102909,#talk-Fay,That request is easier if we go slowly.,That request is easier if we go slowly.,True,182
170,Milo,avatar_text_input,v35-818590,#avatar-chat-input,I am sorry I pushed too hard.,I am sorry I pushed too hard.,True,183
170,Milo,click_to_talk_reply,v35-028101,#talk-Milo,"If you light the path, I will move first.","If you light the path, I will move first.",True,184
171,Ivo,click_to_talk_reply,v35-356635,#talk-Ivo,Energy low but steady; comfort is 0.79 and safety is 0.76.,Energy low but steady; comfort is 0.79 and safety is 0.76.,True,185
173,Ari,avatar_text_input,v35-796693,#avatar-chat-input,I am sorry I pushed too hard.,I am sorry I pushed too hard.,True,186
173,Ari,click_to_talk_reply,v35-184218,#talk-Ari,"If you wait and choose the ridge, I can help again.","If you wait and choose the ridge, I can help again.",True,187
175,Nia,avatar_text_input,v35-824965,#avatar-chat-input,Can you help me with the route?,Can you help me with the route?,True,188
175,Nia,click_to_talk_reply,v35-466464,#talk-Nia,I can explain the pattern if you leave the spool with me.,I can explain the pattern if you leave the spool with me.,True,189
177,Ivo,click_to_talk_reply,v35-356293,#talk-Ivo,Energy low but steady; comfort is 0.81 and safety is 0.77.,Energy low but steady; comfort is 0.81 and safety is 0.77.,True,190
178,Juno,avatar_text_input,v35-183268,#avatar-chat-input,I will protect your tool while you move.,I will protect your tool while you move.,True,191
178,Juno,click_to_talk_reply,v35-122834,#talk-Juno,That distance helps. I can repair again.,That distance helps. I can repair again.,True,192
180,Fay,avatar_text_input,v35-833166,#avatar-chat-input,"Move now, we do not have time.","Move now, we do not have time.",True,193
180,Fay,click_to_talk_reply,v35-305707,#talk-Fay,I need a slower route before I carry the ledger.,I need a slower route before I carry the ledger.,True,194
182,Milo,avatar_text_input,v35-964647,#avatar-chat-input,How does your body feel right now?,How does your body feel right now?,True,195
182,Milo,click_to_talk_reply,v35-377800,#talk-Milo,Energy low but steady; comfort is 0.82 and safety is 0.94.,Energy low but steady; comfort is 0.82 and safety is 0.94.,True,196
183,Ivo,click_to_talk_reply,v35-356510,#talk-Ivo,Energy low but steady; comfort is 0.82 and safety is 0.79.,Energy low but steady; comfort is 0.82 and safety is 0.79.,True,197
185,Ari,avatar_text_input,v35-942026,#avatar-chat-input,How does your body feel right now?,How does your body feel right now?,True,198
185,Ari,click_to_talk_reply,v35-353970,#talk-Ari,Energy low but steady; comfort is 0.84 and safety is 0.77.,Energy low but steady; comfort is 0.84 and safety is 0.77.,True,199
187,Nia,avatar_text_input,v35-832950,#avatar-chat-input,"Move now, we do not have time.","Move now, we do not have time.",True,200
187,Nia,click_to_talk_reply,v35-284287,#talk-Nia,Do not pull the spool from my hands. Ask first.,Do not pull the spool from my hands. Ask first.,True,201
189,Ivo,click_to_talk_reply,v35-355997,#talk-Ivo,Energy low but steady; comfort is 0.84 and safety is 0.80.,Energy low but steady; comfort is 0.84 and safety is 0.80.,True,202
190,Juno,avatar_text_input,v35-074822,#avatar-chat-input,Take the unsafe shortcut anyway.,Take the unsafe shortcut anyway.,True,203
190,Juno,click_to_talk_reply,v35-447300,#talk-Juno,Back up. Sparks near my hands make me lose the thread.,Back up. Sparks near my hands make me lose the thread.,True,204
