tick_id,route_id,replay_event,event_payload_hash,replay_exportable,dom_selector,expected_state_after,observed_state_after,deterministic_order
12,riverbend_roofward,animation_play,v34-751178,True,#anim-riverbend_roofward-play,playing,playing,28
12,riverbend_roofward,visible_body_reaction,v34-178177,True,#body-reaction-riverbend_roofward,"Ari shakes water from sleeves, then leans closer","Ari shakes water from sleeves, then leans closer",29
12,riverbend_roofward,delayed_followup_dialogue,v34-422755,True,#followup-riverbend_roofward,I noticed you chose the dry ridge. I can keep carrying the kit.,I noticed you chose the dry ridge. I can keep carrying the kit.,30
13,roofward_archive,delayed_followup_dialogue,v34-461796,True,#followup-roofward_archive,The warm lane helped. I remember you waited instead of rushing me.,The warm lane helped. I remember you waited instead of rushing me.,31
13,roofward_archive,paste_import_snapshot,v34-310013,True,#snapshot-paste-box,imported:roofward_archive:d2:t1,imported:roofward_archive:d2:t1,32
14,archive_signal,merge_detour,v34-864289,True,#merge-archive_signal,stone kiosk path,stone kiosk path,33
14,archive_signal,visible_body_reaction,v34-053487,True,#body-reaction-archive_signal,"Nia blinks twice, then points toward the kiosk","Nia blinks twice, then points toward the kiosk",34
14,archive_signal,delayed_followup_dialogue,v34-329324,True,#followup-archive_signal,That path kept the spool clean. I can explain the pattern now.,That path kept the spool clean. I can explain the pattern now.,35
15,signal_orchard,animation_pause,v34-670982,True,#anim-signal_orchard-pause,paused,paused,36
15,signal_orchard,visible_body_reaction,v34-065147,True,#body-reaction-signal_orchard,Milo lifts the lantern and scans the path twice,Milo lifts the lantern and scans the path twice,37
15,signal_orchard,delayed_followup_dialogue,v34-501425,True,#followup-signal_orchard,The loop gave us light. I trust that more than the short road tonight.,The loop gave us light. I trust that more than the short road tonight.,38
16,orchard_riverbend,export_snapshot,v34-223485,True,#snapshot-export-box,snapshot:orchard_riverbend:d2:t4,snapshot:orchard_riverbend:d2:t4,39
17,central_repair_ring,rollback_direct,v34-999386,True,#rollback-central_repair_ring,inner repair yard,inner repair yard,40
17,central_repair_ring,visible_body_reaction,v34-122304,True,#body-reaction-central_repair_ring,"Juno covers the wire, exhales, then nods once","Juno covers the wire, exhales, then nods once",41
18,riverbend_roofward,animation_play,v34-751976,True,#anim-riverbend_roofward-play,playing,playing,42
18,riverbend_roofward,visible_body_reaction,v34-178975,True,#body-reaction-riverbend_roofward,"Ari shakes water from sleeves, then leans closer","Ari shakes water from sleeves, then leans closer",43
18,riverbend_roofward,delayed_followup_dialogue,v34-423553,True,#followup-riverbend_roofward,I noticed you chose the dry ridge. I can keep carrying the kit.,I noticed you chose the dry ridge. I can keep carrying the kit.,44
19,roofward_archive,export_snapshot,v34-185523,True,#snapshot-export-box,snapshot:roofward_archive:d2:t7,snapshot:roofward_archive:d2:t7,45
20,archive_signal,merge_detour,v34-864079,True,#merge-archive_signal,stone kiosk path,stone kiosk path,46
20,archive_signal,visible_body_reaction,v34-053087,True,#body-reaction-archive_signal,"Nia blinks twice, then points toward the kiosk","Nia blinks twice, then points toward the kiosk",47
20,archive_signal,delayed_followup_dialogue,v34-328924,True,#followup-archive_signal,That path kept the spool clean. I can explain the pattern now.,That path kept the spool clean. I can explain the pattern now.,48
21,signal_orchard,animation_pause,v34-670582,True,#anim-signal_orchard-pause,paused,paused,49
21,signal_orchard,visible_body_reaction,v34-064747,True,#body-reaction-signal_orchard,Milo lifts the lantern and scans the path twice,Milo lifts the lantern and scans the path twice,50
21,signal_orchard,delayed_followup_dialogue,v34-501025,True,#followup-signal_orchard,The loop gave us light. I trust that more than the short road tonight.,The loop gave us light. I trust that more than the short road tonight.,51
22,orchard_riverbend,paste_import_snapshot,v34-360460,True,#snapshot-paste-box,imported:orchard_riverbend:d2:t10,imported:orchard_riverbend:d2:t10,52
23,central_repair_ring,delayed_followup_dialogue,v34-548245,True,#followup-central_repair_ring,The outer path gave me room. I can finish the wire without shaking.,The outer path gave me room. I can finish the wire without shaking.,53
24,riverbend_roofward,animation_play,v34-751576,True,#anim-riverbend_roofward-play,playing,playing,54
24,riverbend_roofward,visible_body_reaction,v34-178575,True,#body-reaction-riverbend_roofward,"Ari shakes water from sleeves, then leans closer","Ari shakes water from sleeves, then leans closer",55
24,riverbend_roofward,delayed_followup_dialogue,v34-423153,True,#followup-riverbend_roofward,I noticed you chose the dry ridge. I can keep carrying the kit.,I noticed you chose the dry ridge. I can keep carrying the kit.,56
25,roofward_archive,paste_import_snapshot,v34-310617,True,#snapshot-paste-box,imported:roofward_archive:d3:t1,imported:roofward_archive:d3:t1,57
26,archive_signal,merge_detour,v34-865067,True,#merge-archive_signal,stone kiosk path,stone kiosk path,58
26,archive_signal,visible_body_reaction,v34-053885,True,#body-reaction-archive_signal,"Nia blinks twice, then points toward the kiosk","Nia blinks twice, then points toward the kiosk",59
26,archive_signal,delayed_followup_dialogue,v34-329722,True,#followup-archive_signal,That path kept the spool clean. I can explain the pattern now.,That path kept the spool clean. I can explain the pattern now.,60
27,signal_orchard,animation_pause,v34-671380,True,#anim-signal_orchard-pause,paused,paused,61
27,signal_orchard,visible_body_reaction,v34-065545,True,#body-reaction-signal_orchard,Milo lifts the lantern and scans the path twice,Milo lifts the lantern and scans the path twice,62
27,signal_orchard,delayed_followup_dialogue,v34-501823,True,#followup-signal_orchard,The loop gave us light. I trust that more than the short road tonight.,The loop gave us light. I trust that more than the short road tonight.,63
28,orchard_riverbend,export_snapshot,v34-224085,True,#snapshot-export-box,snapshot:orchard_riverbend:d3:t4,snapshot:orchard_riverbend:d3:t4,64
29,central_repair_ring,rollback_direct,v34-999981,True,#rollback-central_repair_ring,inner repair yard,inner repair yard,65
29,central_repair_ring,visible_body_reaction,v34-122702,True,#body-reaction-central_repair_ring,"Juno covers the wire, exhales, then nods once","Juno covers the wire, exhales, then nods once",66
30,riverbend_roofward,animation_play,v34-751176,True,#anim-riverbend_roofward-play,playing,playing,67
30,riverbend_roofward,visible_body_reaction,v34-178175,True,#body-reaction-riverbend_roofward,"Ari shakes water from sleeves, then leans closer","Ari shakes water from sleeves, then leans closer",68
30,riverbend_roofward,delayed_followup_dialogue,v34-422753,True,#followup-riverbend_roofward,I noticed you chose the dry ridge. I can keep carrying the kit.,I noticed you chose the dry ridge. I can keep carrying the kit.,69
31,roofward_archive,export_snapshot,v34-184923,True,#snapshot-export-box,snapshot:roofward_archive:d3:t7,snapshot:roofward_archive:d3:t7,70
32,archive_signal,merge_detour,v34-864857,True,#merge-archive_signal,stone kiosk path,stone kiosk path,71
32,archive_signal,visible_body_reaction,v34-053485,True,#body-reaction-archive_signal,"Nia blinks twice, then points toward the kiosk","Nia blinks twice, then points toward the kiosk",72
32,archive_signal,delayed_followup_dialogue,v34-329322,True,#followup-archive_signal,That path kept the spool clean. I can explain the pattern now.,That path kept the spool clean. I can explain the pattern now.,73
33,signal_orchard,animation_pause,v34-670980,True,#anim-signal_orchard-pause,paused,paused,74
33,signal_orchard,visible_body_reaction,v34-065145,True,#body-reaction-signal_orchard,Milo lifts the lantern and scans the path twice,Milo lifts the lantern and scans the path twice,75
33,signal_orchard,delayed_followup_dialogue,v34-501423,True,#followup-signal_orchard,The loop gave us light. I trust that more than the short road tonight.,The loop gave us light. I trust that more than the short road tonight.,76
34,orchard_riverbend,paste_import_snapshot,v34-361066,True,#snapshot-paste-box,imported:orchard_riverbend:d3:t10,imported:orchard_riverbend:d3:t10,77
35,central_repair_ring,delayed_followup_dialogue,v34-264203,True,#followup-central_repair_ring,Back up. Sparks near my hands make me lose the thread.,Back up. Sparks near my hands make me lose the thread.,78
36,riverbend_roofward,animation_play,v34-751974,True,#anim-riverbend_roofward-play,playing,playing,79
36,riverbend_roofward,visible_body_reaction,v34-178973,True,#body-reaction-riverbend_roofward,"Ari shakes water from sleeves, then leans closer","Ari shakes water from sleeves, then leans closer",80
36,riverbend_roofward,delayed_followup_dialogue,v34-423551,True,#followup-riverbend_roofward,I noticed you chose the dry ridge. I can keep carrying the kit.,I noticed you chose the dry ridge. I can keep carrying the kit.,81
37,roofward_archive,paste_import_snapshot,v34-311221,True,#snapshot-paste-box,imported:roofward_archive:d4:t1,imported:roofward_archive:d4:t1,82
38,archive_signal,merge_detour,v34-865845,True,#merge-archive_signal,stone kiosk path,stone kiosk path,83
38,archive_signal,visible_body_reaction,v34-054283,True,#body-reaction-archive_signal,"Nia blinks twice, then points toward the kiosk","Nia blinks twice, then points toward the kiosk",84
38,archive_signal,delayed_followup_dialogue,v34-330120,True,#followup-archive_signal,That path kept the spool clean. I can explain the pattern now.,That path kept the spool clean. I can explain the pattern now.,85
39,signal_orchard,animation_pause,v34-671778,True,#anim-signal_orchard-pause,paused,paused,86
39,signal_orchard,visible_body_reaction,v34-065943,True,#body-reaction-signal_orchard,Milo lifts the lantern and scans the path twice,Milo lifts the lantern and scans the path twice,87
39,signal_orchard,delayed_followup_dialogue,v34-502221,True,#followup-signal_orchard,The loop gave us light. I trust that more than the short road tonight.,The loop gave us light. I trust that more than the short road tonight.,88
40,orchard_riverbend,export_snapshot,v34-223487,True,#snapshot-export-box,snapshot:orchard_riverbend:d4:t4,snapshot:orchard_riverbend:d4:t4,89
41,central_repair_ring,rollback_direct,v34-999378,True,#rollback-central_repair_ring,inner repair yard,inner repair yard,90
41,central_repair_ring,visible_body_reaction,v34-121902,True,#body-reaction-central_repair_ring,"Juno covers the wire, exhales, then nods once","Juno covers the wire, exhales, then nods once",91
42,riverbend_roofward,animation_play,v34-751574,True,#anim-riverbend_roofward-play,playing,playing,92
42,riverbend_roofward,visible_body_reaction,v34-178573,True,#body-reaction-riverbend_roofward,"Ari shakes water from sleeves, then leans closer","Ari shakes water from sleeves, then leans closer",93
42,riverbend_roofward,delayed_followup_dialogue,v34-423151,True,#followup-riverbend_roofward,I noticed you chose the dry ridge. I can keep carrying the kit.,I noticed you chose the dry ridge. I can keep carrying the kit.,94
43,roofward_archive,export_snapshot,v34-185521,True,#snapshot-export-box,snapshot:roofward_archive:d4:t7,snapshot:roofward_archive:d4:t7,95
44,archive_signal,merge_detour,v34-865635,True,#merge-archive_signal,stone kiosk path,stone kiosk path,96
44,archive_signal,visible_body_reaction,v34-053883,True,#body-reaction-archive_signal,"Nia blinks twice, then points toward the kiosk","Nia blinks twice, then points toward the kiosk",97
44,archive_signal,delayed_followup_dialogue,v34-329720,True,#followup-archive_signal,That path kept the spool clean. I can explain the pattern now.,That path kept the spool clean. I can explain the pattern now.,98
45,signal_orchard,animation_pause,v34-671378,True,#anim-signal_orchard-pause,paused,paused,99
45,signal_orchard,visible_body_reaction,v34-065543,True,#body-reaction-signal_orchard,Milo lifts the lantern and scans the path twice,Milo lifts the lantern and scans the path twice,100
45,signal_orchard,delayed_followup_dialogue,v34-501821,True,#followup-signal_orchard,The loop gave us light. I trust that more than the short road tonight.,The loop gave us light. I trust that more than the short road tonight.,101
46,orchard_riverbend,paste_import_snapshot,v34-361672,True,#snapshot-paste-box,imported:orchard_riverbend:d4:t10,imported:orchard_riverbend:d4:t10,102
47,central_repair_ring,delayed_followup_dialogue,v34-549041,True,#followup-central_repair_ring,The outer path gave me room. I can finish the wire without shaking.,The outer path gave me room. I can finish the wire without shaking.,103
48,riverbend_roofward,animation_play,v34-752372,True,#anim-riverbend_roofward-play,playing,playing,104
48,riverbend_roofward,visible_body_reaction,v34-179371,True,#body-reaction-riverbend_roofward,"Ari shakes water from sleeves, then leans closer","Ari shakes water from sleeves, then leans closer",105
48,riverbend_roofward,delayed_followup_dialogue,v34-423949,True,#followup-riverbend_roofward,I noticed you chose the dry ridge. I can keep carrying the kit.,I noticed you chose the dry ridge. I can keep carrying the kit.,106
49,roofward_archive,paste_import_snapshot,v34-311825,True,#snapshot-paste-box,imported:roofward_archive:d5:t1,imported:roofward_archive:d5:t1,107
50,archive_signal,merge_detour,v34-872976,True,#merge-archive_signal,stone kiosk path,stone kiosk path,108
50,archive_signal,visible_body_reaction,v34-053483,True,#body-reaction-archive_signal,"Nia blinks twice, then points toward the kiosk","Nia blinks twice, then points toward the kiosk",109
50,archive_signal,delayed_followup_dialogue,v34-329320,True,#followup-archive_signal,That path kept the spool clean. I can explain the pattern now.,That path kept the spool clean. I can explain the pattern now.,110
51,signal_orchard,animation_pause,v34-670978,True,#anim-signal_orchard-pause,paused,paused,111
51,signal_orchard,visible_body_reaction,v34-065143,True,#body-reaction-signal_orchard,Milo lifts the lantern and scans the path twice,Milo lifts the lantern and scans the path twice,112
51,signal_orchard,delayed_followup_dialogue,v34-501421,True,#followup-signal_orchard,The loop gave us light. I trust that more than the short road tonight.,The loop gave us light. I trust that more than the short road tonight.,113
52,orchard_riverbend,export_snapshot,v34-224087,True,#snapshot-export-box,snapshot:orchard_riverbend:d5:t4,snapshot:orchard_riverbend:d5:t4,114
53,central_repair_ring,rollback_direct,v34-999973,True,#rollback-central_repair_ring,inner repair yard,inner repair yard,115
53,central_repair_ring,visible_body_reaction,v34-122300,True,#body-reaction-central_repair_ring,"Juno covers the wire, exhales, then nods once","Juno covers the wire, exhales, then nods once",116
54,riverbend_roofward,animation_play,v34-751972,True,#anim-riverbend_roofward-play,playing,playing,117
54,riverbend_roofward,visible_body_reaction,v34-178971,True,#body-reaction-riverbend_roofward,"Ari shakes water from sleeves, then leans closer","Ari shakes water from sleeves, then leans closer",118
54,riverbend_roofward,delayed_followup_dialogue,v34-423549,True,#followup-riverbend_roofward,I noticed you chose the dry ridge. I can keep carrying the kit.,I noticed you chose the dry ridge. I can keep carrying the kit.,119
55,roofward_archive,export_snapshot,v34-186119,True,#snapshot-export-box,snapshot:roofward_archive:d5:t7,snapshot:roofward_archive:d5:t7,120
56,archive_signal,merge_detour,v34-873965,True,#merge-archive_signal,stone kiosk path,stone kiosk path,121
56,archive_signal,visible_body_reaction,v34-054281,True,#body-reaction-archive_signal,"Nia blinks twice, then points toward the kiosk","Nia blinks twice, then points toward the kiosk",122
56,archive_signal,delayed_followup_dialogue,v34-330118,True,#followup-archive_signal,That path kept the spool clean. I can explain the pattern now.,That path kept the spool clean. I can explain the pattern now.,123
57,signal_orchard,animation_pause,v34-671776,True,#anim-signal_orchard-pause,paused,paused,124
57,signal_orchard,visible_body_reaction,v34-065941,True,#body-reaction-signal_orchard,Milo lifts the lantern and scans the path twice,Milo lifts the lantern and scans the path twice,125
57,signal_orchard,delayed_followup_dialogue,v34-502219,True,#followup-signal_orchard,The loop gave us light. I trust that more than the short road tonight.,The loop gave us light. I trust that more than the short road tonight.,126
58,orchard_riverbend,paste_import_snapshot,v34-354858,True,#snapshot-paste-box,snapshot:orchard_riverbend:d5:t4,snapshot:orchard_riverbend:d5:t4,127
59,central_repair_ring,delayed_followup_dialogue,v34-549439,True,#followup-central_repair_ring,The outer path gave me room. I can finish the wire without shaking.,The outer path gave me room. I can finish the wire without shaking.,128
60,riverbend_roofward,animation_play,v34-751572,True,#anim-riverbend_roofward-play,playing,playing,129
60,riverbend_roofward,visible_body_reaction,v34-178571,True,#body-reaction-riverbend_roofward,"Ari shakes water from sleeves, then leans closer","Ari shakes water from sleeves, then leans closer",130
60,riverbend_roofward,delayed_followup_dialogue,v34-423149,True,#followup-riverbend_roofward,I noticed you chose the dry ridge. I can keep carrying the kit.,I noticed you chose the dry ridge. I can keep carrying the kit.,131
61,roofward_archive,paste_import_snapshot,v34-311231,True,#snapshot-paste-box,imported:roofward_archive:d6:t1,imported:roofward_archive:d6:t1,132
62,archive_signal,merge_detour,v34-873756,True,#merge-archive_signal,stone kiosk path,stone kiosk path,133
62,archive_signal,visible_body_reaction,v34-053881,True,#body-reaction-archive_signal,"Nia blinks twice, then points toward the kiosk","Nia blinks twice, then points toward the kiosk",134
62,archive_signal,delayed_followup_dialogue,v34-329718,True,#followup-archive_signal,That path kept the spool clean. I can explain the pattern now.,That path kept the spool clean. I can explain the pattern now.,135
63,signal_orchard,animation_pause,v34-671376,True,#anim-signal_orchard-pause,paused,paused,136
63,signal_orchard,visible_body_reaction,v34-065541,True,#body-reaction-signal_orchard,Milo lifts the lantern and scans the path twice,Milo lifts the lantern and scans the path twice,137
63,signal_orchard,delayed_followup_dialogue,v34-501819,True,#followup-signal_orchard,The loop gave us light. I trust that more than the short road tonight.,The loop gave us light. I trust that more than the short road tonight.,138
64,orchard_riverbend,export_snapshot,v34-224687,True,#snapshot-export-box,snapshot:orchard_riverbend:d6:t4,snapshot:orchard_riverbend:d6:t4,139
65,central_repair_ring,rollback_direct,v34-000565,True,#rollback-central_repair_ring,inner repair yard,inner repair yard,140
65,central_repair_ring,visible_body_reaction,v34-122698,True,#body-reaction-central_repair_ring,"Juno covers the wire, exhales, then nods once","Juno covers the wire, exhales, then nods once",141
66,riverbend_roofward,animation_play,v34-752370,True,#anim-riverbend_roofward-play,playing,playing,142
66,riverbend_roofward,visible_body_reaction,v34-179369,True,#body-reaction-riverbend_roofward,"Ari shakes water from sleeves, then leans closer","Ari shakes water from sleeves, then leans closer",143
66,riverbend_roofward,delayed_followup_dialogue,v34-423947,True,#followup-riverbend_roofward,I noticed you chose the dry ridge. I can keep carrying the kit.,I noticed you chose the dry ridge. I can keep carrying the kit.,144
67,roofward_archive,export_snapshot,v34-186717,True,#snapshot-export-box,snapshot:roofward_archive:d6:t7,snapshot:roofward_archive:d6:t7,145
68,archive_signal,merge_detour,v34-874745,True,#merge-archive_signal,stone kiosk path,stone kiosk path,146
68,archive_signal,visible_body_reaction,v34-054679,True,#body-reaction-archive_signal,"Nia blinks twice, then points toward the kiosk","Nia blinks twice, then points toward the kiosk",147
68,archive_signal,delayed_followup_dialogue,v34-330516,True,#followup-archive_signal,That path kept the spool clean. I can explain the pattern now.,That path kept the spool clean. I can explain the pattern now.,148
69,signal_orchard,animation_pause,v34-672174,True,#anim-signal_orchard-pause,paused,paused,149
69,signal_orchard,visible_body_reaction,v34-066339,True,#body-reaction-signal_orchard,Milo lifts the lantern and scans the path twice,Milo lifts the lantern and scans the path twice,150
69,signal_orchard,delayed_followup_dialogue,v34-502617,True,#followup-signal_orchard,The loop gave us light. I trust that more than the short road tonight.,The loop gave us light. I trust that more than the short road tonight.,151
70,orchard_riverbend,paste_import_snapshot,v34-361686,True,#snapshot-paste-box,imported:orchard_riverbend:d6:t10,imported:orchard_riverbend:d6:t10,152
71,central_repair_ring,delayed_followup_dialogue,v34-264199,True,#followup-central_repair_ring,Back up. Sparks near my hands make me lose the thread.,Back up. Sparks near my hands make me lose the thread.,153
72,riverbend_roofward,animation_play,v34-751970,True,#anim-riverbend_roofward-play,playing,playing,154
72,riverbend_roofward,visible_body_reaction,v34-178969,True,#body-reaction-riverbend_roofward,"Ari shakes water from sleeves, then leans closer","Ari shakes water from sleeves, then leans closer",155
72,riverbend_roofward,delayed_followup_dialogue,v34-423547,True,#followup-riverbend_roofward,I noticed you chose the dry ridge. I can keep carrying the kit.,I noticed you chose the dry ridge. I can keep carrying the kit.,156
73,roofward_archive,paste_import_snapshot,v34-311835,True,#snapshot-paste-box,imported:roofward_archive:d7:t1,imported:roofward_archive:d7:t1,157
74,archive_signal,merge_detour,v34-874536,True,#merge-archive_signal,stone kiosk path,stone kiosk path,158
74,archive_signal,visible_body_reaction,v34-054279,True,#body-reaction-archive_signal,"Nia blinks twice, then points toward the kiosk","Nia blinks twice, then points toward the kiosk",159
74,archive_signal,delayed_followup_dialogue,v34-330116,True,#followup-archive_signal,That path kept the spool clean. I can explain the pattern now.,That path kept the spool clean. I can explain the pattern now.,160
75,signal_orchard,animation_pause,v34-671774,True,#anim-signal_orchard-pause,paused,paused,161
75,signal_orchard,visible_body_reaction,v34-065939,True,#body-reaction-signal_orchard,Milo lifts the lantern and scans the path twice,Milo lifts the lantern and scans the path twice,162
75,signal_orchard,delayed_followup_dialogue,v34-502217,True,#followup-signal_orchard,The loop gave us light. I trust that more than the short road tonight.,The loop gave us light. I trust that more than the short road tonight.,163
76,orchard_riverbend,export_snapshot,v34-225287,True,#snapshot-export-box,snapshot:orchard_riverbend:d7:t4,snapshot:orchard_riverbend:d7:t4,164
77,central_repair_ring,rollback_direct,v34-001160,True,#rollback-central_repair_ring,inner repair yard,inner repair yard,165
77,central_repair_ring,visible_body_reaction,v34-123096,True,#body-reaction-central_repair_ring,"Juno covers the wire, exhales, then nods once","Juno covers the wire, exhales, then nods once",166
78,riverbend_roofward,animation_play,v34-752768,True,#anim-riverbend_roofward-play,playing,playing,167
78,riverbend_roofward,visible_body_reaction,v34-179767,True,#body-reaction-riverbend_roofward,"Ari shakes water from sleeves, then leans closer","Ari shakes water from sleeves, then leans closer",168
78,riverbend_roofward,delayed_followup_dialogue,v34-424345,True,#followup-riverbend_roofward,I noticed you chose the dry ridge. I can keep carrying the kit.,I noticed you chose the dry ridge. I can keep carrying the kit.,169
79,roofward_archive,export_snapshot,v34-187315,True,#snapshot-export-box,snapshot:roofward_archive:d7:t7,snapshot:roofward_archive:d7:t7,170
80,archive_signal,merge_detour,v34-874327,True,#merge-archive_signal,stone kiosk path,stone kiosk path,171
80,archive_signal,visible_body_reaction,v34-053879,True,#body-reaction-archive_signal,"Nia blinks twice, then points toward the kiosk","Nia blinks twice, then points toward the kiosk",172
80,archive_signal,delayed_followup_dialogue,v34-329716,True,#followup-archive_signal,That path kept the spool clean. I can explain the pattern now.,That path kept the spool clean. I can explain the pattern now.,173
81,signal_orchard,animation_pause,v34-671374,True,#anim-signal_orchard-pause,paused,paused,174
81,signal_orchard,visible_body_reaction,v34-065539,True,#body-reaction-signal_orchard,Milo lifts the lantern and scans the path twice,Milo lifts the lantern and scans the path twice,175
81,signal_orchard,delayed_followup_dialogue,v34-501817,True,#followup-signal_orchard,The loop gave us light. I trust that more than the short road tonight.,The loop gave us light. I trust that more than the short road tonight.,176
82,orchard_riverbend,paste_import_snapshot,v34-362292,True,#snapshot-paste-box,imported:orchard_riverbend:d7:t10,imported:orchard_riverbend:d7:t10,177
83,central_repair_ring,delayed_followup_dialogue,v34-549037,True,#followup-central_repair_ring,The outer path gave me room. I can finish the wire without shaking.,The outer path gave me room. I can finish the wire without shaking.,178
84,roofward_archive,animation_play,v34-713181,True,#anim-roofward_archive-play,playing,playing,179
84,roofward_archive,visible_body_reaction,v34-153214,True,#body-reaction-roofward_archive,Fay lowers her shoulders and uncurls her fingers,Fay lowers her shoulders and uncurls her fingers,180
85,archive_signal,delayed_followup_dialogue,v34-330381,True,#followup-archive_signal,That path kept the spool clean. I can explain the pattern now.,That path kept the spool clean. I can explain the pattern now.,181
85,archive_signal,paste_import_snapshot,v34-219769,True,#snapshot-paste-box,imported:archive_signal:d8:t1,imported:archive_signal:d8:t1,182
86,signal_orchard,merge_detour,v34-777519,True,#merge-signal_orchard,river lantern loop,river lantern loop,183
86,signal_orchard,visible_body_reaction,v34-066204,True,#body-reaction-signal_orchard,Milo lifts the lantern and scans the path twice,Milo lifts the lantern and scans the path twice,184
86,signal_orchard,delayed_followup_dialogue,v34-502482,True,#followup-signal_orchard,The loop gave us light. I trust that more than the short road tonight.,The loop gave us light. I trust that more than the short road tonight.,185
87,orchard_riverbend,animation_pause,v34-728677,True,#anim-orchard_riverbend-pause,paused,paused,186
87,orchard_riverbend,visible_body_reaction,v34-320545,True,#body-reaction-orchard_riverbend,"Ivo pats the satchel, then moves nearer to the dry planks","Ivo pats the satchel, then moves nearer to the dry planks",187
88,central_repair_ring,export_snapshot,v34-314014,True,#snapshot-export-box,snapshot:central_repair_ring:d8:t4,snapshot:central_repair_ring:d8:t4,188
89,riverbend_roofward,rollback_direct,v34-033209,True,#rollback-riverbend_roofward,low plank crossing,low plank crossing,189
89,riverbend_roofward,visible_body_reaction,v34-180032,True,#body-reaction-riverbend_roofward,"Ari shakes water from sleeves, then leans closer","Ari shakes water from sleeves, then leans closer",190
89,riverbend_roofward,delayed_followup_dialogue,v34-424610,True,#followup-riverbend_roofward,I noticed you chose the dry ridge. I can keep carrying the kit.,I noticed you chose the dry ridge. I can keep carrying the kit.,191
