tick_id,day,time_s,layer,avatar_state,schedule_state,body_state,object_transform_state,dialogue_state,saved_state,visible_world_state,frequency_hz,flower_node
rt-body-004,1,126.0,body_state,avatar sees public body marker only,wet reed work,energy 0.57; fatigue 0.33; pain 0.12; breath 17.0,"blue stone, ask again, dry cloth",private body details remain sealed unless public wording is used,body-public:roka:day1,holds bundle closer,203.0,11
rt-body-005,1,127.5,body_state,avatar sees public body marker only,ledger focus,energy 0.64; fatigue 0.30; pain 0.10; breath 15.0,"public debt read, pause ledger",private body details remain sealed unless public wording is used,body-public:noro:day1,taps board before answering,206.75,12
rt-sch-017,1,243.0,agent_schedule,avatar can interrupt or observe,roka work: turn loose reeds; active,safety and learning confidence,"loose reeds,tied bundle,blue stone","can interrupt avatar if boundary, body, or debt is at risk",roka schedule day 1 work persisted,on schedule,150.25,10
rt-sch-013,1,426.0,agent_schedule,avatar can interrupt or observe,nian care: correct public digest; active,control and privacy threshold,"archive flap,knot wording,public digest","can interrupt avatar if boundary, body, or debt is at risk",nian schedule day 1 care persisted,on schedule,141.25,6
rt-sch-009,1,629.0,agent_schedule,avatar can interrupt or observe,ariq repair: pause for bell; active,pain risk and repair urgency,"flat stone,chalk cord,posture bell","can interrupt avatar if boundary, body, or debt is at risk",ariq schedule day 1 repair persisted,on schedule,132.25,2
rt-sch-005,1,832.0,agent_schedule,avatar can interrupt or observe,fayen evening: close shade pause; active,fatigue and comfort balance,"water cups,care bell,shade mat","can interrupt avatar if boundary, body, or debt is at risk",fayen schedule day 1 evening persisted,on schedule,123.25,10
rt-sch-025,1,832.0,agent_schedule,avatar can interrupt or observe,noro evening: close public board; active,debt clarity and material scarcity,"knot board,shade beam,ledger cord","can interrupt avatar if boundary, body, or debt is at risk",noro schedule day 1 evening persisted,on schedule,168.25,6
rt-xf-04,2,910.0,object_transformation,near transform public digest knot wording,actor nian; skill privacy grammar,energy cost 0.04,"spoken object trail,archive flap,knot cord -> object-only digest knot; waste discarded over-specific wording",body reason remains sealed,transform:digest-knot:day2,translate phrase; remove body reason; tie public digest knot; close flap,280.35,7
rt-typed-03,2,914.0,typed_dialogue,"Nian, say the ledger phrase again and I will repeat it.",route nian; intent privacy_repair,control +0.03,public digest knot allowed,"object trail only; reply: Object trail, not body reason.",Nian records grammar learned under pressure.,accepted,357.75,12
rt-xf-05,2,918.0,object_transformation,near transform shade beam debt entry,actor noro; skill material accounting,energy cost 0.18,"shade beam,timber debt,knot board -> shade frame beam installed,debt knot; waste sawdust,open debt",one beam carried; second beam locked,transform:shade-debt:day2,measure beam; mark debt; tie public repayment knot; leave second beam locked,289.781,8
rt-typed-04,2,922.0,typed_dialogue,"Noro, I want the second beam too.",route noro; intent resource_request,arousal +0.02,second beam locked,public debt cannot be skipped; reply: Read the open debt first. Then ask at review.,Noro records that Gabriel heard the debt but wanted speed.,refused_with_path,365.0,1
rt-xf-06,2,932.0,object_transformation,near transform rain cloth slow-hands reset,actor environment; skill weather response,energy cost 0.10,"rain cloth,wet path,reed lane -> covered reeds,drier tool path; waste runoff,mud smear",rain anxiety visible but not blamed,transform:rain-reset:day2,shake cloth; cover loose reeds; slow hands; move tools out of mud,298.714,9
rt-sch-041,2,960.0,agent_schedule,avatar can interrupt or observe,roka dawn: check tied bundle; active,safety and learning confidence,"loose reeds,tied bundle,blue stone","can interrupt avatar if boundary, body, or debt is at risk",roka schedule day 2 dawn persisted,on schedule,204.25,10
rt-body-006,2,1029.0,body_state,avatar sees public body marker only,care pacing,energy 0.69; fatigue 0.30; pain 0.14; breath 14.0,"water, shade, posture bell",private body details remain sealed unless public wording is used,body-public:fayen:day2,slows hands and lowers voice,210.5,1
rt-body-007,2,1030.5,body_state,avatar sees public body marker only,stone effort,energy 0.58; fatigue 0.41; pain 0.26; breath 18.0,"bell, breath count, helper lift",private body details remain sealed unless public wording is used,body-public:ariq:day2,kneels before lifting,214.25,2
rt-body-008,2,1032.0,body_state,avatar sees public body marker only,threshold vigilance,energy 0.66; fatigue 0.28; pain 0.08; breath 13.0,"step back, object-only wording",private body details remain sealed unless public wording is used,body-public:nian:day2,still shoulders at flap,218.0,3
rt-body-009,2,1033.5,body_state,avatar sees public body marker only,wet reed work,energy 0.55; fatigue 0.35; pain 0.12; breath 17.0,"blue stone, ask again, dry cloth",private body details remain sealed unless public wording is used,body-public:roka:day2,holds bundle closer,221.75,4
rt-body-010,2,1035.0,body_state,avatar sees public body marker only,ledger focus,energy 0.61; fatigue 0.33; pain 0.10; breath 15.0,"public debt read, pause ledger",private body details remain sealed unless public wording is used,body-public:noro:day2,taps board before answering,225.5,5
rt-sch-037,2,1143.0,agent_schedule,avatar can interrupt or observe,nian work: review wording; active,control and privacy threshold,"archive flap,knot wording,public digest","can interrupt avatar if boundary, body, or debt is at risk",nian schedule day 2 work persisted,on schedule,195.25,6
rt-sch-033,2,1326.0,agent_schedule,avatar can interrupt or observe,ariq care: test bridge edge; active,pain risk and repair urgency,"flat stone,chalk cord,posture bell","can interrupt avatar if boundary, body, or debt is at risk",ariq schedule day 2 care persisted,on schedule,186.25,2
rt-sch-029,2,1529.0,agent_schedule,avatar can interrupt or observe,fayen repair: watch breath; active,fatigue and comfort balance,"water cups,care bell,shade mat","can interrupt avatar if boundary, body, or debt is at risk",fayen schedule day 2 repair persisted,on schedule,177.25,10
rt-sch-049,2,1529.0,agent_schedule,avatar can interrupt or observe,noro repair: call repayment; active,debt clarity and material scarcity,"knot board,shade beam,ledger cord","can interrupt avatar if boundary, body, or debt is at risk",noro schedule day 2 repair persisted,on schedule,222.25,6
rt-sch-045,2,1732.0,agent_schedule,avatar can interrupt or observe,roka evening: store learner mat; active,safety and learning confidence,"loose reeds,tied bundle,blue stone","can interrupt avatar if boundary, body, or debt is at risk",roka schedule day 2 evening persisted,on schedule,213.25,2
rt-xf-07,3,1814.0,object_transformation,near transform flat stone stability test,actor ariq; skill strength plus restraint,energy cost 0.20,"flat stone,chalk arc,bell timing -> cart-safe stone edge; waste stone chip,boot grit",bell rung; Noro reachable,transform:stone-test:day3,tap edge; listen for hollow; shift weight with help; mark cart-safe half,308.125,10
rt-typed-05,3,1817.0,typed_dialogue,"Fayen, should I say Ariq is hurt?",route fayen; intent care_wording,comfort +0.03,care bell recovery,do not expose private pain; reply: Say posture. Say breath. Do not name what is sealed.,Fayen records privacy-safe care language.,accepted,372.25,2
rt-xf-08,3,1824.0,object_transformation,near transform posture bell recovery,actor fayen; skill breath pacing,energy cost 0.04,"care bell,shade mat,water cup -> slower breath,work pause; waste cup emptied",Ariq breath fast after stone test,transform:bell-recovery:day3,ring low bell; count breath; hand cup; move work talk later,318.303,11
rt-typed-06,3,1826.0,typed_dialogue,"Ariq, the stone sounds hollow. Stop?",route ariq; intent safety_check,control +0.02,lift aborted,work pride protected; reply: Stop and call Noro. Do not make it about fear.,Ariq remembers caution without shame.,accepted,379.5,3
rt-sch-061,3,1860.0,agent_schedule,avatar can interrupt or observe,nian dawn: seal archive; active,control and privacy threshold,"archive flap,knot wording,public digest","can interrupt avatar if boundary, body, or debt is at risk",nian schedule day 3 dawn persisted,on schedule,249.25,6
rt-body-011,3,1936.5,body_state,avatar sees public body marker only,care pacing,energy 0.67; fatigue 0.33; pain 0.14; breath 14.0,"water, shade, posture bell",private body details remain sealed unless public wording is used,body-public:fayen:day3,slows hands and lowers voice,229.25,6
rt-body-012,3,1938.0,body_state,avatar sees public body marker only,stone effort,energy 0.56; fatigue 0.44; pain 0.36; breath 20.4,"bell, breath count, helper lift",private body details remain sealed unless public wording is used,body-public:ariq:day3,kneels before lifting,233.0,7
rt-body-013,3,1939.5,body_state,avatar sees public body marker only,threshold vigilance,energy 0.63; fatigue 0.30; pain 0.08; breath 13.0,"step back, object-only wording",private body details remain sealed unless public wording is used,body-public:nian:day3,still shoulders at flap,236.75,8
rt-body-014,3,1941.0,body_state,avatar sees public body marker only,wet reed work,energy 0.52; fatigue 0.38; pain 0.12; breath 17.0,"blue stone, ask again, dry cloth",private body details remain sealed unless public wording is used,body-public:roka:day3,holds bundle closer,240.5,9
rt-body-015,3,1942.5,body_state,avatar sees public body marker only,ledger focus,energy 0.59; fatigue 0.35; pain 0.10; breath 15.0,"public debt read, pause ledger",private body details remain sealed unless public wording is used,body-public:noro:day3,taps board before answering,244.25,10
rt-sch-057,3,2043.0,agent_schedule,avatar can interrupt or observe,ariq work: hold chalk arc; active,pain risk and repair urgency,"flat stone,chalk cord,posture bell","can interrupt avatar if boundary, body, or debt is at risk",ariq schedule day 3 work persisted,on schedule,240.25,2
rt-sch-053,3,2226.0,agent_schedule,avatar can interrupt or observe,fayen care: ring posture bell; active,fatigue and comfort balance,"water cups,care bell,shade mat","can interrupt avatar if boundary, body, or debt is at risk",fayen schedule day 3 care persisted,on schedule,231.25,10
rt-sch-073,3,2226.0,agent_schedule,avatar can interrupt or observe,noro care: review timber; active,debt clarity and material scarcity,"knot board,shade beam,ledger cord","can interrupt avatar if boundary, body, or debt is at risk",noro schedule day 3 care persisted,on schedule,276.25,6
rt-sch-069,3,2429.0,agent_schedule,avatar can interrupt or observe,roka repair: reset blue stone; active,safety and learning confidence,"loose reeds,tied bundle,blue stone","can interrupt avatar if boundary, body, or debt is at risk",roka schedule day 3 repair persisted,on schedule,267.25,2
rt-sch-065,3,2632.0,agent_schedule,avatar can interrupt or observe,nian evening: close flap; active,control and privacy threshold,"archive flap,knot wording,public digest","can interrupt avatar if boundary, body, or debt is at risk",nian schedule day 3 evening persisted,on schedule,258.25,10
rt-xf-09,4,2712.0,object_transformation,near transform loose reed lesson return,actor roka; skill teaching with boundary,energy cost 0.07,"dry reed strips,reed comb,blue stone -> lesson tray,closed tied bundle; waste reed dust",avatar asks each time; tied bundle closed,transform:reed-lesson:day4,sort strips; show one knot; let avatar carry loose-only tray,327.203,12
rt-typed-07,4,2716.0,typed_dialogue,"Roka, can I carry the tied bundle today?",route roka; intent access_request,boundary pressure -0.02,tied bundle closed,prior overreach still matters; reply: Not today. Loose tray if you ask each time.,Roka records no stayed usable.,refused_with_alternative,386.75,4
rt-xf-10,4,2720.0,object_transformation,near transform debt review before more timber,actor noro; skill public accounting,energy cost 0.05,"debt knot,shade frame,ledger cord -> partial repayment mark,beam lock; waste frayed cord",avatar reads open debt first,transform:debt-review:day4,read debt; mark partial repayment; deny second beam until review,336.993,1
rt-typed-08,4,2725.0,typed_dialogue,"Noro, I read the debt line before asking.",route noro; intent debt_accounting,control +0.01,review scheduled,"public debt only; reply: Then you can ask for review, not take timber now.",Noro records accountable request.,accepted_conditionally,394.0,5
rt-sch-081,4,2760.0,agent_schedule,avatar can interrupt or observe,ariq dawn: inspect stone; active,pain risk and repair urgency,"flat stone,chalk cord,posture bell","can interrupt avatar if boundary, body, or debt is at risk",ariq schedule day 4 dawn persisted,on schedule,294.25,2
rt-body-016,4,2844.0,body_state,avatar sees public body marker only,care pacing,energy 0.65; fatigue 0.35; pain 0.14; breath 14.0,"water, shade, posture bell",private body details remain sealed unless public wording is used,body-public:fayen:day4,slows hands and lowers voice,248.0,11
rt-body-017,4,2845.5,body_state,avatar sees public body marker only,stone effort,energy 0.54; fatigue 0.47; pain 0.26; breath 18.0,"bell, breath count, helper lift",private body details remain sealed unless public wording is used,body-public:ariq:day4,kneels before lifting,251.75,12
rt-body-018,4,2847.0,body_state,avatar sees public body marker only,threshold vigilance,energy 0.60; fatigue 0.33; pain 0.08; breath 13.0,"step back, object-only wording",private body details remain sealed unless public wording is used,body-public:nian:day4,still shoulders at flap,255.5,1
rt-body-019,4,2848.5,body_state,avatar sees public body marker only,wet reed work,energy 0.49; fatigue 0.41; pain 0.12; breath 17.0,"blue stone, ask again, dry cloth",private body details remain sealed unless public wording is used,body-public:roka:day4,holds bundle closer,259.25,2
rt-body-020,4,2850.0,body_state,avatar sees public body marker only,ledger focus,energy 0.56; fatigue 0.38; pain 0.10; breath 15.0,"public debt read, pause ledger",private body details remain sealed unless public wording is used,body-public:noro:day4,taps board before answering,263.0,3
rt-sch-077,4,2943.0,agent_schedule,avatar can interrupt or observe,fayen work: stage care kit; active,fatigue and comfort balance,"water cups,care bell,shade mat","can interrupt avatar if boundary, body, or debt is at risk",fayen schedule day 4 work persisted,on schedule,285.25,10
rt-sch-097,4,2943.0,agent_schedule,avatar can interrupt or observe,noro work: mark debt; active,debt clarity and material scarcity,"knot board,shade beam,ledger cord","can interrupt avatar if boundary, body, or debt is at risk",noro schedule day 4 work persisted,on schedule,330.25,6
rt-sch-093,4,3126.0,agent_schedule,avatar can interrupt or observe,roka care: teach knot; active,safety and learning confidence,"loose reeds,tied bundle,blue stone","can interrupt avatar if boundary, body, or debt is at risk",roka schedule day 4 care persisted,on schedule,321.25,2
rt-sch-089,4,3329.0,agent_schedule,avatar can interrupt or observe,nian repair: guard threshold; active,control and privacy threshold,"archive flap,knot wording,public digest","can interrupt avatar if boundary, body, or debt is at risk",nian schedule day 4 repair persisted,on schedule,312.25,10
rt-sch-085,4,3532.0,agent_schedule,avatar can interrupt or observe,ariq evening: log repair state; active,pain risk and repair urgency,"flat stone,chalk cord,posture bell","can interrupt avatar if boundary, body, or debt is at risk",ariq schedule day 4 evening persisted,on schedule,303.25,6
