tick,event_type,year,actor_or_place,public_fact,private_digest,body_effect,ecology_effect,economy_effect,readable_marker,vibration_hz,flower_phase
12,birth_aging_body_state,491,sena,sena age 31 is adult in cistern-low,sealed:sena:body-workspace-private,energy 0.78; fatigue 0.36; hunger 0.32; cold 0.33; wet 0.25; pain 0.16,life stage drives need and labor capacity,track water-care; household cistern-low,posture and movement speed reflect body cost,131.349917,3
30,illness_care,501,sena,warm face and fatigue after cistern fever scare; recovered=True,sealed:sena:care-water-fever-sena:body-detail,temperature chime + slow gait; action water duty pair covers shift; relapse 0.22,care response changes household labor and rest debt,trust delta +0.03; water steward is not blamed for fever,agent seeks warmth or withdraws from work without public shaming,207.0,7
43,habitat_project,540,west crossing,"raised dry route built from stone, reed mats",sealed:habitat-private-family-displacement,comfort +0.18; safety +0.32; maintenance debt 0.19,weather pressure river flood,labor days 88; rule runner labor counted as care,agents gather under new structure and adjust routes,176.0,5
57,material_economy,560,mat-reed-route,12.0 reed mats from river-bank to west crossing for dry route repair,sealed:exchange-private-need-and-family-detail,scarcity 0.58; fairness 0.78,"materials mediate shelter, care, crops, and tools",debt 0.16; public route ledger; memory runner route debt recorded,agent ties or unties a trade knot at public ledger,311.95,10
3,weather_season,620,weather-dry-620,short dry summer: insect hum; smell warm dust,sealed:weather-private-fear-associations,body cost 0.22,crop effect: grain rises then dries; shelter effect: shade debt grows,weather changes material demand,agents turn shoulders against weather before working,166.0,4
49,agriculture_cycle,620,field-east,"stone grain in short summer: yield 0.74, spoilage 0.22",sealed:crop-private-hunger-details,labor 0.58; water 0.66; sensory dust and warm husk,storage clay bin; link grain-ledger,food yield changes material exchange and hunger pressure,agents smell crop before deciding storage or compost,280.95,2
13,birth_aging_body_state,671,oro,oro age 51 is elder in archive-hill,sealed:oro:body-workspace-private,energy 0.72; fatigue 0.45; hunger 0.37; cold 0.43; wet 0.33; pain 0.24,life stage drives need and labor capacity,track archive-seal; household archive-hill,posture and movement speed reflect body cost,140.080886,4
31,illness_care,676,oro,eye irritation and cough after archive dust season; recovered=False,sealed:oro:care-elder-dust-oro:body-detail,blink rate + breath roughness; action archive flap rest and reed filter; relapse 0.34,care response changes household labor and rest debt,trust delta -0.01; elder private discomfort sealed,agent seeks warmth or withdraws from work without public shaming,208.9,8
14,birth_aging_body_state,787,mira,mira age 7 is child in field-east,sealed:mira:body-workspace-private,energy 0.79; fatigue 0.25; hunger 0.42; cold 0.49; wet 0.13; pain 0.08,life stage drives need and labor capacity,track field-seed; household field-east,posture and movement speed reflect body cost,150.262825,5
32,illness_care,793,mira,small hand cut after seed knife slip; recovered=True,sealed:mira:care-field-cut-mira:body-detail,"pain flinch + hand withdrawal; action wash, wrap, and tool lesson pause; relapse 0.08",care response changes household labor and rest debt,trust delta +0.03; child injury detail sealed,agent seeks warmth or withdraws from work without public shaming,210.8,9
44,habitat_project,900,cistern-low,"reed-charcoal filter hut built from reed, charcoal, clay",sealed:habitat-private-family-displacement,comfort +0.11; safety +0.29; maintenance debt 0.15,weather pressure water sickness scare,labor days 61; rule water shame requires shared duty,agents gather under new structure and adjust routes,203.0,8
58,material_economy,920,mat-charcoal-filter,7.0 charcoal from tool-south to cistern-low for water filter,sealed:exchange-private-need-and-family-detail,scarcity 0.49; fairness 0.81,"materials mediate shelter, care, crops, and tools",debt 0.12; public material ledger; memory water duty returned in labor,agent ties or unties a trade knot at public ledger,313.3,11
15,birth_aging_body_state,958,tov,tov age 18 is apprentice in tool-south,sealed:tov:body-workspace-private,energy 0.77; fatigue 0.43; hunger 0.46; cold 0.18; wet 0.19; pain 0.21,life stage drives need and labor capacity,track tool-repair; household tool-south,posture and movement speed reflect body cost,159.487779,6
37,apprenticeship,958,tov,tov learns bridge repair from Ariem-line mentor,sealed:apprentice-private-effort-and-fear,practice lift stone with knee-safe posture; completion 0.76; risk 0.26,skills bind body practice to ecology and craft,tool/material stone brace; boundary rest debt visible without shame,sets tool down before pain rises,238.75,2
33,illness_care,964,tov,knee pain after bridge kneeling fatigue; recovered=True,sealed:tov:care-repair-knee-tov:body-detail,posture stiffness; action work bench height adjusted; relapse 0.16,care response changes household labor and rest debt,trust delta +0.02; repair pain does not reduce status,agent seeks warmth or withdraws from work without public shaming,212.7,10
4,weather_season,980,weather-wind-980,dust wind: flap snap; smell dust and wax,sealed:weather-private-fear-associations,body cost 0.33,crop effect: herb leaves bruise; shelter effect: archive flap needed,weather changes material demand,agents turn shoulders against weather before working,189.0,6
50,agriculture_cycle,980,clinic-garden,"fever herb in cool spring: yield 0.69, spoilage 0.18",sealed:crop-private-hunger-details,labor 0.37; water 0.51; sensory sharp green smell,storage sealed medicine drawer; link sealed-care-flap,food yield changes material exchange and hunger pressure,agents smell crop before deciding storage or compost,282.5,3
16,birth_aging_body_state,1136,ena,ena age 36 is adult in hearth-south,sealed:ena:body-workspace-private,energy 0.80; fatigue 0.38; hunger 0.22; cold 0.25; wet 0.26; pain 0.18,life stage drives need and labor capacity,track care-ledger; household hearth-south,posture and movement speed reflect body cost,169.192703,7
45,habitat_project,1260,archive-hill,"sealed archive alcove built from wax, cloth, cedar",sealed:habitat-private-family-displacement,comfort +0.09; safety +0.20; maintenance debt 0.11,weather pressure dust wind,labor days 39; rule private care histories stay closed,agents gather under new structure and adjust routes,231.0,11
59,material_economy,1280,mat-wax-flap,5.0 wax seal from market-ring to archive-hill for private archive flap,sealed:exchange-private-need-and-family-detail,scarcity 0.35; fairness 0.88,"materials mediate shelter, care, crops, and tools",debt 0.06; private story contents sealed; memory archive copies trade knot,agent ties or unties a trade knot at public ledger,314.65,12
17,birth_aging_body_state,1324,solen,solen age 64 is elder in cistern-low,sealed:solen:body-workspace-private,energy 0.73; fatigue 0.52; hunger 0.27; cold 0.35; wet 0.34; pain 0.27,life stage drives need and labor capacity,track cistern-rule; household cistern-low,posture and movement speed reflect body cost,177.793585,8
5,weather_season,1340,weather-flood-1340,flood season: river roar; smell mud and reed rot,sealed:weather-private-fear-associations,body cost 0.46,crop effect: beans at risk; shelter effect: raised route saves travel,weather changes material demand,agents turn shoulders against weather before working,211.0,8
51,agriculture_cycle,1340,terrace-west,"ridge beans in wind summer: yield 0.77, spoilage 0.20",sealed:crop-private-hunger-details,labor 0.63; water 0.59; sensory dry pod rattle,storage hanging basket; link child-boundary-song,food yield changes material exchange and hunger pressure,agents smell crop before deciding storage or compost,284.05,4
18,birth_aging_body_state,1438,ariq,ariq age 18 is apprentice in bridge-house,sealed:ariq:body-workspace-private,energy 0.78; fatigue 0.40; hunger 0.32; cold 0.43; wet 0.13; pain 0.12,life stage drives need and labor capacity,track stone-join; household bridge-house,posture and movement speed reflect body cost,187.792355,9
38,apprenticeship,1438,ariq,ariq learns stone joinery from bridge elder,sealed:apprentice-private-effort-and-fear,practice hear hollow joint by tapping; completion 0.88; risk 0.21,skills bind body practice to ecology and craft,tool/material stone mallet; boundary mentor cannot demand hidden pain report,tilts ear to bridge stone,240.5,3
19,birth_aging_body_state,1607,fayen,fayen age 27 is adult in clinic-hearth,sealed:fayen:body-workspace-private,energy 0.76; fatigue 0.35; hunger 0.36; cold 0.49; wet 0.18; pain 0.14,life stage drives need and labor capacity,track medicine-garden; household clinic-hearth,posture and movement speed reflect body cost,196.978048,10
46,habitat_project,1740,field-east,"grain terrace built from stone, compost, water channel",sealed:habitat-private-family-displacement,comfort +0.14; safety +0.23; maintenance debt 0.27,weather pressure dry spring,"labor days 104; rule food ledger public, hunger details sealed",agents gather under new structure and adjust routes,264.0,3
20,birth_aging_body_state,1751,milom,milom age 11 is child in runner-road,sealed:milom:body-workspace-private,energy 0.82; fatigue 0.25; hunger 0.41; cold 0.17; wet 0.27; pain 0.09,life stage drives need and labor capacity,track map-chant; household runner-road,posture and movement speed reflect body cost,206.970909,11
60,material_economy,1760,mat-stone-terrace,18.0 flat stone from bridge-house to field-east for grain terrace,sealed:exchange-private-need-and-family-detail,scarcity 0.66; fairness 0.73,"materials mediate shelter, care, crops, and tools",debt 0.22; public debt visible; memory field feeds bridge workers later,agent ties or unties a trade knot at public ledger,316.0,1
6,weather_season,1780,weather-dark-1780,dark winter: low storm pulse; smell cold clay,sealed:weather-private-fear-associations,body cost 0.52,crop effect: root stores matter; shelter effect: school indoors,weather changes material demand,agents turn shoulders against weather before working,244.0,10
52,agriculture_cycle,1780,field-east,"stone grain in dry spring: yield 0.63, spoilage 0.31",sealed:crop-private-hunger-details,labor 0.66; water 0.78; sensory mold warning smell,storage clay bin and compost watch; link food-ledger,food yield changes material exchange and hunger pressure,agents smell crop before deciding storage or compost,285.6,5
21,birth_aging_body_state,1920,nian,nian age 20 is apprentice in archive-hill,sealed:nian:body-workspace-private,energy 0.75; fatigue 0.41; hunger 0.48; cold 0.25; wet 0.33; pain 0.13,life stage drives need and labor capacity,track boundary-song; household archive-hill,posture and movement speed reflect body cost,215.675915,12
39,apprenticeship,1920,nian,nian learns boundary speech from archive speaker,sealed:apprentice-private-effort-and-fear,practice close flap before private story; completion 0.91; risk 0.09,skills bind body practice to ecology and craft,tool/material wax seal; boundary private stories stay sealed,touches archive flap before speaking,242.25,4
22,birth_aging_body_state,2102,vara,vara age 42 is adult in field-east,sealed:vara:body-workspace-private,energy 0.80; fatigue 0.42; hunger 0.22; cold 0.34; wet 0.12; pain 0.21,life stage drives need and labor capacity,track grain-ledger; household field-east,posture and movement speed reflect body cost,225.556118,1
34,illness_care,2110,vara,nausea cluster after moldy grain store; recovered=False,sealed:vara:care-grain-mold-vara:body-detail,smell avoidance + hunger drop; action grain batch sealed and composted; relapse 0.41,care response changes household labor and rest debt,trust delta -0.02; food illness not moral blame,agent seeks warmth or withdraws from work without public shaming,214.6,11
7,weather_season,2180,weather-storm-2180,storm spring: teaching bell drowned; smell ozone and wet timber,sealed:weather-private-fear-associations,body cost 0.49,crop effect: root bed survives; shelter effect: storm house tested,weather changes material demand,agents turn shoulders against weather before working,277.0,12
53,agriculture_cycle,2180,north root bed,"winter root in dark winter: yield 0.71, spoilage 0.19",sealed:crop-private-hunger-details,labor 0.52; water 0.48; sensory earth and frost,storage cold pit; link warm-stone-near-rest,food yield changes material exchange and hunger pressure,agents smell crop before deciding storage or compost,287.15,6
61,material_economy,2188,mat-herb-clinic,9.0 winter root from clinic-garden to hearth-south for recovery broth,sealed:exchange-private-need-and-family-detail,scarcity 0.51; fairness 0.82,"materials mediate shelter, care, crops, and tools","debt 0.10; public batch, private symptoms sealed; memory hearth dries herbs next season",agent ties or unties a trade knot at public ledger,317.35,2
23,birth_aging_body_state,2287,esh,esh age 67 is elder in tool-south,sealed:esh:body-workspace-private,energy 0.74; fatigue 0.52; hunger 0.26; cold 0.41; wet 0.18; pain 0.29,life stage drives need and labor capacity,track tool-return; household tool-south,posture and movement speed reflect body cost,234.356864,2
24,birth_aging_body_state,2392,roka,roka age 12 is child in river-bank,sealed:roka:body-workspace-private,energy 0.78; fatigue 0.26; hunger 0.33; cold 0.51; wet 0.26; pain 0.08,life stage drives need and labor capacity,track reed-weave; household river-bank,posture and movement speed reflect body cost,244.136196,3
40,apprenticeship,2392,roka,roka learns reed weaving from river weaver,sealed:apprentice-private-effort-and-fear,practice smell dry reed before bending; completion 0.69; risk 0.17,skills bind body practice to ecology and craft,tool/material reed bundle; boundary child can pause when fingers ache,holds reed to nose then shoulder,244.0,5
47,habitat_project,2480,threshold-school,"storm-safe teaching house built from timber, clay, replay glass",sealed:habitat-private-family-displacement,comfort +0.22; safety +0.36; maintenance debt 0.30,weather pressure dark winter storms,labor days 132; rule boundary lessons move indoors during storms,agents gather under new structure and adjust routes,302.0,9
62,material_economy,2488,mat-timber-school,14.0 timber beams from runner-road to threshold-school for storm-safe school,sealed:exchange-private-need-and-family-detail,scarcity 0.61; fairness 0.76,"materials mediate shelter, care, crops, and tools",debt 0.24; public delivery ledger; memory threshold teaches runner children,agent ties or unties a trade knot at public ledger,318.7,3
25,birth_aging_body_state,2561,tali,tali age 21 is adult in weather-tower,sealed:tali:body-workspace-private,energy 0.79; fatigue 0.31; hunger 0.38; cold 0.18; wet 0.34; pain 0.13,life stage drives need and labor capacity,track weather-chime; household weather-tower,posture and movement speed reflect body cost,253.714521,4
8,weather_season,2580,weather-mild-2580,mild autumn: soft rain; smell moss and leaf,sealed:weather-private-fear-associations,body cost 0.18,crop effect: moss harvest strong; shelter effect: maintenance window,weather changes material demand,agents turn shoulders against weather before working,303.0,3
54,agriculture_cycle,2580,hearth roof,"insulation moss in wet autumn: yield 0.83, spoilage 0.12",sealed:crop-private-hunger-details,labor 0.49; water 0.42; sensory rain moss smell,storage roof braid; link warm-alcove,food yield changes material exchange and hunger pressure,agents smell crop before deciding storage or compost,288.7,7
26,birth_aging_body_state,2728,noro,noro age 28 is adult in market-ring,sealed:noro:body-workspace-private,energy 0.80; fatigue 0.32; hunger 0.43; cold 0.26; wet 0.13; pain 0.14,life stage drives need and labor capacity,track trade-knot; household market-ring,posture and movement speed reflect body cost,263.219356,5
63,material_economy,2868,mat-glass-replay,4.0 replay glass from market-ring to threshold-school for avatar briefing wall,sealed:exchange-private-need-and-family-detail,scarcity 0.72; fairness 0.69,"materials mediate shelter, care, crops, and tools",debt 0.31; authorship debt remains noted; memory market receives archive copy rights,agent ties or unties a trade knot at public ledger,320.05,4
27,birth_aging_body_state,2878,savi,savi age 18 is apprentice in threshold-school,sealed:savi:body-workspace-private,energy 0.76; fatigue 0.40; hunger 0.48; cold 0.35; wet 0.19; pain 0.12,life stage drives need and labor capacity,track threshold-brief; household threshold-school,posture and movement speed reflect body cost,272.154465,6
41,apprenticeship,2878,savi,savi learns avatar briefing from threshold warden,sealed:apprentice-private-effort-and-fear,practice recite history while standing outside gate; completion 0.79; risk 0.13,skills bind body practice to ecology and craft,tool/material replay glass; boundary avatar cannot ask private child memories,stands between gate and archive,245.75,6
35,illness_care,2882,savi,cold shock and shaking after threshold storm lesson; recovered=True,sealed:savi:care-storm-chill-savi:body-detail,temperature drop + tremor; action storm lesson moved indoors; relapse 0.14,care response changes household labor and rest debt,trust delta +0.04; threshold learner fear is private,agent seeks warmth or withdraws from work without public shaming,216.5,12
64,late_avatar_entry_protocol,2938,late-avatar-entry-after-embodied-ecology,"Avatar receives public body-ecology, habitat, crop, weather, apprenticeship, and material ledgers before free movement.",sealed:avatar-no-private-body-child-family-workspaces,life records 18/18,weather cycles 9/9,material cycles 8/8; gate True,avatar waits outside the storm school until embodied ecology briefing finishes,333.0,12
9,weather_season,2940,weather-threshold-2940,threshold storm: replay glass rattle; smell wet stone and fear sweat,sealed:weather-private-fear-associations,body cost 0.55,crop effect: calm herb stressed; shelter effect: avatar briefing moves indoors,weather changes material demand,agents turn shoulders against weather before working,333.0,12
55,agriculture_cycle,2940,clinic-garden,"calm herb in storm season: yield 0.67, spoilage 0.28",sealed:crop-private-hunger-details,labor 0.46; water 0.57; sensory bitter leaf,storage sealed medicine drawer; link threshold-school,food yield changes material exchange and hunger pressure,agents smell crop before deciding storage or compost,290.25,8
