tick_id,day,settlement_id,resident_id,task_id,task_type,priority,need_pressure,queue_before,dependencies_met,selected_action,task_started,task_completed,queue_after,blocked_reason,visible_queue_marker
17,2,repair_ring,Pax,task:repair_ring:Pax:2:1,repair_project,1,0.568,3,True,dispatch_task,True,True,1,none,True
18,2,riverbend,Ari,task:riverbend:Ari:2:2,hazard_patrol,2,0.658,4,True,dispatch_task,True,False,3,none,True
19,2,roofward,Sera,task:roofward:Sera:2:3,resource_fetch,4,0.478,2,True,dispatch_task,True,True,0,none,True
20,2,archive,Nia,task:archive:Nia:2:4,repair_project,4,0.568,3,True,dispatch_task,True,True,1,none,True
21,2,signal,Ren,task:signal:Ren:2:5,care_check,5,0.658,4,True,dispatch_task,True,True,2,none,True
22,2,orchard,Ivo,task:orchard:Ivo:2:6,hazard_patrol,1,0.3901,1,True,dispatch_task,True,True,0,none,True
23,2,repair_ring,Pax,task:repair_ring:Pax:2:7,resource_fetch,2,0.568,3,True,dispatch_task,True,True,1,none,True
24,2,riverbend,Ari,task:riverbend:Ari:2:8,care_check,3,0.838,6,True,dispatch_task,True,False,5,none,True
25,2,roofward,Sera,task:roofward:Sera:2:9,hazard_patrol,5,0.388,1,True,dispatch_task,True,True,0,none,True
26,2,archive,Nia,task:archive:Nia:2:10,resource_fetch,5,0.57255,3,True,dispatch_task,True,True,1,none,True
27,2,signal,Ren,task:signal:Ren:2:11,repair_project,1,0.7501,5,True,dispatch_task,True,True,3,none,True
28,2,orchard,Ivo,task:orchard:Ivo:2:12,care_check,2,0.3901,1,True,dispatch_task,True,True,0,none,True
29,2,repair_ring,Pax,task:repair_ring:Pax:2:13,hazard_patrol,3,0.568,3,True,dispatch_task,True,True,2,none,True
30,2,riverbend,Ari,task:riverbend:Ari:2:14,repair_project,4,1.0,8,True,dispatch_task,True,False,7,none,True
31,2,roofward,Sera,task:roofward:Sera:2:15,care_check,1,0.388,1,True,dispatch_task,True,True,0,none,True
32,3,archive,Toma,task:archive:Toma:3:0,rest_window,2,0.5701,3,True,rest_defer,False,False,3,rest chosen before queue dispatch,True
33,3,signal,Milo,task:signal:Milo:3:1,relationship_check,3,0.658,4,True,dispatch_task,True,True,2,none,True
34,3,orchard,Mara,task:orchard:Mara:3:2,craft_project,4,0.7578,5,True,dispatch_task,True,True,3,none,True
35,3,repair_ring,Juno,task:repair_ring:Juno:3:3,dialect_teach,5,0.568,3,True,dispatch_task,True,True,1,none,True
36,3,riverbend,Lio,task:riverbend:Lio:3:4,relationship_check,5,1.0,8,True,dispatch_task,True,False,7,none,True
37,3,roofward,Fay,task:roofward:Fay:3:5,craft_project,1,0.838,6,True,dispatch_task,True,True,4,none,True
38,3,archive,Toma,task:archive:Toma:3:6,dialect_teach,3,0.8317,6,True,dispatch_task,True,True,4,none,True
39,3,signal,Milo,task:signal:Milo:3:7,rest_window,4,0.568,3,True,rest_defer,False,False,3,rest chosen before queue dispatch,True
40,3,orchard,Mara,task:orchard:Mara:3:8,relationship_check,5,0.7578,5,True,dispatch_task,True,True,3,none,True
41,3,repair_ring,Juno,task:repair_ring:Juno:3:9,craft_project,1,0.658,4,True,dispatch_task,True,True,2,none,True
42,3,riverbend,Lio,task:riverbend:Lio:3:10,rest_window,1,1.0,8,True,rest_defer,False,False,8,rest chosen before queue dispatch,True
43,3,roofward,Fay,task:roofward:Fay:3:11,relationship_check,2,0.838,6,True,dispatch_task,True,True,4,none,True
44,3,archive,Toma,task:archive:Toma:3:12,craft_project,4,0.9217,7,True,dispatch_task,True,True,5,none,True
45,3,signal,Milo,task:signal:Milo:3:13,dialect_teach,5,0.658,4,True,dispatch_task,True,True,2,none,True
46,3,orchard,Mara,task:orchard:Mara:3:14,rest_window,1,0.70915,5,True,rest_defer,False,False,5,rest chosen before queue dispatch,True
47,3,repair_ring,Juno,task:repair_ring:Juno:3:15,relationship_check,2,0.748,5,True,dispatch_task,True,True,3,none,True
48,4,riverbend,Ari,task:riverbend:Ari:4:0,hazard_patrol,2,1.0,9,True,dispatch_task,True,False,8,none,True
49,4,roofward,Sera,task:roofward:Sera:4:1,resource_fetch,4,0.5701,3,True,dispatch_task,True,True,1,none,True
50,4,archive,Nia,task:archive:Nia:4:2,repair_project,4,0.48255,2,True,dispatch_task,True,True,0,none,True
51,4,signal,Ren,task:signal:Ren:4:3,care_check,5,0.7501,5,True,dispatch_task,True,True,3,none,True
52,4,orchard,Ivo,task:orchard:Ivo:4:4,hazard_patrol,1,0.5617,3,True,dispatch_task,True,True,1,none,True
53,4,repair_ring,Pax,task:repair_ring:Pax:4:5,resource_fetch,2,0.568,3,True,dispatch_task,True,True,1,none,True
54,4,riverbend,Ari,task:riverbend:Ari:4:6,care_check,3,1.0,9,True,dispatch_task,True,False,8,none,True
55,4,roofward,Sera,task:roofward:Sera:4:7,hazard_patrol,5,0.6601,4,True,dispatch_task,True,True,2,none,True
56,4,archive,Nia,task:archive:Nia:4:8,resource_fetch,5,0.39255,1,True,dispatch_task,True,True,0,none,True
57,4,signal,Ren,task:signal:Ren:4:9,repair_project,1,0.7417,5,True,dispatch_task,True,True,3,none,True
58,4,orchard,Ivo,task:orchard:Ivo:4:10,care_check,2,0.6615,4,True,dispatch_task,True,True,3,none,True
59,4,repair_ring,Pax,task:repair_ring:Pax:4:11,hazard_patrol,3,0.478,2,True,dispatch_task,True,True,0,none,True
60,4,riverbend,Ari,task:riverbend:Ari:4:12,repair_project,4,1.0,9,True,dispatch_task,True,False,8,none,True
61,4,roofward,Sera,task:roofward:Sera:4:13,care_check,1,0.7501,5,True,dispatch_task,True,True,3,none,True
62,4,archive,Nia,task:archive:Nia:4:14,hazard_patrol,1,0.38415,1,True,dispatch_task,True,True,0,none,True
63,4,signal,Ren,task:signal:Ren:4:15,resource_fetch,2,0.7417,5,True,dispatch_task,True,True,3,none,True
64,5,orchard,Mara,task:orchard:Mara:5:0,craft_project,4,0.79915,6,True,dispatch_task,True,True,4,none,True
65,5,repair_ring,Juno,task:repair_ring:Juno:5:1,dialect_teach,5,0.748,5,True,dispatch_task,True,True,3,none,True
66,5,riverbend,Lio,task:riverbend:Lio:5:2,relationship_check,5,1.0,10,True,dispatch_task,True,False,9,none,True
67,5,roofward,Fay,task:roofward:Fay:5:3,craft_project,1,0.748,5,True,dispatch_task,True,True,3,none,True
68,5,archive,Toma,task:archive:Toma:5:4,dialect_teach,3,0.921,7,True,dispatch_task,True,True,5,none,True
69,5,signal,Milo,task:signal:Milo:5:5,rest_window,4,0.748,5,True,rest_defer,False,False,5,rest chosen before queue dispatch,True
70,5,orchard,Mara,task:orchard:Mara:5:6,relationship_check,5,0.70845,5,True,dispatch_task,True,True,3,none,True
71,5,repair_ring,Juno,task:repair_ring:Juno:5:7,craft_project,1,0.748,5,True,dispatch_task,True,True,3,none,True
72,5,riverbend,Lio,task:riverbend:Lio:5:8,rest_window,1,1.0,10,True,rest_defer,False,False,10,rest chosen before queue dispatch,True
73,5,roofward,Fay,task:roofward:Fay:5:9,relationship_check,2,0.658,4,True,dispatch_task,True,True,2,none,True
74,5,archive,Toma,task:archive:Toma:5:10,craft_project,4,0.9126,7,True,dispatch_task,True,True,5,none,True
75,5,signal,Milo,task:signal:Milo:5:11,dialect_teach,5,1.0,8,True,dispatch_task,True,True,6,none,True
76,5,orchard,Mara,task:orchard:Mara:5:12,rest_window,1,0.61845,4,True,rest_defer,False,False,4,rest chosen before queue dispatch,True
77,5,repair_ring,Juno,task:repair_ring:Juno:5:13,relationship_check,2,0.748,5,True,dispatch_task,True,True,3,none,True
78,5,riverbend,Lio,task:riverbend:Lio:5:14,dialect_teach,2,1.0,10,True,dispatch_task,True,False,9,none,True
79,5,roofward,Fay,task:roofward:Fay:5:15,rest_window,3,0.568,3,True,rest_defer,False,False,3,rest chosen before queue dispatch,True
80,6,archive,Nia,task:archive:Nia:6:0,repair_project,4,0.56415,3,True,dispatch_task,True,True,1,none,True
81,6,signal,Ren,task:signal:Ren:6:1,care_check,5,0.6517,4,True,dispatch_task,True,True,2,none,True
82,6,orchard,Ivo,task:orchard:Ivo:6:2,hazard_patrol,1,0.7431,5,True,dispatch_task,True,True,3,none,True
83,6,repair_ring,Pax,task:repair_ring:Pax:6:3,resource_fetch,2,0.568,3,True,dispatch_task,True,True,1,none,True
84,6,riverbend,Ari,task:riverbend:Ari:6:4,care_check,3,0.97005,8,True,dispatch_task,True,False,7,none,True
85,6,roofward,Sera,task:roofward:Sera:6:5,hazard_patrol,5,0.7417,5,True,dispatch_task,True,True,3,none,True
86,6,archive,Nia,task:archive:Nia:6:6,resource_fetch,5,0.6132,4,True,dispatch_task,True,True,2,none,True
87,6,signal,Ren,task:signal:Ren:6:7,repair_project,1,0.5533,3,True,dispatch_task,True,True,2,none,True
88,6,orchard,Ivo,task:orchard:Ivo:6:8,care_check,2,0.7431,5,True,dispatch_task,True,True,3,none,True
89,6,repair_ring,Pax,task:repair_ring:Pax:6:9,hazard_patrol,3,0.658,4,True,dispatch_task,True,True,2,none,True
90,6,riverbend,Ari,task:riverbend:Ari:6:10,repair_project,4,0.96165,8,True,dispatch_task,True,False,7,none,True
91,6,roofward,Sera,task:roofward:Sera:6:11,care_check,1,0.7417,5,True,dispatch_task,True,True,3,none,True
92,6,archive,Nia,task:archive:Nia:6:12,hazard_patrol,1,0.7032,5,True,dispatch_task,True,True,3,none,True
93,6,signal,Ren,task:signal:Ren:6:13,resource_fetch,2,0.5533,3,True,dispatch_task,True,True,1,none,True
94,6,orchard,Ivo,task:orchard:Ivo:6:14,repair_project,3,0.7347,5,True,dispatch_task,True,True,3,none,True
95,6,repair_ring,Pax,task:repair_ring:Pax:6:15,care_check,4,0.748,5,True,dispatch_task,True,True,3,none,True
96,7,riverbend,Lio,task:riverbend:Lio:7:0,relationship_check,5,1.0,9,True,dispatch_task,True,False,8,none,True
97,7,roofward,Fay,task:roofward:Fay:7:1,craft_project,1,0.838,6,True,dispatch_task,True,True,4,none,True
98,7,archive,Toma,task:archive:Toma:7:2,dialect_teach,3,0.8226,6,True,dispatch_task,True,True,4,none,True
99,7,signal,Milo,task:signal:Milo:7:3,rest_window,4,1.0,8,True,rest_defer,False,False,8,rest chosen before queue dispatch,True
100,7,orchard,Mara,task:orchard:Mara:7:4,relationship_check,5,0.88005,7,True,dispatch_task,True,True,5,none,True
101,7,repair_ring,Juno,task:repair_ring:Juno:7:5,craft_project,1,0.658,4,True,dispatch_task,True,True,2,none,True
102,7,riverbend,Lio,task:riverbend:Lio:7:6,rest_window,1,1.0,9,True,rest_defer,False,False,9,rest chosen before queue dispatch,True
103,7,roofward,Fay,task:roofward:Fay:7:7,relationship_check,2,0.928,7,True,dispatch_task,True,True,5,none,True
104,7,archive,Toma,task:archive:Toma:7:8,craft_project,4,0.7326,5,True,dispatch_task,True,True,3,none,True
105,7,signal,Milo,task:signal:Milo:7:9,dialect_teach,5,1.0,9,True,dispatch_task,True,True,7,none,True
106,7,orchard,Mara,task:orchard:Mara:7:10,rest_window,1,0.9214,8,True,rest_defer,False,False,8,rest chosen before queue dispatch,True
107,7,repair_ring,Juno,task:repair_ring:Juno:7:11,relationship_check,2,0.568,3,True,dispatch_task,True,True,1,none,True
108,7,riverbend,Lio,task:riverbend:Lio:7:12,dialect_teach,2,1.0,9,True,dispatch_task,True,False,8,none,True
109,7,roofward,Fay,task:roofward:Fay:7:13,rest_window,3,1.0,8,True,rest_defer,False,False,8,rest chosen before queue dispatch,True
110,7,archive,Toma,task:archive:Toma:7:14,relationship_check,5,0.6524,4,True,dispatch_task,True,True,2,none,True
111,7,signal,Milo,task:signal:Milo:7:15,craft_project,1,1.0,9,True,dispatch_task,True,True,7,none,True
112,8,orchard,Ivo,task:orchard:Ivo:8:0,hazard_patrol,1,0.6447,4,True,dispatch_task,True,True,2,none,True
113,8,repair_ring,Pax,task:repair_ring:Pax:8:1,resource_fetch,2,0.74485,5,True,dispatch_task,True,True,3,none,True
114,8,riverbend,Ari,task:riverbend:Ari:8:2,care_check,3,1.0,10,True,dispatch_task,True,False,9,none,True
115,8,roofward,Sera,task:roofward:Sera:8:3,hazard_patrol,5,0.6433,4,True,dispatch_task,True,True,2,none,True
116,8,archive,Nia,task:archive:Nia:8:4,resource_fetch,5,0.7025,5,True,dispatch_task,True,True,4,none,True
117,8,signal,Ren,task:signal:Ren:8:5,repair_project,1,0.6433,4,True,dispatch_task,True,True,2,none,True
118,8,orchard,Ivo,task:orchard:Ivo:8:6,care_check,2,0.554,3,True,dispatch_task,True,True,1,none,True
119,8,repair_ring,Pax,task:repair_ring:Pax:8:7,hazard_patrol,3,0.74485,5,True,dispatch_task,True,True,3,none,True
120,8,riverbend,Ari,task:riverbend:Ari:8:8,repair_project,4,1.0,10,True,dispatch_task,True,False,9,none,True
121,8,roofward,Sera,task:roofward:Sera:8:9,care_check,1,0.5533,3,True,dispatch_task,True,True,1,none,True
122,8,archive,Nia,task:archive:Nia:8:10,hazard_patrol,1,0.7841,6,True,dispatch_task,True,True,4,none,True
123,8,signal,Ren,task:signal:Ren:8:11,resource_fetch,2,0.7333,5,True,dispatch_task,True,True,3,none,True
124,8,orchard,Ivo,task:orchard:Ivo:8:12,repair_project,3,0.4556,2,True,dispatch_task,True,True,0,none,True
125,8,repair_ring,Pax,task:repair_ring:Pax:8:13,care_check,4,0.74485,5,True,dispatch_task,True,True,3,none,True
126,8,riverbend,Ari,task:riverbend:Ari:8:14,resource_fetch,5,1.0,10,True,dispatch_task,True,False,9,none,True
127,8,roofward,Sera,task:roofward:Sera:8:15,repair_project,2,0.4549,2,True,dispatch_task,True,True,0,none,True
128,9,archive,Toma,task:archive:Toma:9:0,dialect_teach,3,0.7424,5,True,dispatch_task,True,True,3,none,True
129,9,signal,Milo,task:signal:Milo:9:1,rest_window,4,1.0,8,True,rest_defer,False,False,8,rest chosen before queue dispatch,True
130,9,orchard,Mara,task:orchard:Mara:9:2,relationship_check,5,1.0,9,True,dispatch_task,True,True,7,none,True
131,9,repair_ring,Juno,task:repair_ring:Juno:9:3,craft_project,1,0.658,4,True,dispatch_task,True,True,2,none,True
132,9,riverbend,Lio,task:riverbend:Lio:9:4,rest_window,1,0.98055,8,True,rest_defer,False,False,8,rest chosen before queue dispatch,True
133,9,roofward,Fay,task:roofward:Fay:9:5,relationship_check,2,1.0,9,True,dispatch_task,True,True,7,none,True
134,9,archive,Toma,task:archive:Toma:9:6,craft_project,4,0.824,6,True,dispatch_task,True,True,4,none,True
135,9,signal,Milo,task:signal:Milo:9:7,dialect_teach,5,1.0,8,True,dispatch_task,True,True,6,none,True
136,9,orchard,Mara,task:orchard:Mara:9:8,rest_window,1,1.0,9,True,rest_defer,False,False,9,rest chosen before queue dispatch,True
137,9,repair_ring,Juno,task:repair_ring:Juno:9:9,relationship_check,2,0.748,5,True,dispatch_task,True,True,3,none,True
138,9,riverbend,Lio,task:riverbend:Lio:9:10,dialect_teach,2,0.97215,8,True,dispatch_task,True,False,7,none,True
139,9,roofward,Fay,task:roofward:Fay:9:11,rest_window,3,1.0,9,True,rest_defer,False,False,9,rest chosen before queue dispatch,True
140,9,archive,Toma,task:archive:Toma:9:12,relationship_check,5,0.914,7,True,dispatch_task,True,True,5,none,True
141,9,signal,Milo,task:signal:Milo:9:13,craft_project,1,0.928,7,True,dispatch_task,True,True,5,none,True
142,9,orchard,Mara,task:orchard:Mara:9:14,dialect_teach,2,1.0,9,True,dispatch_task,True,True,7,none,True
143,9,repair_ring,Juno,task:repair_ring:Juno:9:15,rest_window,3,0.838,6,True,rest_defer,False,False,6,rest chosen before queue dispatch,True
144,10,roofward,Fay,task:roofward:Fay:10:0,dialect_teach,3,1.0,9,True,dispatch_task,True,False,8,none,True
145,10,archive,Toma,task:archive:Toma:10:1,rest_window,5,0.95535,8,True,rest_defer,False,False,9,rest chosen before queue dispatch,True
146,10,signal,Milo,task:signal:Milo:10:2,relationship_check,1,0.838,6,True,dispatch_task,True,True,4,none,True
147,10,orchard,Mara,task:orchard:Mara:10:3,craft_project,2,1.0,9,True,dispatch_task,True,True,7,none,True
148,10,repair_ring,Juno,task:repair_ring:Juno:10:4,dialect_teach,3,1.0,9,True,dispatch_task,True,True,7,none,True
149,10,riverbend,Lio,task:riverbend:Lio:10:5,relationship_check,3,0.97215,8,True,dispatch_task,True,True,6,none,True
150,10,roofward,Fay,task:roofward:Fay:10:6,craft_project,4,1.0,9,True,dispatch_task,True,False,8,none,True
151,10,archive,Toma,task:archive:Toma:10:7,dialect_teach,1,1.0,10,True,dispatch_task,True,True,8,none,True
152,10,signal,Milo,task:signal:Milo:10:8,rest_window,2,0.748,5,True,rest_defer,False,False,5,rest chosen before queue dispatch,True
153,10,orchard,Mara,task:orchard:Mara:10:9,relationship_check,3,1.0,9,True,dispatch_task,True,True,7,none,True
154,10,repair_ring,Juno,task:repair_ring:Juno:10:10,craft_project,4,1.0,10,True,dispatch_task,True,True,8,none,True
155,10,riverbend,Lio,task:riverbend:Lio:10:11,rest_window,4,0.88215,7,True,rest_defer,False,False,7,rest chosen before queue dispatch,True
156,10,roofward,Fay,task:roofward:Fay:10:12,relationship_check,5,1.0,9,True,dispatch_task,True,False,8,none,True
157,10,archive,Toma,task:archive:Toma:10:13,craft_project,2,1.0,10,True,dispatch_task,True,True,8,none,True
158,10,signal,Milo,task:signal:Milo:10:14,dialect_teach,3,0.8401,6,True,dispatch_task,True,True,4,none,True
159,10,orchard,Mara,task:orchard:Mara:10:15,rest_window,4,1.0,9,True,rest_defer,False,False,9,rest chosen before queue dispatch,True
160,11,repair_ring,Pax,task:repair_ring:Pax:11:0,repair_project,4,0.6062,4,True,dispatch_task,True,True,2,none,True
161,11,riverbend,Ari,task:riverbend:Ari:11:1,hazard_patrol,5,1.0,9,True,dispatch_task,True,True,7,none,True
162,11,roofward,Sera,task:roofward:Sera:11:2,resource_fetch,2,0.5449,3,True,dispatch_task,True,False,2,none,True
163,11,archive,Nia,task:archive:Nia:11:3,repair_project,2,0.6941,5,True,dispatch_task,True,True,3,none,True
164,11,signal,Ren,task:signal:Ren:11:4,care_check,3,0.7333,5,True,dispatch_task,True,True,3,none,True
165,11,orchard,Ivo,task:orchard:Ivo:11:5,hazard_patrol,4,0.5554,3,True,dispatch_task,True,True,1,none,True
166,11,repair_ring,Pax,task:repair_ring:Pax:11:6,resource_fetch,5,0.47525,3,True,dispatch_task,True,True,1,none,True
167,11,riverbend,Ari,task:riverbend:Ari:11:7,care_check,1,1.0,9,True,dispatch_task,True,True,7,none,True
168,11,roofward,Sera,task:roofward:Sera:11:8,hazard_patrol,3,0.7249,5,True,dispatch_task,True,False,4,none,True
169,11,archive,Nia,task:archive:Nia:11:9,resource_fetch,3,0.6041,4,True,dispatch_task,True,True,2,none,True
170,11,signal,Ren,task:signal:Ren:11:10,repair_project,4,0.7249,5,True,dispatch_task,True,True,3,none,True
171,11,orchard,Ivo,task:orchard:Ivo:11:11,care_check,5,0.6454,4,True,dispatch_task,True,True,2,none,True
172,11,repair_ring,Pax,task:repair_ring:Pax:11:12,hazard_patrol,1,0.38525,2,True,dispatch_task,True,True,0,none,True
173,11,riverbend,Ari,task:riverbend:Ari:11:13,repair_project,2,1.0,9,True,dispatch_task,True,True,7,none,True
174,11,roofward,Sera,task:roofward:Sera:11:14,care_check,4,0.9042,7,True,dispatch_task,True,False,7,none,True
175,11,archive,Nia,task:archive:Nia:11:15,hazard_patrol,4,0.5141,3,True,dispatch_task,True,True,1,none,True
176,12,signal,Milo,task:signal:Milo:12:0,relationship_check,1,0.9301,7,True,dispatch_task,True,True,5,none,True
177,12,orchard,Mara,task:orchard:Mara:12:1,craft_project,2,0.92,8,True,dispatch_task,True,True,6,none,True
178,12,repair_ring,Juno,task:repair_ring:Juno:12:2,dialect_teach,3,1.0,9,True,dispatch_task,True,True,7,none,True
179,12,riverbend,Lio,task:riverbend:Lio:12:3,relationship_check,3,1.0,10,True,dispatch_task,True,True,8,none,True
180,12,roofward,Fay,task:roofward:Fay:12:4,craft_project,4,1.0,8,True,dispatch_task,True,False,7,none,True
181,12,archive,Toma,task:archive:Toma:12:5,dialect_teach,1,1.0,9,True,dispatch_task,True,True,7,none,True
182,12,signal,Milo,task:signal:Milo:12:6,rest_window,2,1.0,8,True,rest_defer,False,False,8,rest chosen before queue dispatch,True
183,12,orchard,Mara,task:orchard:Mara:12:7,relationship_check,3,0.83,7,True,dispatch_task,True,True,5,none,True
184,12,repair_ring,Juno,task:repair_ring:Juno:12:8,craft_project,4,1.0,9,True,dispatch_task,True,True,7,none,True
185,12,riverbend,Lio,task:riverbend:Lio:12:9,rest_window,4,1.0,10,True,rest_defer,False,False,10,rest chosen before queue dispatch,True
186,12,roofward,Fay,task:roofward:Fay:12:10,relationship_check,5,0.98125,8,True,dispatch_task,True,False,7,none,True
187,12,archive,Toma,task:archive:Toma:12:11,craft_project,2,1.0,9,True,dispatch_task,True,True,7,none,True
188,12,signal,Milo,task:signal:Milo:12:12,dialect_teach,3,1.0,10,True,dispatch_task,True,True,8,none,True
189,12,orchard,Mara,task:orchard:Mara:12:13,rest_window,4,0.74,6,True,rest_defer,False,False,6,rest chosen before queue dispatch,True
190,12,repair_ring,Juno,task:repair_ring:Juno:12:14,relationship_check,5,1.0,9,True,dispatch_task,True,True,7,none,True
191,12,riverbend,Lio,task:riverbend:Lio:12:15,dialect_teach,5,1.0,10,True,dispatch_task,True,True,8,none,True
192,13,roofward,Sera,task:roofward:Sera:13:0,resource_fetch,2,1.0,9,True,dispatch_task,True,False,8,none,True
193,13,archive,Nia,task:archive:Nia:13:1,repair_project,2,0.6041,4,True,dispatch_task,True,True,2,none,True
194,13,signal,Ren,task:signal:Ren:13:2,care_check,3,0.6349,4,True,dispatch_task,True,True,2,none,True
195,13,orchard,Ivo,task:orchard:Ivo:13:3,hazard_patrol,4,0.637,4,True,dispatch_task,True,True,2,none,True
196,13,repair_ring,Pax,task:repair_ring:Pax:13:4,resource_fetch,5,0.47455,3,True,dispatch_task,True,True,1,none,True
197,13,riverbend,Ari,task:riverbend:Ari:13:5,care_check,1,0.9221,8,True,dispatch_task,True,True,6,none,True
198,13,roofward,Sera,task:roofward:Sera:13:6,hazard_patrol,3,1.0,9,True,dispatch_task,True,False,8,none,True
199,13,archive,Nia,task:archive:Nia:13:7,resource_fetch,3,0.6941,5,True,dispatch_task,True,True,3,none,True
200,13,signal,Ren,task:signal:Ren:13:8,repair_project,4,0.5365,3,True,dispatch_task,True,True,1,none,True
201,13,orchard,Ivo,task:orchard:Ivo:13:9,care_check,5,0.637,4,True,dispatch_task,True,True,2,none,True
202,13,repair_ring,Pax,task:repair_ring:Pax:13:10,hazard_patrol,1,0.56,4,True,dispatch_task,True,True,2,none,True
203,13,riverbend,Ari,task:riverbend:Ari:13:11,repair_project,2,0.83,7,True,dispatch_task,True,True,6,none,True
204,13,roofward,Sera,task:roofward:Sera:13:12,care_check,4,1.0,9,True,dispatch_task,True,False,8,none,True
205,13,archive,Nia,task:archive:Nia:13:13,hazard_patrol,4,0.7841,6,True,dispatch_task,True,True,4,none,True
206,13,signal,Ren,task:signal:Ren:13:14,resource_fetch,5,0.40555,2,True,dispatch_task,True,True,0,none,True
207,13,orchard,Ivo,task:orchard:Ivo:13:15,repair_project,1,0.6286,4,True,dispatch_task,True,True,2,none,True
208,14,repair_ring,Juno,task:repair_ring:Juno:14:0,dialect_teach,3,1.0,8,True,dispatch_task,True,True,6,none,True
209,14,riverbend,Lio,task:riverbend:Lio:14:1,relationship_check,3,1.0,9,True,dispatch_task,True,True,7,none,True
210,14,roofward,Fay,task:roofward:Fay:14:2,craft_project,4,1.0,10,True,dispatch_task,True,False,9,none,True
211,14,archive,Toma,task:archive:Toma:14:3,dialect_teach,1,0.95535,8,True,dispatch_task,True,True,6,none,True
212,14,signal,Milo,task:signal:Milo:14:4,rest_window,2,1.0,9,True,rest_defer,False,False,9,rest chosen before queue dispatch,True
213,14,orchard,Mara,task:orchard:Mara:14:5,relationship_check,3,1.0,9,True,dispatch_task,True,True,7,none,True
214,14,repair_ring,Juno,task:repair_ring:Juno:14:6,craft_project,4,0.9315,7,True,dispatch_task,True,True,5,none,True
215,14,riverbend,Lio,task:riverbend:Lio:14:7,rest_window,4,1.0,9,True,rest_defer,False,False,9,rest chosen before queue dispatch,True
216,14,roofward,Fay,task:roofward:Fay:14:8,relationship_check,5,1.0,10,True,dispatch_task,True,False,9,none,True
217,14,archive,Toma,task:archive:Toma:14:9,craft_project,2,0.86535,7,True,dispatch_task,True,True,5,none,True
218,14,signal,Milo,task:signal:Milo:14:10,dialect_teach,3,1.0,9,True,dispatch_task,True,True,7,none,True
219,14,orchard,Mara,task:orchard:Mara:14:11,rest_window,4,1.0,10,True,rest_defer,False,False,10,rest chosen before queue dispatch,True
220,14,repair_ring,Juno,task:repair_ring:Juno:14:12,relationship_check,5,0.8415,6,True,dispatch_task,True,True,4,none,True
221,14,riverbend,Lio,task:riverbend:Lio:14:13,dialect_teach,5,1.0,9,True,dispatch_task,True,True,7,none,True
222,14,roofward,Fay,task:roofward:Fay:14:14,rest_window,1,1.0,10,True,rest_defer,False,False,10,rest chosen before queue dispatch,True
223,14,archive,Toma,task:archive:Toma:14:15,relationship_check,3,0.77535,6,True,dispatch_task,True,True,4,none,True
224,15,signal,Ren,task:signal:Ren:15:0,care_check,3,0.49555,3,True,dispatch_task,True,True,1,none,True
225,15,orchard,Ivo,task:orchard:Ivo:15:1,hazard_patrol,4,0.5386,3,True,dispatch_task,True,True,1,none,True
