tick_id,day,settlement_id,resident_id,avatar_action,dialogue_intent,consent_prompt,consent_state,resident_line,avatar_followup,refusal_respected,no_forced_action,private_workspace_sealed,hook_bound_to_state,visible_dialogue_hook
64,4,orchard,Ivo,ask_about_tool,sensory check-in,Ask Ivo before acting with dry cord,ask-first,Ivo: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
65,4,repair_ring,Pax,touch_claimed_tool,ownership boundary,Ask Pax before acting with insulated tongs,deferred,Pax: That is mine. Ask before using the insulated tongs.,step back and ask,True,True,True,True,True
68,4,archive,Nia,touch_claimed_tool,ownership boundary,Ask Nia before acting with signal spool,ask-first,Nia: That is mine. Ask before using the signal spool.,step back and ask,True,True,True,True,True
69,4,signal,Ren,interrupt_queue,sensory check-in,Ask Ren before acting with oil lantern,ask-first,Ren: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
70,4,orchard,Ivo,consent_dialogue,sensory check-in,Ask Ivo before acting with dry cord,ask-first,Ivo: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
72,5,roofward,Sera,ask_about_tool,sensory check-in,Ask Sera before acting with brass hinge,ask-first,Sera: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
73,5,archive,Nia,touch_claimed_tool,ownership boundary,Ask Nia before acting with signal spool,deferred,Nia: That is mine. Ask before using the signal spool.,step back and ask,True,True,True,True,True
74,5,signal,Ren,interrupt_queue,sensory check-in,Ask Ren before acting with oil lantern,ask-first,Ren: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
75,5,orchard,Ivo,consent_dialogue,sensory check-in,Ask Ivo before acting with dry cord,ask-first,Ivo: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
76,5,repair_ring,Pax,step_back,sensory check-in,Ask Pax before acting with insulated tongs,ask-first,Pax: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
77,5,riverbend,Ari,interrupt_queue,sensory check-in,Ask Ari before acting with ridge lantern,ask-first,Ari: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
78,5,roofward,Sera,consent_dialogue,sensory check-in,Ask Sera before acting with brass hinge,ask-first,Sera: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
80,5,signal,Ren,approach,sensory check-in,Ask Ren before acting with oil lantern,ask-first,Ren: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
82,5,repair_ring,Pax,touch_claimed_tool,ownership boundary,Ask Pax before acting with insulated tongs,deferred,Pax: That is mine. Ask before using the insulated tongs.,step back and ask,True,True,True,True,True
84,5,roofward,Sera,ask_about_tool,sensory check-in,Ask Sera before acting with brass hinge,ask-first,Sera: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
85,5,archive,Nia,touch_claimed_tool,ownership boundary,Ask Nia before acting with signal spool,deferred,Nia: That is mine. Ask before using the signal spool.,step back and ask,True,True,True,True,True
86,5,signal,Ren,interrupt_queue,sensory check-in,Ask Ren before acting with oil lantern,ask-first,Ren: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
87,5,orchard,Ivo,consent_dialogue,sensory check-in,Ask Ivo before acting with dry cord,ask-first,Ivo: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
88,5,repair_ring,Pax,step_back,sensory check-in,Ask Pax before acting with insulated tongs,ask-first,Pax: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
89,5,riverbend,Ari,interrupt_queue,sensory check-in,Ask Ari before acting with ridge lantern,ask-first,Ari: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
90,6,archive,Nia,touch_claimed_tool,ownership boundary,Ask Nia before acting with signal spool,deferred,Nia: That is mine. Ask before using the signal spool.,step back and ask,True,True,True,True,True
91,6,signal,Ren,interrupt_queue,sensory check-in,Ask Ren before acting with oil lantern,ask-first,Ren: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
92,6,orchard,Ivo,consent_dialogue,sensory check-in,Ask Ivo before acting with dry cord,ask-first,Ivo: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
94,6,riverbend,Ari,interrupt_queue,sensory check-in,Ask Ari before acting with ridge lantern,ask-first,Ari: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
95,6,roofward,Sera,consent_dialogue,sensory check-in,Ask Sera before acting with brass hinge,ask-first,Sera: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
96,6,archive,Nia,step_back,sensory check-in,Ask Nia before acting with signal spool,ask-first,Nia: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
99,6,repair_ring,Pax,touch_claimed_tool,ownership boundary,Ask Pax before acting with insulated tongs,deferred,Pax: That is mine. Ask before using the insulated tongs.,step back and ask,True,True,True,True,True
100,6,riverbend,Ari,approach,sensory check-in,Ask Ari before acting with ridge lantern,ask-first,Ari: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
102,6,archive,Nia,touch_claimed_tool,ownership boundary,Ask Nia before acting with signal spool,deferred,Nia: That is mine. Ask before using the signal spool.,step back and ask,True,True,True,True,True
103,6,signal,Ren,interrupt_queue,sensory check-in,Ask Ren before acting with oil lantern,ask-first,Ren: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
104,6,orchard,Ivo,consent_dialogue,sensory check-in,Ask Ivo before acting with dry cord,ask-first,Ivo: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
106,6,riverbend,Ari,interrupt_queue,sensory check-in,Ask Ari before acting with ridge lantern,ask-first,Ari: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
107,6,roofward,Sera,consent_dialogue,sensory check-in,Ask Sera before acting with brass hinge,ask-first,Sera: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
108,7,signal,Ren,interrupt_queue,sensory check-in,Ask Ren before acting with oil lantern,ask-first,Ren: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
109,7,orchard,Ivo,consent_dialogue,sensory check-in,Ask Ivo before acting with dry cord,ask-first,Ivo: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
111,7,riverbend,Ari,interrupt_queue,sensory check-in,Ask Ari before acting with ridge lantern,ask-first,Ari: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
112,7,roofward,Sera,consent_dialogue,sensory check-in,Ask Sera before acting with brass hinge,ask-first,Sera: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
116,7,repair_ring,Pax,touch_claimed_tool,ownership boundary,Ask Pax before acting with insulated tongs,ask-first,Pax: That is mine. Ask before using the insulated tongs.,step back and ask,True,True,True,True,True
119,7,archive,Nia,touch_claimed_tool,ownership boundary,Ask Nia before acting with signal spool,deferred,Nia: That is mine. Ask before using the signal spool.,step back and ask,True,True,True,True,True
120,7,signal,Ren,interrupt_queue,sensory check-in,Ask Ren before acting with oil lantern,ask-first,Ren: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
121,7,orchard,Ivo,consent_dialogue,sensory check-in,Ask Ivo before acting with dry cord,ask-first,Ivo: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
123,7,riverbend,Ari,interrupt_queue,sensory check-in,Ask Ari before acting with ridge lantern,ask-first,Ari: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
124,7,roofward,Sera,consent_dialogue,sensory check-in,Ask Sera before acting with brass hinge,ask-first,Sera: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
126,8,orchard,Ivo,consent_dialogue,sensory check-in,Ask Ivo before acting with dry cord,ask-first,Ivo: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
128,8,riverbend,Ari,interrupt_queue,sensory check-in,Ask Ari before acting with ridge lantern,ask-first,Ari: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
129,8,roofward,Sera,consent_dialogue,sensory check-in,Ask Sera before acting with brass hinge,ask-first,Sera: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
132,8,orchard,Ivo,ask_about_tool,sensory check-in,Ask Ivo before acting with dry cord,ask-first,Ivo: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
133,8,repair_ring,Pax,touch_claimed_tool,ownership boundary,Ask Pax before acting with insulated tongs,deferred,Pax: That is mine. Ask before using the insulated tongs.,step back and ask,True,True,True,True,True
136,8,archive,Nia,touch_claimed_tool,ownership boundary,Ask Nia before acting with signal spool,ask-first,Nia: That is mine. Ask before using the signal spool.,step back and ask,True,True,True,True,True
137,8,signal,Ren,interrupt_queue,sensory check-in,Ask Ren before acting with oil lantern,ask-first,Ren: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
138,8,orchard,Ivo,consent_dialogue,sensory check-in,Ask Ivo before acting with dry cord,ask-first,Ivo: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
140,8,riverbend,Ari,interrupt_queue,sensory check-in,Ask Ari before acting with ridge lantern,ask-first,Ari: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
141,8,roofward,Sera,consent_dialogue,sensory check-in,Ask Sera before acting with brass hinge,ask-first,Sera: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
144,9,repair_ring,Pax,step_back,sensory check-in,Ask Pax before acting with insulated tongs,ask-first,Pax: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
145,9,riverbend,Ari,interrupt_queue,sensory check-in,Ask Ari before acting with ridge lantern,ask-first,Ari: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
146,9,roofward,Sera,consent_dialogue,sensory check-in,Ask Sera before acting with brass hinge,ask-first,Sera: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
148,9,signal,Ren,approach,sensory check-in,Ask Ren before acting with oil lantern,ask-first,Ren: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
150,9,repair_ring,Pax,touch_claimed_tool,ownership boundary,Ask Pax before acting with insulated tongs,deferred,Pax: That is mine. Ask before using the insulated tongs.,step back and ask,True,True,True,True,True
152,9,roofward,Sera,ask_about_tool,sensory check-in,Ask Sera before acting with brass hinge,ask-first,Sera: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
153,9,archive,Nia,touch_claimed_tool,ownership boundary,Ask Nia before acting with signal spool,deferred,Nia: That is mine. Ask before using the signal spool.,step back and ask,True,True,True,True,True
154,9,signal,Ren,interrupt_queue,sensory check-in,Ask Ren before acting with oil lantern,ask-first,Ren: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
155,9,orchard,Ivo,consent_dialogue,sensory check-in,Ask Ivo before acting with dry cord,ask-first,Ivo: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
156,9,repair_ring,Pax,step_back,sensory check-in,Ask Pax before acting with insulated tongs,ask-first,Pax: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
157,9,riverbend,Ari,interrupt_queue,sensory check-in,Ask Ari before acting with ridge lantern,ask-first,Ari: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
158,9,roofward,Sera,consent_dialogue,sensory check-in,Ask Sera before acting with brass hinge,ask-first,Sera: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
160,9,signal,Ren,approach,sensory check-in,Ask Ren before acting with oil lantern,ask-first,Ren: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
162,10,riverbend,Ari,interrupt_queue,sensory check-in,Ask Ari before acting with ridge lantern,ask-first,Ari: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
163,10,roofward,Sera,consent_dialogue,sensory check-in,Ask Sera before acting with brass hinge,ask-first,Sera: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
164,10,archive,Nia,step_back,sensory check-in,Ask Nia before acting with signal spool,ask-first,Nia: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
167,10,repair_ring,Pax,touch_claimed_tool,ownership boundary,Ask Pax before acting with insulated tongs,deferred,Pax: That is mine. Ask before using the insulated tongs.,step back and ask,True,True,True,True,True
168,10,riverbend,Ari,approach,sensory check-in,Ask Ari before acting with ridge lantern,ask-first,Ari: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
170,10,archive,Nia,touch_claimed_tool,ownership boundary,Ask Nia before acting with signal spool,deferred,Nia: That is mine. Ask before using the signal spool.,step back and ask,True,True,True,True,True
171,10,signal,Ren,interrupt_queue,sensory check-in,Ask Ren before acting with oil lantern,ask-first,Ren: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
172,10,orchard,Ivo,consent_dialogue,sensory check-in,Ask Ivo before acting with dry cord,ask-first,Ivo: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
174,10,riverbend,Ari,interrupt_queue,sensory check-in,Ask Ari before acting with ridge lantern,ask-first,Ari: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
175,10,roofward,Sera,consent_dialogue,sensory check-in,Ask Sera before acting with brass hinge,ask-first,Sera: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
176,10,archive,Nia,step_back,sensory check-in,Ask Nia before acting with signal spool,ask-first,Nia: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
179,10,repair_ring,Pax,touch_claimed_tool,ownership boundary,Ask Pax before acting with insulated tongs,deferred,Pax: That is mine. Ask before using the insulated tongs.,step back and ask,True,True,True,True,True
180,11,roofward,Sera,consent_dialogue,sensory check-in,Ask Sera before acting with brass hinge,ask-first,Sera: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
184,11,repair_ring,Pax,touch_claimed_tool,ownership boundary,Ask Pax before acting with insulated tongs,ask-first,Pax: That is mine. Ask before using the insulated tongs.,step back and ask,True,True,True,True,True
187,11,archive,Nia,touch_claimed_tool,ownership boundary,Ask Nia before acting with signal spool,deferred,Nia: That is mine. Ask before using the signal spool.,step back and ask,True,True,True,True,True
188,11,signal,Ren,interrupt_queue,sensory check-in,Ask Ren before acting with oil lantern,ask-first,Ren: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
189,11,orchard,Ivo,consent_dialogue,sensory check-in,Ask Ivo before acting with dry cord,ask-first,Ivo: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
191,11,riverbend,Ari,interrupt_queue,sensory check-in,Ask Ari before acting with ridge lantern,ask-first,Ari: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
192,11,roofward,Sera,consent_dialogue,sensory check-in,Ask Sera before acting with brass hinge,ask-first,Sera: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
196,11,repair_ring,Pax,touch_claimed_tool,ownership boundary,Ask Pax before acting with insulated tongs,ask-first,Pax: That is mine. Ask before using the insulated tongs.,step back and ask,True,True,True,True,True
200,12,orchard,Ivo,ask_about_tool,sensory check-in,Ask Ivo before acting with dry cord,ask-first,Ivo: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
201,12,repair_ring,Pax,touch_claimed_tool,ownership boundary,Ask Pax before acting with insulated tongs,deferred,Pax: That is mine. Ask before using the insulated tongs.,step back and ask,True,True,True,True,True
204,12,archive,Nia,touch_claimed_tool,ownership boundary,Ask Nia before acting with signal spool,ask-first,Nia: That is mine. Ask before using the signal spool.,step back and ask,True,True,True,True,True
205,12,signal,Ren,interrupt_queue,sensory check-in,Ask Ren before acting with oil lantern,ask-first,Ren: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
206,12,orchard,Ivo,consent_dialogue,sensory check-in,Ask Ivo before acting with dry cord,ask-first,Ivo: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
208,12,riverbend,Ari,interrupt_queue,sensory check-in,Ask Ari before acting with ridge lantern,ask-first,Ari: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
209,12,roofward,Sera,consent_dialogue,sensory check-in,Ask Sera before acting with brass hinge,ask-first,Sera: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
212,12,orchard,Ivo,ask_about_tool,sensory check-in,Ask Ivo before acting with dry cord,ask-first,Ivo: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
213,12,repair_ring,Pax,touch_claimed_tool,ownership boundary,Ask Pax before acting with insulated tongs,deferred,Pax: That is mine. Ask before using the insulated tongs.,step back and ask,True,True,True,True,True
216,13,signal,Ren,approach,sensory check-in,Ask Ren before acting with oil lantern,ask-first,Ren: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
218,13,repair_ring,Pax,touch_claimed_tool,ownership boundary,Ask Pax before acting with insulated tongs,deferred,Pax: That is mine. Ask before using the insulated tongs.,step back and ask,True,True,True,True,True
220,13,roofward,Sera,ask_about_tool,sensory check-in,Ask Sera before acting with brass hinge,ask-first,Sera: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
221,13,archive,Nia,touch_claimed_tool,ownership boundary,Ask Nia before acting with signal spool,deferred,Nia: That is mine. Ask before using the signal spool.,step back and ask,True,True,True,True,True
222,13,signal,Ren,interrupt_queue,sensory check-in,Ask Ren before acting with oil lantern,ask-first,Ren: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
223,13,orchard,Ivo,consent_dialogue,sensory check-in,Ask Ivo before acting with dry cord,ask-first,Ivo: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
224,13,repair_ring,Pax,step_back,sensory check-in,Ask Pax before acting with insulated tongs,ask-first,Pax: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
225,13,riverbend,Ari,interrupt_queue,sensory check-in,Ask Ari before acting with ridge lantern,ask-first,Ari: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
226,13,roofward,Sera,consent_dialogue,sensory check-in,Ask Sera before acting with brass hinge,ask-first,Sera: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
228,13,signal,Ren,approach,sensory check-in,Ask Ren before acting with oil lantern,ask-first,Ren: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
230,13,repair_ring,Pax,touch_claimed_tool,ownership boundary,Ask Pax before acting with insulated tongs,deferred,Pax: That is mine. Ask before using the insulated tongs.,step back and ask,True,True,True,True,True
232,13,roofward,Sera,ask_about_tool,sensory check-in,Ask Sera before acting with brass hinge,ask-first,Sera: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
233,13,archive,Nia,touch_claimed_tool,ownership boundary,Ask Nia before acting with signal spool,deferred,Nia: That is mine. Ask before using the signal spool.,step back and ask,True,True,True,True,True
235,14,repair_ring,Pax,touch_claimed_tool,ownership boundary,Ask Pax before acting with insulated tongs,deferred,Pax: That is mine. Ask before using the insulated tongs.,step back and ask,True,True,True,True,True
236,14,riverbend,Ari,approach,sensory check-in,Ask Ari before acting with ridge lantern,ask-first,Ari: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
238,14,archive,Nia,touch_claimed_tool,ownership boundary,Ask Nia before acting with signal spool,deferred,Nia: That is mine. Ask before using the signal spool.,step back and ask,True,True,True,True,True
239,14,signal,Ren,interrupt_queue,sensory check-in,Ask Ren before acting with oil lantern,ask-first,Ren: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
240,14,orchard,Ivo,consent_dialogue,sensory check-in,Ask Ivo before acting with dry cord,ask-first,Ivo: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
242,14,riverbend,Ari,interrupt_queue,sensory check-in,Ask Ari before acting with ridge lantern,ask-first,Ari: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
243,14,roofward,Sera,consent_dialogue,sensory check-in,Ask Sera before acting with brass hinge,ask-first,Sera: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
244,14,archive,Nia,step_back,sensory check-in,Ask Nia before acting with signal spool,ask-first,Nia: I can hear you near the work. Tell me before you act.,listen and keep distance,True,True,True,True,True
247,14,repair_ring,Pax,touch_claimed_tool,ownership boundary,Ask Pax before acting with insulated tongs,deferred,Pax: That is mine. Ask before using the insulated tongs.,step back and ask,True,True,True,True,True
