tick_id,day,route_id,sight_cue,sound_cue,smell_cue,temperature_cue,wetness_cue,body_cue,rhythm_marker,sensory_bound_to_dialogue_branch
64,5,orchard_riverbend,two-agent route dialogue buttons,soft dialogue tone,wet cargo,warm direct route air,damp boards,watchful neutral stance,dialogue-pulse,True
65,5,central_repair_ring,shared route board,map room hum,warm wire,warm direct route air,dry route markers,watchful neutral stance,ambient-rate,True
66,5,riverbend_roofward,shared route board,merge click,wet cargo,cool detour air,damp boards,watchful neutral stance,flower-node,True
67,5,roofward_archive,two-agent route dialogue buttons,soft dialogue tone,warm wire,warm direct route air,dry route markers,watchful neutral stance,dialogue-pulse,True
68,5,archive_signal,two-agent route dialogue buttons,merge click,oil paper,cool detour air,dry route markers,watchful neutral stance,dialogue-pulse,True
69,5,signal_orchard,shared route board,map room hum,oil paper,warm direct route air,dry route markers,watchful neutral stance,ambient-rate,True
70,6,central_repair_ring,two-agent route dialogue buttons,soft dialogue tone,warm wire,warm direct route air,dry route markers,watchful neutral stance,flower-node,True
71,6,riverbend_roofward,two-agent route dialogue buttons,merge click,wet cargo,warm direct route air,damp boards,watchful neutral stance,dialogue-pulse,True
72,6,roofward_archive,shared route board,merge click,warm wire,cool detour air,dry route markers,watchful neutral stance,dialogue-pulse,True
73,6,archive_signal,two-agent route dialogue buttons,merge click,oil paper,warm direct route air,dry route markers,relieved reset stance,dialogue-pulse,True
74,6,signal_orchard,two-agent route dialogue buttons,soft dialogue tone,oil paper,warm direct route air,dry route markers,watchful neutral stance,dialogue-pulse,True
75,6,orchard_riverbend,shared route board,map room hum,wet cargo,warm direct route air,damp boards,watchful neutral stance,flower-node,True
76,6,central_repair_ring,two-agent route dialogue buttons,merge click,warm wire,cool detour air,dry route markers,watchful neutral stance,dialogue-pulse,True
77,6,riverbend_roofward,shared route board,map room hum,wet cargo,warm direct route air,damp boards,watchful neutral stance,dialogue-pulse,True
78,6,roofward_archive,two-agent route dialogue buttons,merge click,warm wire,warm direct route air,dry route markers,watchful neutral stance,dialogue-pulse,True
79,6,archive_signal,two-agent route dialogue buttons,rollback bell,oil paper,warm direct route air,dry route markers,relieved reset stance,dialogue-pulse,True
80,6,signal_orchard,shared route board,merge click,oil paper,cool detour air,dry route markers,watchful neutral stance,flower-node,True
81,6,orchard_riverbend,shared route board,map room hum,wet cargo,warm direct route air,damp boards,watchful neutral stance,ambient-rate,True
82,6,central_repair_ring,two-agent route dialogue buttons,soft dialogue tone,warm wire,cool detour air,dry route markers,watchful neutral stance,dialogue-pulse,True
83,6,riverbend_roofward,shared route board,map room hum,wet cargo,warm direct route air,damp boards,watchful neutral stance,ambient-rate,True
84,7,roofward_archive,shared route board,map room hum,warm wire,warm direct route air,dry route markers,watchful neutral stance,flower-node,True
85,7,archive_signal,two-agent route dialogue buttons,soft dialogue tone,oil paper,warm direct route air,dry route markers,watchful neutral stance,dialogue-pulse,True
86,7,signal_orchard,shared route board,merge click,oil paper,warm direct route air,dry route markers,watchful neutral stance,dialogue-pulse,True
87,7,orchard_riverbend,shared route board,map room hum,wet cargo,warm direct route air,damp boards,watchful neutral stance,ambient-rate,True
88,7,central_repair_ring,two-agent route dialogue buttons,merge click,warm wire,warm direct route air,dry route markers,watchful neutral stance,dialogue-pulse,True
89,7,riverbend_roofward,shared route board,map room hum,wet cargo,warm direct route air,damp boards,watchful neutral stance,flower-node,True
90,7,roofward_archive,shared route board,merge click,warm wire,cool detour air,dry route markers,watchful neutral stance,dialogue-pulse,True
91,7,archive_signal,shared route board,map room hum,oil paper,warm direct route air,dry route markers,watchful neutral stance,dialogue-pulse,True
92,7,signal_orchard,two-agent route dialogue buttons,soft dialogue tone,oil paper,warm direct route air,dry route markers,watchful neutral stance,dialogue-pulse,True
93,7,orchard_riverbend,shared route board,map room hum,wet cargo,warm direct route air,damp boards,watchful neutral stance,ambient-rate,True
94,7,central_repair_ring,shared route board,merge click,warm wire,cool detour air,dry route markers,watchful neutral stance,flower-node,True
95,7,riverbend_roofward,shared route board,map room hum,wet cargo,warm direct route air,damp boards,watchful neutral stance,ambient-rate,True
96,7,roofward_archive,two-agent route dialogue buttons,merge click,warm wire,warm direct route air,dry route markers,watchful neutral stance,dialogue-pulse,True
97,7,archive_signal,shared route board,map room hum,oil paper,warm direct route air,dry route markers,watchful neutral stance,ambient-rate,True
98,8,signal_orchard,two-agent route dialogue buttons,soft dialogue tone,oil paper,warm direct route air,dry route markers,watchful neutral stance,flower-node,True
99,8,orchard_riverbend,two-agent route dialogue buttons,soft dialogue tone,wet cargo,warm direct route air,damp boards,watchful neutral stance,dialogue-pulse,True
100,8,central_repair_ring,shared route board,merge click,warm wire,warm direct route air,dry route markers,watchful neutral stance,dialogue-pulse,True
101,8,riverbend_roofward,two-agent route dialogue buttons,rollback bell,wet cargo,warm direct route air,damp boards,relieved reset stance,dialogue-pulse,True
102,8,roofward_archive,two-agent route dialogue buttons,soft dialogue tone,warm wire,warm direct route air,dry route markers,watchful neutral stance,dialogue-pulse,True
103,8,archive_signal,shared route board,map room hum,oil paper,warm direct route air,dry route markers,watchful neutral stance,flower-node,True
104,8,signal_orchard,two-agent route dialogue buttons,merge click,oil paper,cool detour air,dry route markers,watchful neutral stance,dialogue-pulse,True
105,8,orchard_riverbend,shared route board,map room hum,wet cargo,warm direct route air,damp boards,watchful neutral stance,dialogue-pulse,True
106,8,central_repair_ring,two-agent route dialogue buttons,soft dialogue tone,warm wire,warm direct route air,dry route markers,watchful neutral stance,dialogue-pulse,True
107,8,riverbend_roofward,two-agent route dialogue buttons,rollback bell,wet cargo,warm direct route air,damp boards,relieved reset stance,dialogue-pulse,True
108,8,roofward_archive,shared route board,merge click,warm wire,cool detour air,dry route markers,watchful neutral stance,flower-node,True
109,8,archive_signal,shared route board,map room hum,oil paper,warm direct route air,dry route markers,watchful neutral stance,ambient-rate,True
110,8,signal_orchard,two-agent route dialogue buttons,merge click,oil paper,warm direct route air,dry route markers,watchful neutral stance,dialogue-pulse,True
111,8,orchard_riverbend,shared route board,map room hum,wet cargo,warm direct route air,damp boards,watchful neutral stance,ambient-rate,True
112,9,central_repair_ring,shared route board,map room hum,warm wire,warm direct route air,dry route markers,watchful neutral stance,flower-node,True
113,9,riverbend_roofward,two-agent route dialogue buttons,soft dialogue tone,wet cargo,warm direct route air,damp boards,watchful neutral stance,dialogue-pulse,True
114,9,roofward_archive,shared route board,merge click,warm wire,warm direct route air,dry route markers,watchful neutral stance,dialogue-pulse,True
115,9,archive_signal,shared route board,map room hum,oil paper,warm direct route air,dry route markers,watchful neutral stance,ambient-rate,True
116,9,signal_orchard,two-agent route dialogue buttons,map room hum,oil paper,warm direct route air,dry route markers,watchful neutral stance,dialogue-pulse,True
117,9,orchard_riverbend,shared route board,map room hum,wet cargo,warm direct route air,damp boards,watchful neutral stance,flower-node,True
118,9,central_repair_ring,shared route board,merge click,warm wire,cool detour air,dry route markers,watchful neutral stance,dialogue-pulse,True
119,9,riverbend_roofward,shared route board,map room hum,wet cargo,warm direct route air,damp boards,watchful neutral stance,dialogue-pulse,True
120,9,roofward_archive,two-agent route dialogue buttons,soft dialogue tone,warm wire,warm direct route air,dry route markers,watchful neutral stance,dialogue-pulse,True
121,9,archive_signal,shared route board,map room hum,oil paper,warm direct route air,dry route markers,watchful neutral stance,ambient-rate,True
122,9,signal_orchard,shared route board,merge click,oil paper,cool detour air,dry route markers,watchful neutral stance,flower-node,True
123,9,orchard_riverbend,shared route board,map room hum,wet cargo,warm direct route air,damp boards,watchful neutral stance,ambient-rate,True
124,9,central_repair_ring,two-agent route dialogue buttons,merge click,warm wire,warm direct route air,dry route markers,watchful neutral stance,dialogue-pulse,True
125,9,riverbend_roofward,shared route board,map room hum,wet cargo,warm direct route air,damp boards,watchful neutral stance,ambient-rate,True
126,10,roofward_archive,two-agent route dialogue buttons,soft dialogue tone,warm wire,warm direct route air,dry route markers,watchful neutral stance,flower-node,True
127,10,archive_signal,two-agent route dialogue buttons,soft dialogue tone,oil paper,warm direct route air,dry route markers,watchful neutral stance,dialogue-pulse,True
128,10,signal_orchard,shared route board,merge click,oil paper,warm direct route air,dry route markers,watchful neutral stance,dialogue-pulse,True
129,10,orchard_riverbend,two-agent route dialogue buttons,rollback bell,wet cargo,warm direct route air,damp boards,relieved reset stance,dialogue-pulse,True
130,10,central_repair_ring,two-agent route dialogue buttons,soft dialogue tone,warm wire,warm direct route air,dry route markers,watchful neutral stance,dialogue-pulse,True
131,10,riverbend_roofward,shared route board,map room hum,wet cargo,warm direct route air,damp boards,watchful neutral stance,flower-node,True
132,10,roofward_archive,two-agent route dialogue buttons,merge click,warm wire,cool detour air,dry route markers,watchful neutral stance,dialogue-pulse,True
133,10,archive_signal,shared route board,map room hum,oil paper,warm direct route air,dry route markers,watchful neutral stance,dialogue-pulse,True
134,10,signal_orchard,two-agent route dialogue buttons,soft dialogue tone,oil paper,warm direct route air,dry route markers,watchful neutral stance,dialogue-pulse,True
135,10,orchard_riverbend,two-agent route dialogue buttons,rollback bell,wet cargo,warm direct route air,damp boards,relieved reset stance,dialogue-pulse,True
136,10,central_repair_ring,shared route board,merge click,warm wire,warm direct route air,dry route markers,watchful neutral stance,flower-node,True
137,10,riverbend_roofward,shared route board,map room hum,wet cargo,warm direct route air,damp boards,watchful neutral stance,ambient-rate,True
138,10,roofward_archive,two-agent route dialogue buttons,merge click,warm wire,warm direct route air,dry route markers,open forward lean,dialogue-pulse,True
139,10,archive_signal,shared route board,map room hum,oil paper,warm direct route air,dry route markers,watchful neutral stance,ambient-rate,True
140,11,signal_orchard,shared route board,map room hum,oil paper,warm direct route air,dry route markers,watchful neutral stance,flower-node,True
141,11,orchard_riverbend,two-agent route dialogue buttons,soft dialogue tone,wet cargo,warm direct route air,damp boards,watchful neutral stance,dialogue-pulse,True
142,11,central_repair_ring,shared route board,merge click,warm wire,cool detour air,dry route markers,watchful neutral stance,dialogue-pulse,True
143,11,riverbend_roofward,shared route board,map room hum,wet cargo,warm direct route air,damp boards,watchful neutral stance,ambient-rate,True
144,11,roofward_archive,two-agent route dialogue buttons,soft dialogue tone,warm wire,warm direct route air,dry route markers,open forward lean,dialogue-pulse,True
145,11,archive_signal,shared route board,map room hum,oil paper,warm direct route air,dry route markers,watchful neutral stance,flower-node,True
146,11,signal_orchard,shared route board,merge click,oil paper,cool detour air,dry route markers,watchful neutral stance,dialogue-pulse,True
147,11,orchard_riverbend,shared route board,map room hum,wet cargo,warm direct route air,damp boards,watchful neutral stance,dialogue-pulse,True
148,11,central_repair_ring,two-agent route dialogue buttons,merge click,warm wire,warm direct route air,dry route markers,watchful neutral stance,dialogue-pulse,True
149,11,riverbend_roofward,shared route board,map room hum,wet cargo,warm direct route air,damp boards,watchful neutral stance,ambient-rate,True
150,11,roofward_archive,shared route board,merge click,warm wire,cool detour air,dry route markers,open forward lean,flower-node,True
151,11,archive_signal,shared route board,map room hum,oil paper,warm direct route air,dry route markers,watchful neutral stance,ambient-rate,True
152,11,signal_orchard,two-agent route dialogue buttons,merge click,oil paper,warm direct route air,dry route markers,watchful neutral stance,dialogue-pulse,True
153,11,orchard_riverbend,shared route board,map room hum,wet cargo,warm direct route air,damp boards,watchful neutral stance,ambient-rate,True
154,12,riverbend_roofward,shared route board,map room hum,wet cargo,warm direct route air,damp boards,watchful neutral stance,flower-node,True
155,12,roofward_archive,two-agent route dialogue buttons,merge click,warm wire,warm direct route air,dry route markers,watchful neutral stance,dialogue-pulse,True
156,12,archive_signal,shared route board,merge click,oil paper,cool detour air,dry route markers,watchful neutral stance,dialogue-pulse,True
157,12,signal_orchard,shared route board,map room hum,oil paper,warm direct route air,dry route markers,watchful neutral stance,ambient-rate,True
158,12,orchard_riverbend,two-agent route dialogue buttons,soft dialogue tone,wet cargo,warm direct route air,damp boards,watchful neutral stance,dialogue-pulse,True
159,12,central_repair_ring,shared route board,map room hum,warm wire,warm direct route air,dry route markers,watchful neutral stance,flower-node,True
160,12,riverbend_roofward,shared route board,merge click,wet cargo,cool detour air,damp boards,watchful neutral stance,dialogue-pulse,True
161,12,roofward_archive,shared route board,map room hum,warm wire,warm direct route air,dry route markers,watchful neutral stance,dialogue-pulse,True
162,12,archive_signal,two-agent route dialogue buttons,merge click,oil paper,warm direct route air,dry route markers,open forward lean,dialogue-pulse,True
163,12,signal_orchard,shared route board,map room hum,oil paper,warm direct route air,dry route markers,watchful neutral stance,ambient-rate,True
164,12,orchard_riverbend,shared route board,merge click,wet cargo,cool detour air,damp boards,watchful neutral stance,flower-node,True
165,12,central_repair_ring,shared route board,map room hum,warm wire,warm direct route air,dry route markers,watchful neutral stance,ambient-rate,True
166,12,riverbend_roofward,two-agent route dialogue buttons,merge click,wet cargo,warm direct route air,damp boards,open forward lean,dialogue-pulse,True
167,12,roofward_archive,shared route board,map room hum,warm wire,warm direct route air,dry route markers,watchful neutral stance,ambient-rate,True
168,13,archive_signal,shared route board,map room hum,oil paper,warm direct route air,dry route markers,open forward lean,flower-node,True
169,13,signal_orchard,two-agent route dialogue buttons,soft dialogue tone,oil paper,warm direct route air,dry route markers,watchful neutral stance,dialogue-pulse,True
170,13,orchard_riverbend,shared route board,merge click,wet cargo,cool detour air,damp boards,watchful neutral stance,dialogue-pulse,True
171,13,central_repair_ring,shared route board,map room hum,warm wire,warm direct route air,dry route markers,watchful neutral stance,ambient-rate,True
172,13,riverbend_roofward,two-agent route dialogue buttons,soft dialogue tone,wet cargo,warm direct route air,damp boards,open forward lean,dialogue-pulse,True
173,13,roofward_archive,shared route board,map room hum,warm wire,warm direct route air,dry route markers,watchful neutral stance,flower-node,True
174,13,archive_signal,shared route board,merge click,oil paper,cool detour air,dry route markers,open forward lean,dialogue-pulse,True
175,13,signal_orchard,two-agent route dialogue buttons,soft dialogue tone,oil paper,warm direct route air,dry route markers,watchful neutral stance,dialogue-pulse,True
176,13,orchard_riverbend,two-agent route dialogue buttons,merge click,wet cargo,warm direct route air,damp boards,watchful neutral stance,dialogue-pulse,True
177,13,central_repair_ring,shared route board,map room hum,warm wire,warm direct route air,dry route markers,watchful neutral stance,ambient-rate,True
178,13,riverbend_roofward,two-agent route dialogue buttons,merge click,wet cargo,cool detour air,damp boards,open forward lean,flower-node,True
179,13,roofward_archive,shared route board,map room hum,warm wire,warm direct route air,dry route markers,watchful neutral stance,ambient-rate,True
180,13,archive_signal,two-agent route dialogue buttons,merge click,oil paper,warm direct route air,dry route markers,open forward lean,dialogue-pulse,True
181,13,signal_orchard,two-agent route dialogue buttons,rollback bell,oil paper,warm direct route air,dry route markers,relieved reset stance,dialogue-pulse,True
182,14,orchard_riverbend,shared route board,map room hum,wet cargo,warm direct route air,damp boards,watchful neutral stance,flower-node,True
183,14,central_repair_ring,two-agent route dialogue buttons,soft dialogue tone,warm wire,warm direct route air,dry route markers,watchful neutral stance,dialogue-pulse,True
184,14,riverbend_roofward,shared route board,merge click,wet cargo,warm direct route air,damp boards,open forward lean,dialogue-pulse,True
185,14,roofward_archive,shared route board,map room hum,warm wire,warm direct route air,dry route markers,watchful neutral stance,ambient-rate,True
186,14,archive_signal,two-agent route dialogue buttons,soft dialogue tone,oil paper,warm direct route air,dry route markers,open forward lean,dialogue-pulse,True
187,14,signal_orchard,shared route board,map room hum,oil paper,warm direct route air,dry route markers,watchful neutral stance,flower-node,True
188,14,orchard_riverbend,shared route board,merge click,wet cargo,cool detour air,damp boards,watchful neutral stance,dialogue-pulse,True
189,14,central_repair_ring,shared route board,map room hum,warm wire,warm direct route air,dry route markers,watchful neutral stance,dialogue-pulse,True
190,14,riverbend_roofward,two-agent route dialogue buttons,soft dialogue tone,wet cargo,warm direct route air,damp boards,open forward lean,dialogue-pulse,True
191,14,roofward_archive,shared route board,map room hum,warm wire,warm direct route air,dry route markers,watchful neutral stance,ambient-rate,True
192,14,archive_signal,shared route board,merge click,oil paper,cool detour air,dry route markers,open forward lean,flower-node,True
193,14,signal_orchard,shared route board,map room hum,oil paper,warm direct route air,dry route markers,watchful neutral stance,ambient-rate,True
194,14,orchard_riverbend,two-agent route dialogue buttons,merge click,wet cargo,warm direct route air,damp boards,open forward lean,dialogue-pulse,True
195,14,central_repair_ring,shared route board,map room hum,warm wire,warm direct route air,dry route markers,watchful neutral stance,ambient-rate,True
196,15,riverbend_roofward,shared route board,map room hum,wet cargo,warm direct route air,damp boards,open forward lean,flower-node,True
197,15,roofward_archive,two-agent route dialogue buttons,soft dialogue tone,warm wire,warm direct route air,dry route markers,watchful neutral stance,dialogue-pulse,True
198,15,archive_signal,shared route board,merge click,oil paper,warm direct route air,dry route markers,open forward lean,dialogue-pulse,True
199,15,signal_orchard,shared route board,map room hum,oil paper,warm direct route air,dry route markers,watchful neutral stance,ambient-rate,True
200,15,orchard_riverbend,two-agent route dialogue buttons,soft dialogue tone,wet cargo,warm direct route air,damp boards,open forward lean,dialogue-pulse,True
201,15,central_repair_ring,shared route board,map room hum,warm wire,warm direct route air,dry route markers,watchful neutral stance,flower-node,True
202,15,riverbend_roofward,shared route board,merge click,wet cargo,cool detour air,damp boards,open forward lean,dialogue-pulse,True
203,15,roofward_archive,two-agent route dialogue buttons,map room hum,warm wire,warm direct route air,dry route markers,watchful neutral stance,dialogue-pulse,True
204,15,archive_signal,two-agent route dialogue buttons,soft dialogue tone,oil paper,warm direct route air,dry route markers,open forward lean,dialogue-pulse,True
205,15,signal_orchard,shared route board,map room hum,oil paper,warm direct route air,dry route markers,watchful neutral stance,ambient-rate,True
206,15,orchard_riverbend,two-agent route dialogue buttons,merge click,wet cargo,cool detour air,damp boards,open forward lean,flower-node,True
207,15,central_repair_ring,shared route board,map room hum,warm wire,warm direct route air,dry route markers,watchful neutral stance,ambient-rate,True
208,15,riverbend_roofward,two-agent route dialogue buttons,merge click,wet cargo,warm direct route air,damp boards,open forward lean,dialogue-pulse,True
209,15,roofward_archive,two-agent route dialogue buttons,soft dialogue tone,warm wire,warm direct route air,dry route markers,watchful neutral stance,dialogue-pulse,True
210,16,archive_signal,shared route board,map room hum,oil paper,warm direct route air,dry route markers,open forward lean,flower-node,True
211,16,signal_orchard,two-agent route dialogue buttons,soft dialogue tone,oil paper,warm direct route air,dry route markers,watchful neutral stance,dialogue-pulse,True
212,16,orchard_riverbend,shared route board,merge click,wet cargo,warm direct route air,damp boards,open forward lean,dialogue-pulse,True
213,16,central_repair_ring,shared route board,map room hum,warm wire,warm direct route air,dry route markers,watchful neutral stance,ambient-rate,True
214,16,riverbend_roofward,two-agent route dialogue buttons,soft dialogue tone,wet cargo,warm direct route air,damp boards,open forward lean,dialogue-pulse,True
215,16,roofward_archive,shared route board,map room hum,warm wire,warm direct route air,dry route markers,watchful neutral stance,flower-node,True
216,16,archive_signal,shared route board,merge click,oil paper,cool detour air,dry route markers,open forward lean,dialogue-pulse,True
217,16,signal_orchard,shared route board,map room hum,oil paper,warm direct route air,dry route markers,watchful neutral stance,dialogue-pulse,True
218,16,orchard_riverbend,two-agent route dialogue buttons,soft dialogue tone,wet cargo,warm direct route air,damp boards,open forward lean,dialogue-pulse,True
219,16,central_repair_ring,shared route board,map room hum,warm wire,warm direct route air,dry route markers,watchful neutral stance,ambient-rate,True
220,16,riverbend_roofward,shared route board,merge click,wet cargo,cool detour air,damp boards,open forward lean,flower-node,True
221,16,roofward_archive,shared route board,map room hum,warm wire,warm direct route air,dry route markers,watchful neutral stance,ambient-rate,True
222,16,archive_signal,two-agent route dialogue buttons,merge click,oil paper,warm direct route air,dry route markers,open forward lean,dialogue-pulse,True
223,16,signal_orchard,shared route board,map room hum,oil paper,warm direct route air,dry route markers,watchful neutral stance,ambient-rate,True
224,17,orchard_riverbend,shared route board,map room hum,wet cargo,warm direct route air,damp boards,open forward lean,flower-node,True
