seed,era,era_day,memory_id,memory,dominant_label,archived_failures,institution,trade_shifts,avatar_as_answer_source
36247,season_01,120,36247-CUL-003,season_01: Tovan carried half-sign/ash-fear into safe-gap/ash-fear after smoke appeared and the test was stopped; safety_custom began using it,safe-gap/ash-fear,3,safety_custom,avoid_dry_resin;avoid_reed_fiber,False
36247,year_01,365,36247-CUL-004,year_01: Nia carried safe-gap/ash-fear into grain pull/water-hush after wet pieces dulled the effect and left only a sting; safety_custom began using it,grain pull/water-hush,4,safety_custom,avoid_dry_resin;avoid_reed_fiber,False
36247,year_03,1095,36247-CUL-005,year_03: Milo carried grain pull/water-hush into water-hush/rain-fail after wet pieces dulled the effect and left only a sting; safety_custom began using it,water-hush/rain-fail,5,safety_custom,avoid_dry_resin;avoid_reed_fiber,False
36247,generation_02,9125,36247-CUL-006,generation_02: Milo carried water-hush/rain-fail into rain-fail/jar-rub-sign after loose fiber jumped after rubbing; safety_custom began using it,rain-fail/jar-rub-sign,5,safety_custom,avoid_dry_resin;avoid_reed_fiber;more_dry_resin,False
36247,generation_04,18250,36247-CUL-007,generation_04: Tovan carried rain-fail/jar-rub-sign into jar-rub-sign/school-rub-sign after loose fiber jumped after rubbing; safety_custom began using it,jar-rub-sign/school-rub-sign,5,safety_custom,avoid_reed_fiber;more_dry_resin;more_dry_resin,False
36263,week_01,7,36263-CUL-001,week_01: Nia carried glass sleep into glass sleep/missing-repeat after nothing repeated clearly,glass sleep/missing-repeat,1,none,none,False
36263,moon_02,42,36263-CUL-002,moon_02: Nia carried glass sleep/missing-repeat into grain pull/dry-jump after loose fiber jumped after rubbing,grain pull/dry-jump,1,none,more_red_scrap,False
36263,season_01,120,36263-CUL-003,season_01: Nia carried grain pull/dry-jump into dry-jump/fiber-rise after loose fiber jumped after rubbing,dry-jump/fiber-rise,1,none,more_red_scrap;more_ash_glass,False
36263,year_01,365,36263-CUL-004,year_01: Fay carried dry-jump/fiber-rise into quiet sting/quiet-doubt after nothing repeated clearly,quiet sting/quiet-doubt,2,none,more_red_scrap;more_ash_glass,False
36263,year_03,1095,36263-CUL-005,year_03: Milo carried quiet sting/quiet-doubt into quiet-doubt/ash-fear after smoke appeared and the test was stopped,quiet-doubt/ash-fear,3,none,more_red_scrap;more_ash_glass;avoid_reed_fiber,False
36263,generation_02,9125,36263-CUL-006,generation_02: Nia carried quiet-doubt/ash-fear into ash-fear/jar-quiet-doubt after nothing repeated clearly,ash-fear/jar-quiet-doubt,4,none,more_red_scrap;more_ash_glass;avoid_reed_fiber,False
36263,generation_04,18250,36263-CUL-007,generation_04: Ari carried ash-fear/jar-quiet-doubt into jar-quiet-doubt/roof-quiet-doubt after nothing repeated clearly,jar-quiet-doubt/roof-quiet-doubt,5,none,more_red_scrap;more_ash_glass;avoid_reed_fiber,False
36281,week_01,7,36281-CUL-001,week_01: Tovan carried glass sleep into glass sleep/red-call after dark grains crawled toward the red scrap,glass sleep/red-call,0,none,more_iron_sand,False
36281,moon_02,42,36281-CUL-002,moon_02: Fay carried glass sleep/red-call into red-call/dry-jump after loose fiber jumped after rubbing,red-call/dry-jump,0,none,more_iron_sand;more_dry_resin,False
36281,season_01,120,36281-CUL-003,season_01: Tovan carried red-call/dry-jump into storm crumb/edge-shame after a tool edge cracked before the sign returned,storm crumb/edge-shame,1,none,more_iron_sand;more_dry_resin;avoid_ash_glass,False
36281,year_01,365,36281-CUL-004,year_01: Ari carried storm crumb/edge-shame into edge-shame/quiet-doubt after nothing repeated clearly,edge-shame/quiet-doubt,2,none,more_iron_sand;more_dry_resin;avoid_ash_glass,False
36281,year_03,1095,36281-CUL-005,year_03: Nia carried edge-shame/quiet-doubt into quiet-doubt/dry-jump after loose fiber jumped after rubbing,quiet-doubt/dry-jump,2,none,more_dry_resin;avoid_ash_glass;more_dry_resin,False
36281,generation_02,9125,36281-CUL-006,generation_02: Fay carried quiet-doubt/dry-jump into dry-jump/school-dark-crawl after dark grains crawled toward the red scrap; memory_school began using it,dry-jump/school-dark-crawl,2,memory_school,avoid_ash_glass;more_dry_resin;more_wet_wood,False
36281,generation_04,18250,36281-CUL-007,generation_04: Sera carried dry-jump/school-dark-crawl into school-dark-crawl/school-dark-crawl after dark grains crawled toward the red scrap; memory_school began using it,school-dark-crawl/school-dark-crawl,2,memory_school,more_dry_resin;more_wet_wood;more_red_scrap,False
36307,week_01,7,36307-CUL-001,week_01: Sera carried jar omen into cloak ghost/fiber-rise after loose fiber jumped after rubbing,cloak ghost/fiber-rise,0,none,more_reed_fiber,False
36307,moon_02,42,36307-CUL-002,moon_02: Sera carried cloak ghost/fiber-rise into smoke warning/fiber-rise after loose fiber jumped after rubbing,smoke warning/fiber-rise,0,none,more_reed_fiber;more_ash_glass,False
36307,season_01,120,36307-CUL-003,season_01: Milo carried smoke warning/fiber-rise into handspan bite/missing-repeat after nothing repeated clearly,handspan bite/missing-repeat,1,none,more_reed_fiber;more_ash_glass,False
36307,year_01,365,36307-CUL-004,year_01: Tovan carried handspan bite/missing-repeat into safe-gap/half-sign after nothing repeated clearly,safe-gap/half-sign,2,none,more_reed_fiber;more_ash_glass,False
36307,year_03,1095,36307-CUL-005,year_03: Tovan carried safe-gap/half-sign into half-sign/half-sign after nothing repeated clearly,half-sign/half-sign,3,none,more_reed_fiber;more_ash_glass,False
36307,generation_02,9125,36307-CUL-006,generation_02: Nia carried half-sign/half-sign into half-sign/jar-rub-sign after loose fiber jumped after rubbing,half-sign/jar-rub-sign,3,none,more_reed_fiber;more_ash_glass;more_dry_resin,False
36307,generation_04,18250,36307-CUL-007,generation_04: Tovan carried half-sign/jar-rub-sign into jar-rub-sign/route-red-call after dark grains crawled toward the red scrap,jar-rub-sign/route-red-call,3,none,more_ash_glass;more_dry_resin;more_iron_sand,False
36319,week_01,7,36319-CUL-001,week_01: Ari carried herb-jump into awl-bite/rub-sign after loose fiber jumped after rubbing,awl-bite/rub-sign,0,none,more_ash_glass,False
36319,moon_02,42,36319-CUL-002,moon_02: Nia carried awl-bite/rub-sign into rub-sign/dry-jump after loose fiber jumped after rubbing,rub-sign/dry-jump,0,none,more_ash_glass;more_dry_resin,False
36319,season_01,120,36319-CUL-003,season_01: Fay carried rub-sign/dry-jump into quiet sting/fiber-rise after loose fiber jumped after rubbing,quiet sting/fiber-rise,0,none,more_ash_glass;more_dry_resin;more_red_scrap,False
36319,year_01,365,36319-CUL-004,year_01: Nia carried quiet sting/fiber-rise into fiber-rise/edge-shame after a tool edge cracked before the sign returned,fiber-rise/edge-shame,1,none,more_dry_resin;more_red_scrap;avoid_clay_jar,False
36319,year_03,1095,36319-CUL-005,year_03: Milo carried fiber-rise/edge-shame into edge-shame/missing-repeat after nothing repeated clearly,edge-shame/missing-repeat,2,none,more_dry_resin;more_red_scrap;avoid_clay_jar,False
36319,generation_02,9125,36319-CUL-006,generation_02: Milo carried edge-shame/missing-repeat into missing-repeat/route-half-sign after nothing repeated clearly,missing-repeat/route-half-sign,3,none,more_dry_resin;more_red_scrap;avoid_clay_jar,False
36319,generation_04,18250,36319-CUL-007,generation_04: Milo carried missing-repeat/route-half-sign into route-half-sign/roof-ash-fear after smoke appeared and the test was stopped,route-half-sign/roof-ash-fear,4,none,more_red_scrap;avoid_clay_jar;avoid_dry_resin,False
36343,week_01,7,36343-CUL-001,week_01: Nia carried jar omen into jar omen/dry-jump after loose fiber jumped after rubbing,jar omen/dry-jump,0,none,more_clay_jar,False
36343,moon_02,42,36343-CUL-002,moon_02: Ari carried jar omen/dry-jump into dry-path/grain-follow after dark grains crawled toward the red scrap,dry-path/grain-follow,0,none,more_clay_jar;more_iron_sand,False
36343,season_01,120,36343-CUL-003,season_01: Nia carried dry-path/grain-follow into grain-follow/smoke-bound after smoke appeared and the test was stopped,grain-follow/smoke-bound,1,none,more_clay_jar;more_iron_sand;avoid_reed_fiber,False
36343,year_01,365,36343-CUL-004,year_01: Ari carried grain-follow/smoke-bound into smoke-bound/tool-anger after a tool edge cracked before the sign returned,smoke-bound/tool-anger,2,none,more_iron_sand;avoid_reed_fiber;avoid_clay_jar,False
36343,year_03,1095,36343-CUL-005,year_03: Fay carried smoke-bound/tool-anger into tool-anger/ash-fear after smoke appeared and the test was stopped,tool-anger/ash-fear,3,none,avoid_reed_fiber;avoid_clay_jar;avoid_dry_resin,False
36343,generation_02,9125,36343-CUL-006,generation_02: Sera carried tool-anger/ash-fear into ash-fear/bench-fiber-rise after loose fiber jumped after rubbing,ash-fear/bench-fiber-rise,3,none,avoid_clay_jar;avoid_dry_resin;more_dry_resin,False
36343,generation_04,18250,36343-CUL-007,generation_04: Fay carried ash-fear/bench-fiber-rise into bench-fiber-rise/roof-red-call after dark grains crawled toward the red scrap,bench-fiber-rise/roof-red-call,3,none,avoid_dry_resin;more_dry_resin;more_wet_wood,False
