tick_id,day,settlement_id,resident_id,inherited_dialect_id,inherited_ritual,inherited_technology,inherited_memory_norm,culture_reference_visible,inheritance_hash,resident_loaded_after_avatar_entry
91,8,archive,Toma,archive-dialect-8,spool-naming-boundary asking,memory looms,ask before touching signal spools,True,v38-770474,True
92,8,signal,Milo,signal-dialect-8,lantern-turning-child naming,signal lenses,light before haste,True,v38-731696,True
93,8,orchard,Mara,orchard-dialect-8,satchel-vow-seasonal repair,water clocks,keep tomorrow dry,True,v38-728596,True
94,8,repair_ring,Juno,repair_ring-dialect-8,spark-distance-object blessing,kiln alloys,give hands room near sparks,True,v38-020151,True
95,8,riverbend,Lio,riverbend-dialect-8,plank-listening-avatar waiting myth,route engines,ask before crossing wet tools,True,v38-077175,True
96,9,roofward,Sera,roofward-dialect-8,sun-ledger-trade witness,civic observatories,wait before taking ledgers,True,v38-922910,True
97,9,archive,Nia,archive-dialect-8,spool-naming-boundary asking,memory looms,ask before touching signal spools,True,v38-739206,True
98,9,signal,Ren,signal-dialect-8,lantern-turning-child naming,signal lenses,light before haste,True,v38-703235,True
99,9,orchard,Ivo,orchard-dialect-8,satchel-vow-seasonal repair,water clocks,keep tomorrow dry,True,v38-705306,True
100,9,repair_ring,Pax,repair_ring-dialect-8,spark-distance-object blessing,kiln alloys,give hands room near sparks,True,v38-989163,True
101,9,riverbend,Ari,riverbend-dialect-8,plank-listening-avatar waiting myth,route engines,ask before crossing wet tools,True,v38-075516,True
102,9,roofward,Sera,roofward-dialect-8,sun-ledger-trade witness,civic observatories,wait before taking ledgers,True,v38-922910,True
103,9,archive,Nia,archive-dialect-8,spool-naming-boundary asking,memory looms,ask before touching signal spools,True,v38-739206,True
104,9,signal,Ren,signal-dialect-8,lantern-turning-child naming,signal lenses,light before haste,True,v38-703235,True
105,9,orchard,Ivo,orchard-dialect-8,satchel-vow-seasonal repair,water clocks,keep tomorrow dry,True,v38-705306,True
106,9,repair_ring,Pax,repair_ring-dialect-8,spark-distance-object blessing,kiln alloys,give hands room near sparks,True,v38-989163,True
107,9,riverbend,Ari,riverbend-dialect-8,plank-listening-avatar waiting myth,route engines,ask before crossing wet tools,True,v38-075516,True
108,10,roofward,Fay,roofward-dialect-8,sun-ledger-trade witness,civic observatories,wait before taking ledgers,True,v38-894010,True
109,10,archive,Toma,archive-dialect-8,spool-naming-boundary asking,memory looms,ask before touching signal spools,True,v38-770474,True
110,10,signal,Milo,signal-dialect-8,lantern-turning-child naming,signal lenses,light before haste,True,v38-731696,True
111,10,orchard,Mara,orchard-dialect-8,satchel-vow-seasonal repair,water clocks,keep tomorrow dry,True,v38-728596,True
112,10,repair_ring,Juno,repair_ring-dialect-8,spark-distance-object blessing,kiln alloys,give hands room near sparks,True,v38-020151,True
113,10,riverbend,Lio,riverbend-dialect-8,plank-listening-avatar waiting myth,route engines,ask before crossing wet tools,True,v38-077175,True
114,10,roofward,Fay,roofward-dialect-8,sun-ledger-trade witness,civic observatories,wait before taking ledgers,True,v38-894010,True
115,10,archive,Toma,archive-dialect-8,spool-naming-boundary asking,memory looms,ask before touching signal spools,True,v38-770474,True
116,10,signal,Milo,signal-dialect-8,lantern-turning-child naming,signal lenses,light before haste,True,v38-731696,True
117,10,orchard,Mara,orchard-dialect-8,satchel-vow-seasonal repair,water clocks,keep tomorrow dry,True,v38-728596,True
118,10,repair_ring,Juno,repair_ring-dialect-8,spark-distance-object blessing,kiln alloys,give hands room near sparks,True,v38-020151,True
119,10,riverbend,Lio,riverbend-dialect-8,plank-listening-avatar waiting myth,route engines,ask before crossing wet tools,True,v38-077175,True
120,11,roofward,Sera,roofward-dialect-8,sun-ledger-trade witness,civic observatories,wait before taking ledgers,True,v38-922910,True
121,11,archive,Nia,archive-dialect-8,spool-naming-boundary asking,memory looms,ask before touching signal spools,True,v38-739206,True
122,11,signal,Ren,signal-dialect-8,lantern-turning-child naming,signal lenses,light before haste,True,v38-703235,True
123,11,orchard,Ivo,orchard-dialect-8,satchel-vow-seasonal repair,water clocks,keep tomorrow dry,True,v38-705306,True
124,11,repair_ring,Pax,repair_ring-dialect-8,spark-distance-object blessing,kiln alloys,give hands room near sparks,True,v38-989163,True
125,11,riverbend,Ari,riverbend-dialect-8,plank-listening-avatar waiting myth,route engines,ask before crossing wet tools,True,v38-075516,True
126,11,roofward,Sera,roofward-dialect-8,sun-ledger-trade witness,civic observatories,wait before taking ledgers,True,v38-922910,True
127,11,archive,Nia,archive-dialect-8,spool-naming-boundary asking,memory looms,ask before touching signal spools,True,v38-739206,True
128,11,signal,Ren,signal-dialect-8,lantern-turning-child naming,signal lenses,light before haste,True,v38-703235,True
129,11,orchard,Ivo,orchard-dialect-8,satchel-vow-seasonal repair,water clocks,keep tomorrow dry,True,v38-705306,True
130,11,repair_ring,Pax,repair_ring-dialect-8,spark-distance-object blessing,kiln alloys,give hands room near sparks,True,v38-989163,True
131,11,riverbend,Ari,riverbend-dialect-8,plank-listening-avatar waiting myth,route engines,ask before crossing wet tools,True,v38-075516,True
132,12,archive,Nia,archive-dialect-8,spool-naming-boundary asking,memory looms,ask before touching signal spools,True,v38-739206,True
133,12,signal,Ren,signal-dialect-8,lantern-turning-child naming,signal lenses,light before haste,True,v38-703235,True
134,12,orchard,Ivo,orchard-dialect-8,satchel-vow-seasonal repair,water clocks,keep tomorrow dry,True,v38-705306,True
135,12,repair_ring,Pax,repair_ring-dialect-8,spark-distance-object blessing,kiln alloys,give hands room near sparks,True,v38-989163,True
136,12,riverbend,Ari,riverbend-dialect-8,plank-listening-avatar waiting myth,route engines,ask before crossing wet tools,True,v38-075516,True
137,12,roofward,Sera,roofward-dialect-8,sun-ledger-trade witness,civic observatories,wait before taking ledgers,True,v38-922910,True
138,12,archive,Nia,archive-dialect-8,spool-naming-boundary asking,memory looms,ask before touching signal spools,True,v38-739206,True
139,12,signal,Ren,signal-dialect-8,lantern-turning-child naming,signal lenses,light before haste,True,v38-703235,True
140,12,orchard,Ivo,orchard-dialect-8,satchel-vow-seasonal repair,water clocks,keep tomorrow dry,True,v38-705306,True
141,12,repair_ring,Pax,repair_ring-dialect-8,spark-distance-object blessing,kiln alloys,give hands room near sparks,True,v38-989163,True
142,12,riverbend,Ari,riverbend-dialect-8,plank-listening-avatar waiting myth,route engines,ask before crossing wet tools,True,v38-075516,True
143,12,roofward,Sera,roofward-dialect-8,sun-ledger-trade witness,civic observatories,wait before taking ledgers,True,v38-922910,True
144,13,archive,Toma,archive-dialect-8,spool-naming-boundary asking,memory looms,ask before touching signal spools,True,v38-770474,True
145,13,signal,Milo,signal-dialect-8,lantern-turning-child naming,signal lenses,light before haste,True,v38-731696,True
146,13,orchard,Mara,orchard-dialect-8,satchel-vow-seasonal repair,water clocks,keep tomorrow dry,True,v38-728596,True
147,13,repair_ring,Juno,repair_ring-dialect-8,spark-distance-object blessing,kiln alloys,give hands room near sparks,True,v38-020151,True
148,13,riverbend,Lio,riverbend-dialect-8,plank-listening-avatar waiting myth,route engines,ask before crossing wet tools,True,v38-077175,True
149,13,roofward,Fay,roofward-dialect-8,sun-ledger-trade witness,civic observatories,wait before taking ledgers,True,v38-894010,True
150,13,archive,Toma,archive-dialect-8,spool-naming-boundary asking,memory looms,ask before touching signal spools,True,v38-770474,True
151,13,signal,Milo,signal-dialect-8,lantern-turning-child naming,signal lenses,light before haste,True,v38-731696,True
152,13,orchard,Mara,orchard-dialect-8,satchel-vow-seasonal repair,water clocks,keep tomorrow dry,True,v38-728596,True
153,13,repair_ring,Juno,repair_ring-dialect-8,spark-distance-object blessing,kiln alloys,give hands room near sparks,True,v38-020151,True
154,13,riverbend,Lio,riverbend-dialect-8,plank-listening-avatar waiting myth,route engines,ask before crossing wet tools,True,v38-077175,True
155,13,roofward,Fay,roofward-dialect-8,sun-ledger-trade witness,civic observatories,wait before taking ledgers,True,v38-894010,True
156,14,archive,Nia,archive-dialect-8,spool-naming-boundary asking,memory looms,ask before touching signal spools,True,v38-739206,True
157,14,signal,Ren,signal-dialect-8,lantern-turning-child naming,signal lenses,light before haste,True,v38-703235,True
158,14,orchard,Ivo,orchard-dialect-8,satchel-vow-seasonal repair,water clocks,keep tomorrow dry,True,v38-705306,True
159,14,repair_ring,Pax,repair_ring-dialect-8,spark-distance-object blessing,kiln alloys,give hands room near sparks,True,v38-989163,True
160,14,riverbend,Ari,riverbend-dialect-8,plank-listening-avatar waiting myth,route engines,ask before crossing wet tools,True,v38-075516,True
161,14,roofward,Sera,roofward-dialect-8,sun-ledger-trade witness,civic observatories,wait before taking ledgers,True,v38-922910,True
162,14,archive,Nia,archive-dialect-8,spool-naming-boundary asking,memory looms,ask before touching signal spools,True,v38-739206,True
163,14,signal,Ren,signal-dialect-8,lantern-turning-child naming,signal lenses,light before haste,True,v38-703235,True
164,14,orchard,Ivo,orchard-dialect-8,satchel-vow-seasonal repair,water clocks,keep tomorrow dry,True,v38-705306,True
165,14,repair_ring,Pax,repair_ring-dialect-8,spark-distance-object blessing,kiln alloys,give hands room near sparks,True,v38-989163,True
166,14,riverbend,Ari,riverbend-dialect-8,plank-listening-avatar waiting myth,route engines,ask before crossing wet tools,True,v38-075516,True
167,14,roofward,Sera,roofward-dialect-8,sun-ledger-trade witness,civic observatories,wait before taking ledgers,True,v38-922910,True
168,15,archive,Toma,archive-dialect-8,spool-naming-boundary asking,memory looms,ask before touching signal spools,True,v38-770474,True
169,15,signal,Milo,signal-dialect-8,lantern-turning-child naming,signal lenses,light before haste,True,v38-731696,True
170,15,orchard,Mara,orchard-dialect-8,satchel-vow-seasonal repair,water clocks,keep tomorrow dry,True,v38-728596,True
171,15,repair_ring,Juno,repair_ring-dialect-8,spark-distance-object blessing,kiln alloys,give hands room near sparks,True,v38-020151,True
172,15,riverbend,Lio,riverbend-dialect-8,plank-listening-avatar waiting myth,route engines,ask before crossing wet tools,True,v38-077175,True
173,15,roofward,Fay,roofward-dialect-8,sun-ledger-trade witness,civic observatories,wait before taking ledgers,True,v38-894010,True
174,15,archive,Toma,archive-dialect-8,spool-naming-boundary asking,memory looms,ask before touching signal spools,True,v38-770474,True
175,15,signal,Milo,signal-dialect-8,lantern-turning-child naming,signal lenses,light before haste,True,v38-731696,True
176,15,orchard,Mara,orchard-dialect-8,satchel-vow-seasonal repair,water clocks,keep tomorrow dry,True,v38-728596,True
177,15,repair_ring,Juno,repair_ring-dialect-8,spark-distance-object blessing,kiln alloys,give hands room near sparks,True,v38-020151,True
178,15,riverbend,Lio,riverbend-dialect-8,plank-listening-avatar waiting myth,route engines,ask before crossing wet tools,True,v38-077175,True
179,15,roofward,Fay,roofward-dialect-8,sun-ledger-trade witness,civic observatories,wait before taking ledgers,True,v38-894010,True
180,16,archive,Nia,archive-dialect-8,spool-naming-boundary asking,memory looms,ask before touching signal spools,True,v38-739206,True
181,16,signal,Ren,signal-dialect-8,lantern-turning-child naming,signal lenses,light before haste,True,v38-703235,True
182,16,orchard,Ivo,orchard-dialect-8,satchel-vow-seasonal repair,water clocks,keep tomorrow dry,True,v38-705306,True
183,16,repair_ring,Pax,repair_ring-dialect-8,spark-distance-object blessing,kiln alloys,give hands room near sparks,True,v38-989163,True
184,16,riverbend,Ari,riverbend-dialect-8,plank-listening-avatar waiting myth,route engines,ask before crossing wet tools,True,v38-075516,True
185,16,roofward,Sera,roofward-dialect-8,sun-ledger-trade witness,civic observatories,wait before taking ledgers,True,v38-922910,True
186,16,archive,Nia,archive-dialect-8,spool-naming-boundary asking,memory looms,ask before touching signal spools,True,v38-739206,True
187,16,signal,Ren,signal-dialect-8,lantern-turning-child naming,signal lenses,light before haste,True,v38-703235,True
188,16,orchard,Ivo,orchard-dialect-8,satchel-vow-seasonal repair,water clocks,keep tomorrow dry,True,v38-705306,True
189,16,repair_ring,Pax,repair_ring-dialect-8,spark-distance-object blessing,kiln alloys,give hands room near sparks,True,v38-989163,True
190,16,riverbend,Ari,riverbend-dialect-8,plank-listening-avatar waiting myth,route engines,ask before crossing wet tools,True,v38-075516,True
191,16,roofward,Sera,roofward-dialect-8,sun-ledger-trade witness,civic observatories,wait before taking ledgers,True,v38-922910,True
192,17,archive,Toma,archive-dialect-8,spool-naming-boundary asking,memory looms,ask before touching signal spools,True,v38-770474,True
193,17,signal,Milo,signal-dialect-8,lantern-turning-child naming,signal lenses,light before haste,True,v38-731696,True
194,17,orchard,Mara,orchard-dialect-8,satchel-vow-seasonal repair,water clocks,keep tomorrow dry,True,v38-728596,True
195,17,repair_ring,Juno,repair_ring-dialect-8,spark-distance-object blessing,kiln alloys,give hands room near sparks,True,v38-020151,True
196,17,riverbend,Lio,riverbend-dialect-8,plank-listening-avatar waiting myth,route engines,ask before crossing wet tools,True,v38-077175,True
197,17,roofward,Fay,roofward-dialect-8,sun-ledger-trade witness,civic observatories,wait before taking ledgers,True,v38-894010,True
198,17,archive,Toma,archive-dialect-8,spool-naming-boundary asking,memory looms,ask before touching signal spools,True,v38-770474,True
199,17,signal,Milo,signal-dialect-8,lantern-turning-child naming,signal lenses,light before haste,True,v38-731696,True
200,17,orchard,Mara,orchard-dialect-8,satchel-vow-seasonal repair,water clocks,keep tomorrow dry,True,v38-728596,True
201,17,repair_ring,Juno,repair_ring-dialect-8,spark-distance-object blessing,kiln alloys,give hands room near sparks,True,v38-020151,True
202,17,riverbend,Lio,riverbend-dialect-8,plank-listening-avatar waiting myth,route engines,ask before crossing wet tools,True,v38-077175,True
203,17,roofward,Fay,roofward-dialect-8,sun-ledger-trade witness,civic observatories,wait before taking ledgers,True,v38-894010,True
204,18,signal,Milo,signal-dialect-8,lantern-turning-child naming,signal lenses,light before haste,True,v38-731696,True
205,18,orchard,Mara,orchard-dialect-8,satchel-vow-seasonal repair,water clocks,keep tomorrow dry,True,v38-728596,True
206,18,repair_ring,Juno,repair_ring-dialect-8,spark-distance-object blessing,kiln alloys,give hands room near sparks,True,v38-020151,True
207,18,riverbend,Lio,riverbend-dialect-8,plank-listening-avatar waiting myth,route engines,ask before crossing wet tools,True,v38-077175,True
208,18,roofward,Fay,roofward-dialect-8,sun-ledger-trade witness,civic observatories,wait before taking ledgers,True,v38-894010,True
209,18,archive,Toma,archive-dialect-8,spool-naming-boundary asking,memory looms,ask before touching signal spools,True,v38-770474,True
210,18,signal,Milo,signal-dialect-8,lantern-turning-child naming,signal lenses,light before haste,True,v38-731696,True
211,18,orchard,Mara,orchard-dialect-8,satchel-vow-seasonal repair,water clocks,keep tomorrow dry,True,v38-728596,True
212,18,repair_ring,Juno,repair_ring-dialect-8,spark-distance-object blessing,kiln alloys,give hands room near sparks,True,v38-020151,True
213,18,riverbend,Lio,riverbend-dialect-8,plank-listening-avatar waiting myth,route engines,ask before crossing wet tools,True,v38-077175,True
214,18,roofward,Fay,roofward-dialect-8,sun-ledger-trade witness,civic observatories,wait before taking ledgers,True,v38-894010,True
215,18,archive,Toma,archive-dialect-8,spool-naming-boundary asking,memory looms,ask before touching signal spools,True,v38-770474,True
216,19,signal,Ren,signal-dialect-8,lantern-turning-child naming,signal lenses,light before haste,True,v38-703235,True
217,19,orchard,Ivo,orchard-dialect-8,satchel-vow-seasonal repair,water clocks,keep tomorrow dry,True,v38-705306,True
218,19,repair_ring,Pax,repair_ring-dialect-8,spark-distance-object blessing,kiln alloys,give hands room near sparks,True,v38-989163,True
219,19,riverbend,Ari,riverbend-dialect-8,plank-listening-avatar waiting myth,route engines,ask before crossing wet tools,True,v38-075516,True
220,19,roofward,Sera,roofward-dialect-8,sun-ledger-trade witness,civic observatories,wait before taking ledgers,True,v38-922910,True
221,19,archive,Nia,archive-dialect-8,spool-naming-boundary asking,memory looms,ask before touching signal spools,True,v38-739206,True
222,19,signal,Ren,signal-dialect-8,lantern-turning-child naming,signal lenses,light before haste,True,v38-703235,True
223,19,orchard,Ivo,orchard-dialect-8,satchel-vow-seasonal repair,water clocks,keep tomorrow dry,True,v38-705306,True
224,19,repair_ring,Pax,repair_ring-dialect-8,spark-distance-object blessing,kiln alloys,give hands room near sparks,True,v38-989163,True
225,19,riverbend,Ari,riverbend-dialect-8,plank-listening-avatar waiting myth,route engines,ask before crossing wet tools,True,v38-075516,True
226,19,roofward,Sera,roofward-dialect-8,sun-ledger-trade witness,civic observatories,wait before taking ledgers,True,v38-922910,True
227,19,archive,Nia,archive-dialect-8,spool-naming-boundary asking,memory looms,ask before touching signal spools,True,v38-739206,True
228,20,signal,Milo,signal-dialect-8,lantern-turning-child naming,signal lenses,light before haste,True,v38-731696,True
229,20,orchard,Mara,orchard-dialect-8,satchel-vow-seasonal repair,water clocks,keep tomorrow dry,True,v38-728596,True
230,20,repair_ring,Juno,repair_ring-dialect-8,spark-distance-object blessing,kiln alloys,give hands room near sparks,True,v38-020151,True
231,20,riverbend,Lio,riverbend-dialect-8,plank-listening-avatar waiting myth,route engines,ask before crossing wet tools,True,v38-077175,True
